District,zone,belt,region,Year AD,Year BS,Communicable Diseases,No of people,Zone,Belt,Region
Bajura,Seti,Mountain,Far-Western,2010/11,2067/68,Confirmed Meningitis 2,2,Seti,Mountain,Far-Western
Bajura,Seti,Mountain,Far-Western,2010/11,2067/68,HIV/AIDS2,1,Seti,Mountain,Far-Western
Bajura,Seti,Mountain,Far-Western,2010/11,2067/68,Leprosy2,6,Seti,Mountain,Far-Western
Bajura,Seti,Mountain,Far-Western,2010/11,2067/68,STD/STI2,122,Seti,Mountain,Far-Western
Bajura,Seti,Mountain,Far-Western,2011/12,2068/69,Confirmed Meningitis 3,0,Seti,Mountain,Far-Western
Bajura,Seti,Mountain,Far-Western,2011/12,2068/69,HIV/AIDS3,3,Seti,Mountain,Far-Western
Bajura,Seti,Mountain,Far-Western,2011/12,2068/69,Leprosy3,1,Seti,Mountain,Far-Western
Bajura,Seti,Mountain,Far-Western,2011/12,2068/69,STD/STI3,288,Seti,Mountain,Far-Western
Bajura,Seti,Mountain,Far-Western,2012/13,2069/70,Confirmed Meningitis 4,6,Seti,Mountain,Far-Western
Bajura,Seti,Mountain,Far-Western,2012/13,2069/70,HIV/AIDS4,5,Seti,Mountain,Far-Western
Bajura,Seti,Mountain,Far-Western,2012/13,2069/70,Leprosy4,7,Seti,Mountain,Far-Western
Bajura,Seti,Mountain,Far-Western,2012/13,2069/70,STD/STI4,152,Seti,Mountain,Far-Western
Bajura,Seti,Mountain,Far-Western,2013/14,2070/71,Confirmed Meningitis 5,9,Seti,Mountain,Far-Western
Bajura,Seti,Mountain,Far-Western,2013/14,2070/71,HIV/AIDS5,426,Seti,Mountain,Far-Western
Bajura,Seti,Mountain,Far-Western,2013/14,2070/71,Leprosy5,99,Seti,Mountain,Far-Western
Bajura,Seti,Mountain,Far-Western,2013/14,2070/71,STD/STI5,426,Seti,Mountain,Far-Western
Banke,Bheri,Terai,Mid-Western,2009/10,2066/67,Confirmed Meningitis,1,Bheri,Terai,Mid-Western
Banke,Bheri,Terai,Mid-Western,2009/10,2066/67,HIV/AIDS,12,Bheri,Terai,Mid-Western
Banke,Bheri,Terai,Mid-Western,2009/10,2066/67,Leprosy,11,Bheri,Terai,Mid-Western
Banke,Bheri,Terai,Mid-Western,2009/10,2066/67,STD/STI,1052,Bheri,Terai,Mid-Western
Banke,Bheri,Terai,Mid-Western,2010/11,2067/68,Confirmed Meningitis 2,7,Bheri,Terai,Mid-Western
Banke,Bheri,Terai,Mid-Western,2010/11,2067/68,HIV/AIDS2,77,Bheri,Terai,Mid-Western
Banke,Bheri,Terai,Mid-Western,2010/11,2067/68,Leprosy2,51,Bheri,Terai,Mid-Western
Banke,Bheri,Terai,Mid-Western,2010/11,2067/68,STD/STI2,1460,Bheri,Terai,Mid-Western
Banke,Bheri,Terai,Mid-Western,2011/12,2068/69,Confirmed Meningitis 3,14,Bheri,Terai,Mid-Western
Banke,Bheri,Terai,Mid-Western,2011/12,2068/69,HIV/AIDS3,9,Bheri,Terai,Mid-Western
Banke,Bheri,Terai,Mid-Western,2011/12,2068/69,Leprosy3,53,Bheri,Terai,Mid-Western
Banke,Bheri,Terai,Mid-Western,2011/12,2068/69,STD/STI3,1260,Bheri,Terai,Mid-Western
Banke,Bheri,Terai,Mid-Western,2012/13,2069/70,Confirmed Meningitis 4,1,Bheri,Terai,Mid-Western
Banke,Bheri,Terai,Mid-Western,2012/13,2069/70,HIV/AIDS4,11,Bheri,Terai,Mid-Western
Banke,Bheri,Terai,Mid-Western,2012/13,2069/70,Leprosy4,30,Bheri,Terai,Mid-Western
Banke,Bheri,Terai,Mid-Western,2012/13,2069/70,STD/STI4,1118,Bheri,Terai,Mid-Western
Banke,Bheri,Terai,Mid-Western,2013/14,2070/71,Confirmed Meningitis 5,0,Bheri,Terai,Mid-Western
Banke,Bheri,Terai,Mid-Western,2013/14,2070/71,HIV/AIDS5,311,Bheri,Terai,Mid-Western
Banke,Bheri,Terai,Mid-Western,2013/14,2070/71,Leprosy5,1,Bheri,Terai,Mid-Western
Banke,Bheri,Terai,Mid-Western,2013/14,2070/71,STD/STI5,311,Bheri,Terai,Mid-Western
Bara,Narayani,Terai,Central,2009/10,2066/67,Confirmed Meningitis,6,Narayani,Terai,Central
Bara,Narayani,Terai,Central,2009/10,2066/67,HIV/AIDS,0,Narayani,Terai,Central
Bara,Narayani,Terai,Central,2009/10,2066/67,Leprosy,66,Narayani,Terai,Central
Bara,Narayani,Terai,Central,2009/10,2066/67,STD/STI,1149,Narayani,Terai,Central
Bara,Narayani,Terai,Central,2010/11,2067/68,Confirmed Meningitis 2,2,Narayani,Terai,Central
Bara,Narayani,Terai,Central,2010/11,2067/68,HIV/AIDS2,56,Narayani,Terai,Central
Bara,Narayani,Terai,Central,2010/11,2067/68,Leprosy2,87,Narayani,Terai,Central
Bara,Narayani,Terai,Central,2010/11,2067/68,STD/STI2,850,Narayani,Terai,Central
Bara,Narayani,Terai,Central,2011/12,2068/69,Confirmed Meningitis 3,2,Narayani,Terai,Central
Bara,Narayani,Terai,Central,2011/12,2068/69,HIV/AIDS3,1,Narayani,Terai,Central
Bara,Narayani,Terai,Central,2011/12,2068/69,Leprosy3,43,Narayani,Terai,Central
Bara,Narayani,Terai,Central,2011/12,2068/69,STD/STI3,1052,Narayani,Terai,Central
Bara,Narayani,Terai,Central,2012/13,2069/70,Confirmed Meningitis 4,43,Narayani,Terai,Central
Bara,Narayani,Terai,Central,2012/13,2069/70,HIV/AIDS4,89,Narayani,Terai,Central
Bara,Narayani,Terai,Central,2012/13,2069/70,Leprosy4,104,Narayani,Terai,Central
Bara,Narayani,Terai,Central,2012/13,2069/70,STD/STI4,784,Narayani,Terai,Central
Bara,Narayani,Terai,Central,2013/14,2070/71,Confirmed Meningitis 5,0,Narayani,Terai,Central
Bara,Narayani,Terai,Central,2013/14,2070/71,HIV/AIDS5,29,Narayani,Terai,Central
Bara,Narayani,Terai,Central,2013/14,2070/71,Leprosy5,2,Narayani,Terai,Central
Bara,Narayani,Terai,Central,2013/14,2070/71,STD/STI5,29,Narayani,Terai,Central
Bardiya,Bheri,Terai,Mid-Western,2009/10,2066/67,Confirmed Meningitis,0,Bheri,Terai,Mid-Western
Bardiya,Bheri,Terai,Mid-Western,2009/10,2066/67,HIV/AIDS,263,Bheri,Terai,Mid-Western
Bardiya,Bheri,Terai,Mid-Western,2009/10,2066/67,Leprosy,30,Bheri,Terai,Mid-Western
Bardiya,Bheri,Terai,Mid-Western,2009/10,2066/67,STD/STI,5057,Bheri,Terai,Mid-Western
Bardiya,Bheri,Terai,Mid-Western,2010/11,2067/68,Confirmed Meningitis 2,2,Bheri,Terai,Mid-Western
Bardiya,Bheri,Terai,Mid-Western,2010/11,2067/68,HIV/AIDS2,47,Bheri,Terai,Mid-Western
Bardiya,Bheri,Terai,Mid-Western,2010/11,2067/68,Leprosy2,48,Bheri,Terai,Mid-Western
Bardiya,Bheri,Terai,Mid-Western,2010/11,2067/68,STD/STI2,4837,Bheri,Terai,Mid-Western
Bardiya,Bheri,Terai,Mid-Western,2011/12,2068/69,Confirmed Meningitis 3,6,Bheri,Terai,Mid-Western
Bardiya,Bheri,Terai,Mid-Western,2011/12,2068/69,HIV/AIDS3,3,Bheri,Terai,Mid-Western
Bardiya,Bheri,Terai,Mid-Western,2011/12,2068/69,Leprosy3,82,Bheri,Terai,Mid-Western
Bardiya,Bheri,Terai,Mid-Western,2011/12,2068/69,STD/STI3,1849,Bheri,Terai,Mid-Western
Bardiya,Bheri,Terai,Mid-Western,2012/13,2069/70,Confirmed Meningitis 4,0,Bheri,Terai,Mid-Western
Bardiya,Bheri,Terai,Mid-Western,2012/13,2069/70,HIV/AIDS4,3,Bheri,Terai,Mid-Western
Bardiya,Bheri,Terai,Mid-Western,2012/13,2069/70,Leprosy4,62,Bheri,Terai,Mid-Western
Bardiya,Bheri,Terai,Mid-Western,2012/13,2069/70,STD/STI4,1668,Bheri,Terai,Mid-Western
Bardiya,Bheri,Terai,Mid-Western,2013/14,2070/71,Confirmed Meningitis 5,32,Bheri,Terai,Mid-Western
Bardiya,Bheri,Terai,Mid-Western,2013/14,2070/71,HIV/AIDS5,104,Bheri,Terai,Mid-Western
Bardiya,Bheri,Terai,Mid-Western,2013/14,2070/71,Leprosy5,0,Bheri,Terai,Mid-Western
Bardiya,Bheri,Terai,Mid-Western,2013/14,2070/71,STD/STI5,104,Bheri,Terai,Mid-Western
Bhaktapur,Bagmati,Hill,Central,2009/10,2066/67,Confirmed Meningitis,2,Bagmati,Hill,Central
Bhaktapur,Bagmati,Hill,Central,2009/10,2066/67,HIV/AIDS,0,Bagmati,Hill,Central
Bhaktapur,Bagmati,Hill,Central,2009/10,2066/67,Leprosy,15,Bagmati,Hill,Central
Bhaktapur,Bagmati,Hill,Central,2009/10,2066/67,STD/STI,238,Bagmati,Hill,Central
Bhaktapur,Bagmati,Hill,Central,2010/11,2067/68,Confirmed Meningitis 2,3,Bagmati,Hill,Central
Bhaktapur,Bagmati,Hill,Central,2010/11,2067/68,HIV/AIDS2,7,Bagmati,Hill,Central
Bhaktapur,Bagmati,Hill,Central,2010/11,2067/68,Leprosy2,0,Bagmati,Hill,Central
Bhaktapur,Bagmati,Hill,Central,2010/11,2067/68,STD/STI2,195,Bagmati,Hill,Central
Bhaktapur,Bagmati,Hill,Central,2011/12,2068/69,Confirmed Meningitis 3,3,Bagmati,Hill,Central
Bhaktapur,Bagmati,Hill,Central,2011/12,2068/69,HIV/AIDS3,10,Bagmati,Hill,Central
Bhaktapur,Bagmati,Hill,Central,2011/12,2068/69,Leprosy3,2,Bagmati,Hill,Central
Bhaktapur,Bagmati,Hill,Central,2011/12,2068/69,STD/STI3,160,Bagmati,Hill,Central
Bhaktapur,Bagmati,Hill,Central,2012/13,2069/70,Confirmed Meningitis 4,39,Bagmati,Hill,Central
Bhaktapur,Bagmati,Hill,Central,2012/13,2069/70,HIV/AIDS4,0,Bagmati,Hill,Central
Bhaktapur,Bagmati,Hill,Central,2012/13,2069/70,Leprosy4,4,Bagmati,Hill,Central
Bhaktapur,Bagmati,Hill,Central,2012/13,2069/70,STD/STI4,215,Bagmati,Hill,Central
Bhaktapur,Bagmati,Hill,Central,2013/14,2070/71,Confirmed Meningitis 5,2,Bagmati,Hill,Central
Bhaktapur,Bagmati,Hill,Central,2013/14,2070/71,HIV/AIDS5,95,Bagmati,Hill,Central
Bhaktapur,Bagmati,Hill,Central,2013/14,2070/71,Leprosy5,2,Bagmati,Hill,Central
Bhaktapur,Bagmati,Hill,Central,2013/14,2070/71,STD/STI5,95,Bagmati,Hill,Central
Bhojpur,Kosi,Hill,Eastern,2009/10,2066/67,Confirmed Meningitis,0,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2009/10,2066/67,HIV/AIDS,1,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2009/10,2066/67,Leprosy,7,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2009/10,2066/67,STD/STI,119,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2010/11,2067/68,Confirmed Meningitis 2,1,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2010/11,2067/68,HIV/AIDS2,0,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2010/11,2067/68,Leprosy2,0,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2010/11,2067/68,STD/STI2,80,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2011/12,2068/69,Confirmed Meningitis 3,3,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2011/12,2068/69,HIV/AIDS3,0,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2011/12,2068/69,Leprosy3,2,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2011/12,2068/69,STD/STI3,133,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2012/13,2069/70,Confirmed Meningitis 4,0,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2012/13,2069/70,HIV/AIDS4,0,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2012/13,2069/70,Leprosy4,1,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2012/13,2069/70,STD/STI4,106,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2013/14,2070/71,Confirmed Meningitis 5,101,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2013/14,2070/71,HIV/AIDS5,59,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2013/14,2070/71,Leprosy5,0,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2013/14,2070/71,STD/STI5,59,Kosi,Hill,Eastern
Chitawan,Narayani,Terai,Central,2009/10,2066/67,Confirmed Meningitis,120,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2009/10,2066/67,HIV/AIDS,90,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2009/10,2066/67,Leprosy,98,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2009/10,2066/67,STD/STI,972,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2010/11,2067/68,Confirmed Meningitis 2,28,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2010/11,2067/68,HIV/AIDS2,38,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2010/11,2067/68,Leprosy2,34,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2010/11,2067/68,STD/STI2,1104,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2011/12,2068/69,Confirmed Meningitis 3,18,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2011/12,2068/69,HIV/AIDS3,28,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2011/12,2068/69,Leprosy3,50,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2011/12,2068/69,STD/STI3,1043,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2012/13,2069/70,Confirmed Meningitis 4,36,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2012/13,2069/70,HIV/AIDS4,58,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2012/13,2069/70,Leprosy4,99,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2012/13,2069/70,STD/STI4,1557,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2013/14,2070/71,Confirmed Meningitis 5,13,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2013/14,2070/71,HIV/AIDS5,11,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2013/14,2070/71,Leprosy5,0,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2013/14,2070/71,STD/STI5,11,Narayani,Terai,Central
Dadeldhura,Mahakali,Hill,Far-Western,2009/10,2066/67,Confirmed Meningitis,111,Mahakali,Hill,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2009/10,2066/67,HIV/AIDS,9,Mahakali,Hill,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2009/10,2066/67,Leprosy,18,Mahakali,Hill,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2009/10,2066/67,STD/STI,1090,Mahakali,Hill,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2010/11,2067/68,Confirmed Meningitis 2,44,Mahakali,Hill,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2010/11,2067/68,HIV/AIDS2,13,Mahakali,Hill,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2010/11,2067/68,Leprosy2,18,Mahakali,Hill,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2010/11,2067/68,STD/STI2,1034,Mahakali,Hill,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2011/12,2068/69,Confirmed Meningitis 3,52,Mahakali,Hill,Far-Western
