District,Year,Method,Contraceptives,Gender,Number of user
Sankhuwasabha,2066/67,Temporary Methods,Norplant,,841
Sankhuwasabha,2066/67,Permanent method,Sterilization,Male,3047
Sankhuwasabha,2066/67,Permanent method,Sterilization,Female,55
Saptari,2066/67,Temporary Methods,Condom,,3584
Saptari,2066/67,Temporary Methods,Pills,,4229
Saptari,2066/67,Temporary Methods,Depo,,11293
Saptari,2066/67,Temporary Methods,IUD,,540
Saptari,2066/67,Temporary Methods,Norplant,,88
Saptari,2066/67,Permanent method,Sterilization,Male,664
Saptari,2066/67,Permanent method,Sterilization,Female,53793
Siraha,2066/67,Temporary Methods,Condom,,3842
Siraha,2066/67,Temporary Methods,Pills,,3212
Siraha,2066/67,Temporary Methods,Depo,,9473
Siraha,2066/67,Temporary Methods,IUD,,1692
Siraha,2066/67,Temporary Methods,Norplant,,1318
Siraha,2066/67,Permanent method,Sterilization,Male,1268
Siraha,2066/67,Permanent method,Sterilization,Female,51307
Solukhumbu,2066/67,Temporary Methods,Condom,,609
Solukhumbu,2066/67,Temporary Methods,Pills,,1618
Solukhumbu,2066/67,Temporary Methods,Depo,,5504
Solukhumbu,2066/67,Temporary Methods,IUD,,109
Solukhumbu,2066/67,Temporary Methods,Norplant,,158
Solukhumbu,2066/67,Permanent method,Sterilization,Male,914
Solukhumbu,2066/67,Permanent method,Sterilization,Female,192
Sunsari,2066/67,Temporary Methods,Condom,,4172
Sunsari,2066/67,Temporary Methods,Pills,,6823
Sunsari,2066/67,Temporary Methods,Depo,,16211
Sunsari,2066/67,Temporary Methods,IUD,,1501
Sunsari,2066/67,Temporary Methods,Norplant,,1558
Sunsari,2066/67,Permanent method,Sterilization,Male,3441
Sunsari,2066/67,Permanent method,Sterilization,Female,39264
Taplejung,2066/67,Temporary Methods,Condom,,932
Taplejung,2066/67,Temporary Methods,Pills,,1356
Taplejung,2066/67,Temporary Methods,Depo,,3851
Taplejung,2066/67,Temporary Methods,IUD,,414
Taplejung,2066/67,Temporary Methods,Norplant,,10
Taplejung,2066/67,Permanent method,Sterilization,Male,2147
Taplejung,2066/67,Permanent method,Sterilization,Female,3
Teharthum,2066/67,Temporary Methods,Condom,,1001
Teharthum,2066/67,Temporary Methods,Pills,,637
Teharthum,2066/67,Temporary Methods,Depo,,1995
Teharthum,2066/67,Temporary Methods,IUD,,312
Teharthum,2066/67,Temporary Methods,Norplant,,381
Teharthum,2066/67,Permanent method,Sterilization,Male,1941
Teharthum,2066/67,Permanent method,Sterilization,Female,154
Udaypur,2066/67,Temporary Methods,Condom,,981
Udaypur,2066/67,Temporary Methods,Pills,,1892
Udaypur,2066/67,Temporary Methods,Depo,,5849
Udaypur,2066/67,Temporary Methods,IUD,,113
Udaypur,2066/67,Temporary Methods,Norplant,,210
Udaypur,2066/67,Permanent method,Sterilization,Male,4337
Udaypur,2066/67,Permanent method,Sterilization,Female,4188
Bara,2066/67,Temporary Methods,Condom,,3279
Bara,2066/67,Temporary Methods,Pills,,1772
Bara,2066/67,Temporary Methods,Depo,,7073
Bara,2066/67,Temporary Methods,IUD,,1044
Bara,2066/67,Temporary Methods,Norplant,,799
Bara,2066/67,Permanent method,Sterilization,Male,1950
Bara,2066/67,Permanent method,Sterilization,Female,37523
Bhaktapur,2066/67,Temporary Methods,Condom,,677
Bhaktapur,2066/67,Temporary Methods,Pills,,2126
Bhaktapur,2066/67,Temporary Methods,Depo,,6182
Bhaktapur,2066/67,Temporary Methods,IUD,,1869
Bhaktapur,2066/67,Temporary Methods,Norplant,,1706
Bhaktapur,2066/67,Permanent method,Sterilization,Male,4084
Bhaktapur,2066/67,Permanent method,Sterilization,Female,8978
Chitwan,2066/67,Temporary Methods,Condom,,4713
Chitwan,2066/67,Temporary Methods,Pills,,4124
Chitwan,2066/67,Temporary Methods,Depo,,6150
Chitwan,2066/67,Temporary Methods,IUD,,2502
Chitwan,2066/67,Temporary Methods,Norplant,,1631
Chitwan,2066/67,Permanent method,Sterilization,Male,26991
Chitwan,2066/67,Permanent method,Sterilization,Female,12797
Dhading,2066/67,Temporary Methods,Condom,,3706
Dhading,2066/67,Temporary Methods,Pills,,3073
Dhading,2066/67,Temporary Methods,Depo,,11821
Dhading,2066/67,Temporary Methods,IUD,,1345
Dhading,2066/67,Temporary Methods,Norplant,,2806
Dhading,2066/67,Permanent method,Sterilization,Male,9223
Dhading,2066/67,Permanent method,Sterilization,Female,1616
Dhanusha,2066/67,Temporary Methods,Condom,,3849
Dhanusha,2066/67,Temporary Methods,Pills,,2085
Dhanusha,2066/67,Temporary Methods,Depo,,8838
Dhanusha,2066/67,Temporary Methods,IUD,,1008
Dhanusha,2066/67,Temporary Methods,Norplant,,622
Dhanusha,2066/67,Permanent method,Sterilization,Male,1856
Dhanusha,2066/67,Permanent method,Sterilization,Female,76392
Dolkha,2066/67,Temporary Methods,Condom,,796
Dolkha,2066/67,Temporary Methods,Pills,,1424
Dolkha,2066/67,Temporary Methods,Depo,,4913
Dolkha,2066/67,Temporary Methods,IUD,,77
Dolkha,2066/67,Temporary Methods,Norplant,,437
Dolkha,2066/67,Permanent method,Sterilization,Male,4886
Dolkha,2066/67,Permanent method,Sterilization,Female,3149
Kathmandu,2066/67,Temporary Methods,Condom,,4005
Kathmandu,2066/67,Temporary Methods,Pills,,7938
Kathmandu,2066/67,Temporary Methods,Depo,,29949
Kathmandu,2066/67,Temporary Methods,IUD,,12879
Kathmandu,2066/67,Temporary Methods,Norplant,,9364
Kathmandu,2066/67,Permanent method,Sterilization,Male,18786
Kathmandu,2066/67,Permanent method,Sterilization,Female,33074
Kavre,2066/67,Temporary Methods,Condom,,2543
Kavre,2066/67,Temporary Methods,Pills,,2702
Kavre,2066/67,Temporary Methods,Depo,,11743
Kavre,2066/67,Temporary Methods,IUD,,3226
Kavre,2066/67,Temporary Methods,Norplant,,7658
Kavre,2066/67,Permanent method,Sterilization,Male,9007
Kavre,2066/67,Permanent method,Sterilization,Female,9725
Lalitpur,2066/67,Temporary Methods,Condom,,1827
Lalitpur,2066/67,Temporary Methods,Pills,,2563
Lalitpur,2066/67,Temporary Methods,Depo,,13166
Lalitpur,2066/67,Temporary Methods,IUD,,4478
Lalitpur,2066/67,Temporary Methods,Norplant,,5838
Lalitpur,2066/67,Permanent method,Sterilization,Male,19797
Lalitpur,2066/67,Permanent method,Sterilization,Female,10264
Mahottari,2066/67,Temporary Methods,Condom,,3984
Mahottari,2066/67,Temporary Methods,Pills,,3923
Mahottari,2066/67,Temporary Methods,Depo,,10666
Mahottari,2066/67,Temporary Methods,IUD,,850
Mahottari,2066/67,Temporary Methods,Norplant,,166
Mahottari,2066/67,Permanent method,Sterilization,Male,454
Mahottari,2066/67,Permanent method,Sterilization,Female,52324
Makawanpur,2066/67,Temporary Methods,Condom,,2100
Makawanpur,2066/67,Temporary Methods,Pills,,1789
Makawanpur,2066/67,Temporary Methods,Depo,,10173
Makawanpur,2066/67,Temporary Methods,IUD,,799
Makawanpur,2066/67,Temporary Methods,Norplant,,3708
Makawanpur,2066/67,Permanent method,Sterilization,Male,28079
Makawanpur,2066/67,Permanent method,Sterilization,Female,4029
Nuwakot,2066/67,Temporary Methods,Condom,,1308
Nuwakot,2066/67,Temporary Methods,Pills,,2020
Nuwakot,2066/67,Temporary Methods,Depo,,6935
Nuwakot,2066/67,Temporary Methods,IUD,,242
Nuwakot,2066/67,Temporary Methods,Norplant,,962
Nuwakot,2066/67,Permanent method,Sterilization,Male,7927
Nuwakot,2066/67,Permanent method,Sterilization,Female,7050
Parsa,2066/67,Temporary Methods,Condom,,0
Parsa,2066/67,Temporary Methods,Pills,,3670
Parsa,2066/67,Temporary Methods,Depo,,8289
Parsa,2066/67,Temporary Methods,IUD,,1178
Parsa,2066/67,Temporary Methods,Norplant,,1246
Parsa,2066/67,Permanent method,Sterilization,Male,3286
Parsa,2066/67,Permanent method,Sterilization,Female,70245
Ramechhap,2066/67,Temporary Methods,Condom,,891
Ramechhap,2066/67,Temporary Methods,Pills,,790
Ramechhap,2066/67,Temporary Methods,Depo,,4829
Ramechhap,2066/67,Temporary Methods,IUD,,726
Ramechhap,2066/67,Temporary Methods,Norplant,,793
Ramechhap,2066/67,Permanent method,Sterilization,Male,3587
Ramechhap,2066/67,Permanent method,Sterilization,Female,204
Rasuwa,2066/67,Temporary Methods,Condom,,611
Rasuwa,2066/67,Temporary Methods,Pills,,197
Rasuwa,2066/67,Temporary Methods,Depo,,960
Rasuwa,2066/67,Temporary Methods,IUD,,37
Rasuwa,2066/67,Temporary Methods,Norplant,,271
Rasuwa,2066/67,Permanent method,Sterilization,Male,1965
Rasuwa,2066/67,Permanent method,Sterilization,Female,658
Rautahat,2066/67,Temporary Methods,Condom,,2773
Rautahat,2066/67,Temporary Methods,Pills,,1497
Rautahat,2066/67,Temporary Methods,Depo,,3986
Rautahat,2066/67,Temporary Methods,IUD,,1300
Rautahat,2066/67,Temporary Methods,Norplant,,1055
Rautahat,2066/67,Permanent method,Sterilization,Male,827
Rautahat,2066/67,Permanent method,Sterilization,Female,53899
Sarlahi,2066/67,Temporary Methods,Condom,,3322
Sarlahi,2066/67,Temporary Methods,Pills,,2856
Sarlahi,2066/67,Temporary Methods,Depo,,5416
Sarlahi,2066/67,Temporary Methods,IUD,,1724
Sarlahi,2066/67,Temporary Methods,Norplant,,1417
Sarlahi,2066/67,Permanent method,Sterilization,Male,2936
Sarlahi,2066/67,Permanent method,Sterilization,Female,62316
Sindhuli,2066/67,Temporary Methods,Condom,,1083
Sindhuli,2066/67,Temporary Methods,Pills,,1477
Sindhuli,2066/67,Temporary Methods,Depo,,3676
Sindhuli,2066/67,Temporary Methods,IUD,,407
Sindhuli,2066/67,Temporary Methods,Norplant,,380
Sindhuli,2066/67,Permanent method,Sterilization,Male,4635
Sindhuli,2066/67,Permanent method,Sterilization,Female,4937
Sindhupalchowk,2066/67,Temporary Methods,Condom,,836
Sindhupalchowk,2066/67,Temporary Methods,Pills,,1461
Sindhupalchowk,2066/67,Temporary Methods,Depo,,9988
Sindhupalchowk,2066/67,Temporary Methods,IUD,,777
Sindhupalchowk,2066/67,Temporary Methods,Norplant,,1249
Sindhupalchowk,2066/67,Permanent method,Sterilization,Male,7821
Sindhupalchowk,2066/67,Permanent method,Sterilization,Female,2126
Arghakhanchi,2066/67,Temporary Methods,Condom,,1630
Arghakhanchi,2066/67,Temporary Methods,Pills,,550
Arghakhanchi,2066/67,Temporary Methods,Depo,,1609
Arghakhanchi,2066/67,Temporary Methods,IUD,,166
Arghakhanchi,2066/67,Temporary Methods,Norplant,,225
Arghakhanchi,2066/67,Permanent method,Sterilization,Male,3299
Arghakhanchi,2066/67,Permanent method,Sterilization,Female,2936
Baglung,2066/67,Temporary Methods,Condom,,1580
Baglung,2066/67,Temporary Methods,Pills,,1345
Baglung,2066/67,Temporary Methods,Depo,,2258
Baglung,2066/67,Temporary Methods,IUD,,724
Baglung,2066/67,Temporary Methods,Norplant,,133
Baglung,2066/67,Permanent method,Sterilization,Male,6394
Baglung,2066/67,Permanent method,Sterilization,Female,3511
Gorkha,2066/67,Temporary Methods,Condom,,1128
Gorkha,2066/67,Temporary Methods,Pills,,1682
Gorkha,2066/67,Temporary Methods,Depo,,3787
Gorkha,2066/67,Temporary Methods,IUD,,265
Gorkha,2066/67,Temporary Methods,Norplant,,100
Gorkha,2066/67,Permanent method,Sterilization,Male,6564
Gorkha,2066/67,Permanent method,Sterilization,Female,6101
Gulmi,2066/67,Temporary Methods,Condom,,2352
Gulmi,2066/67,Temporary Methods,Pills,,1760
Gulmi,2066/67,Temporary Methods,Depo,,4192
Gulmi,2066/67,Temporary Methods,IUD,,1052
Gulmi,2066/67,Temporary Methods,Norplant,,1113
Gulmi,2066/67,Permanent method,Sterilization,Male,3949
Gulmi,2066/67,Permanent method,Sterilization,Female,6111
Kapilvastu,2066/67,Temporary Methods,Condom,,2591
Kapilvastu,2066/67,Temporary Methods,Pills,,3239
Kapilvastu,2066/67,Temporary Methods,Depo,,11204
Kapilvastu,2066/67,Temporary Methods,IUD,,603
Kapilvastu,2066/67,Temporary Methods,Norplant,,457
Kapilvastu,2066/67,Permanent method,Sterilization,Male,1965
Kapilvastu,2066/67,Permanent method,Sterilization,Female,13286
Kaski,2066/67,Temporary Methods,Condom,,2340
Kaski,2066/67,Temporary Methods,Pills,,2493
Kaski,2066/67,Temporary Methods,Depo,,4299
Kaski,2066/67,Temporary Methods,IUD,,1944
Kaski,2066/67,Temporary Methods,Norplant,,978
Kaski,2066/67,Permanent method,Sterilization,Male,12986
Kaski,2066/67,Permanent method,Sterilization,Female,11192
Lamjung,2066/67,Temporary Methods,Condom,,1448
Lamjung,2066/67,Temporary Methods,Pills,,622
Lamjung,2066/67,Temporary Methods,Depo,,2534
Lamjung,2066/67,Temporary Methods,IUD,,229
Lamjung,2066/67,Temporary Methods,Norplant,,226
Lamjung,2066/67,Permanent method,Sterilization,Male,6044
Lamjung,2066/67,Permanent method,Sterilization,Female,2083
Manang,2066/67,Temporary Methods,Condom,,107
Manang,2066/67,Temporary Methods,Pills,,44
Manang,2066/67,Temporary Methods,Depo,,97
Manang,2066/67,Temporary Methods,IUD,,4
Manang,2066/67,Temporary Methods,Norplant,,57
Manang,2066/67,Permanent method,Sterilization,Male,206
Manang,2066/67,Permanent method,Sterilization,Female,18
Mustang,2066/67,Temporary Methods,Condom,,200
Mustang,2066/67,Temporary Methods,Pills,,158
Mustang,2066/67,Temporary Methods,Depo,,362
Mustang,2066/67,Temporary Methods,IUD,,21
Mustang,2066/67,Temporary Methods,Norplant,,81
Mustang,2066/67,Permanent method,Sterilization,Male,326
Mustang,2066/67,Permanent method,Sterilization,Female,257
Myagdi,2066/67,Temporary Methods,Condom,,1478
Myagdi,2066/67,Temporary Methods,Pills,,481
Myagdi,2066/67,Temporary Methods,Depo,,1237
Myagdi,2066/67,Temporary Methods,IUD,,119
Myagdi,2066/67,Temporary Methods,Norplant,,157
Myagdi,2066/67,Permanent method,Sterilization,Male,3101
Myagdi,2066/67,Permanent method,Sterilization,Female,939
Nawalparasi,2066/67,Temporary Methods,Condom,,4544
Nawalparasi,2066/67,Temporary Methods,Pills,,2584
Nawalparasi,2066/67,Temporary Methods,Depo,,7221
Nawalparasi,2066/67,Temporary Methods,IUD,,1323
Nawalparasi,2066/67,Temporary Methods,Norplant,,1355
Nawalparasi,2066/67,Permanent method,Sterilization,Male,8913
Nawalparasi,2066/67,Permanent method,Sterilization,Female,28923
Palpa,2066/67,Temporary Methods,Condom,,2418
Palpa,2066/67,Temporary Methods,Pills,,1748
Palpa,2066/67,Temporary Methods,Depo,,3438
Palpa,2066/67,Temporary Methods,IUD,,448
Palpa,2066/67,Temporary Methods,Norplant,,1163
Palpa,2066/67,Permanent method,Sterilization,Male,5261
Palpa,2066/67,Permanent method,Sterilization,Female,8362
Parbat,2066/67,Temporary Methods,Condom,,814
Parbat,2066/67,Temporary Methods,Pills,,522
Parbat,2066/67,Temporary Methods,Depo,,1240
Parbat,2066/67,Temporary Methods,IUD,,340
Parbat,2066/67,Temporary Methods,Norplant,,324
Parbat,2066/67,Permanent method,Sterilization,Male,4472
Parbat,2066/67,Permanent method,Sterilization,Female,1076
Rupandehi,2066/67,Temporary Methods,Condom,,2843
Rupandehi,2066/67,Temporary Methods,Pills,,3444
Rupandehi,2066/67,Temporary Methods,Depo,,10964
Rupandehi,2066/67,Temporary Methods,IUD,,1604
Rupandehi,2066/67,Temporary Methods,Norplant,,1930
Rupandehi,2066/67,Permanent method,Sterilization,Male,2706
Rupandehi,2066/67,Permanent method,Sterilization,Female,30084
Syangja,2066/67,Temporary Methods,Condom,,1570
Syangja,2066/67,Temporary Methods,Pills,,1678
Syangja,2066/67,Temporary Methods,Depo,,2325
Syangja,2066/67,Temporary Methods,IUD,,332
Syangja,2066/67,Temporary Methods,Norplant,,45
Syangja,2066/67,Permanent method,Sterilization,Male,4627
Syangja,2066/67,Permanent method,Sterilization,Female,9657
Tanahu,2066/67,Temporary Methods,Condom,,1576
Tanahu,2066/67,Temporary Methods,Pills,,1277
Tanahu,2066/67,Temporary Methods,Depo,,2755
Tanahu,2066/67,Temporary Methods,IUD,,1096
Tanahu,2066/67,Temporary Methods,Norplant,,634
Tanahu,2066/67,Permanent method,Sterilization,Male,7715
Tanahu,2066/67,Permanent method,Sterilization,Female,6467
Banke,2066/67,Temporary Methods,Condom,,5428
Banke,2066/67,Temporary Methods,Pills,,4752
Banke,2066/67,Temporary Methods,Depo,,12476
Banke,2066/67,Temporary Methods,IUD,,1696
Banke,2066/67,Temporary Methods,Norplant,,2091
Banke,2066/67,Permanent method,Sterilization,Male,6963
Banke,2066/67,Permanent method,Sterilization,Female,16617
Bardiya,2066/67,Temporary Methods,Condom,,3949
Bardiya,2066/67,Temporary Methods,Pills,,1564
Bardiya,2066/67,Temporary Methods,Depo,,5972
Bardiya,2066/67,Temporary Methods,IUD,,3121
Bardiya,2066/67,Temporary Methods,Norplant,,2522
Bardiya,2066/67,Permanent method,Sterilization,Male,3274
Bardiya,2066/67,Permanent method,Sterilization,Female,24486
Dailekh,2066/67,Temporary Methods,Condom,,2898
Dailekh,2066/67,Temporary Methods,Pills,,2257
Dailekh,2066/67,Temporary Methods,Depo,,3091
Dailekh,2066/67,Temporary Methods,IUD,,723
Dailekh,2066/67,Temporary Methods,Norplant,,993
Dailekh,2066/67,Permanent method,Sterilization,Male,6814
Dailekh,2066/67,Permanent method,Sterilization,Female,68
Dang,2066/67,Temporary Methods,Condom,,3606
Dang,2066/67,Temporary Methods,Pills,,4294
Dang,2066/67,Temporary Methods,Depo,,18686
Dang,2066/67,Temporary Methods,IUD,,1874
Dang,2066/67,Temporary Methods,Norplant,,826
Dang,2066/67,Permanent method,Sterilization,Male,4226
Dang,2066/67,Permanent method,Sterilization,Female,20151
Dolpa,2066/67,Temporary Methods,Condom,,319
Dolpa,2066/67,Temporary Methods,Pills,,204
Dolpa,2066/67,Temporary Methods,Depo,,505
Dolpa,2066/67,Temporary Methods,IUD,,38
Dolpa,2066/67,Temporary Methods,Norplant,,0
Dolpa,2066/67,Permanent method,Sterilization,Male,709
Dolpa,2066/67,Permanent method,Sterilization,Female,15
Humla,2066/67,Temporary Methods,Condom,,360
Humla,2066/67,Temporary Methods,Pills,,1266
Humla,2066/67,Temporary Methods,Depo,,1532
Humla,2066/67,Temporary Methods,IUD,,32
Humla,2066/67,Temporary Methods,Norplant,,128
Humla,2066/67,Permanent method,Sterilization,Male,1131
Humla,2066/67,Permanent method,Sterilization,Female,57
Jajarkot,2066/67,Temporary Methods,Condom,,843
Jajarkot,2066/67,Temporary Methods,Pills,,1570
Jajarkot,2066/67,Temporary Methods,Depo,,3608
Jajarkot,2066/67,Temporary Methods,IUD,,152
Jajarkot,2066/67,Temporary Methods,Norplant,,339
Jajarkot,2066/67,Permanent method,Sterilization,Male,3418
Jajarkot,2066/67,Permanent method,Sterilization,Female,225
Jumla,2066/67,Temporary Methods,Condom,,1353
Jumla,2066/67,Temporary Methods,Pills,,807
Jumla,2066/67,Temporary Methods,Depo,,1066
Jumla,2066/67,Temporary Methods,IUD,,90
Jumla,2066/67,Temporary Methods,Norplant,,473
Jumla,2066/67,Permanent method,Sterilization,Male,5264
Jumla,2066/67,Permanent method,Sterilization,Female,231
Kalikot,2066/67,Temporary Methods,Condom,,800
Kalikot,2066/67,Temporary Methods,Pills,,800
Kalikot,2066/67,Temporary Methods,Depo,,733
Kalikot,2066/67,Temporary Methods,IUD,,160
Kalikot,2066/67,Temporary Methods,Norplant,,417
Kalikot,2066/67,Permanent method,Sterilization,Male,2235
Kalikot,2066/67,Permanent method,Sterilization,Female,8
Mugu,2066/67,Temporary Methods,Condom,,227
Mugu,2066/67,Temporary Methods,Pills,,110
Mugu,2066/67,Temporary Methods,Depo,,576
Mugu,2066/67,Temporary Methods,IUD,,55
Mugu,2066/67,Temporary Methods,Norplant,,6
Mugu,2066/67,Permanent method,Sterilization,Male,1480
Mugu,2066/67,Permanent method,Sterilization,Female,31
Pyuthan,2066/67,Temporary Methods,Condom,,4691
Pyuthan,2066/67,Temporary Methods,Pills,,4286
Pyuthan,2066/67,Temporary Methods,Depo,,6541
Pyuthan,2066/67,Temporary Methods,IUD,,585
Pyuthan,2066/67,Temporary Methods,Norplant,,270
Pyuthan,2066/67,Permanent method,Sterilization,Male,3093
Pyuthan,2066/67,Permanent method,Sterilization,Female,1983
Rolpa,2066/67,Temporary Methods,Condom,,3940
Rolpa,2066/67,Temporary Methods,Pills,,1250
Rolpa,2066/67,Temporary Methods,Depo,,3128
Rolpa,2066/67,Temporary Methods,IUD,,738
Rolpa,2066/67,Temporary Methods,Norplant,,2113
Rolpa,2066/67,Permanent method,Sterilization,Male,3516
Rolpa,2066/67,Permanent method,Sterilization,Female,99
Rukum,2066/67,Temporary Methods,Condom,,883
Rukum,2066/67,Temporary Methods,Pills,,1991
Rukum,2066/67,Temporary Methods,Depo,,3956
Rukum,2066/67,Temporary Methods,IUD,,181
Rukum,2066/67,Temporary Methods,Norplant,,223
Rukum,2066/67,Permanent method,Sterilization,Male,3180
Rukum,2066/67,Permanent method,Sterilization,Female,226
Salyan,2066/67,Temporary Methods,Condom,,1570
Salyan,2066/67,Temporary Methods,Pills,,1570
Salyan,2066/67,Temporary Methods,Depo,,5118
Salyan,2066/67,Temporary Methods,IUD,,648
Salyan,2066/67,Temporary Methods,Norplant,,886
Salyan,2066/67,Permanent method,Sterilization,Male,5655
Salyan,2066/67,Permanent method,Sterilization,Female,860
Surkhet,2066/67,Temporary Methods,Condom,,3806
Surkhet,2066/67,Temporary Methods,Pills,,2515
Surkhet,2066/67,Temporary Methods,Depo,,4971
Surkhet,2066/67,Temporary Methods,IUD,,1478
Surkhet,2066/67,Temporary Methods,Norplant,,568
Surkhet,2066/67,Permanent method,Sterilization,Male,11338
Surkhet,2066/67,Permanent method,Sterilization,Female,9909
Achham,2066/67,Temporary Methods,Condom,,2182
Achham,2066/67,Temporary Methods,Pills,,1546
Achham,2066/67,Temporary Methods,Depo,,3189
Achham,2066/67,Temporary Methods,IUD,,150
Achham,2066/67,Temporary Methods,Norplant,,630
Achham,2066/67,Permanent method,Sterilization,Male,2813
Achham,2066/67,Permanent method,Sterilization,Female,264
Baitadi,2066/67,Temporary Methods,Condom,,3300
Baitadi,2066/67,Temporary Methods,Pills,,4776
Baitadi,2066/67,Temporary Methods,Depo,,3873
Baitadi,2066/67,Temporary Methods,IUD,,22
Baitadi,2066/67,Temporary Methods,Norplant,,202
Baitadi,2066/67,Permanent method,Sterilization,Male,3790
Baitadi,2066/67,Permanent method,Sterilization,Female,948
Bajhang,2066/67,Temporary Methods,Condom,,931
Bajhang,2066/67,Temporary Methods,Pills,,427
Bajhang,2066/67,Temporary Methods,Depo,,1596
Bajhang,2066/67,Temporary Methods,IUD,,89
Bajhang,2066/67,Temporary Methods,Norplant,,156
Bajhang,2066/67,Permanent method,Sterilization,Male,4035
Bajhang,2066/67,Permanent method,Sterilization,Female,171
Bajura,2066/67,Temporary Methods,Condom,,1571
Bajura,2066/67,Temporary Methods,Pills,,774
Bajura,2066/67,Temporary Methods,Depo,,1316
Bajura,2066/67,Temporary Methods,IUD,,375
Bajura,2066/67,Temporary Methods,Norplant,,90
Bajura,2066/67,Permanent method,Sterilization,Male,3072
Bajura,2066/67,Permanent method,Sterilization,Female,400
Dadeldhura,2066/67,Temporary Methods,Condom,,1049
Dadeldhura,2066/67,Temporary Methods,Pills,,519
Dadeldhura,2066/67,Temporary Methods,Depo,,1739
Dadeldhura,2066/67,Temporary Methods,IUD,,88
Dadeldhura,2066/67,Temporary Methods,Norplant,,129
Dadeldhura,2066/67,Permanent method,Sterilization,Male,3061
Dadeldhura,2066/67,Permanent method,Sterilization,Female,707
Darchula,2066/67,Temporary Methods,Condom,,687
Darchula,2066/67,Temporary Methods,Pills,,703
Darchula,2066/67,Temporary Methods,Depo,,1207
Darchula,2066/67,Temporary Methods,IUD,,64
Darchula,2066/67,Temporary Methods,Norplant,,153
Darchula,2066/67,Permanent method,Sterilization,Male,2352
Darchula,2066/67,Permanent method,Sterilization,Female,299
Doti,2066/67,Temporary Methods,Condom,,2251
Doti,2066/67,Temporary Methods,Pills,,1074
Doti,2066/67,Temporary Methods,Depo,,1876
Doti,2066/67,Temporary Methods,IUD,,67
Doti,2066/67,Temporary Methods,Norplant,,244
