District,Zone,Geographical Region,Development Region,Year BS,Year AD,Diseases,Value
Ilam,Mechi,Hill,Eastern,2066/67,2009/10,Chicken pox,131
Ilam,Mechi,Hill,Eastern,2066/67,2009/10,Hepatatis-B,1
Jhapa,Mechi,Terai,Eastern,2066/67,2009/10,Measles,30
Jhapa,Mechi,Terai,Eastern,2066/67,2009/10,Diptheria,0
Jhapa,Mechi,Terai,Eastern,2066/67,2009/10,Whooping cough,3
Jhapa,Mechi,Terai,Eastern,2066/67,2009/10,Neonatal Tetanus,0
Jhapa,Mechi,Terai,Eastern,2066/67,2009/10,Tetanus,16
Jhapa,Mechi,Terai,Eastern,2066/67,2009/10,Tuberculosis,1008
Jhapa,Mechi,Terai,Eastern,2066/67,2009/10,Acute Flacid Paralysis,12
Jhapa,Mechi,Terai,Eastern,2066/67,2009/10,Rubella,9
Jhapa,Mechi,Terai,Eastern,2066/67,2009/10,Mumps,935
Jhapa,Mechi,Terai,Eastern,2066/67,2009/10,Chicken pox,541
Jhapa,Mechi,Terai,Eastern,2066/67,2009/10,Hepatatis-B,5
Khotang,Sagarmatha,Hill,Eastern,2066/67,2009/10,Measles,25
Khotang,Sagarmatha,Hill,Eastern,2066/67,2009/10,Diptheria,1
Khotang,Sagarmatha,Hill,Eastern,2066/67,2009/10,Whooping cough,25
Khotang,Sagarmatha,Hill,Eastern,2066/67,2009/10,Neonatal Tetanus,0
Khotang,Sagarmatha,Hill,Eastern,2066/67,2009/10,Tetanus,3
Khotang,Sagarmatha,Hill,Eastern,2066/67,2009/10,Tuberculosis,21
Khotang,Sagarmatha,Hill,Eastern,2066/67,2009/10,Acute Flacid Paralysis,2
Khotang,Sagarmatha,Hill,Eastern,2066/67,2009/10,Rubella,5
Khotang,Sagarmatha,Hill,Eastern,2066/67,2009/10,Mumps,508
Khotang,Sagarmatha,Hill,Eastern,2066/67,2009/10,Chicken pox,462
Khotang,Sagarmatha,Hill,Eastern,2066/67,2009/10,Hepatatis-B,1
Morang,Kosi,Terai,Eastern,2066/67,2009/10,Measles,37
Morang,Kosi,Terai,Eastern,2066/67,2009/10,Diptheria,0
Morang,Kosi,Terai,Eastern,2066/67,2009/10,Whooping cough,4
Morang,Kosi,Terai,Eastern,2066/67,2009/10,Neonatal Tetanus,0
Morang,Kosi,Terai,Eastern,2066/67,2009/10,Tetanus,5
Morang,Kosi,Terai,Eastern,2066/67,2009/10,Tuberculosis,1050
Morang,Kosi,Terai,Eastern,2066/67,2009/10,Acute Flacid Paralysis,24
Morang,Kosi,Terai,Eastern,2066/67,2009/10,Rubella,19
Morang,Kosi,Terai,Eastern,2066/67,2009/10,Mumps,1003
Morang,Kosi,Terai,Eastern,2066/67,2009/10,Chicken pox,672
Morang,Kosi,Terai,Eastern,2066/67,2009/10,Hepatatis-B,17
Okhaldhunga,Sagarmatha,Hill,Eastern,2066/67,2009/10,Measles,76
Okhaldhunga,Sagarmatha,Hill,Eastern,2066/67,2009/10,Diptheria,0
Okhaldhunga,Sagarmatha,Hill,Eastern,2066/67,2009/10,Whooping cough,3
Okhaldhunga,Sagarmatha,Hill,Eastern,2066/67,2009/10,Neonatal Tetanus,0
Okhaldhunga,Sagarmatha,Hill,Eastern,2066/67,2009/10,Tetanus,0
Okhaldhunga,Sagarmatha,Hill,Eastern,2066/67,2009/10,Tuberculosis,184
Okhaldhunga,Sagarmatha,Hill,Eastern,2066/67,2009/10,Acute Flacid Paralysis,0
Okhaldhunga,Sagarmatha,Hill,Eastern,2066/67,2009/10,Rubella,7
Okhaldhunga,Sagarmatha,Hill,Eastern,2066/67,2009/10,Mumps,337
Okhaldhunga,Sagarmatha,Hill,Eastern,2066/67,2009/10,Chicken pox,353
Okhaldhunga,Sagarmatha,Hill,Eastern,2066/67,2009/10,Hepatatis-B,9
Panchthar,Mechi,Hill,Eastern,2066/67,2009/10,Measles,71
Panchthar,Mechi,Hill,Eastern,2066/67,2009/10,Diptheria,0
Panchthar,Mechi,Hill,Eastern,2066/67,2009/10,Whooping cough,40
Panchthar,Mechi,Hill,Eastern,2066/67,2009/10,Neonatal Tetanus,0
Panchthar,Mechi,Hill,Eastern,2066/67,2009/10,Tetanus,0
Panchthar,Mechi,Hill,Eastern,2066/67,2009/10,Tuberculosis,18
Panchthar,Mechi,Hill,Eastern,2066/67,2009/10,Acute Flacid Paralysis,0
Panchthar,Mechi,Hill,Eastern,2066/67,2009/10,Rubella,17
Panchthar,Mechi,Hill,Eastern,2066/67,2009/10,Mumps,475
Panchthar,Mechi,Hill,Eastern,2066/67,2009/10,Chicken pox,69
Panchthar,Mechi,Hill,Eastern,2066/67,2009/10,Hepatatis-B,2
Sankhuwasabha,Kosi,Mountain,Eastern,2066/67,2009/10,Measles,23
Sankhuwasabha,Kosi,Mountain,Eastern,2066/67,2009/10,Diptheria,0
Sankhuwasabha,Kosi,Mountain,Eastern,2066/67,2009/10,Whooping cough,5
Sankhuwasabha,Kosi,Mountain,Eastern,2066/67,2009/10,Neonatal Tetanus,0
Sankhuwasabha,Kosi,Mountain,Eastern,2066/67,2009/10,Tetanus,0
Sankhuwasabha,Kosi,Mountain,Eastern,2066/67,2009/10,Tuberculosis,177
Sankhuwasabha,Kosi,Mountain,Eastern,2066/67,2009/10,Acute Flacid Paralysis,0
Sankhuwasabha,Kosi,Mountain,Eastern,2066/67,2009/10,Rubella,32
Sankhuwasabha,Kosi,Mountain,Eastern,2066/67,2009/10,Mumps,192
Sankhuwasabha,Kosi,Mountain,Eastern,2066/67,2009/10,Chicken pox,441
Sankhuwasabha,Kosi,Mountain,Eastern,2066/67,2009/10,Hepatatis-B,0
Saptari,Sagarmatha,Terai,Eastern,2066/67,2009/10,Measles,24
Saptari,Sagarmatha,Terai,Eastern,2066/67,2009/10,Diptheria,2
Saptari,Sagarmatha,Terai,Eastern,2066/67,2009/10,Whooping cough,2
Saptari,Sagarmatha,Terai,Eastern,2066/67,2009/10,Neonatal Tetanus,0
Saptari,Sagarmatha,Terai,Eastern,2066/67,2009/10,Tetanus,1
Saptari,Sagarmatha,Terai,Eastern,2066/67,2009/10,Tuberculosis,115
Saptari,Sagarmatha,Terai,Eastern,2066/67,2009/10,Acute Flacid Paralysis,1
Saptari,Sagarmatha,Terai,Eastern,2066/67,2009/10,Rubella,0
Saptari,Sagarmatha,Terai,Eastern,2066/67,2009/10,Mumps,690
Saptari,Sagarmatha,Terai,Eastern,2066/67,2009/10,Chicken pox,30
Saptari,Sagarmatha,Terai,Eastern,2066/67,2009/10,Hepatatis-B,5
Siraha,Sagarmatha,Terai,Eastern,2066/67,2009/10,Measles,8
Siraha,Sagarmatha,Terai,Eastern,2066/67,2009/10,Diptheria,0
Siraha,Sagarmatha,Terai,Eastern,2066/67,2009/10,Whooping cough,17
Siraha,Sagarmatha,Terai,Eastern,2066/67,2009/10,Neonatal Tetanus,4
Siraha,Sagarmatha,Terai,Eastern,2066/67,2009/10,Tetanus,2
Siraha,Sagarmatha,Terai,Eastern,2066/67,2009/10,Tuberculosis,589
Siraha,Sagarmatha,Terai,Eastern,2066/67,2009/10,Acute Flacid Paralysis,3
Siraha,Sagarmatha,Terai,Eastern,2066/67,2009/10,Rubella,0
Siraha,Sagarmatha,Terai,Eastern,2066/67,2009/10,Mumps,549
Siraha,Sagarmatha,Terai,Eastern,2066/67,2009/10,Chicken pox,40
Siraha,Sagarmatha,Terai,Eastern,2066/67,2009/10,Hepatatis-B,2
Solukhumbu,Sagarmatha,Mountain,Eastern,2066/67,2009/10,Measles,1
Solukhumbu,Sagarmatha,Mountain,Eastern,2066/67,2009/10,Diptheria,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2066/67,2009/10,Whooping cough,2
Solukhumbu,Sagarmatha,Mountain,Eastern,2066/67,2009/10,Neonatal Tetanus,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2066/67,2009/10,Tetanus,2
Solukhumbu,Sagarmatha,Mountain,Eastern,2066/67,2009/10,Tuberculosis,36
Solukhumbu,Sagarmatha,Mountain,Eastern,2066/67,2009/10,Acute Flacid Paralysis,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2066/67,2009/10,Rubella,2
Solukhumbu,Sagarmatha,Mountain,Eastern,2066/67,2009/10,Mumps,90
Solukhumbu,Sagarmatha,Mountain,Eastern,2066/67,2009/10,Chicken pox,57
Solukhumbu,Sagarmatha,Mountain,Eastern,2066/67,2009/10,Hepatatis-B,36
Sunsari,Kosi,Terai,Eastern,2066/67,2009/10,Measles,25
Sunsari,Kosi,Terai,Eastern,2066/67,2009/10,Diptheria,83
Sunsari,Kosi,Terai,Eastern,2066/67,2009/10,Whooping cough,20
Sunsari,Kosi,Terai,Eastern,2066/67,2009/10,Neonatal Tetanus,0
Sunsari,Kosi,Terai,Eastern,2066/67,2009/10,Tetanus,0
Sunsari,Kosi,Terai,Eastern,2066/67,2009/10,Tuberculosis,316
Sunsari,Kosi,Terai,Eastern,2066/67,2009/10,Acute Flacid Paralysis,1
Sunsari,Kosi,Terai,Eastern,2066/67,2009/10,Rubella,6
Sunsari,Kosi,Terai,Eastern,2066/67,2009/10,Mumps,752
Sunsari,Kosi,Terai,Eastern,2066/67,2009/10,Chicken pox,316
Sunsari,Kosi,Terai,Eastern,2066/67,2009/10,Hepatatis-B,0
Taplejung,Mechi,Mountain,Eastern,2066/67,2009/10,Measles,139
Taplejung,Mechi,Mountain,Eastern,2066/67,2009/10,Diptheria,6
Taplejung,Mechi,Mountain,Eastern,2066/67,2009/10,Whooping cough,7
Taplejung,Mechi,Mountain,Eastern,2066/67,2009/10,Neonatal Tetanus,3
Taplejung,Mechi,Mountain,Eastern,2066/67,2009/10,Tetanus,11
Taplejung,Mechi,Mountain,Eastern,2066/67,2009/10,Tuberculosis,20
Taplejung,Mechi,Mountain,Eastern,2066/67,2009/10,Acute Flacid Paralysis,0
Taplejung,Mechi,Mountain,Eastern,2066/67,2009/10,Rubella,12
Taplejung,Mechi,Mountain,Eastern,2066/67,2009/10,Mumps,774
Taplejung,Mechi,Mountain,Eastern,2066/67,2009/10,Chicken pox,352
Taplejung,Mechi,Mountain,Eastern,2066/67,2009/10,Hepatatis-B,1
Terhathum,Kosi,Hill,Eastern,2066/67,2009/10,Measles,33
Terhathum,Kosi,Hill,Eastern,2066/67,2009/10,Diptheria,0
Terhathum,Kosi,Hill,Eastern,2066/67,2009/10,Whooping cough,4
Terhathum,Kosi,Hill,Eastern,2066/67,2009/10,Neonatal Tetanus,0
Terhathum,Kosi,Hill,Eastern,2066/67,2009/10,Tetanus,0
Terhathum,Kosi,Hill,Eastern,2066/67,2009/10,Tuberculosis,7
Terhathum,Kosi,Hill,Eastern,2066/67,2009/10,Acute Flacid Paralysis,0
Terhathum,Kosi,Hill,Eastern,2066/67,2009/10,Rubella,51
Terhathum,Kosi,Hill,Eastern,2066/67,2009/10,Mumps,373
Terhathum,Kosi,Hill,Eastern,2066/67,2009/10,Chicken pox,300
Terhathum,Kosi,Hill,Eastern,2066/67,2009/10,Hepatatis-B,1
Udayapur,Sagarmatha,Hill,Eastern,2066/67,2009/10,Measles,10
Udayapur,Sagarmatha,Hill,Eastern,2066/67,2009/10,Diptheria,0
Udayapur,Sagarmatha,Hill,Eastern,2066/67,2009/10,Whooping cough,73
Udayapur,Sagarmatha,Hill,Eastern,2066/67,2009/10,Neonatal Tetanus,11
Udayapur,Sagarmatha,Hill,Eastern,2066/67,2009/10,Tetanus,0
Udayapur,Sagarmatha,Hill,Eastern,2066/67,2009/10,Tuberculosis,230
Udayapur,Sagarmatha,Hill,Eastern,2066/67,2009/10,Acute Flacid Paralysis,6
Udayapur,Sagarmatha,Hill,Eastern,2066/67,2009/10,Rubella,10
Udayapur,Sagarmatha,Hill,Eastern,2066/67,2009/10,Mumps,476
Udayapur,Sagarmatha,Hill,Eastern,2066/67,2009/10,Chicken pox,157
Udayapur,Sagarmatha,Hill,Eastern,2066/67,2009/10,Hepatatis-B,24
Bara,Narayani,Terai,Central,2066/67,2009/10,Measles,47
Bara,Narayani,Terai,Central,2066/67,2009/10,Diptheria,1
Bara,Narayani,Terai,Central,2066/67,2009/10,Whooping cough,386
Bara,Narayani,Terai,Central,2066/67,2009/10,Neonatal Tetanus,0
Bara,Narayani,Terai,Central,2066/67,2009/10,Tetanus,0
Bara,Narayani,Terai,Central,2066/67,2009/10,Tuberculosis,617
Bara,Narayani,Terai,Central,2066/67,2009/10,Acute Flacid Paralysis,2
Bara,Narayani,Terai,Central,2066/67,2009/10,Rubella,7
Bara,Narayani,Terai,Central,2066/67,2009/10,Mumps,985
Bara,Narayani,Terai,Central,2066/67,2009/10,Chicken pox,169
Bara,Narayani,Terai,Central,2066/67,2009/10,Hepatatis-B,11
Bhaktapur,Bagmati,Hill,Central,2066/67,2009/10,Measles,85
Bhaktapur,Bagmati,Hill,Central,2066/67,2009/10,Diptheria,0
Bhaktapur,Bagmati,Hill,Central,2066/67,2009/10,Whooping cough,100
Bhaktapur,Bagmati,Hill,Central,2066/67,2009/10,Neonatal Tetanus,0
Bhaktapur,Bagmati,Hill,Central,2066/67,2009/10,Tetanus,0
Bhaktapur,Bagmati,Hill,Central,2066/67,2009/10,Tuberculosis,115
Bhaktapur,Bagmati,Hill,Central,2066/67,2009/10,Acute Flacid Paralysis,3
Bhaktapur,Bagmati,Hill,Central,2066/67,2009/10,Rubella,25
Bhaktapur,Bagmati,Hill,Central,2066/67,2009/10,Mumps,241
Bhaktapur,Bagmati,Hill,Central,2066/67,2009/10,Chicken pox,184
Bhaktapur,Bagmati,Hill,Central,2066/67,2009/10,Hepatatis-B,9
Chitawan,Narayani,Terai,Central,2066/67,2009/10,Measles,43
Chitawan,Narayani,Terai,Central,2066/67,2009/10,Diptheria,1
Chitawan,Narayani,Terai,Central,2066/67,2009/10,Whooping cough,67
Chitawan,Narayani,Terai,Central,2066/67,2009/10,Neonatal Tetanus,0
Chitawan,Narayani,Terai,Central,2066/67,2009/10,Tetanus,20
Chitawan,Narayani,Terai,Central,2066/67,2009/10,Tuberculosis,704
Chitawan,Narayani,Terai,Central,2066/67,2009/10,Acute Flacid Paralysis,0
Chitawan,Narayani,Terai,Central,2066/67,2009/10,Rubella,14
Chitawan,Narayani,Terai,Central,2066/67,2009/10,Mumps,464
Chitawan,Narayani,Terai,Central,2066/67,2009/10,Chicken pox,343
Chitawan,Narayani,Terai,Central,2066/67,2009/10,Hepatatis-B,135
Dhading,Bagmati,Hill,Central,2066/67,2009/10,Measles,114
Dhading,Bagmati,Hill,Central,2066/67,2009/10,Diptheria,0
Dhading,Bagmati,Hill,Central,2066/67,2009/10,Whooping cough,72
Dhading,Bagmati,Hill,Central,2066/67,2009/10,Neonatal Tetanus,1
Dhading,Bagmati,Hill,Central,2066/67,2009/10,Tetanus,3
Dhading,Bagmati,Hill,Central,2066/67,2009/10,Tuberculosis,227
Dhading,Bagmati,Hill,Central,2066/67,2009/10,Acute Flacid Paralysis,5
Dhading,Bagmati,Hill,Central,2066/67,2009/10,Rubella,30
Dhading,Bagmati,Hill,Central,2066/67,2009/10,Mumps,812
Dhading,Bagmati,Hill,Central,2066/67,2009/10,Chicken pox,527
Dhading,Bagmati,Hill,Central,2066/67,2009/10,Hepatatis-B,53
Dhanusa,Janakpur,Terai,Central,2066/67,2009/10,Measles,28
Dhanusa,Janakpur,Terai,Central,2066/67,2009/10,Diptheria,0
Dhanusa,Janakpur,Terai,Central,2066/67,2009/10,Whooping cough,14
Dhanusa,Janakpur,Terai,Central,2066/67,2009/10,Neonatal Tetanus,4
Dhanusa,Janakpur,Terai,Central,2066/67,2009/10,Tetanus,10
Dhanusa,Janakpur,Terai,Central,2066/67,2009/10,Tuberculosis,362
Dhanusa,Janakpur,Terai,Central,2066/67,2009/10,Acute Flacid Paralysis,1
Dhanusa,Janakpur,Terai,Central,2066/67,2009/10,Rubella,7
Dhanusa,Janakpur,Terai,Central,2066/67,2009/10,Mumps,398
Dhanusa,Janakpur,Terai,Central,2066/67,2009/10,Chicken pox,78
Dhanusa,Janakpur,Terai,Central,2066/67,2009/10,Hepatatis-B,0
Dolakha,Janakpur,Mountain,Central,2066/67,2009/10,Measles,52
Dolakha,Janakpur,Mountain,Central,2066/67,2009/10,Diptheria,0
Dolakha,Janakpur,Mountain,Central,2066/67,2009/10,Whooping cough,51
Dolakha,Janakpur,Mountain,Central,2066/67,2009/10,Neonatal Tetanus,8
Dolakha,Janakpur,Mountain,Central,2066/67,2009/10,Tetanus,0
Dolakha,Janakpur,Mountain,Central,2066/67,2009/10,Tuberculosis,200
Dolakha,Janakpur,Mountain,Central,2066/67,2009/10,Acute Flacid Paralysis,0
Dolakha,Janakpur,Mountain,Central,2066/67,2009/10,Rubella,24
Dolakha,Janakpur,Mountain,Central,2066/67,2009/10,Mumps,803
Dolakha,Janakpur,Mountain,Central,2066/67,2009/10,Chicken pox,255
Dolakha,Janakpur,Mountain,Central,2066/67,2009/10,Hepatatis-B,39
Kathmandu,Bagmati,Hill,Central,2066/67,2009/10,Measles,370
Kathmandu,Bagmati,Hill,Central,2066/67,2009/10,Diptheria,31
Kathmandu,Bagmati,Hill,Central,2066/67,2009/10,Whooping cough,341
Kathmandu,Bagmati,Hill,Central,2066/67,2009/10,Neonatal Tetanus,135
Kathmandu,Bagmati,Hill,Central,2066/67,2009/10,Tetanus,324
Kathmandu,Bagmati,Hill,Central,2066/67,2009/10,Tuberculosis,458
Kathmandu,Bagmati,Hill,Central,2066/67,2009/10,Acute Flacid Paralysis,36
Kathmandu,Bagmati,Hill,Central,2066/67,2009/10,Rubella,24
Kathmandu,Bagmati,Hill,Central,2066/67,2009/10,Mumps,593
Kathmandu,Bagmati,Hill,Central,2066/67,2009/10,Chicken pox,656
Kathmandu,Bagmati,Hill,Central,2066/67,2009/10,Hepatatis-B,1025
Kavre,Bagmati,Hill,Central,2066/67,2009/10,Measles,204
Kavre,Bagmati,Hill,Central,2066/67,2009/10,Diptheria,4
Kavre,Bagmati,Hill,Central,2066/67,2009/10,Whooping cough,210
Kavre,Bagmati,Hill,Central,2066/67,2009/10,Neonatal Tetanus,0
Kavre,Bagmati,Hill,Central,2066/67,2009/10,Tetanus,6
Kavre,Bagmati,Hill,Central,2066/67,2009/10,Tuberculosis,143
Kavre,Bagmati,Hill,Central,2066/67,2009/10,Acute Flacid Paralysis,0
Kavre,Bagmati,Hill,Central,2066/67,2009/10,Rubella,7
Kavre,Bagmati,Hill,Central,2066/67,2009/10,Mumps,730
Kavre,Bagmati,Hill,Central,2066/67,2009/10,Chicken pox,555
Kavre,Bagmati,Hill,Central,2066/67,2009/10,Hepatatis-B,22
Lalitpur,Bagmati,Hill,Central,2066/67,2009/10,Measles,0
Lalitpur,Bagmati,Hill,Central,2066/67,2009/10,Diptheria,0
Lalitpur,Bagmati,Hill,Central,2066/67,2009/10,Whooping cough,0
Lalitpur,Bagmati,Hill,Central,2066/67,2009/10,Neonatal Tetanus,0
Lalitpur,Bagmati,Hill,Central,2066/67,2009/10,Tetanus,0
Lalitpur,Bagmati,Hill,Central,2066/67,2009/10,Tuberculosis,0
Lalitpur,Bagmati,Hill,Central,2066/67,2009/10,Acute Flacid Paralysis,0
Lalitpur,Bagmati,Hill,Central,2066/67,2009/10,Rubella,0
Lalitpur,Bagmati,Hill,Central,2066/67,2009/10,Mumps,0
Lalitpur,Bagmati,Hill,Central,2066/67,2009/10,Chicken pox,0
Lalitpur,Bagmati,Hill,Central,2066/67,2009/10,Hepatatis-B,0
Mahottari,Janakpur,Terai,Central,2066/67,2009/10,Measles,6
Mahottari,Janakpur,Terai,Central,2066/67,2009/10,Diptheria,0
Mahottari,Janakpur,Terai,Central,2066/67,2009/10,Whooping cough,2
Mahottari,Janakpur,Terai,Central,2066/67,2009/10,Neonatal Tetanus,0
Mahottari,Janakpur,Terai,Central,2066/67,2009/10,Tetanus,0
Mahottari,Janakpur,Terai,Central,2066/67,2009/10,Tuberculosis,329
Mahottari,Janakpur,Terai,Central,2066/67,2009/10,Acute Flacid Paralysis,3
Mahottari,Janakpur,Terai,Central,2066/67,2009/10,Rubella,21
Mahottari,Janakpur,Terai,Central,2066/67,2009/10,Mumps,349
Mahottari,Janakpur,Terai,Central,2066/67,2009/10,Chicken pox,286
Mahottari,Janakpur,Terai,Central,2066/67,2009/10,Hepatatis-B,1
Makwanpur,Narayani,Hill,Central,2066/67,2009/10,Measles,32
Makwanpur,Narayani,Hill,Central,2066/67,2009/10,Diptheria,0
Makwanpur,Narayani,Hill,Central,2066/67,2009/10,Whooping cough,22
Makwanpur,Narayani,Hill,Central,2066/67,2009/10,Neonatal Tetanus,8
Makwanpur,Narayani,Hill,Central,2066/67,2009/10,Tetanus,6
Makwanpur,Narayani,Hill,Central,2066/67,2009/10,Tuberculosis,299
Makwanpur,Narayani,Hill,Central,2066/67,2009/10,Acute Flacid Paralysis,5
Makwanpur,Narayani,Hill,Central,2066/67,2009/10,Rubella,2
Makwanpur,Narayani,Hill,Central,2066/67,2009/10,Mumps,818
Makwanpur,Narayani,Hill,Central,2066/67,2009/10,Chicken pox,333
Makwanpur,Narayani,Hill,Central,2066/67,2009/10,Hepatatis-B,4
Nuwakot,Bagmati,Hill,Central,2066/67,2009/10,Measles,81
Nuwakot,Bagmati,Hill,Central,2066/67,2009/10,Diptheria,4
Nuwakot,Bagmati,Hill,Central,2066/67,2009/10,Whooping cough,9
Nuwakot,Bagmati,Hill,Central,2066/67,2009/10,Neonatal Tetanus,0
Nuwakot,Bagmati,Hill,Central,2066/67,2009/10,Tetanus,10
Nuwakot,Bagmati,Hill,Central,2066/67,2009/10,Tuberculosis,140
Nuwakot,Bagmati,Hill,Central,2066/67,2009/10,Acute Flacid Paralysis,0
Nuwakot,Bagmati,Hill,Central,2066/67,2009/10,Rubella,41
Nuwakot,Bagmati,Hill,Central,2066/67,2009/10,Mumps,414
Nuwakot,Bagmati,Hill,Central,2066/67,2009/10,Chicken pox,168
Nuwakot,Bagmati,Hill,Central,2066/67,2009/10,Hepatatis-B,45
Parsa,Narayani,Terai,Central,2066/67,2009/10,Measles,0
Parsa,Narayani,Terai,Central,2066/67,2009/10,Diptheria,0
Parsa,Narayani,Terai,Central,2066/67,2009/10,Whooping cough,0
Parsa,Narayani,Terai,Central,2066/67,2009/10,Neonatal Tetanus,0
Parsa,Narayani,Terai,Central,2066/67,2009/10,Tetanus,0
Parsa,Narayani,Terai,Central,2066/67,2009/10,Tuberculosis,0
Parsa,Narayani,Terai,Central,2066/67,2009/10,Acute Flacid Paralysis,0
Parsa,Narayani,Terai,Central,2066/67,2009/10,Rubella,0
Parsa,Narayani,Terai,Central,2066/67,2009/10,Mumps,0
Parsa,Narayani,Terai,Central,2066/67,2009/10,Chicken pox,0
Parsa,Narayani,Terai,Central,2066/67,2009/10,Hepatatis-B,0
Ramechhap,Janakpur,Hill,Central,2066/67,2009/10,Measles,18
Ramechhap,Janakpur,Hill,Central,2066/67,2009/10,Diptheria,4
Ramechhap,Janakpur,Hill,Central,2066/67,2009/10,Whooping cough,10
Ramechhap,Janakpur,Hill,Central,2066/67,2009/10,Neonatal Tetanus,0
Ramechhap,Janakpur,Hill,Central,2066/67,2009/10,Tetanus,3
Ramechhap,Janakpur,Hill,Central,2066/67,2009/10,Tuberculosis,30
Ramechhap,Janakpur,Hill,Central,2066/67,2009/10,Acute Flacid Paralysis,1
Ramechhap,Janakpur,Hill,Central,2066/67,2009/10,Rubella,19
Ramechhap,Janakpur,Hill,Central,2066/67,2009/10,Mumps,906
Ramechhap,Janakpur,Hill,Central,2066/67,2009/10,Chicken pox,220
Ramechhap,Janakpur,Hill,Central,2066/67,2009/10,Hepatatis-B,7
Rasuwa,Bagmati,Mountain,Central,2066/67,2009/10,Measles,13
Rasuwa,Bagmati,Mountain,Central,2066/67,2009/10,Diptheria,1
Rasuwa,Bagmati,Mountain,Central,2066/67,2009/10,Whooping cough,5
Rasuwa,Bagmati,Mountain,Central,2066/67,2009/10,Neonatal Tetanus,0
Rasuwa,Bagmati,Mountain,Central,2066/67,2009/10,Tetanus,0
Rasuwa,Bagmati,Mountain,Central,2066/67,2009/10,Tuberculosis,12
Rasuwa,Bagmati,Mountain,Central,2066/67,2009/10,Acute Flacid Paralysis,0
Rasuwa,Bagmati,Mountain,Central,2066/67,2009/10,Rubella,1
Rasuwa,Bagmati,Mountain,Central,2066/67,2009/10,Mumps,116
Rasuwa,Bagmati,Mountain,Central,2066/67,2009/10,Chicken pox,89
Rasuwa,Bagmati,Mountain,Central,2066/67,2009/10,Hepatatis-B,0
Rautahat,Narayani,Terai,Central,2066/67,2009/10,Measles,15
Rautahat,Narayani,Terai,Central,2066/67,2009/10,Diptheria,0
Rautahat,Narayani,Terai,Central,2066/67,2009/10,Whooping cough,36
Rautahat,Narayani,Terai,Central,2066/67,2009/10,Neonatal Tetanus,0
Rautahat,Narayani,Terai,Central,2066/67,2009/10,Tetanus,4
Rautahat,Narayani,Terai,Central,2066/67,2009/10,Tuberculosis,233
Rautahat,Narayani,Terai,Central,2066/67,2009/10,Acute Flacid Paralysis,6
Rautahat,Narayani,Terai,Central,2066/67,2009/10,Rubella,0
Rautahat,Narayani,Terai,Central,2066/67,2009/10,Mumps,403
