Year BS,Year AD,District,zone,belt,region,Mental problem,No of People,Zone,Belt,Region
2069/70,2012/13,Achham,Seti,Hill,Far-Western,"Conversive disorder
(Hysteria)",65,Seti,Hill,Far-Western
2069/70,2012/13,Achham,Seti,Hill,Far-Western,Depression,481,Seti,Hill,Far-Western
2069/70,2012/13,Achham,Seti,Hill,Far-Western,Epilesy,383,Seti,Hill,Far-Western
2069/70,2012/13,Achham,Seti,Hill,Far-Western,Mental retardation,17,Seti,Hill,Far-Western
2069/70,2012/13,Achham,Seti,Hill,Far-Western,Psychosis,152,Seti,Hill,Far-Western
2069/70,2012/13,Achham,Seti,Hill,Far-Western,Alcoholism,22,Seti,Hill,Far-Western
2070/71,2013/14,Achham,Seti,Hill,Far-Western,Anxiety (Neurosis,825,Seti,Hill,Far-Western
2070/71,2013/14,Achham,Seti,Hill,Far-Western,"Conversive disorder
(Hysteria)",82,Seti,Hill,Far-Western
2070/71,2013/14,Achham,Seti,Hill,Far-Western,Depression,446,Seti,Hill,Far-Western
2070/71,2013/14,Achham,Seti,Hill,Far-Western,Epilesy,399,Seti,Hill,Far-Western
2070/71,2013/14,Achham,Seti,Hill,Far-Western,Mental retardation,16,Seti,Hill,Far-Western
2070/71,2013/14,Achham,Seti,Hill,Far-Western,Psychosis,130,Seti,Hill,Far-Western
2066/67,2009/10,Arghakhanchi,Lumbini,Hill,Western,Alcoholism,19,Lumbini,Hill,Western
2066/67,2009/10,Arghakhanchi,Lumbini,Hill,Western,Anxiety (Neurosis,353,Lumbini,Hill,Western
2066/67,2009/10,Arghakhanchi,Lumbini,Hill,Western,"Conversive disorder
(Hysteria)",21,Lumbini,Hill,Western
2066/67,2009/10,Arghakhanchi,Lumbini,Hill,Western,Depression,462,Lumbini,Hill,Western
2066/67,2009/10,Arghakhanchi,Lumbini,Hill,Western,Epilesy,16,Lumbini,Hill,Western
2066/67,2009/10,Arghakhanchi,Lumbini,Hill,Western,Mental retardation,25,Lumbini,Hill,Western
2066/67,2009/10,Arghakhanchi,Lumbini,Hill,Western,Psychosis,22,Lumbini,Hill,Western
2067/68,2010/11,Arghakhanchi,Lumbini,Hill,Western,Alcoholism,73,Lumbini,Hill,Western
2067/68,2010/11,Arghakhanchi,Lumbini,Hill,Western,Anxiety (Neurosis,428,Lumbini,Hill,Western
2067/68,2010/11,Arghakhanchi,Lumbini,Hill,Western,"Conversive disorder
(Hysteria)",37,Lumbini,Hill,Western
2067/68,2010/11,Arghakhanchi,Lumbini,Hill,Western,Depression,447,Lumbini,Hill,Western
2067/68,2010/11,Arghakhanchi,Lumbini,Hill,Western,Epilesy,43,Lumbini,Hill,Western
2067/68,2010/11,Arghakhanchi,Lumbini,Hill,Western,Mental retardation,34,Lumbini,Hill,Western
2067/68,2010/11,Arghakhanchi,Lumbini,Hill,Western,Psychosis,38,Lumbini,Hill,Western
2068/69,2011/12,Arghakhanchi,Lumbini,Hill,Western,Alcoholism,56,Lumbini,Hill,Western
2068/69,2011/12,Arghakhanchi,Lumbini,Hill,Western,Anxiety (Neurosis,382,Lumbini,Hill,Western
2068/69,2011/12,Arghakhanchi,Lumbini,Hill,Western,"Conversive disorder
(Hysteria)",32,Lumbini,Hill,Western
2068/69,2011/12,Arghakhanchi,Lumbini,Hill,Western,Depression,267,Lumbini,Hill,Western
2068/69,2011/12,Arghakhanchi,Lumbini,Hill,Western,Epilesy,20,Lumbini,Hill,Western
2068/69,2011/12,Arghakhanchi,Lumbini,Hill,Western,Mental retardation,7,Lumbini,Hill,Western
2068/69,2011/12,Arghakhanchi,Lumbini,Hill,Western,Psychosis,66,Lumbini,Hill,Western
2069/70,2012/13,Arghakhanchi,Lumbini,Hill,Western,Alcoholism,30,Lumbini,Hill,Western
2069/70,2012/13,Arghakhanchi,Lumbini,Hill,Western,Anxiety (Neurosis,150,Lumbini,Hill,Western
2069/70,2012/13,Arghakhanchi,Lumbini,Hill,Western,"Conversive disorder
(Hysteria)",16,Lumbini,Hill,Western
2069/70,2012/13,Arghakhanchi,Lumbini,Hill,Western,Depression,173,Lumbini,Hill,Western
2069/70,2012/13,Arghakhanchi,Lumbini,Hill,Western,Epilesy,35,Lumbini,Hill,Western
2069/70,2012/13,Arghakhanchi,Lumbini,Hill,Western,Mental retardation,1,Lumbini,Hill,Western
2069/70,2012/13,Arghakhanchi,Lumbini,Hill,Western,Psychosis,1,Lumbini,Hill,Western
2069/70,2012/13,Arghakhanchi,Lumbini,Hill,Western,Alcoholism,28,Lumbini,Hill,Western
2070/71,2013/14,Arghakhanchi,Lumbini,Hill,Western,Anxiety (Neurosis,284,Lumbini,Hill,Western
2070/71,2013/14,Arghakhanchi,Lumbini,Hill,Western,"Conversive disorder
(Hysteria)",6,Lumbini,Hill,Western
2070/71,2013/14,Arghakhanchi,Lumbini,Hill,Western,Depression,195,Lumbini,Hill,Western
2070/71,2013/14,Arghakhanchi,Lumbini,Hill,Western,Epilesy,10,Lumbini,Hill,Western
2070/71,2013/14,Arghakhanchi,Lumbini,Hill,Western,Mental retardation,11,Lumbini,Hill,Western
2070/71,2013/14,Arghakhanchi,Lumbini,Hill,Western,Psychosis,10,Lumbini,Hill,Western
2066/67,2009/10,Baglung,Dhawalagiri,Hill,Western,Alcoholism,106,Dhawalagiri,Hill,Western
2066/67,2009/10,Baglung,Dhawalagiri,Hill,Western,Anxiety (Neurosis,857,Dhawalagiri,Hill,Western
2066/67,2009/10,Baglung,Dhawalagiri,Hill,Western,"Conversive disorder
(Hysteria)",36,Dhawalagiri,Hill,Western
2066/67,2009/10,Baglung,Dhawalagiri,Hill,Western,Depression,177,Dhawalagiri,Hill,Western
2066/67,2009/10,Baglung,Dhawalagiri,Hill,Western,Epilesy,63,Dhawalagiri,Hill,Western
2066/67,2009/10,Baglung,Dhawalagiri,Hill,Western,Mental retardation,60,Dhawalagiri,Hill,Western
2066/67,2009/10,Baglung,Dhawalagiri,Hill,Western,Psychosis,107,Dhawalagiri,Hill,Western
2067/68,2010/11,Baglung,Dhawalagiri,Hill,Western,Alcoholism,107,Dhawalagiri,Hill,Western
2067/68,2010/11,Baglung,Dhawalagiri,Hill,Western,Anxiety (Neurosis,748,Dhawalagiri,Hill,Western
2067/68,2010/11,Baglung,Dhawalagiri,Hill,Western,"Conversive disorder
(Hysteria)",31,Dhawalagiri,Hill,Western
2067/68,2010/11,Baglung,Dhawalagiri,Hill,Western,Depression,313,Dhawalagiri,Hill,Western
2067/68,2010/11,Baglung,Dhawalagiri,Hill,Western,Epilesy,53,Dhawalagiri,Hill,Western
2067/68,2010/11,Baglung,Dhawalagiri,Hill,Western,Mental retardation,64,Dhawalagiri,Hill,Western
2067/68,2010/11,Baglung,Dhawalagiri,Hill,Western,Psychosis,95,Dhawalagiri,Hill,Western
2068/69,2011/12,Baglung,Dhawalagiri,Hill,Western,Alcoholism,102,Dhawalagiri,Hill,Western
2068/69,2011/12,Baglung,Dhawalagiri,Hill,Western,Anxiety (Neurosis,594,Dhawalagiri,Hill,Western
2068/69,2011/12,Baglung,Dhawalagiri,Hill,Western,"Conversive disorder
(Hysteria)",45,Dhawalagiri,Hill,Western
2068/69,2011/12,Baglung,Dhawalagiri,Hill,Western,Depression,302,Dhawalagiri,Hill,Western
2068/69,2011/12,Baglung,Dhawalagiri,Hill,Western,Epilesy,86,Dhawalagiri,Hill,Western
2068/69,2011/12,Baglung,Dhawalagiri,Hill,Western,Mental retardation,101,Dhawalagiri,Hill,Western
2068/69,2011/12,Baglung,Dhawalagiri,Hill,Western,Psychosis,130,Dhawalagiri,Hill,Western
2069/70,2012/13,Baglung,Dhawalagiri,Hill,Western,Alcoholism,113,Dhawalagiri,Hill,Western
2069/70,2012/13,Baglung,Dhawalagiri,Hill,Western,Anxiety (Neurosis,842,Dhawalagiri,Hill,Western
2069/70,2012/13,Baglung,Dhawalagiri,Hill,Western,"Conversive disorder
(Hysteria)",80,Dhawalagiri,Hill,Western
2069/70,2012/13,Baglung,Dhawalagiri,Hill,Western,Depression,282,Dhawalagiri,Hill,Western
2069/70,2012/13,Baglung,Dhawalagiri,Hill,Western,Epilesy,103,Dhawalagiri,Hill,Western
2069/70,2012/13,Baglung,Dhawalagiri,Hill,Western,Mental retardation,82,Dhawalagiri,Hill,Western
2069/70,2012/13,Baglung,Dhawalagiri,Hill,Western,Psychosis,48,Dhawalagiri,Hill,Western
2069/70,2012/13,Baglung,Dhawalagiri,Hill,Western,Alcoholism,172,Dhawalagiri,Hill,Western
2070/71,2013/14,Baglung,Dhawalagiri,Hill,Western,Anxiety (Neurosis,728,Dhawalagiri,Hill,Western
2070/71,2013/14,Baglung,Dhawalagiri,Hill,Western,"Conversive disorder
(Hysteria)",29,Dhawalagiri,Hill,Western
2070/71,2013/14,Baglung,Dhawalagiri,Hill,Western,Depression,621,Dhawalagiri,Hill,Western
2070/71,2013/14,Baglung,Dhawalagiri,Hill,Western,Epilesy,81,Dhawalagiri,Hill,Western
2070/71,2013/14,Baglung,Dhawalagiri,Hill,Western,Mental retardation,42,Dhawalagiri,Hill,Western
2070/71,2013/14,Baglung,Dhawalagiri,Hill,Western,Psychosis,49,Dhawalagiri,Hill,Western
2066/67,2009/10,Baitadi,Mahakali,Hill,Far-Western,Alcoholism,30,Mahakali,Hill,Far-Western
2066/67,2009/10,Baitadi,Mahakali,Hill,Far-Western,Anxiety (Neurosis,71,Mahakali,Hill,Far-Western
2066/67,2009/10,Baitadi,Mahakali,Hill,Far-Western,"Conversive disorder
(Hysteria)",16,Mahakali,Hill,Far-Western
2066/67,2009/10,Baitadi,Mahakali,Hill,Far-Western,Depression,164,Mahakali,Hill,Far-Western
2066/67,2009/10,Baitadi,Mahakali,Hill,Far-Western,Epilesy,6,Mahakali,Hill,Far-Western
2066/67,2009/10,Baitadi,Mahakali,Hill,Far-Western,Mental retardation,4,Mahakali,Hill,Far-Western
2066/67,2009/10,Baitadi,Mahakali,Hill,Far-Western,Psychosis,1,Mahakali,Hill,Far-Western
2067/68,2010/11,Baitadi,Mahakali,Hill,Far-Western,Alcoholism,36,Mahakali,Hill,Far-Western
2067/68,2010/11,Baitadi,Mahakali,Hill,Far-Western,Anxiety (Neurosis,117,Mahakali,Hill,Far-Western
2067/68,2010/11,Baitadi,Mahakali,Hill,Far-Western,"Conversive disorder
(Hysteria)",3,Mahakali,Hill,Far-Western
2067/68,2010/11,Baitadi,Mahakali,Hill,Far-Western,Depression,160,Mahakali,Hill,Far-Western
2067/68,2010/11,Baitadi,Mahakali,Hill,Far-Western,Epilesy,7,Mahakali,Hill,Far-Western
2067/68,2010/11,Baitadi,Mahakali,Hill,Far-Western,Mental retardation,10,Mahakali,Hill,Far-Western
2067/68,2010/11,Baitadi,Mahakali,Hill,Far-Western,Psychosis,3,Mahakali,Hill,Far-Western
2068/69,2011/12,Baitadi,Mahakali,Hill,Far-Western,Alcoholism,51,Mahakali,Hill,Far-Western
2068/69,2011/12,Baitadi,Mahakali,Hill,Far-Western,Anxiety (Neurosis,132,Mahakali,Hill,Far-Western
2068/69,2011/12,Baitadi,Mahakali,Hill,Far-Western,"Conversive disorder
(Hysteria)",15,Mahakali,Hill,Far-Western
2068/69,2011/12,Baitadi,Mahakali,Hill,Far-Western,Depression,129,Mahakali,Hill,Far-Western
2068/69,2011/12,Baitadi,Mahakali,Hill,Far-Western,Epilesy,5,Mahakali,Hill,Far-Western
2068/69,2011/12,Baitadi,Mahakali,Hill,Far-Western,Mental retardation,44,Mahakali,Hill,Far-Western
2068/69,2011/12,Baitadi,Mahakali,Hill,Far-Western,Psychosis,26,Mahakali,Hill,Far-Western
2069/70,2012/13,Baitadi,Mahakali,Hill,Far-Western,Alcoholism,8,Mahakali,Hill,Far-Western
2069/70,2012/13,Baitadi,Mahakali,Hill,Far-Western,Anxiety (Neurosis,72,Mahakali,Hill,Far-Western
2069/70,2012/13,Baitadi,Mahakali,Hill,Far-Western,"Conversive disorder
(Hysteria)",4,Mahakali,Hill,Far-Western
2069/70,2012/13,Baitadi,Mahakali,Hill,Far-Western,Depression,51,Mahakali,Hill,Far-Western
2069/70,2012/13,Baitadi,Mahakali,Hill,Far-Western,Epilesy,3,Mahakali,Hill,Far-Western
2069/70,2012/13,Baitadi,Mahakali,Hill,Far-Western,Mental retardation,18,Mahakali,Hill,Far-Western
2069/70,2012/13,Baitadi,Mahakali,Hill,Far-Western,Psychosis,9,Mahakali,Hill,Far-Western
2069/70,2012/13,Baitadi,Mahakali,Hill,Far-Western,Alcoholism,0,Mahakali,Hill,Far-Western
2070/71,2013/14,Baitadi,Mahakali,Hill,Far-Western,Anxiety (Neurosis,15,Mahakali,Hill,Far-Western
2070/71,2013/14,Baitadi,Mahakali,Hill,Far-Western,"Conversive disorder
(Hysteria)",7,Mahakali,Hill,Far-Western
2070/71,2013/14,Baitadi,Mahakali,Hill,Far-Western,Depression,14,Mahakali,Hill,Far-Western
2070/71,2013/14,Baitadi,Mahakali,Hill,Far-Western,Epilesy,8,Mahakali,Hill,Far-Western
2070/71,2013/14,Baitadi,Mahakali,Hill,Far-Western,Mental retardation,0,Mahakali,Hill,Far-Western
2070/71,2013/14,Baitadi,Mahakali,Hill,Far-Western,Psychosis,0,Mahakali,Hill,Far-Western
2066/67,2009/10,Bajhang,Seti,Mountain,Far-Western,Alcoholism,9,Seti,Mountain,Far-Western
2066/67,2009/10,Bajhang,Seti,Mountain,Far-Western,Anxiety (Neurosis,61,Seti,Mountain,Far-Western
2066/67,2009/10,Bajhang,Seti,Mountain,Far-Western,"Conversive disorder
(Hysteria)",10,Seti,Mountain,Far-Western
2066/67,2009/10,Bajhang,Seti,Mountain,Far-Western,Depression,76,Seti,Mountain,Far-Western
2066/67,2009/10,Bajhang,Seti,Mountain,Far-Western,Epilesy,16,Seti,Mountain,Far-Western
2066/67,2009/10,Bajhang,Seti,Mountain,Far-Western,Mental retardation,6,Seti,Mountain,Far-Western
2066/67,2009/10,Bajhang,Seti,Mountain,Far-Western,Psychosis,9,Seti,Mountain,Far-Western
2067/68,2010/11,Bajhang,Seti,Mountain,Far-Western,Alcoholism,18,Seti,Mountain,Far-Western
2067/68,2010/11,Bajhang,Seti,Mountain,Far-Western,Anxiety (Neurosis,143,Seti,Mountain,Far-Western
2067/68,2010/11,Bajhang,Seti,Mountain,Far-Western,"Conversive disorder
(Hysteria)",13,Seti,Mountain,Far-Western
2067/68,2010/11,Bajhang,Seti,Mountain,Far-Western,Depression,115,Seti,Mountain,Far-Western
2067/68,2010/11,Bajhang,Seti,Mountain,Far-Western,Epilesy,25,Seti,Mountain,Far-Western
2067/68,2010/11,Bajhang,Seti,Mountain,Far-Western,Mental retardation,3,Seti,Mountain,Far-Western
2067/68,2010/11,Bajhang,Seti,Mountain,Far-Western,Psychosis,16,Seti,Mountain,Far-Western
2068/69,2011/12,Bajhang,Seti,Mountain,Far-Western,Alcoholism,20,Seti,Mountain,Far-Western
2068/69,2011/12,Bajhang,Seti,Mountain,Far-Western,Anxiety (Neurosis,246,Seti,Mountain,Far-Western
2068/69,2011/12,Bajhang,Seti,Mountain,Far-Western,"Conversive disorder
(Hysteria)",34,Seti,Mountain,Far-Western
2068/69,2011/12,Bajhang,Seti,Mountain,Far-Western,Depression,167,Seti,Mountain,Far-Western
2068/69,2011/12,Bajhang,Seti,Mountain,Far-Western,Epilesy,26,Seti,Mountain,Far-Western
2068/69,2011/12,Bajhang,Seti,Mountain,Far-Western,Mental retardation,7,Seti,Mountain,Far-Western
2068/69,2011/12,Bajhang,Seti,Mountain,Far-Western,Psychosis,45,Seti,Mountain,Far-Western
2069/70,2012/13,Bajhang,Seti,Mountain,Far-Western,Alcoholism,35,Seti,Mountain,Far-Western
2069/70,2012/13,Bajhang,Seti,Mountain,Far-Western,Anxiety (Neurosis,402,Seti,Mountain,Far-Western
2069/70,2012/13,Bajhang,Seti,Mountain,Far-Western,"Conversive disorder
(Hysteria)",47,Seti,Mountain,Far-Western
2069/70,2012/13,Bajhang,Seti,Mountain,Far-Western,Depression,362,Seti,Mountain,Far-Western
2069/70,2012/13,Bajhang,Seti,Mountain,Far-Western,Epilesy,138,Seti,Mountain,Far-Western
2069/70,2012/13,Bajhang,Seti,Mountain,Far-Western,Mental retardation,13,Seti,Mountain,Far-Western
2069/70,2012/13,Bajhang,Seti,Mountain,Far-Western,Psychosis,50,Seti,Mountain,Far-Western
2069/70,2012/13,Bajhang,Seti,Mountain,Far-Western,Alcoholism,80,Seti,Mountain,Far-Western
2070/71,2013/14,Bajhang,Seti,Mountain,Far-Western,Anxiety (Neurosis,460,Seti,Mountain,Far-Western
2070/71,2013/14,Bajhang,Seti,Mountain,Far-Western,"Conversive disorder
(Hysteria)",92,Seti,Mountain,Far-Western
2070/71,2013/14,Bajhang,Seti,Mountain,Far-Western,Depression,458,Seti,Mountain,Far-Western
2070/71,2013/14,Bajhang,Seti,Mountain,Far-Western,Epilesy,48,Seti,Mountain,Far-Western
2070/71,2013/14,Bajhang,Seti,Mountain,Far-Western,Mental retardation,15,Seti,Mountain,Far-Western
2070/71,2013/14,Bajhang,Seti,Mountain,Far-Western,Psychosis,58,Seti,Mountain,Far-Western
2066/67,2009/10,Bajura,Seti,Mountain,Far-Western,Alcoholism,1,Seti,Mountain,Far-Western
2066/67,2009/10,Bajura,Seti,Mountain,Far-Western,Anxiety (Neurosis,22,Seti,Mountain,Far-Western
2066/67,2009/10,Bajura,Seti,Mountain,Far-Western,"Conversive disorder
(Hysteria)",0,Seti,Mountain,Far-Western
2066/67,2009/10,Bajura,Seti,Mountain,Far-Western,Depression,13,Seti,Mountain,Far-Western
2066/67,2009/10,Bajura,Seti,Mountain,Far-Western,Epilesy,2,Seti,Mountain,Far-Western
2066/67,2009/10,Bajura,Seti,Mountain,Far-Western,Mental retardation,0,Seti,Mountain,Far-Western
2066/67,2009/10,Bajura,Seti,Mountain,Far-Western,Psychosis,0,Seti,Mountain,Far-Western
2067/68,2010/11,Bajura,Seti,Mountain,Far-Western,Alcoholism,1,Seti,Mountain,Far-Western
2067/68,2010/11,Bajura,Seti,Mountain,Far-Western,Anxiety (Neurosis,6,Seti,Mountain,Far-Western
2067/68,2010/11,Bajura,Seti,Mountain,Far-Western,"Conversive disorder
(Hysteria)",0,Seti,Mountain,Far-Western
2067/68,2010/11,Bajura,Seti,Mountain,Far-Western,Depression,33,Seti,Mountain,Far-Western
2067/68,2010/11,Bajura,Seti,Mountain,Far-Western,Epilesy,2,Seti,Mountain,Far-Western
2067/68,2010/11,Bajura,Seti,Mountain,Far-Western,Mental retardation,0,Seti,Mountain,Far-Western
2067/68,2010/11,Bajura,Seti,Mountain,Far-Western,Psychosis,0,Seti,Mountain,Far-Western
2068/69,2011/12,Bajura,Seti,Mountain,Far-Western,Alcoholism,1,Seti,Mountain,Far-Western
2068/69,2011/12,Bajura,Seti,Mountain,Far-Western,Anxiety (Neurosis,20,Seti,Mountain,Far-Western
2068/69,2011/12,Bajura,Seti,Mountain,Far-Western,"Conversive disorder
(Hysteria)",0,Seti,Mountain,Far-Western
2068/69,2011/12,Bajura,Seti,Mountain,Far-Western,Depression,35,Seti,Mountain,Far-Western
2068/69,2011/12,Bajura,Seti,Mountain,Far-Western,Epilesy,1,Seti,Mountain,Far-Western
2068/69,2011/12,Bajura,Seti,Mountain,Far-Western,Mental retardation,0,Seti,Mountain,Far-Western
2068/69,2011/12,Bajura,Seti,Mountain,Far-Western,Psychosis,0,Seti,Mountain,Far-Western
2069/70,2012/13,Bajura,Seti,Mountain,Far-Western,Alcoholism,6,Seti,Mountain,Far-Western
2069/70,2012/13,Bajura,Seti,Mountain,Far-Western,Anxiety (Neurosis,8,Seti,Mountain,Far-Western
2069/70,2012/13,Bajura,Seti,Mountain,Far-Western,"Conversive disorder
(Hysteria)",7,Seti,Mountain,Far-Western
2069/70,2012/13,Bajura,Seti,Mountain,Far-Western,Depression,54,Seti,Mountain,Far-Western
2069/70,2012/13,Bajura,Seti,Mountain,Far-Western,Epilesy,25,Seti,Mountain,Far-Western
2069/70,2012/13,Bajura,Seti,Mountain,Far-Western,Mental retardation,1,Seti,Mountain,Far-Western
2069/70,2012/13,Bajura,Seti,Mountain,Far-Western,Psychosis,6,Seti,Mountain,Far-Western
2069/70,2012/13,Bajura,Seti,Mountain,Far-Western,Alcoholism,3,Seti,Mountain,Far-Western
2070/71,2013/14,Bajura,Seti,Mountain,Far-Western,Anxiety (Neurosis,14,Seti,Mountain,Far-Western
2070/71,2013/14,Bajura,Seti,Mountain,Far-Western,"Conversive disorder
(Hysteria)",6,Seti,Mountain,Far-Western
2070/71,2013/14,Bajura,Seti,Mountain,Far-Western,Depression,7,Seti,Mountain,Far-Western
2070/71,2013/14,Bajura,Seti,Mountain,Far-Western,Epilesy,2,Seti,Mountain,Far-Western
2070/71,2013/14,Bajura,Seti,Mountain,Far-Western,Mental retardation,0,Seti,Mountain,Far-Western
2070/71,2013/14,Bajura,Seti,Mountain,Far-Western,Psychosis,0,Seti,Mountain,Far-Western
2066/67,2009/10,Banke,Bheri,Terai,Mid-Western,Alcoholism,9,Bheri,Terai,Mid-Western
2066/67,2009/10,Banke,Bheri,Terai,Mid-Western,Anxiety (Neurosis,55,Bheri,Terai,Mid-Western
2066/67,2009/10,Banke,Bheri,Terai,Mid-Western,"Conversive disorder
(Hysteria)",2,Bheri,Terai,Mid-Western
2066/67,2009/10,Banke,Bheri,Terai,Mid-Western,Depression,98,Bheri,Terai,Mid-Western
2066/67,2009/10,Banke,Bheri,Terai,Mid-Western,Epilesy,1,Bheri,Terai,Mid-Western
2066/67,2009/10,Banke,Bheri,Terai,Mid-Western,Mental retardation,1,Bheri,Terai,Mid-Western
2066/67,2009/10,Banke,Bheri,Terai,Mid-Western,Psychosis,7,Bheri,Terai,Mid-Western
2067/68,2010/11,Banke,Bheri,Terai,Mid-Western,Alcoholism,15,Bheri,Terai,Mid-Western
2067/68,2010/11,Banke,Bheri,Terai,Mid-Western,Anxiety (Neurosis,60,Bheri,Terai,Mid-Western
2067/68,2010/11,Banke,Bheri,Terai,Mid-Western,"Conversive disorder
(Hysteria)",10,Bheri,Terai,Mid-Western
2067/68,2010/11,Banke,Bheri,Terai,Mid-Western,Depression,69,Bheri,Terai,Mid-Western
2067/68,2010/11,Banke,Bheri,Terai,Mid-Western,Epilesy,28,Bheri,Terai,Mid-Western
2067/68,2010/11,Banke,Bheri,Terai,Mid-Western,Mental retardation,5,Bheri,Terai,Mid-Western
2067/68,2010/11,Banke,Bheri,Terai,Mid-Western,Psychosis,36,Bheri,Terai,Mid-Western
2068/69,2011/12,Banke,Bheri,Terai,Mid-Western,Alcoholism,30,Bheri,Terai,Mid-Western
2068/69,2011/12,Banke,Bheri,Terai,Mid-Western,Anxiety (Neurosis,82,Bheri,Terai,Mid-Western
2068/69,2011/12,Banke,Bheri,Terai,Mid-Western,"Conversive disorder
(Hysteria)",9,Bheri,Terai,Mid-Western
2068/69,2011/12,Banke,Bheri,Terai,Mid-Western,Depression,66,Bheri,Terai,Mid-Western
2068/69,2011/12,Banke,Bheri,Terai,Mid-Western,Epilesy,10,Bheri,Terai,Mid-Western
2068/69,2011/12,Banke,Bheri,Terai,Mid-Western,Mental retardation,8,Bheri,Terai,Mid-Western
2068/69,2011/12,Banke,Bheri,Terai,Mid-Western,Psychosis,10,Bheri,Terai,Mid-Western
2069/70,2012/13,Banke,Bheri,Terai,Mid-Western,Alcoholism,32,Bheri,Terai,Mid-Western
2069/70,2012/13,Banke,Bheri,Terai,Mid-Western,Anxiety (Neurosis,48,Bheri,Terai,Mid-Western
2069/70,2012/13,Banke,Bheri,Terai,Mid-Western,"Conversive disorder
(Hysteria)",0,Bheri,Terai,Mid-Western
2069/70,2012/13,Banke,Bheri,Terai,Mid-Western,Depression,41,Bheri,Terai,Mid-Western
2069/70,2012/13,Banke,Bheri,Terai,Mid-Western,Epilesy,61,Bheri,Terai,Mid-Western
2069/70,2012/13,Banke,Bheri,Terai,Mid-Western,Mental retardation,26,Bheri,Terai,Mid-Western
2069/70,2012/13,Banke,Bheri,Terai,Mid-Western,Psychosis,6,Bheri,Terai,Mid-Western
2069/70,2012/13,Banke,Bheri,Terai,Mid-Western,Alcoholism,9,Bheri,Terai,Mid-Western
2070/71,2013/14,Banke,Bheri,Terai,Mid-Western,Anxiety (Neurosis,83,Bheri,Terai,Mid-Western
2070/71,2013/14,Banke,Bheri,Terai,Mid-Western,"Conversive disorder
(Hysteria)",3,Bheri,Terai,Mid-Western
2070/71,2013/14,Banke,Bheri,Terai,Mid-Western,Depression,33,Bheri,Terai,Mid-Western
2070/71,2013/14,Banke,Bheri,Terai,Mid-Western,Epilesy,54,Bheri,Terai,Mid-Western
2070/71,2013/14,Banke,Bheri,Terai,Mid-Western,Mental retardation,6,Bheri,Terai,Mid-Western
2070/71,2013/14,Banke,Bheri,Terai,Mid-Western,Psychosis,6,Bheri,Terai,Mid-Western
2066/67,2009/10,Bara,Narayani,Terai,Central,Alcoholism,9,Narayani,Terai,Central
2066/67,2009/10,Bara,Narayani,Terai,Central,Anxiety (Neurosis,149,Narayani,Terai,Central
2066/67,2009/10,Bara,Narayani,Terai,Central,"Conversive disorder
(Hysteria)",16,Narayani,Terai,Central
