Year BS,Year AD,District,zone,belt,region,Age group,Contraceptive,Number of people,Zone,Belt,Region
2066/67,2009/10,Dhankuta,Kosi,Hill,Eastern,>20 years,Implant,252,Kosi,Hill,Eastern
2066/67,2009/10,Ilam,Mechi,Hill,Eastern,,Condom,1623,Mechi,Hill,Eastern
2066/67,2009/10,Ilam,Mechi,Hill,Eastern,<20 Years,Pills,339,Mechi,Hill,Eastern
2066/67,2009/10,Ilam,Mechi,Hill,Eastern,>20 years,Pills,2140,Mechi,Hill,Eastern
2066/67,2009/10,Ilam,Mechi,Hill,Eastern,<20 Years,Depo,297,Mechi,Hill,Eastern
2066/67,2009/10,Ilam,Mechi,Hill,Eastern,>20 years,Depo,3345,Mechi,Hill,Eastern
2066/67,2009/10,Ilam,Mechi,Hill,Eastern,<20 Years,IUD,15,Mechi,Hill,Eastern
2066/67,2009/10,Ilam,Mechi,Hill,Eastern,>20 years,IUD,301,Mechi,Hill,Eastern
2066/67,2009/10,Ilam,Mechi,Hill,Eastern,<20 Years,Implant,0,Mechi,Hill,Eastern
2066/67,2009/10,Ilam,Mechi,Hill,Eastern,>20 years,Implant,167,Mechi,Hill,Eastern
2066/67,2009/10,Jhapa,Mechi,Terai,Eastern,,Condom,2425,Mechi,Terai,Eastern
2066/67,2009/10,Jhapa,Mechi,Terai,Eastern,<20 Years,Pills,260,Mechi,Terai,Eastern
2066/67,2009/10,Jhapa,Mechi,Terai,Eastern,>20 years,Pills,5210,Mechi,Terai,Eastern
2066/67,2009/10,Jhapa,Mechi,Terai,Eastern,<20 Years,Depo,632,Mechi,Terai,Eastern
2066/67,2009/10,Jhapa,Mechi,Terai,Eastern,>20 years,Depo,8251,Mechi,Terai,Eastern
2066/67,2009/10,Jhapa,Mechi,Terai,Eastern,<20 Years,IUD,92,Mechi,Terai,Eastern
2066/67,2009/10,Jhapa,Mechi,Terai,Eastern,>20 years,IUD,2141,Mechi,Terai,Eastern
2066/67,2009/10,Jhapa,Mechi,Terai,Eastern,<20 Years,Implant,23,Mechi,Terai,Eastern
2066/67,2009/10,Jhapa,Mechi,Terai,Eastern,>20 years,Implant,559,Mechi,Terai,Eastern
2066/67,2009/10,Khotang,Sagarmatha,Hill,Eastern,,Condom,1091,Sagarmatha,Hill,Eastern
2066/67,2009/10,Khotang,Sagarmatha,Hill,Eastern,<20 Years,Pills,178,Sagarmatha,Hill,Eastern
2066/67,2009/10,Khotang,Sagarmatha,Hill,Eastern,>20 years,Pills,1231,Sagarmatha,Hill,Eastern
2066/67,2009/10,Khotang,Sagarmatha,Hill,Eastern,<20 Years,Depo,210,Sagarmatha,Hill,Eastern
2066/67,2009/10,Khotang,Sagarmatha,Hill,Eastern,>20 years,Depo,2169,Sagarmatha,Hill,Eastern
2066/67,2009/10,Khotang,Sagarmatha,Hill,Eastern,<20 Years,IUD,0,Sagarmatha,Hill,Eastern
2066/67,2009/10,Khotang,Sagarmatha,Hill,Eastern,>20 years,IUD,78,Sagarmatha,Hill,Eastern
2066/67,2009/10,Khotang,Sagarmatha,Hill,Eastern,<20 Years,Implant,0,Sagarmatha,Hill,Eastern
2066/67,2009/10,Khotang,Sagarmatha,Hill,Eastern,>20 years,Implant,112,Sagarmatha,Hill,Eastern
2066/67,2009/10,Morang,Kosi,Terai,Eastern,,Condom,3857,Kosi,Terai,Eastern
2066/67,2009/10,Morang,Kosi,Terai,Eastern,<20 Years,Pills,223,Kosi,Terai,Eastern
2066/67,2009/10,Morang,Kosi,Terai,Eastern,>20 years,Pills,2907,Kosi,Terai,Eastern
2066/67,2009/10,Morang,Kosi,Terai,Eastern,<20 Years,Depo,501,Kosi,Terai,Eastern
2066/67,2009/10,Morang,Kosi,Terai,Eastern,>20 years,Depo,8605,Kosi,Terai,Eastern
2066/67,2009/10,Morang,Kosi,Terai,Eastern,<20 Years,IUD,1,Kosi,Terai,Eastern
2066/67,2009/10,Morang,Kosi,Terai,Eastern,>20 years,IUD,1016,Kosi,Terai,Eastern
2066/67,2009/10,Morang,Kosi,Terai,Eastern,<20 Years,Implant,4,Kosi,Terai,Eastern
2066/67,2009/10,Morang,Kosi,Terai,Eastern,>20 years,Implant,678,Kosi,Terai,Eastern
2066/67,2009/10,Okhaldhunga,Sagarmatha,Hill,Eastern,,Condom,855,Sagarmatha,Hill,Eastern
2066/67,2009/10,Okhaldhunga,Sagarmatha,Hill,Eastern,<20 Years,Pills,64,Sagarmatha,Hill,Eastern
2066/67,2009/10,Okhaldhunga,Sagarmatha,Hill,Eastern,>20 years,Pills,1037,Sagarmatha,Hill,Eastern
2066/67,2009/10,Okhaldhunga,Sagarmatha,Hill,Eastern,<20 Years,Depo,144,Sagarmatha,Hill,Eastern
2066/67,2009/10,Okhaldhunga,Sagarmatha,Hill,Eastern,>20 years,Depo,2164,Sagarmatha,Hill,Eastern
2066/67,2009/10,Okhaldhunga,Sagarmatha,Hill,Eastern,<20 Years,IUD,0,Sagarmatha,Hill,Eastern
2066/67,2009/10,Okhaldhunga,Sagarmatha,Hill,Eastern,>20 years,IUD,9,Sagarmatha,Hill,Eastern
2066/67,2009/10,Okhaldhunga,Sagarmatha,Hill,Eastern,<20 Years,Implant,2,Sagarmatha,Hill,Eastern
2066/67,2009/10,Okhaldhunga,Sagarmatha,Hill,Eastern,>20 years,Implant,104,Sagarmatha,Hill,Eastern
2066/67,2009/10,Panchthar,Mechi,Hill,Eastern,,Condom,1218,Mechi,Hill,Eastern
2066/67,2009/10,Panchthar,Mechi,Hill,Eastern,<20 Years,Pills,68,Mechi,Hill,Eastern
2066/67,2009/10,Panchthar,Mechi,Hill,Eastern,>20 years,Pills,982,Mechi,Hill,Eastern
2066/67,2009/10,Panchthar,Mechi,Hill,Eastern,<20 Years,Depo,118,Mechi,Hill,Eastern
2066/67,2009/10,Panchthar,Mechi,Hill,Eastern,>20 years,Depo,2034,Mechi,Hill,Eastern
2066/67,2009/10,Panchthar,Mechi,Hill,Eastern,<20 Years,IUD,1,Mechi,Hill,Eastern
2066/67,2009/10,Panchthar,Mechi,Hill,Eastern,>20 years,IUD,72,Mechi,Hill,Eastern
2066/67,2009/10,Panchthar,Mechi,Hill,Eastern,<20 Years,Implant,5,Mechi,Hill,Eastern
2066/67,2009/10,Panchthar,Mechi,Hill,Eastern,>20 years,Implant,173,Mechi,Hill,Eastern
2066/67,2009/10,Sankhuwasabha,Kosi,Mountain,Eastern,,Condom,1036,Kosi,Mountain,Eastern
2066/67,2009/10,Sankhuwasabha,Kosi,Mountain,Eastern,<20 Years,Pills,83,Kosi,Mountain,Eastern
2066/67,2009/10,Sankhuwasabha,Kosi,Mountain,Eastern,>20 years,Pills,841,Kosi,Mountain,Eastern
2066/67,2009/10,Sankhuwasabha,Kosi,Mountain,Eastern,<20 Years,Depo,156,Kosi,Mountain,Eastern
2066/67,2009/10,Sankhuwasabha,Kosi,Mountain,Eastern,>20 years,Depo,2068,Kosi,Mountain,Eastern
2066/67,2009/10,Sankhuwasabha,Kosi,Mountain,Eastern,<20 Years,IUD,2,Kosi,Mountain,Eastern
2066/67,2009/10,Sankhuwasabha,Kosi,Mountain,Eastern,>20 years,IUD,341,Kosi,Mountain,Eastern
2066/67,2009/10,Sankhuwasabha,Kosi,Mountain,Eastern,<20 Years,Implant,11,Kosi,Mountain,Eastern
2066/67,2009/10,Sankhuwasabha,Kosi,Mountain,Eastern,>20 years,Implant,407,Kosi,Mountain,Eastern
2066/67,2009/10,Saptari,Sagarmatha,Terai,Eastern,,Condom,3584,Sagarmatha,Terai,Eastern
2066/67,2009/10,Saptari,Sagarmatha,Terai,Eastern,<20 Years,Pills,97,Sagarmatha,Terai,Eastern
2066/67,2009/10,Saptari,Sagarmatha,Terai,Eastern,>20 years,Pills,2565,Sagarmatha,Terai,Eastern
2066/67,2009/10,Saptari,Sagarmatha,Terai,Eastern,<20 Years,Depo,162,Sagarmatha,Terai,Eastern
2066/67,2009/10,Saptari,Sagarmatha,Terai,Eastern,>20 years,Depo,5869,Sagarmatha,Terai,Eastern
2066/67,2009/10,Saptari,Sagarmatha,Terai,Eastern,<20 Years,IUD,4,Sagarmatha,Terai,Eastern
2066/67,2009/10,Saptari,Sagarmatha,Terai,Eastern,>20 years,IUD,536,Sagarmatha,Terai,Eastern
2066/67,2009/10,Saptari,Sagarmatha,Terai,Eastern,<20 Years,Implant,0,Sagarmatha,Terai,Eastern
2066/67,2009/10,Saptari,Sagarmatha,Terai,Eastern,>20 years,Implant,88,Sagarmatha,Terai,Eastern
2066/67,2009/10,Siraha,Sagarmatha,Terai,Eastern,,Condom,3842,Sagarmatha,Terai,Eastern
2066/67,2009/10,Siraha,Sagarmatha,Terai,Eastern,<20 Years,Pills,418,Sagarmatha,Terai,Eastern
2066/67,2009/10,Siraha,Sagarmatha,Terai,Eastern,>20 years,Pills,2520,Sagarmatha,Terai,Eastern
2066/67,2009/10,Siraha,Sagarmatha,Terai,Eastern,<20 Years,Depo,105,Sagarmatha,Terai,Eastern
2066/67,2009/10,Siraha,Sagarmatha,Terai,Eastern,>20 years,Depo,4352,Sagarmatha,Terai,Eastern
2066/67,2009/10,Siraha,Sagarmatha,Terai,Eastern,<20 Years,IUD,20,Sagarmatha,Terai,Eastern
2066/67,2009/10,Siraha,Sagarmatha,Terai,Eastern,>20 years,IUD,735,Sagarmatha,Terai,Eastern
2066/67,2009/10,Siraha,Sagarmatha,Terai,Eastern,<20 Years,Implant,7,Sagarmatha,Terai,Eastern
2066/67,2009/10,Siraha,Sagarmatha,Terai,Eastern,>20 years,Implant,477,Sagarmatha,Terai,Eastern
2066/67,2009/10,Solukhumbu,Sagarmatha,Mountain,Eastern,,Condom,609,Sagarmatha,Mountain,Eastern
2066/67,2009/10,Solukhumbu,Sagarmatha,Mountain,Eastern,<20 Years,Pills,56,Sagarmatha,Mountain,Eastern
2066/67,2009/10,Solukhumbu,Sagarmatha,Mountain,Eastern,>20 years,Pills,894,Sagarmatha,Mountain,Eastern
2066/67,2009/10,Solukhumbu,Sagarmatha,Mountain,Eastern,<20 Years,Depo,230,Sagarmatha,Mountain,Eastern
2066/67,2009/10,Solukhumbu,Sagarmatha,Mountain,Eastern,>20 years,Depo,2360,Sagarmatha,Mountain,Eastern
2066/67,2009/10,Solukhumbu,Sagarmatha,Mountain,Eastern,<20 Years,IUD,1,Sagarmatha,Mountain,Eastern
2066/67,2009/10,Solukhumbu,Sagarmatha,Mountain,Eastern,>20 years,IUD,24,Sagarmatha,Mountain,Eastern
2066/67,2009/10,Solukhumbu,Sagarmatha,Mountain,Eastern,<20 Years,Implant,2,Sagarmatha,Mountain,Eastern
2066/67,2009/10,Solukhumbu,Sagarmatha,Mountain,Eastern,>20 years,Implant,92,Sagarmatha,Mountain,Eastern
2066/67,2009/10,Sunsari,Kosi,Terai,Eastern,,Condom,4172,Kosi,Terai,Eastern
2066/67,2009/10,Sunsari,Kosi,Terai,Eastern,<20 Years,Pills,120,Kosi,Terai,Eastern
2066/67,2009/10,Sunsari,Kosi,Terai,Eastern,>20 years,Pills,1973,Kosi,Terai,Eastern
2066/67,2009/10,Sunsari,Kosi,Terai,Eastern,<20 Years,Depo,306,Kosi,Terai,Eastern
2066/67,2009/10,Sunsari,Kosi,Terai,Eastern,>20 years,Depo,5418,Kosi,Terai,Eastern
2066/67,2009/10,Sunsari,Kosi,Terai,Eastern,<20 Years,IUD,7,Kosi,Terai,Eastern
2066/67,2009/10,Sunsari,Kosi,Terai,Eastern,>20 years,IUD,426,Kosi,Terai,Eastern
2066/67,2009/10,Sunsari,Kosi,Terai,Eastern,<20 Years,Implant,7,Kosi,Terai,Eastern
2066/67,2009/10,Sunsari,Kosi,Terai,Eastern,>20 years,Implant,394,Kosi,Terai,Eastern
2066/67,2009/10,Taplejung,Mechi,Mountain,Eastern,,Condom,932,Mechi,Mountain,Eastern
2066/67,2009/10,Taplejung,Mechi,Mountain,Eastern,<20 Years,Pills,113,Mechi,Mountain,Eastern
2066/67,2009/10,Taplejung,Mechi,Mountain,Eastern,>20 years,Pills,766,Mechi,Mountain,Eastern
2066/67,2009/10,Taplejung,Mechi,Mountain,Eastern,<20 Years,Depo,171,Mechi,Mountain,Eastern
2066/67,2009/10,Taplejung,Mechi,Mountain,Eastern,>20 years,Depo,1505,Mechi,Mountain,Eastern
2066/67,2009/10,Taplejung,Mechi,Mountain,Eastern,<20 Years,IUD,0,Mechi,Mountain,Eastern
2066/67,2009/10,Taplejung,Mechi,Mountain,Eastern,>20 years,IUD,103,Mechi,Mountain,Eastern
2066/67,2009/10,Taplejung,Mechi,Mountain,Eastern,<20 Years,Implant,1,Mechi,Mountain,Eastern
2066/67,2009/10,Taplejung,Mechi,Mountain,Eastern,>20 years,Implant,9,Mechi,Mountain,Eastern
2066/67,2009/10,Terhathum,Kosi,Hill,Eastern,,Condom,1001,Kosi,Hill,Eastern
2066/67,2009/10,Terhathum,Kosi,Hill,Eastern,<20 Years,Pills,30,Kosi,Hill,Eastern
2066/67,2009/10,Terhathum,Kosi,Hill,Eastern,>20 years,Pills,607,Kosi,Hill,Eastern
2066/67,2009/10,Terhathum,Kosi,Hill,Eastern,<20 Years,Depo,66,Kosi,Hill,Eastern
2066/67,2009/10,Terhathum,Kosi,Hill,Eastern,>20 years,Depo,1291,Kosi,Hill,Eastern
2066/67,2009/10,Terhathum,Kosi,Hill,Eastern,<20 Years,IUD,1,Kosi,Hill,Eastern
2066/67,2009/10,Terhathum,Kosi,Hill,Eastern,>20 years,IUD,66,Kosi,Hill,Eastern
2066/67,2009/10,Terhathum,Kosi,Hill,Eastern,<20 Years,Implant,1,Kosi,Hill,Eastern
2066/67,2009/10,Terhathum,Kosi,Hill,Eastern,>20 years,Implant,165,Kosi,Hill,Eastern
2066/67,2009/10,Udayapur,Sagarmatha,Hill,Eastern,,Condom,981,Sagarmatha,Hill,Eastern
2066/67,2009/10,Udayapur,Sagarmatha,Hill,Eastern,<20 Years,Pills,139,Sagarmatha,Hill,Eastern
2066/67,2009/10,Udayapur,Sagarmatha,Hill,Eastern,>20 years,Pills,992,Sagarmatha,Hill,Eastern
2066/67,2009/10,Udayapur,Sagarmatha,Hill,Eastern,<20 Years,Depo,221,Sagarmatha,Hill,Eastern
2066/67,2009/10,Udayapur,Sagarmatha,Hill,Eastern,>20 years,Depo,2948,Sagarmatha,Hill,Eastern
2066/67,2009/10,Udayapur,Sagarmatha,Hill,Eastern,<20 Years,IUD,0,Sagarmatha,Hill,Eastern
2066/67,2009/10,Udayapur,Sagarmatha,Hill,Eastern,>20 years,IUD,49,Sagarmatha,Hill,Eastern
2066/67,2009/10,Udayapur,Sagarmatha,Hill,Eastern,<20 Years,Implant,3,Sagarmatha,Hill,Eastern
2066/67,2009/10,Udayapur,Sagarmatha,Hill,Eastern,>20 years,Implant,111,Sagarmatha,Hill,Eastern
2066/67,2009/10,Bara,Narayani,Terai,Central,,Condom,3279,Narayani,Terai,Central
2066/67,2009/10,Bara,Narayani,Terai,Central,<20 Years,Pills,124,Narayani,Terai,Central
2066/67,2009/10,Bara,Narayani,Terai,Central,>20 years,Pills,950,Narayani,Terai,Central
2066/67,2009/10,Bara,Narayani,Terai,Central,<20 Years,Depo,177,Narayani,Terai,Central
2066/67,2009/10,Bara,Narayani,Terai,Central,>20 years,Depo,3652,Narayani,Terai,Central
2066/67,2009/10,Bara,Narayani,Terai,Central,<20 Years,IUD,55,Narayani,Terai,Central
2066/67,2009/10,Bara,Narayani,Terai,Central,>20 years,IUD,292,Narayani,Terai,Central
2066/67,2009/10,Bara,Narayani,Terai,Central,<20 Years,Implant,7,Narayani,Terai,Central
2066/67,2009/10,Bara,Narayani,Terai,Central,>20 years,Implant,320,Narayani,Terai,Central
2066/67,2009/10,Bhaktapur,Bagmati,Hill,Central,,Condom,677,Bagmati,Hill,Central
2066/67,2009/10,Bhaktapur,Bagmati,Hill,Central,<20 Years,Pills,43,Bagmati,Hill,Central
2066/67,2009/10,Bhaktapur,Bagmati,Hill,Central,>20 years,Pills,2083,Bagmati,Hill,Central
2066/67,2009/10,Bhaktapur,Bagmati,Hill,Central,<20 Years,Depo,232,Bagmati,Hill,Central
2066/67,2009/10,Bhaktapur,Bagmati,Hill,Central,>20 years,Depo,3956,Bagmati,Hill,Central
2066/67,2009/10,Bhaktapur,Bagmati,Hill,Central,<20 Years,IUD,1,Bagmati,Hill,Central
2066/67,2009/10,Bhaktapur,Bagmati,Hill,Central,>20 years,IUD,380,Bagmati,Hill,Central
2066/67,2009/10,Bhaktapur,Bagmati,Hill,Central,<20 Years,Implant,8,Bagmati,Hill,Central
2066/67,2009/10,Bhaktapur,Bagmati,Hill,Central,>20 years,Implant,292,Bagmati,Hill,Central
2066/67,2009/10,Chitawan,Narayani,Terai,Central,,Condom,4713,Narayani,Terai,Central
2066/67,2009/10,Chitawan,Narayani,Terai,Central,<20 Years,Pills,174,Narayani,Terai,Central
2066/67,2009/10,Chitawan,Narayani,Terai,Central,>20 years,Pills,1520,Narayani,Terai,Central
2066/67,2009/10,Chitawan,Narayani,Terai,Central,<20 Years,Depo,477,Narayani,Terai,Central
2066/67,2009/10,Chitawan,Narayani,Terai,Central,>20 years,Depo,3481,Narayani,Terai,Central
2066/67,2009/10,Chitawan,Narayani,Terai,Central,<20 Years,IUD,39,Narayani,Terai,Central
2066/67,2009/10,Chitawan,Narayani,Terai,Central,>20 years,IUD,685,Narayani,Terai,Central
2066/67,2009/10,Chitawan,Narayani,Terai,Central,<20 Years,Implant,8,Narayani,Terai,Central
2066/67,2009/10,Chitawan,Narayani,Terai,Central,>20 years,Implant,370,Narayani,Terai,Central
2066/67,2009/10,Dhading,Bagmati,Hill,Central,,Condom,3706,Bagmati,Hill,Central
2066/67,2009/10,Dhading,Bagmati,Hill,Central,<20 Years,Pills,294,Bagmati,Hill,Central
2066/67,2009/10,Dhading,Bagmati,Hill,Central,>20 years,Pills,2360,Bagmati,Hill,Central
2066/67,2009/10,Dhading,Bagmati,Hill,Central,<20 Years,Depo,586,Bagmati,Hill,Central
2066/67,2009/10,Dhading,Bagmati,Hill,Central,>20 years,Depo,5124,Bagmati,Hill,Central
2066/67,2009/10,Dhading,Bagmati,Hill,Central,<20 Years,IUD,15,Bagmati,Hill,Central
2066/67,2009/10,Dhading,Bagmati,Hill,Central,>20 years,IUD,394,Bagmati,Hill,Central
2066/67,2009/10,Dhading,Bagmati,Hill,Central,<20 Years,Implant,15,Bagmati,Hill,Central
2066/67,2009/10,Dhading,Bagmati,Hill,Central,>20 years,Implant,705,Bagmati,Hill,Central
2066/67,2009/10,Dhanusa,Janakpur,Terai,Central,,Condom,3849,Janakpur,Terai,Central
2066/67,2009/10,Dhanusa,Janakpur,Terai,Central,<20 Years,Pills,622,Janakpur,Terai,Central
2066/67,2009/10,Dhanusa,Janakpur,Terai,Central,>20 years,Pills,1396,Janakpur,Terai,Central
2066/67,2009/10,Dhanusa,Janakpur,Terai,Central,<20 Years,Depo,313,Janakpur,Terai,Central
2066/67,2009/10,Dhanusa,Janakpur,Terai,Central,>20 years,Depo,5143,Janakpur,Terai,Central
2066/67,2009/10,Dhanusa,Janakpur,Terai,Central,<20 Years,IUD,39,Janakpur,Terai,Central
2066/67,2009/10,Dhanusa,Janakpur,Terai,Central,>20 years,IUD,969,Janakpur,Terai,Central
2066/67,2009/10,Dhanusa,Janakpur,Terai,Central,<20 Years,Implant,6,Janakpur,Terai,Central
2066/67,2009/10,Dhanusa,Janakpur,Terai,Central,>20 years,Implant,616,Janakpur,Terai,Central
2066/67,2009/10,Dolakha,Janakpur,Mountain,Central,,Condom,796,Janakpur,Mountain,Central
2066/67,2009/10,Dolakha,Janakpur,Mountain,Central,<20 Years,Pills,128,Janakpur,Mountain,Central
2066/67,2009/10,Dolakha,Janakpur,Mountain,Central,>20 years,Pills,1296,Janakpur,Mountain,Central
2066/67,2009/10,Dolakha,Janakpur,Mountain,Central,<20 Years,Depo,281,Janakpur,Mountain,Central
2066/67,2009/10,Dolakha,Janakpur,Mountain,Central,>20 years,Depo,3946,Janakpur,Mountain,Central
2066/67,2009/10,Dolakha,Janakpur,Mountain,Central,<20 Years,IUD,1,Janakpur,Mountain,Central
2066/67,2009/10,Dolakha,Janakpur,Mountain,Central,>20 years,IUD,76,Janakpur,Mountain,Central
2066/67,2009/10,Dolakha,Janakpur,Mountain,Central,<20 Years,Implant,2,Janakpur,Mountain,Central
2066/67,2009/10,Dolakha,Janakpur,Mountain,Central,>20 years,Implant,148,Janakpur,Mountain,Central
2066/67,2009/10,Kathmandu,Bagmati,Hill,Central,,Condom,4005,Bagmati,Hill,Central
2066/67,2009/10,Kathmandu,Bagmati,Hill,Central,<20 Years,Pills,487,Bagmati,Hill,Central
2066/67,2009/10,Kathmandu,Bagmati,Hill,Central,>20 years,Pills,4440,Bagmati,Hill,Central
2066/67,2009/10,Kathmandu,Bagmati,Hill,Central,<20 Years,Depo,1629,Bagmati,Hill,Central
2066/67,2009/10,Kathmandu,Bagmati,Hill,Central,>20 years,Depo,13653,Bagmati,Hill,Central
2066/67,2009/10,Kathmandu,Bagmati,Hill,Central,<20 Years,IUD,49,Bagmati,Hill,Central
2066/67,2009/10,Kathmandu,Bagmati,Hill,Central,>20 years,IUD,2276,Bagmati,Hill,Central
2066/67,2009/10,Kathmandu,Bagmati,Hill,Central,<20 Years,Implant,86,Bagmati,Hill,Central
2066/67,2009/10,Kathmandu,Bagmati,Hill,Central,>20 years,Implant,1464,Bagmati,Hill,Central
2066/67,2009/10,Kavre,Bagmati,Hill,Central,,Condom,2543,Bagmati,Hill,Central
2066/67,2009/10,Kavre,Bagmati,Hill,Central,<20 Years,Pills,119,Bagmati,Hill,Central
2066/67,2009/10,Kavre,Bagmati,Hill,Central,>20 years,Pills,1678,Bagmati,Hill,Central
2066/67,2009/10,Kavre,Bagmati,Hill,Central,<20 Years,Depo,376,Bagmati,Hill,Central
2066/67,2009/10,Kavre,Bagmati,Hill,Central,>20 years,Depo,4358,Bagmati,Hill,Central
2066/67,2009/10,Kavre,Bagmati,Hill,Central,<20 Years,IUD,18,Bagmati,Hill,Central
2066/67,2009/10,Kavre,Bagmati,Hill,Central,>20 years,IUD,1265,Bagmati,Hill,Central
2066/67,2009/10,Kavre,Bagmati,Hill,Central,<20 Years,Implant,12,Bagmati,Hill,Central
2066/67,2009/10,Kavre,Bagmati,Hill,Central,>20 years,Implant,677,Bagmati,Hill,Central
2066/67,2009/10,Lalitpur,Bagmati,Hill,Central,,Condom,1827,Bagmati,Hill,Central
2066/67,2009/10,Lalitpur,Bagmati,Hill,Central,<20 Years,Pills,0,Bagmati,Hill,Central
2066/67,2009/10,Lalitpur,Bagmati,Hill,Central,>20 years,Pills,2119,Bagmati,Hill,Central
2066/67,2009/10,Lalitpur,Bagmati,Hill,Central,<20 Years,Depo,0,Bagmati,Hill,Central
2066/67,2009/10,Lalitpur,Bagmati,Hill,Central,>20 years,Depo,6654,Bagmati,Hill,Central
2066/67,2009/10,Lalitpur,Bagmati,Hill,Central,<20 Years,IUD,0,Bagmati,Hill,Central
2066/67,2009/10,Lalitpur,Bagmati,Hill,Central,>20 years,IUD,2882,Bagmati,Hill,Central
2066/67,2009/10,Lalitpur,Bagmati,Hill,Central,<20 Years,Implant,0,Bagmati,Hill,Central
2066/67,2009/10,Lalitpur,Bagmati,Hill,Central,>20 years,Implant,1540,Bagmati,Hill,Central
2066/67,2009/10,Mahottari,Janakpur,Terai,Central,,Condom,3984,Janakpur,Terai,Central
2066/67,2009/10,Mahottari,Janakpur,Terai,Central,<20 Years,Pills,139,Janakpur,Terai,Central
2066/67,2009/10,Mahottari,Janakpur,Terai,Central,>20 years,Pills,2282,Janakpur,Terai,Central
2066/67,2009/10,Mahottari,Janakpur,Terai,Central,<20 Years,Depo,274,Janakpur,Terai,Central
2066/67,2009/10,Mahottari,Janakpur,Terai,Central,>20 years,Depo,3894,Janakpur,Terai,Central
2066/67,2009/10,Mahottari,Janakpur,Terai,Central,<20 Years,IUD,0,Janakpur,Terai,Central
2066/67,2009/10,Mahottari,Janakpur,Terai,Central,>20 years,IUD,600,Janakpur,Terai,Central
2066/67,2009/10,Mahottari,Janakpur,Terai,Central,<20 Years,Implant,0,Janakpur,Terai,Central
2066/67,2009/10,Mahottari,Janakpur,Terai,Central,>20 years,Implant,146,Janakpur,Terai,Central
2066/67,2009/10,Makwanpur,Narayani,Hill,Central,,Condom,2100,Narayani,Hill,Central
2066/67,2009/10,Makwanpur,Narayani,Hill,Central,<20 Years,Pills,169,Narayani,Hill,Central
2066/67,2009/10,Makwanpur,Narayani,Hill,Central,>20 years,Pills,1620,Narayani,Hill,Central
2066/67,2009/10,Makwanpur,Narayani,Hill,Central,<20 Years,Depo,546,Narayani,Hill,Central
2066/67,2009/10,Makwanpur,Narayani,Hill,Central,>20 years,Depo,5469,Narayani,Hill,Central
2066/67,2009/10,Makwanpur,Narayani,Hill,Central,<20 Years,IUD,0,Narayani,Hill,Central
2066/67,2009/10,Makwanpur,Narayani,Hill,Central,>20 years,IUD,42,Narayani,Hill,Central
2066/67,2009/10,Makwanpur,Narayani,Hill,Central,<20 Years,Implant,3,Narayani,Hill,Central
2066/67,2009/10,Makwanpur,Narayani,Hill,Central,>20 years,Implant,561,Narayani,Hill,Central
2066/67,2009/10,Nuwakot,Bagmati,Hill,Central,,Condom,1308,Bagmati,Hill,Central
2066/67,2009/10,Nuwakot,Bagmati,Hill,Central,<20 Years,Pills,351,Bagmati,Hill,Central
2066/67,2009/10,Nuwakot,Bagmati,Hill,Central,>20 years,Pills,1669,Bagmati,Hill,Central
2066/67,2009/10,Nuwakot,Bagmati,Hill,Central,<20 Years,Depo,335,Bagmati,Hill,Central
