Year,District,Communicable and infectious disease,Number of people
2009/010,Dhanusha,ARI /Lower respiratory tract infection,35310
2009/010,Dhanusha,Upper respiratory Tract infection,24498
2009/010,Dhanusha,Pneumonia,12300
2009/010,Dhanusha,Server Pneumonia,456
2009/010,Dhanusha,Bronchitis,11579
2009/010,Dhanusha,Asthma,12362
2009/010,Dhanusha,Urinary Tract infection,6623
2009/010,Dhanusha,Viral Influenza,5131
2009/010,Dhanusha,Reproductive Tract Infection male,190
2009/010,Dhanusha,Reproductive tract infection female,373
2009/010,Dolkha,ARI /Lower respiratory tract infection,14019
2009/010,Dolkha,Upper respiratory Tract infection,10892
2009/010,Dolkha,Pneumonia,4040
2009/010,Dolkha,Server Pneumonia,135
2009/010,Dolkha,Bronchitis,2597
2009/010,Dolkha,Asthma,3619
2009/010,Dolkha,Urinary Tract infection,2917
2009/010,Dolkha,Viral Influenza,1866
2009/010,Dolkha,Reproductive Tract Infection male,57
2009/010,Dolkha,Reproductive tract infection female,101
2009/010,Kathmandu,ARI /Lower respiratory tract infection,18188
2009/010,Kathmandu,Upper respiratory Tract infection,17910
2009/010,Kathmandu,Pneumonia,7305
2009/010,Kathmandu,Server Pneumonia,265
2009/010,Kathmandu,Bronchitis,4146
2009/010,Kathmandu,Asthma,10210
2009/010,Kathmandu,Urinary Tract infection,8883
2009/010,Kathmandu,Viral Influenza,3687
2009/010,Kathmandu,Reproductive Tract Infection male,419
2009/010,Kathmandu,Reproductive tract infection female,880
2009/010,Kavre,ARI /Lower respiratory tract infection,23570
2009/010,Kavre,Upper respiratory Tract infection,21259
2009/010,Kavre,Pneumonia,8351
2009/010,Kavre,Server Pneumonia,180
2009/010,Kavre,Bronchitis,5436
2009/010,Kavre,Asthma,7846
2009/010,Kavre,Urinary Tract infection,3751
2009/010,Kavre,Viral Influenza,4733
2009/010,Kavre,Reproductive Tract Infection male,57
2009/010,Kavre,Reproductive tract infection female,163
2009/010,Mahottari,ARI /Lower respiratory tract infection,21082
2009/010,Mahottari,Upper respiratory Tract infection,16752
2009/010,Mahottari,Pneumonia,8946
2009/010,Mahottari,Server Pneumonia,620
2009/010,Mahottari,Bronchitis,9160
2009/010,Mahottari,Asthma,9457
2009/010,Mahottari,Urinary Tract infection,4825
2009/010,Mahottari,Viral Influenza,2489
2009/010,Mahottari,Reproductive Tract Infection male,179
2009/010,Mahottari,Reproductive tract infection female,369
2009/010,Makawanpur,ARI /Lower respiratory tract infection,7233
2009/010,Makawanpur,Upper respiratory Tract infection,7329
2009/010,Makawanpur,Pneumonia,4500
2009/010,Makawanpur,Server Pneumonia,393
2009/010,Makawanpur,Bronchitis,3516
2009/010,Makawanpur,Asthma,2687
2009/010,Makawanpur,Urinary Tract infection,1650
2009/010,Makawanpur,Viral Influenza,1504
2009/010,Makawanpur,Reproductive Tract Infection male,44
2009/010,Makawanpur,Reproductive tract infection female,113
2009/010,Nuwakot,ARI /Lower respiratory tract infection,6869
2009/010,Nuwakot,Upper respiratory Tract infection,5843
2009/010,Nuwakot,Pneumonia,3066
2009/010,Nuwakot,Server Pneumonia,157
2009/010,Nuwakot,Bronchitis,2006
2009/010,Nuwakot,Asthma,5051
2009/010,Nuwakot,Urinary Tract infection,1867
2009/010,Nuwakot,Viral Influenza,871
2009/010,Nuwakot,Reproductive Tract Infection male,46
2009/010,Nuwakot,Reproductive tract infection female,94
2009/010,Ramechhap,ARI /Lower respiratory tract infection,8265
2009/010,Ramechhap,Upper respiratory Tract infection,8780
2009/010,Ramechhap,Pneumonia,3870
2009/010,Ramechhap,Server Pneumonia,69
2009/010,Ramechhap,Bronchitis,2548
2009/010,Ramechhap,Asthma,2848
2009/010,Ramechhap,Urinary Tract infection,2420
2009/010,Ramechhap,Viral Influenza,1716
2009/010,Ramechhap,Reproductive Tract Infection male,77
2009/010,Ramechhap,Reproductive tract infection female,81
2009/010,Rasuwa,ARI /Lower respiratory tract infection,2752
2009/010,Rasuwa,Upper respiratory Tract infection,2457
2009/010,Rasuwa,Pneumonia,835
2009/010,Rasuwa,Server Pneumonia,29
2009/010,Rasuwa,Bronchitis,363
2009/010,Rasuwa,Asthma,739
2009/010,Rasuwa,Urinary Tract infection,627
2009/010,Rasuwa,Viral Influenza,1052
2009/010,Rasuwa,Reproductive Tract Infection male,31
2009/010,Rasuwa,Reproductive tract infection female,37
2009/010,Rautahat,ARI /Lower respiratory tract infection,12788
2009/010,Rautahat,Upper respiratory Tract infection,13334
2009/010,Rautahat,Pneumonia,8305
2009/010,Rautahat,Server Pneumonia,533
2009/010,Rautahat,Bronchitis,8323
2009/010,Rautahat,Asthma,8441
2009/010,Rautahat,Urinary Tract infection,2665
2009/010,Rautahat,Viral Influenza,1164
2009/010,Rautahat,Reproductive Tract Infection male,207
2009/010,Rautahat,Reproductive tract infection female,355
2009/010,Sarlahi,ARI /Lower respiratory tract infection,24257
2009/010,Sarlahi,Upper respiratory Tract infection,20570
2009/010,Sarlahi,Pneumonia,8098
2009/010,Sarlahi,Server Pneumonia,631
2009/010,Sarlahi,Bronchitis,13067
2009/010,Sarlahi,Asthma,14116
2009/010,Sarlahi,Urinary Tract infection,4676
2009/010,Sarlahi,Viral Influenza,1597
2009/010,Sarlahi,Reproductive Tract Infection male,206
2009/010,Sarlahi,Reproductive tract infection female,286
2009/010,Sindhuli,ARI /Lower respiratory tract infection,5369
2009/010,Sindhuli,Upper respiratory Tract infection,4559
2009/010,Sindhuli,Pneumonia,4193
2009/010,Sindhuli,Server Pneumonia,294
2009/010,Sindhuli,Bronchitis,2161
2009/010,Sindhuli,Asthma,3017
2009/010,Sindhuli,Urinary Tract infection,1743
2009/010,Sindhuli,Viral Influenza,489
2009/010,Sindhuli,Reproductive Tract Infection male,60
2009/010,Sindhuli,Reproductive tract infection female,115
2009/010,Sindhupalchowk,ARI /Lower respiratory tract infection,14278
2009/010,Sindhupalchowk,Upper respiratory Tract infection,12584
2009/010,Sindhupalchowk,Pneumonia,6150
2009/010,Sindhupalchowk,Server Pneumonia,175
2009/010,Sindhupalchowk,Bronchitis,3679
2009/010,Sindhupalchowk,Asthma,5096
2009/010,Sindhupalchowk,Urinary Tract infection,3137
2009/010,Sindhupalchowk,Viral Influenza,3364
2009/010,Sindhupalchowk,Reproductive Tract Infection male,138
2009/010,Sindhupalchowk,Reproductive tract infection female,251
2009/010,Arghakhanchi,ARI /Lower respiratory tract infection,9050
2009/010,Arghakhanchi,Upper respiratory Tract infection,6622
2009/010,Arghakhanchi,Pneumonia,5595
2009/010,Arghakhanchi,Server Pneumonia,95
2009/010,Arghakhanchi,Bronchitis,5178
2009/010,Arghakhanchi,Asthma,4220
2009/010,Arghakhanchi,Urinary Tract infection,3105
2009/010,Arghakhanchi,Viral Influenza,1833
2009/010,Arghakhanchi,Reproductive Tract Infection male,342
2009/010,Arghakhanchi,Reproductive tract infection female,407
2009/010,Baglung,ARI /Lower respiratory tract infection,13936
2009/010,Baglung,Upper respiratory Tract infection,15372
2009/010,Baglung,Pneumonia,5332
2009/010,Baglung,Server Pneumonia,443
2009/010,Baglung,Bronchitis,4029
2009/010,Baglung,Asthma,2445
2009/010,Baglung,Urinary Tract infection,3197
2009/010,Baglung,Viral Influenza,1208
2009/010,Baglung,Reproductive Tract Infection male,71
2009/010,Baglung,Reproductive tract infection female,92
2009/010,Gorkha,ARI /Lower respiratory tract infection,13709
2009/010,Gorkha,Upper respiratory Tract infection,11405
2009/010,Gorkha,Pneumonia,8348
2009/010,Gorkha,Server Pneumonia,176
2009/010,Gorkha,Bronchitis,4750
2009/010,Gorkha,Asthma,5630
2009/010,Gorkha,Urinary Tract infection,4645
2009/010,Gorkha,Viral Influenza,5520
2009/010,Gorkha,Reproductive Tract Infection male,174
2009/010,Gorkha,Reproductive tract infection female,295
2009/010,Gulmi,ARI /Lower respiratory tract infection,21955
2009/010,Gulmi,Upper respiratory Tract infection,14070
2009/010,Gulmi,Pneumonia,9997
2009/010,Gulmi,Server Pneumonia,507
2009/010,Gulmi,Bronchitis,8327
2009/010,Gulmi,Asthma,5660
2009/010,Gulmi,Urinary Tract infection,5983
2009/010,Gulmi,Viral Influenza,4907
2009/010,Gulmi,Reproductive Tract Infection male,209
2009/010,Gulmi,Reproductive tract infection female,419
2009/010,Kapilvastu,ARI /Lower respiratory tract infection,18452
2009/010,Kapilvastu,Upper respiratory Tract infection,18660
2009/010,Kapilvastu,Pneumonia,8148
2009/010,Kapilvastu,Server Pneumonia,1020
2009/010,Kapilvastu,Bronchitis,9302
2009/010,Kapilvastu,Asthma,8196
2009/010,Kapilvastu,Urinary Tract infection,6557
2009/010,Kapilvastu,Viral Influenza,1923
2009/010,Kapilvastu,Reproductive Tract Infection male,323
2009/010,Kapilvastu,Reproductive tract infection female,712
2009/010,Kaski,ARI /Lower respiratory tract infection,19083
2009/010,Kaski,Upper respiratory Tract infection,17404
2009/010,Kaski,Pneumonia,3576
2009/010,Kaski,Server Pneumonia,253
2009/010,Kaski,Bronchitis,4932
2009/010,Kaski,Asthma,5211
2009/010,Kaski,Urinary Tract infection,3042
2009/010,Kaski,Viral Influenza,2724
2009/010,Kaski,Reproductive Tract Infection male,298
2009/010,Kaski,Reproductive tract infection female,1053
2009/010,Lamjung,ARI /Lower respiratory tract infection,6098
2009/010,Lamjung,Upper respiratory Tract infection,5203
2009/010,Lamjung,Pneumonia,3351
2009/010,Lamjung,Server Pneumonia,137
2009/010,Lamjung,Bronchitis,2520
2009/010,Lamjung,Asthma,4531
2009/010,Lamjung,Urinary Tract infection,3491
2009/010,Lamjung,Viral Influenza,1593
2009/010,Lamjung,Reproductive Tract Infection male,32
2009/010,Lamjung,Reproductive tract infection female,24
2009/010,Manang,ARI /Lower respiratory tract infection,550
2009/010,Manang,Upper respiratory Tract infection,622
2009/010,Manang,Pneumonia,172
2009/010,Manang,Server Pneumonia,24
2009/010,Manang,Bronchitis,248
2009/010,Manang,Asthma,178
2009/010,Manang,Urinary Tract infection,181
2009/010,Manang,Viral Influenza,44
2009/010,Manang,Reproductive Tract Infection male,5
2009/010,Manang,Reproductive tract infection female,11
2009/010,Mustang,ARI /Lower respiratory tract infection,2269
2009/010,Mustang,Upper respiratory Tract infection,2712
2009/010,Mustang,Pneumonia,620
2009/010,Mustang,Server Pneumonia,22
2009/010,Mustang,Bronchitis,280
2009/010,Mustang,Asthma,151
2009/010,Mustang,Urinary Tract infection,449
2009/010,Mustang,Viral Influenza,65
2009/010,Mustang,Reproductive Tract Infection male,3
2009/010,Mustang,Reproductive tract infection female,5
2009/010,Myagdi,ARI /Lower respiratory tract infection,8370
2009/010,Myagdi,Upper respiratory Tract infection,7819
2009/010,Myagdi,Pneumonia,2172
2009/010,Myagdi,Server Pneumonia,117
2009/010,Myagdi,Bronchitis,2006
2009/010,Myagdi,Asthma,1462
2009/010,Myagdi,Urinary Tract infection,2073
2009/010,Myagdi,Viral Influenza,2079
2009/010,Myagdi,Reproductive Tract Infection male,70
2009/010,Myagdi,Reproductive tract infection female,121
2009/010,Nawalparasi,ARI /Lower respiratory tract infection,23409
2009/010,Nawalparasi,Upper respiratory Tract infection,22603
2009/010,Nawalparasi,Pneumonia,11141
2009/010,Nawalparasi,Server Pneumonia,313
2009/010,Nawalparasi,Bronchitis,6141
2009/010,Nawalparasi,Asthma,8245
2009/010,Nawalparasi,Urinary Tract infection,5523
2009/010,Nawalparasi,Viral Influenza,2085
2009/010,Nawalparasi,Reproductive Tract Infection male,38
2009/010,Nawalparasi,Reproductive tract infection female,130
2009/010,Palpa,ARI /Lower respiratory tract infection,14805
2009/010,Palpa,Upper respiratory Tract infection,10973
2009/010,Palpa,Pneumonia,6688
2009/010,Palpa,Server Pneumonia,41
2009/010,Palpa,Bronchitis,5858
2009/010,Palpa,Asthma,6685
2009/010,Palpa,Urinary Tract infection,8060
2009/010,Palpa,Viral Influenza,3924
2009/010,Palpa,Reproductive Tract Infection male,114
2009/010,Palpa,Reproductive tract infection female,123
2009/010,Parbat,ARI /Lower respiratory tract infection,15568
2009/010,Parbat,Upper respiratory Tract infection,16736
2009/010,Parbat,Pneumonia,5370
2009/010,Parbat,Server Pneumonia,317
2009/010,Parbat,Bronchitis,2690
2009/010,Parbat,Asthma,3630
2009/010,Parbat,Urinary Tract infection,1784
2009/010,Parbat,Viral Influenza,1242
2009/010,Parbat,Reproductive Tract Infection male,99
2009/010,Parbat,Reproductive tract infection female,86
2009/010,Rupandehi,ARI /Lower respiratory tract infection,0
2009/010,Rupandehi,Upper respiratory Tract infection,0
2009/010,Rupandehi,Pneumonia,0
2009/010,Rupandehi,Server Pneumonia,0
2009/010,Rupandehi,Bronchitis,0
2009/010,Rupandehi,Asthma,0
2009/010,Rupandehi,Urinary Tract infection,0
2009/010,Rupandehi,Viral Influenza,0
2009/010,Rupandehi,Reproductive Tract Infection male,0
2009/010,Rupandehi,Reproductive tract infection female,0
2009/010,Syangja,ARI /Lower respiratory tract infection,22290
2009/010,Syangja,Upper respiratory Tract infection,17114
2009/010,Syangja,Pneumonia,5519
2009/010,Syangja,Server Pneumonia,268
2009/010,Syangja,Bronchitis,5732
2009/010,Syangja,Asthma,7343
2009/010,Syangja,Urinary Tract infection,5858
2009/010,Syangja,Viral Influenza,1950
2009/010,Syangja,Reproductive Tract Infection male,146
2009/010,Syangja,Reproductive tract infection female,290
2009/010,Tanahu,ARI /Lower respiratory tract infection,10496
2009/010,Tanahu,Upper respiratory Tract infection,8242
2009/010,Tanahu,Pneumonia,3177
2009/010,Tanahu,Server Pneumonia,101
2009/010,Tanahu,Bronchitis,2275
2009/010,Tanahu,Asthma,3610
2009/010,Tanahu,Urinary Tract infection,2910
2009/010,Tanahu,Viral Influenza,2411
2009/010,Tanahu,Reproductive Tract Infection male,72
2009/010,Tanahu,Reproductive tract infection female,121
2009/010,Banke,ARI /Lower respiratory tract infection,21179
2009/010,Banke,Upper respiratory Tract infection,21371
2009/010,Banke,Pneumonia,8721
2009/010,Banke,Server Pneumonia,166
2009/010,Banke,Bronchitis,3193
2009/010,Banke,Asthma,6004
2009/010,Banke,Urinary Tract infection,3391
2009/010,Banke,Viral Influenza,3276
2009/010,Banke,Reproductive Tract Infection male,106
2009/010,Banke,Reproductive tract infection female,89
2009/010,Bardiya,ARI /Lower respiratory tract infection,22244
2009/010,Bardiya,Upper respiratory Tract infection,25062
2009/010,Bardiya,Pneumonia,9647
2009/010,Bardiya,Server Pneumonia,453
2009/010,Bardiya,Bronchitis,8121
2009/010,Bardiya,Asthma,6333
2009/010,Bardiya,Urinary Tract infection,7493
2009/010,Bardiya,Viral Influenza,2802
2009/010,Bardiya,Reproductive Tract Infection male,186
2009/010,Bardiya,Reproductive tract infection female,426
2009/010,Dailekh,ARI /Lower respiratory tract infection,23824
2009/010,Dailekh,Upper respiratory Tract infection,16882
2009/010,Dailekh,Pneumonia,7254
2009/010,Dailekh,Server Pneumonia,292
2009/010,Dailekh,Bronchitis,4887
2009/010,Dailekh,Asthma,5870
2009/010,Dailekh,Urinary Tract infection,3513
2009/010,Dailekh,Viral Influenza,456
2009/010,Dailekh,Reproductive Tract Infection male,80
2009/010,Dailekh,Reproductive tract infection female,81
2009/010,Dang,ARI /Lower respiratory tract infection,17225
2009/010,Dang,Upper respiratory Tract infection,15017
2009/010,Dang,Pneumonia,9354
2009/010,Dang,Server Pneumonia,719
2009/010,Dang,Bronchitis,5206
2009/010,Dang,Asthma,7237
2009/010,Dang,Urinary Tract infection,5490
2009/010,Dang,Viral Influenza,1757
2009/010,Dang,Reproductive Tract Infection male,169
2009/010,Dang,Reproductive tract infection female,240
2009/010,Dolpa,ARI /Lower respiratory tract infection,1019
2009/010,Dolpa,Upper respiratory Tract infection,1092
2009/010,Dolpa,Pneumonia,594
2009/010,Dolpa,Server Pneumonia,82
2009/010,Dolpa,Bronchitis,552
2009/010,Dolpa,Asthma,563
2009/010,Dolpa,Urinary Tract infection,517
2009/010,Dolpa,Viral Influenza,90
2009/010,Dolpa,Reproductive Tract Infection male,49
2009/010,Dolpa,Reproductive tract infection female,69
2009/010,Humla,ARI /Lower respiratory tract infection,4917
2009/010,Humla,Upper respiratory Tract infection,3886
2009/010,Humla,Pneumonia,2795
2009/010,Humla,Server Pneumonia,291
2009/010,Humla,Bronchitis,1874
2009/010,Humla,Asthma,2834
2009/010,Humla,Urinary Tract infection,1844
2009/010,Humla,Viral Influenza,1192
2009/010,Humla,Reproductive Tract Infection male,232
2009/010,Humla,Reproductive tract infection female,258
2009/010,Jajarkot,ARI /Lower respiratory tract infection,6309
2009/010,Jajarkot,Upper respiratory Tract infection,9910
2009/010,Jajarkot,Pneumonia,2994
2009/010,Jajarkot,Server Pneumonia,518
2009/010,Jajarkot,Bronchitis,2454
2009/010,Jajarkot,Asthma,3200
2009/010,Jajarkot,Urinary Tract infection,3304
2009/010,Jajarkot,Viral Influenza,552
2009/010,Jajarkot,Reproductive Tract Infection male,122
2009/010,Jajarkot,Reproductive tract infection female,243
2009/010,Jumla,ARI /Lower respiratory tract infection,4337
2009/010,Jumla,Upper respiratory Tract infection,4953
2009/010,Jumla,Pneumonia,2141
2009/010,Jumla,Server Pneumonia,189
2009/010,Jumla,Bronchitis,1112
2009/010,Jumla,Asthma,1760
2009/010,Jumla,Urinary Tract infection,988
2009/010,Jumla,Viral Influenza,294
2009/010,Jumla,Reproductive Tract Infection male,10
2009/010,Jumla,Reproductive tract infection female,43
2009/010,Kalikot,ARI /Lower respiratory tract infection,4721
2009/010,Kalikot,Upper respiratory Tract infection,3532
2009/010,Kalikot,Pneumonia,1818
2009/010,Kalikot,Server Pneumonia,382
2009/010,Kalikot,Bronchitis,1848
2009/010,Kalikot,Asthma,2317
2009/010,Kalikot,Urinary Tract infection,1611
2009/010,Kalikot,Viral Influenza,389
2009/010,Kalikot,Reproductive Tract Infection male,43
2009/010,Kalikot,Reproductive tract infection female,304
2009/010,Mugu,ARI /Lower respiratory tract infection,2574
2009/010,Mugu,Upper respiratory Tract infection,2770
2009/010,Mugu,Pneumonia,1118
2009/010,Mugu,Server Pneumonia,186
2009/010,Mugu,Bronchitis,730
2009/010,Mugu,Asthma,1154
2009/010,Mugu,Urinary Tract infection,815
2009/010,Mugu,Viral Influenza,148
2009/010,Mugu,Reproductive Tract Infection male,66
