District,Year,Respiratory problems,Morbidity Number
Dolpa,2066/67,Foreign body in respiratory tract,25
Humla,2066/67,"ARI/Lower respiratory
tract Infection",4917
Humla,2066/67,"Upper respiratory tract
Infection",3886
Humla,2066/67,Pneumonia,2795
Humla,2066/67,Sever Pneumonia,291
Humla,2066/67,Bronchitis,1874
Humla,2066/67,Asthama,2834
Humla,2066/67,Viral Influnenza,1192
Humla,2066/67,Foreign body in respiratory tract,178
Jajarkot,2066/67,"ARI/Lower respiratory
tract Infection",6309
Jajarkot,2066/67,"Upper respiratory tract
Infection",9910
Jajarkot,2066/67,Pneumonia,2994
Jajarkot,2066/67,Sever Pneumonia,518
Jajarkot,2066/67,Bronchitis,2454
Jajarkot,2066/67,Asthama,3200
Jajarkot,2066/67,Viral Influnenza,552
Jajarkot,2066/67,Foreign body in respiratory tract,25
Jumla,2066/67,"ARI/Lower respiratory
tract Infection",4337
Jumla,2066/67,"Upper respiratory tract
Infection",4953
Jumla,2066/67,Pneumonia,2141
Jumla,2066/67,Sever Pneumonia,189
Jumla,2066/67,Bronchitis,1112
Jumla,2066/67,Asthama,1760
Jumla,2066/67,Viral Influnenza,294
Jumla,2066/67,Foreign body in respiratory tract,20
Kalikot,2066/67,"ARI/Lower respiratory
tract Infection",4721
Kalikot,2066/67,"Upper respiratory tract
Infection",3532
Kalikot,2066/67,Pneumonia,1818
Kalikot,2066/67,Sever Pneumonia,382
Kalikot,2066/67,Bronchitis,1848
Kalikot,2066/67,Asthama,2317
Kalikot,2066/67,Viral Influnenza,389
Kalikot,2066/67,Foreign body in respiratory tract,400
Mugu,2066/67,"ARI/Lower respiratory
tract Infection",2574
Mugu,2066/67,"Upper respiratory tract
Infection",2770
Mugu,2066/67,Pneumonia,1118
Mugu,2066/67,Sever Pneumonia,186
Mugu,2066/67,Bronchitis,730
Mugu,2066/67,Asthama,1154
Mugu,2066/67,Viral Influnenza,148
Mugu,2066/67,Foreign body in respiratory tract,28
Pyuthan,2066/67,"ARI/Lower respiratory
tract Infection",10057
Pyuthan,2066/67,"Upper respiratory tract
Infection",15857
Pyuthan,2066/67,Pneumonia,6907
Pyuthan,2066/67,Sever Pneumonia,430
Pyuthan,2066/67,Bronchitis,5160
Pyuthan,2066/67,Asthama,5979
Pyuthan,2066/67,Viral Influnenza,3
Pyuthan,2066/67,Foreign body in respiratory tract,73
Rolpa,2066/67,"ARI/Lower respiratory
tract Infection",11179
Rolpa,2066/67,"Upper respiratory tract
Infection",9708
Rolpa,2066/67,Pneumonia,6915
Rolpa,2066/67,Sever Pneumonia,305
Rolpa,2066/67,Bronchitis,2598
Rolpa,2066/67,Asthama,2976
Rolpa,2066/67,Viral Influnenza,368
Rolpa,2066/67,Foreign body in respiratory tract,88
Rukum,2066/67,"ARI/Lower respiratory
tract Infection",9993
Rukum,2066/67,"Upper respiratory tract
Infection",10210
Rukum,2066/67,Pneumonia,7465
Rukum,2066/67,Sever Pneumonia,710
Rukum,2066/67,Bronchitis,2893
Rukum,2066/67,Asthama,3679
Rukum,2066/67,Viral Influnenza,589
Rukum,2066/67,Foreign body in respiratory tract,155
Salyan,2066/67,"ARI/Lower respiratory
tract Infection",13591
Salyan,2066/67,"Upper respiratory tract
Infection",11089
Salyan,2066/67,Pneumonia,6401
Salyan,2066/67,Sever Pneumonia,485
Salyan,2066/67,Bronchitis,3744
Salyan,2066/67,Asthama,5778
Salyan,2066/67,Viral Influnenza,433
Salyan,2066/67,Foreign body in respiratory tract,62
Surkhet,2066/67,"ARI/Lower respiratory
tract Infection",20973
Surkhet,2066/67,"Upper respiratory tract
Infection",18923
Surkhet,2066/67,Pneumonia,10744
Surkhet,2066/67,Sever Pneumonia,533
Surkhet,2066/67,Bronchitis,4641
Surkhet,2066/67,Asthama,6534
Surkhet,2066/67,Viral Influnenza,3627
Surkhet,2066/67,Foreign body in respiratory tract,136
Achham,2066/67,"ARI/Lower respiratory
tract Infection",23794
Achham,2066/67,"Upper respiratory tract
Infection",22371
Achham,2066/67,Pneumonia,6757
Achham,2066/67,Sever Pneumonia,726
Achham,2066/67,Bronchitis,3553
Achham,2066/67,Asthama,6563
Achham,2066/67,Viral Influnenza,1098
Achham,2066/67,Foreign body in respiratory tract,258
Baitadi,2066/67,"ARI/Lower respiratory
tract Infection",13130
Baitadi,2066/67,"Upper respiratory tract
Infection",11299
Baitadi,2066/67,Pneumonia,6263
Baitadi,2066/67,Sever Pneumonia,383
Baitadi,2066/67,Bronchitis,3725
Baitadi,2066/67,Asthama,6912
Baitadi,2066/67,Viral Influnenza,2079
Baitadi,2066/67,Foreign body in respiratory tract,225
Bajhang,2066/67,"ARI/Lower respiratory
tract Infection",6937
Bajhang,2066/67,"Upper respiratory tract
Infection",6470
Bajhang,2066/67,Pneumonia,4061
Bajhang,2066/67,Sever Pneumonia,224
Bajhang,2066/67,Bronchitis,2385
Bajhang,2066/67,Asthama,2973
Bajhang,2066/67,Viral Influnenza,248
Bajhang,2066/67,Foreign body in respiratory tract,120
Bajura,2066/67,"ARI/Lower respiratory
tract Infection",7017
Bajura,2066/67,"Upper respiratory tract
Infection",7962
Bajura,2066/67,Pneumonia,5488
Bajura,2066/67,Sever Pneumonia,551
Bajura,2066/67,Bronchitis,2133
Bajura,2066/67,Asthama,3320
Bajura,2066/67,Viral Influnenza,758
Bajura,2066/67,Foreign body in respiratory tract,195
Dadeldhura,2066/67,"ARI/Lower respiratory
tract Infection",14823
Dadeldhura,2066/67,"Upper respiratory tract
Infection",9819
Dadeldhura,2066/67,Pneumonia,9200
Dadeldhura,2066/67,Sever Pneumonia,362
Dadeldhura,2066/67,Bronchitis,1651
Dadeldhura,2066/67,Asthama,3840
Dadeldhura,2066/67,Viral Influnenza,1789
Dadeldhura,2066/67,Foreign body in respiratory tract,132
Darchula,2066/67,"ARI/Lower respiratory
tract Infection",8080
Darchula,2066/67,"Upper respiratory tract
Infection",6113
Darchula,2066/67,Pneumonia,2076
Darchula,2066/67,Sever Pneumonia,117
