District Name,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Indicator,Sub- Indicator,Value
Banke,Bheri,Terai,Mid-Western,2068/69,2011/2012,BCG,,13593
Banke,Bheri,Terai,Mid-Western,2068/69,2011/2012,DPT-Hep B-Hib1,,11808
Banke,Bheri,Terai,Mid-Western,2068/69,2011/2012,DPT-Hep B-Hib2,,11381
Banke,Bheri,Terai,Mid-Western,2068/69,2011/2012,DPT-Hep B-Hib3,,11077
Banke,Bheri,Terai,Mid-Western,2068/69,2011/2012,Polio 1,,11808
Banke,Bheri,Terai,Mid-Western,2068/69,2011/2012,Polio 2,,11381
Banke,Bheri,Terai,Mid-Western,2068/69,2011/2012,Polio 3,,11077
Banke,Bheri,Terai,Mid-Western,2068/69,2011/2012,Measles 9-11 months,,10177
Banke,Bheri,Terai,Mid-Western,2068/69,2011/2012,Measles 12-23 months,,302
Banke,Bheri,Terai,Mid-Western,2068/69,2011/2012,Japnese Encephalitis,,8254
Banke,Bheri,Terai,Mid-Western,2068/69,2011/2012,TT Pregnant Women,TT 1,5991
Banke,Bheri,Terai,Mid-Western,2068/69,2011/2012,TT Pregnant Women,TT 2,4819
Banke,Bheri,Terai,Mid-Western,2068/69,2011/2012,TT Pregnant Women,TT 2+,5740
Banke,Bheri,Terai,Mid-Western,2068/69,2011/2012,TT Total,TT 2+,16550
Bara,Narayani,Terai,Central,2068/69,2011/2012,BCG,,17245
Bara,Narayani,Terai,Central,2068/69,2011/2012,DPT-Hep B-Hib1,,16910
Bara,Narayani,Terai,Central,2068/69,2011/2012,DPT-Hep B-Hib2,,16468
Bara,Narayani,Terai,Central,2068/69,2011/2012,DPT-Hep B-Hib3,,15958
Bara,Narayani,Terai,Central,2068/69,2011/2012,Polio 1,,16930
Bara,Narayani,Terai,Central,2068/69,2011/2012,Polio 2,,16351
Bara,Narayani,Terai,Central,2068/69,2011/2012,Polio 3,,15901
Bara,Narayani,Terai,Central,2068/69,2011/2012,Measles 9-11 months,,15130
Bara,Narayani,Terai,Central,2068/69,2011/2012,Measles 12-23 months,,306
Bara,Narayani,Terai,Central,2068/69,2011/2012,Japnese Encephalitis,,9183
Bara,Narayani,Terai,Central,2068/69,2011/2012,TT Pregnant Women,TT 1,7723
Bara,Narayani,Terai,Central,2068/69,2011/2012,TT Pregnant Women,TT 2,7029
Bara,Narayani,Terai,Central,2068/69,2011/2012,TT Pregnant Women,TT 2+,8779
Bara,Narayani,Terai,Central,2068/69,2011/2012,TT Total,TT 2+,23531
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/2012,BCG,,7740
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/2012,DPT-Hep B-Hib1,,8217
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/2012,DPT-Hep B-Hib2,,8085
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/2012,DPT-Hep B-Hib3,,8132
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/2012,Polio 1,,8217
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/2012,Polio 2,,8085
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/2012,Polio 3,,8132
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/2012,Measles 9-11 months,,7707
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/2012,Measles 12-23 months,,39
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/2012,Japnese Encephalitis,,7251
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/2012,TT Pregnant Women,TT 1,4493
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/2012,TT Pregnant Women,TT 2,3505
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/2012,TT Pregnant Women,TT 2+,3467
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/2012,TT Total,TT 2+,11465
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/2012,BCG,,3846
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/2012,DPT-Hep B-Hib1,,3886
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/2012,DPT-Hep B-Hib2,,3922
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/2012,DPT-Hep B-Hib3,,3873
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/2012,Polio 1,,3886
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/2012,Polio 2,,3912
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/2012,Polio 3,,3883
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/2012,Measles 9-11 months,,3636
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/2012,Measles 12-23 months,,54
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/2012,Japnese Encephalitis,,0
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/2012,TT Pregnant Women,TT 1,575
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/2012,TT Pregnant Women,TT 2,823
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/2012,TT Pregnant Women,TT 2+,2339
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/2012,TT Total,TT 2+,3737
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/2012,BCG,,3778
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/2012,DPT-Hep B-Hib1,,3415
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/2012,DPT-Hep B-Hib2,,3414
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/2012,DPT-Hep B-Hib3,,3474
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/2012,Polio 1,,3415
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/2012,Polio 2,,3414
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/2012,Polio 3,,3474
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/2012,Measles 9-11 months,,3168
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/2012,Measles 12-23 months,,92
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/2012,Japnese Encephalitis,,0
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/2012,TT Pregnant Women,TT 1,1478
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/2012,TT Pregnant Women,TT 2,1078
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/2012,TT Pregnant Women,TT 2+,1646
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/2012,TT Total,TT 2+,4202
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/2012,BCG,,7075
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/2012,DPT-Hep B-Hib1,,7033
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/2012,DPT-Hep B-Hib2,,6933
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/2012,DPT-Hep B-Hib3,,6947
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/2012,Polio 1,,7033
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/2012,Polio 2,,6933
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/2012,Polio 3,,6947
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/2012,Measles 9-11 months,,6737
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/2012,Measles 12-23 months,,39
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/2012,Japnese Encephalitis,,0
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/2012,TT Pregnant Women,TT 1,2614
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/2012,TT Pregnant Women,TT 2,2418
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/2012,TT Pregnant Women,TT 2+,3609
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/2012,TT Total,TT 2+,8641
Dang,Rapti,Terai,Mid-Western,2068/69,2011/2012,BCG,,13263
Dang,Rapti,Terai,Mid-Western,2068/69,2011/2012,DPT-Hep B-Hib1,,13181
Dang,Rapti,Terai,Mid-Western,2068/69,2011/2012,DPT-Hep B-Hib2,,13128
Dang,Rapti,Terai,Mid-Western,2068/69,2011/2012,DPT-Hep B-Hib3,,13085
Dang,Rapti,Terai,Mid-Western,2068/69,2011/2012,Polio 1,,13181
Dang,Rapti,Terai,Mid-Western,2068/69,2011/2012,Polio 2,,13128
Dang,Rapti,Terai,Mid-Western,2068/69,2011/2012,Polio 3,,13085
Dang,Rapti,Terai,Mid-Western,2068/69,2011/2012,Measles 9-11 months,,13016
Dang,Rapti,Terai,Mid-Western,2068/69,2011/2012,Measles 12-23 months,,14
Dang,Rapti,Terai,Mid-Western,2068/69,2011/2012,Japnese Encephalitis,,10374
Dang,Rapti,Terai,Mid-Western,2068/69,2011/2012,TT Pregnant Women,TT 1,2256
Dang,Rapti,Terai,Mid-Western,2068/69,2011/2012,TT Pregnant Women,TT 2,7382
Dang,Rapti,Terai,Mid-Western,2068/69,2011/2012,TT Pregnant Women,TT 2+,6192
Dang,Rapti,Terai,Mid-Western,2068/69,2011/2012,TT Total,TT 2+,15830
Dhading,Bagmati,Hill,Central,2068/69,2011/2012,BCG,,7839
Dhading,Bagmati,Hill,Central,2068/69,2011/2012,DPT-Hep B-Hib1,,7914
Dhading,Bagmati,Hill,Central,2068/69,2011/2012,DPT-Hep B-Hib2,,7792
Dhading,Bagmati,Hill,Central,2068/69,2011/2012,DPT-Hep B-Hib3,,7849
Dhading,Bagmati,Hill,Central,2068/69,2011/2012,Polio 1,,7914
Dhading,Bagmati,Hill,Central,2068/69,2011/2012,Polio 2,,7792
Dhading,Bagmati,Hill,Central,2068/69,2011/2012,Polio 3,,7849
Dhading,Bagmati,Hill,Central,2068/69,2011/2012,Measles 9-11 months,,8107
Dhading,Bagmati,Hill,Central,2068/69,2011/2012,Measles 12-23 months,,19
Dhading,Bagmati,Hill,Central,2068/69,2011/2012,Japnese Encephalitis,,773
Dhading,Bagmati,Hill,Central,2068/69,2011/2012,TT Pregnant Women,TT 1,1636
Dhading,Bagmati,Hill,Central,2068/69,2011/2012,TT Pregnant Women,TT 2,3647
Dhading,Bagmati,Hill,Central,2068/69,2011/2012,TT Pregnant Women,TT 2+,4048
Dhading,Bagmati,Hill,Central,2068/69,2011/2012,TT Total,TT 2+,9331
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/2012,BCG,,3792
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/2012,DPT-Hep B-Hib1,,3825
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/2012,DPT-Hep B-Hib2,,3798
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/2012,DPT-Hep B-Hib3,,3808
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/2012,Polio 1,,3805
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/2012,Polio 2,,3779
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/2012,Polio 3,,3808
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/2012,Measles 9-11 months,,3728
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/2012,Measles 12-23 months,,38
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/2012,Japnese Encephalitis,,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/2012,TT Pregnant Women,TT 1,1230
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/2012,TT Pregnant Women,TT 2,1336
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/2012,TT Pregnant Women,TT 2+,2529
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/2012,TT Total,TT 2+,5095
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/2012,BCG,,874
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/2012,DPT-Hep B-Hib1,,900
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/2012,DPT-Hep B-Hib2,,821
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/2012,DPT-Hep B-Hib3,,757
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/2012,Polio 1,,866
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/2012,Polio 2,,823
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/2012,Polio 3,,757
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/2012,Measles 9-11 months,,766
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/2012,Measles 12-23 months,,24
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/2012,Japnese Encephalitis,,0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/2012,TT Pregnant Women,TT 1,729
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/2012,TT Pregnant Women,TT 2,494
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/2012,TT Pregnant Women,TT 2+,145
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/2012,TT Total,TT 2+,1368
Doti,Seti,Hill,Far-Western,2068/69,2011/2012,BCG,,6152
Doti,Seti,Hill,Far-Western,2068/69,2011/2012,DPT-Hep B-Hib1,,6141
Doti,Seti,Hill,Far-Western,2068/69,2011/2012,DPT-Hep B-Hib2,,6063
Doti,Seti,Hill,Far-Western,2068/69,2011/2012,DPT-Hep B-Hib3,,5877
Doti,Seti,Hill,Far-Western,2068/69,2011/2012,Polio 1,,6106
Doti,Seti,Hill,Far-Western,2068/69,2011/2012,Polio 2,,6019
Doti,Seti,Hill,Far-Western,2068/69,2011/2012,Polio 3,,5848
Doti,Seti,Hill,Far-Western,2068/69,2011/2012,Measles 9-11 months,,5461
Doti,Seti,Hill,Far-Western,2068/69,2011/2012,Measles 12-23 months,,212
Doti,Seti,Hill,Far-Western,2068/69,2011/2012,Japnese Encephalitis,,0
Doti,Seti,Hill,Far-Western,2068/69,2011/2012,TT Pregnant Women,TT 1,2401
Doti,Seti,Hill,Far-Western,2068/69,2011/2012,TT Pregnant Women,TT 2,1946
Doti,Seti,Hill,Far-Western,2068/69,2011/2012,TT Pregnant Women,TT 2+,2462
Doti,Seti,Hill,Far-Western,2068/69,2011/2012,TT Total,TT 2+,6809
Gorkha,Gandaki,Hill,Western,2068/69,2011/2012,BCG,,5276
Gorkha,Gandaki,Hill,Western,2068/69,2011/2012,DPT-Hep B-Hib1,,5576
Gorkha,Gandaki,Hill,Western,2068/69,2011/2012,DPT-Hep B-Hib2,,5487
Gorkha,Gandaki,Hill,Western,2068/69,2011/2012,DPT-Hep B-Hib3,,5628
Gorkha,Gandaki,Hill,Western,2068/69,2011/2012,Polio 1,,5576
Gorkha,Gandaki,Hill,Western,2068/69,2011/2012,Polio 2,,5487
Gorkha,Gandaki,Hill,Western,2068/69,2011/2012,Polio 3,,5628
Gorkha,Gandaki,Hill,Western,2068/69,2011/2012,Measles 9-11 months,,5251
Gorkha,Gandaki,Hill,Western,2068/69,2011/2012,Measles 12-23 months,,53
Gorkha,Gandaki,Hill,Western,2068/69,2011/2012,Japnese Encephalitis,,0
Gorkha,Gandaki,Hill,Western,2068/69,2011/2012,TT Pregnant Women,TT 1,2584
Gorkha,Gandaki,Hill,Western,2068/69,2011/2012,TT Pregnant Women,TT 2,3030
Gorkha,Gandaki,Hill,Western,2068/69,2011/2012,TT Pregnant Women,TT 2+,1486
Gorkha,Gandaki,Hill,Western,2068/69,2011/2012,TT Total,TT 2+,7100
Gulmi,Lumbini,Hill,Western,2068/69,2011/2012,BCG,,6629
Gulmi,Lumbini,Hill,Western,2068/69,2011/2012,DPT-Hep B-Hib1,,6650
Gulmi,Lumbini,Hill,Western,2068/69,2011/2012,DPT-Hep B-Hib2,,6649
Gulmi,Lumbini,Hill,Western,2068/69,2011/2012,DPT-Hep B-Hib3,,6697
Gulmi,Lumbini,Hill,Western,2068/69,2011/2012,Polio 1,,6651
Gulmi,Lumbini,Hill,Western,2068/69,2011/2012,Polio 2,,6650
Gulmi,Lumbini,Hill,Western,2068/69,2011/2012,Polio 3,,6686
Gulmi,Lumbini,Hill,Western,2068/69,2011/2012,Measles 9-11 months,,6601
Gulmi,Lumbini,Hill,Western,2068/69,2011/2012,Measles 12-23 months,,41
Gulmi,Lumbini,Hill,Western,2068/69,2011/2012,Japnese Encephalitis,,0
Gulmi,Lumbini,Hill,Western,2068/69,2011/2012,TT Pregnant Women,TT 1,762
Gulmi,Lumbini,Hill,Western,2068/69,2011/2012,TT Pregnant Women,TT 2,3262
Gulmi,Lumbini,Hill,Western,2068/69,2011/2012,TT Pregnant Women,TT 2+,4727
Gulmi,Lumbini,Hill,Western,2068/69,2011/2012,TT Total,TT 2+,8751
Humla,Karnali,Mountain,Mid-Western,2068/69,2011/2012,BCG,,1470
Humla,Karnali,Mountain,Mid-Western,2068/69,2011/2012,DPT-Hep B-Hib1,,1450
Humla,Karnali,Mountain,Mid-Western,2068/69,2011/2012,DPT-Hep B-Hib2,,1417
Humla,Karnali,Mountain,Mid-Western,2068/69,2011/2012,DPT-Hep B-Hib3,,1408
Humla,Karnali,Mountain,Mid-Western,2068/69,2011/2012,Polio 1,,1450
Humla,Karnali,Mountain,Mid-Western,2068/69,2011/2012,Polio 2,,1417
Humla,Karnali,Mountain,Mid-Western,2068/69,2011/2012,Polio 3,,1408
Humla,Karnali,Mountain,Mid-Western,2068/69,2011/2012,Measles 9-11 months,,1261
Humla,Karnali,Mountain,Mid-Western,2068/69,2011/2012,Measles 12-23 months,,188
Humla,Karnali,Mountain,Mid-Western,2068/69,2011/2012,Japnese Encephalitis,,0
Humla,Karnali,Mountain,Mid-Western,2068/69,2011/2012,TT Pregnant Women,TT 1,1016
Humla,Karnali,Mountain,Mid-Western,2068/69,2011/2012,TT Pregnant Women,TT 2,712
Humla,Karnali,Mountain,Mid-Western,2068/69,2011/2012,TT Pregnant Women,TT 2+,168
Humla,Karnali,Mountain,Mid-Western,2068/69,2011/2012,TT Total,TT 2+,1896
Ilam,Mechi,Hill,Eastern,2068/69,2011/2012,BCG,,6885
Ilam,Mechi,Hill,Eastern,2068/69,2011/2012,DPT-Hep B-Hib1,,6589
Ilam,Mechi,Hill,Eastern,2068/69,2011/2012,DPT-Hep B-Hib2,,6458
Ilam,Mechi,Hill,Eastern,2068/69,2011/2012,DPT-Hep B-Hib3,,6488
Ilam,Mechi,Hill,Eastern,2068/69,2011/2012,Polio 1,,6589
Ilam,Mechi,Hill,Eastern,2068/69,2011/2012,Polio 2,,6456
Ilam,Mechi,Hill,Eastern,2068/69,2011/2012,Polio 3,,6488
Ilam,Mechi,Hill,Eastern,2068/69,2011/2012,Measles 9-11 months,,6311
Ilam,Mechi,Hill,Eastern,2068/69,2011/2012,Measles 12-23 months,,65
Ilam,Mechi,Hill,Eastern,2068/69,2011/2012,Japnese Encephalitis,,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/2012,TT Pregnant Women,TT 1,1109
Ilam,Mechi,Hill,Eastern,2068/69,2011/2012,TT Pregnant Women,TT 2,2130
Ilam,Mechi,Hill,Eastern,2068/69,2011/2012,TT Pregnant Women,TT 2+,4832
Ilam,Mechi,Hill,Eastern,2068/69,2011/2012,TT Total,TT 2+,8071
Jajarkot,Bheri,Hill,Mid-Western,2068/69,2011/2012,BCG,,4977
Jajarkot,Bheri,Hill,Mid-Western,2068/69,2011/2012,DPT-Hep B-Hib1,,5083
Jajarkot,Bheri,Hill,Mid-Western,2068/69,2011/2012,DPT-Hep B-Hib2,,5012
Jajarkot,Bheri,Hill,Mid-Western,2068/69,2011/2012,DPT-Hep B-Hib3,,4852
Jajarkot,Bheri,Hill,Mid-Western,2068/69,2011/2012,Polio 1,,5083
Jajarkot,Bheri,Hill,Mid-Western,2068/69,2011/2012,Polio 2,,5012
Jajarkot,Bheri,Hill,Mid-Western,2068/69,2011/2012,Polio 3,,4852
Jajarkot,Bheri,Hill,Mid-Western,2068/69,2011/2012,Measles 9-11 months,,4863
Jajarkot,Bheri,Hill,Mid-Western,2068/69,2011/2012,Measles 12-23 months,,154
