District,Year,Antigens,Number of children
Teharthum,2066/67,TT 2+,1746
Udaypur,2066/67,BCG,7540
Udaypur,2066/67,DPT-HepB 1,6935
Udaypur,2066/67,DPT-HepB 2,6393
Udaypur,2066/67,DPT-HepB 3,6324
Udaypur,2066/67,Polio1,7415
Udaypur,2066/67,Polio2,6867
Udaypur,2066/67,Polio3,6942
Udaypur,2066/67,Measles 9-11 months,6925
Udaypur,2066/67,Measles 12-23,336
Udaypur,2066/67,Japenese Encephalitis,4415
Udaypur,2066/67,TT 1,3743
Udaypur,2066/67,TT2,3845
Udaypur,2066/67,TT 2+,3556
Bara,2066/67,BCG,15743
Bara,2066/67,DPT-HepB 1,15260
Bara,2066/67,DPT-HepB 2,14232
Bara,2066/67,DPT-HepB 3,14772
Bara,2066/67,Polio1,15454
Bara,2066/67,Polio2,14538
Bara,2066/67,Polio3,14079
Bara,2066/67,Measles 9-11 months,14384
Bara,2066/67,Measles 12-23,251
Bara,2066/67,Japenese Encephalitis,2609
Bara,2066/67,TT 1,10162
Bara,2066/67,TT2,8461
Bara,2066/67,TT 2+,7306
Bhaktapur,2066/67,BCG,4194
Bhaktapur,2066/67,DPT-HepB 1,4118
Bhaktapur,2066/67,DPT-HepB 2,4151
Bhaktapur,2066/67,DPT-HepB 3,4091
Bhaktapur,2066/67,Polio1,4127
Bhaktapur,2066/67,Polio2,4087
Bhaktapur,2066/67,Polio3,3887
Bhaktapur,2066/67,Measles 9-11 months,5823
Bhaktapur,2066/67,Measles 12-23,226
Bhaktapur,2066/67,Japenese Encephalitis,2508
Bhaktapur,2066/67,TT 1,2118
Bhaktapur,2066/67,TT2,1777
Bhaktapur,2066/67,TT 2+,1002
Chitwan,2066/67,BCG,11258
Chitwan,2066/67,DPT-HepB 1,9762
Chitwan,2066/67,DPT-HepB 2,9457
Chitwan,2066/67,DPT-HepB 3,9491
Chitwan,2066/67,Polio1,9964
Chitwan,2066/67,Polio2,9735
Chitwan,2066/67,Polio3,9754
Chitwan,2066/67,Measles 9-11 months,10205
Chitwan,2066/67,Measles 12-23,75
Chitwan,2066/67,Japenese Encephalitis,7086
Chitwan,2066/67,TT 1,3253
Chitwan,2066/67,TT2,3596
Chitwan,2066/67,TT 2+,8472
Dhading,2066/67,BCG,8522
Dhading,2066/67,DPT-HepB 1,8238
Dhading,2066/67,DPT-HepB 2,7882
Dhading,2066/67,DPT-HepB 3,7884
Dhading,2066/67,Polio1,8442
Dhading,2066/67,Polio2,8137
Dhading,2066/67,Polio3,8100
Dhading,2066/67,Measles 9-11 months,8658
Dhading,2066/67,Measles 12-23,37
Dhading,2066/67,Japenese Encephalitis,0
Dhading,2066/67,TT 1,2381
Dhading,2066/67,TT2,4508
Dhading,2066/67,TT 2+,4353
Dhanusha,2066/67,BCG,16627
Dhanusha,2066/67,DPT-HepB 1,15288
Dhanusha,2066/67,DPT-HepB 2,14562
Dhanusha,2066/67,DPT-HepB 3,13864
Dhanusha,2066/67,Polio1,15428
Dhanusha,2066/67,Polio2,14707
Dhanusha,2066/67,Polio3,14014
Dhanusha,2066/67,Measles 9-11 months,15448
Dhanusha,2066/67,Measles 12-23,279
Dhanusha,2066/67,Japenese Encephalitis,1360
Dhanusha,2066/67,TT 1,13803
Dhanusha,2066/67,TT2,13310
Dhanusha,2066/67,TT 2+,5797
Dolkha,2066/67,BCG,4041
Dolkha,2066/67,DPT-HepB 1,3693
Dolkha,2066/67,DPT-HepB 2,3496
Dolkha,2066/67,DPT-HepB 3,3571
Dolkha,2066/67,Polio1,3929
Dolkha,2066/67,Polio2,3748
Dolkha,2066/67,Polio3,3837
Dolkha,2066/67,Measles 9-11 months,4009
Dolkha,2066/67,Measles 12-23,74
Dolkha,2066/67,Japenese Encephalitis,0
Dolkha,2066/67,TT 1,2055
Dolkha,2066/67,TT2,2238
Dolkha,2066/67,TT 2+,1277
Kathmandu,2066/67,BCG,36470
Kathmandu,2066/67,DPT-HepB 1,26413
Kathmandu,2066/67,DPT-HepB 2,25162
Kathmandu,2066/67,DPT-HepB 3,24928
Kathmandu,2066/67,Polio1,26502
Kathmandu,2066/67,Polio2,25382
Kathmandu,2066/67,Polio3,25106
Kathmandu,2066/67,Measles 9-11 months,27121
Kathmandu,2066/67,Measles 12-23,296
Kathmandu,2066/67,Japenese Encephalitis,36
Kathmandu,2066/67,TT 1,21510
Kathmandu,2066/67,TT2,18864
Kathmandu,2066/67,TT 2+,1755
Kavre,2066/67,BCG,7790
Kavre,2066/67,DPT-HepB 1,7515
Kavre,2066/67,DPT-HepB 2,7123
Kavre,2066/67,DPT-HepB 3,7091
Kavre,2066/67,Polio1,7698
Kavre,2066/67,Polio2,7408
Kavre,2066/67,Polio3,7396
Kavre,2066/67,Measles 9-11 months,7664
Kavre,2066/67,Measles 12-23,18
Kavre,2066/67,Japenese Encephalitis,0
Kavre,2066/67,TT 1,2196
Kavre,2066/67,TT2,2117
Kavre,2066/67,TT 2+,3844
Lalitpur,2066/67,BCG,10296
Lalitpur,2066/67,DPT-HepB 1,7831
Lalitpur,2066/67,DPT-HepB 2,7373
Lalitpur,2066/67,DPT-HepB 3,8054
Lalitpur,2066/67,Polio1,7831
Lalitpur,2066/67,Polio2,7373
Lalitpur,2066/67,Polio3,8054
Lalitpur,2066/67,Measles 9-11 months,7487
Lalitpur,2066/67,Measles 12-23,0
Lalitpur,2066/67,Japenese Encephalitis,2108
Lalitpur,2066/67,TT 1,886
Lalitpur,2066/67,TT2,887
Lalitpur,2066/67,TT 2+,2231
Mahottari,2066/67,BCG,15491
Mahottari,2066/67,DPT-HepB 1,13951
Mahottari,2066/67,DPT-HepB 2,13285
Mahottari,2066/67,DPT-HepB 3,13424
Mahottari,2066/67,Polio1,13951
Mahottari,2066/67,Polio2,13285
Mahottari,2066/67,Polio3,13541
Mahottari,2066/67,Measles 9-11 months,14180
Mahottari,2066/67,Measles 12-23,197
Mahottari,2066/67,Japenese Encephalitis,8632
Mahottari,2066/67,TT 1,14210
Mahottari,2066/67,TT2,15681
Mahottari,2066/67,TT 2+,2097
Makawanpur,2066/67,BCG,8847
Makawanpur,2066/67,DPT-HepB 1,8566
Makawanpur,2066/67,DPT-HepB 2,8068
Makawanpur,2066/67,DPT-HepB 3,7801
Makawanpur,2066/67,Polio1,8782
Makawanpur,2066/67,Polio2,8302
Makawanpur,2066/67,Polio3,8057
Makawanpur,2066/67,Measles 9-11 months,8387
Makawanpur,2066/67,Measles 12-23,349
Makawanpur,2066/67,Japenese Encephalitis,0
Makawanpur,2066/67,TT 1,4516
Makawanpur,2066/67,TT2,4022
Makawanpur,2066/67,TT 2+,2039
Nuwakot,2066/67,BCG,5738
Nuwakot,2066/67,DPT-HepB 1,5718
Nuwakot,2066/67,DPT-HepB 2,5490
Nuwakot,2066/67,DPT-HepB 3,5514
Nuwakot,2066/67,Polio1,5997
Nuwakot,2066/67,Polio2,5776
Nuwakot,2066/67,Polio3,5810
Nuwakot,2066/67,Measles 9-11 months,5556
Nuwakot,2066/67,Measles 12-23,93
Nuwakot,2066/67,Japenese Encephalitis,0
Nuwakot,2066/67,TT 1,2670
Nuwakot,2066/67,TT2,2540
Nuwakot,2066/67,TT 2+,2344
Parsa,2066/67,BCG,13774
Parsa,2066/67,DPT-HepB 1,0
Parsa,2066/67,DPT-HepB 2,0
Parsa,2066/67,DPT-HepB 3,11533
Parsa,2066/67,Polio1,0
Parsa,2066/67,Polio2,0
Parsa,2066/67,Polio3,12213
Parsa,2066/67,Measles 9-11 months,12294
Parsa,2066/67,Measles 12-23,0
Parsa,2066/67,Japenese Encephalitis,5710
Parsa,2066/67,TT 1,0
Parsa,2066/67,TT2,14674
Parsa,2066/67,TT 2+,6238
Ramechhap,2066/67,BCG,4000
Ramechhap,2066/67,DPT-HepB 1,3851
Ramechhap,2066/67,DPT-HepB 2,3754
Ramechhap,2066/67,DPT-HepB 3,3741
Ramechhap,2066/67,Polio1,3956
Ramechhap,2066/67,Polio2,3871
Ramechhap,2066/67,Polio3,3844
Ramechhap,2066/67,Measles 9-11 months,4016
Ramechhap,2066/67,Measles 12-23,84
Ramechhap,2066/67,Japenese Encephalitis,0
Ramechhap,2066/67,TT 1,1835
Ramechhap,2066/67,TT2,2129
Ramechhap,2066/67,TT 2+,1188
Rasuwa,2066/67,BCG,1028
Rasuwa,2066/67,DPT-HepB 1,969
Rasuwa,2066/67,DPT-HepB 2,940
Rasuwa,2066/67,DPT-HepB 3,919
Rasuwa,2066/67,Polio1,1002
Rasuwa,2066/67,Polio2,979
Rasuwa,2066/67,Polio3,971
Rasuwa,2066/67,Measles 9-11 months,1011
Rasuwa,2066/67,Measles 12-23,13
Rasuwa,2066/67,Japenese Encephalitis,0
Rasuwa,2066/67,TT 1,108
Rasuwa,2066/67,TT2,729
Rasuwa,2066/67,TT 2+,435
Rautahat,2066/67,BCG,17154
Rautahat,2066/67,DPT-HepB 1,17626
Rautahat,2066/67,DPT-HepB 2,16679
Rautahat,2066/67,DPT-HepB 3,16303
Rautahat,2066/67,Polio1,17743
Rautahat,2066/67,Polio2,16834
Rautahat,2066/67,Polio3,15074
Rautahat,2066/67,Measles 9-11 months,14204
Rautahat,2066/67,Measles 12-23,891
Rautahat,2066/67,Japenese Encephalitis,792
Rautahat,2066/67,TT 1,18317
Rautahat,2066/67,TT2,15466
Rautahat,2066/67,TT 2+,1053
Sarlahi,2066/67,BCG,18483
Sarlahi,2066/67,DPT-HepB 1,16726
Sarlahi,2066/67,DPT-HepB 2,15284
Sarlahi,2066/67,DPT-HepB 3,14838
Sarlahi,2066/67,Polio1,17083
Sarlahi,2066/67,Polio2,15624
Sarlahi,2066/67,Polio3,15035
Sarlahi,2066/67,Measles 9-11 months,15465
Sarlahi,2066/67,Measles 12-23,403
Sarlahi,2066/67,Japenese Encephalitis,0
Sarlahi,2066/67,TT 1,13798
Sarlahi,2066/67,TT2,12768
Sarlahi,2066/67,TT 2+,9350
Sindhuli,2066/67,BCG,6811
Sindhuli,2066/67,DPT-HepB 1,6181
Sindhuli,2066/67,DPT-HepB 2,5674
Sindhuli,2066/67,DPT-HepB 3,5713
Sindhuli,2066/67,Polio1,6633
Sindhuli,2066/67,Polio2,6113
Sindhuli,2066/67,Polio3,6203
Sindhuli,2066/67,Measles 9-11 months,6123
Sindhuli,2066/67,Measles 12-23,335
Sindhuli,2066/67,Japenese Encephalitis,3
Sindhuli,2066/67,TT 1,3883
Sindhuli,2066/67,TT2,3285
Sindhuli,2066/67,TT 2+,1924
Sindhupalchowk,2066/67,BCG,5548
Sindhupalchowk,2066/67,DPT-HepB 1,5859
Sindhupalchowk,2066/67,DPT-HepB 2,5680
Sindhupalchowk,2066/67,DPT-HepB 3,5748
Sindhupalchowk,2066/67,Polio1,5880
Sindhupalchowk,2066/67,Polio2,5717
Sindhupalchowk,2066/67,Polio3,5775
Sindhupalchowk,2066/67,Measles 9-11 months,5884
Sindhupalchowk,2066/67,Measles 12-23,138
Sindhupalchowk,2066/67,Japenese Encephalitis,0
Sindhupalchowk,2066/67,TT 1,1460
Sindhupalchowk,2066/67,TT2,2026
Sindhupalchowk,2066/67,TT 2+,2213
Arghakhanchi,2066/67,BCG,4970
Arghakhanchi,2066/67,DPT-HepB 1,4726
Arghakhanchi,2066/67,DPT-HepB 2,4423
Arghakhanchi,2066/67,DPT-HepB 3,4625
Arghakhanchi,2066/67,Polio1,4504
Arghakhanchi,2066/67,Polio2,4424
Arghakhanchi,2066/67,Polio3,4449
Arghakhanchi,2066/67,Measles 9-11 months,4943
Arghakhanchi,2066/67,Measles 12-23,11
Arghakhanchi,2066/67,Japenese Encephalitis,0
Arghakhanchi,2066/67,TT 1,630
Arghakhanchi,2066/67,TT2,2946
Arghakhanchi,2066/67,TT 2+,2823
Baglung,2066/67,BCG,6532
Baglung,2066/67,DPT-HepB 1,6204
Baglung,2066/67,DPT-HepB 2,6003
Baglung,2066/67,DPT-HepB 3,5716
Baglung,2066/67,Polio1,6331
Baglung,2066/67,Polio2,6178
Baglung,2066/67,Polio3,5888
Baglung,2066/67,Measles 9-11 months,6149
Baglung,2066/67,Measles 12-23,70
Baglung,2066/67,Japenese Encephalitis,0
Baglung,2066/67,TT 1,3896
Baglung,2066/67,TT2,3611
Baglung,2066/67,TT 2+,854
Gorkha,2066/67,BCG,5849
Gorkha,2066/67,DPT-HepB 1,5533
Gorkha,2066/67,DPT-HepB 2,5272
Gorkha,2066/67,DPT-HepB 3,5335
Gorkha,2066/67,Polio1,5458
Gorkha,2066/67,Polio2,5283
Gorkha,2066/67,Polio3,5301
Gorkha,2066/67,Measles 9-11 months,5402
Gorkha,2066/67,Measles 12-23,102
Gorkha,2066/67,Japenese Encephalitis,0
Gorkha,2066/67,TT 1,1993
Gorkha,2066/67,TT2,2600
Gorkha,2066/67,TT 2+,2055
Gulmi,2066/67,BCG,7180
Gulmi,2066/67,DPT-HepB 1,6573
Gulmi,2066/67,DPT-HepB 2,6233
Gulmi,2066/67,DPT-HepB 3,6349
Gulmi,2066/67,Polio1,6835
Gulmi,2066/67,Polio2,6626
Gulmi,2066/67,Polio3,6689
Gulmi,2066/67,Measles 9-11 months,7386
Gulmi,2066/67,Measles 12-23,33
Gulmi,2066/67,Japenese Encephalitis,0
Gulmi,2066/67,TT 1,1116
Gulmi,2066/67,TT2,4509
Gulmi,2066/67,TT 2+,5345
Kapilvastu,2066/67,BCG,13545
Kapilvastu,2066/67,DPT-HepB 1,11834
Kapilvastu,2066/67,DPT-HepB 2,11331
Kapilvastu,2066/67,DPT-HepB 3,11039
Kapilvastu,2066/67,Polio1,12170
Kapilvastu,2066/67,Polio2,11645
Kapilvastu,2066/67,Polio3,11335
Kapilvastu,2066/67,Measles 9-11 months,12057
Kapilvastu,2066/67,Measles 12-23,464
Kapilvastu,2066/67,Japenese Encephalitis,9360
Kapilvastu,2066/67,TT 1,5415
Kapilvastu,2066/67,TT2,11693
Kapilvastu,2066/67,TT 2+,9586
Kaski,2066/67,BCG,9888
Kaski,2066/67,DPT-HepB 1,8587
Kaski,2066/67,DPT-HepB 2,8147
Kaski,2066/67,DPT-HepB 3,8368
Kaski,2066/67,Polio1,8670
Kaski,2066/67,Polio2,8147
Kaski,2066/67,Polio3,8407
Kaski,2066/67,Measles 9-11 months,8604
Kaski,2066/67,Measles 12-23,115
Kaski,2066/67,Japenese Encephalitis,3
Kaski,2066/67,TT 1,2081
Kaski,2066/67,TT2,2751
Kaski,2066/67,TT 2+,3324
Lamjung,2066/67,BCG,3658
Lamjung,2066/67,DPT-HepB 1,3496
Lamjung,2066/67,DPT-HepB 2,3398
Lamjung,2066/67,DPT-HepB 3,3405
Lamjung,2066/67,Polio1,3632
Lamjung,2066/67,Polio2,4060
Lamjung,2066/67,Polio3,3500
Lamjung,2066/67,Measles 9-11 months,3522
Lamjung,2066/67,Measles 12-23,28
Lamjung,2066/67,Japenese Encephalitis,0
Lamjung,2066/67,TT 1,2459
Lamjung,2066/67,TT2,2304
Lamjung,2066/67,TT 2+,759
Manang,2066/67,BCG,89
Manang,2066/67,DPT-HepB 1,86
Manang,2066/67,DPT-HepB 2,67
Manang,2066/67,DPT-HepB 3,63
Manang,2066/67,Polio1,85
Manang,2066/67,Polio2,74
Manang,2066/67,Polio3,61
Manang,2066/67,Measles 9-11 months,67
Manang,2066/67,Measles 12-23,2
Manang,2066/67,Japenese Encephalitis,0
Manang,2066/67,TT 1,51
Manang,2066/67,TT2,46
Manang,2066/67,TT 2+,5
Mustang,2066/67,BCG,192
Mustang,2066/67,DPT-HepB 1,196
Mustang,2066/67,DPT-HepB 2,179
Mustang,2066/67,DPT-HepB 3,161
Mustang,2066/67,Polio1,196
Mustang,2066/67,Polio2,179
Mustang,2066/67,Polio3,161
Mustang,2066/67,Measles 9-11 months,188
Mustang,2066/67,Measles 12-23,6
Mustang,2066/67,Japenese Encephalitis,0
Mustang,2066/67,TT 1,113
Mustang,2066/67,TT2,150
Mustang,2066/67,TT 2+,59
Myagdi,2066/67,BCG,3183
Myagdi,2066/67,DPT-HepB 1,2849
Myagdi,2066/67,DPT-HepB 2,2725
Myagdi,2066/67,DPT-HepB 3,2742
Myagdi,2066/67,Polio1,2735
Myagdi,2066/67,Polio2,2657
Myagdi,2066/67,Polio3,2682
Myagdi,2066/67,Measles 9-11 months,2843
Myagdi,2066/67,Measles 12-23,72
Myagdi,2066/67,Japenese Encephalitis,0
Myagdi,2066/67,TT 1,1661
Myagdi,2066/67,TT2,1847
Myagdi,2066/67,TT 2+,1802
Nawalparasi,2066/67,BCG,12215
Nawalparasi,2066/67,DPT-HepB 1,12342
Nawalparasi,2066/67,DPT-HepB 2,12338
Nawalparasi,2066/67,DPT-HepB 3,11994
Nawalparasi,2066/67,Polio1,12346
Nawalparasi,2066/67,Polio2,12257
Nawalparasi,2066/67,Polio3,11995
Nawalparasi,2066/67,Measles 9-11 months,12120
Nawalparasi,2066/67,Measles 12-23,108
Nawalparasi,2066/67,Japenese Encephalitis,9870
Nawalparasi,2066/67,TT 1,6883
Nawalparasi,2066/67,TT2,8559
Nawalparasi,2066/67,TT 2+,3667
Palpa,2066/67,BCG,6811
Palpa,2066/67,DPT-HepB 1,5875
Palpa,2066/67,DPT-HepB 2,5663
Palpa,2066/67,DPT-HepB 3,5631
Palpa,2066/67,Polio1,5875
Palpa,2066/67,Polio2,5663
Palpa,2066/67,Polio3,5831
Palpa,2066/67,Measles 9-11 months,6088
Palpa,2066/67,Measles 12-23,44
Palpa,2066/67,Japenese Encephalitis,0
Palpa,2066/67,TT 1,418
Palpa,2066/67,TT2,632
Palpa,2066/67,TT 2+,4518
Parbat,2066/67,BCG,3099
Parbat,2066/67,DPT-HepB 1,2965
Parbat,2066/67,DPT-HepB 2,2837
Parbat,2066/67,DPT-HepB 3,2898
Parbat,2066/67,Polio1,3012
Parbat,2066/67,Polio2,2876
Parbat,2066/67,Polio3,2975
Parbat,2066/67,Measles 9-11 months,3047
Parbat,2066/67,Measles 12-23,50
Parbat,2066/67,Japenese Encephalitis,0
Parbat,2066/67,TT 1,448
Parbat,2066/67,TT2,1238
Parbat,2066/67,TT 2+,1751
Rupandehi,2066/67,BCG,20834
Rupandehi,2066/67,DPT-HepB 1,18082
Rupandehi,2066/67,DPT-HepB 2,17270
Rupandehi,2066/67,DPT-HepB 3,17535
Rupandehi,2066/67,Polio1,18082
Rupandehi,2066/67,Polio2,17270
Rupandehi,2066/67,Polio3,17535
Rupandehi,2066/67,Measles 9-11 months,18439
Rupandehi,2066/67,Measles 12-23,0
Rupandehi,2066/67,Japenese Encephalitis,13747
Rupandehi,2066/67,TT 1,13249
Rupandehi,2066/67,TT2,12989
Rupandehi,2066/67,TT 2+,11854
Syangja,2066/67,BCG,6286
Syangja,2066/67,DPT-HepB 1,6110
Syangja,2066/67,DPT-HepB 2,5773
Syangja,2066/67,DPT-HepB 3,5858
Syangja,2066/67,Polio1,6130
Syangja,2066/67,Polio2,5803
Syangja,2066/67,Polio3,5907
Syangja,2066/67,Measles 9-11 months,6303
Syangja,2066/67,Measles 12-23,190
Syangja,2066/67,Japenese Encephalitis,0
Syangja,2066/67,TT 1,1244
Syangja,2066/67,TT2,3907
Syangja,2066/67,TT 2+,4249
Tanahu,2066/67,BCG,6701
Tanahu,2066/67,DPT-HepB 1,6483
Tanahu,2066/67,DPT-HepB 2,6053
Tanahu,2066/67,DPT-HepB 3,6025
Tanahu,2066/67,Polio1,6667
Tanahu,2066/67,Polio2,6349
Tanahu,2066/67,Polio3,6249
