District,Year,Clinical Malaria/Total Treatment,Age group,Gender,Number of people
Dhanusha,2067/68,Clinical Malaria,Under 5 Years,Female,1290
Dhanusha,2067/68,Clinical Malaria,5 Years & Above,Male,1311
Dhanusha,2067/68,Clinical Malaria,Under 5 Years,Female,4591
Dhanusha,2067/68,Clinical Malaria,5 Years & Above,Male,6257
Dhanusha,2067/68,Total Treatment,Under 5 Years,Female,1290
Dhanusha,2067/68,Total Treatment,5 Years & Above,Male,1311
Dhanusha,2067/68,Total Treatment,Under 5 Years,Female,4591
Dhanusha,2067/68,Total Treatment,5 Years & Above,Male,6257
Mahottari,2067/68,Clinical Malaria,Under 5 Years,Female,551
Mahottari,2067/68,Clinical Malaria,5 Years & Above,Male,54
Mahottari,2067/68,Clinical Malaria,Under 5 Years,Female,1023
Mahottari,2067/68,Clinical Malaria,5 Years & Above,Male,1517
Mahottari,2067/68,Total Treatment,Under 5 Years,Female,551
Mahottari,2067/68,Total Treatment,5 Years & Above,Male,54
Mahottari,2067/68,Total Treatment,Under 5 Years,Female,1023
Mahottari,2067/68,Total Treatment,5 Years & Above,Male,1517
Sarlahi,2067/68,Clinical Malaria,Under 5 Years,Female,18
Sarlahi,2067/68,Clinical Malaria,5 Years & Above,Male,28
Sarlahi,2067/68,Clinical Malaria,Under 5 Years,Female,799
Sarlahi,2067/68,Clinical Malaria,5 Years & Above,Male,1278
Sarlahi,2067/68,Total Treatment,Under 5 Years,Female,18
Sarlahi,2067/68,Total Treatment,5 Years & Above,Male,28
Sarlahi,2067/68,Total Treatment,Under 5 Years,Female,799
Sarlahi,2067/68,Total Treatment,5 Years & Above,Male,1278
Sindhuli,2067/68,Clinical Malaria,Under 5 Years,Female,3
Sindhuli,2067/68,Clinical Malaria,5 Years & Above,Male,3
Sindhuli,2067/68,Clinical Malaria,Under 5 Years,Female,64
Sindhuli,2067/68,Clinical Malaria,5 Years & Above,Male,65
Sindhuli,2067/68,Total Treatment,Under 5 Years,Female,3
Sindhuli,2067/68,Total Treatment,5 Years & Above,Male,3
Sindhuli,2067/68,Total Treatment,Under 5 Years,Female,64
Sindhuli,2067/68,Total Treatment,5 Years & Above,Male,65
Ramechhap,2067/68,Clinical Malaria,Under 5 Years,Female,0
Ramechhap,2067/68,Clinical Malaria,5 Years & Above,Male,1
Ramechhap,2067/68,Clinical Malaria,Under 5 Years,Female,0
Ramechhap,2067/68,Clinical Malaria,5 Years & Above,Male,0
Ramechhap,2067/68,Total Treatment,Under 5 Years,Female,0
Ramechhap,2067/68,Total Treatment,5 Years & Above,Male,1
Ramechhap,2067/68,Total Treatment,Under 5 Years,Female,0
Ramechhap,2067/68,Total Treatment,5 Years & Above,Male,0
Dolkha,2067/68,Clinical Malaria,Under 5 Years,Female,0
Dolkha,2067/68,Clinical Malaria,5 Years & Above,Male,0
Dolkha,2067/68,Clinical Malaria,Under 5 Years,Female,0
Dolkha,2067/68,Clinical Malaria,5 Years & Above,Male,0
Dolkha,2067/68,Total Treatment,Under 5 Years,Female,0
Dolkha,2067/68,Total Treatment,5 Years & Above,Male,0
Dolkha,2067/68,Total Treatment,Under 5 Years,Female,0
Dolkha,2067/68,Total Treatment,5 Years & Above,Male,0
Sindhupalchowk,2067/68,Clinical Malaria,Under 5 Years,Female,1
Sindhupalchowk,2067/68,Clinical Malaria,5 Years & Above,Male,6
Sindhupalchowk,2067/68,Clinical Malaria,Under 5 Years,Female,68
Sindhupalchowk,2067/68,Clinical Malaria,5 Years & Above,Male,53
Sindhupalchowk,2067/68,Total Treatment,Under 5 Years,Female,1
Sindhupalchowk,2067/68,Total Treatment,5 Years & Above,Male,6
Sindhupalchowk,2067/68,Total Treatment,Under 5 Years,Female,68
Sindhupalchowk,2067/68,Total Treatment,5 Years & Above,Male,53
Kavre,2067/68,Clinical Malaria,Under 5 Years,Female,13
Kavre,2067/68,Clinical Malaria,5 Years & Above,Male,14
Kavre,2067/68,Clinical Malaria,Under 5 Years,Female,121
Kavre,2067/68,Clinical Malaria,5 Years & Above,Male,122
Kavre,2067/68,Total Treatment,Under 5 Years,Female,13
Kavre,2067/68,Total Treatment,5 Years & Above,Male,14
Kavre,2067/68,Total Treatment,Under 5 Years,Female,121
Kavre,2067/68,Total Treatment,5 Years & Above,Male,122
Lalitpur,2067/68,Clinical Malaria,Under 5 Years,Female,0
Lalitpur,2067/68,Clinical Malaria,5 Years & Above,Male,0
Lalitpur,2067/68,Clinical Malaria,Under 5 Years,Female,0
Lalitpur,2067/68,Clinical Malaria,5 Years & Above,Male,0
Lalitpur,2067/68,Total Treatment,Under 5 Years,Female,0
Lalitpur,2067/68,Total Treatment,5 Years & Above,Male,0
Lalitpur,2067/68,Total Treatment,Under 5 Years,Female,0
Lalitpur,2067/68,Total Treatment,5 Years & Above,Male,0
Bhaktapur,2067/68,Clinical Malaria,Under 5 Years,Female,0
Bhaktapur,2067/68,Clinical Malaria,5 Years & Above,Male,0
Bhaktapur,2067/68,Clinical Malaria,Under 5 Years,Female,0
Bhaktapur,2067/68,Clinical Malaria,5 Years & Above,Male,0
Bhaktapur,2067/68,Total Treatment,Under 5 Years,Female,0
Bhaktapur,2067/68,Total Treatment,5 Years & Above,Male,0
Bhaktapur,2067/68,Total Treatment,Under 5 Years,Female,0
Bhaktapur,2067/68,Total Treatment,5 Years & Above,Male,0
Kathmandu,2067/68,Clinical Malaria,Under 5 Years,Female,0
Kathmandu,2067/68,Clinical Malaria,5 Years & Above,Male,0
Kathmandu,2067/68,Clinical Malaria,Under 5 Years,Female,0
Kathmandu,2067/68,Clinical Malaria,5 Years & Above,Male,0
Kathmandu,2067/68,Total Treatment,Under 5 Years,Female,0
Kathmandu,2067/68,Total Treatment,5 Years & Above,Male,0
Kathmandu,2067/68,Total Treatment,Under 5 Years,Female,0
Kathmandu,2067/68,Total Treatment,5 Years & Above,Male,0
Nuwakot,2067/68,Clinical Malaria,Under 5 Years,Female,0
Nuwakot,2067/68,Clinical Malaria,5 Years & Above,Male,0
Nuwakot,2067/68,Clinical Malaria,Under 5 Years,Female,2
Nuwakot,2067/68,Clinical Malaria,5 Years & Above,Male,3
Nuwakot,2067/68,Total Treatment,Under 5 Years,Female,0
Nuwakot,2067/68,Total Treatment,5 Years & Above,Male,0
Nuwakot,2067/68,Total Treatment,Under 5 Years,Female,2
Nuwakot,2067/68,Total Treatment,5 Years & Above,Male,3
Rasuwa,2067/68,Clinical Malaria,Under 5 Years,Female,0
Rasuwa,2067/68,Clinical Malaria,5 Years & Above,Male,0
Rasuwa,2067/68,Clinical Malaria,Under 5 Years,Female,0
Rasuwa,2067/68,Clinical Malaria,5 Years & Above,Male,0
Rasuwa,2067/68,Total Treatment,Under 5 Years,Female,0
Rasuwa,2067/68,Total Treatment,5 Years & Above,Male,0
Rasuwa,2067/68,Total Treatment,Under 5 Years,Female,0
Rasuwa,2067/68,Total Treatment,5 Years & Above,Male,0
Dhading,2067/68,Clinical Malaria,Under 5 Years,Female,8
Dhading,2067/68,Clinical Malaria,5 Years & Above,Male,10
Dhading,2067/68,Clinical Malaria,Under 5 Years,Female,11
Dhading,2067/68,Clinical Malaria,5 Years & Above,Male,28
Dhading,2067/68,Total Treatment,Under 5 Years,Female,8
Dhading,2067/68,Total Treatment,5 Years & Above,Male,10
Dhading,2067/68,Total Treatment,Under 5 Years,Female,11
Dhading,2067/68,Total Treatment,5 Years & Above,Male,28
Makawanpur,2067/68,Clinical Malaria,Under 5 Years,Female,37
Makawanpur,2067/68,Clinical Malaria,5 Years & Above,Male,29
Makawanpur,2067/68,Clinical Malaria,Under 5 Years,Female,220
Makawanpur,2067/68,Clinical Malaria,5 Years & Above,Male,201
Makawanpur,2067/68,Total Treatment,Under 5 Years,Female,37
Makawanpur,2067/68,Total Treatment,5 Years & Above,Male,29
Makawanpur,2067/68,Total Treatment,Under 5 Years,Female,220
Makawanpur,2067/68,Total Treatment,5 Years & Above,Male,201
Rautahat,2067/68,Clinical Malaria,Under 5 Years,Female,107
Rautahat,2067/68,Clinical Malaria,5 Years & Above,Male,88
Rautahat,2067/68,Clinical Malaria,Under 5 Years,Female,1035
Rautahat,2067/68,Clinical Malaria,5 Years & Above,Male,1268
Rautahat,2067/68,Total Treatment,Under 5 Years,Female,107
Rautahat,2067/68,Total Treatment,5 Years & Above,Male,88
Rautahat,2067/68,Total Treatment,Under 5 Years,Female,1035
Rautahat,2067/68,Total Treatment,5 Years & Above,Male,1268
Bara,2067/68,Clinical Malaria,Under 5 Years,Female,32
Bara,2067/68,Clinical Malaria,5 Years & Above,Male,50
Bara,2067/68,Clinical Malaria,Under 5 Years,Female,1850
Bara,2067/68,Clinical Malaria,5 Years & Above,Male,2712
Bara,2067/68,Total Treatment,Under 5 Years,Female,32
Bara,2067/68,Total Treatment,5 Years & Above,Male,50
Bara,2067/68,Total Treatment,Under 5 Years,Female,1850
Bara,2067/68,Total Treatment,5 Years & Above,Male,2712
Parsa,2067/68,Clinical Malaria,Under 5 Years,Female,0
Parsa,2067/68,Clinical Malaria,5 Years & Above,Male,0
Parsa,2067/68,Clinical Malaria,Under 5 Years,Female,0
Parsa,2067/68,Clinical Malaria,5 Years & Above,Male,0
Parsa,2067/68,Total Treatment,Under 5 Years,Female,0
Parsa,2067/68,Total Treatment,5 Years & Above,Male,0
Parsa,2067/68,Total Treatment,Under 5 Years,Female,0
Parsa,2067/68,Total Treatment,5 Years & Above,Male,0
Chitwan,2067/68,Clinical Malaria,Under 5 Years,Female,19
Chitwan,2067/68,Clinical Malaria,5 Years & Above,Male,7
Chitwan,2067/68,Clinical Malaria,Under 5 Years,Female,117
Chitwan,2067/68,Clinical Malaria,5 Years & Above,Male,156
Chitwan,2067/68,Total Treatment,Under 5 Years,Female,19
Chitwan,2067/68,Total Treatment,5 Years & Above,Male,7
Chitwan,2067/68,Total Treatment,Under 5 Years,Female,117
Chitwan,2067/68,Total Treatment,5 Years & Above,Male,156
Gorkha,2067/68,Clinical Malaria,Under 5 Years,Female,0
Gorkha,2067/68,Clinical Malaria,5 Years & Above,Male,0
Gorkha,2067/68,Clinical Malaria,Under 5 Years,Female,283
Gorkha,2067/68,Clinical Malaria,5 Years & Above,Male,314
Gorkha,2067/68,Total Treatment,Under 5 Years,Female,0
Gorkha,2067/68,Total Treatment,5 Years & Above,Male,0
Gorkha,2067/68,Total Treatment,Under 5 Years,Female,283
Gorkha,2067/68,Total Treatment,5 Years & Above,Male,314
Lamjung,2067/68,Clinical Malaria,Under 5 Years,Female,0
Lamjung,2067/68,Clinical Malaria,5 Years & Above,Male,0
Lamjung,2067/68,Clinical Malaria,Under 5 Years,Female,0
Lamjung,2067/68,Clinical Malaria,5 Years & Above,Male,0
Lamjung,2067/68,Total Treatment,Under 5 Years,Female,0
Lamjung,2067/68,Total Treatment,5 Years & Above,Male,0
Lamjung,2067/68,Total Treatment,Under 5 Years,Female,0
Lamjung,2067/68,Total Treatment,5 Years & Above,Male,0
Tanahu,2067/68,Clinical Malaria,Under 5 Years,Female,0
Tanahu,2067/68,Clinical Malaria,5 Years & Above,Male,0
Tanahu,2067/68,Clinical Malaria,Under 5 Years,Female,9
Tanahu,2067/68,Clinical Malaria,5 Years & Above,Male,2
Tanahu,2067/68,Total Treatment,Under 5 Years,Female,0
Tanahu,2067/68,Total Treatment,5 Years & Above,Male,0
Tanahu,2067/68,Total Treatment,Under 5 Years,Female,9
Tanahu,2067/68,Total Treatment,5 Years & Above,Male,2
Syangja,2067/68,Clinical Malaria,Under 5 Years,Female,0
Syangja,2067/68,Clinical Malaria,5 Years & Above,Male,0
Syangja,2067/68,Clinical Malaria,Under 5 Years,Female,0
Syangja,2067/68,Clinical Malaria,5 Years & Above,Male,4
Syangja,2067/68,Total Treatment,Under 5 Years,Female,0
Syangja,2067/68,Total Treatment,5 Years & Above,Male,0
Syangja,2067/68,Total Treatment,Under 5 Years,Female,0
Syangja,2067/68,Total Treatment,5 Years & Above,Male,4
Kaski,2067/68,Clinical Malaria,Under 5 Years,Female,0
Kaski,2067/68,Clinical Malaria,5 Years & Above,Male,0
Kaski,2067/68,Clinical Malaria,Under 5 Years,Female,0
Kaski,2067/68,Clinical Malaria,5 Years & Above,Male,0
Kaski,2067/68,Total Treatment,Under 5 Years,Female,0
Kaski,2067/68,Total Treatment,5 Years & Above,Male,0
Kaski,2067/68,Total Treatment,Under 5 Years,Female,0
Kaski,2067/68,Total Treatment,5 Years & Above,Male,0
Manang,2067/68,Clinical Malaria,Under 5 Years,Female,0
Manang,2067/68,Clinical Malaria,5 Years & Above,Male,0
Manang,2067/68,Clinical Malaria,Under 5 Years,Female,0
Manang,2067/68,Clinical Malaria,5 Years & Above,Male,0
Manang,2067/68,Total Treatment,Under 5 Years,Female,0
Manang,2067/68,Total Treatment,5 Years & Above,Male,0
Manang,2067/68,Total Treatment,Under 5 Years,Female,0
Manang,2067/68,Total Treatment,5 Years & Above,Male,0
Mustang,2067/68,Clinical Malaria,Under 5 Years,Female,0
Mustang,2067/68,Clinical Malaria,5 Years & Above,Male,0
Mustang,2067/68,Clinical Malaria,Under 5 Years,Female,0
Mustang,2067/68,Clinical Malaria,5 Years & Above,Male,0
Mustang,2067/68,Total Treatment,Under 5 Years,Female,0
Mustang,2067/68,Total Treatment,5 Years & Above,Male,0
Mustang,2067/68,Total Treatment,Under 5 Years,Female,0
Mustang,2067/68,Total Treatment,5 Years & Above,Male,0
Myagdi,2067/68,Clinical Malaria,Under 5 Years,Female,0
Myagdi,2067/68,Clinical Malaria,5 Years & Above,Male,0
Myagdi,2067/68,Clinical Malaria,Under 5 Years,Female,0
Myagdi,2067/68,Clinical Malaria,5 Years & Above,Male,0
Myagdi,2067/68,Total Treatment,Under 5 Years,Female,0
Myagdi,2067/68,Total Treatment,5 Years & Above,Male,0
Myagdi,2067/68,Total Treatment,Under 5 Years,Female,0
Myagdi,2067/68,Total Treatment,5 Years & Above,Male,0
Parbat,2067/68,Clinical Malaria,Under 5 Years,Female,0
Parbat,2067/68,Clinical Malaria,5 Years & Above,Male,0
Parbat,2067/68,Clinical Malaria,Under 5 Years,Female,0
Parbat,2067/68,Clinical Malaria,5 Years & Above,Male,0
Parbat,2067/68,Total Treatment,Under 5 Years,Female,0
Parbat,2067/68,Total Treatment,5 Years & Above,Male,0
Parbat,2067/68,Total Treatment,Under 5 Years,Female,0
Parbat,2067/68,Total Treatment,5 Years & Above,Male,0
Baglung,2067/68,Clinical Malaria,Under 5 Years,Female,0
Baglung,2067/68,Clinical Malaria,5 Years & Above,Male,0
Baglung,2067/68,Clinical Malaria,Under 5 Years,Female,0
Baglung,2067/68,Clinical Malaria,5 Years & Above,Male,0
Baglung,2067/68,Total Treatment,Under 5 Years,Female,0
Baglung,2067/68,Total Treatment,5 Years & Above,Male,0
Baglung,2067/68,Total Treatment,Under 5 Years,Female,0
Baglung,2067/68,Total Treatment,5 Years & Above,Male,0
Gulmi,2067/68,Clinical Malaria,Under 5 Years,Female,7
Gulmi,2067/68,Clinical Malaria,5 Years & Above,Male,11
Gulmi,2067/68,Clinical Malaria,Under 5 Years,Female,42
Gulmi,2067/68,Clinical Malaria,5 Years & Above,Male,104
Gulmi,2067/68,Total Treatment,Under 5 Years,Female,7
Gulmi,2067/68,Total Treatment,5 Years & Above,Male,11
Gulmi,2067/68,Total Treatment,Under 5 Years,Female,42
Gulmi,2067/68,Total Treatment,5 Years & Above,Male,104
Palpa,2067/68,Clinical Malaria,Under 5 Years,Female,0
Palpa,2067/68,Clinical Malaria,5 Years & Above,Male,0
Palpa,2067/68,Clinical Malaria,Under 5 Years,Female,24
Palpa,2067/68,Clinical Malaria,5 Years & Above,Male,66
Palpa,2067/68,Total Treatment,Under 5 Years,Female,0
Palpa,2067/68,Total Treatment,5 Years & Above,Male,0
Palpa,2067/68,Total Treatment,Under 5 Years,Female,24
Palpa,2067/68,Total Treatment,5 Years & Above,Male,66
Nawalparasi,2067/68,Clinical Malaria,Under 5 Years,Female,113
Nawalparasi,2067/68,Clinical Malaria,5 Years & Above,Male,108
Nawalparasi,2067/68,Clinical Malaria,Under 5 Years,Female,1565
Nawalparasi,2067/68,Clinical Malaria,5 Years & Above,Male,1660
Nawalparasi,2067/68,Total Treatment,Under 5 Years,Female,113
Nawalparasi,2067/68,Total Treatment,5 Years & Above,Male,108
Nawalparasi,2067/68,Total Treatment,Under 5 Years,Female,1565
Nawalparasi,2067/68,Total Treatment,5 Years & Above,Male,1660
Rupandehi,2067/68,Clinical Malaria,Under 5 Years,Female,20
Rupandehi,2067/68,Clinical Malaria,5 Years & Above,Male,28
Rupandehi,2067/68,Clinical Malaria,Under 5 Years,Female,1485
Rupandehi,2067/68,Clinical Malaria,5 Years & Above,Male,1695
Rupandehi,2067/68,Total Treatment,Under 5 Years,Female,20
Rupandehi,2067/68,Total Treatment,5 Years & Above,Male,28
Rupandehi,2067/68,Total Treatment,Under 5 Years,Female,1485
Rupandehi,2067/68,Total Treatment,5 Years & Above,Male,1695
Kapilvastu,2067/68,Clinical Malaria,Under 5 Years,Female,56
Kapilvastu,2067/68,Clinical Malaria,5 Years & Above,Male,108
Kapilvastu,2067/68,Clinical Malaria,Under 5 Years,Female,1165
Kapilvastu,2067/68,Clinical Malaria,5 Years & Above,Male,1384
Kapilvastu,2067/68,Total Treatment,Under 5 Years,Female,56
Kapilvastu,2067/68,Total Treatment,5 Years & Above,Male,108
Kapilvastu,2067/68,Total Treatment,Under 5 Years,Female,1165
Kapilvastu,2067/68,Total Treatment,5 Years & Above,Male,1384
Arghakhanchi,2067/68,Clinical Malaria,Under 5 Years,Female,0
Arghakhanchi,2067/68,Clinical Malaria,5 Years & Above,Male,0
Arghakhanchi,2067/68,Clinical Malaria,Under 5 Years,Female,13
Arghakhanchi,2067/68,Clinical Malaria,5 Years & Above,Male,23
Arghakhanchi,2067/68,Total Treatment,Under 5 Years,Female,0
Arghakhanchi,2067/68,Total Treatment,5 Years & Above,Male,0
Arghakhanchi,2067/68,Total Treatment,Under 5 Years,Female,13
Arghakhanchi,2067/68,Total Treatment,5 Years & Above,Male,23
Pyuthan,2067/68,Clinical Malaria,Under 5 Years,Female,0
Pyuthan,2067/68,Clinical Malaria,5 Years & Above,Male,0
Pyuthan,2067/68,Clinical Malaria,Under 5 Years,Female,0
Pyuthan,2067/68,Clinical Malaria,5 Years & Above,Male,0
Pyuthan,2067/68,Total Treatment,Under 5 Years,Female,0
Pyuthan,2067/68,Total Treatment,5 Years & Above,Male,0
Pyuthan,2067/68,Total Treatment,Under 5 Years,Female,0
Pyuthan,2067/68,Total Treatment,5 Years & Above,Male,0
Rolpa,2067/68,Clinical Malaria,Under 5 Years,Female,4
Rolpa,2067/68,Clinical Malaria,5 Years & Above,Male,3
Rolpa,2067/68,Clinical Malaria,Under 5 Years,Female,15
Rolpa,2067/68,Clinical Malaria,5 Years & Above,Male,16
Rolpa,2067/68,Total Treatment,Under 5 Years,Female,4
Rolpa,2067/68,Total Treatment,5 Years & Above,Male,3
Rolpa,2067/68,Total Treatment,Under 5 Years,Female,15
Rolpa,2067/68,Total Treatment,5 Years & Above,Male,16
Rukum,2067/68,Clinical Malaria,Under 5 Years,Female,0
Rukum,2067/68,Clinical Malaria,5 Years & Above,Male,0
Rukum,2067/68,Clinical Malaria,Under 5 Years,Female,0
Rukum,2067/68,Clinical Malaria,5 Years & Above,Male,0
Rukum,2067/68,Total Treatment,Under 5 Years,Female,0
