District,zone,belt,region,Year BS,Year AD,Method,Contraceptives,Gender,Number of user,Zone,Belt,Region
Okhaldhunga,Sagarmatha,Hill,Eastern,2066/67,2009/10,Temporary Methods,Norplant,,781,Sagarmatha,Hill,Eastern
Okhaldhunga,Sagarmatha,Hill,Eastern,2066/67,2009/10,Permanent method,Sterilization,Male,2372,Sagarmatha,Hill,Eastern
Okhaldhunga,Sagarmatha,Hill,Eastern,2066/67,2009/10,Permanent method,Sterilization,Female,289,Sagarmatha,Hill,Eastern
Panchthar,Mechi,Hill,Eastern,2066/67,2009/10,Temporary Methods,Condom,,1218,Mechi,Hill,Eastern
Panchthar,Mechi,Hill,Eastern,2066/67,2009/10,Temporary Methods,Pills,,1981,Mechi,Hill,Eastern
Panchthar,Mechi,Hill,Eastern,2066/67,2009/10,Temporary Methods,Depo,,4859,Mechi,Hill,Eastern
Panchthar,Mechi,Hill,Eastern,2066/67,2009/10,Temporary Methods,IUD,,685,Mechi,Hill,Eastern
Panchthar,Mechi,Hill,Eastern,2066/67,2009/10,Temporary Methods,Norplant,,728,Mechi,Hill,Eastern
Panchthar,Mechi,Hill,Eastern,2066/67,2009/10,Permanent method,Sterilization,Male,2012,Mechi,Hill,Eastern
Panchthar,Mechi,Hill,Eastern,2066/67,2009/10,Permanent method,Sterilization,Female,398,Mechi,Hill,Eastern
Sankhuwasabha,Kosi,Mountain,Eastern,2066/67,2009/10,Temporary Methods,Condom,,1036,Kosi,Mountain,Eastern
Sankhuwasabha,Kosi,Mountain,Eastern,2066/67,2009/10,Temporary Methods,Pills,,924,Kosi,Mountain,Eastern
Sankhuwasabha,Kosi,Mountain,Eastern,2066/67,2009/10,Temporary Methods,Depo,,3056,Kosi,Mountain,Eastern
Sankhuwasabha,Kosi,Mountain,Eastern,2066/67,2009/10,Temporary Methods,IUD,,806,Kosi,Mountain,Eastern
Sankhuwasabha,Kosi,Mountain,Eastern,2066/67,2009/10,Temporary Methods,Norplant,,841,Kosi,Mountain,Eastern
Sankhuwasabha,Kosi,Mountain,Eastern,2066/67,2009/10,Permanent method,Sterilization,Male,3047,Kosi,Mountain,Eastern
Sankhuwasabha,Kosi,Mountain,Eastern,2066/67,2009/10,Permanent method,Sterilization,Female,55,Kosi,Mountain,Eastern
Saptari,Sagarmatha,Terai,Eastern,2066/67,2009/10,Temporary Methods,Condom,,3584,Sagarmatha,Terai,Eastern
Saptari,Sagarmatha,Terai,Eastern,2066/67,2009/10,Temporary Methods,Pills,,4229,Sagarmatha,Terai,Eastern
Saptari,Sagarmatha,Terai,Eastern,2066/67,2009/10,Temporary Methods,Depo,,11293,Sagarmatha,Terai,Eastern
Saptari,Sagarmatha,Terai,Eastern,2066/67,2009/10,Temporary Methods,IUD,,540,Sagarmatha,Terai,Eastern
Saptari,Sagarmatha,Terai,Eastern,2066/67,2009/10,Temporary Methods,Norplant,,88,Sagarmatha,Terai,Eastern
Saptari,Sagarmatha,Terai,Eastern,2066/67,2009/10,Permanent method,Sterilization,Male,664,Sagarmatha,Terai,Eastern
Saptari,Sagarmatha,Terai,Eastern,2066/67,2009/10,Permanent method,Sterilization,Female,53793,Sagarmatha,Terai,Eastern
Siraha,Sagarmatha,Terai,Eastern,2066/67,2009/10,Temporary Methods,Condom,,3842,Sagarmatha,Terai,Eastern
Siraha,Sagarmatha,Terai,Eastern,2066/67,2009/10,Temporary Methods,Pills,,3212,Sagarmatha,Terai,Eastern
Siraha,Sagarmatha,Terai,Eastern,2066/67,2009/10,Temporary Methods,Depo,,9473,Sagarmatha,Terai,Eastern
Siraha,Sagarmatha,Terai,Eastern,2066/67,2009/10,Temporary Methods,IUD,,1692,Sagarmatha,Terai,Eastern
Siraha,Sagarmatha,Terai,Eastern,2066/67,2009/10,Temporary Methods,Norplant,,1318,Sagarmatha,Terai,Eastern
Siraha,Sagarmatha,Terai,Eastern,2066/67,2009/10,Permanent method,Sterilization,Male,1268,Sagarmatha,Terai,Eastern
Siraha,Sagarmatha,Terai,Eastern,2066/67,2009/10,Permanent method,Sterilization,Female,51307,Sagarmatha,Terai,Eastern
Solukhumbu,Sagarmatha,Mountain,Eastern,2066/67,2009/10,Temporary Methods,Condom,,609,Sagarmatha,Mountain,Eastern
Solukhumbu,Sagarmatha,Mountain,Eastern,2066/67,2009/10,Temporary Methods,Pills,,1618,Sagarmatha,Mountain,Eastern
Solukhumbu,Sagarmatha,Mountain,Eastern,2066/67,2009/10,Temporary Methods,Depo,,5504,Sagarmatha,Mountain,Eastern
Solukhumbu,Sagarmatha,Mountain,Eastern,2066/67,2009/10,Temporary Methods,IUD,,109,Sagarmatha,Mountain,Eastern
Solukhumbu,Sagarmatha,Mountain,Eastern,2066/67,2009/10,Temporary Methods,Norplant,,158,Sagarmatha,Mountain,Eastern
Solukhumbu,Sagarmatha,Mountain,Eastern,2066/67,2009/10,Permanent method,Sterilization,Male,914,Sagarmatha,Mountain,Eastern
Solukhumbu,Sagarmatha,Mountain,Eastern,2066/67,2009/10,Permanent method,Sterilization,Female,192,Sagarmatha,Mountain,Eastern
Sunsari,Kosi,Terai,Eastern,2066/67,2009/10,Temporary Methods,Condom,,4172,Kosi,Terai,Eastern
Sunsari,Kosi,Terai,Eastern,2066/67,2009/10,Temporary Methods,Pills,,6823,Kosi,Terai,Eastern
Sunsari,Kosi,Terai,Eastern,2066/67,2009/10,Temporary Methods,Depo,,16211,Kosi,Terai,Eastern
Sunsari,Kosi,Terai,Eastern,2066/67,2009/10,Temporary Methods,IUD,,1501,Kosi,Terai,Eastern
Sunsari,Kosi,Terai,Eastern,2066/67,2009/10,Temporary Methods,Norplant,,1558,Kosi,Terai,Eastern
Sunsari,Kosi,Terai,Eastern,2066/67,2009/10,Permanent method,Sterilization,Male,3441,Kosi,Terai,Eastern
Sunsari,Kosi,Terai,Eastern,2066/67,2009/10,Permanent method,Sterilization,Female,39264,Kosi,Terai,Eastern
Taplejung,Mechi,Mountain,Eastern,2066/67,2009/10,Temporary Methods,Condom,,932,Mechi,Mountain,Eastern
Taplejung,Mechi,Mountain,Eastern,2066/67,2009/10,Temporary Methods,Pills,,1356,Mechi,Mountain,Eastern
Taplejung,Mechi,Mountain,Eastern,2066/67,2009/10,Temporary Methods,Depo,,3851,Mechi,Mountain,Eastern
Taplejung,Mechi,Mountain,Eastern,2066/67,2009/10,Temporary Methods,IUD,,414,Mechi,Mountain,Eastern
Taplejung,Mechi,Mountain,Eastern,2066/67,2009/10,Temporary Methods,Norplant,,10,Mechi,Mountain,Eastern
Taplejung,Mechi,Mountain,Eastern,2066/67,2009/10,Permanent method,Sterilization,Male,2147,Mechi,Mountain,Eastern
Taplejung,Mechi,Mountain,Eastern,2066/67,2009/10,Permanent method,Sterilization,Female,3,Mechi,Mountain,Eastern
Terhathum,Kosi,Hill,Eastern,2066/67,2009/10,Temporary Methods,Condom,,1001,Kosi,Hill,Eastern
Terhathum,Kosi,Hill,Eastern,2066/67,2009/10,Temporary Methods,Pills,,637,Kosi,Hill,Eastern
Terhathum,Kosi,Hill,Eastern,2066/67,2009/10,Temporary Methods,Depo,,1995,Kosi,Hill,Eastern
Terhathum,Kosi,Hill,Eastern,2066/67,2009/10,Temporary Methods,IUD,,312,Kosi,Hill,Eastern
Terhathum,Kosi,Hill,Eastern,2066/67,2009/10,Temporary Methods,Norplant,,381,Kosi,Hill,Eastern
Terhathum,Kosi,Hill,Eastern,2066/67,2009/10,Permanent method,Sterilization,Male,1941,Kosi,Hill,Eastern
Terhathum,Kosi,Hill,Eastern,2066/67,2009/10,Permanent method,Sterilization,Female,154,Kosi,Hill,Eastern
Udayapur,Sagarmatha,Hill,Eastern,2066/67,2009/10,Temporary Methods,Condom,,981,Sagarmatha,Hill,Eastern
Udayapur,Sagarmatha,Hill,Eastern,2066/67,2009/10,Temporary Methods,Pills,,1892,Sagarmatha,Hill,Eastern
Udayapur,Sagarmatha,Hill,Eastern,2066/67,2009/10,Temporary Methods,Depo,,5849,Sagarmatha,Hill,Eastern
Udayapur,Sagarmatha,Hill,Eastern,2066/67,2009/10,Temporary Methods,IUD,,113,Sagarmatha,Hill,Eastern
Udayapur,Sagarmatha,Hill,Eastern,2066/67,2009/10,Temporary Methods,Norplant,,210,Sagarmatha,Hill,Eastern
Udayapur,Sagarmatha,Hill,Eastern,2066/67,2009/10,Permanent method,Sterilization,Male,4337,Sagarmatha,Hill,Eastern
Udayapur,Sagarmatha,Hill,Eastern,2066/67,2009/10,Permanent method,Sterilization,Female,4188,Sagarmatha,Hill,Eastern
Bara,Narayani,Terai,Central,2066/67,2009/10,Temporary Methods,Condom,,3279,Narayani,Terai,Central
Bara,Narayani,Terai,Central,2066/67,2009/10,Temporary Methods,Pills,,1772,Narayani,Terai,Central
Bara,Narayani,Terai,Central,2066/67,2009/10,Temporary Methods,Depo,,7073,Narayani,Terai,Central
Bara,Narayani,Terai,Central,2066/67,2009/10,Temporary Methods,IUD,,1044,Narayani,Terai,Central
Bara,Narayani,Terai,Central,2066/67,2009/10,Temporary Methods,Norplant,,799,Narayani,Terai,Central
Bara,Narayani,Terai,Central,2066/67,2009/10,Permanent method,Sterilization,Male,1950,Narayani,Terai,Central
Bara,Narayani,Terai,Central,2066/67,2009/10,Permanent method,Sterilization,Female,37523,Narayani,Terai,Central
Bhaktapur,Bagmati,Hill,Central,2066/67,2009/10,Temporary Methods,Condom,,677,Bagmati,Hill,Central
Bhaktapur,Bagmati,Hill,Central,2066/67,2009/10,Temporary Methods,Pills,,2126,Bagmati,Hill,Central
Bhaktapur,Bagmati,Hill,Central,2066/67,2009/10,Temporary Methods,Depo,,6182,Bagmati,Hill,Central
Bhaktapur,Bagmati,Hill,Central,2066/67,2009/10,Temporary Methods,IUD,,1869,Bagmati,Hill,Central
Bhaktapur,Bagmati,Hill,Central,2066/67,2009/10,Temporary Methods,Norplant,,1706,Bagmati,Hill,Central
Bhaktapur,Bagmati,Hill,Central,2066/67,2009/10,Permanent method,Sterilization,Male,4084,Bagmati,Hill,Central
Bhaktapur,Bagmati,Hill,Central,2066/67,2009/10,Permanent method,Sterilization,Female,8978,Bagmati,Hill,Central
Chitawan,Narayani,Terai,Central,2066/67,2009/10,Temporary Methods,Condom,,4713,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2066/67,2009/10,Temporary Methods,Pills,,4124,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2066/67,2009/10,Temporary Methods,Depo,,6150,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2066/67,2009/10,Temporary Methods,IUD,,2502,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2066/67,2009/10,Temporary Methods,Norplant,,1631,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2066/67,2009/10,Permanent method,Sterilization,Male,26991,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2066/67,2009/10,Permanent method,Sterilization,Female,12797,Narayani,Terai,Central
Dhading,Bagmati,Hill,Central,2066/67,2009/10,Temporary Methods,Condom,,3706,Bagmati,Hill,Central
Dhading,Bagmati,Hill,Central,2066/67,2009/10,Temporary Methods,Pills,,3073,Bagmati,Hill,Central
Dhading,Bagmati,Hill,Central,2066/67,2009/10,Temporary Methods,Depo,,11821,Bagmati,Hill,Central
Dhading,Bagmati,Hill,Central,2066/67,2009/10,Temporary Methods,IUD,,1345,Bagmati,Hill,Central
Dhading,Bagmati,Hill,Central,2066/67,2009/10,Temporary Methods,Norplant,,2806,Bagmati,Hill,Central
Dhading,Bagmati,Hill,Central,2066/67,2009/10,Permanent method,Sterilization,Male,9223,Bagmati,Hill,Central
Dhading,Bagmati,Hill,Central,2066/67,2009/10,Permanent method,Sterilization,Female,1616,Bagmati,Hill,Central
Dhanusa,Janakpur,Terai,Central,2066/67,2009/10,Temporary Methods,Condom,,3849,Janakpur,Terai,Central
Dhanusa,Janakpur,Terai,Central,2066/67,2009/10,Temporary Methods,Pills,,2085,Janakpur,Terai,Central
Dhanusa,Janakpur,Terai,Central,2066/67,2009/10,Temporary Methods,Depo,,8838,Janakpur,Terai,Central
Dhanusa,Janakpur,Terai,Central,2066/67,2009/10,Temporary Methods,IUD,,1008,Janakpur,Terai,Central
Dhanusa,Janakpur,Terai,Central,2066/67,2009/10,Temporary Methods,Norplant,,622,Janakpur,Terai,Central
Dhanusa,Janakpur,Terai,Central,2066/67,2009/10,Permanent method,Sterilization,Male,1856,Janakpur,Terai,Central
Dhanusa,Janakpur,Terai,Central,2066/67,2009/10,Permanent method,Sterilization,Female,76392,Janakpur,Terai,Central
Dolakha,Janakpur,Mountain,Central,2066/67,2009/10,Temporary Methods,Condom,,796,Janakpur,Mountain,Central
Dolakha,Janakpur,Mountain,Central,2066/67,2009/10,Temporary Methods,Pills,,1424,Janakpur,Mountain,Central
Dolakha,Janakpur,Mountain,Central,2066/67,2009/10,Temporary Methods,Depo,,4913,Janakpur,Mountain,Central
Dolakha,Janakpur,Mountain,Central,2066/67,2009/10,Temporary Methods,IUD,,77,Janakpur,Mountain,Central
Dolakha,Janakpur,Mountain,Central,2066/67,2009/10,Temporary Methods,Norplant,,437,Janakpur,Mountain,Central
Dolakha,Janakpur,Mountain,Central,2066/67,2009/10,Permanent method,Sterilization,Male,4886,Janakpur,Mountain,Central
Dolakha,Janakpur,Mountain,Central,2066/67,2009/10,Permanent method,Sterilization,Female,3149,Janakpur,Mountain,Central
Kathmandu,Bagmati,Hill,Central,2066/67,2009/10,Temporary Methods,Condom,,4005,Bagmati,Hill,Central
Kathmandu,Bagmati,Hill,Central,2066/67,2009/10,Temporary Methods,Pills,,7938,Bagmati,Hill,Central
Kathmandu,Bagmati,Hill,Central,2066/67,2009/10,Temporary Methods,Depo,,29949,Bagmati,Hill,Central
Kathmandu,Bagmati,Hill,Central,2066/67,2009/10,Temporary Methods,IUD,,12879,Bagmati,Hill,Central
Kathmandu,Bagmati,Hill,Central,2066/67,2009/10,Temporary Methods,Norplant,,9364,Bagmati,Hill,Central
Kathmandu,Bagmati,Hill,Central,2066/67,2009/10,Permanent method,Sterilization,Male,18786,Bagmati,Hill,Central
Kathmandu,Bagmati,Hill,Central,2066/67,2009/10,Permanent method,Sterilization,Female,33074,Bagmati,Hill,Central
Kavre,Bagmati,Hill,Central,2066/67,2009/10,Temporary Methods,Condom,,2543,Bagmati,Hill,Central
Kavre,Bagmati,Hill,Central,2066/67,2009/10,Temporary Methods,Pills,,2702,Bagmati,Hill,Central
Kavre,Bagmati,Hill,Central,2066/67,2009/10,Temporary Methods,Depo,,11743,Bagmati,Hill,Central
Kavre,Bagmati,Hill,Central,2066/67,2009/10,Temporary Methods,IUD,,3226,Bagmati,Hill,Central
Kavre,Bagmati,Hill,Central,2066/67,2009/10,Temporary Methods,Norplant,,7658,Bagmati,Hill,Central
Kavre,Bagmati,Hill,Central,2066/67,2009/10,Permanent method,Sterilization,Male,9007,Bagmati,Hill,Central
Kavre,Bagmati,Hill,Central,2066/67,2009/10,Permanent method,Sterilization,Female,9725,Bagmati,Hill,Central
Lalitpur,Bagmati,Hill,Central,2066/67,2009/10,Temporary Methods,Condom,,1827,Bagmati,Hill,Central
Lalitpur,Bagmati,Hill,Central,2066/67,2009/10,Temporary Methods,Pills,,2563,Bagmati,Hill,Central
Lalitpur,Bagmati,Hill,Central,2066/67,2009/10,Temporary Methods,Depo,,13166,Bagmati,Hill,Central
Lalitpur,Bagmati,Hill,Central,2066/67,2009/10,Temporary Methods,IUD,,4478,Bagmati,Hill,Central
Lalitpur,Bagmati,Hill,Central,2066/67,2009/10,Temporary Methods,Norplant,,5838,Bagmati,Hill,Central
Lalitpur,Bagmati,Hill,Central,2066/67,2009/10,Permanent method,Sterilization,Male,19797,Bagmati,Hill,Central
Lalitpur,Bagmati,Hill,Central,2066/67,2009/10,Permanent method,Sterilization,Female,10264,Bagmati,Hill,Central
Mahottari,Janakpur,Terai,Central,2066/67,2009/10,Temporary Methods,Condom,,3984,Janakpur,Terai,Central
Mahottari,Janakpur,Terai,Central,2066/67,2009/10,Temporary Methods,Pills,,3923,Janakpur,Terai,Central
Mahottari,Janakpur,Terai,Central,2066/67,2009/10,Temporary Methods,Depo,,10666,Janakpur,Terai,Central
Mahottari,Janakpur,Terai,Central,2066/67,2009/10,Temporary Methods,IUD,,850,Janakpur,Terai,Central
Mahottari,Janakpur,Terai,Central,2066/67,2009/10,Temporary Methods,Norplant,,166,Janakpur,Terai,Central
Mahottari,Janakpur,Terai,Central,2066/67,2009/10,Permanent method,Sterilization,Male,454,Janakpur,Terai,Central
Mahottari,Janakpur,Terai,Central,2066/67,2009/10,Permanent method,Sterilization,Female,52324,Janakpur,Terai,Central
Makwanpur,Narayani,Hill,Central,2066/67,2009/10,Temporary Methods,Condom,,2100,Narayani,Hill,Central
Makwanpur,Narayani,Hill,Central,2066/67,2009/10,Temporary Methods,Pills,,1789,Narayani,Hill,Central
Makwanpur,Narayani,Hill,Central,2066/67,2009/10,Temporary Methods,Depo,,10173,Narayani,Hill,Central
Makwanpur,Narayani,Hill,Central,2066/67,2009/10,Temporary Methods,IUD,,799,Narayani,Hill,Central
Makwanpur,Narayani,Hill,Central,2066/67,2009/10,Temporary Methods,Norplant,,3708,Narayani,Hill,Central
Makwanpur,Narayani,Hill,Central,2066/67,2009/10,Permanent method,Sterilization,Male,28079,Narayani,Hill,Central
Makwanpur,Narayani,Hill,Central,2066/67,2009/10,Permanent method,Sterilization,Female,4029,Narayani,Hill,Central
Nuwakot,Bagmati,Hill,Central,2066/67,2009/10,Temporary Methods,Condom,,1308,Bagmati,Hill,Central
Nuwakot,Bagmati,Hill,Central,2066/67,2009/10,Temporary Methods,Pills,,2020,Bagmati,Hill,Central
Nuwakot,Bagmati,Hill,Central,2066/67,2009/10,Temporary Methods,Depo,,6935,Bagmati,Hill,Central
Nuwakot,Bagmati,Hill,Central,2066/67,2009/10,Temporary Methods,IUD,,242,Bagmati,Hill,Central
Nuwakot,Bagmati,Hill,Central,2066/67,2009/10,Temporary Methods,Norplant,,962,Bagmati,Hill,Central
Nuwakot,Bagmati,Hill,Central,2066/67,2009/10,Permanent method,Sterilization,Male,7927,Bagmati,Hill,Central
Nuwakot,Bagmati,Hill,Central,2066/67,2009/10,Permanent method,Sterilization,Female,7050,Bagmati,Hill,Central
Parsa,Narayani,Terai,Central,2066/67,2009/10,Temporary Methods,Condom,,0,Narayani,Terai,Central
Parsa,Narayani,Terai,Central,2066/67,2009/10,Temporary Methods,Pills,,3670,Narayani,Terai,Central
Parsa,Narayani,Terai,Central,2066/67,2009/10,Temporary Methods,Depo,,8289,Narayani,Terai,Central
Parsa,Narayani,Terai,Central,2066/67,2009/10,Temporary Methods,IUD,,1178,Narayani,Terai,Central
Parsa,Narayani,Terai,Central,2066/67,2009/10,Temporary Methods,Norplant,,1246,Narayani,Terai,Central
Parsa,Narayani,Terai,Central,2066/67,2009/10,Permanent method,Sterilization,Male,3286,Narayani,Terai,Central
Parsa,Narayani,Terai,Central,2066/67,2009/10,Permanent method,Sterilization,Female,70245,Narayani,Terai,Central
Ramechhap,Janakpur,Hill,Central,2066/67,2009/10,Temporary Methods,Condom,,891,Janakpur,Hill,Central
Ramechhap,Janakpur,Hill,Central,2066/67,2009/10,Temporary Methods,Pills,,790,Janakpur,Hill,Central
Ramechhap,Janakpur,Hill,Central,2066/67,2009/10,Temporary Methods,Depo,,4829,Janakpur,Hill,Central
Ramechhap,Janakpur,Hill,Central,2066/67,2009/10,Temporary Methods,IUD,,726,Janakpur,Hill,Central
Ramechhap,Janakpur,Hill,Central,2066/67,2009/10,Temporary Methods,Norplant,,793,Janakpur,Hill,Central
Ramechhap,Janakpur,Hill,Central,2066/67,2009/10,Permanent method,Sterilization,Male,3587,Janakpur,Hill,Central
Ramechhap,Janakpur,Hill,Central,2066/67,2009/10,Permanent method,Sterilization,Female,204,Janakpur,Hill,Central
Rasuwa,Bagmati,Mountain,Central,2066/67,2009/10,Temporary Methods,Condom,,611,Bagmati,Mountain,Central
Rasuwa,Bagmati,Mountain,Central,2066/67,2009/10,Temporary Methods,Pills,,197,Bagmati,Mountain,Central
Rasuwa,Bagmati,Mountain,Central,2066/67,2009/10,Temporary Methods,Depo,,960,Bagmati,Mountain,Central
Rasuwa,Bagmati,Mountain,Central,2066/67,2009/10,Temporary Methods,IUD,,37,Bagmati,Mountain,Central
Rasuwa,Bagmati,Mountain,Central,2066/67,2009/10,Temporary Methods,Norplant,,271,Bagmati,Mountain,Central
Rasuwa,Bagmati,Mountain,Central,2066/67,2009/10,Permanent method,Sterilization,Male,1965,Bagmati,Mountain,Central
Rasuwa,Bagmati,Mountain,Central,2066/67,2009/10,Permanent method,Sterilization,Female,658,Bagmati,Mountain,Central
Rautahat,Narayani,Terai,Central,2066/67,2009/10,Temporary Methods,Condom,,2773,Narayani,Terai,Central
Rautahat,Narayani,Terai,Central,2066/67,2009/10,Temporary Methods,Pills,,1497,Narayani,Terai,Central
Rautahat,Narayani,Terai,Central,2066/67,2009/10,Temporary Methods,Depo,,3986,Narayani,Terai,Central
Rautahat,Narayani,Terai,Central,2066/67,2009/10,Temporary Methods,IUD,,1300,Narayani,Terai,Central
Rautahat,Narayani,Terai,Central,2066/67,2009/10,Temporary Methods,Norplant,,1055,Narayani,Terai,Central
Rautahat,Narayani,Terai,Central,2066/67,2009/10,Permanent method,Sterilization,Male,827,Narayani,Terai,Central
Rautahat,Narayani,Terai,Central,2066/67,2009/10,Permanent method,Sterilization,Female,53899,Narayani,Terai,Central
Sarlahi,Janakpur,Terai,Central,2066/67,2009/10,Temporary Methods,Condom,,3322,Janakpur,Terai,Central
Sarlahi,Janakpur,Terai,Central,2066/67,2009/10,Temporary Methods,Pills,,2856,Janakpur,Terai,Central
Sarlahi,Janakpur,Terai,Central,2066/67,2009/10,Temporary Methods,Depo,,5416,Janakpur,Terai,Central
Sarlahi,Janakpur,Terai,Central,2066/67,2009/10,Temporary Methods,IUD,,1724,Janakpur,Terai,Central
