District Name,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Sub-Indicator,Sub-Indicator,Value
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Western Bloot,Total,86
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Western Bloot,+Ve,0
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,HBsAg,Total,10752
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,HBsAg,+Ve,27
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,HEV,Total,0
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,HEV,+Ve,0
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,CD4 count,,0
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Viral Load,,0
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Others,,155
Morang,Kosi,Terai,Eastern,2068/69,2011/12,HIV,Total,0
Morang,Kosi,Terai,Eastern,2068/69,2011/12,HIV,+Ve,0
Morang,Kosi,Terai,Eastern,2068/69,2011/12,HCV,Total,0
Morang,Kosi,Terai,Eastern,2068/69,2011/12,HCV,+Ve,0
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Western Bloot,Total,0
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Western Bloot,+Ve,0
Morang,Kosi,Terai,Eastern,2068/69,2011/12,HBsAg,Total,0
Morang,Kosi,Terai,Eastern,2068/69,2011/12,HBsAg,+Ve,0
Morang,Kosi,Terai,Eastern,2068/69,2011/12,HEV,Total,0
Morang,Kosi,Terai,Eastern,2068/69,2011/12,HEV,+Ve,0
Morang,Kosi,Terai,Eastern,2068/69,2011/12,CD4 count,,0
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Viral Load,,0
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Others,,0
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,HIV,Total,3574
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,HIV,+Ve,0
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,HCV,Total,12
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,HCV,+Ve,0
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Western Bloot,Total,0
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Western Bloot,+Ve,0
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,HBsAg,Total,83
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,HBsAg,+Ve,1
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,HEV,Total,0
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,HEV,+Ve,0
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,CD4 count,,0
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Viral Load,,0
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Others,,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,HIV,Total,559
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,HIV,+Ve,1
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,HCV,Total,3
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,HCV,+Ve,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Western Bloot,Total,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Western Bloot,+Ve,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,HBsAg,Total,482
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,HBsAg,+Ve,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,HEV,Total,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,HEV,+Ve,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,CD4 count,,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Viral Load,,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Others,,0
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,HIV,Total,0
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,HIV,+Ve,0
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,HCV,Total,0
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,HCV,+Ve,0
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Western Bloot,Total,0
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Western Bloot,+Ve,0
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,HBsAg,Total,0
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,HBsAg,+Ve,0
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,HEV,Total,0
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,HEV,+Ve,0
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,CD4 count,,0
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Viral Load,,0
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Others,,0
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,HIV,Total,3
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,HIV,+Ve,0
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,HCV,Total,0
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,HCV,+Ve,0
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Western Bloot,Total,0
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Western Bloot,+Ve,0
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,HBsAg,Total,39
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,HBsAg,+Ve,2
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,HEV,Total,0
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,HEV,+Ve,0
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,CD4 count,,0
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Viral Load,,0
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Others,,0
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,HIV,Total,117
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,HIV,+Ve,0
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,HCV,Total,27
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,HCV,+Ve,1
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Western Bloot,Total,0
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Western Bloot,+Ve,0
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,HBsAg,Total,280
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,HBsAg,+Ve,1
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,HEV,Total,0
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,HEV,+Ve,0
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,CD4 count,,0
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Viral Load,,0
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Others,,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,HIV,Total,269
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,HIV,+Ve,1
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,HCV,Total,74
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,HCV,+Ve,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,Western Bloot,Total,8
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,Western Bloot,+Ve,1
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,HBsAg,Total,247
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,HBsAg,+Ve,1
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,HEV,Total,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,HEV,+Ve,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,CD4 count,,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,Viral Load,,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,Others,,0
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,HIV,Total,1389
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,HIV,+Ve,0
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,HCV,Total,388
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,HCV,+Ve,0
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,Western Bloot,Total,0
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,Western Bloot,+Ve,0
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,HBsAg,Total,1334
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,HBsAg,+Ve,3
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,HEV,Total,0
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,HEV,+Ve,0
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,CD4 count,,0
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,Viral Load,,0
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,Others,,35
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,HIV,Total,0
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,HIV,+Ve,0
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,HCV,Total,0
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,HCV,+Ve,0
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,Western Bloot,Total,0
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,Western Bloot,+Ve,0
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,HBsAg,Total,0
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,HBsAg,+Ve,0
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,HEV,Total,0
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,HEV,+Ve,0
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,CD4 count,,0
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,Viral Load,,0
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,Others,,0
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,HIV,Total,302
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,HIV,+Ve,2
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,HCV,Total,87
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,HCV,+Ve,0
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,Western Bloot,Total,0
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,Western Bloot,+Ve,0
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,HBsAg,Total,182
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,HBsAg,+Ve,1
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,HEV,Total,3
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,HEV,+Ve,0
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,CD4 count,,0
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,Viral Load,,0
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,Others,,0
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,HIV,Total,0
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,HIV,+Ve,0
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,HCV,Total,0
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,HCV,+Ve,0
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,Western Bloot,Total,0
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,Western Bloot,+Ve,0
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,HBsAg,Total,0
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,HBsAg,+Ve,0
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,HEV,Total,0
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,HEV,+Ve,0
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,CD4 count,,0
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,Viral Load,,0
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,Others,,0
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,HIV,Total,0
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,HIV,+Ve,0
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,HCV,Total,0
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,HCV,+Ve,0
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,Western Bloot,Total,0
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,Western Bloot,+Ve,0
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,HBsAg,Total,0
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,HBsAg,+Ve,0
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,HEV,Total,0
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,HEV,+Ve,0
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,CD4 count,,0
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,Viral Load,,0
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,Others,,0
Dhanusha,Janakpur,Terai,Central,2068/69,2011/12,HIV,Total,0
Dhanusha,Janakpur,Terai,Central,2068/69,2011/12,HIV,+Ve,0
Dhanusha,Janakpur,Terai,Central,2068/69,2011/12,HCV,Total,0
Dhanusha,Janakpur,Terai,Central,2068/69,2011/12,HCV,+Ve,0
Dhanusha,Janakpur,Terai,Central,2068/69,2011/12,Western Bloot,Total,0
Dhanusha,Janakpur,Terai,Central,2068/69,2011/12,Western Bloot,+Ve,0
Dhanusha,Janakpur,Terai,Central,2068/69,2011/12,HBsAg,Total,0
Dhanusha,Janakpur,Terai,Central,2068/69,2011/12,HBsAg,+Ve,0
Dhanusha,Janakpur,Terai,Central,2068/69,2011/12,HEV,Total,0
Dhanusha,Janakpur,Terai,Central,2068/69,2011/12,HEV,+Ve,0
Dhanusha,Janakpur,Terai,Central,2068/69,2011/12,CD4 count,,0
Dhanusha,Janakpur,Terai,Central,2068/69,2011/12,Viral Load,,0
Dhanusha,Janakpur,Terai,Central,2068/69,2011/12,Others,,0
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,HIV,Total,0
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,HIV,+Ve,0
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,HCV,Total,0
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,HCV,+Ve,0
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,Western Bloot,Total,0
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,Western Bloot,+Ve,0
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,HBsAg,Total,0
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,HBsAg,+Ve,0
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,HEV,Total,0
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,HEV,+Ve,0
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,CD4 count,,0
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,Viral Load,,0
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,Others,,0
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,HIV,Total,364
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,HIV,+Ve,9
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,HCV,Total,1
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,HCV,+Ve,0
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,Western Bloot,Total,50
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,Western Bloot,+Ve,0
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,HBsAg,Total,108
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,HBsAg,+Ve,1
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,HEV,Total,0
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,HEV,+Ve,0
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,CD4 count,,0
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,Viral Load,,0
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,Others,,0
Sindhuli,Janakpur,Hill,Central,2068/69,2011/12,HIV,Total,647
Sindhuli,Janakpur,Hill,Central,2068/69,2011/12,HIV,+Ve,3
Sindhuli,Janakpur,Hill,Central,2068/69,2011/12,HCV,Total,0
Sindhuli,Janakpur,Hill,Central,2068/69,2011/12,HCV,+Ve,0
Sindhuli,Janakpur,Hill,Central,2068/69,2011/12,Western Bloot,Total,0
Sindhuli,Janakpur,Hill,Central,2068/69,2011/12,Western Bloot,+Ve,0
Sindhuli,Janakpur,Hill,Central,2068/69,2011/12,HBsAg,Total,65
Sindhuli,Janakpur,Hill,Central,2068/69,2011/12,HBsAg,+Ve,0
Sindhuli,Janakpur,Hill,Central,2068/69,2011/12,HEV,Total,6
Sindhuli,Janakpur,Hill,Central,2068/69,2011/12,HEV,+Ve,0
Sindhuli,Janakpur,Hill,Central,2068/69,2011/12,CD4 count,,0
Sindhuli,Janakpur,Hill,Central,2068/69,2011/12,Viral Load,,0
Sindhuli,Janakpur,Hill,Central,2068/69,2011/12,Others,,0
Ramechhap,Janakpur,Hill,Central,2068/69,2011/12,HIV,Total,40
Ramechhap,Janakpur,Hill,Central,2068/69,2011/12,HIV,+Ve,5
Ramechhap,Janakpur,Hill,Central,2068/69,2011/12,HCV,Total,2
Ramechhap,Janakpur,Hill,Central,2068/69,2011/12,HCV,+Ve,0
Ramechhap,Janakpur,Hill,Central,2068/69,2011/12,Western Bloot,Total,0
Ramechhap,Janakpur,Hill,Central,2068/69,2011/12,Western Bloot,+Ve,0
Ramechhap,Janakpur,Hill,Central,2068/69,2011/12,HBsAg,Total,25
Ramechhap,Janakpur,Hill,Central,2068/69,2011/12,HBsAg,+Ve,0
Ramechhap,Janakpur,Hill,Central,2068/69,2011/12,HEV,Total,0
Ramechhap,Janakpur,Hill,Central,2068/69,2011/12,HEV,+Ve,0
Ramechhap,Janakpur,Hill,Central,2068/69,2011/12,CD4 count,,0
Ramechhap,Janakpur,Hill,Central,2068/69,2011/12,Viral Load,,0
Ramechhap,Janakpur,Hill,Central,2068/69,2011/12,Others,,0
Dolkha,Janakpur,Mountain,Central,2068/69,2011/12,HIV,Total,344
Dolkha,Janakpur,Mountain,Central,2068/69,2011/12,HIV,+Ve,1
Dolkha,Janakpur,Mountain,Central,2068/69,2011/12,HCV,Total,190
Dolkha,Janakpur,Mountain,Central,2068/69,2011/12,HCV,+Ve,0
Dolkha,Janakpur,Mountain,Central,2068/69,2011/12,Western Bloot,Total,0
Dolkha,Janakpur,Mountain,Central,2068/69,2011/12,Western Bloot,+Ve,0
Dolkha,Janakpur,Mountain,Central,2068/69,2011/12,HBsAg,Total,410
Dolkha,Janakpur,Mountain,Central,2068/69,2011/12,HBsAg,+Ve,2
Dolkha,Janakpur,Mountain,Central,2068/69,2011/12,HEV,Total,0
Dolkha,Janakpur,Mountain,Central,2068/69,2011/12,HEV,+Ve,0
Dolkha,Janakpur,Mountain,Central,2068/69,2011/12,CD4 count,,0
Dolkha,Janakpur,Mountain,Central,2068/69,2011/12,Viral Load,,0
Dolkha,Janakpur,Mountain,Central,2068/69,2011/12,Others,,0
Sindhupalchowk,Bagmati,Mountain,Central,2068/69,2011/12,HIV,Total,126
Sindhupalchowk,Bagmati,Mountain,Central,2068/69,2011/12,HIV,+Ve,4
Sindhupalchowk,Bagmati,Mountain,Central,2068/69,2011/12,HCV,Total,1
Sindhupalchowk,Bagmati,Mountain,Central,2068/69,2011/12,HCV,+Ve,0
Sindhupalchowk,Bagmati,Mountain,Central,2068/69,2011/12,Western Bloot,Total,0
Sindhupalchowk,Bagmati,Mountain,Central,2068/69,2011/12,Western Bloot,+Ve,0
Sindhupalchowk,Bagmati,Mountain,Central,2068/69,2011/12,HBsAg,Total,80
Sindhupalchowk,Bagmati,Mountain,Central,2068/69,2011/12,HBsAg,+Ve,0
Sindhupalchowk,Bagmati,Mountain,Central,2068/69,2011/12,HEV,Total,0
Sindhupalchowk,Bagmati,Mountain,Central,2068/69,2011/12,HEV,+Ve,0
Sindhupalchowk,Bagmati,Mountain,Central,2068/69,2011/12,CD4 count,,0
Sindhupalchowk,Bagmati,Mountain,Central,2068/69,2011/12,Viral Load,,0
Sindhupalchowk,Bagmati,Mountain,Central,2068/69,2011/12,Others,,0
Kavre,Bagmati,Hill,Central,2068/69,2011/12,HIV,Total,685
Kavre,Bagmati,Hill,Central,2068/69,2011/12,HIV,+Ve,0
Kavre,Bagmati,Hill,Central,2068/69,2011/12,HCV,Total,15
Kavre,Bagmati,Hill,Central,2068/69,2011/12,HCV,+Ve,0
Kavre,Bagmati,Hill,Central,2068/69,2011/12,Western Bloot,Total,0
Kavre,Bagmati,Hill,Central,2068/69,2011/12,Western Bloot,+Ve,0
Kavre,Bagmati,Hill,Central,2068/69,2011/12,HBsAg,Total,890
Kavre,Bagmati,Hill,Central,2068/69,2011/12,HBsAg,+Ve,0
Kavre,Bagmati,Hill,Central,2068/69,2011/12,HEV,Total,0
Kavre,Bagmati,Hill,Central,2068/69,2011/12,HEV,+Ve,0
Kavre,Bagmati,Hill,Central,2068/69,2011/12,CD4 count,,0
Kavre,Bagmati,Hill,Central,2068/69,2011/12,Viral Load,,0
Kavre,Bagmati,Hill,Central,2068/69,2011/12,Others,,0
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,HIV,Total,0
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,HIV,+Ve,0
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,HCV,Total,0
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,HCV,+Ve,0
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Western Bloot,Total,0
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Western Bloot,+Ve,0
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,HBsAg,Total,0
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,HBsAg,+Ve,0
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,HEV,Total,0
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,HEV,+Ve,0
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,CD4 count,,0
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Viral Load,,0
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Others,,0
Bhaktapur ,Bagmati,Hill,Central,2068/69,2011/12,HIV,Total,385
Bhaktapur ,Bagmati,Hill,Central,2068/69,2011/12,HIV,+Ve,9
Bhaktapur ,Bagmati,Hill,Central,2068/69,2011/12,HCV,Total,174
Bhaktapur ,Bagmati,Hill,Central,2068/69,2011/12,HCV,+Ve,2
Bhaktapur ,Bagmati,Hill,Central,2068/69,2011/12,Western Bloot,Total,74
Bhaktapur ,Bagmati,Hill,Central,2068/69,2011/12,Western Bloot,+Ve,0
Bhaktapur ,Bagmati,Hill,Central,2068/69,2011/12,HBsAg,Total,275
Bhaktapur ,Bagmati,Hill,Central,2068/69,2011/12,HBsAg,+Ve,68
Bhaktapur ,Bagmati,Hill,Central,2068/69,2011/12,HEV,Total,5
Bhaktapur ,Bagmati,Hill,Central,2068/69,2011/12,HEV,+Ve,1
