District Name,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Indicator,Sub- Indicator,Value
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,% of OPD Visits for,Obstetrics Complications,0.03
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,% of OPD Visits for,Gyne Problems,0.71
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,% of OPD Visits for,Mental Health related problems,0.01
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,% of OPD Visits for,Malignancy,0
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,% of OPD Visits for,Cardiovascular related problem,0.97
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,% of OPD Visits for,Other Diseases and Injuries,24.47
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,% of OPD Visits for,Surgical Problems,9.21
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Not Mentioned Others,,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,% of OPD Visits for,Eye Problem,3.05
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,% of OPD Visits for,Obstetrics Complications,0.07
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,% of OPD Visits for,Gyne Problems,0.98
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,% of OPD Visits for,Mental Health related problems,0.16
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,% of OPD Visits for,Malignancy,0.01
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,% of OPD Visits for,Cardiovascular related problem,1.32
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,% of OPD Visits for,Other Diseases and Injuries,23.71
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,% of OPD Visits for,Surgical Problems,7.59
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Not Mentioned Others,,0
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,% of OPD Visits for,Eye Problem,3.38
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,% of OPD Visits for,Obstetrics Complications,0.18
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,% of OPD Visits for,Gyne Problems,1.2
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,% of OPD Visits for,Mental Health related problems,0.15
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,% of OPD Visits for,Malignancy,0
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,% of OPD Visits for,Cardiovascular related problem,1.44
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,% of OPD Visits for,Other Diseases and Injuries,20.12
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,% of OPD Visits for,Surgical Problems,7.71
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Not Mentioned Others,,0
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,% of OPD Visits for,Eye Problem,2.44
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,% of OPD Visits for,Obstetrics Complications,0.29
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,% of OPD Visits for,Gyne Problems,1.46
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,% of OPD Visits for,Mental Health related problems,0.17
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,% of OPD Visits for,Malignancy,0
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,% of OPD Visits for,Cardiovascular related problem,1.7
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,% of OPD Visits for,Other Diseases and Injuries,22.41
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,% of OPD Visits for,Surgical Problems,19.23
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Not Mentioned Others,,0
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,% of OPD Visits for,Eye Problem,2.48
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,% of OPD Visits for,Obstetrics Complications,0.16
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,% of OPD Visits for,Gyne Problems,0.98
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,% of OPD Visits for,Mental Health related problems,0.11
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,% of OPD Visits for,Malignancy,0.02
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,% of OPD Visits for,Cardiovascular related problem,1
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,% of OPD Visits for,Other Diseases and Injuries,22.48
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,% of OPD Visits for,Surgical Problems,7.49
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Not Mentioned Others,,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,% of OPD Visits for,Eye Problem,2.99
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,% of OPD Visits for,Obstetrics Complications,0.09
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,% of OPD Visits for,Gyne Problems,0.97
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,% of OPD Visits for,Mental Health related problems,0.34
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,% of OPD Visits for,Malignancy,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,% of OPD Visits for,Cardiovascular related problem,3.94
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,% of OPD Visits for,Other Diseases and Injuries,23.47
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,% of OPD Visits for,Surgical Problems,7.58
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,Not Mentioned Others,,0
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,% of OPD Visits for,Eye Problem,2.56
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,% of OPD Visits for,Obstetrics Complications,0.05
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,% of OPD Visits for,Gyne Problems,0.72
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,% of OPD Visits for,Mental Health related problems,1.03
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,% of OPD Visits for,Malignancy,0
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,% of OPD Visits for,Cardiovascular related problem,1.91
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,% of OPD Visits for,Other Diseases and Injuries,24.19
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,% of OPD Visits for,Surgical Problems,13.16
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,Not Mentioned Others,,0
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,% of OPD Visits for,Eye Problem,2.81
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,% of OPD Visits for,Obstetrics Complications,0.08
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,% of OPD Visits for,Gyne Problems,1.09
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,% of OPD Visits for,Mental Health related problems,0.16
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,% of OPD Visits for,Malignancy,0
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,% of OPD Visits for,Cardiovascular related problem,1.37
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,% of OPD Visits for,Other Diseases and Injuries,20.3
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,% of OPD Visits for,Surgical Problems,10.08
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,Not Mentioned Others,,0
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,% of OPD Visits for,Eye Problem,2.58
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,% of OPD Visits for,Obstetrics Complications,0.17
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,% of OPD Visits for,Gyne Problems,2.49
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,% of OPD Visits for,Mental Health related problems,0.22
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,% of OPD Visits for,Malignancy,0
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,% of OPD Visits for,Cardiovascular related problem,1.56
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,% of OPD Visits for,Other Diseases and Injuries,22.11
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,% of OPD Visits for,Surgical Problems,10.02
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,Not Mentioned Others,,0
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,% of OPD Visits for,Eye Problem,1.8
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,% of OPD Visits for,Obstetrics Complications,0.07
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,% of OPD Visits for,Gyne Problems,0.95
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,% of OPD Visits for,Mental Health related problems,0.07
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,% of OPD Visits for,Malignancy,0
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,% of OPD Visits for,Cardiovascular related problem,1.81
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,% of OPD Visits for,Other Diseases and Injuries,21.49
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,% of OPD Visits for,Surgical Problems,4.08
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,Not Mentioned Others,,0
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,% of OPD Visits for,Eye Problem,2.05
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,% of OPD Visits for,Obstetrics Complications,0.07
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,% of OPD Visits for,Gyne Problems,0.74
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,% of OPD Visits for,Mental Health related problems,0.09
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,% of OPD Visits for,Malignancy,0
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,% of OPD Visits for,Cardiovascular related problem,1.5
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,% of OPD Visits for,Other Diseases and Injuries,22.15
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,% of OPD Visits for,Surgical Problems,4.68
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,Not Mentioned Others,,0
Dhanusha,Janakpur,Terai,Central,2068/69,2011/12,% of OPD Visits for,Eye Problem,1.97
Dhanusha,Janakpur,Terai,Central,2068/69,2011/12,% of OPD Visits for,Obstetrics Complications,0.02
Dhanusha,Janakpur,Terai,Central,2068/69,2011/12,% of OPD Visits for,Gyne Problems,0.67
Dhanusha,Janakpur,Terai,Central,2068/69,2011/12,% of OPD Visits for,Mental Health related problems,0.04
Dhanusha,Janakpur,Terai,Central,2068/69,2011/12,% of OPD Visits for,Malignancy,0
Dhanusha,Janakpur,Terai,Central,2068/69,2011/12,% of OPD Visits for,Cardiovascular related problem,1.89
Dhanusha,Janakpur,Terai,Central,2068/69,2011/12,% of OPD Visits for,Other Diseases and Injuries,19.68
Dhanusha,Janakpur,Terai,Central,2068/69,2011/12,% of OPD Visits for,Surgical Problems,5.8
Dhanusha,Janakpur,Terai,Central,2068/69,2011/12,Not Mentioned Others,,0
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,% of OPD Visits for,Eye Problem,1.77
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,% of OPD Visits for,Obstetrics Complications,0.16
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,% of OPD Visits for,Gyne Problems,1.23
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,% of OPD Visits for,Mental Health related problems,0.16
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,% of OPD Visits for,Malignancy,0.01
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,% of OPD Visits for,Cardiovascular related problem,1.59
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,% of OPD Visits for,Other Diseases and Injuries,20.86
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,% of OPD Visits for,Surgical Problems,5.14
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,Not Mentioned Others,,0
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,% of OPD Visits for,Eye Problem,1.69
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,% of OPD Visits for,Obstetrics Complications,0.04
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,% of OPD Visits for,Gyne Problems,0.74
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,% of OPD Visits for,Mental Health related problems,0.28
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,% of OPD Visits for,Malignancy,0
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,% of OPD Visits for,Cardiovascular related problem,1.69
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,% of OPD Visits for,Other Diseases and Injuries,24.89
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,% of OPD Visits for,Surgical Problems,4.09
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,Not Mentioned Others,,0
Sindhuli,Janakpur,Hill,Central,2068/69,2011/12,% of OPD Visits for,Eye Problem,2.18
Sindhuli,Janakpur,Hill,Central,2068/69,2011/12,% of OPD Visits for,Obstetrics Complications,0.06
Sindhuli,Janakpur,Hill,Central,2068/69,2011/12,% of OPD Visits for,Gyne Problems,0.97
Sindhuli,Janakpur,Hill,Central,2068/69,2011/12,% of OPD Visits for,Mental Health related problems,0.1
Sindhuli,Janakpur,Hill,Central,2068/69,2011/12,% of OPD Visits for,Malignancy,0
Sindhuli,Janakpur,Hill,Central,2068/69,2011/12,% of OPD Visits for,Cardiovascular related problem,1.79
Sindhuli,Janakpur,Hill,Central,2068/69,2011/12,% of OPD Visits for,Other Diseases and Injuries,23.49
Sindhuli,Janakpur,Hill,Central,2068/69,2011/12,% of OPD Visits for,Surgical Problems,7.58
Sindhuli,Janakpur,Hill,Central,2068/69,2011/12,Not Mentioned Others,,0
Ramechhap,Janakpur,Hill,Central,2068/69,2011/12,% of OPD Visits for,Eye Problem,4.26
Ramechhap,Janakpur,Hill,Central,2068/69,2011/12,% of OPD Visits for,Obstetrics Complications,0.04
Ramechhap,Janakpur,Hill,Central,2068/69,2011/12,% of OPD Visits for,Gyne Problems,2.07
Ramechhap,Janakpur,Hill,Central,2068/69,2011/12,% of OPD Visits for,Mental Health related problems,0.3
Ramechhap,Janakpur,Hill,Central,2068/69,2011/12,% of OPD Visits for,Malignancy,0
Ramechhap,Janakpur,Hill,Central,2068/69,2011/12,% of OPD Visits for,Cardiovascular related problem,1.86
Ramechhap,Janakpur,Hill,Central,2068/69,2011/12,% of OPD Visits for,Other Diseases and Injuries,27.22
Ramechhap,Janakpur,Hill,Central,2068/69,2011/12,% of OPD Visits for,Surgical Problems,10.2
Ramechhap,Janakpur,Hill,Central,2068/69,2011/12,Not Mentioned Others,,0
Dolkha,Janakpur,Mountain,Central,2068/69,2011/12,% of OPD Visits for,Eye Problem,2.95
Dolkha,Janakpur,Mountain,Central,2068/69,2011/12,% of OPD Visits for,Obstetrics Complications,0.1
Dolkha,Janakpur,Mountain,Central,2068/69,2011/12,% of OPD Visits for,Gyne Problems,1.79
Dolkha,Janakpur,Mountain,Central,2068/69,2011/12,% of OPD Visits for,Mental Health related problems,0.27
Dolkha,Janakpur,Mountain,Central,2068/69,2011/12,% of OPD Visits for,Malignancy,0
Dolkha,Janakpur,Mountain,Central,2068/69,2011/12,% of OPD Visits for,Cardiovascular related problem,2.12
Dolkha,Janakpur,Mountain,Central,2068/69,2011/12,% of OPD Visits for,Other Diseases and Injuries,22.97
Dolkha,Janakpur,Mountain,Central,2068/69,2011/12,% of OPD Visits for,Surgical Problems,13.41
Dolkha,Janakpur,Mountain,Central,2068/69,2011/12,Not Mentioned Others,,0
Sindhupalchowk,Bagmati,Mountain,Central,2068/69,2011/12,% of OPD Visits for,Eye Problem,2.64
Sindhupalchowk,Bagmati,Mountain,Central,2068/69,2011/12,% of OPD Visits for,Obstetrics Complications,0.4
Sindhupalchowk,Bagmati,Mountain,Central,2068/69,2011/12,% of OPD Visits for,Gyne Problems,1.56
Sindhupalchowk,Bagmati,Mountain,Central,2068/69,2011/12,% of OPD Visits for,Mental Health related problems,0.26
Sindhupalchowk,Bagmati,Mountain,Central,2068/69,2011/12,% of OPD Visits for,Malignancy,0
Sindhupalchowk,Bagmati,Mountain,Central,2068/69,2011/12,% of OPD Visits for,Cardiovascular related problem,2.03
Sindhupalchowk,Bagmati,Mountain,Central,2068/69,2011/12,% of OPD Visits for,Other Diseases and Injuries,25.74
Sindhupalchowk,Bagmati,Mountain,Central,2068/69,2011/12,% of OPD Visits for,Surgical Problems,7.42
Sindhupalchowk,Bagmati,Mountain,Central,2068/69,2011/12,Not Mentioned Others,,0
Kavre,Bagmati,Hill,Central,2068/69,2011/12,% of OPD Visits for,Eye Problem,4.73
Kavre,Bagmati,Hill,Central,2068/69,2011/12,% of OPD Visits for,Obstetrics Complications,0.07
Kavre,Bagmati,Hill,Central,2068/69,2011/12,% of OPD Visits for,Gyne Problems,1.84
Kavre,Bagmati,Hill,Central,2068/69,2011/12,% of OPD Visits for,Mental Health related problems,0.26
Kavre,Bagmati,Hill,Central,2068/69,2011/12,% of OPD Visits for,Malignancy,0.07
Kavre,Bagmati,Hill,Central,2068/69,2011/12,% of OPD Visits for,Cardiovascular related problem,1.96
Kavre,Bagmati,Hill,Central,2068/69,2011/12,% of OPD Visits for,Other Diseases and Injuries,22.08
Kavre,Bagmati,Hill,Central,2068/69,2011/12,% of OPD Visits for,Surgical Problems,14.88
Kavre,Bagmati,Hill,Central,2068/69,2011/12,Not Mentioned Others,,0
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,% of OPD Visits for,Eye Problem,0
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,% of OPD Visits for,Obstetrics Complications,0
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,% of OPD Visits for,Gyne Problems,0
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,% of OPD Visits for,Mental Health related problems,0
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,% of OPD Visits for,Malignancy,0
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,% of OPD Visits for,Cardiovascular related problem,0
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,% of OPD Visits for,Other Diseases and Injuries,0
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,% of OPD Visits for,Surgical Problems,100
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Not Mentioned Others,,0
Bhaktapur ,Bagmati,Hill,Central,2068/69,2011/12,% of OPD Visits for,Eye Problem,2.16
Bhaktapur ,Bagmati,Hill,Central,2068/69,2011/12,% of OPD Visits for,Obstetrics Complications,0.03
Bhaktapur ,Bagmati,Hill,Central,2068/69,2011/12,% of OPD Visits for,Gyne Problems,1.48
Bhaktapur ,Bagmati,Hill,Central,2068/69,2011/12,% of OPD Visits for,Mental Health related problems,0.23
Bhaktapur ,Bagmati,Hill,Central,2068/69,2011/12,% of OPD Visits for,Malignancy,0
Bhaktapur ,Bagmati,Hill,Central,2068/69,2011/12,% of OPD Visits for,Cardiovascular related problem,3.22
Bhaktapur ,Bagmati,Hill,Central,2068/69,2011/12,% of OPD Visits for,Other Diseases and Injuries,20.01
Bhaktapur ,Bagmati,Hill,Central,2068/69,2011/12,% of OPD Visits for,Surgical Problems,17.28
Bhaktapur ,Bagmati,Hill,Central,2068/69,2011/12,Not Mentioned Others,,0
Kathmandu,Bagmati,Hill,Central,2068/69,2011/12,% of OPD Visits for,Eye Problem,1.63
Kathmandu,Bagmati,Hill,Central,2068/69,2011/12,% of OPD Visits for,Obstetrics Complications,0.67
Kathmandu,Bagmati,Hill,Central,2068/69,2011/12,% of OPD Visits for,Gyne Problems,2.46
Kathmandu,Bagmati,Hill,Central,2068/69,2011/12,% of OPD Visits for,Mental Health related problems,2.28
Kathmandu,Bagmati,Hill,Central,2068/69,2011/12,% of OPD Visits for,Malignancy,0.09
Kathmandu,Bagmati,Hill,Central,2068/69,2011/12,% of OPD Visits for,Cardiovascular related problem,7.15
Kathmandu,Bagmati,Hill,Central,2068/69,2011/12,% of OPD Visits for,Other Diseases and Injuries,19.74
Kathmandu,Bagmati,Hill,Central,2068/69,2011/12,% of OPD Visits for,Surgical Problems,13.21
Kathmandu,Bagmati,Hill,Central,2068/69,2011/12,Not Mentioned Others,,0
Nuwakot,Bagmati,Hill,Central,2068/69,2011/12,% of OPD Visits for,Eye Problem,3.33
Nuwakot,Bagmati,Hill,Central,2068/69,2011/12,% of OPD Visits for,Obstetrics Complications,0.15
Nuwakot,Bagmati,Hill,Central,2068/69,2011/12,% of OPD Visits for,Gyne Problems,1.64
Nuwakot,Bagmati,Hill,Central,2068/69,2011/12,% of OPD Visits for,Mental Health related problems,0.29
Nuwakot,Bagmati,Hill,Central,2068/69,2011/12,% of OPD Visits for,Malignancy,0.01
Nuwakot,Bagmati,Hill,Central,2068/69,2011/12,% of OPD Visits for,Cardiovascular related problem,2.48
Nuwakot,Bagmati,Hill,Central,2068/69,2011/12,% of OPD Visits for,Other Diseases and Injuries,22.12
Nuwakot,Bagmati,Hill,Central,2068/69,2011/12,% of OPD Visits for,Surgical Problems,11.23
Nuwakot,Bagmati,Hill,Central,2068/69,2011/12,Not Mentioned Others,,0
Rasuwa,Bagmati,Mountain,Central,2068/69,2011/12,% of OPD Visits for,Eye Problem,4.06
Rasuwa,Bagmati,Mountain,Central,2068/69,2011/12,% of OPD Visits for,Obstetrics Complications,0.02
Rasuwa,Bagmati,Mountain,Central,2068/69,2011/12,% of OPD Visits for,Gyne Problems,1.38
Rasuwa,Bagmati,Mountain,Central,2068/69,2011/12,% of OPD Visits for,Mental Health related problems,0.08
Rasuwa,Bagmati,Mountain,Central,2068/69,2011/12,% of OPD Visits for,Malignancy,0
Rasuwa,Bagmati,Mountain,Central,2068/69,2011/12,% of OPD Visits for,Cardiovascular related problem,1.47
Rasuwa,Bagmati,Mountain,Central,2068/69,2011/12,% of OPD Visits for,Other Diseases and Injuries,27.8
Rasuwa,Bagmati,Mountain,Central,2068/69,2011/12,% of OPD Visits for,Surgical Problems,8.34
Rasuwa,Bagmati,Mountain,Central,2068/69,2011/12,Not Mentioned Others,,0
Dhading,Bagmati,Hill,Central,2068/69,2011/12,% of OPD Visits for,Eye Problem,2.91
Dhading,Bagmati,Hill,Central,2068/69,2011/12,% of OPD Visits for,Obstetrics Complications,0.26
Dhading,Bagmati,Hill,Central,2068/69,2011/12,% of OPD Visits for,Gyne Problems,2.06
