District Name,Zone,Ecological Belt,Development Region,Year (B.S),Year (A.D),Indicator,Sub-Indicator,Value
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Dehydration (Mild and Severe) among new Cases,,82.76
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Severe Dehydration among new Cases,,0.14
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,% Treated With,ORS,97.95
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,% Treated With,IV Fluid,2.05
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,CDD Case Fatality,IV Fluid,0
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,% of CDD Cases at,HF,16.84
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,% of CDD Cases at,VHW/MCHW,14.81
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,% of CDD Cases at,FCHV,68.35
Morang,Kosi,Terai,Eastern,2068/69,2011/12,CDD Incidence  per 1000,,414.37
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Dehydration (Mild and Severe) among new Cases,,81.29
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Severe Dehydration among new Cases,,0.14
Morang,Kosi,Terai,Eastern,2068/69,2011/12,% Treated With,ORS,98.97
Morang,Kosi,Terai,Eastern,2068/69,2011/12,% Treated With,IV Fluid,1.03
Morang,Kosi,Terai,Eastern,2068/69,2011/12,CDD Case Fatality,IV Fluid,0
Morang,Kosi,Terai,Eastern,2068/69,2011/12,% of CDD Cases at,HF,19.73
Morang,Kosi,Terai,Eastern,2068/69,2011/12,% of CDD Cases at,VHW/MCHW,12.55
Morang,Kosi,Terai,Eastern,2068/69,2011/12,% of CDD Cases at,FCHV,67.71
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,CDD Incidence  per 1000,,586.06
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Dehydration (Mild and Severe) among new Cases,,78.23
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Severe Dehydration among new Cases,,0.04
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,% Treated With,ORS,99.4
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,% Treated With,IV Fluid,0.6
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,CDD Case Fatality,IV Fluid,0
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,% of CDD Cases at,HF,19.38
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,% of CDD Cases at,VHW/MCHW,13.57
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,% of CDD Cases at,FCHV,67.05
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,CDD Incidence  per 1000,,564.58
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Dehydration (Mild and Severe) among new Cases,,79.75
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Severe Dehydration among new Cases,,0.01
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,% Treated With,ORS,99.45
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,% Treated With,IV Fluid,0.55
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,CDD Case Fatality,IV Fluid,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,% of CDD Cases at,HF,21.88
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,% of CDD Cases at,VHW/MCHW,13.11
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,% of CDD Cases at,FCHV,65.01
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,CDD Incidence  per 1000,,504.08
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Dehydration (Mild and Severe) among new Cases,,80.08
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Severe Dehydration among new Cases,,0.7
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,% Treated With,ORS,98.34
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,% Treated With,IV Fluid,1.66
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,CDD Case Fatality,IV Fluid,0
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,% of CDD Cases at,HF,27.34
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,% of CDD Cases at,VHW/MCHW,16.38
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,% of CDD Cases at,FCHV,56.28
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,CDD Incidence  per 1000,,312.14
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Dehydration (Mild and Severe) among new Cases,,60.43
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Severe Dehydration among new Cases,,0.49
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,% Treated With,ORS,98.43
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,% Treated With,IV Fluid,1.57
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,CDD Case Fatality,IV Fluid,0.02
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,% of CDD Cases at,HF,45.07
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,% of CDD Cases at,VHW/MCHW,11.46
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,% of CDD Cases at,FCHV,43.47
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,CDD Incidence  per 1000,,699.66
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Dehydration (Mild and Severe) among new Cases,,79.29
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Severe Dehydration among new Cases,,0.04
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,% Treated With,ORS,99.42
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,% Treated With,IV Fluid,0.58
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,CDD Case Fatality,IV Fluid,0
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,% of CDD Cases at,HF,25.26
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,% of CDD Cases at,VHW/MCHW,14.03
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,% of CDD Cases at,FCHV,60.71
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,CDD Incidence  per 1000,,713.7
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,Dehydration (Mild and Severe) among new Cases,,60.05
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,Severe Dehydration among new Cases,,0.2
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,% Treated With,ORS,98.21
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,% Treated With,IV Fluid,1.79
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,CDD Case Fatality,IV Fluid,0.02
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,% of CDD Cases at,HF,38.85
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,% of CDD Cases at,VHW/MCHW,17.38
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,% of CDD Cases at,FCHV,43.78
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,CDD Incidence  per 1000,,676.97
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,Dehydration (Mild and Severe) among new Cases,,67.69
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,Severe Dehydration among new Cases,,0.47
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,% Treated With,ORS,94.99
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,% Treated With,IV Fluid,5.01
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,CDD Case Fatality,IV Fluid,0
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,% of CDD Cases at,HF,30.71
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,% of CDD Cases at,VHW/MCHW,17.15
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,% of CDD Cases at,FCHV,52.14
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,CDD Incidence  per 1000,,426.57
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,Dehydration (Mild and Severe) among new Cases,,72.82
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,Severe Dehydration among new Cases,,0.31
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,% Treated With,ORS,98.24
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,% Treated With,IV Fluid,1.76
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,CDD Case Fatality,IV Fluid,0
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,% of CDD Cases at,HF,38.35
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,% of CDD Cases at,VHW/MCHW,20.29
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,% of CDD Cases at,FCHV,41.36
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,CDD Incidence  per 1000,,429.7
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,Dehydration (Mild and Severe) among new Cases,,82.53
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,Severe Dehydration among new Cases,,0.79
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,% Treated With,ORS,98.12
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,% Treated With,IV Fluid,1.88
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,CDD Case Fatality,IV Fluid,0
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,% of CDD Cases at,HF,28.26
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,% of CDD Cases at,VHW/MCHW,13.35
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,% of CDD Cases at,FCHV,58.39
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,CDD Incidence  per 1000,,609.19
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,Dehydration (Mild and Severe) among new Cases,,70.73
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,Severe Dehydration among new Cases,,0.54
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,% Treated With,ORS,98.38
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,% Treated With,IV Fluid,1.62
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,CDD Case Fatality,IV Fluid,0
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,% of CDD Cases at,HF,31.04
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,% of CDD Cases at,VHW/MCHW,18.79
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,% of CDD Cases at,FCHV,50.16
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,CDD Incidence  per 1000,,496.13
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,Dehydration (Mild and Severe) among new Cases,,78.22
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,Severe Dehydration among new Cases,,0.17
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,% Treated With,ORS,99.19
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,% Treated With,IV Fluid,0.81
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,CDD Case Fatality,IV Fluid,0
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,% of CDD Cases at,HF,31.61
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,% of CDD Cases at,VHW/MCHW,18.25
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,% of CDD Cases at,FCHV,50.14
Dhanusha,Janakpur,Terai,Central,2068/69,2011/12,CDD Incidence  per 1000,,432.94
Dhanusha,Janakpur,Terai,Central,2068/69,2011/12,Dehydration (Mild and Severe) among new Cases,,75.69
Dhanusha,Janakpur,Terai,Central,2068/69,2011/12,Severe Dehydration among new Cases,,0.07
Dhanusha,Janakpur,Terai,Central,2068/69,2011/12,% Treated With,ORS,99.14
Dhanusha,Janakpur,Terai,Central,2068/69,2011/12,% Treated With,IV Fluid,0.86
Dhanusha,Janakpur,Terai,Central,2068/69,2011/12,CDD Case Fatality,IV Fluid,0
Dhanusha,Janakpur,Terai,Central,2068/69,2011/12,% of CDD Cases at,HF,24.45
Dhanusha,Janakpur,Terai,Central,2068/69,2011/12,% of CDD Cases at,VHW/MCHW,20.86
Dhanusha,Janakpur,Terai,Central,2068/69,2011/12,% of CDD Cases at,FCHV,54.69
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,CDD Incidence  per 1000,,370.65
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,Dehydration (Mild and Severe) among new Cases,,83.44
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,Severe Dehydration among new Cases,,0.16
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,% Treated With,ORS,85.59
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,% Treated With,IV Fluid,14.41
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,CDD Case Fatality,IV Fluid,0.03
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,% of CDD Cases at,HF,21.32
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,% of CDD Cases at,VHW/MCHW,25.31
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,% of CDD Cases at,FCHV,53.37
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,CDD Incidence  per 1000,,404.48
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,Dehydration (Mild and Severe) among new Cases,,74.71
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,Severe Dehydration among new Cases,,0.28
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,% Treated With,ORS,97.35
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,% Treated With,IV Fluid,2.65
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,CDD Case Fatality,IV Fluid,0
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,% of CDD Cases at,HF,26.33
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,% of CDD Cases at,VHW/MCHW,23.63
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,% of CDD Cases at,FCHV,50.04
Sindhuli,Janakpur,Hill,Central,2068/69,2011/12,CDD Incidence  per 1000,,433.27
Sindhuli,Janakpur,Hill,Central,2068/69,2011/12,Dehydration (Mild and Severe) among new Cases,,88.01
Sindhuli,Janakpur,Hill,Central,2068/69,2011/12,Severe Dehydration among new Cases,,0.24
Sindhuli,Janakpur,Hill,Central,2068/69,2011/12,% Treated With,ORS,94.24
Sindhuli,Janakpur,Hill,Central,2068/69,2011/12,% Treated With,IV Fluid,5.76
Sindhuli,Janakpur,Hill,Central,2068/69,2011/12,CDD Case Fatality,IV Fluid,0.02
Sindhuli,Janakpur,Hill,Central,2068/69,2011/12,% of CDD Cases at,HF,15.46
Sindhuli,Janakpur,Hill,Central,2068/69,2011/12,% of CDD Cases at,VHW/MCHW,19.7
Sindhuli,Janakpur,Hill,Central,2068/69,2011/12,% of CDD Cases at,FCHV,64.85
Ramechhap,Janakpur,Hill,Central,2068/69,2011/12,CDD Incidence  per 1000,,543.48
Ramechhap,Janakpur,Hill,Central,2068/69,2011/12,Dehydration (Mild and Severe) among new Cases,,81.88
Ramechhap,Janakpur,Hill,Central,2068/69,2011/12,Severe Dehydration among new Cases,,0.27
Ramechhap,Janakpur,Hill,Central,2068/69,2011/12,% Treated With,ORS,97.91
Ramechhap,Janakpur,Hill,Central,2068/69,2011/12,% Treated With,IV Fluid,2.09
Ramechhap,Janakpur,Hill,Central,2068/69,2011/12,CDD Case Fatality,IV Fluid,0
Ramechhap,Janakpur,Hill,Central,2068/69,2011/12,% of CDD Cases at,HF,17.91
Ramechhap,Janakpur,Hill,Central,2068/69,2011/12,% of CDD Cases at,VHW/MCHW,9.7
Ramechhap,Janakpur,Hill,Central,2068/69,2011/12,% of CDD Cases at,FCHV,72.39
Dolkha,Janakpur,Mountain,Central,2068/69,2011/12,CDD Incidence  per 1000,,627.1
Dolkha,Janakpur,Mountain,Central,2068/69,2011/12,Dehydration (Mild and Severe) among new Cases,,79.47
Dolkha,Janakpur,Mountain,Central,2068/69,2011/12,Severe Dehydration among new Cases,,0.16
Dolkha,Janakpur,Mountain,Central,2068/69,2011/12,% Treated With,ORS,98.86
Dolkha,Janakpur,Mountain,Central,2068/69,2011/12,% Treated With,IV Fluid,1.14
Dolkha,Janakpur,Mountain,Central,2068/69,2011/12,CDD Case Fatality,IV Fluid,0
Dolkha,Janakpur,Mountain,Central,2068/69,2011/12,% of CDD Cases at,HF,22.67
Dolkha,Janakpur,Mountain,Central,2068/69,2011/12,% of CDD Cases at,VHW/MCHW,17.36
Dolkha,Janakpur,Mountain,Central,2068/69,2011/12,% of CDD Cases at,FCHV,59.97
Sindhupalchowk,Bagmati,Mountain,Central,2068/69,2011/12,CDD Incidence  per 1000,,363.35
Sindhupalchowk,Bagmati,Mountain,Central,2068/69,2011/12,Dehydration (Mild and Severe) among new Cases,,73.56
Sindhupalchowk,Bagmati,Mountain,Central,2068/69,2011/12,Severe Dehydration among new Cases,,0.7
Sindhupalchowk,Bagmati,Mountain,Central,2068/69,2011/12,% Treated With,ORS,96.87
Sindhupalchowk,Bagmati,Mountain,Central,2068/69,2011/12,% Treated With,IV Fluid,3.13
Sindhupalchowk,Bagmati,Mountain,Central,2068/69,2011/12,CDD Case Fatality,IV Fluid,0.01
Sindhupalchowk,Bagmati,Mountain,Central,2068/69,2011/12,% of CDD Cases at,HF,26.68
Sindhupalchowk,Bagmati,Mountain,Central,2068/69,2011/12,% of CDD Cases at,VHW/MCHW,19.38
Sindhupalchowk,Bagmati,Mountain,Central,2068/69,2011/12,% of CDD Cases at,FCHV,53.94
Kavre,Bagmati,Hill,Central,2068/69,2011/12,CDD Incidence  per 1000,,498.23
Kavre,Bagmati,Hill,Central,2068/69,2011/12,Dehydration (Mild and Severe) among new Cases,,80.86
Kavre,Bagmati,Hill,Central,2068/69,2011/12,Severe Dehydration among new Cases,,0.11
Kavre,Bagmati,Hill,Central,2068/69,2011/12,% Treated With,ORS,98.28
Kavre,Bagmati,Hill,Central,2068/69,2011/12,% Treated With,IV Fluid,1.72
Kavre,Bagmati,Hill,Central,2068/69,2011/12,CDD Case Fatality,IV Fluid,0
Kavre,Bagmati,Hill,Central,2068/69,2011/12,% of CDD Cases at,HF,22.53
Kavre,Bagmati,Hill,Central,2068/69,2011/12,% of CDD Cases at,VHW/MCHW,15.09
Kavre,Bagmati,Hill,Central,2068/69,2011/12,% of CDD Cases at,FCHV,62.37
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,CDD Incidence  per 1000,,345.1
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Dehydration (Mild and Severe) among new Cases,,58.79
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Severe Dehydration among new Cases,,0.18
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,% Treated With,ORS,99.59
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,% Treated With,IV Fluid,0.41
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,CDD Case Fatality,IV Fluid,0
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,% of CDD Cases at,HF,40.26
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,% of CDD Cases at,VHW/MCHW,59.74
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,% of CDD Cases at,FCHV,0
Bhaktapur ,Bagmati,Hill,Central,2068/69,2011/12,CDD Incidence  per 1000,,353.04
Bhaktapur ,Bagmati,Hill,Central,2068/69,2011/12,Dehydration (Mild and Severe) among new Cases,,71.53
Bhaktapur ,Bagmati,Hill,Central,2068/69,2011/12,Severe Dehydration among new Cases,,0.12
Bhaktapur ,Bagmati,Hill,Central,2068/69,2011/12,% Treated With,ORS,98.52
Bhaktapur ,Bagmati,Hill,Central,2068/69,2011/12,% Treated With,IV Fluid,1.48
Bhaktapur ,Bagmati,Hill,Central,2068/69,2011/12,CDD Case Fatality,IV Fluid,0
Bhaktapur ,Bagmati,Hill,Central,2068/69,2011/12,% of CDD Cases at,HF,26.93
Bhaktapur ,Bagmati,Hill,Central,2068/69,2011/12,% of CDD Cases at,VHW/MCHW,16.2
Bhaktapur ,Bagmati,Hill,Central,2068/69,2011/12,% of CDD Cases at,FCHV,56.86
Kathmandu,Bagmati,Hill,Central,2068/69,2011/12,CDD Incidence  per 1000,,195.6
Kathmandu,Bagmati,Hill,Central,2068/69,2011/12,Dehydration (Mild and Severe) among new Cases,,76.04
Kathmandu,Bagmati,Hill,Central,2068/69,2011/12,Severe Dehydration among new Cases,,0.42
Kathmandu,Bagmati,Hill,Central,2068/69,2011/12,% Treated With,ORS,99.52
Kathmandu,Bagmati,Hill,Central,2068/69,2011/12,% Treated With,IV Fluid,0.48
Kathmandu,Bagmati,Hill,Central,2068/69,2011/12,CDD Case Fatality,IV Fluid,0
Kathmandu,Bagmati,Hill,Central,2068/69,2011/12,% of CDD Cases at,HF,21.36
Kathmandu,Bagmati,Hill,Central,2068/69,2011/12,% of CDD Cases at,VHW/MCHW,16.07
Kathmandu,Bagmati,Hill,Central,2068/69,2011/12,% of CDD Cases at,FCHV,62.58
Nuwakot,Bagmati,Hill,Central,2068/69,2011/12,CDD Incidence  per 1000,,341.2
Nuwakot,Bagmati,Hill,Central,2068/69,2011/12,Dehydration (Mild and Severe) among new Cases,,77.82
Nuwakot,Bagmati,Hill,Central,2068/69,2011/12,Severe Dehydration among new Cases,,0.34
Nuwakot,Bagmati,Hill,Central,2068/69,2011/12,% Treated With,ORS,96.59
Nuwakot,Bagmati,Hill,Central,2068/69,2011/12,% Treated With,IV Fluid,3.41
Nuwakot,Bagmati,Hill,Central,2068/69,2011/12,CDD Case Fatality,IV Fluid,0
Nuwakot,Bagmati,Hill,Central,2068/69,2011/12,% of CDD Cases at,HF,22.85
Nuwakot,Bagmati,Hill,Central,2068/69,2011/12,% of CDD Cases at,VHW/MCHW,24.6
Nuwakot,Bagmati,Hill,Central,2068/69,2011/12,% of CDD Cases at,FCHV,52.55
Rasuwa,Bagmati,Mountain,Central,2068/69,2011/12,CDD Incidence  per 1000,,787.35
Rasuwa,Bagmati,Mountain,Central,2068/69,2011/12,Dehydration (Mild and Severe) among new Cases,,80
Rasuwa,Bagmati,Mountain,Central,2068/69,2011/12,Severe Dehydration among new Cases,,0
Rasuwa,Bagmati,Mountain,Central,2068/69,2011/12,% Treated With,ORS,86.22
Rasuwa,Bagmati,Mountain,Central,2068/69,2011/12,% Treated With,IV Fluid,13.78
Rasuwa,Bagmati,Mountain,Central,2068/69,2011/12,CDD Case Fatality,IV Fluid,0
Rasuwa,Bagmati,Mountain,Central,2068/69,2011/12,% of CDD Cases at,HF,20.8
Rasuwa,Bagmati,Mountain,Central,2068/69,2011/12,% of CDD Cases at,VHW/MCHW,18.22
Rasuwa,Bagmati,Mountain,Central,2068/69,2011/12,% of CDD Cases at,FCHV,60.99
Dhading,Bagmati,Hill,Central,2068/69,2011/12,CDD Incidence  per 1000,,518.93
Dhading,Bagmati,Hill,Central,2068/69,2011/12,Dehydration (Mild and Severe) among new Cases,,80.36
Dhading,Bagmati,Hill,Central,2068/69,2011/12,Severe Dehydration among new Cases,,0.26
Dhading,Bagmati,Hill,Central,2068/69,2011/12,% Treated With,ORS,98.44
Dhading,Bagmati,Hill,Central,2068/69,2011/12,% Treated With,IV Fluid,1.56
Dhading,Bagmati,Hill,Central,2068/69,2011/12,CDD Case Fatality,IV Fluid,0
Dhading,Bagmati,Hill,Central,2068/69,2011/12,% of CDD Cases at,HF,25.39
Dhading,Bagmati,Hill,Central,2068/69,2011/12,% of CDD Cases at,VHW/MCHW,16.13
Dhading,Bagmati,Hill,Central,2068/69,2011/12,% of CDD Cases at,FCHV,58.48
Makawanpur,Narayani,Hill,Central,2068/69,2011/12,CDD Incidence  per 1000,,466.77
Makawanpur,Narayani,Hill,Central,2068/69,2011/12,Dehydration (Mild and Severe) among new Cases,,84.89
Makawanpur,Narayani,Hill,Central,2068/69,2011/12,Severe Dehydration among new Cases,,0.08
Makawanpur,Narayani,Hill,Central,2068/69,2011/12,% Treated With,ORS,98.69
Makawanpur,Narayani,Hill,Central,2068/69,2011/12,% Treated With,IV Fluid,1.31
Makawanpur,Narayani,Hill,Central,2068/69,2011/12,CDD Case Fatality,IV Fluid,0.01
Makawanpur,Narayani,Hill,Central,2068/69,2011/12,% of CDD Cases at,HF,12.71
Makawanpur,Narayani,Hill,Central,2068/69,2011/12,% of CDD Cases at,VHW/MCHW,9.65
