District,Year,Gynecological Problem,Number of people
Taplejung,2066/67,Pelvic Inflamatory Disease (PID),318
Taplejung,2066/67,Leukerrhoea (Veginal discharge syndrom,260
Taplejung,2066/67,Menstrual disorder,301
Taplejung,2066/67,Disfunctional uterine bleeding,204
Taplejung,2066/67,Breast lumps / Breast Abscess,153
Taplejung,2066/67,Mastitis (Ingorged breast),173
Teharthum,2066/67,Prolapsed uterus,97
Teharthum,2066/67,Pelvic Inflamatory Disease (PID),463
Teharthum,2066/67,Leukerrhoea (Veginal discharge syndrom,119
Teharthum,2066/67,Menstrual disorder,190
Teharthum,2066/67,Disfunctional uterine bleeding,142
Teharthum,2066/67,Breast lumps / Breast Abscess,33
Teharthum,2066/67,Mastitis (Ingorged breast),22
Udaypur,2066/67,Prolapsed uterus,371
Udaypur,2066/67,Pelvic Inflamatory Disease (PID),790
Udaypur,2066/67,Leukerrhoea (Veginal discharge syndrom,648
Udaypur,2066/67,Menstrual disorder,717
Udaypur,2066/67,Disfunctional uterine bleeding,297
Udaypur,2066/67,Breast lumps / Breast Abscess,298
Udaypur,2066/67,Mastitis (Ingorged breast),85
Bara,2066/67,Prolapsed uterus,67
Bara,2066/67,Pelvic Inflamatory Disease (PID),788
Bara,2066/67,Leukerrhoea (Veginal discharge syndrom,1240
Bara,2066/67,Menstrual disorder,589
Bara,2066/67,Disfunctional uterine bleeding,216
Bara,2066/67,Breast lumps / Breast Abscess,273
Bara,2066/67,Mastitis (Ingorged breast),59
Bhaktapur,2066/67,Prolapsed uterus,53
Bhaktapur,2066/67,Pelvic Inflamatory Disease (PID),429
Bhaktapur,2066/67,Leukerrhoea (Veginal discharge syndrom,400
Bhaktapur,2066/67,Menstrual disorder,395
Bhaktapur,2066/67,Disfunctional uterine bleeding,173
Bhaktapur,2066/67,Breast lumps / Breast Abscess,140
Bhaktapur,2066/67,Mastitis (Ingorged breast),57
Chitwan,2066/67,Prolapsed uterus,1697
Chitwan,2066/67,Pelvic Inflamatory Disease (PID),2609
Chitwan,2066/67,Leukerrhoea (Veginal discharge syndrom,1319
Chitwan,2066/67,Menstrual disorder,1225
Chitwan,2066/67,Disfunctional uterine bleeding,1261
Chitwan,2066/67,Breast lumps / Breast Abscess,416
Chitwan,2066/67,Mastitis (Ingorged breast),122
Dhading,2066/67,Prolapsed uterus,1110
Dhading,2066/67,Pelvic Inflamatory Disease (PID),1870
Dhading,2066/67,Leukerrhoea (Veginal discharge syndrom,1686
Dhading,2066/67,Menstrual disorder,1061
Dhading,2066/67,Disfunctional uterine bleeding,800
Dhading,2066/67,Breast lumps / Breast Abscess,475
Dhading,2066/67,Mastitis (Ingorged breast),176
Dhanusha,2066/67,Prolapsed uterus,114
Dhanusha,2066/67,Pelvic Inflamatory Disease (PID),1421
Dhanusha,2066/67,Leukerrhoea (Veginal discharge syndrom,1683
Dhanusha,2066/67,Menstrual disorder,929
Dhanusha,2066/67,Disfunctional uterine bleeding,537
Dhanusha,2066/67,Breast lumps / Breast Abscess,400
Dhanusha,2066/67,Mastitis (Ingorged breast),147
Dolkha,2066/67,Prolapsed uterus,498
Dolkha,2066/67,Pelvic Inflamatory Disease (PID),1261
Dolkha,2066/67,Leukerrhoea (Veginal discharge syndrom,357
Dolkha,2066/67,Menstrual disorder,1105
Dolkha,2066/67,Disfunctional uterine bleeding,288
Dolkha,2066/67,Breast lumps / Breast Abscess,147
Dolkha,2066/67,Mastitis (Ingorged breast),97
Kathmandu,2066/67,Prolapsed uterus,686
Kathmandu,2066/67,Pelvic Inflamatory Disease (PID),2429
Kathmandu,2066/67,Leukerrhoea (Veginal discharge syndrom,1682
Kathmandu,2066/67,Menstrual disorder,2072
Kathmandu,2066/67,Disfunctional uterine bleeding,1100
Kathmandu,2066/67,Breast lumps / Breast Abscess,753
Kathmandu,2066/67,Mastitis (Ingorged breast),249
Kavre,2066/67,Prolapsed uterus,757
Kavre,2066/67,Pelvic Inflamatory Disease (PID),2073
Kavre,2066/67,Leukerrhoea (Veginal discharge syndrom,2023
Kavre,2066/67,Menstrual disorder,1434
Kavre,2066/67,Disfunctional uterine bleeding,655
Kavre,2066/67,Breast lumps / Breast Abscess,319
Kavre,2066/67,Mastitis (Ingorged breast),869
Lalitpur,2066/67,Prolapsed uterus,0
Lalitpur,2066/67,Pelvic Inflamatory Disease (PID),0
Lalitpur,2066/67,Leukerrhoea (Veginal discharge syndrom,0
Lalitpur,2066/67,Menstrual disorder,0
Lalitpur,2066/67,Disfunctional uterine bleeding,0
Lalitpur,2066/67,Breast lumps / Breast Abscess,0
Lalitpur,2066/67,Mastitis (Ingorged breast),0
Mahottari,2066/67,Prolapsed uterus,159
Mahottari,2066/67,Pelvic Inflamatory Disease (PID),617
Mahottari,2066/67,Leukerrhoea (Veginal discharge syndrom,1051
Mahottari,2066/67,Menstrual disorder,1080
Mahottari,2066/67,Disfunctional uterine bleeding,389
Mahottari,2066/67,Breast lumps / Breast Abscess,264
Mahottari,2066/67,Mastitis (Ingorged breast),100
Makawanpur,2066/67,Prolapsed uterus,162
Makawanpur,2066/67,Pelvic Inflamatory Disease (PID),558
Makawanpur,2066/67,Leukerrhoea (Veginal discharge syndrom,827
Makawanpur,2066/67,Menstrual disorder,436
Makawanpur,2066/67,Disfunctional uterine bleeding,390
Makawanpur,2066/67,Breast lumps / Breast Abscess,227
Makawanpur,2066/67,Mastitis (Ingorged breast),81
Nuwakot,2066/67,Prolapsed uterus,340
Nuwakot,2066/67,Pelvic Inflamatory Disease (PID),1053
Nuwakot,2066/67,Leukerrhoea (Veginal discharge syndrom,631
Nuwakot,2066/67,Menstrual disorder,444
Nuwakot,2066/67,Disfunctional uterine bleeding,296
Nuwakot,2066/67,Breast lumps / Breast Abscess,176
Nuwakot,2066/67,Mastitis (Ingorged breast),44
Parsa,2066/67,Prolapsed uterus,0
Parsa,2066/67,Pelvic Inflamatory Disease (PID),0
Parsa,2066/67,Leukerrhoea (Veginal discharge syndrom,0
Parsa,2066/67,Menstrual disorder,0
Parsa,2066/67,Disfunctional uterine bleeding,0
Parsa,2066/67,Breast lumps / Breast Abscess,0
Parsa,2066/67,Mastitis (Ingorged breast),0
Ramechhap,2066/67,Prolapsed uterus,289
Ramechhap,2066/67,Pelvic Inflamatory Disease (PID),863
Ramechhap,2066/67,Leukerrhoea (Veginal discharge syndrom,319
Ramechhap,2066/67,Menstrual disorder,500
Ramechhap,2066/67,Disfunctional uterine bleeding,271
Ramechhap,2066/67,Breast lumps / Breast Abscess,117
Ramechhap,2066/67,Mastitis (Ingorged breast),125
Rasuwa,2066/67,Prolapsed uterus,40
Rasuwa,2066/67,Pelvic Inflamatory Disease (PID),274
Rasuwa,2066/67,Leukerrhoea (Veginal discharge syndrom,95
Rasuwa,2066/67,Menstrual disorder,126
Rasuwa,2066/67,Disfunctional uterine bleeding,101
Rasuwa,2066/67,Breast lumps / Breast Abscess,56
Rasuwa,2066/67,Mastitis (Ingorged breast),24
Rautahat,2066/67,Prolapsed uterus,176
Rautahat,2066/67,Pelvic Inflamatory Disease (PID),670
Rautahat,2066/67,Leukerrhoea (Veginal discharge syndrom,1277
Rautahat,2066/67,Menstrual disorder,712
Rautahat,2066/67,Disfunctional uterine bleeding,137
Rautahat,2066/67,Breast lumps / Breast Abscess,243
Rautahat,2066/67,Mastitis (Ingorged breast),83
Sarlahi,2066/67,Prolapsed uterus,186
Sarlahi,2066/67,Pelvic Inflamatory Disease (PID),478
Sarlahi,2066/67,Leukerrhoea (Veginal discharge syndrom,1584
Sarlahi,2066/67,Menstrual disorder,873
Sarlahi,2066/67,Disfunctional uterine bleeding,341
Sarlahi,2066/67,Breast lumps / Breast Abscess,307
Sarlahi,2066/67,Mastitis (Ingorged breast),83
Sindhuli,2066/67,Prolapsed uterus,55
Sindhuli,2066/67,Pelvic Inflamatory Disease (PID),272
Sindhuli,2066/67,Leukerrhoea (Veginal discharge syndrom,338
Sindhuli,2066/67,Menstrual disorder,311
Sindhuli,2066/67,Disfunctional uterine bleeding,146
Sindhuli,2066/67,Breast lumps / Breast Abscess,128
Sindhuli,2066/67,Mastitis (Ingorged breast),43
Sindhupalchowk,2066/67,Prolapsed uterus,431
Sindhupalchowk,2066/67,Pelvic Inflamatory Disease (PID),963
Sindhupalchowk,2066/67,Leukerrhoea (Veginal discharge syndrom,584
Sindhupalchowk,2066/67,Menstrual disorder,682
Sindhupalchowk,2066/67,Disfunctional uterine bleeding,421
Sindhupalchowk,2066/67,Breast lumps / Breast Abscess,195
Sindhupalchowk,2066/67,Mastitis (Ingorged breast),98
Arghakhanchi,2066/67,Prolapsed uterus,268
Arghakhanchi,2066/67,Pelvic Inflamatory Disease (PID),2293
Arghakhanchi,2066/67,Leukerrhoea (Veginal discharge syndrom,745
Arghakhanchi,2066/67,Menstrual disorder,363
Arghakhanchi,2066/67,Disfunctional uterine bleeding,232
Arghakhanchi,2066/67,Breast lumps / Breast Abscess,244
Arghakhanchi,2066/67,Mastitis (Ingorged breast),130
Baglung,2066/67,Prolapsed uterus,468
Baglung,2066/67,Pelvic Inflamatory Disease (PID),1874
Baglung,2066/67,Leukerrhoea (Veginal discharge syndrom,997
Baglung,2066/67,Menstrual disorder,530
Baglung,2066/67,Disfunctional uterine bleeding,277
Baglung,2066/67,Breast lumps / Breast Abscess,233
Baglung,2066/67,Mastitis (Ingorged breast),139
Gorkha,2066/67,Prolapsed uterus,548
Gorkha,2066/67,Pelvic Inflamatory Disease (PID),2332
Gorkha,2066/67,Leukerrhoea (Veginal discharge syndrom,1563
Gorkha,2066/67,Menstrual disorder,889
Gorkha,2066/67,Disfunctional uterine bleeding,455
Gorkha,2066/67,Breast lumps / Breast Abscess,279
Gorkha,2066/67,Mastitis (Ingorged breast),175
Gulmi,2066/67,Prolapsed uterus,560
Gulmi,2066/67,Pelvic Inflamatory Disease (PID),2669
Gulmi,2066/67,Leukerrhoea (Veginal discharge syndrom,1650
Gulmi,2066/67,Menstrual disorder,713
Gulmi,2066/67,Disfunctional uterine bleeding,459
Gulmi,2066/67,Breast lumps / Breast Abscess,341
Gulmi,2066/67,Mastitis (Ingorged breast),160
Kapilvastu,2066/67,Prolapsed uterus,193
Kapilvastu,2066/67,Pelvic Inflamatory Disease (PID),4020
Kapilvastu,2066/67,Leukerrhoea (Veginal discharge syndrom,3014
Kapilvastu,2066/67,Menstrual disorder,1942
Kapilvastu,2066/67,Disfunctional uterine bleeding,785
Kapilvastu,2066/67,Breast lumps / Breast Abscess,292
Kapilvastu,2066/67,Mastitis (Ingorged breast),87
Kaski,2066/67,Prolapsed uterus,1706
Kaski,2066/67,Pelvic Inflamatory Disease (PID),2557
Kaski,2066/67,Leukerrhoea (Veginal discharge syndrom,1444
Kaski,2066/67,Menstrual disorder,1525
Kaski,2066/67,Disfunctional uterine bleeding,484
Kaski,2066/67,Breast lumps / Breast Abscess,466
Kaski,2066/67,Mastitis (Ingorged breast),120
Lamjung,2066/67,Prolapsed uterus,159
Lamjung,2066/67,Pelvic Inflamatory Disease (PID),906
Lamjung,2066/67,Leukerrhoea (Veginal discharge syndrom,803
Lamjung,2066/67,Menstrual disorder,394
Lamjung,2066/67,Disfunctional uterine bleeding,205
Lamjung,2066/67,Breast lumps / Breast Abscess,233
Lamjung,2066/67,Mastitis (Ingorged breast),143
Manang,2066/67,Prolapsed uterus,13
Manang,2066/67,Pelvic Inflamatory Disease (PID),89
Manang,2066/67,Leukerrhoea (Veginal discharge syndrom,41
Manang,2066/67,Menstrual disorder,15
Manang,2066/67,Disfunctional uterine bleeding,1
Manang,2066/67,Breast lumps / Breast Abscess,0
Manang,2066/67,Mastitis (Ingorged breast),1
Mustang,2066/67,Prolapsed uterus,2
Mustang,2066/67,Pelvic Inflamatory Disease (PID),187
Mustang,2066/67,Leukerrhoea (Veginal discharge syndrom,23
Mustang,2066/67,Menstrual disorder,16
Mustang,2066/67,Disfunctional uterine bleeding,5
Mustang,2066/67,Breast lumps / Breast Abscess,15
Mustang,2066/67,Mastitis (Ingorged breast),28
Myagdi,2066/67,Prolapsed uterus,87
Myagdi,2066/67,Pelvic Inflamatory Disease (PID),674
Myagdi,2066/67,Leukerrhoea (Veginal discharge syndrom,717
Myagdi,2066/67,Menstrual disorder,748
Myagdi,2066/67,Disfunctional uterine bleeding,155
Myagdi,2066/67,Breast lumps / Breast Abscess,178
Myagdi,2066/67,Mastitis (Ingorged breast),115
Nawalparasi,2066/67,Prolapsed uterus,218
Nawalparasi,2066/67,Pelvic Inflamatory Disease (PID),1573
Nawalparasi,2066/67,Leukerrhoea (Veginal discharge syndrom,3358
Nawalparasi,2066/67,Menstrual disorder,1670
Nawalparasi,2066/67,Disfunctional uterine bleeding,816
Nawalparasi,2066/67,Breast lumps / Breast Abscess,364
Nawalparasi,2066/67,Mastitis (Ingorged breast),101
Palpa,2066/67,Prolapsed uterus,951
Palpa,2066/67,Pelvic Inflamatory Disease (PID),3613
Palpa,2066/67,Leukerrhoea (Veginal discharge syndrom,1504
Palpa,2066/67,Menstrual disorder,1226
Palpa,2066/67,Disfunctional uterine bleeding,679
Palpa,2066/67,Breast lumps / Breast Abscess,341
Palpa,2066/67,Mastitis (Ingorged breast),101
Parbat,2066/67,Prolapsed uterus,414
Parbat,2066/67,Pelvic Inflamatory Disease (PID),1260
Parbat,2066/67,Leukerrhoea (Veginal discharge syndrom,485
Parbat,2066/67,Menstrual disorder,132
Parbat,2066/67,Disfunctional uterine bleeding,236
Parbat,2066/67,Breast lumps / Breast Abscess,92
Parbat,2066/67,Mastitis (Ingorged breast),71
Rupandehi,2066/67,Prolapsed uterus,0
Rupandehi,2066/67,Pelvic Inflamatory Disease (PID),0
Rupandehi,2066/67,Leukerrhoea (Veginal discharge syndrom,0
Rupandehi,2066/67,Menstrual disorder,0
Rupandehi,2066/67,Disfunctional uterine bleeding,0
Rupandehi,2066/67,Breast lumps / Breast Abscess,0
Rupandehi,2066/67,Mastitis (Ingorged breast),0
Syangja,2066/67,Prolapsed uterus,501
Syangja,2066/67,Pelvic Inflamatory Disease (PID),2110
Syangja,2066/67,Leukerrhoea (Veginal discharge syndrom,1935
Syangja,2066/67,Menstrual disorder,830
Syangja,2066/67,Disfunctional uterine bleeding,264
Syangja,2066/67,Breast lumps / Breast Abscess,245
Syangja,2066/67,Mastitis (Ingorged breast),125
Tanahu,2066/67,Prolapsed uterus,457
Tanahu,2066/67,Pelvic Inflamatory Disease (PID),1788
Tanahu,2066/67,Leukerrhoea (Veginal discharge syndrom,1093
Tanahu,2066/67,Menstrual disorder,423
Tanahu,2066/67,Disfunctional uterine bleeding,264
Tanahu,2066/67,Breast lumps / Breast Abscess,203
Tanahu,2066/67,Mastitis (Ingorged breast),59
Banke,2066/67,Prolapsed uterus,288
Banke,2066/67,Pelvic Inflamatory Disease (PID),1060
Banke,2066/67,Leukerrhoea (Veginal discharge syndrom,1534
Banke,2066/67,Menstrual disorder,462
Banke,2066/67,Disfunctional uterine bleeding,528
Banke,2066/67,Breast lumps / Breast Abscess,320
Banke,2066/67,Mastitis (Ingorged breast),82
Bardiya,2066/67,Prolapsed uterus,291
Bardiya,2066/67,Pelvic Inflamatory Disease (PID),1949
Bardiya,2066/67,Leukerrhoea (Veginal discharge syndrom,3804
Bardiya,2066/67,Menstrual disorder,1613
Bardiya,2066/67,Disfunctional uterine bleeding,1033
Bardiya,2066/67,Breast lumps / Breast Abscess,367
Bardiya,2066/67,Mastitis (Ingorged breast),182
Dailekh,2066/67,Prolapsed uterus,278
Dailekh,2066/67,Pelvic Inflamatory Disease (PID),1375
Dailekh,2066/67,Leukerrhoea (Veginal discharge syndrom,652
Dailekh,2066/67,Menstrual disorder,354
Dailekh,2066/67,Disfunctional uterine bleeding,609
Dailekh,2066/67,Breast lumps / Breast Abscess,196
Dailekh,2066/67,Mastitis (Ingorged breast),95
Dang,2066/67,Prolapsed uterus,206
Dang,2066/67,Pelvic Inflamatory Disease (PID),2484
Dang,2066/67,Leukerrhoea (Veginal discharge syndrom,2227
Dang,2066/67,Menstrual disorder,923
Dang,2066/67,Disfunctional uterine bleeding,769
Dang,2066/67,Breast lumps / Breast Abscess,521
Dang,2066/67,Mastitis (Ingorged breast),200
Dolpa,2066/67,Prolapsed uterus,22
Dolpa,2066/67,Pelvic Inflamatory Disease (PID),272
Dolpa,2066/67,Leukerrhoea (Veginal discharge syndrom,52
Dolpa,2066/67,Menstrual disorder,46
Dolpa,2066/67,Disfunctional uterine bleeding,8
Dolpa,2066/67,Breast lumps / Breast Abscess,27
Dolpa,2066/67,Mastitis (Ingorged breast),18
Humla,2066/67,Prolapsed uterus,111
Humla,2066/67,Pelvic Inflamatory Disease (PID),512
Humla,2066/67,Leukerrhoea (Veginal discharge syndrom,483
Humla,2066/67,Menstrual disorder,119
Humla,2066/67,Disfunctional uterine bleeding,101
Humla,2066/67,Breast lumps / Breast Abscess,166
Humla,2066/67,Mastitis (Ingorged breast),91
Jajarkot,2066/67,Prolapsed uterus,198
Jajarkot,2066/67,Pelvic Inflamatory Disease (PID),1241
Jajarkot,2066/67,Leukerrhoea (Veginal discharge syndrom,401
Jajarkot,2066/67,Menstrual disorder,327
Jajarkot,2066/67,Disfunctional uterine bleeding,189
Jajarkot,2066/67,Breast lumps / Breast Abscess,84
Jajarkot,2066/67,Mastitis (Ingorged breast),73
Jumla,2066/67,Prolapsed uterus,15
Jumla,2066/67,Pelvic Inflamatory Disease (PID),546
Jumla,2066/67,Leukerrhoea (Veginal discharge syndrom,146
Jumla,2066/67,Menstrual disorder,11
Jumla,2066/67,Disfunctional uterine bleeding,18
Jumla,2066/67,Breast lumps / Breast Abscess,28
Jumla,2066/67,Mastitis (Ingorged breast),20
Kalikot,2066/67,Prolapsed uterus,508
Kalikot,2066/67,Pelvic Inflamatory Disease (PID),904
Kalikot,2066/67,Leukerrhoea (Veginal discharge syndrom,791
Kalikot,2066/67,Menstrual disorder,643
Kalikot,2066/67,Disfunctional uterine bleeding,104
Kalikot,2066/67,Breast lumps / Breast Abscess,65
Kalikot,2066/67,Mastitis (Ingorged breast),16
Mugu,2066/67,Prolapsed uterus,80
Mugu,2066/67,Pelvic Inflamatory Disease (PID),287
Mugu,2066/67,Leukerrhoea (Veginal discharge syndrom,154
Mugu,2066/67,Menstrual disorder,116
Mugu,2066/67,Disfunctional uterine bleeding,80
Mugu,2066/67,Breast lumps / Breast Abscess,62
Mugu,2066/67,Mastitis (Ingorged breast),22
Pyuthan,2066/67,Prolapsed uterus,214
Pyuthan,2066/67,Pelvic Inflamatory Disease (PID),1989
Pyuthan,2066/67,Leukerrhoea (Veginal discharge syndrom,813
Pyuthan,2066/67,Menstrual disorder,359
Pyuthan,2066/67,Disfunctional uterine bleeding,271
Pyuthan,2066/67,Breast lumps / Breast Abscess,495
Pyuthan,2066/67,Mastitis (Ingorged breast),66
Rolpa,2066/67,Prolapsed uterus,431
Rolpa,2066/67,Pelvic Inflamatory Disease (PID),1722
Rolpa,2066/67,Leukerrhoea (Veginal discharge syndrom,832
Rolpa,2066/67,Menstrual disorder,594
Rolpa,2066/67,Disfunctional uterine bleeding,409
Rolpa,2066/67,Breast lumps / Breast Abscess,230
Rolpa,2066/67,Mastitis (Ingorged breast),117
Rukum,2066/67,Prolapsed uterus,307
Rukum,2066/67,Pelvic Inflamatory Disease (PID),1732
Rukum,2066/67,Leukerrhoea (Veginal discharge syndrom,808
Rukum,2066/67,Menstrual disorder,645
Rukum,2066/67,Disfunctional uterine bleeding,419
Rukum,2066/67,Breast lumps / Breast Abscess,165
Rukum,2066/67,Mastitis (Ingorged breast),79
Salyan,2066/67,Prolapsed uterus,592
Salyan,2066/67,Pelvic Inflamatory Disease (PID),2094
Salyan,2066/67,Leukerrhoea (Veginal discharge syndrom,1162
Salyan,2066/67,Menstrual disorder,529
Salyan,2066/67,Disfunctional uterine bleeding,399
Salyan,2066/67,Breast lumps / Breast Abscess,137
Salyan,2066/67,Mastitis (Ingorged breast),57
Surkhet,2066/67,Prolapsed uterus,337
Surkhet,2066/67,Pelvic Inflamatory Disease (PID),3706
Surkhet,2066/67,Leukerrhoea (Veginal discharge syndrom,1803
Surkhet,2066/67,Menstrual disorder,1046
Surkhet,2066/67,Disfunctional uterine bleeding,800
Surkhet,2066/67,Breast lumps / Breast Abscess,412
Surkhet,2066/67,Mastitis (Ingorged breast),168
Achham,2066/67,Prolapsed uterus,1006
Achham,2066/67,Pelvic Inflamatory Disease (PID),2622
Achham,2066/67,Leukerrhoea (Veginal discharge syndrom,2398
Achham,2066/67,Menstrual disorder,1993
Achham,2066/67,Disfunctional uterine bleeding,529
Achham,2066/67,Breast lumps / Breast Abscess,236
Achham,2066/67,Mastitis (Ingorged breast),92
Baitadi,2066/67,Prolapsed uterus,256
Baitadi,2066/67,Pelvic Inflamatory Disease (PID),1450
Baitadi,2066/67,Leukerrhoea (Veginal discharge syndrom,476
Baitadi,2066/67,Menstrual disorder,542
Baitadi,2066/67,Disfunctional uterine bleeding,351
Baitadi,2066/67,Breast lumps / Breast Abscess,177
Baitadi,2066/67,Mastitis (Ingorged breast),91
Bajhang,2066/67,Prolapsed uterus,106
Bajhang,2066/67,Pelvic Inflamatory Disease (PID),324
Bajhang,2066/67,Leukerrhoea (Veginal discharge syndrom,411
Bajhang,2066/67,Menstrual disorder,123
Bajhang,2066/67,Disfunctional uterine bleeding,275
Bajhang,2066/67,Breast lumps / Breast Abscess,106
Bajhang,2066/67,Mastitis (Ingorged breast),25
Bajura,2066/67,Prolapsed uterus,50
Bajura,2066/67,Pelvic Inflamatory Disease (PID),728
Bajura,2066/67,Leukerrhoea (Veginal discharge syndrom,212
Bajura,2066/67,Menstrual disorder,164
Bajura,2066/67,Disfunctional uterine bleeding,181
Bajura,2066/67,Breast lumps / Breast Abscess,59
Bajura,2066/67,Mastitis (Ingorged breast),24
Dadeldhura,2066/67,Prolapsed uterus,308
Dadeldhura,2066/67,Pelvic Inflamatory Disease (PID),2424
Dadeldhura,2066/67,Leukerrhoea (Veginal discharge syndrom,1001
Dadeldhura,2066/67,Menstrual disorder,345
Dadeldhura,2066/67,Disfunctional uterine bleeding,249
Dadeldhura,2066/67,Breast lumps / Breast Abscess,160
Dadeldhura,2066/67,Mastitis (Ingorged breast),84
Darchula,2066/67,Prolapsed uterus,40
Darchula,2066/67,Pelvic Inflamatory Disease (PID),686
Darchula,2066/67,Leukerrhoea (Veginal discharge syndrom,265
Darchula,2066/67,Menstrual disorder,154
Darchula,2066/67,Disfunctional uterine bleeding,247
Darchula,2066/67,Breast lumps / Breast Abscess,87
Darchula,2066/67,Mastitis (Ingorged breast),11
