Year BS,Year AD,District,zone,belt,region,Skin diseases,No of people,Zone,Belt,Region
2068/69,2011/12,Achham,Seti,Hill,Far-Western,Leukoderma,207,Seti,Hill,Far-Western
2068/69,2011/12,Achham,Seti,Hill,Far-Western,Lymphadenitis,120,Seti,Hill,Far-Western
2068/69,2011/12,Achham,Seti,Hill,Far-Western,Psoriasis,88,Seti,Hill,Far-Western
2068/69,2011/12,Achham,Seti,Hill,Far-Western,Scabies,6312,Seti,Hill,Far-Western
2069/70,2012/13,Achham,Seti,Hill,Far-Western,Abscess,5741,Seti,Hill,Far-Western
2069/70,2012/13,Achham,Seti,Hill,Far-Western,"Eczema/
Dermatatis",4446,Seti,Hill,Far-Western
2069/70,2012/13,Achham,Seti,Hill,Far-Western,"Fungal
Infection",5555,Seti,Hill,Far-Western
2069/70,2012/13,Achham,Seti,Hill,Far-Western,"Impegtigo/
Boils/
Furunculosis",6245,Seti,Hill,Far-Western
2069/70,2012/13,Achham,Seti,Hill,Far-Western,Leukoderma,252,Seti,Hill,Far-Western
2069/70,2012/13,Achham,Seti,Hill,Far-Western,Lymphadenitis,256,Seti,Hill,Far-Western
2069/70,2012/13,Achham,Seti,Hill,Far-Western,Psoriasis,118,Seti,Hill,Far-Western
2069/70,2012/13,Achham,Seti,Hill,Far-Western,Scabies,9751,Seti,Hill,Far-Western
2070/71,2013/14,Achham,Seti,Hill,Far-Western,Abscess,6114,Seti,Hill,Far-Western
2070/71,2013/14,Achham,Seti,Hill,Far-Western,"Eczema/
Dermatatis",4860,Seti,Hill,Far-Western
2070/71,2013/14,Achham,Seti,Hill,Far-Western,"Fungal
Infection",6673,Seti,Hill,Far-Western
2070/71,2013/14,Achham,Seti,Hill,Far-Western,"Impegtigo/
Boils/
Furunculosis",7315,Seti,Hill,Far-Western
2070/71,2013/14,Achham,Seti,Hill,Far-Western,Leukoderma,207,Seti,Hill,Far-Western
2070/71,2013/14,Achham,Seti,Hill,Far-Western,Lymphadenitis,233,Seti,Hill,Far-Western
2070/71,2013/14,Achham,Seti,Hill,Far-Western,Psoriasis,73,Seti,Hill,Far-Western
2070/71,2013/14,Achham,Seti,Hill,Far-Western,Scabies,15181,Seti,Hill,Far-Western
2066/67,2009/10,Arghakhanchi,Lumbini,Hill,Western,Abscess,3167,Lumbini,Hill,Western
2066/67,2009/10,Arghakhanchi,Lumbini,Hill,Western,"Eczema/
Dermatatis",3742,Lumbini,Hill,Western
2066/67,2009/10,Arghakhanchi,Lumbini,Hill,Western,"Fungal
Infection",4361,Lumbini,Hill,Western
2066/67,2009/10,Arghakhanchi,Lumbini,Hill,Western,"Impegtigo/
Boils/
Furunculosis",6653,Lumbini,Hill,Western
2066/67,2009/10,Arghakhanchi,Lumbini,Hill,Western,Leukoderma,149,Lumbini,Hill,Western
2066/67,2009/10,Arghakhanchi,Lumbini,Hill,Western,Lymphadenitis,731,Lumbini,Hill,Western
2066/67,2009/10,Arghakhanchi,Lumbini,Hill,Western,Psoriasis,48,Lumbini,Hill,Western
2066/67,2009/10,Arghakhanchi,Lumbini,Hill,Western,Scabies,5926,Lumbini,Hill,Western
2067/68,2010/11,Arghakhanchi,Lumbini,Hill,Western,Abscess,3244,Lumbini,Hill,Western
2067/68,2010/11,Arghakhanchi,Lumbini,Hill,Western,"Eczema/
Dermatatis",5003,Lumbini,Hill,Western
2067/68,2010/11,Arghakhanchi,Lumbini,Hill,Western,"Fungal
Infection",5167,Lumbini,Hill,Western
2067/68,2010/11,Arghakhanchi,Lumbini,Hill,Western,"Impegtigo/
Boils/
Furunculosis",6115,Lumbini,Hill,Western
2067/68,2010/11,Arghakhanchi,Lumbini,Hill,Western,Leukoderma,136,Lumbini,Hill,Western
2067/68,2010/11,Arghakhanchi,Lumbini,Hill,Western,Lymphadenitis,609,Lumbini,Hill,Western
2067/68,2010/11,Arghakhanchi,Lumbini,Hill,Western,Psoriasis,95,Lumbini,Hill,Western
2067/68,2010/11,Arghakhanchi,Lumbini,Hill,Western,Scabies,6396,Lumbini,Hill,Western
2068/69,2011/12,Arghakhanchi,Lumbini,Hill,Western,Abscess,2902,Lumbini,Hill,Western
2068/69,2011/12,Arghakhanchi,Lumbini,Hill,Western,"Eczema/
Dermatatis",4050,Lumbini,Hill,Western
2068/69,2011/12,Arghakhanchi,Lumbini,Hill,Western,"Fungal
Infection",4481,Lumbini,Hill,Western
2068/69,2011/12,Arghakhanchi,Lumbini,Hill,Western,"Impegtigo/
Boils/
Furunculosis",5556,Lumbini,Hill,Western
2068/69,2011/12,Arghakhanchi,Lumbini,Hill,Western,Leukoderma,178,Lumbini,Hill,Western
2068/69,2011/12,Arghakhanchi,Lumbini,Hill,Western,Lymphadenitis,622,Lumbini,Hill,Western
2068/69,2011/12,Arghakhanchi,Lumbini,Hill,Western,Psoriasis,118,Lumbini,Hill,Western
2068/69,2011/12,Arghakhanchi,Lumbini,Hill,Western,Scabies,5545,Lumbini,Hill,Western
2069/70,2012/13,Arghakhanchi,Lumbini,Hill,Western,Abscess,3012,Lumbini,Hill,Western
2069/70,2012/13,Arghakhanchi,Lumbini,Hill,Western,"Eczema/
Dermatatis",3566,Lumbini,Hill,Western
2069/70,2012/13,Arghakhanchi,Lumbini,Hill,Western,"Fungal
Infection",4276,Lumbini,Hill,Western
2069/70,2012/13,Arghakhanchi,Lumbini,Hill,Western,"Impegtigo/
Boils/
Furunculosis",5225,Lumbini,Hill,Western
2069/70,2012/13,Arghakhanchi,Lumbini,Hill,Western,Leukoderma,90,Lumbini,Hill,Western
2069/70,2012/13,Arghakhanchi,Lumbini,Hill,Western,Lymphadenitis,404,Lumbini,Hill,Western
2069/70,2012/13,Arghakhanchi,Lumbini,Hill,Western,Psoriasis,80,Lumbini,Hill,Western
2069/70,2012/13,Arghakhanchi,Lumbini,Hill,Western,Scabies,6263,Lumbini,Hill,Western
2070/71,2013/14,Arghakhanchi,Lumbini,Hill,Western,Abscess,2434,Lumbini,Hill,Western
2070/71,2013/14,Arghakhanchi,Lumbini,Hill,Western,"Eczema/
Dermatatis",3475,Lumbini,Hill,Western
2070/71,2013/14,Arghakhanchi,Lumbini,Hill,Western,"Fungal
Infection",4076,Lumbini,Hill,Western
2070/71,2013/14,Arghakhanchi,Lumbini,Hill,Western,"Impegtigo/
Boils/
Furunculosis",4804,Lumbini,Hill,Western
2070/71,2013/14,Arghakhanchi,Lumbini,Hill,Western,Leukoderma,40,Lumbini,Hill,Western
2070/71,2013/14,Arghakhanchi,Lumbini,Hill,Western,Lymphadenitis,340,Lumbini,Hill,Western
2070/71,2013/14,Arghakhanchi,Lumbini,Hill,Western,Psoriasis,70,Lumbini,Hill,Western
2070/71,2013/14,Arghakhanchi,Lumbini,Hill,Western,Scabies,5678,Lumbini,Hill,Western
2066/67,2009/10,Baglung,Dhawalagiri,Hill,Western,Abscess,3240,Dhawalagiri,Hill,Western
2066/67,2009/10,Baglung,Dhawalagiri,Hill,Western,"Eczema/
Dermatatis",4892,Dhawalagiri,Hill,Western
2066/67,2009/10,Baglung,Dhawalagiri,Hill,Western,"Fungal
Infection",3732,Dhawalagiri,Hill,Western
2066/67,2009/10,Baglung,Dhawalagiri,Hill,Western,"Impegtigo/
Boils/
Furunculosis",4801,Dhawalagiri,Hill,Western
2066/67,2009/10,Baglung,Dhawalagiri,Hill,Western,Leukoderma,244,Dhawalagiri,Hill,Western
2066/67,2009/10,Baglung,Dhawalagiri,Hill,Western,Lymphadenitis,577,Dhawalagiri,Hill,Western
2066/67,2009/10,Baglung,Dhawalagiri,Hill,Western,Psoriasis,155,Dhawalagiri,Hill,Western
2066/67,2009/10,Baglung,Dhawalagiri,Hill,Western,Scabies,3904,Dhawalagiri,Hill,Western
2067/68,2010/11,Baglung,Dhawalagiri,Hill,Western,Abscess,2939,Dhawalagiri,Hill,Western
2067/68,2010/11,Baglung,Dhawalagiri,Hill,Western,"Eczema/
Dermatatis",5913,Dhawalagiri,Hill,Western
2067/68,2010/11,Baglung,Dhawalagiri,Hill,Western,"Fungal
Infection",4535,Dhawalagiri,Hill,Western
2067/68,2010/11,Baglung,Dhawalagiri,Hill,Western,"Impegtigo/
Boils/
Furunculosis",5449,Dhawalagiri,Hill,Western
2067/68,2010/11,Baglung,Dhawalagiri,Hill,Western,Leukoderma,268,Dhawalagiri,Hill,Western
2067/68,2010/11,Baglung,Dhawalagiri,Hill,Western,Lymphadenitis,498,Dhawalagiri,Hill,Western
2067/68,2010/11,Baglung,Dhawalagiri,Hill,Western,Psoriasis,98,Dhawalagiri,Hill,Western
2067/68,2010/11,Baglung,Dhawalagiri,Hill,Western,Scabies,4831,Dhawalagiri,Hill,Western
2068/69,2011/12,Baglung,Dhawalagiri,Hill,Western,Abscess,2941,Dhawalagiri,Hill,Western
2068/69,2011/12,Baglung,Dhawalagiri,Hill,Western,"Eczema/
Dermatatis",6126,Dhawalagiri,Hill,Western
2068/69,2011/12,Baglung,Dhawalagiri,Hill,Western,"Fungal
Infection",4489,Dhawalagiri,Hill,Western
2068/69,2011/12,Baglung,Dhawalagiri,Hill,Western,"Impegtigo/
Boils/
Furunculosis",5541,Dhawalagiri,Hill,Western
2068/69,2011/12,Baglung,Dhawalagiri,Hill,Western,Leukoderma,198,Dhawalagiri,Hill,Western
2068/69,2011/12,Baglung,Dhawalagiri,Hill,Western,Lymphadenitis,463,Dhawalagiri,Hill,Western
2068/69,2011/12,Baglung,Dhawalagiri,Hill,Western,Psoriasis,136,Dhawalagiri,Hill,Western
2068/69,2011/12,Baglung,Dhawalagiri,Hill,Western,Scabies,4349,Dhawalagiri,Hill,Western
2069/70,2012/13,Baglung,Dhawalagiri,Hill,Western,Abscess,2794,Dhawalagiri,Hill,Western
2069/70,2012/13,Baglung,Dhawalagiri,Hill,Western,"Eczema/
Dermatatis",5732,Dhawalagiri,Hill,Western
2069/70,2012/13,Baglung,Dhawalagiri,Hill,Western,"Fungal
Infection",4393,Dhawalagiri,Hill,Western
2069/70,2012/13,Baglung,Dhawalagiri,Hill,Western,"Impegtigo/
Boils/
Furunculosis",4810,Dhawalagiri,Hill,Western
2069/70,2012/13,Baglung,Dhawalagiri,Hill,Western,Leukoderma,117,Dhawalagiri,Hill,Western
2069/70,2012/13,Baglung,Dhawalagiri,Hill,Western,Lymphadenitis,678,Dhawalagiri,Hill,Western
2069/70,2012/13,Baglung,Dhawalagiri,Hill,Western,Psoriasis,134,Dhawalagiri,Hill,Western
2069/70,2012/13,Baglung,Dhawalagiri,Hill,Western,Scabies,4110,Dhawalagiri,Hill,Western
2070/71,2013/14,Baglung,Dhawalagiri,Hill,Western,Abscess,2951,Dhawalagiri,Hill,Western
2070/71,2013/14,Baglung,Dhawalagiri,Hill,Western,"Eczema/
Dermatatis",6391,Dhawalagiri,Hill,Western
2070/71,2013/14,Baglung,Dhawalagiri,Hill,Western,"Fungal
Infection",4413,Dhawalagiri,Hill,Western
2070/71,2013/14,Baglung,Dhawalagiri,Hill,Western,"Impegtigo/
Boils/
Furunculosis",5572,Dhawalagiri,Hill,Western
2070/71,2013/14,Baglung,Dhawalagiri,Hill,Western,Leukoderma,149,Dhawalagiri,Hill,Western
2070/71,2013/14,Baglung,Dhawalagiri,Hill,Western,Lymphadenitis,454,Dhawalagiri,Hill,Western
2070/71,2013/14,Baglung,Dhawalagiri,Hill,Western,Psoriasis,56,Dhawalagiri,Hill,Western
2070/71,2013/14,Baglung,Dhawalagiri,Hill,Western,Scabies,5042,Dhawalagiri,Hill,Western
2066/67,2009/10,Baitadi,Mahakali,Hill,Far-Western,Abscess,4766,Mahakali,Hill,Far-Western
2066/67,2009/10,Baitadi,Mahakali,Hill,Far-Western,"Eczema/
Dermatatis",4197,Mahakali,Hill,Far-Western
2066/67,2009/10,Baitadi,Mahakali,Hill,Far-Western,"Fungal
Infection",4419,Mahakali,Hill,Far-Western
2066/67,2009/10,Baitadi,Mahakali,Hill,Far-Western,"Impegtigo/
Boils/
Furunculosis",5102,Mahakali,Hill,Far-Western
2066/67,2009/10,Baitadi,Mahakali,Hill,Far-Western,Leukoderma,116,Mahakali,Hill,Far-Western
2066/67,2009/10,Baitadi,Mahakali,Hill,Far-Western,Lymphadenitis,348,Mahakali,Hill,Far-Western
2066/67,2009/10,Baitadi,Mahakali,Hill,Far-Western,Psoriasis,49,Mahakali,Hill,Far-Western
2066/67,2009/10,Baitadi,Mahakali,Hill,Far-Western,Scabies,4284,Mahakali,Hill,Far-Western
2067/68,2010/11,Baitadi,Mahakali,Hill,Far-Western,Abscess,4753,Mahakali,Hill,Far-Western
2067/68,2010/11,Baitadi,Mahakali,Hill,Far-Western,"Eczema/
Dermatatis",4616,Mahakali,Hill,Far-Western
2067/68,2010/11,Baitadi,Mahakali,Hill,Far-Western,"Fungal
Infection",4214,Mahakali,Hill,Far-Western
2067/68,2010/11,Baitadi,Mahakali,Hill,Far-Western,"Impegtigo/
Boils/
Furunculosis",4742,Mahakali,Hill,Far-Western
2067/68,2010/11,Baitadi,Mahakali,Hill,Far-Western,Leukoderma,109,Mahakali,Hill,Far-Western
2067/68,2010/11,Baitadi,Mahakali,Hill,Far-Western,Lymphadenitis,419,Mahakali,Hill,Far-Western
2067/68,2010/11,Baitadi,Mahakali,Hill,Far-Western,Psoriasis,32,Mahakali,Hill,Far-Western
2067/68,2010/11,Baitadi,Mahakali,Hill,Far-Western,Scabies,3704,Mahakali,Hill,Far-Western
2068/69,2011/12,Baitadi,Mahakali,Hill,Far-Western,Abscess,4155,Mahakali,Hill,Far-Western
2068/69,2011/12,Baitadi,Mahakali,Hill,Far-Western,"Eczema/
Dermatatis",4059,Mahakali,Hill,Far-Western
2068/69,2011/12,Baitadi,Mahakali,Hill,Far-Western,"Fungal
Infection",3628,Mahakali,Hill,Far-Western
2068/69,2011/12,Baitadi,Mahakali,Hill,Far-Western,"Impegtigo/
Boils/
Furunculosis",5129,Mahakali,Hill,Far-Western
2068/69,2011/12,Baitadi,Mahakali,Hill,Far-Western,Leukoderma,78,Mahakali,Hill,Far-Western
2068/69,2011/12,Baitadi,Mahakali,Hill,Far-Western,Lymphadenitis,551,Mahakali,Hill,Far-Western
2068/69,2011/12,Baitadi,Mahakali,Hill,Far-Western,Psoriasis,52,Mahakali,Hill,Far-Western
2068/69,2011/12,Baitadi,Mahakali,Hill,Far-Western,Scabies,2800,Mahakali,Hill,Far-Western
2069/70,2012/13,Baitadi,Mahakali,Hill,Far-Western,Abscess,3337,Mahakali,Hill,Far-Western
2069/70,2012/13,Baitadi,Mahakali,Hill,Far-Western,"Eczema/
Dermatatis",4054,Mahakali,Hill,Far-Western
2069/70,2012/13,Baitadi,Mahakali,Hill,Far-Western,"Fungal
Infection",3358,Mahakali,Hill,Far-Western
2069/70,2012/13,Baitadi,Mahakali,Hill,Far-Western,"Impegtigo/
Boils/
Furunculosis",4594,Mahakali,Hill,Far-Western
2069/70,2012/13,Baitadi,Mahakali,Hill,Far-Western,Leukoderma,109,Mahakali,Hill,Far-Western
2069/70,2012/13,Baitadi,Mahakali,Hill,Far-Western,Lymphadenitis,498,Mahakali,Hill,Far-Western
2069/70,2012/13,Baitadi,Mahakali,Hill,Far-Western,Psoriasis,24,Mahakali,Hill,Far-Western
2069/70,2012/13,Baitadi,Mahakali,Hill,Far-Western,Scabies,2797,Mahakali,Hill,Far-Western
2070/71,2013/14,Baitadi,Mahakali,Hill,Far-Western,Abscess,2814,Mahakali,Hill,Far-Western
2070/71,2013/14,Baitadi,Mahakali,Hill,Far-Western,"Eczema/
Dermatatis",4104,Mahakali,Hill,Far-Western
2070/71,2013/14,Baitadi,Mahakali,Hill,Far-Western,"Fungal
Infection",3227,Mahakali,Hill,Far-Western
2070/71,2013/14,Baitadi,Mahakali,Hill,Far-Western,"Impegtigo/
Boils/
Furunculosis",3565,Mahakali,Hill,Far-Western
2070/71,2013/14,Baitadi,Mahakali,Hill,Far-Western,Leukoderma,41,Mahakali,Hill,Far-Western
2070/71,2013/14,Baitadi,Mahakali,Hill,Far-Western,Lymphadenitis,419,Mahakali,Hill,Far-Western
2070/71,2013/14,Baitadi,Mahakali,Hill,Far-Western,Psoriasis,10,Mahakali,Hill,Far-Western
2070/71,2013/14,Baitadi,Mahakali,Hill,Far-Western,Scabies,3522,Mahakali,Hill,Far-Western
2066/67,2009/10,Bajhang,Seti,Mountain,Far-Western,Abscess,2092,Seti,Mountain,Far-Western
2066/67,2009/10,Bajhang,Seti,Mountain,Far-Western,"Eczema/
Dermatatis",1722,Seti,Mountain,Far-Western
2066/67,2009/10,Bajhang,Seti,Mountain,Far-Western,"Fungal
Infection",2007,Seti,Mountain,Far-Western
2066/67,2009/10,Bajhang,Seti,Mountain,Far-Western,"Impegtigo/
Boils/
Furunculosis",2711,Seti,Mountain,Far-Western
2066/67,2009/10,Bajhang,Seti,Mountain,Far-Western,Leukoderma,34,Seti,Mountain,Far-Western
2066/67,2009/10,Bajhang,Seti,Mountain,Far-Western,Lymphadenitis,216,Seti,Mountain,Far-Western
2066/67,2009/10,Bajhang,Seti,Mountain,Far-Western,Psoriasis,68,Seti,Mountain,Far-Western
2066/67,2009/10,Bajhang,Seti,Mountain,Far-Western,Scabies,2676,Seti,Mountain,Far-Western
2067/68,2010/11,Bajhang,Seti,Mountain,Far-Western,Abscess,2459,Seti,Mountain,Far-Western
2067/68,2010/11,Bajhang,Seti,Mountain,Far-Western,"Eczema/
Dermatatis",1913,Seti,Mountain,Far-Western
2067/68,2010/11,Bajhang,Seti,Mountain,Far-Western,"Fungal
Infection",2368,Seti,Mountain,Far-Western
2067/68,2010/11,Bajhang,Seti,Mountain,Far-Western,"Impegtigo/
Boils/
Furunculosis",3399,Seti,Mountain,Far-Western
2067/68,2010/11,Bajhang,Seti,Mountain,Far-Western,Leukoderma,123,Seti,Mountain,Far-Western
2067/68,2010/11,Bajhang,Seti,Mountain,Far-Western,Lymphadenitis,187,Seti,Mountain,Far-Western
2067/68,2010/11,Bajhang,Seti,Mountain,Far-Western,Psoriasis,60,Seti,Mountain,Far-Western
2067/68,2010/11,Bajhang,Seti,Mountain,Far-Western,Scabies,2721,Seti,Mountain,Far-Western
2068/69,2011/12,Bajhang,Seti,Mountain,Far-Western,Abscess,2459,Seti,Mountain,Far-Western
2068/69,2011/12,Bajhang,Seti,Mountain,Far-Western,"Eczema/
Dermatatis",2473,Seti,Mountain,Far-Western
2068/69,2011/12,Bajhang,Seti,Mountain,Far-Western,"Fungal
Infection",2454,Seti,Mountain,Far-Western
2068/69,2011/12,Bajhang,Seti,Mountain,Far-Western,"Impegtigo/
Boils/
Furunculosis",2656,Seti,Mountain,Far-Western
2068/69,2011/12,Bajhang,Seti,Mountain,Far-Western,Leukoderma,366,Seti,Mountain,Far-Western
2068/69,2011/12,Bajhang,Seti,Mountain,Far-Western,Lymphadenitis,236,Seti,Mountain,Far-Western
2068/69,2011/12,Bajhang,Seti,Mountain,Far-Western,Psoriasis,82,Seti,Mountain,Far-Western
2068/69,2011/12,Bajhang,Seti,Mountain,Far-Western,Scabies,2522,Seti,Mountain,Far-Western
2069/70,2012/13,Bajhang,Seti,Mountain,Far-Western,Abscess,2494,Seti,Mountain,Far-Western
2069/70,2012/13,Bajhang,Seti,Mountain,Far-Western,"Eczema/
Dermatatis",2623,Seti,Mountain,Far-Western
2069/70,2012/13,Bajhang,Seti,Mountain,Far-Western,"Fungal
Infection",2718,Seti,Mountain,Far-Western
2069/70,2012/13,Bajhang,Seti,Mountain,Far-Western,"Impegtigo/
Boils/
Furunculosis",3650,Seti,Mountain,Far-Western
2069/70,2012/13,Bajhang,Seti,Mountain,Far-Western,Leukoderma,94,Seti,Mountain,Far-Western
2069/70,2012/13,Bajhang,Seti,Mountain,Far-Western,Lymphadenitis,334,Seti,Mountain,Far-Western
2069/70,2012/13,Bajhang,Seti,Mountain,Far-Western,Psoriasis,78,Seti,Mountain,Far-Western
2069/70,2012/13,Bajhang,Seti,Mountain,Far-Western,Scabies,2718,Seti,Mountain,Far-Western
2070/71,2013/14,Bajhang,Seti,Mountain,Far-Western,Abscess,2577,Seti,Mountain,Far-Western
2070/71,2013/14,Bajhang,Seti,Mountain,Far-Western,"Eczema/
Dermatatis",2831,Seti,Mountain,Far-Western
2070/71,2013/14,Bajhang,Seti,Mountain,Far-Western,"Fungal
Infection",3038,Seti,Mountain,Far-Western
2070/71,2013/14,Bajhang,Seti,Mountain,Far-Western,"Impegtigo/
Boils/
Furunculosis",3585,Seti,Mountain,Far-Western
2070/71,2013/14,Bajhang,Seti,Mountain,Far-Western,Leukoderma,175,Seti,Mountain,Far-Western
2070/71,2013/14,Bajhang,Seti,Mountain,Far-Western,Lymphadenitis,302,Seti,Mountain,Far-Western
2070/71,2013/14,Bajhang,Seti,Mountain,Far-Western,Psoriasis,69,Seti,Mountain,Far-Western
2070/71,2013/14,Bajhang,Seti,Mountain,Far-Western,Scabies,4359,Seti,Mountain,Far-Western
2066/67,2009/10,Bajura,Seti,Mountain,Far-Western,Abscess,2546,Seti,Mountain,Far-Western
2066/67,2009/10,Bajura,Seti,Mountain,Far-Western,"Eczema/
Dermatatis",2520,Seti,Mountain,Far-Western
2066/67,2009/10,Bajura,Seti,Mountain,Far-Western,"Fungal
Infection",2865,Seti,Mountain,Far-Western
2066/67,2009/10,Bajura,Seti,Mountain,Far-Western,"Impegtigo/
Boils/
Furunculosis",3311,Seti,Mountain,Far-Western
2066/67,2009/10,Bajura,Seti,Mountain,Far-Western,Leukoderma,153,Seti,Mountain,Far-Western
2066/67,2009/10,Bajura,Seti,Mountain,Far-Western,Lymphadenitis,89,Seti,Mountain,Far-Western
2066/67,2009/10,Bajura,Seti,Mountain,Far-Western,Psoriasis,15,Seti,Mountain,Far-Western
2066/67,2009/10,Bajura,Seti,Mountain,Far-Western,Scabies,2098,Seti,Mountain,Far-Western
2067/68,2010/11,Bajura,Seti,Mountain,Far-Western,Abscess,2153,Seti,Mountain,Far-Western
2067/68,2010/11,Bajura,Seti,Mountain,Far-Western,"Eczema/
Dermatatis",2471,Seti,Mountain,Far-Western
2067/68,2010/11,Bajura,Seti,Mountain,Far-Western,"Fungal
Infection",2818,Seti,Mountain,Far-Western
2067/68,2010/11,Bajura,Seti,Mountain,Far-Western,"Impegtigo/
Boils/
Furunculosis",2445,Seti,Mountain,Far-Western
2067/68,2010/11,Bajura,Seti,Mountain,Far-Western,Leukoderma,19,Seti,Mountain,Far-Western
2067/68,2010/11,Bajura,Seti,Mountain,Far-Western,Lymphadenitis,124,Seti,Mountain,Far-Western
2067/68,2010/11,Bajura,Seti,Mountain,Far-Western,Psoriasis,14,Seti,Mountain,Far-Western
2067/68,2010/11,Bajura,Seti,Mountain,Far-Western,Scabies,1965,Seti,Mountain,Far-Western
2068/69,2011/12,Bajura,Seti,Mountain,Far-Western,Abscess,2431,Seti,Mountain,Far-Western
2068/69,2011/12,Bajura,Seti,Mountain,Far-Western,"Eczema/
Dermatatis",2637,Seti,Mountain,Far-Western
2068/69,2011/12,Bajura,Seti,Mountain,Far-Western,"Fungal
Infection",2394,Seti,Mountain,Far-Western
2068/69,2011/12,Bajura,Seti,Mountain,Far-Western,"Impegtigo/
Boils/
Furunculosis",2506,Seti,Mountain,Far-Western
2068/69,2011/12,Bajura,Seti,Mountain,Far-Western,Leukoderma,20,Seti,Mountain,Far-Western
2068/69,2011/12,Bajura,Seti,Mountain,Far-Western,Lymphadenitis,52,Seti,Mountain,Far-Western
2068/69,2011/12,Bajura,Seti,Mountain,Far-Western,Psoriasis,17,Seti,Mountain,Far-Western
2068/69,2011/12,Bajura,Seti,Mountain,Far-Western,Scabies,2800,Seti,Mountain,Far-Western
2069/70,2012/13,Bajura,Seti,Mountain,Far-Western,Abscess,2618,Seti,Mountain,Far-Western
2069/70,2012/13,Bajura,Seti,Mountain,Far-Western,"Eczema/
Dermatatis",2458,Seti,Mountain,Far-Western
2069/70,2012/13,Bajura,Seti,Mountain,Far-Western,"Fungal
Infection",2583,Seti,Mountain,Far-Western
2069/70,2012/13,Bajura,Seti,Mountain,Far-Western,"Impegtigo/
Boils/
Furunculosis",3248,Seti,Mountain,Far-Western
2069/70,2012/13,Bajura,Seti,Mountain,Far-Western,Leukoderma,23,Seti,Mountain,Far-Western
2069/70,2012/13,Bajura,Seti,Mountain,Far-Western,Lymphadenitis,82,Seti,Mountain,Far-Western
2069/70,2012/13,Bajura,Seti,Mountain,Far-Western,Psoriasis,3,Seti,Mountain,Far-Western
2069/70,2012/13,Bajura,Seti,Mountain,Far-Western,Scabies,4134,Seti,Mountain,Far-Western
2070/71,2013/14,Bajura,Seti,Mountain,Far-Western,Abscess,2739,Seti,Mountain,Far-Western
2070/71,2013/14,Bajura,Seti,Mountain,Far-Western,"Eczema/
Dermatatis",2892,Seti,Mountain,Far-Western
2070/71,2013/14,Bajura,Seti,Mountain,Far-Western,"Fungal
Infection",3388,Seti,Mountain,Far-Western
2070/71,2013/14,Bajura,Seti,Mountain,Far-Western,"Impegtigo/
Boils/
Furunculosis",2323,Seti,Mountain,Far-Western
2070/71,2013/14,Bajura,Seti,Mountain,Far-Western,Leukoderma,3,Seti,Mountain,Far-Western
2070/71,2013/14,Bajura,Seti,Mountain,Far-Western,Lymphadenitis,142,Seti,Mountain,Far-Western
2070/71,2013/14,Bajura,Seti,Mountain,Far-Western,Psoriasis,9,Seti,Mountain,Far-Western
2070/71,2013/14,Bajura,Seti,Mountain,Far-Western,Scabies,5368,Seti,Mountain,Far-Western
