District,zone,belt,region,Year BS,Year AD,Conducted by,Institution,Number of women,Zone,Belt,Region
Jhapa,Mechi,Terai,Eastern,2066/67,2009/10,,At BEOC/CEOC centers,2661,Mechi,Terai,Eastern
Khotang,Sagarmatha,Hill,Eastern,2066/67,2009/10,Conducted by SBA,Health Institution,645,Sagarmatha,Hill,Eastern
Khotang,Sagarmatha,Hill,Eastern,2066/67,2009/10,Conducted by SBA,Home,642,Sagarmatha,Hill,Eastern
Khotang,Sagarmatha,Hill,Eastern,2066/67,2009/10,Conducted by health workers,Health Institution ,175,Sagarmatha,Hill,Eastern
Khotang,Sagarmatha,Hill,Eastern,2066/67,2009/10,Conducted by health workers,Home,747,Sagarmatha,Hill,Eastern
Khotang,Sagarmatha,Hill,Eastern,2066/67,2009/10,,At BEOC/CEOC centers,296,Sagarmatha,Hill,Eastern
Morang,Kosi,Terai,Eastern,2066/67,2009/10,Conducted by SBA,Health Institution,9258,Kosi,Terai,Eastern
Morang,Kosi,Terai,Eastern,2066/67,2009/10,Conducted by SBA,Home,377,Kosi,Terai,Eastern
Morang,Kosi,Terai,Eastern,2066/67,2009/10,Conducted by health workers,Health Institution ,113,Kosi,Terai,Eastern
Morang,Kosi,Terai,Eastern,2066/67,2009/10,Conducted by health workers,Home,418,Kosi,Terai,Eastern
Morang,Kosi,Terai,Eastern,2066/67,2009/10,,At BEOC/CEOC centers,6211,Kosi,Terai,Eastern
Okhaldhunga,Sagarmatha,Hill,Eastern,2066/67,2009/10,Conducted by SBA,Health Institution,539,Sagarmatha,Hill,Eastern
Okhaldhunga,Sagarmatha,Hill,Eastern,2066/67,2009/10,Conducted by SBA,Home,295,Sagarmatha,Hill,Eastern
Okhaldhunga,Sagarmatha,Hill,Eastern,2066/67,2009/10,Conducted by health workers,Health Institution ,201,Sagarmatha,Hill,Eastern
Okhaldhunga,Sagarmatha,Hill,Eastern,2066/67,2009/10,Conducted by health workers,Home,772,Sagarmatha,Hill,Eastern
Okhaldhunga,Sagarmatha,Hill,Eastern,2066/67,2009/10,,At BEOC/CEOC centers,307,Sagarmatha,Hill,Eastern
Panchthar,Mechi,Hill,Eastern,2066/67,2009/10,Conducted by SBA,Health Institution,1038,Mechi,Hill,Eastern
Panchthar,Mechi,Hill,Eastern,2066/67,2009/10,Conducted by SBA,Home,109,Mechi,Hill,Eastern
Panchthar,Mechi,Hill,Eastern,2066/67,2009/10,Conducted by health workers,Health Institution ,94,Mechi,Hill,Eastern
Panchthar,Mechi,Hill,Eastern,2066/67,2009/10,Conducted by health workers,Home,215,Mechi,Hill,Eastern
Panchthar,Mechi,Hill,Eastern,2066/67,2009/10,,At BEOC/CEOC centers,575,Mechi,Hill,Eastern
Sankhuwasabha,Kosi,Mountain,Eastern,2066/67,2009/10,Conducted by SBA,Health Institution,1043,Kosi,Mountain,Eastern
Sankhuwasabha,Kosi,Mountain,Eastern,2066/67,2009/10,Conducted by SBA,Home,45,Kosi,Mountain,Eastern
Sankhuwasabha,Kosi,Mountain,Eastern,2066/67,2009/10,Conducted by health workers,Health Institution ,167,Kosi,Mountain,Eastern
Sankhuwasabha,Kosi,Mountain,Eastern,2066/67,2009/10,Conducted by health workers,Home,135,Kosi,Mountain,Eastern
Sankhuwasabha,Kosi,Mountain,Eastern,2066/67,2009/10,,At BEOC/CEOC centers,387,Kosi,Mountain,Eastern
Saptari,Sagarmatha,Terai,Eastern,2066/67,2009/10,Conducted by SBA,Health Institution,5480,Sagarmatha,Terai,Eastern
Saptari,Sagarmatha,Terai,Eastern,2066/67,2009/10,Conducted by SBA,Home,1109,Sagarmatha,Terai,Eastern
Saptari,Sagarmatha,Terai,Eastern,2066/67,2009/10,Conducted by health workers,Health Institution ,139,Sagarmatha,Terai,Eastern
Saptari,Sagarmatha,Terai,Eastern,2066/67,2009/10,Conducted by health workers,Home,2915,Sagarmatha,Terai,Eastern
Saptari,Sagarmatha,Terai,Eastern,2066/67,2009/10,,At BEOC/CEOC centers,3944,Sagarmatha,Terai,Eastern
Siraha,Sagarmatha,Terai,Eastern,2066/67,2009/10,Conducted by SBA,Health Institution,2519,Sagarmatha,Terai,Eastern
Siraha,Sagarmatha,Terai,Eastern,2066/67,2009/10,Conducted by SBA,Home,1296,Sagarmatha,Terai,Eastern
Siraha,Sagarmatha,Terai,Eastern,2066/67,2009/10,Conducted by health workers,Health Institution ,300,Sagarmatha,Terai,Eastern
Siraha,Sagarmatha,Terai,Eastern,2066/67,2009/10,Conducted by health workers,Home,4645,Sagarmatha,Terai,Eastern
Siraha,Sagarmatha,Terai,Eastern,2066/67,2009/10,,At BEOC/CEOC centers,2734,Sagarmatha,Terai,Eastern
Solukhumbu,Sagarmatha,Mountain,Eastern,2066/67,2009/10,Conducted by SBA,Health Institution,678,Sagarmatha,Mountain,Eastern
Solukhumbu,Sagarmatha,Mountain,Eastern,2066/67,2009/10,Conducted by SBA,Home,498,Sagarmatha,Mountain,Eastern
Solukhumbu,Sagarmatha,Mountain,Eastern,2066/67,2009/10,Conducted by health workers,Health Institution ,82,Sagarmatha,Mountain,Eastern
Solukhumbu,Sagarmatha,Mountain,Eastern,2066/67,2009/10,Conducted by health workers,Home,534,Sagarmatha,Mountain,Eastern
Solukhumbu,Sagarmatha,Mountain,Eastern,2066/67,2009/10,,At BEOC/CEOC centers,178,Sagarmatha,Mountain,Eastern
Sunsari,Kosi,Terai,Eastern,2066/67,2009/10,Conducted by SBA,Health Institution,11884,Kosi,Terai,Eastern
Sunsari,Kosi,Terai,Eastern,2066/67,2009/10,Conducted by SBA,Home,329,Kosi,Terai,Eastern
Sunsari,Kosi,Terai,Eastern,2066/67,2009/10,Conducted by health workers,Health Institution ,66,Kosi,Terai,Eastern
Sunsari,Kosi,Terai,Eastern,2066/67,2009/10,Conducted by health workers,Home,343,Kosi,Terai,Eastern
Sunsari,Kosi,Terai,Eastern,2066/67,2009/10,,At BEOC/CEOC centers,9941,Kosi,Terai,Eastern
Taplejung,Mechi,Mountain,Eastern,2066/67,2009/10,Conducted by SBA,Health Institution,389,Mechi,Mountain,Eastern
Taplejung,Mechi,Mountain,Eastern,2066/67,2009/10,Conducted by SBA,Home,161,Mechi,Mountain,Eastern
Taplejung,Mechi,Mountain,Eastern,2066/67,2009/10,Conducted by health workers,Health Institution ,117,Mechi,Mountain,Eastern
Taplejung,Mechi,Mountain,Eastern,2066/67,2009/10,Conducted by health workers,Home,915,Mechi,Mountain,Eastern
Taplejung,Mechi,Mountain,Eastern,2066/67,2009/10,,At BEOC/CEOC centers,116,Mechi,Mountain,Eastern
Terhathum,Kosi,Hill,Eastern,2066/67,2009/10,Conducted by SBA,Health Institution,372,Kosi,Hill,Eastern
Terhathum,Kosi,Hill,Eastern,2066/67,2009/10,Conducted by SBA,Home,164,Kosi,Hill,Eastern
Terhathum,Kosi,Hill,Eastern,2066/67,2009/10,Conducted by health workers,Health Institution ,61,Kosi,Hill,Eastern
Terhathum,Kosi,Hill,Eastern,2066/67,2009/10,Conducted by health workers,Home,481,Kosi,Hill,Eastern
Terhathum,Kosi,Hill,Eastern,2066/67,2009/10,,At BEOC/CEOC centers,44,Kosi,Hill,Eastern
Udayapur,Sagarmatha,Hill,Eastern,2066/67,2009/10,Conducted by SBA,Health Institution,891,Sagarmatha,Hill,Eastern
Udayapur,Sagarmatha,Hill,Eastern,2066/67,2009/10,Conducted by SBA,Home,215,Sagarmatha,Hill,Eastern
Udayapur,Sagarmatha,Hill,Eastern,2066/67,2009/10,Conducted by health workers,Health Institution ,143,Sagarmatha,Hill,Eastern
Udayapur,Sagarmatha,Hill,Eastern,2066/67,2009/10,Conducted by health workers,Home,594,Sagarmatha,Hill,Eastern
Udayapur,Sagarmatha,Hill,Eastern,2066/67,2009/10,,At BEOC/CEOC centers,578,Sagarmatha,Hill,Eastern
Bara,Narayani,Terai,Central,2066/67,2009/10,Conducted by SBA,Health Institution,2022,Narayani,Terai,Central
Bara,Narayani,Terai,Central,2066/67,2009/10,Conducted by SBA,Home,1577,Narayani,Terai,Central
Bara,Narayani,Terai,Central,2066/67,2009/10,Conducted by health workers,Health Institution ,515,Narayani,Terai,Central
Bara,Narayani,Terai,Central,2066/67,2009/10,Conducted by health workers,Home,5904,Narayani,Terai,Central
Bara,Narayani,Terai,Central,2066/67,2009/10,,At BEOC/CEOC centers,39,Narayani,Terai,Central
Bhaktapur,Bagmati,Hill,Central,2066/67,2009/10,Conducted by SBA,Health Institution,1134,Bagmati,Hill,Central
Bhaktapur,Bagmati,Hill,Central,2066/67,2009/10,Conducted by SBA,Home,94,Bagmati,Hill,Central
Bhaktapur,Bagmati,Hill,Central,2066/67,2009/10,Conducted by health workers,Health Institution ,0,Bagmati,Hill,Central
Bhaktapur,Bagmati,Hill,Central,2066/67,2009/10,Conducted by health workers,Home,8,Bagmati,Hill,Central
Bhaktapur,Bagmati,Hill,Central,2066/67,2009/10,,At BEOC/CEOC centers,0,Bagmati,Hill,Central
Chitawan,Narayani,Terai,Central,2066/67,2009/10,Conducted by SBA,Health Institution,5395,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2066/67,2009/10,Conducted by SBA,Home,147,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2066/67,2009/10,Conducted by health workers,Health Institution ,1467,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2066/67,2009/10,Conducted by health workers,Home,235,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2066/67,2009/10,,At BEOC/CEOC centers,3666,Narayani,Terai,Central
Dhading,Bagmati,Hill,Central,2066/67,2009/10,Conducted by SBA,Health Institution,1074,Bagmati,Hill,Central
Dhading,Bagmati,Hill,Central,2066/67,2009/10,Conducted by SBA,Home,264,Bagmati,Hill,Central
Dhading,Bagmati,Hill,Central,2066/67,2009/10,Conducted by health workers,Health Institution ,295,Bagmati,Hill,Central
Dhading,Bagmati,Hill,Central,2066/67,2009/10,Conducted by health workers,Home,1009,Bagmati,Hill,Central
Dhading,Bagmati,Hill,Central,2066/67,2009/10,,At BEOC/CEOC centers,93,Bagmati,Hill,Central
Dhanusa,Janakpur,Terai,Central,2066/67,2009/10,Conducted by SBA,Health Institution,7833,Janakpur,Terai,Central
Dhanusa,Janakpur,Terai,Central,2066/67,2009/10,Conducted by SBA,Home,965,Janakpur,Terai,Central
Dhanusa,Janakpur,Terai,Central,2066/67,2009/10,Conducted by health workers,Health Institution ,477,Janakpur,Terai,Central
Dhanusa,Janakpur,Terai,Central,2066/67,2009/10,Conducted by health workers,Home,7394,Janakpur,Terai,Central
Dhanusa,Janakpur,Terai,Central,2066/67,2009/10,,At BEOC/CEOC centers,76,Janakpur,Terai,Central
Dolakha,Janakpur,Mountain,Central,2066/67,2009/10,Conducted by SBA,Health Institution,378,Janakpur,Mountain,Central
Dolakha,Janakpur,Mountain,Central,2066/67,2009/10,Conducted by SBA,Home,157,Janakpur,Mountain,Central
Dolakha,Janakpur,Mountain,Central,2066/67,2009/10,Conducted by health workers,Health Institution ,198,Janakpur,Mountain,Central
Dolakha,Janakpur,Mountain,Central,2066/67,2009/10,Conducted by health workers,Home,745,Janakpur,Mountain,Central
Dolakha,Janakpur,Mountain,Central,2066/67,2009/10,,At BEOC/CEOC centers,395,Janakpur,Mountain,Central
Kathmandu,Bagmati,Hill,Central,2066/67,2009/10,Conducted by SBA,Health Institution,24861,Bagmati,Hill,Central
Kathmandu,Bagmati,Hill,Central,2066/67,2009/10,Conducted by SBA,Home,276,Bagmati,Hill,Central
Kathmandu,Bagmati,Hill,Central,2066/67,2009/10,Conducted by health workers,Health Institution ,177,Bagmati,Hill,Central
Kathmandu,Bagmati,Hill,Central,2066/67,2009/10,Conducted by health workers,Home,297,Bagmati,Hill,Central
Kathmandu,Bagmati,Hill,Central,2066/67,2009/10,,At BEOC/CEOC centers,2347,Bagmati,Hill,Central
Kavre,Bagmati,Hill,Central,2066/67,2009/10,Conducted by SBA,Health Institution,3327,Bagmati,Hill,Central
Kavre,Bagmati,Hill,Central,2066/67,2009/10,Conducted by SBA,Home,114,Bagmati,Hill,Central
Kavre,Bagmati,Hill,Central,2066/67,2009/10,Conducted by health workers,Health Institution ,81,Bagmati,Hill,Central
Kavre,Bagmati,Hill,Central,2066/67,2009/10,Conducted by health workers,Home,236,Bagmati,Hill,Central
Kavre,Bagmati,Hill,Central,2066/67,2009/10,,At BEOC/CEOC centers,1969,Bagmati,Hill,Central
Lalitpur,Bagmati,Hill,Central,2066/67,2009/10,Conducted by SBA,Health Institution,7865,Bagmati,Hill,Central
Lalitpur,Bagmati,Hill,Central,2066/67,2009/10,Conducted by SBA,Home,28,Bagmati,Hill,Central
Lalitpur,Bagmati,Hill,Central,2066/67,2009/10,Conducted by health workers,Health Institution ,518,Bagmati,Hill,Central
Lalitpur,Bagmati,Hill,Central,2066/67,2009/10,Conducted by health workers,Home,0,Bagmati,Hill,Central
Lalitpur,Bagmati,Hill,Central,2066/67,2009/10,,At BEOC/CEOC centers,0,Bagmati,Hill,Central
Mahottari,Janakpur,Terai,Central,2066/67,2009/10,Conducted by SBA,Health Institution,1694,Janakpur,Terai,Central
Mahottari,Janakpur,Terai,Central,2066/67,2009/10,Conducted by SBA,Home,1049,Janakpur,Terai,Central
Mahottari,Janakpur,Terai,Central,2066/67,2009/10,Conducted by health workers,Health Institution ,1063,Janakpur,Terai,Central
Mahottari,Janakpur,Terai,Central,2066/67,2009/10,Conducted by health workers,Home,6325,Janakpur,Terai,Central
Mahottari,Janakpur,Terai,Central,2066/67,2009/10,,At BEOC/CEOC centers,226,Janakpur,Terai,Central
Makwanpur,Narayani,Hill,Central,2066/67,2009/10,Conducted by SBA,Health Institution,2241,Narayani,Hill,Central
Makwanpur,Narayani,Hill,Central,2066/67,2009/10,Conducted by SBA,Home,79,Narayani,Hill,Central
Makwanpur,Narayani,Hill,Central,2066/67,2009/10,Conducted by health workers,Health Institution ,72,Narayani,Hill,Central
Makwanpur,Narayani,Hill,Central,2066/67,2009/10,Conducted by health workers,Home,75,Narayani,Hill,Central
Makwanpur,Narayani,Hill,Central,2066/67,2009/10,,At BEOC/CEOC centers,189,Narayani,Hill,Central
Nuwakot,Bagmati,Hill,Central,2066/67,2009/10,Conducted by SBA,Health Institution,1041,Bagmati,Hill,Central
Nuwakot,Bagmati,Hill,Central,2066/67,2009/10,Conducted by SBA,Home,291,Bagmati,Hill,Central
Nuwakot,Bagmati,Hill,Central,2066/67,2009/10,Conducted by health workers,Health Institution ,415,Bagmati,Hill,Central
Nuwakot,Bagmati,Hill,Central,2066/67,2009/10,Conducted by health workers,Home,679,Bagmati,Hill,Central
Nuwakot,Bagmati,Hill,Central,2066/67,2009/10,,At BEOC/CEOC centers,0,Bagmati,Hill,Central
Parsa,Narayani,Terai,Central,2066/67,2009/10,Conducted by SBA,Health Institution,7397,Narayani,Terai,Central
Parsa,Narayani,Terai,Central,2066/67,2009/10,Conducted by SBA,Home,230,Narayani,Terai,Central
Parsa,Narayani,Terai,Central,2066/67,2009/10,Conducted by health workers,Health Institution ,909,Narayani,Terai,Central
Parsa,Narayani,Terai,Central,2066/67,2009/10,Conducted by health workers,Home,0,Narayani,Terai,Central
Parsa,Narayani,Terai,Central,2066/67,2009/10,,At BEOC/CEOC centers,0,Narayani,Terai,Central
Ramechhap,Janakpur,Hill,Central,2066/67,2009/10,Conducted by SBA,Health Institution,553,Janakpur,Hill,Central
Ramechhap,Janakpur,Hill,Central,2066/67,2009/10,Conducted by SBA,Home,235,Janakpur,Hill,Central
Ramechhap,Janakpur,Hill,Central,2066/67,2009/10,Conducted by health workers,Health Institution ,105,Janakpur,Hill,Central
Ramechhap,Janakpur,Hill,Central,2066/67,2009/10,Conducted by health workers,Home,338,Janakpur,Hill,Central
Ramechhap,Janakpur,Hill,Central,2066/67,2009/10,,At BEOC/CEOC centers,0,Janakpur,Hill,Central
Rasuwa,Bagmati,Mountain,Central,2066/67,2009/10,Conducted by SBA,Health Institution,160,Bagmati,Mountain,Central
Rasuwa,Bagmati,Mountain,Central,2066/67,2009/10,Conducted by SBA,Home,55,Bagmati,Mountain,Central
Rasuwa,Bagmati,Mountain,Central,2066/67,2009/10,Conducted by health workers,Health Institution ,53,Bagmati,Mountain,Central
Rasuwa,Bagmati,Mountain,Central,2066/67,2009/10,Conducted by health workers,Home,161,Bagmati,Mountain,Central
Rasuwa,Bagmati,Mountain,Central,2066/67,2009/10,,At BEOC/CEOC centers,0,Bagmati,Mountain,Central
Rautahat,Narayani,Terai,Central,2066/67,2009/10,Conducted by SBA,Health Institution,692,Narayani,Terai,Central
Rautahat,Narayani,Terai,Central,2066/67,2009/10,Conducted by SBA,Home,1054,Narayani,Terai,Central
Rautahat,Narayani,Terai,Central,2066/67,2009/10,Conducted by health workers,Health Institution ,922,Narayani,Terai,Central
Rautahat,Narayani,Terai,Central,2066/67,2009/10,Conducted by health workers,Home,6197,Narayani,Terai,Central
Rautahat,Narayani,Terai,Central,2066/67,2009/10,,At BEOC/CEOC centers,570,Narayani,Terai,Central
Sarlahi,Janakpur,Terai,Central,2066/67,2009/10,Conducted by SBA,Health Institution,1840,Janakpur,Terai,Central
Sarlahi,Janakpur,Terai,Central,2066/67,2009/10,Conducted by SBA,Home,741,Janakpur,Terai,Central
Sarlahi,Janakpur,Terai,Central,2066/67,2009/10,Conducted by health workers,Health Institution ,80,Janakpur,Terai,Central
Sarlahi,Janakpur,Terai,Central,2066/67,2009/10,Conducted by health workers,Home,4997,Janakpur,Terai,Central
Sarlahi,Janakpur,Terai,Central,2066/67,2009/10,,At BEOC/CEOC centers,0,Janakpur,Terai,Central
Sindhuli,Janakpur,Hill,Central,2066/67,2009/10,Conducted by SBA,Health Institution,973,Janakpur,Hill,Central
Sindhuli,Janakpur,Hill,Central,2066/67,2009/10,Conducted by SBA,Home,635,Janakpur,Hill,Central
Sindhuli,Janakpur,Hill,Central,2066/67,2009/10,Conducted by health workers,Health Institution ,211,Janakpur,Hill,Central
Sindhuli,Janakpur,Hill,Central,2066/67,2009/10,Conducted by health workers,Home,1227,Janakpur,Hill,Central
Sindhuli,Janakpur,Hill,Central,2066/67,2009/10,,At BEOC/CEOC centers,63,Janakpur,Hill,Central
Sindhupalchok,Bagmati,Mountain,Central,2066/67,2009/10,Conducted by SBA,Health Institution,993,Bagmati,Mountain,Central
Sindhupalchok,Bagmati,Mountain,Central,2066/67,2009/10,Conducted by SBA,Home,118,Bagmati,Mountain,Central
Sindhupalchok,Bagmati,Mountain,Central,2066/67,2009/10,Conducted by health workers,Health Institution ,47,Bagmati,Mountain,Central
Sindhupalchok,Bagmati,Mountain,Central,2066/67,2009/10,Conducted by health workers,Home,553,Bagmati,Mountain,Central
Sindhupalchok,Bagmati,Mountain,Central,2066/67,2009/10,,At BEOC/CEOC centers,190,Bagmati,Mountain,Central
Arghakhanchi,Lumbini,Hill,Western,2066/67,2009/10,Conducted by SBA,Health Institution,685,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2066/67,2009/10,Conducted by SBA,Home,303,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2066/67,2009/10,Conducted by health workers,Health Institution ,65,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2066/67,2009/10,Conducted by health workers,Home,768,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2066/67,2009/10,,At BEOC/CEOC centers,26,Lumbini,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2066/67,2009/10,Conducted by SBA,Health Institution,1430,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2066/67,2009/10,Conducted by SBA,Home,550,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2066/67,2009/10,Conducted by health workers,Health Institution ,202,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2066/67,2009/10,Conducted by health workers,Home,1182,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2066/67,2009/10,,At BEOC/CEOC centers,1138,Dhawalagiri,Hill,Western
Gorkha,Gandaki,Hill,Western,2066/67,2009/10,Conducted by SBA,Health Institution,1199,Gandaki,Hill,Western
Gorkha,Gandaki,Hill,Western,2066/67,2009/10,Conducted by SBA,Home,70,Gandaki,Hill,Western
Gorkha,Gandaki,Hill,Western,2066/67,2009/10,Conducted by health workers,Health Institution ,303,Gandaki,Hill,Western
Gorkha,Gandaki,Hill,Western,2066/67,2009/10,Conducted by health workers,Home,748,Gandaki,Hill,Western
Gorkha,Gandaki,Hill,Western,2066/67,2009/10,,At BEOC/CEOC centers,360,Gandaki,Hill,Western
Gulmi,Lumbini,Hill,Western,2066/67,2009/10,Conducted by SBA,Health Institution,1179,Lumbini,Hill,Western
Gulmi,Lumbini,Hill,Western,2066/67,2009/10,Conducted by SBA,Home,538,Lumbini,Hill,Western
Gulmi,Lumbini,Hill,Western,2066/67,2009/10,Conducted by health workers,Health Institution ,191,Lumbini,Hill,Western
Gulmi,Lumbini,Hill,Western,2066/67,2009/10,Conducted by health workers,Home,1117,Lumbini,Hill,Western
Gulmi,Lumbini,Hill,Western,2066/67,2009/10,,At BEOC/CEOC centers,686,Lumbini,Hill,Western
Kapilbastu,Lumbini,Terai,Western,2066/67,2009/10,Conducted by SBA,Health Institution,968,Lumbini,Terai,Western
Kapilbastu,Lumbini,Terai,Western,2066/67,2009/10,Conducted by SBA,Home,1261,Lumbini,Terai,Western
Kapilbastu,Lumbini,Terai,Western,2066/67,2009/10,Conducted by health workers,Health Institution ,48,Lumbini,Terai,Western
Kapilbastu,Lumbini,Terai,Western,2066/67,2009/10,Conducted by health workers,Home,4880,Lumbini,Terai,Western
Kapilbastu,Lumbini,Terai,Western,2066/67,2009/10,,At BEOC/CEOC centers,0,Lumbini,Terai,Western
Kaski,Gandaki,Hill,Western,2066/67,2009/10,Conducted by SBA,Health Institution,9986,Gandaki,Hill,Western
Kaski,Gandaki,Hill,Western,2066/67,2009/10,Conducted by SBA,Home,117,Gandaki,Hill,Western
Kaski,Gandaki,Hill,Western,2066/67,2009/10,Conducted by health workers,Health Institution ,53,Gandaki,Hill,Western
Kaski,Gandaki,Hill,Western,2066/67,2009/10,Conducted by health workers,Home,234,Gandaki,Hill,Western
Kaski,Gandaki,Hill,Western,2066/67,2009/10,,At BEOC/CEOC centers,9805,Gandaki,Hill,Western
Lamjung,Gandaki,Hill,Western,2066/67,2009/10,Conducted by SBA,Health Institution,1398,Gandaki,Hill,Western
Lamjung,Gandaki,Hill,Western,2066/67,2009/10,Conducted by SBA,Home,109,Gandaki,Hill,Western
Lamjung,Gandaki,Hill,Western,2066/67,2009/10,Conducted by health workers,Health Institution ,157,Gandaki,Hill,Western
Lamjung,Gandaki,Hill,Western,2066/67,2009/10,Conducted by health workers,Home,260,Gandaki,Hill,Western
Lamjung,Gandaki,Hill,Western,2066/67,2009/10,,At BEOC/CEOC centers,75,Gandaki,Hill,Western
Manang,Gandaki,Mountain,Western,2066/67,2009/10,Conducted by SBA,Health Institution,3,Gandaki,Mountain,Western
Manang,Gandaki,Mountain,Western,2066/67,2009/10,Conducted by SBA,Home,11,Gandaki,Mountain,Western
Manang,Gandaki,Mountain,Western,2066/67,2009/10,Conducted by health workers,Health Institution ,5,Gandaki,Mountain,Western
Manang,Gandaki,Mountain,Western,2066/67,2009/10,Conducted by health workers,Home,2,Gandaki,Mountain,Western
Manang,Gandaki,Mountain,Western,2066/67,2009/10,,At BEOC/CEOC centers,0,Gandaki,Mountain,Western
Mustang,Dhawalagiri,Mountain,Western,2066/67,2009/10,Conducted by SBA,Health Institution,67,Dhawalagiri,Mountain,Western
Mustang,Dhawalagiri,Mountain,Western,2066/67,2009/10,Conducted by SBA,Home,5,Dhawalagiri,Mountain,Western
Mustang,Dhawalagiri,Mountain,Western,2066/67,2009/10,Conducted by health workers,Health Institution ,5,Dhawalagiri,Mountain,Western
Mustang,Dhawalagiri,Mountain,Western,2066/67,2009/10,Conducted by health workers,Home,26,Dhawalagiri,Mountain,Western
Mustang,Dhawalagiri,Mountain,Western,2066/67,2009/10,,At BEOC/CEOC centers,34,Dhawalagiri,Mountain,Western
Myagdi,Dhawalagiri,Hill,Western,2066/67,2009/10,Conducted by SBA,Health Institution,591,Dhawalagiri,Hill,Western
Myagdi,Dhawalagiri,Hill,Western,2066/67,2009/10,Conducted by SBA,Home,122,Dhawalagiri,Hill,Western
Myagdi,Dhawalagiri,Hill,Western,2066/67,2009/10,Conducted by health workers,Health Institution ,35,Dhawalagiri,Hill,Western
Myagdi,Dhawalagiri,Hill,Western,2066/67,2009/10,Conducted by health workers,Home,989,Dhawalagiri,Hill,Western
Myagdi,Dhawalagiri,Hill,Western,2066/67,2009/10,,At BEOC/CEOC centers,363,Dhawalagiri,Hill,Western
Nawalparasi,Lumbini,Terai,Western,2066/67,2009/10,Conducted by SBA,Health Institution,2035,Lumbini,Terai,Western
Nawalparasi,Lumbini,Terai,Western,2066/67,2009/10,Conducted by SBA,Home,247,Lumbini,Terai,Western
Nawalparasi,Lumbini,Terai,Western,2066/67,2009/10,Conducted by health workers,Health Institution ,261,Lumbini,Terai,Western
Nawalparasi,Lumbini,Terai,Western,2066/67,2009/10,Conducted by health workers,Home,618,Lumbini,Terai,Western
Nawalparasi,Lumbini,Terai,Western,2066/67,2009/10,,At BEOC/CEOC centers,1230,Lumbini,Terai,Western
