Year BS,Year AD,District,zone,belt,region,"Ear,Nose and Throat related problems",No of people,Zone,Belt,Region
2069/70,2012/13,Achham,Seti,Hill,Far-Western,Foreign body in respiratory tract,132,Seti,Hill,Far-Western
2069/70,2012/13,Achham,Seti,Hill,Far-Western,Pharyngities/ Sore throat,1944,Seti,Hill,Far-Western
2069/70,2012/13,Achham,Seti,Hill,Far-Western,Sinusitis,910,Seti,Hill,Far-Western
2069/70,2012/13,Achham,Seti,Hill,Far-Western,Tonsilitis,2554,Seti,Hill,Far-Western
2070/71,2013/14,Achham,Seti,Hill,Far-Western,Acute/ Chronic Suppurative Otitis Media (ASOM),2004,Seti,Hill,Far-Western
2070/71,2013/14,Achham,Seti,Hill,Far-Western,Foreign body in respiratory tract,130,Seti,Hill,Far-Western
2070/71,2013/14,Achham,Seti,Hill,Far-Western,Pharyngities/ Sore throat,1776,Seti,Hill,Far-Western
2070/71,2013/14,Achham,Seti,Hill,Far-Western,Sinusitis,1501,Seti,Hill,Far-Western
2070/71,2013/14,Achham,Seti,Hill,Far-Western,Tonsilitis,8382,Seti,Hill,Far-Western
2066/67,2009/10,Arghakhanchi,Lumbini,Hill,Western,Acute/ Chronic Suppurative Otitis Media (ASOM),3764,Lumbini,Hill,Western
2066/67,2009/10,Arghakhanchi,Lumbini,Hill,Western,Foreign body in respiratory tract,178,Lumbini,Hill,Western
2066/67,2009/10,Arghakhanchi,Lumbini,Hill,Western,Pharyngities/ Sore throat,1715,Lumbini,Hill,Western
2066/67,2009/10,Arghakhanchi,Lumbini,Hill,Western,Sinusitis,2270,Lumbini,Hill,Western
2066/67,2009/10,Arghakhanchi,Lumbini,Hill,Western,Tonsilitis,3874,Lumbini,Hill,Western
2067/68,2010/11,Arghakhanchi,Lumbini,Hill,Western,Acute/ Chronic Suppurative Otitis Media (ASOM),3817,Lumbini,Hill,Western
2067/68,2010/11,Arghakhanchi,Lumbini,Hill,Western,Foreign body in respiratory tract,124,Lumbini,Hill,Western
2067/68,2010/11,Arghakhanchi,Lumbini,Hill,Western,Pharyngities/ Sore throat,1987,Lumbini,Hill,Western
2067/68,2010/11,Arghakhanchi,Lumbini,Hill,Western,Sinusitis,2548,Lumbini,Hill,Western
2067/68,2010/11,Arghakhanchi,Lumbini,Hill,Western,Tonsilitis,3697,Lumbini,Hill,Western
2068/69,2011/12,Arghakhanchi,Lumbini,Hill,Western,Acute/ Chronic Suppurative Otitis Media (ASOM),3843,Lumbini,Hill,Western
2068/69,2011/12,Arghakhanchi,Lumbini,Hill,Western,Foreign body in respiratory tract,191,Lumbini,Hill,Western
2068/69,2011/12,Arghakhanchi,Lumbini,Hill,Western,Pharyngities/ Sore throat,2026,Lumbini,Hill,Western
2068/69,2011/12,Arghakhanchi,Lumbini,Hill,Western,Sinusitis,2301,Lumbini,Hill,Western
2068/69,2011/12,Arghakhanchi,Lumbini,Hill,Western,Tonsilitis,3857,Lumbini,Hill,Western
2069/70,2012/13,Arghakhanchi,Lumbini,Hill,Western,Acute/ Chronic Suppurative Otitis Media (ASOM),3216,Lumbini,Hill,Western
2069/70,2012/13,Arghakhanchi,Lumbini,Hill,Western,Foreign body in respiratory tract,55,Lumbini,Hill,Western
2069/70,2012/13,Arghakhanchi,Lumbini,Hill,Western,Pharyngities/ Sore throat,1589,Lumbini,Hill,Western
2069/70,2012/13,Arghakhanchi,Lumbini,Hill,Western,Sinusitis,2260,Lumbini,Hill,Western
2069/70,2012/13,Arghakhanchi,Lumbini,Hill,Western,Tonsilitis,4303,Lumbini,Hill,Western
2070/71,2013/14,Arghakhanchi,Lumbini,Hill,Western,Acute/ Chronic Suppurative Otitis Media (ASOM),1882,Lumbini,Hill,Western
2070/71,2013/14,Arghakhanchi,Lumbini,Hill,Western,Foreign body in respiratory tract,35,Lumbini,Hill,Western
2070/71,2013/14,Arghakhanchi,Lumbini,Hill,Western,Pharyngities/ Sore throat,1742,Lumbini,Hill,Western
2070/71,2013/14,Arghakhanchi,Lumbini,Hill,Western,Sinusitis,915,Lumbini,Hill,Western
2070/71,2013/14,Arghakhanchi,Lumbini,Hill,Western,Tonsilitis,10675,Lumbini,Hill,Western
2066/67,2009/10,Baglung,Dhawalagiri,Hill,Western,Acute/ Chronic Suppurative Otitis Media (ASOM),3982,Dhawalagiri,Hill,Western
2066/67,2009/10,Baglung,Dhawalagiri,Hill,Western,Foreign body in respiratory tract,304,Dhawalagiri,Hill,Western
2066/67,2009/10,Baglung,Dhawalagiri,Hill,Western,Pharyngities/ Sore throat,2934,Dhawalagiri,Hill,Western
2066/67,2009/10,Baglung,Dhawalagiri,Hill,Western,Sinusitis,2694,Dhawalagiri,Hill,Western
2066/67,2009/10,Baglung,Dhawalagiri,Hill,Western,Tonsilitis,5562,Dhawalagiri,Hill,Western
2067/68,2010/11,Baglung,Dhawalagiri,Hill,Western,Acute/ Chronic Suppurative Otitis Media (ASOM),4752,Dhawalagiri,Hill,Western
2067/68,2010/11,Baglung,Dhawalagiri,Hill,Western,Foreign body in respiratory tract,231,Dhawalagiri,Hill,Western
2067/68,2010/11,Baglung,Dhawalagiri,Hill,Western,Pharyngities/ Sore throat,3820,Dhawalagiri,Hill,Western
2067/68,2010/11,Baglung,Dhawalagiri,Hill,Western,Sinusitis,3539,Dhawalagiri,Hill,Western
2067/68,2010/11,Baglung,Dhawalagiri,Hill,Western,Tonsilitis,7547,Dhawalagiri,Hill,Western
2068/69,2011/12,Baglung,Dhawalagiri,Hill,Western,Acute/ Chronic Suppurative Otitis Media (ASOM),4244,Dhawalagiri,Hill,Western
2068/69,2011/12,Baglung,Dhawalagiri,Hill,Western,Foreign body in respiratory tract,312,Dhawalagiri,Hill,Western
2068/69,2011/12,Baglung,Dhawalagiri,Hill,Western,Pharyngities/ Sore throat,3262,Dhawalagiri,Hill,Western
2068/69,2011/12,Baglung,Dhawalagiri,Hill,Western,Sinusitis,3104,Dhawalagiri,Hill,Western
2068/69,2011/12,Baglung,Dhawalagiri,Hill,Western,Tonsilitis,7990,Dhawalagiri,Hill,Western
2069/70,2012/13,Baglung,Dhawalagiri,Hill,Western,Acute/ Chronic Suppurative Otitis Media (ASOM),4310,Dhawalagiri,Hill,Western
2069/70,2012/13,Baglung,Dhawalagiri,Hill,Western,Foreign body in respiratory tract,137,Dhawalagiri,Hill,Western
2069/70,2012/13,Baglung,Dhawalagiri,Hill,Western,Pharyngities/ Sore throat,3387,Dhawalagiri,Hill,Western
2069/70,2012/13,Baglung,Dhawalagiri,Hill,Western,Sinusitis,3033,Dhawalagiri,Hill,Western
2069/70,2012/13,Baglung,Dhawalagiri,Hill,Western,Tonsilitis,7759,Dhawalagiri,Hill,Western
2070/71,2013/14,Baglung,Dhawalagiri,Hill,Western,Acute/ Chronic Suppurative Otitis Media (ASOM),2344,Dhawalagiri,Hill,Western
2070/71,2013/14,Baglung,Dhawalagiri,Hill,Western,Foreign body in respiratory tract,92,Dhawalagiri,Hill,Western
2070/71,2013/14,Baglung,Dhawalagiri,Hill,Western,Pharyngities/ Sore throat,3367,Dhawalagiri,Hill,Western
2070/71,2013/14,Baglung,Dhawalagiri,Hill,Western,Sinusitis,1288,Dhawalagiri,Hill,Western
2070/71,2013/14,Baglung,Dhawalagiri,Hill,Western,Tonsilitis,8680,Dhawalagiri,Hill,Western
2066/67,2009/10,Baitadi,Mahakali,Hill,Far-Western,Acute/ Chronic Suppurative Otitis Media (ASOM),5633,Mahakali,Hill,Far-Western
2066/67,2009/10,Baitadi,Mahakali,Hill,Far-Western,Foreign body in respiratory tract,225,Mahakali,Hill,Far-Western
2066/67,2009/10,Baitadi,Mahakali,Hill,Far-Western,Pharyngities/ Sore throat,1534,Mahakali,Hill,Far-Western
2066/67,2009/10,Baitadi,Mahakali,Hill,Far-Western,Sinusitis,979,Mahakali,Hill,Far-Western
2066/67,2009/10,Baitadi,Mahakali,Hill,Far-Western,Tonsilitis,3006,Mahakali,Hill,Far-Western
2067/68,2010/11,Baitadi,Mahakali,Hill,Far-Western,Acute/ Chronic Suppurative Otitis Media (ASOM),6221,Mahakali,Hill,Far-Western
2067/68,2010/11,Baitadi,Mahakali,Hill,Far-Western,Foreign body in respiratory tract,325,Mahakali,Hill,Far-Western
2067/68,2010/11,Baitadi,Mahakali,Hill,Far-Western,Pharyngities/ Sore throat,1238,Mahakali,Hill,Far-Western
2067/68,2010/11,Baitadi,Mahakali,Hill,Far-Western,Sinusitis,839,Mahakali,Hill,Far-Western
2067/68,2010/11,Baitadi,Mahakali,Hill,Far-Western,Tonsilitis,3488,Mahakali,Hill,Far-Western
2068/69,2011/12,Baitadi,Mahakali,Hill,Far-Western,Acute/ Chronic Suppurative Otitis Media (ASOM),4875,Mahakali,Hill,Far-Western
2068/69,2011/12,Baitadi,Mahakali,Hill,Far-Western,Foreign body in respiratory tract,81,Mahakali,Hill,Far-Western
2068/69,2011/12,Baitadi,Mahakali,Hill,Far-Western,Pharyngities/ Sore throat,1674,Mahakali,Hill,Far-Western
2068/69,2011/12,Baitadi,Mahakali,Hill,Far-Western,Sinusitis,977,Mahakali,Hill,Far-Western
2068/69,2011/12,Baitadi,Mahakali,Hill,Far-Western,Tonsilitis,3187,Mahakali,Hill,Far-Western
2069/70,2012/13,Baitadi,Mahakali,Hill,Far-Western,Acute/ Chronic Suppurative Otitis Media (ASOM),4730,Mahakali,Hill,Far-Western
2069/70,2012/13,Baitadi,Mahakali,Hill,Far-Western,Foreign body in respiratory tract,95,Mahakali,Hill,Far-Western
2069/70,2012/13,Baitadi,Mahakali,Hill,Far-Western,Pharyngities/ Sore throat,1406,Mahakali,Hill,Far-Western
2069/70,2012/13,Baitadi,Mahakali,Hill,Far-Western,Sinusitis,546,Mahakali,Hill,Far-Western
2069/70,2012/13,Baitadi,Mahakali,Hill,Far-Western,Tonsilitis,3737,Mahakali,Hill,Far-Western
2070/71,2013/14,Baitadi,Mahakali,Hill,Far-Western,Acute/ Chronic Suppurative Otitis Media (ASOM),9865,Mahakali,Hill,Far-Western
2070/71,2013/14,Baitadi,Mahakali,Hill,Far-Western,Foreign body in respiratory tract,224,Mahakali,Hill,Far-Western
2070/71,2013/14,Baitadi,Mahakali,Hill,Far-Western,Pharyngities/ Sore throat,10108,Mahakali,Hill,Far-Western
2070/71,2013/14,Baitadi,Mahakali,Hill,Far-Western,Sinusitis,7311,Mahakali,Hill,Far-Western
2070/71,2013/14,Baitadi,Mahakali,Hill,Far-Western,Tonsilitis,16134,Mahakali,Hill,Far-Western
2066/67,2009/10,Bajhang,Seti,Mountain,Far-Western,Acute/ Chronic Suppurative Otitis Media (ASOM),3434,Seti,Mountain,Far-Western
2066/67,2009/10,Bajhang,Seti,Mountain,Far-Western,Foreign body in respiratory tract,120,Seti,Mountain,Far-Western
2066/67,2009/10,Bajhang,Seti,Mountain,Far-Western,Pharyngities/ Sore throat,520,Seti,Mountain,Far-Western
2066/67,2009/10,Bajhang,Seti,Mountain,Far-Western,Sinusitis,699,Seti,Mountain,Far-Western
2066/67,2009/10,Bajhang,Seti,Mountain,Far-Western,Tonsilitis,1103,Seti,Mountain,Far-Western
2067/68,2010/11,Bajhang,Seti,Mountain,Far-Western,Acute/ Chronic Suppurative Otitis Media (ASOM),3293,Seti,Mountain,Far-Western
2067/68,2010/11,Bajhang,Seti,Mountain,Far-Western,Foreign body in respiratory tract,38,Seti,Mountain,Far-Western
2067/68,2010/11,Bajhang,Seti,Mountain,Far-Western,Pharyngities/ Sore throat,477,Seti,Mountain,Far-Western
2067/68,2010/11,Bajhang,Seti,Mountain,Far-Western,Sinusitis,713,Seti,Mountain,Far-Western
2067/68,2010/11,Bajhang,Seti,Mountain,Far-Western,Tonsilitis,1083,Seti,Mountain,Far-Western
2068/69,2011/12,Bajhang,Seti,Mountain,Far-Western,Acute/ Chronic Suppurative Otitis Media (ASOM),2710,Seti,Mountain,Far-Western
2068/69,2011/12,Bajhang,Seti,Mountain,Far-Western,Foreign body in respiratory tract,53,Seti,Mountain,Far-Western
2068/69,2011/12,Bajhang,Seti,Mountain,Far-Western,Pharyngities/ Sore throat,537,Seti,Mountain,Far-Western
2068/69,2011/12,Bajhang,Seti,Mountain,Far-Western,Sinusitis,831,Seti,Mountain,Far-Western
2068/69,2011/12,Bajhang,Seti,Mountain,Far-Western,Tonsilitis,1152,Seti,Mountain,Far-Western
2069/70,2012/13,Bajhang,Seti,Mountain,Far-Western,Acute/ Chronic Suppurative Otitis Media (ASOM),2955,Seti,Mountain,Far-Western
2069/70,2012/13,Bajhang,Seti,Mountain,Far-Western,Foreign body in respiratory tract,89,Seti,Mountain,Far-Western
2069/70,2012/13,Bajhang,Seti,Mountain,Far-Western,Pharyngities/ Sore throat,428,Seti,Mountain,Far-Western
2069/70,2012/13,Bajhang,Seti,Mountain,Far-Western,Sinusitis,820,Seti,Mountain,Far-Western
2069/70,2012/13,Bajhang,Seti,Mountain,Far-Western,Tonsilitis,1580,Seti,Mountain,Far-Western
2070/71,2013/14,Bajhang,Seti,Mountain,Far-Western,Acute/ Chronic Suppurative Otitis Media (ASOM),14119,Seti,Mountain,Far-Western
2070/71,2013/14,Bajhang,Seti,Mountain,Far-Western,Foreign body in respiratory tract,267,Seti,Mountain,Far-Western
2070/71,2013/14,Bajhang,Seti,Mountain,Far-Western,Pharyngities/ Sore throat,8042,Seti,Mountain,Far-Western
2070/71,2013/14,Bajhang,Seti,Mountain,Far-Western,Sinusitis,6655,Seti,Mountain,Far-Western
2070/71,2013/14,Bajhang,Seti,Mountain,Far-Western,Tonsilitis,14953,Seti,Mountain,Far-Western
2066/67,2009/10,Bajura,Seti,Mountain,Far-Western,Acute/ Chronic Suppurative Otitis Media (ASOM),3539,Seti,Mountain,Far-Western
2066/67,2009/10,Bajura,Seti,Mountain,Far-Western,Foreign body in respiratory tract,195,Seti,Mountain,Far-Western
2066/67,2009/10,Bajura,Seti,Mountain,Far-Western,Pharyngities/ Sore throat,768,Seti,Mountain,Far-Western
2066/67,2009/10,Bajura,Seti,Mountain,Far-Western,Sinusitis,647,Seti,Mountain,Far-Western
2066/67,2009/10,Bajura,Seti,Mountain,Far-Western,Tonsilitis,1244,Seti,Mountain,Far-Western
2067/68,2010/11,Bajura,Seti,Mountain,Far-Western,Acute/ Chronic Suppurative Otitis Media (ASOM),2924,Seti,Mountain,Far-Western
2067/68,2010/11,Bajura,Seti,Mountain,Far-Western,Foreign body in respiratory tract,63,Seti,Mountain,Far-Western
2067/68,2010/11,Bajura,Seti,Mountain,Far-Western,Pharyngities/ Sore throat,695,Seti,Mountain,Far-Western
2067/68,2010/11,Bajura,Seti,Mountain,Far-Western,Sinusitis,471,Seti,Mountain,Far-Western
2067/68,2010/11,Bajura,Seti,Mountain,Far-Western,Tonsilitis,1109,Seti,Mountain,Far-Western
2068/69,2011/12,Bajura,Seti,Mountain,Far-Western,Acute/ Chronic Suppurative Otitis Media (ASOM),3102,Seti,Mountain,Far-Western
2068/69,2011/12,Bajura,Seti,Mountain,Far-Western,Foreign body in respiratory tract,26,Seti,Mountain,Far-Western
2068/69,2011/12,Bajura,Seti,Mountain,Far-Western,Pharyngities/ Sore throat,595,Seti,Mountain,Far-Western
2068/69,2011/12,Bajura,Seti,Mountain,Far-Western,Sinusitis,457,Seti,Mountain,Far-Western
2068/69,2011/12,Bajura,Seti,Mountain,Far-Western,Tonsilitis,1032,Seti,Mountain,Far-Western
2069/70,2012/13,Bajura,Seti,Mountain,Far-Western,Acute/ Chronic Suppurative Otitis Media (ASOM),2653,Seti,Mountain,Far-Western
2069/70,2012/13,Bajura,Seti,Mountain,Far-Western,Foreign body in respiratory tract,61,Seti,Mountain,Far-Western
2069/70,2012/13,Bajura,Seti,Mountain,Far-Western,Pharyngities/ Sore throat,742,Seti,Mountain,Far-Western
2069/70,2012/13,Bajura,Seti,Mountain,Far-Western,Sinusitis,341,Seti,Mountain,Far-Western
2069/70,2012/13,Bajura,Seti,Mountain,Far-Western,Tonsilitis,1148,Seti,Mountain,Far-Western
2070/71,2013/14,Bajura,Seti,Mountain,Far-Western,Acute/ Chronic Suppurative Otitis Media (ASOM),12916,Seti,Mountain,Far-Western
2070/71,2013/14,Bajura,Seti,Mountain,Far-Western,Foreign body in respiratory tract,83,Seti,Mountain,Far-Western
2070/71,2013/14,Bajura,Seti,Mountain,Far-Western,Pharyngities/ Sore throat,3818,Seti,Mountain,Far-Western
2070/71,2013/14,Bajura,Seti,Mountain,Far-Western,Sinusitis,2567,Seti,Mountain,Far-Western
2070/71,2013/14,Bajura,Seti,Mountain,Far-Western,Tonsilitis,9004,Seti,Mountain,Far-Western
2066/67,2009/10,Banke,Bheri,Terai,Mid-Western,Acute/ Chronic Suppurative Otitis Media (ASOM),13139,Bheri,Terai,Mid-Western
2066/67,2009/10,Banke,Bheri,Terai,Mid-Western,Foreign body in respiratory tract,61,Bheri,Terai,Mid-Western
2066/67,2009/10,Banke,Bheri,Terai,Mid-Western,Pharyngities/ Sore throat,1098,Bheri,Terai,Mid-Western
2066/67,2009/10,Banke,Bheri,Terai,Mid-Western,Sinusitis,603,Bheri,Terai,Mid-Western
2066/67,2009/10,Banke,Bheri,Terai,Mid-Western,Tonsilitis,2355,Bheri,Terai,Mid-Western
2067/68,2010/11,Banke,Bheri,Terai,Mid-Western,Acute/ Chronic Suppurative Otitis Media (ASOM),11638,Bheri,Terai,Mid-Western
2067/68,2010/11,Banke,Bheri,Terai,Mid-Western,Foreign body in respiratory tract,49,Bheri,Terai,Mid-Western
2067/68,2010/11,Banke,Bheri,Terai,Mid-Western,Pharyngities/ Sore throat,1106,Bheri,Terai,Mid-Western
2067/68,2010/11,Banke,Bheri,Terai,Mid-Western,Sinusitis,851,Bheri,Terai,Mid-Western
2067/68,2010/11,Banke,Bheri,Terai,Mid-Western,Tonsilitis,2358,Bheri,Terai,Mid-Western
2068/69,2011/12,Banke,Bheri,Terai,Mid-Western,Acute/ Chronic Suppurative Otitis Media (ASOM),14562,Bheri,Terai,Mid-Western
2068/69,2011/12,Banke,Bheri,Terai,Mid-Western,Foreign body in respiratory tract,34,Bheri,Terai,Mid-Western
2068/69,2011/12,Banke,Bheri,Terai,Mid-Western,Pharyngities/ Sore throat,1597,Bheri,Terai,Mid-Western
2068/69,2011/12,Banke,Bheri,Terai,Mid-Western,Sinusitis,904,Bheri,Terai,Mid-Western
2068/69,2011/12,Banke,Bheri,Terai,Mid-Western,Tonsilitis,3134,Bheri,Terai,Mid-Western
2069/70,2012/13,Banke,Bheri,Terai,Mid-Western,Acute/ Chronic Suppurative Otitis Media (ASOM),13525,Bheri,Terai,Mid-Western
2069/70,2012/13,Banke,Bheri,Terai,Mid-Western,Foreign body in respiratory tract,11,Bheri,Terai,Mid-Western
2069/70,2012/13,Banke,Bheri,Terai,Mid-Western,Pharyngities/ Sore throat,1230,Bheri,Terai,Mid-Western
2069/70,2012/13,Banke,Bheri,Terai,Mid-Western,Sinusitis,1072,Bheri,Terai,Mid-Western
2069/70,2012/13,Banke,Bheri,Terai,Mid-Western,Tonsilitis,3128,Bheri,Terai,Mid-Western
2070/71,2013/14,Banke,Bheri,Terai,Mid-Western,Acute/ Chronic Suppurative Otitis Media (ASOM),2324,Bheri,Terai,Mid-Western
2070/71,2013/14,Banke,Bheri,Terai,Mid-Western,Foreign body in respiratory tract,31,Bheri,Terai,Mid-Western
2070/71,2013/14,Banke,Bheri,Terai,Mid-Western,Pharyngities/ Sore throat,3254,Bheri,Terai,Mid-Western
2070/71,2013/14,Banke,Bheri,Terai,Mid-Western,Sinusitis,1008,Bheri,Terai,Mid-Western
2070/71,2013/14,Banke,Bheri,Terai,Mid-Western,Tonsilitis,11709,Bheri,Terai,Mid-Western
2066/67,2009/10,Bara,Narayani,Terai,Central,Acute/ Chronic Suppurative Otitis Media (ASOM),15148,Narayani,Terai,Central
2066/67,2009/10,Bara,Narayani,Terai,Central,Foreign body in respiratory tract,181,Narayani,Terai,Central
2066/67,2009/10,Bara,Narayani,Terai,Central,Pharyngities/ Sore throat,1244,Narayani,Terai,Central
2066/67,2009/10,Bara,Narayani,Terai,Central,Sinusitis,1697,Narayani,Terai,Central
2066/67,2009/10,Bara,Narayani,Terai,Central,Tonsilitis,3616,Narayani,Terai,Central
2067/68,2010/11,Bara,Narayani,Terai,Central,Acute/ Chronic Suppurative Otitis Media (ASOM),15569,Narayani,Terai,Central
2067/68,2010/11,Bara,Narayani,Terai,Central,Foreign body in respiratory tract,120,Narayani,Terai,Central
2067/68,2010/11,Bara,Narayani,Terai,Central,Pharyngities/ Sore throat,1091,Narayani,Terai,Central
2067/68,2010/11,Bara,Narayani,Terai,Central,Sinusitis,1829,Narayani,Terai,Central
2067/68,2010/11,Bara,Narayani,Terai,Central,Tonsilitis,3885,Narayani,Terai,Central
2068/69,2011/12,Bara,Narayani,Terai,Central,Acute/ Chronic Suppurative Otitis Media (ASOM),16265,Narayani,Terai,Central
2068/69,2011/12,Bara,Narayani,Terai,Central,Foreign body in respiratory tract,132,Narayani,Terai,Central
2068/69,2011/12,Bara,Narayani,Terai,Central,Pharyngities/ Sore throat,1379,Narayani,Terai,Central
2068/69,2011/12,Bara,Narayani,Terai,Central,Sinusitis,1776,Narayani,Terai,Central
2068/69,2011/12,Bara,Narayani,Terai,Central,Tonsilitis,4351,Narayani,Terai,Central
2069/70,2012/13,Bara,Narayani,Terai,Central,Acute/ Chronic Suppurative Otitis Media (ASOM),14886,Narayani,Terai,Central
2069/70,2012/13,Bara,Narayani,Terai,Central,Foreign body in respiratory tract,68,Narayani,Terai,Central
2069/70,2012/13,Bara,Narayani,Terai,Central,Pharyngities/ Sore throat,1889,Narayani,Terai,Central
2069/70,2012/13,Bara,Narayani,Terai,Central,Sinusitis,1454,Narayani,Terai,Central
2069/70,2012/13,Bara,Narayani,Terai,Central,Tonsilitis,4548,Narayani,Terai,Central
2070/71,2013/14,Bara,Narayani,Terai,Central,Acute/ Chronic Suppurative Otitis Media (ASOM),1980,Narayani,Terai,Central
2070/71,2013/14,Bara,Narayani,Terai,Central,Foreign body in respiratory tract,53,Narayani,Terai,Central
2070/71,2013/14,Bara,Narayani,Terai,Central,Pharyngities/ Sore throat,2812,Narayani,Terai,Central
2070/71,2013/14,Bara,Narayani,Terai,Central,Sinusitis,1147,Narayani,Terai,Central
2070/71,2013/14,Bara,Narayani,Terai,Central,Tonsilitis,6570,Narayani,Terai,Central
2066/67,2009/10,Bardiya,Bheri,Terai,Mid-Western,Acute/ Chronic Suppurative Otitis Media (ASOM),9449,Bheri,Terai,Mid-Western
2066/67,2009/10,Bardiya,Bheri,Terai,Mid-Western,Foreign body in respiratory tract,141,Bheri,Terai,Mid-Western
2066/67,2009/10,Bardiya,Bheri,Terai,Mid-Western,Pharyngities/ Sore throat,3413,Bheri,Terai,Mid-Western
2066/67,2009/10,Bardiya,Bheri,Terai,Mid-Western,Sinusitis,2365,Bheri,Terai,Mid-Western
2066/67,2009/10,Bardiya,Bheri,Terai,Mid-Western,Tonsilitis,5431,Bheri,Terai,Mid-Western
2067/68,2010/11,Bardiya,Bheri,Terai,Mid-Western,Acute/ Chronic Suppurative Otitis Media (ASOM),9342,Bheri,Terai,Mid-Western
2067/68,2010/11,Bardiya,Bheri,Terai,Mid-Western,Foreign body in respiratory tract,116,Bheri,Terai,Mid-Western
2067/68,2010/11,Bardiya,Bheri,Terai,Mid-Western,Pharyngities/ Sore throat,3519,Bheri,Terai,Mid-Western
2067/68,2010/11,Bardiya,Bheri,Terai,Mid-Western,Sinusitis,2268,Bheri,Terai,Mid-Western
2067/68,2010/11,Bardiya,Bheri,Terai,Mid-Western,Tonsilitis,6028,Bheri,Terai,Mid-Western
2068/69,2011/12,Bardiya,Bheri,Terai,Mid-Western,Acute/ Chronic Suppurative Otitis Media (ASOM),9897,Bheri,Terai,Mid-Western
2068/69,2011/12,Bardiya,Bheri,Terai,Mid-Western,Foreign body in respiratory tract,57,Bheri,Terai,Mid-Western
2068/69,2011/12,Bardiya,Bheri,Terai,Mid-Western,Pharyngities/ Sore throat,3654,Bheri,Terai,Mid-Western
2068/69,2011/12,Bardiya,Bheri,Terai,Mid-Western,Sinusitis,2296,Bheri,Terai,Mid-Western
2068/69,2011/12,Bardiya,Bheri,Terai,Mid-Western,Tonsilitis,5484,Bheri,Terai,Mid-Western
2069/70,2012/13,Bardiya,Bheri,Terai,Mid-Western,Acute/ Chronic Suppurative Otitis Media (ASOM),9149,Bheri,Terai,Mid-Western
2069/70,2012/13,Bardiya,Bheri,Terai,Mid-Western,Foreign body in respiratory tract,45,Bheri,Terai,Mid-Western
2069/70,2012/13,Bardiya,Bheri,Terai,Mid-Western,Pharyngities/ Sore throat,3877,Bheri,Terai,Mid-Western
2069/70,2012/13,Bardiya,Bheri,Terai,Mid-Western,Sinusitis,2362,Bheri,Terai,Mid-Western
2069/70,2012/13,Bardiya,Bheri,Terai,Mid-Western,Tonsilitis,5437,Bheri,Terai,Mid-Western
2070/71,2013/14,Bardiya,Bheri,Terai,Mid-Western,Acute/ Chronic Suppurative Otitis Media (ASOM),2675,Bheri,Terai,Mid-Western
2070/71,2013/14,Bardiya,Bheri,Terai,Mid-Western,Foreign body in respiratory tract,49,Bheri,Terai,Mid-Western
2070/71,2013/14,Bardiya,Bheri,Terai,Mid-Western,Pharyngities/ Sore throat,3255,Bheri,Terai,Mid-Western
2070/71,2013/14,Bardiya,Bheri,Terai,Mid-Western,Sinusitis,840,Bheri,Terai,Mid-Western
2070/71,2013/14,Bardiya,Bheri,Terai,Mid-Western,Tonsilitis,6719,Bheri,Terai,Mid-Western
2066/67,2009/10,Bhaktapur,Bagmati,Hill,Central,Acute/ Chronic Suppurative Otitis Media (ASOM),2254,Bagmati,Hill,Central
