Year BS,Year AD,District,zone,belt,region,Oral Problem,No of People,Zone,Belt,Region
2069/70,2012/13,Arghakhanchi,Lumbini,Hill,Western,Dental Carries/ Toothache,3264,Lumbini,Hill,Western
2069/70,2012/13,Arghakhanchi,Lumbini,Hill,Western,"Oral ulcer,mucosa and other related disease",721,Lumbini,Hill,Western
2069/70,2012/13,Arghakhanchi,Lumbini,Hill,Western,Other disorder of teeth,169,Lumbini,Hill,Western
2069/70,2012/13,Arghakhanchi,Lumbini,Hill,Western,Periodontal diseases (gum diseases),493,Lumbini,Hill,Western
2070/71,2013/14,Arghakhanchi,Lumbini,Hill,Western,Dental Carries/ Toothache,2764,Lumbini,Hill,Western
2070/71,2013/14,Arghakhanchi,Lumbini,Hill,Western,"Oral ulcer,mucosa and other related disease",614,Lumbini,Hill,Western
2070/71,2013/14,Arghakhanchi,Lumbini,Hill,Western,Other disorder of teeth,126,Lumbini,Hill,Western
2070/71,2013/14,Arghakhanchi,Lumbini,Hill,Western,Periodontal diseases (gum diseases),421,Lumbini,Hill,Western
2066/67,2009/10,Baglung,Dhawalagiri,Hill,Western,Dental Carries/ Toothache,5797,Dhawalagiri,Hill,Western
2066/67,2009/10,Baglung,Dhawalagiri,Hill,Western,"Oral ulcer,mucosa and other related disease",1291,Dhawalagiri,Hill,Western
2066/67,2009/10,Baglung,Dhawalagiri,Hill,Western,Other disorder of teeth,749,Dhawalagiri,Hill,Western
2066/67,2009/10,Baglung,Dhawalagiri,Hill,Western,Periodontal diseases (gum diseases),716,Dhawalagiri,Hill,Western
2067/68,2010/11,Baglung,Dhawalagiri,Hill,Western,Dental Carries/ Toothache,7391,Dhawalagiri,Hill,Western
2067/68,2010/11,Baglung,Dhawalagiri,Hill,Western,"Oral ulcer,mucosa and other related disease",1239,Dhawalagiri,Hill,Western
2067/68,2010/11,Baglung,Dhawalagiri,Hill,Western,Other disorder of teeth,501,Dhawalagiri,Hill,Western
2067/68,2010/11,Baglung,Dhawalagiri,Hill,Western,Periodontal diseases (gum diseases),833,Dhawalagiri,Hill,Western
2068/69,2011/12,Baglung,Dhawalagiri,Hill,Western,Dental Carries/ Toothache,5842,Dhawalagiri,Hill,Western
2068/69,2011/12,Baglung,Dhawalagiri,Hill,Western,"Oral ulcer,mucosa and other related disease",1428,Dhawalagiri,Hill,Western
2068/69,2011/12,Baglung,Dhawalagiri,Hill,Western,Other disorder of teeth,340,Dhawalagiri,Hill,Western
2068/69,2011/12,Baglung,Dhawalagiri,Hill,Western,Periodontal diseases (gum diseases),649,Dhawalagiri,Hill,Western
2069/70,2012/13,Baglung,Dhawalagiri,Hill,Western,Dental Carries/ Toothache,6340,Dhawalagiri,Hill,Western
2069/70,2012/13,Baglung,Dhawalagiri,Hill,Western,"Oral ulcer,mucosa and other related disease",1502,Dhawalagiri,Hill,Western
2069/70,2012/13,Baglung,Dhawalagiri,Hill,Western,Other disorder of teeth,258,Dhawalagiri,Hill,Western
2069/70,2012/13,Baglung,Dhawalagiri,Hill,Western,Periodontal diseases (gum diseases),556,Dhawalagiri,Hill,Western
2070/71,2013/14,Baglung,Dhawalagiri,Hill,Western,Dental Carries/ Toothache,6786,Dhawalagiri,Hill,Western
2070/71,2013/14,Baglung,Dhawalagiri,Hill,Western,"Oral ulcer,mucosa and other related disease",1662,Dhawalagiri,Hill,Western
2070/71,2013/14,Baglung,Dhawalagiri,Hill,Western,Other disorder of teeth,404,Dhawalagiri,Hill,Western
2070/71,2013/14,Baglung,Dhawalagiri,Hill,Western,Periodontal diseases (gum diseases),657,Dhawalagiri,Hill,Western
2066/67,2009/10,Baitadi,Mahakali,Hill,Far-Western,Dental Carries/ Toothache,8190,Mahakali,Hill,Far-Western
2066/67,2009/10,Baitadi,Mahakali,Hill,Far-Western,"Oral ulcer,mucosa and other related disease",1493,Mahakali,Hill,Far-Western
2066/67,2009/10,Baitadi,Mahakali,Hill,Far-Western,Other disorder of teeth,481,Mahakali,Hill,Far-Western
2066/67,2009/10,Baitadi,Mahakali,Hill,Far-Western,Periodontal diseases (gum diseases),439,Mahakali,Hill,Far-Western
2067/68,2010/11,Baitadi,Mahakali,Hill,Far-Western,Dental Carries/ Toothache,8258,Mahakali,Hill,Far-Western
2067/68,2010/11,Baitadi,Mahakali,Hill,Far-Western,"Oral ulcer,mucosa and other related disease",1536,Mahakali,Hill,Far-Western
2067/68,2010/11,Baitadi,Mahakali,Hill,Far-Western,Other disorder of teeth,372,Mahakali,Hill,Far-Western
2067/68,2010/11,Baitadi,Mahakali,Hill,Far-Western,Periodontal diseases (gum diseases),416,Mahakali,Hill,Far-Western
2068/69,2011/12,Baitadi,Mahakali,Hill,Far-Western,Dental Carries/ Toothache,8637,Mahakali,Hill,Far-Western
2068/69,2011/12,Baitadi,Mahakali,Hill,Far-Western,"Oral ulcer,mucosa and other related disease",1875,Mahakali,Hill,Far-Western
2068/69,2011/12,Baitadi,Mahakali,Hill,Far-Western,Other disorder of teeth,441,Mahakali,Hill,Far-Western
2068/69,2011/12,Baitadi,Mahakali,Hill,Far-Western,Periodontal diseases (gum diseases),546,Mahakali,Hill,Far-Western
2069/70,2012/13,Baitadi,Mahakali,Hill,Far-Western,Dental Carries/ Toothache,7744,Mahakali,Hill,Far-Western
2069/70,2012/13,Baitadi,Mahakali,Hill,Far-Western,"Oral ulcer,mucosa and other related disease",1538,Mahakali,Hill,Far-Western
2069/70,2012/13,Baitadi,Mahakali,Hill,Far-Western,Other disorder of teeth,248,Mahakali,Hill,Far-Western
2069/70,2012/13,Baitadi,Mahakali,Hill,Far-Western,Periodontal diseases (gum diseases),381,Mahakali,Hill,Far-Western
2070/71,2013/14,Baitadi,Mahakali,Hill,Far-Western,Dental Carries/ Toothache,6337,Mahakali,Hill,Far-Western
2070/71,2013/14,Baitadi,Mahakali,Hill,Far-Western,"Oral ulcer,mucosa and other related disease",1297,Mahakali,Hill,Far-Western
2070/71,2013/14,Baitadi,Mahakali,Hill,Far-Western,Other disorder of teeth,151,Mahakali,Hill,Far-Western
2070/71,2013/14,Baitadi,Mahakali,Hill,Far-Western,Periodontal diseases (gum diseases),325,Mahakali,Hill,Far-Western
2066/67,2009/10,Bajhang,Seti,Mountain,Far-Western,Dental Carries/ Toothache,3916,Seti,Mountain,Far-Western
2066/67,2009/10,Bajhang,Seti,Mountain,Far-Western,"Oral ulcer,mucosa and other related disease",571,Seti,Mountain,Far-Western
2066/67,2009/10,Bajhang,Seti,Mountain,Far-Western,Other disorder of teeth,244,Seti,Mountain,Far-Western
2066/67,2009/10,Bajhang,Seti,Mountain,Far-Western,Periodontal diseases (gum diseases),268,Seti,Mountain,Far-Western
2067/68,2010/11,Bajhang,Seti,Mountain,Far-Western,Dental Carries/ Toothache,4791,Seti,Mountain,Far-Western
2067/68,2010/11,Bajhang,Seti,Mountain,Far-Western,"Oral ulcer,mucosa and other related disease",630,Seti,Mountain,Far-Western
2067/68,2010/11,Bajhang,Seti,Mountain,Far-Western,Other disorder of teeth,232,Seti,Mountain,Far-Western
2067/68,2010/11,Bajhang,Seti,Mountain,Far-Western,Periodontal diseases (gum diseases),320,Seti,Mountain,Far-Western
2068/69,2011/12,Bajhang,Seti,Mountain,Far-Western,Dental Carries/ Toothache,4692,Seti,Mountain,Far-Western
2068/69,2011/12,Bajhang,Seti,Mountain,Far-Western,"Oral ulcer,mucosa and other related disease",515,Seti,Mountain,Far-Western
2068/69,2011/12,Bajhang,Seti,Mountain,Far-Western,Other disorder of teeth,167,Seti,Mountain,Far-Western
2068/69,2011/12,Bajhang,Seti,Mountain,Far-Western,Periodontal diseases (gum diseases),435,Seti,Mountain,Far-Western
2069/70,2012/13,Bajhang,Seti,Mountain,Far-Western,Dental Carries/ Toothache,4965,Seti,Mountain,Far-Western
2069/70,2012/13,Bajhang,Seti,Mountain,Far-Western,"Oral ulcer,mucosa and other related disease",618,Seti,Mountain,Far-Western
2069/70,2012/13,Bajhang,Seti,Mountain,Far-Western,Other disorder of teeth,299,Seti,Mountain,Far-Western
2069/70,2012/13,Bajhang,Seti,Mountain,Far-Western,Periodontal diseases (gum diseases),395,Seti,Mountain,Far-Western
2070/71,2013/14,Bajhang,Seti,Mountain,Far-Western,Dental Carries/ Toothache,5204,Seti,Mountain,Far-Western
2070/71,2013/14,Bajhang,Seti,Mountain,Far-Western,"Oral ulcer,mucosa and other related disease",636,Seti,Mountain,Far-Western
2070/71,2013/14,Bajhang,Seti,Mountain,Far-Western,Other disorder of teeth,334,Seti,Mountain,Far-Western
2070/71,2013/14,Bajhang,Seti,Mountain,Far-Western,Periodontal diseases (gum diseases),451,Seti,Mountain,Far-Western
2066/67,2009/10,Bajura,Seti,Mountain,Far-Western,Dental Carries/ Toothache,3362,Seti,Mountain,Far-Western
2066/67,2009/10,Bajura,Seti,Mountain,Far-Western,"Oral ulcer,mucosa and other related disease",451,Seti,Mountain,Far-Western
2066/67,2009/10,Bajura,Seti,Mountain,Far-Western,Other disorder of teeth,253,Seti,Mountain,Far-Western
2066/67,2009/10,Bajura,Seti,Mountain,Far-Western,Periodontal diseases (gum diseases),372,Seti,Mountain,Far-Western
2067/68,2010/11,Bajura,Seti,Mountain,Far-Western,Dental Carries/ Toothache,3098,Seti,Mountain,Far-Western
2067/68,2010/11,Bajura,Seti,Mountain,Far-Western,"Oral ulcer,mucosa and other related disease",485,Seti,Mountain,Far-Western
2067/68,2010/11,Bajura,Seti,Mountain,Far-Western,Other disorder of teeth,258,Seti,Mountain,Far-Western
2067/68,2010/11,Bajura,Seti,Mountain,Far-Western,Periodontal diseases (gum diseases),195,Seti,Mountain,Far-Western
2068/69,2011/12,Bajura,Seti,Mountain,Far-Western,Dental Carries/ Toothache,3364,Seti,Mountain,Far-Western
2068/69,2011/12,Bajura,Seti,Mountain,Far-Western,"Oral ulcer,mucosa and other related disease",535,Seti,Mountain,Far-Western
2068/69,2011/12,Bajura,Seti,Mountain,Far-Western,Other disorder of teeth,187,Seti,Mountain,Far-Western
2068/69,2011/12,Bajura,Seti,Mountain,Far-Western,Periodontal diseases (gum diseases),311,Seti,Mountain,Far-Western
2069/70,2012/13,Bajura,Seti,Mountain,Far-Western,Dental Carries/ Toothache,2991,Seti,Mountain,Far-Western
2069/70,2012/13,Bajura,Seti,Mountain,Far-Western,"Oral ulcer,mucosa and other related disease",514,Seti,Mountain,Far-Western
2069/70,2012/13,Bajura,Seti,Mountain,Far-Western,Other disorder of teeth,214,Seti,Mountain,Far-Western
2069/70,2012/13,Bajura,Seti,Mountain,Far-Western,Periodontal diseases (gum diseases),295,Seti,Mountain,Far-Western
2070/71,2013/14,Bajura,Seti,Mountain,Far-Western,Dental Carries/ Toothache,3041,Seti,Mountain,Far-Western
2070/71,2013/14,Bajura,Seti,Mountain,Far-Western,"Oral ulcer,mucosa and other related disease",271,Seti,Mountain,Far-Western
2070/71,2013/14,Bajura,Seti,Mountain,Far-Western,Other disorder of teeth,153,Seti,Mountain,Far-Western
2070/71,2013/14,Bajura,Seti,Mountain,Far-Western,Periodontal diseases (gum diseases),301,Seti,Mountain,Far-Western
2066/67,2009/10,Banke,Bheri,Terai,Mid-Western,Dental Carries/ Toothache,5303,Bheri,Terai,Mid-Western
2066/67,2009/10,Banke,Bheri,Terai,Mid-Western,"Oral ulcer,mucosa and other related disease",5488,Bheri,Terai,Mid-Western
2066/67,2009/10,Banke,Bheri,Terai,Mid-Western,Other disorder of teeth,184,Bheri,Terai,Mid-Western
2066/67,2009/10,Banke,Bheri,Terai,Mid-Western,Periodontal diseases (gum diseases),824,Bheri,Terai,Mid-Western
2067/68,2010/11,Banke,Bheri,Terai,Mid-Western,Dental Carries/ Toothache,6614,Bheri,Terai,Mid-Western
2067/68,2010/11,Banke,Bheri,Terai,Mid-Western,"Oral ulcer,mucosa and other related disease",4776,Bheri,Terai,Mid-Western
2067/68,2010/11,Banke,Bheri,Terai,Mid-Western,Other disorder of teeth,339,Bheri,Terai,Mid-Western
2067/68,2010/11,Banke,Bheri,Terai,Mid-Western,Periodontal diseases (gum diseases),1356,Bheri,Terai,Mid-Western
2068/69,2011/12,Banke,Bheri,Terai,Mid-Western,Dental Carries/ Toothache,7131,Bheri,Terai,Mid-Western
2068/69,2011/12,Banke,Bheri,Terai,Mid-Western,"Oral ulcer,mucosa and other related disease",5836,Bheri,Terai,Mid-Western
2068/69,2011/12,Banke,Bheri,Terai,Mid-Western,Other disorder of teeth,402,Bheri,Terai,Mid-Western
2068/69,2011/12,Banke,Bheri,Terai,Mid-Western,Periodontal diseases (gum diseases),1572,Bheri,Terai,Mid-Western
2069/70,2012/13,Banke,Bheri,Terai,Mid-Western,Dental Carries/ Toothache,5452,Bheri,Terai,Mid-Western
2069/70,2012/13,Banke,Bheri,Terai,Mid-Western,"Oral ulcer,mucosa and other related disease",7096,Bheri,Terai,Mid-Western
2069/70,2012/13,Banke,Bheri,Terai,Mid-Western,Other disorder of teeth,217,Bheri,Terai,Mid-Western
2069/70,2012/13,Banke,Bheri,Terai,Mid-Western,Periodontal diseases (gum diseases),1064,Bheri,Terai,Mid-Western
2070/71,2013/14,Banke,Bheri,Terai,Mid-Western,Dental Carries/ Toothache,4939,Bheri,Terai,Mid-Western
2070/71,2013/14,Banke,Bheri,Terai,Mid-Western,"Oral ulcer,mucosa and other related disease",6482,Bheri,Terai,Mid-Western
2070/71,2013/14,Banke,Bheri,Terai,Mid-Western,Other disorder of teeth,166,Bheri,Terai,Mid-Western
2070/71,2013/14,Banke,Bheri,Terai,Mid-Western,Periodontal diseases (gum diseases),784,Bheri,Terai,Mid-Western
2066/67,2009/10,Bara,Narayani,Terai,Central,Dental Carries/ Toothache,8257,Narayani,Terai,Central
2066/67,2009/10,Bara,Narayani,Terai,Central,"Oral ulcer,mucosa and other related disease",1555,Narayani,Terai,Central
2066/67,2009/10,Bara,Narayani,Terai,Central,Other disorder of teeth,1226,Narayani,Terai,Central
2066/67,2009/10,Bara,Narayani,Terai,Central,Periodontal diseases (gum diseases),1483,Narayani,Terai,Central
2067/68,2010/11,Bara,Narayani,Terai,Central,Dental Carries/ Toothache,10193,Narayani,Terai,Central
2067/68,2010/11,Bara,Narayani,Terai,Central,"Oral ulcer,mucosa and other related disease",1624,Narayani,Terai,Central
2067/68,2010/11,Bara,Narayani,Terai,Central,Other disorder of teeth,1000,Narayani,Terai,Central
2067/68,2010/11,Bara,Narayani,Terai,Central,Periodontal diseases (gum diseases),1451,Narayani,Terai,Central
2068/69,2011/12,Bara,Narayani,Terai,Central,Dental Carries/ Toothache,11199,Narayani,Terai,Central
2068/69,2011/12,Bara,Narayani,Terai,Central,"Oral ulcer,mucosa and other related disease",2164,Narayani,Terai,Central
2068/69,2011/12,Bara,Narayani,Terai,Central,Other disorder of teeth,996,Narayani,Terai,Central
2068/69,2011/12,Bara,Narayani,Terai,Central,Periodontal diseases (gum diseases),1433,Narayani,Terai,Central
2069/70,2012/13,Bara,Narayani,Terai,Central,Dental Carries/ Toothache,11802,Narayani,Terai,Central
2069/70,2012/13,Bara,Narayani,Terai,Central,"Oral ulcer,mucosa and other related disease",2177,Narayani,Terai,Central
2069/70,2012/13,Bara,Narayani,Terai,Central,Other disorder of teeth,947,Narayani,Terai,Central
2069/70,2012/13,Bara,Narayani,Terai,Central,Periodontal diseases (gum diseases),1627,Narayani,Terai,Central
2070/71,2013/14,Bara,Narayani,Terai,Central,Dental Carries/ Toothache,11306,Narayani,Terai,Central
2070/71,2013/14,Bara,Narayani,Terai,Central,"Oral ulcer,mucosa and other related disease",2262,Narayani,Terai,Central
2070/71,2013/14,Bara,Narayani,Terai,Central,Other disorder of teeth,1198,Narayani,Terai,Central
2070/71,2013/14,Bara,Narayani,Terai,Central,Periodontal diseases (gum diseases),1564,Narayani,Terai,Central
2066/67,2009/10,Bardiya,Bheri,Terai,Mid-Western,Dental Carries/ Toothache,4710,Bheri,Terai,Mid-Western
2066/67,2009/10,Bardiya,Bheri,Terai,Mid-Western,"Oral ulcer,mucosa and other related disease",3646,Bheri,Terai,Mid-Western
2066/67,2009/10,Bardiya,Bheri,Terai,Mid-Western,Other disorder of teeth,432,Bheri,Terai,Mid-Western
2066/67,2009/10,Bardiya,Bheri,Terai,Mid-Western,Periodontal diseases (gum diseases),968,Bheri,Terai,Mid-Western
2067/68,2010/11,Bardiya,Bheri,Terai,Mid-Western,Dental Carries/ Toothache,4825,Bheri,Terai,Mid-Western
2067/68,2010/11,Bardiya,Bheri,Terai,Mid-Western,"Oral ulcer,mucosa and other related disease",3770,Bheri,Terai,Mid-Western
2067/68,2010/11,Bardiya,Bheri,Terai,Mid-Western,Other disorder of teeth,356,Bheri,Terai,Mid-Western
2067/68,2010/11,Bardiya,Bheri,Terai,Mid-Western,Periodontal diseases (gum diseases),949,Bheri,Terai,Mid-Western
2068/69,2011/12,Bardiya,Bheri,Terai,Mid-Western,Dental Carries/ Toothache,5200,Bheri,Terai,Mid-Western
2068/69,2011/12,Bardiya,Bheri,Terai,Mid-Western,"Oral ulcer,mucosa and other related disease",3762,Bheri,Terai,Mid-Western
2068/69,2011/12,Bardiya,Bheri,Terai,Mid-Western,Other disorder of teeth,492,Bheri,Terai,Mid-Western
2068/69,2011/12,Bardiya,Bheri,Terai,Mid-Western,Periodontal diseases (gum diseases),1310,Bheri,Terai,Mid-Western
2069/70,2012/13,Bardiya,Bheri,Terai,Mid-Western,Dental Carries/ Toothache,4745,Bheri,Terai,Mid-Western
2069/70,2012/13,Bardiya,Bheri,Terai,Mid-Western,"Oral ulcer,mucosa and other related disease",3255,Bheri,Terai,Mid-Western
2069/70,2012/13,Bardiya,Bheri,Terai,Mid-Western,Other disorder of teeth,392,Bheri,Terai,Mid-Western
2069/70,2012/13,Bardiya,Bheri,Terai,Mid-Western,Periodontal diseases (gum diseases),1200,Bheri,Terai,Mid-Western
2070/71,2013/14,Bardiya,Bheri,Terai,Mid-Western,Dental Carries/ Toothache,5342,Bheri,Terai,Mid-Western
2070/71,2013/14,Bardiya,Bheri,Terai,Mid-Western,"Oral ulcer,mucosa and other related disease",3365,Bheri,Terai,Mid-Western
2070/71,2013/14,Bardiya,Bheri,Terai,Mid-Western,Other disorder of teeth,402,Bheri,Terai,Mid-Western
2070/71,2013/14,Bardiya,Bheri,Terai,Mid-Western,Periodontal diseases (gum diseases),1428,Bheri,Terai,Mid-Western
2066/67,2009/10,Bhaktapur,Bagmati,Hill,Central,Dental Carries/ Toothache,3800,Bagmati,Hill,Central
2066/67,2009/10,Bhaktapur,Bagmati,Hill,Central,"Oral ulcer,mucosa and other related disease",1238,Bagmati,Hill,Central
2066/67,2009/10,Bhaktapur,Bagmati,Hill,Central,Other disorder of teeth,1217,Bagmati,Hill,Central
2066/67,2009/10,Bhaktapur,Bagmati,Hill,Central,Periodontal diseases (gum diseases),1970,Bagmati,Hill,Central
2067/68,2010/11,Bhaktapur,Bagmati,Hill,Central,Dental Carries/ Toothache,8001,Bagmati,Hill,Central
2067/68,2010/11,Bhaktapur,Bagmati,Hill,Central,"Oral ulcer,mucosa and other related disease",1539,Bagmati,Hill,Central
2067/68,2010/11,Bhaktapur,Bagmati,Hill,Central,Other disorder of teeth,1521,Bagmati,Hill,Central
2067/68,2010/11,Bhaktapur,Bagmati,Hill,Central,Periodontal diseases (gum diseases),2799,Bagmati,Hill,Central
2068/69,2011/12,Bhaktapur,Bagmati,Hill,Central,Dental Carries/ Toothache,7660,Bagmati,Hill,Central
2068/69,2011/12,Bhaktapur,Bagmati,Hill,Central,"Oral ulcer,mucosa and other related disease",1889,Bagmati,Hill,Central
2068/69,2011/12,Bhaktapur,Bagmati,Hill,Central,Other disorder of teeth,3243,Bagmati,Hill,Central
2068/69,2011/12,Bhaktapur,Bagmati,Hill,Central,Periodontal diseases (gum diseases),3343,Bagmati,Hill,Central
2069/70,2012/13,Bhaktapur,Bagmati,Hill,Central,Dental Carries/ Toothache,7866,Bagmati,Hill,Central
2069/70,2012/13,Bhaktapur,Bagmati,Hill,Central,"Oral ulcer,mucosa and other related disease",2077,Bagmati,Hill,Central
2069/70,2012/13,Bhaktapur,Bagmati,Hill,Central,Other disorder of teeth,2969,Bagmati,Hill,Central
2069/70,2012/13,Bhaktapur,Bagmati,Hill,Central,Periodontal diseases (gum diseases),3774,Bagmati,Hill,Central
2070/71,2013/14,Bhaktapur,Bagmati,Hill,Central,Dental Carries/ Toothache,12201,Bagmati,Hill,Central
2070/71,2013/14,Bhaktapur,Bagmati,Hill,Central,"Oral ulcer,mucosa and other related disease",2482,Bagmati,Hill,Central
2070/71,2013/14,Bhaktapur,Bagmati,Hill,Central,Other disorder of teeth,1945,Bagmati,Hill,Central
2070/71,2013/14,Bhaktapur,Bagmati,Hill,Central,Periodontal diseases (gum diseases),4734,Bagmati,Hill,Central
2066/67,2009/10,Bhojpur,Kosi,Hill,Eastern,Dental Carries/ Toothache,3705,Kosi,Hill,Eastern
2066/67,2009/10,Bhojpur,Kosi,Hill,Eastern,"Oral ulcer,mucosa and other related disease",1170,Kosi,Hill,Eastern
2066/67,2009/10,Bhojpur,Kosi,Hill,Eastern,Other disorder of teeth,359,Kosi,Hill,Eastern
2066/67,2009/10,Bhojpur,Kosi,Hill,Eastern,Periodontal diseases (gum diseases),386,Kosi,Hill,Eastern
2067/68,2010/11,Bhojpur,Kosi,Hill,Eastern,Dental Carries/ Toothache,4055,Kosi,Hill,Eastern
2067/68,2010/11,Bhojpur,Kosi,Hill,Eastern,"Oral ulcer,mucosa and other related disease",998,Kosi,Hill,Eastern
2067/68,2010/11,Bhojpur,Kosi,Hill,Eastern,Other disorder of teeth,319,Kosi,Hill,Eastern
2067/68,2010/11,Bhojpur,Kosi,Hill,Eastern,Periodontal diseases (gum diseases),555,Kosi,Hill,Eastern
2068/69,2011/12,Bhojpur,Kosi,Hill,Eastern,Dental Carries/ Toothache,4014,Kosi,Hill,Eastern
2068/69,2011/12,Bhojpur,Kosi,Hill,Eastern,"Oral ulcer,mucosa and other related disease",1434,Kosi,Hill,Eastern
2068/69,2011/12,Bhojpur,Kosi,Hill,Eastern,Other disorder of teeth,272,Kosi,Hill,Eastern
2068/69,2011/12,Bhojpur,Kosi,Hill,Eastern,Periodontal diseases (gum diseases),645,Kosi,Hill,Eastern
2069/70,2012/13,Bhojpur,Kosi,Hill,Eastern,Dental Carries/ Toothache,3880,Kosi,Hill,Eastern
2069/70,2012/13,Bhojpur,Kosi,Hill,Eastern,"Oral ulcer,mucosa and other related disease",1087,Kosi,Hill,Eastern
2069/70,2012/13,Bhojpur,Kosi,Hill,Eastern,Other disorder of teeth,185,Kosi,Hill,Eastern
2069/70,2012/13,Bhojpur,Kosi,Hill,Eastern,Periodontal diseases (gum diseases),483,Kosi,Hill,Eastern
2070/71,2013/14,Bhojpur,Kosi,Hill,Eastern,Dental Carries/ Toothache,3657,Kosi,Hill,Eastern
2070/71,2013/14,Bhojpur,Kosi,Hill,Eastern,"Oral ulcer,mucosa and other related disease",1113,Kosi,Hill,Eastern
2070/71,2013/14,Bhojpur,Kosi,Hill,Eastern,Other disorder of teeth,323,Kosi,Hill,Eastern
2070/71,2013/14,Bhojpur,Kosi,Hill,Eastern,Periodontal diseases (gum diseases),478,Kosi,Hill,Eastern
2066/67,2009/10,Chitawan,Narayani,Terai,Central,Dental Carries/ Toothache,5769,Narayani,Terai,Central
2066/67,2009/10,Chitawan,Narayani,Terai,Central,"Oral ulcer,mucosa and other related disease",3525,Narayani,Terai,Central
2066/67,2009/10,Chitawan,Narayani,Terai,Central,Other disorder of teeth,1208,Narayani,Terai,Central
2066/67,2009/10,Chitawan,Narayani,Terai,Central,Periodontal diseases (gum diseases),2513,Narayani,Terai,Central
2067/68,2010/11,Chitawan,Narayani,Terai,Central,Dental Carries/ Toothache,7521,Narayani,Terai,Central
