District Name,Zone,Ecological Belt,Development Region,Year (B.S),Year (A.D),Indicator,Sub-Indicator,Sub-Indicator,Value
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Temporary Methods,Depo,Total,2075
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Temporary Methods,IUD,<20 Years,30
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Temporary Methods,IUD,Err:510,298
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Temporary Methods,IUD,Total,328
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Temporary Methods,Implant,<20 Years,5
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Temporary Methods,Implant,Err:510,162
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Temporary Methods,Implant,Total,167
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Temporary Methods,Total (Temporary Methods),Total,4847
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Temporary Methods,Condom,,2036
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Temporary Methods,Pills,<20 Years,119
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Temporary Methods,Pills,Err:510,1403
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Temporary Methods,Pills,Total,1522
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Temporary Methods,Depo,<20 Years,350
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Temporary Methods,Depo,Err:510,2761
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Temporary Methods,Depo,Total,3111
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Temporary Methods,IUD,<20 Years,12
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Temporary Methods,IUD,Err:510,558
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Temporary Methods,IUD,Total,570
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Temporary Methods,Implant,<20 Years,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Temporary Methods,Implant,Err:510,197
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Temporary Methods,Implant,Total,197
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Temporary Methods,Total (Temporary Methods),Total,7436
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Temporary Methods,Condom,,3173
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Temporary Methods,Pills,<20 Years,273
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Temporary Methods,Pills,Err:510,4515
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Temporary Methods,Pills,Total,4788
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Temporary Methods,Depo,<20 Years,645
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Temporary Methods,Depo,Err:510,6623
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Temporary Methods,Depo,Total,7268
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Temporary Methods,IUD,<20 Years,16
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Temporary Methods,IUD,Err:510,779
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Temporary Methods,IUD,Total,795
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Temporary Methods,Implant,<20 Years,22
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Temporary Methods,Implant,Err:510,872
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Temporary Methods,Implant,Total,894
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Temporary Methods,Total (Temporary Methods),Total,16918
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Temporary Methods,Condom,,4200
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Temporary Methods,Pills,<20 Years,156
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Temporary Methods,Pills,Err:510,2306
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Temporary Methods,Pills,Total,2462
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Temporary Methods,Depo,<20 Years,656
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Temporary Methods,Depo,Err:510,6406
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Temporary Methods,Depo,Total,7062
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Temporary Methods,IUD,<20 Years,6
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Temporary Methods,IUD,Err:510,1805
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Temporary Methods,IUD,Total,1811
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Temporary Methods,Implant,<20 Years,14
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Temporary Methods,Implant,Err:510,691
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Temporary Methods,Implant,Total,705
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Temporary Methods,Total (Temporary Methods),Total,16240
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Temporary Methods,Condom,,4086
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Temporary Methods,Pills,<20 Years,75
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Temporary Methods,Pills,Err:510,1174
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Temporary Methods,Pills,Total,1249
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Temporary Methods,Depo,<20 Years,323
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Temporary Methods,Depo,Err:510,4172
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Temporary Methods,Depo,Total,4495
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Temporary Methods,IUD,<20 Years,7
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Temporary Methods,IUD,Err:510,348
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Temporary Methods,IUD,Total,355
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Temporary Methods,Implant,<20 Years,8
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Temporary Methods,Implant,Err:510,399
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Temporary Methods,Implant,Total,407
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Temporary Methods,Total (Temporary Methods),Total,10592
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Temporary Methods,Condom,,1375
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Temporary Methods,Pills,<20 Years,176
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Temporary Methods,Pills,Err:510,1490
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Temporary Methods,Pills,Total,1666
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Temporary Methods,Depo,<20 Years,128
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Temporary Methods,Depo,Err:510,2389
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Temporary Methods,Depo,Total,2517
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Temporary Methods,IUD,<20 Years,2
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Temporary Methods,IUD,Err:510,116
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Temporary Methods,IUD,Total,118
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Temporary Methods,Implant,<20 Years,7
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Temporary Methods,Implant,Err:510,139
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Temporary Methods,Implant,Total,146
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Temporary Methods,Total (Temporary Methods),Total,5822
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Temporary Methods,Condom,,903
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Temporary Methods,Pills,<20 Years,31
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Temporary Methods,Pills,Err:510,421
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Temporary Methods,Pills,Total,452
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Temporary Methods,Depo,<20 Years,63
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Temporary Methods,Depo,Err:510,979
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Temporary Methods,Depo,Total,1042
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Temporary Methods,IUD,<20 Years,0
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Temporary Methods,IUD,Err:510,21
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Temporary Methods,IUD,Total,21
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Temporary Methods,Implant,<20 Years,0
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Temporary Methods,Implant,Err:510,62
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Temporary Methods,Implant,Total,62
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Temporary Methods,Total (Temporary Methods),Total,2480
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Temporary Methods,Condom,,913
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Temporary Methods,Pills,<20 Years,61
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Temporary Methods,Pills,Err:510,636
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Temporary Methods,Pills,Total,697
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Temporary Methods,Depo,<20 Years,176
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Temporary Methods,Depo,Err:510,1663
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Temporary Methods,Depo,Total,1839
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Temporary Methods,IUD,<20 Years,93
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Temporary Methods,IUD,Err:510,54
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Temporary Methods,IUD,Total,147
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Temporary Methods,Implant,<20 Years,8
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Temporary Methods,Implant,Err:510,229
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Temporary Methods,Implant,Total,237
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Temporary Methods,Total (Temporary Methods),Total,3833
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Temporary Methods,Condom,,1316
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Temporary Methods,Pills,<20 Years,40
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Temporary Methods,Pills,Err:510,510
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Temporary Methods,Pills,Total,550
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Temporary Methods,Depo,<20 Years,97
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Temporary Methods,Depo,Err:510,1260
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Temporary Methods,Depo,Total,1357
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Temporary Methods,IUD,<20 Years,0
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Temporary Methods,IUD,Err:510,124
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Temporary Methods,IUD,Total,124
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Temporary Methods,Implant,<20 Years,0
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Temporary Methods,Implant,Err:510,234
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Temporary Methods,Implant,Total,234
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Temporary Methods,Total (Temporary Methods),Total,3581
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,Temporary Methods,Condom,,1092
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,Temporary Methods,Pills,<20 Years,77
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,Temporary Methods,Pills,Err:510,1104
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,Temporary Methods,Pills,Total,1181
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,Temporary Methods,Depo,<20 Years,137
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,Temporary Methods,Depo,Err:510,2444
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,Temporary Methods,Depo,Total,2581
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,Temporary Methods,IUD,<20 Years,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,Temporary Methods,IUD,Err:510,25
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,Temporary Methods,IUD,Total,25
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,Temporary Methods,Implant,<20 Years,1
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,Temporary Methods,Implant,Err:510,276
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,Temporary Methods,Implant,Total,277
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,Temporary Methods,Total (Temporary Methods),Total,5156
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,Temporary Methods,Condom,,757
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,Temporary Methods,Pills,<20 Years,75
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,Temporary Methods,Pills,Err:510,814
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,Temporary Methods,Pills,Total,889
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,Temporary Methods,Depo,<20 Years,151
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,Temporary Methods,Depo,Err:510,1986
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,Temporary Methods,Depo,Total,2137
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,Temporary Methods,IUD,<20 Years,0
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,Temporary Methods,IUD,Err:510,28
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,Temporary Methods,IUD,Total,28
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,Temporary Methods,Implant,<20 Years,5
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,Temporary Methods,Implant,Err:510,215
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,Temporary Methods,Implant,Total,220
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,Temporary Methods,Total (Temporary Methods),Total,4031
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,Temporary Methods,Condom,,1134
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,Temporary Methods,Pills,<20 Years,115
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,Temporary Methods,Pills,Err:510,1000
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,Temporary Methods,Pills,Total,1115
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,Temporary Methods,Depo,<20 Years,130
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,Temporary Methods,Depo,Err:510,1670
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,Temporary Methods,Depo,Total,1800
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,Temporary Methods,IUD,<20 Years,2
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,Temporary Methods,IUD,Err:510,268
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,Temporary Methods,IUD,Total,270
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,Temporary Methods,Implant,<20 Years,3
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,Temporary Methods,Implant,Err:510,165
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,Temporary Methods,Implant,Total,168
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,Temporary Methods,Total (Temporary Methods),Total,4487
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,Temporary Methods,Condom,,882
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,Temporary Methods,Pills,<20 Years,116
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,Temporary Methods,Pills,Err:510,1147
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,Temporary Methods,Pills,Total,1263
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,Temporary Methods,Depo,<20 Years,295
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,Temporary Methods,Depo,Err:510,2722
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,Temporary Methods,Depo,Total,3017
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,Temporary Methods,IUD,<20 Years,5
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,Temporary Methods,IUD,Err:510,207
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,Temporary Methods,IUD,Total,212
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,Temporary Methods,Implant,<20 Years,0
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,Temporary Methods,Implant,Err:510,93
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,Temporary Methods,Implant,Total,93
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,Temporary Methods,Total (Temporary Methods),Total,5467
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,Temporary Methods,Condom,,3689
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,Temporary Methods,Pills,<20 Years,76
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,Temporary Methods,Pills,Err:510,2387
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,Temporary Methods,Pills,Total,2463
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,Temporary Methods,Depo,<20 Years,60
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,Temporary Methods,Depo,Err:510,4355
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,Temporary Methods,Depo,Total,4415
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,Temporary Methods,IUD,<20 Years,0
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,Temporary Methods,IUD,Err:510,126
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,Temporary Methods,IUD,Total,126
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,Temporary Methods,Implant,<20 Years,0
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,Temporary Methods,Implant,Err:510,43
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,Temporary Methods,Implant,Total,43
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,Temporary Methods,Total (Temporary Methods),Total,10736
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,Temporary Methods,Condom,,3744
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,Temporary Methods,Pills,<20 Years,471
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,Temporary Methods,Pills,Err:510,2092
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,Temporary Methods,Pills,Total,2563
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,Temporary Methods,Depo,<20 Years,88
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,Temporary Methods,Depo,Err:510,6438
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,Temporary Methods,Depo,Total,6526
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,Temporary Methods,IUD,<20 Years,15
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,Temporary Methods,IUD,Err:510,672
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,Temporary Methods,IUD,Total,687
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,Temporary Methods,Implant,<20 Years,17
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,Temporary Methods,Implant,Err:510,404
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,Temporary Methods,Implant,Total,421
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,Temporary Methods,Total (Temporary Methods),Total,13941
Dhanusha,Janakpur,Terai,Central,2068/69,2011/12,Temporary Methods,Condom,,4140
Dhanusha,Janakpur,Terai,Central,2068/69,2011/12,Temporary Methods,Pills,<20 Years,152
Dhanusha,Janakpur,Terai,Central,2068/69,2011/12,Temporary Methods,Pills,Err:510,1924
Dhanusha,Janakpur,Terai,Central,2068/69,2011/12,Temporary Methods,Pills,Total,2076
Dhanusha,Janakpur,Terai,Central,2068/69,2011/12,Temporary Methods,Depo,<20 Years,188
Dhanusha,Janakpur,Terai,Central,2068/69,2011/12,Temporary Methods,Depo,Err:510,4995
Dhanusha,Janakpur,Terai,Central,2068/69,2011/12,Temporary Methods,Depo,Total,5183
Dhanusha,Janakpur,Terai,Central,2068/69,2011/12,Temporary Methods,IUD,<20 Years,39
Dhanusha,Janakpur,Terai,Central,2068/69,2011/12,Temporary Methods,IUD,Err:510,361
Dhanusha,Janakpur,Terai,Central,2068/69,2011/12,Temporary Methods,IUD,Total,400
Dhanusha,Janakpur,Terai,Central,2068/69,2011/12,Temporary Methods,Implant,<20 Years,16
Dhanusha,Janakpur,Terai,Central,2068/69,2011/12,Temporary Methods,Implant,Err:510,166
Dhanusha,Janakpur,Terai,Central,2068/69,2011/12,Temporary Methods,Implant,Total,182
Dhanusha,Janakpur,Terai,Central,2068/69,2011/12,Temporary Methods,Total (Temporary Methods),Total,11981
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,Temporary Methods,Condom,,3423
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,Temporary Methods,Pills,<20 Years,134
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,Temporary Methods,Pills,Err:510,2085
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,Temporary Methods,Pills,Total,2219
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,Temporary Methods,Depo,<20 Years,270
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,Temporary Methods,Depo,Err:510,4108
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,Temporary Methods,Depo,Total,4378
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,Temporary Methods,IUD,<20 Years,253
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,Temporary Methods,IUD,Err:510,759
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,Temporary Methods,IUD,Total,1012
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,Temporary Methods,Implant,<20 Years,1
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,Temporary Methods,Implant,Err:510,179
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,Temporary Methods,Implant,Total,180
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,Temporary Methods,Total (Temporary Methods),Total,11212
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,Temporary Methods,Condom,,3674
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,Temporary Methods,Pills,<20 Years,354
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,Temporary Methods,Pills,Err:510,4039
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,Temporary Methods,Pills,Total,4393
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,Temporary Methods,Depo,<20 Years,441
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,Temporary Methods,Depo,Err:510,4460
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,Temporary Methods,Depo,Total,4901
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,Temporary Methods,IUD,<20 Years,7
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,Temporary Methods,IUD,Err:510,1182
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,Temporary Methods,IUD,Total,1189
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,Temporary Methods,Implant,<20 Years,26
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,Temporary Methods,Implant,Err:510,950
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,Temporary Methods,Implant,Total,976
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,Temporary Methods,Total (Temporary Methods),Total,15133
Sindhuli,Janakpur,Hill,Central,2068/69,2011/12,Temporary Methods,Condom,,1315
Sindhuli,Janakpur,Hill,Central,2068/69,2011/12,Temporary Methods,Pills,<20 Years,90
Sindhuli,Janakpur,Hill,Central,2068/69,2011/12,Temporary Methods,Pills,Err:510,1034
Sindhuli,Janakpur,Hill,Central,2068/69,2011/12,Temporary Methods,Pills,Total,1124
Sindhuli,Janakpur,Hill,Central,2068/69,2011/12,Temporary Methods,Depo,<20 Years,182
Sindhuli,Janakpur,Hill,Central,2068/69,2011/12,Temporary Methods,Depo,Err:510,2155
Sindhuli,Janakpur,Hill,Central,2068/69,2011/12,Temporary Methods,Depo,Total,2337
Sindhuli,Janakpur,Hill,Central,2068/69,2011/12,Temporary Methods,IUD,<20 Years,4
Sindhuli,Janakpur,Hill,Central,2068/69,2011/12,Temporary Methods,IUD,Err:510,104
