District,zone,belt,region,Year BS,Year AD,Respiratory problems,Morbidity Number,Zone,Belt,Region
Jhapa,Mechi,Terai,Eastern,2066/67,2009/10,Foreign body in respiratory tract,98.0,Mechi,Terai,Eastern
Khotang,Sagarmatha,Hill,Eastern,2066/67,2009/10,"ARI/Lower respiratory
tract Infection",11472.0,Sagarmatha,Hill,Eastern
Khotang,Sagarmatha,Hill,Eastern,2066/67,2009/10,"Upper respiratory tract
Infection",9835.0,Sagarmatha,Hill,Eastern
Khotang,Sagarmatha,Hill,Eastern,2066/67,2009/10,Pneumonia,6826.0,Sagarmatha,Hill,Eastern
Khotang,Sagarmatha,Hill,Eastern,2066/67,2009/10,Sever Pneumonia,471.0,Sagarmatha,Hill,Eastern
Khotang,Sagarmatha,Hill,Eastern,2066/67,2009/10,Bronchitis,2992.0,Sagarmatha,Hill,Eastern
Khotang,Sagarmatha,Hill,Eastern,2066/67,2009/10,Asthama,3508.0,Sagarmatha,Hill,Eastern
Khotang,Sagarmatha,Hill,Eastern,2066/67,2009/10,Viral Influnenza,811.0,Sagarmatha,Hill,Eastern
Khotang,Sagarmatha,Hill,Eastern,2066/67,2009/10,Foreign body in respiratory tract,159.0,Sagarmatha,Hill,Eastern
Morang,Kosi,Terai,Eastern,2066/67,2009/10,"ARI/Lower respiratory
tract Infection",29984.0,Kosi,Terai,Eastern
Morang,Kosi,Terai,Eastern,2066/67,2009/10,"Upper respiratory tract
Infection",26767.0,Kosi,Terai,Eastern
Morang,Kosi,Terai,Eastern,2066/67,2009/10,Pneumonia,12185.0,Kosi,Terai,Eastern
Morang,Kosi,Terai,Eastern,2066/67,2009/10,Sever Pneumonia,645.0,Kosi,Terai,Eastern
Morang,Kosi,Terai,Eastern,2066/67,2009/10,Bronchitis,7842.0,Kosi,Terai,Eastern
Morang,Kosi,Terai,Eastern,2066/67,2009/10,Asthama,5541.0,Kosi,Terai,Eastern
Morang,Kosi,Terai,Eastern,2066/67,2009/10,Viral Influnenza,2867.0,Kosi,Terai,Eastern
Morang,Kosi,Terai,Eastern,2066/67,2009/10,Foreign body in respiratory tract,252.0,Kosi,Terai,Eastern
Okhaldhunga,Sagarmatha,Hill,Eastern,2066/67,2009/10,"ARI/Lower respiratory
tract Infection",16122.0,Sagarmatha,Hill,Eastern
Okhaldhunga,Sagarmatha,Hill,Eastern,2066/67,2009/10,"Upper respiratory tract
Infection",13082.0,Sagarmatha,Hill,Eastern
Okhaldhunga,Sagarmatha,Hill,Eastern,2066/67,2009/10,Pneumonia,6836.0,Sagarmatha,Hill,Eastern
Okhaldhunga,Sagarmatha,Hill,Eastern,2066/67,2009/10,Sever Pneumonia,336.0,Sagarmatha,Hill,Eastern
Okhaldhunga,Sagarmatha,Hill,Eastern,2066/67,2009/10,Bronchitis,3441.0,Sagarmatha,Hill,Eastern
Okhaldhunga,Sagarmatha,Hill,Eastern,2066/67,2009/10,Asthama,4105.0,Sagarmatha,Hill,Eastern
Okhaldhunga,Sagarmatha,Hill,Eastern,2066/67,2009/10,Viral Influnenza,1177.0,Sagarmatha,Hill,Eastern
Okhaldhunga,Sagarmatha,Hill,Eastern,2066/67,2009/10,Foreign body in respiratory tract,142.0,Sagarmatha,Hill,Eastern
Panchthar,Mechi,Hill,Eastern,2066/67,2009/10,"ARI/Lower respiratory
tract Infection",8205.0,Mechi,Hill,Eastern
Panchthar,Mechi,Hill,Eastern,2066/67,2009/10,"Upper respiratory tract
Infection",6140.0,Mechi,Hill,Eastern
Panchthar,Mechi,Hill,Eastern,2066/67,2009/10,Pneumonia,5709.0,Mechi,Hill,Eastern
Panchthar,Mechi,Hill,Eastern,2066/67,2009/10,Sever Pneumonia,341.0,Mechi,Hill,Eastern
Panchthar,Mechi,Hill,Eastern,2066/67,2009/10,Bronchitis,1490.0,Mechi,Hill,Eastern
Panchthar,Mechi,Hill,Eastern,2066/67,2009/10,Asthama,1604.0,Mechi,Hill,Eastern
Panchthar,Mechi,Hill,Eastern,2066/67,2009/10,Viral Influnenza,587.0,Mechi,Hill,Eastern
Panchthar,Mechi,Hill,Eastern,2066/67,2009/10,Foreign body in respiratory tract,43.0,Mechi,Hill,Eastern
Sankhuwasabha,Kosi,Mountain,Eastern,2066/67,2009/10,"ARI/Lower respiratory
tract Infection",10112.0,Kosi,Mountain,Eastern
Sankhuwasabha,Kosi,Mountain,Eastern,2066/67,2009/10,"Upper respiratory tract
Infection",7286.0,Kosi,Mountain,Eastern
Sankhuwasabha,Kosi,Mountain,Eastern,2066/67,2009/10,Pneumonia,5702.0,Kosi,Mountain,Eastern
Sankhuwasabha,Kosi,Mountain,Eastern,2066/67,2009/10,Sever Pneumonia,141.0,Kosi,Mountain,Eastern
Sankhuwasabha,Kosi,Mountain,Eastern,2066/67,2009/10,Bronchitis,1087.0,Kosi,Mountain,Eastern
Sankhuwasabha,Kosi,Mountain,Eastern,2066/67,2009/10,Asthama,2110.0,Kosi,Mountain,Eastern
Sankhuwasabha,Kosi,Mountain,Eastern,2066/67,2009/10,Viral Influnenza,622.0,Kosi,Mountain,Eastern
Sankhuwasabha,Kosi,Mountain,Eastern,2066/67,2009/10,Foreign body in respiratory tract,63.0,Kosi,Mountain,Eastern
Saptari,Sagarmatha,Terai,Eastern,2066/67,2009/10,"ARI/Lower respiratory
tract Infection",35796.0,Sagarmatha,Terai,Eastern
Saptari,Sagarmatha,Terai,Eastern,2066/67,2009/10,"Upper respiratory tract
Infection",22835.0,Sagarmatha,Terai,Eastern
Saptari,Sagarmatha,Terai,Eastern,2066/67,2009/10,Pneumonia,12328.0,Sagarmatha,Terai,Eastern
Saptari,Sagarmatha,Terai,Eastern,2066/67,2009/10,Sever Pneumonia,265.0,Sagarmatha,Terai,Eastern
Saptari,Sagarmatha,Terai,Eastern,2066/67,2009/10,Bronchitis,12298.0,Sagarmatha,Terai,Eastern
Saptari,Sagarmatha,Terai,Eastern,2066/67,2009/10,Asthama,9521.0,Sagarmatha,Terai,Eastern
Saptari,Sagarmatha,Terai,Eastern,2066/67,2009/10,Viral Influnenza,6339.0,Sagarmatha,Terai,Eastern
Saptari,Sagarmatha,Terai,Eastern,2066/67,2009/10,Foreign body in respiratory tract,207.0,Sagarmatha,Terai,Eastern
Siraha,Sagarmatha,Terai,Eastern,2066/67,2009/10,"ARI/Lower respiratory
tract Infection",30568.0,Sagarmatha,Terai,Eastern
Siraha,Sagarmatha,Terai,Eastern,2066/67,2009/10,"Upper respiratory tract
Infection",28282.0,Sagarmatha,Terai,Eastern
Siraha,Sagarmatha,Terai,Eastern,2066/67,2009/10,Pneumonia,14386.0,Sagarmatha,Terai,Eastern
Siraha,Sagarmatha,Terai,Eastern,2066/67,2009/10,Sever Pneumonia,677.0,Sagarmatha,Terai,Eastern
Siraha,Sagarmatha,Terai,Eastern,2066/67,2009/10,Bronchitis,12588.0,Sagarmatha,Terai,Eastern
Siraha,Sagarmatha,Terai,Eastern,2066/67,2009/10,Asthama,8811.0,Sagarmatha,Terai,Eastern
Siraha,Sagarmatha,Terai,Eastern,2066/67,2009/10,Viral Influnenza,3791.0,Sagarmatha,Terai,Eastern
Siraha,Sagarmatha,Terai,Eastern,2066/67,2009/10,Foreign body in respiratory tract,207.0,Sagarmatha,Terai,Eastern
Solukhumbu,Sagarmatha,Mountain,Eastern,2066/67,2009/10,"ARI/Lower respiratory
tract Infection",7358.0,Sagarmatha,Mountain,Eastern
Solukhumbu,Sagarmatha,Mountain,Eastern,2066/67,2009/10,"Upper respiratory tract
Infection",8259.0,Sagarmatha,Mountain,Eastern
Solukhumbu,Sagarmatha,Mountain,Eastern,2066/67,2009/10,Pneumonia,2385.0,Sagarmatha,Mountain,Eastern
Solukhumbu,Sagarmatha,Mountain,Eastern,2066/67,2009/10,Sever Pneumonia,180.0,Sagarmatha,Mountain,Eastern
Solukhumbu,Sagarmatha,Mountain,Eastern,2066/67,2009/10,Bronchitis,2499.0,Sagarmatha,Mountain,Eastern
Solukhumbu,Sagarmatha,Mountain,Eastern,2066/67,2009/10,Asthama,2382.0,Sagarmatha,Mountain,Eastern
Solukhumbu,Sagarmatha,Mountain,Eastern,2066/67,2009/10,Viral Influnenza,164.0,Sagarmatha,Mountain,Eastern
Solukhumbu,Sagarmatha,Mountain,Eastern,2066/67,2009/10,Foreign body in respiratory tract,120.0,Sagarmatha,Mountain,Eastern
Sunsari,Kosi,Terai,Eastern,2066/67,2009/10,"ARI/Lower respiratory
tract Infection",36345.0,Kosi,Terai,Eastern
Sunsari,Kosi,Terai,Eastern,2066/67,2009/10,"Upper respiratory tract
Infection",27927.0,Kosi,Terai,Eastern
Sunsari,Kosi,Terai,Eastern,2066/67,2009/10,Pneumonia,18023.0,Kosi,Terai,Eastern
Sunsari,Kosi,Terai,Eastern,2066/67,2009/10,Sever Pneumonia,696.0,Kosi,Terai,Eastern
Sunsari,Kosi,Terai,Eastern,2066/67,2009/10,Bronchitis,4228.0,Kosi,Terai,Eastern
Sunsari,Kosi,Terai,Eastern,2066/67,2009/10,Asthama,5365.0,Kosi,Terai,Eastern
Sunsari,Kosi,Terai,Eastern,2066/67,2009/10,Viral Influnenza,2489.0,Kosi,Terai,Eastern
Sunsari,Kosi,Terai,Eastern,2066/67,2009/10,Foreign body in respiratory tract,58.0,Kosi,Terai,Eastern
Taplejung,Mechi,Mountain,Eastern,2066/67,2009/10,"ARI/Lower respiratory
tract Infection",8308.0,Mechi,Mountain,Eastern
Taplejung,Mechi,Mountain,Eastern,2066/67,2009/10,"Upper respiratory tract
Infection",7036.0,Mechi,Mountain,Eastern
Taplejung,Mechi,Mountain,Eastern,2066/67,2009/10,Pneumonia,4861.0,Mechi,Mountain,Eastern
Taplejung,Mechi,Mountain,Eastern,2066/67,2009/10,Sever Pneumonia,357.0,Mechi,Mountain,Eastern
Taplejung,Mechi,Mountain,Eastern,2066/67,2009/10,Bronchitis,1601.0,Mechi,Mountain,Eastern
Taplejung,Mechi,Mountain,Eastern,2066/67,2009/10,Asthama,1943.0,Mechi,Mountain,Eastern
Taplejung,Mechi,Mountain,Eastern,2066/67,2009/10,Viral Influnenza,1287.0,Mechi,Mountain,Eastern
Taplejung,Mechi,Mountain,Eastern,2066/67,2009/10,Foreign body in respiratory tract,117.0,Mechi,Mountain,Eastern
Terhathum,Kosi,Hill,Eastern,2066/67,2009/10,"ARI/Lower respiratory
tract Infection",5014.0,Kosi,Hill,Eastern
Terhathum,Kosi,Hill,Eastern,2066/67,2009/10,"Upper respiratory tract
Infection",6492.0,Kosi,Hill,Eastern
Terhathum,Kosi,Hill,Eastern,2066/67,2009/10,Pneumonia,3836.0,Kosi,Hill,Eastern
Terhathum,Kosi,Hill,Eastern,2066/67,2009/10,Sever Pneumonia,74.0,Kosi,Hill,Eastern
Terhathum,Kosi,Hill,Eastern,2066/67,2009/10,Bronchitis,1906.0,Kosi,Hill,Eastern
Terhathum,Kosi,Hill,Eastern,2066/67,2009/10,Asthama,1362.0,Kosi,Hill,Eastern
Terhathum,Kosi,Hill,Eastern,2066/67,2009/10,Viral Influnenza,870.0,Kosi,Hill,Eastern
Terhathum,Kosi,Hill,Eastern,2066/67,2009/10,Foreign body in respiratory tract,83.0,Kosi,Hill,Eastern
Udayapur,Sagarmatha,Hill,Eastern,2066/67,2009/10,"ARI/Lower respiratory
tract Infection",8077.0,Sagarmatha,Hill,Eastern
Udayapur,Sagarmatha,Hill,Eastern,2066/67,2009/10,"Upper respiratory tract
Infection",5944.0,Sagarmatha,Hill,Eastern
Udayapur,Sagarmatha,Hill,Eastern,2066/67,2009/10,Pneumonia,4104.0,Sagarmatha,Hill,Eastern
Udayapur,Sagarmatha,Hill,Eastern,2066/67,2009/10,Sever Pneumonia,223.0,Sagarmatha,Hill,Eastern
Udayapur,Sagarmatha,Hill,Eastern,2066/67,2009/10,Bronchitis,3462.0,Sagarmatha,Hill,Eastern
Udayapur,Sagarmatha,Hill,Eastern,2066/67,2009/10,Asthama,2485.0,Sagarmatha,Hill,Eastern
Udayapur,Sagarmatha,Hill,Eastern,2066/67,2009/10,Viral Influnenza,1562.0,Sagarmatha,Hill,Eastern
Udayapur,Sagarmatha,Hill,Eastern,2066/67,2009/10,Foreign body in respiratory tract,267.0,Sagarmatha,Hill,Eastern
Bara,Narayani,Terai,Central,2066/67,2009/10,"ARI/Lower respiratory
tract Infection",17293.0,Narayani,Terai,Central
Bara,Narayani,Terai,Central,2066/67,2009/10,"Upper respiratory tract
Infection",14895.0,Narayani,Terai,Central
Bara,Narayani,Terai,Central,2066/67,2009/10,Pneumonia,7476.0,Narayani,Terai,Central
Bara,Narayani,Terai,Central,2066/67,2009/10,Sever Pneumonia,597.0,Narayani,Terai,Central
Bara,Narayani,Terai,Central,2066/67,2009/10,Bronchitis,8218.0,Narayani,Terai,Central
Bara,Narayani,Terai,Central,2066/67,2009/10,Asthama,9115.0,Narayani,Terai,Central
Bara,Narayani,Terai,Central,2066/67,2009/10,Viral Influnenza,1284.0,Narayani,Terai,Central
Bara,Narayani,Terai,Central,2066/67,2009/10,Foreign body in respiratory tract,181.0,Narayani,Terai,Central
Bhaktapur,Bagmati,Hill,Central,2066/67,2009/10,"ARI/Lower respiratory
tract Infection",6730.0,Bagmati,Hill,Central
Bhaktapur,Bagmati,Hill,Central,2066/67,2009/10,"Upper respiratory tract
Infection",7861.0,Bagmati,Hill,Central
Bhaktapur,Bagmati,Hill,Central,2066/67,2009/10,Pneumonia,2787.0,Bagmati,Hill,Central
Bhaktapur,Bagmati,Hill,Central,2066/67,2009/10,Sever Pneumonia,26.0,Bagmati,Hill,Central
Bhaktapur,Bagmati,Hill,Central,2066/67,2009/10,Bronchitis,1170.0,Bagmati,Hill,Central
Bhaktapur,Bagmati,Hill,Central,2066/67,2009/10,Asthama,2406.0,Bagmati,Hill,Central
Bhaktapur,Bagmati,Hill,Central,2066/67,2009/10,Viral Influnenza,1607.0,Bagmati,Hill,Central
Bhaktapur,Bagmati,Hill,Central,2066/67,2009/10,Foreign body in respiratory tract,61.0,Bagmati,Hill,Central
Chitawan,Narayani,Terai,Central,2066/67,2009/10,"ARI/Lower respiratory
tract Infection",13222.0,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2066/67,2009/10,"Upper respiratory tract
Infection",12853.0,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2066/67,2009/10,Pneumonia,7452.0,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2066/67,2009/10,Sever Pneumonia,225.0,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2066/67,2009/10,Bronchitis,3514.0,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2066/67,2009/10,Asthama,5214.0,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2066/67,2009/10,Viral Influnenza,2487.0,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2066/67,2009/10,Foreign body in respiratory tract,582.0,Narayani,Terai,Central
Dhading,Bagmati,Hill,Central,2066/67,2009/10,"ARI/Lower respiratory
tract Infection",15449.0,Bagmati,Hill,Central
Dhading,Bagmati,Hill,Central,2066/67,2009/10,"Upper respiratory tract
Infection",11236.0,Bagmati,Hill,Central
Dhading,Bagmati,Hill,Central,2066/67,2009/10,Pneumonia,8163.0,Bagmati,Hill,Central
Dhading,Bagmati,Hill,Central,2066/67,2009/10,Sever Pneumonia,480.0,Bagmati,Hill,Central
Dhading,Bagmati,Hill,Central,2066/67,2009/10,Bronchitis,4059.0,Bagmati,Hill,Central
Dhading,Bagmati,Hill,Central,2066/67,2009/10,Asthama,6057.0,Bagmati,Hill,Central
Dhading,Bagmati,Hill,Central,2066/67,2009/10,Viral Influnenza,4603.0,Bagmati,Hill,Central
Dhading,Bagmati,Hill,Central,2066/67,2009/10,Foreign body in respiratory tract,110.0,Bagmati,Hill,Central
Dhanusa,Janakpur,Terai,Central,2066/67,2009/10,"ARI/Lower respiratory
tract Infection",35310.0,Janakpur,Terai,Central
Dhanusa,Janakpur,Terai,Central,2066/67,2009/10,"Upper respiratory tract
Infection",24498.0,Janakpur,Terai,Central
Dhanusa,Janakpur,Terai,Central,2066/67,2009/10,Pneumonia,12300.0,Janakpur,Terai,Central
Dhanusa,Janakpur,Terai,Central,2066/67,2009/10,Sever Pneumonia,456.0,Janakpur,Terai,Central
Dhanusa,Janakpur,Terai,Central,2066/67,2009/10,Bronchitis,11579.0,Janakpur,Terai,Central
Dhanusa,Janakpur,Terai,Central,2066/67,2009/10,Asthama,12362.0,Janakpur,Terai,Central
Dhanusa,Janakpur,Terai,Central,2066/67,2009/10,Viral Influnenza,5131.0,Janakpur,Terai,Central
Dhanusa,Janakpur,Terai,Central,2066/67,2009/10,Foreign body in respiratory tract,419.0,Janakpur,Terai,Central
Dolakha,Janakpur,Mountain,Central,2066/67,2009/10,"ARI/Lower respiratory
tract Infection",14019.0,Janakpur,Mountain,Central
Dolakha,Janakpur,Mountain,Central,2066/67,2009/10,"Upper respiratory tract
Infection",10892.0,Janakpur,Mountain,Central
Dolakha,Janakpur,Mountain,Central,2066/67,2009/10,Pneumonia,4040.0,Janakpur,Mountain,Central
Dolakha,Janakpur,Mountain,Central,2066/67,2009/10,Sever Pneumonia,135.0,Janakpur,Mountain,Central
Dolakha,Janakpur,Mountain,Central,2066/67,2009/10,Bronchitis,2597.0,Janakpur,Mountain,Central
Dolakha,Janakpur,Mountain,Central,2066/67,2009/10,Asthama,3619.0,Janakpur,Mountain,Central
Dolakha,Janakpur,Mountain,Central,2066/67,2009/10,Viral Influnenza,1866.0,Janakpur,Mountain,Central
Dolakha,Janakpur,Mountain,Central,2066/67,2009/10,Foreign body in respiratory tract,289.0,Janakpur,Mountain,Central
Kathmandu,Bagmati,Hill,Central,2066/67,2009/10,"ARI/Lower respiratory
tract Infection",18188.0,Bagmati,Hill,Central
Kathmandu,Bagmati,Hill,Central,2066/67,2009/10,"Upper respiratory tract
Infection",17910.0,Bagmati,Hill,Central
Kathmandu,Bagmati,Hill,Central,2066/67,2009/10,Pneumonia,7305.0,Bagmati,Hill,Central
Kathmandu,Bagmati,Hill,Central,2066/67,2009/10,Sever Pneumonia,265.0,Bagmati,Hill,Central
Kathmandu,Bagmati,Hill,Central,2066/67,2009/10,Bronchitis,4146.0,Bagmati,Hill,Central
Kathmandu,Bagmati,Hill,Central,2066/67,2009/10,Asthama,10210.0,Bagmati,Hill,Central
Kathmandu,Bagmati,Hill,Central,2066/67,2009/10,Viral Influnenza,3687.0,Bagmati,Hill,Central
Kathmandu,Bagmati,Hill,Central,2066/67,2009/10,Foreign body in respiratory tract,479.0,Bagmati,Hill,Central
Kavre,Bagmati,Hill,Central,2066/67,2009/10,"ARI/Lower respiratory
tract Infection",23570.0,Bagmati,Hill,Central
Kavre,Bagmati,Hill,Central,2066/67,2009/10,"Upper respiratory tract
Infection",21259.0,Bagmati,Hill,Central
Kavre,Bagmati,Hill,Central,2066/67,2009/10,Pneumonia,8351.0,Bagmati,Hill,Central
Kavre,Bagmati,Hill,Central,2066/67,2009/10,Sever Pneumonia,180.0,Bagmati,Hill,Central
Kavre,Bagmati,Hill,Central,2066/67,2009/10,Bronchitis,5436.0,Bagmati,Hill,Central
Kavre,Bagmati,Hill,Central,2066/67,2009/10,Asthama,7846.0,Bagmati,Hill,Central
Kavre,Bagmati,Hill,Central,2066/67,2009/10,Viral Influnenza,4733.0,Bagmati,Hill,Central
Kavre,Bagmati,Hill,Central,2066/67,2009/10,Foreign body in respiratory tract,152.0,Bagmati,Hill,Central
Lalitpur,Bagmati,Hill,Central,2066/67,2009/10,"ARI/Lower respiratory
tract Infection",0.0,Bagmati,Hill,Central
Lalitpur,Bagmati,Hill,Central,2066/67,2009/10,"Upper respiratory tract
Infection",0.0,Bagmati,Hill,Central
Lalitpur,Bagmati,Hill,Central,2066/67,2009/10,Pneumonia,0.0,Bagmati,Hill,Central
Lalitpur,Bagmati,Hill,Central,2066/67,2009/10,Sever Pneumonia,0.0,Bagmati,Hill,Central
Lalitpur,Bagmati,Hill,Central,2066/67,2009/10,Bronchitis,0.0,Bagmati,Hill,Central
Lalitpur,Bagmati,Hill,Central,2066/67,2009/10,Asthama,0.0,Bagmati,Hill,Central
Lalitpur,Bagmati,Hill,Central,2066/67,2009/10,Viral Influnenza,0.0,Bagmati,Hill,Central
Lalitpur,Bagmati,Hill,Central,2066/67,2009/10,Foreign body in respiratory tract,0.0,Bagmati,Hill,Central
Mahottari,Janakpur,Terai,Central,2066/67,2009/10,"ARI/Lower respiratory
tract Infection",21082.0,Janakpur,Terai,Central
Mahottari,Janakpur,Terai,Central,2066/67,2009/10,"Upper respiratory tract
Infection",16752.0,Janakpur,Terai,Central
Mahottari,Janakpur,Terai,Central,2066/67,2009/10,Pneumonia,8946.0,Janakpur,Terai,Central
Mahottari,Janakpur,Terai,Central,2066/67,2009/10,Sever Pneumonia,620.0,Janakpur,Terai,Central
Mahottari,Janakpur,Terai,Central,2066/67,2009/10,Bronchitis,9160.0,Janakpur,Terai,Central
Mahottari,Janakpur,Terai,Central,2066/67,2009/10,Asthama,9457.0,Janakpur,Terai,Central
Mahottari,Janakpur,Terai,Central,2066/67,2009/10,Viral Influnenza,2489.0,Janakpur,Terai,Central
Mahottari,Janakpur,Terai,Central,2066/67,2009/10,Foreign body in respiratory tract,358.0,Janakpur,Terai,Central
Makwanpur,Narayani,Hill,Central,2066/67,2009/10,"ARI/Lower respiratory
tract Infection",7233.0,Narayani,Hill,Central
Makwanpur,Narayani,Hill,Central,2066/67,2009/10,"Upper respiratory tract
Infection",7329.0,Narayani,Hill,Central
Makwanpur,Narayani,Hill,Central,2066/67,2009/10,Pneumonia,4500.0,Narayani,Hill,Central
Makwanpur,Narayani,Hill,Central,2066/67,2009/10,Sever Pneumonia,393.0,Narayani,Hill,Central
Makwanpur,Narayani,Hill,Central,2066/67,2009/10,Bronchitis,3516.0,Narayani,Hill,Central
Makwanpur,Narayani,Hill,Central,2066/67,2009/10,Asthama,2687.0,Narayani,Hill,Central
Makwanpur,Narayani,Hill,Central,2066/67,2009/10,Viral Influnenza,1504.0,Narayani,Hill,Central
Makwanpur,Narayani,Hill,Central,2066/67,2009/10,Foreign body in respiratory tract,89.0,Narayani,Hill,Central
Nuwakot,Bagmati,Hill,Central,2066/67,2009/10,"ARI/Lower respiratory
tract Infection",6869.0,Bagmati,Hill,Central
Nuwakot,Bagmati,Hill,Central,2066/67,2009/10,"Upper respiratory tract
Infection",5843.0,Bagmati,Hill,Central
Nuwakot,Bagmati,Hill,Central,2066/67,2009/10,Pneumonia,3066.0,Bagmati,Hill,Central
Nuwakot,Bagmati,Hill,Central,2066/67,2009/10,Sever Pneumonia,157.0,Bagmati,Hill,Central
Nuwakot,Bagmati,Hill,Central,2066/67,2009/10,Bronchitis,2006.0,Bagmati,Hill,Central
Nuwakot,Bagmati,Hill,Central,2066/67,2009/10,Asthama,5051.0,Bagmati,Hill,Central
Nuwakot,Bagmati,Hill,Central,2066/67,2009/10,Viral Influnenza,871.0,Bagmati,Hill,Central
Nuwakot,Bagmati,Hill,Central,2066/67,2009/10,Foreign body in respiratory tract,85.0,Bagmati,Hill,Central
Parsa,Narayani,Terai,Central,2066/67,2009/10,"ARI/Lower respiratory
tract Infection",0.0,Narayani,Terai,Central
Parsa,Narayani,Terai,Central,2066/67,2009/10,"Upper respiratory tract
Infection",0.0,Narayani,Terai,Central
Parsa,Narayani,Terai,Central,2066/67,2009/10,Pneumonia,0.0,Narayani,Terai,Central
Parsa,Narayani,Terai,Central,2066/67,2009/10,Sever Pneumonia,0.0,Narayani,Terai,Central
Parsa,Narayani,Terai,Central,2066/67,2009/10,Bronchitis,0.0,Narayani,Terai,Central
Parsa,Narayani,Terai,Central,2066/67,2009/10,Asthama,0.0,Narayani,Terai,Central
Parsa,Narayani,Terai,Central,2066/67,2009/10,Viral Influnenza,0.0,Narayani,Terai,Central
Parsa,Narayani,Terai,Central,2066/67,2009/10,Foreign body in respiratory tract,0.0,Narayani,Terai,Central
