District Name,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Indicators,Sub-Indicator,Value
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/2012,Coverage (%),TT2,33.47
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/2012,Coverage (%),TT2+,32.54
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/2012,Drop Out Rate (%),BCG Vs Measles,0.71
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/2012,Drop Out Rate (%),DPT1 Vs DPT3,3.91
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/2012,Drop Out Rate (%),Polio1 Vs Polio3,4.33
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/2012,Wastage Rate(%),BCG,86.74
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/2012,Wastage Rate(%),DPT,10.87
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/2012,Wastage Rate(%),Polio3,31.72
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/2012,Wastage Rate(%),Measles,76.11
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/2012,Wastage Rate(%),TT,52.45
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/2012,Coverage (%),BCG,83.3
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/2012,Coverage (%),DPT3,82.44
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/2012,Coverage (%),Polio3,82.44
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/2012,Coverage (%),Measles,79.89
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/2012,Coverage (%),TT1,39.87
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/2012,Coverage (%),TT2,42.71
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/2012,Coverage (%),TT2+,11.15
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/2012,Drop Out Rate (%),BCG Vs Measles,4.08
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/2012,Drop Out Rate (%),DPT1 Vs DPT3,0.98
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/2012,Drop Out Rate (%),Polio1 Vs Polio3,0.98
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/2012,Wastage Rate(%),BCG,78.71
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/2012,Wastage Rate(%),DPT,4.29
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/2012,Wastage Rate(%),Polio3,18.63
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/2012,Wastage Rate(%),Measles,62.44
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/2012,Wastage Rate(%),TT,29.33
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/2012,Coverage (%),BCG,98.78
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/2012,Coverage (%),DPT3,98.24
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/2012,Coverage (%),Polio3,98.24
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/2012,Coverage (%),Measles,92.36
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/2012,Coverage (%),TT1,24.4
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/2012,Coverage (%),TT2,22.96
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/2012,Coverage (%),TT2+,42.57
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/2012,Drop Out Rate (%),BCG Vs Measles,6.49
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/2012,Drop Out Rate (%),DPT1 Vs DPT3,0.22
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/2012,Drop Out Rate (%),Polio1 Vs Polio3,-4.61
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/2012,Wastage Rate(%),BCG,87.03
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/2012,Wastage Rate(%),DPT,0.06
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/2012,Wastage Rate(%),Polio3,22.44
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/2012,Wastage Rate(%),Measles,72.8
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/2012,Wastage Rate(%),TT,45.88
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/2012,Coverage (%),BCG,117.48
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/2012,Coverage (%),DPT3,114.39
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/2012,Coverage (%),Polio3,113.13
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/2012,Coverage (%),Measles,112.16
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/2012,Coverage (%),TT1,71.22
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/2012,Coverage (%),TT2,55.46
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/2012,Coverage (%),TT2+,23.14
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/2012,Drop Out Rate (%),BCG Vs Measles,4.53
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/2012,Drop Out Rate (%),DPT1 Vs DPT3,1.33
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/2012,Drop Out Rate (%),Polio1 Vs Polio3,1.35
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/2012,Wastage Rate(%),BCG,76.75
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/2012,Wastage Rate(%),DPT,6.8
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/2012,Wastage Rate(%),Polio3,23.5
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/2012,Wastage Rate(%),Measles,58.67
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/2012,Wastage Rate(%),TT,44.8
Bajura,Seti,Mountain,Far-Western,2068/69,2011/2012,Coverage (%),BCG,129.06
Bajura,Seti,Mountain,Far-Western,2068/69,2011/2012,Coverage (%),DPT3,119.86
Bajura,Seti,Mountain,Far-Western,2068/69,2011/2012,Coverage (%),Polio3,117.84
Bajura,Seti,Mountain,Far-Western,2068/69,2011/2012,Coverage (%),Measles,114.44
Bajura,Seti,Mountain,Far-Western,2068/69,2011/2012,Coverage (%),TT1,33.21
Bajura,Seti,Mountain,Far-Western,2068/69,2011/2012,Coverage (%),TT2,33.94
Bajura,Seti,Mountain,Far-Western,2068/69,2011/2012,Coverage (%),TT2+,37.52
Bajura,Seti,Mountain,Far-Western,2068/69,2011/2012,Drop Out Rate (%),BCG Vs Measles,11.33
Bajura,Seti,Mountain,Far-Western,2068/69,2011/2012,Drop Out Rate (%),DPT1 Vs DPT3,1.63
Bajura,Seti,Mountain,Far-Western,2068/69,2011/2012,Drop Out Rate (%),Polio1 Vs Polio3,3.03
Bajura,Seti,Mountain,Far-Western,2068/69,2011/2012,Wastage Rate(%),BCG,80.31
Bajura,Seti,Mountain,Far-Western,2068/69,2011/2012,Wastage Rate(%),DPT,16.23
Bajura,Seti,Mountain,Far-Western,2068/69,2011/2012,Wastage Rate(%),Polio3,28.76
Bajura,Seti,Mountain,Far-Western,2068/69,2011/2012,Wastage Rate(%),Measles,68.75
Bajura,Seti,Mountain,Far-Western,2068/69,2011/2012,Wastage Rate(%),TT,62.24
Banke,Bheri,Terai,Mid-Western,2068/69,2011/2012,Coverage (%),BCG,119.58
Banke,Bheri,Terai,Mid-Western,2068/69,2011/2012,Coverage (%),DPT3,97.45
Banke,Bheri,Terai,Mid-Western,2068/69,2011/2012,Coverage (%),Polio3,97.45
Banke,Bheri,Terai,Mid-Western,2068/69,2011/2012,Coverage (%),Measles,89.53
Banke,Bheri,Terai,Mid-Western,2068/69,2011/2012,Coverage (%),JE,72.61
Banke,Bheri,Terai,Mid-Western,2068/69,2011/2012,Coverage (%),TT1,45.16
Banke,Bheri,Terai,Mid-Western,2068/69,2011/2012,Coverage (%),TT2,36.33
Banke,Bheri,Terai,Mid-Western,2068/69,2011/2012,Drop Out Rate (%),TT2+,43.27
Banke,Bheri,Terai,Mid-Western,2068/69,2011/2012,Drop Out Rate (%),BCG Vs Measles,25.13
Banke,Bheri,Terai,Mid-Western,2068/69,2011/2012,Drop Out Rate (%),DPT1 Vs DPT3,6.19
Banke,Bheri,Terai,Mid-Western,2068/69,2011/2012,Wastage Rate(%),Polio1 Vs Polio3,6.19
Banke,Bheri,Terai,Mid-Western,2068/69,2011/2012,Wastage Rate(%),BCG,74.28
Banke,Bheri,Terai,Mid-Western,2068/69,2011/2012,Wastage Rate(%),DPT,3.66
Banke,Bheri,Terai,Mid-Western,2068/69,2011/2012,Wastage Rate(%),Polio3,11.2
Banke,Bheri,Terai,Mid-Western,2068/69,2011/2012,Wastage Rate(%),Measles,57.94
Banke,Bheri,Terai,Mid-Western,2068/69,2011/2012,Coverage (%),JE,31.25
Banke,Bheri,Terai,Mid-Western,2068/69,2011/2012,Coverage (%),TT,22.2
Bara,Narayani,Terai,Central,2068/69,2011/2012,Coverage (%),BCG,114.14
Bara,Narayani,Terai,Central,2068/69,2011/2012,Coverage (%),DPT3,105.63
Bara,Narayani,Terai,Central,2068/69,2011/2012,Coverage (%),Polio3,105.25
Bara,Narayani,Terai,Central,2068/69,2011/2012,Coverage (%),Measles,100.15
Bara,Narayani,Terai,Central,2068/69,2011/2012,Coverage (%),JE,60.78
Bara,Narayani,Terai,Central,2068/69,2011/2012,Drop Out Rate (%),TT1,43.81
Bara,Narayani,Terai,Central,2068/69,2011/2012,Drop Out Rate (%),TT2,39.87
Bara,Narayani,Terai,Central,2068/69,2011/2012,Drop Out Rate (%),TT2+,49.8
Bara,Narayani,Terai,Central,2068/69,2011/2012,Wastage Rate(%),BCG Vs Measles,12.26
Bara,Narayani,Terai,Central,2068/69,2011/2012,Wastage Rate(%),DPT1 Vs DPT3,5.63
Bara,Narayani,Terai,Central,2068/69,2011/2012,Wastage Rate(%),Polio1 Vs Polio3,6.08
Bara,Narayani,Terai,Central,2068/69,2011/2012,Wastage Rate(%),BCG,78.25
Bara,Narayani,Terai,Central,2068/69,2011/2012,Wastage Rate(%),DPT,9.94
Bara,Narayani,Terai,Central,2068/69,2011/2012,Coverage (%),Polio3,17.93
Bara,Narayani,Terai,Central,2068/69,2011/2012,Coverage (%),Measles,64.27
Bara,Narayani,Terai,Central,2068/69,2011/2012,Coverage (%),JE,46.72
Bara,Narayani,Terai,Central,2068/69,2011/2012,Coverage (%),TT,28.75
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/2012,Coverage (%),BCG,66.05
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/2012,Coverage (%),DPT3,69.39
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/2012,Coverage (%),Polio3,69.39
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/2012,Drop Out Rate (%),Measles,65.76
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/2012,Drop Out Rate (%),JE,61.87
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/2012,Drop Out Rate (%),TT1,32.85
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/2012,Wastage Rate(%),TT2,25.63
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/2012,Wastage Rate(%),TT2+,25.35
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/2012,Wastage Rate(%),BCG Vs Measles,0.43
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/2012,Wastage Rate(%),DPT1 Vs DPT3,1.03
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/2012,Wastage Rate(%),Polio1 Vs Polio3,1.03
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/2012,Coverage (%),BCG,80.54
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/2012,Coverage (%),DPT,0.89
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/2012,Coverage (%),Polio3,15.89
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/2012,Coverage (%),Measles,59.63
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/2012,Coverage (%),JE,31.97
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/2012,Coverage (%),TT,23.26
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/2012,Coverage (%),BCG,71.43
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/2012,Drop Out Rate (%),DPT3,71.94
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/2012,Drop Out Rate (%),Polio3,72.12
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/2012,Drop Out Rate (%),Measles,67.53
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/2012,Wastage Rate(%),TT1,9.15
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/2012,Wastage Rate(%),TT2,13.1
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/2012,Wastage Rate(%),TT2+,37.22
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/2012,Wastage Rate(%),BCG Vs Measles,5.46
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/2012,Wastage Rate(%),DPT1 Vs DPT3,0.33
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/2012,Coverage (%),Polio1 Vs Polio3,0.08
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/2012,Coverage (%),BCG,88.93
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/2012,Coverage (%),DPT,1.38
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/2012,Coverage (%),Polio3,32.09
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/2012,Coverage (%),Measles,78.11
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/2012,Coverage (%),TT,67.22
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/2012,Coverage (%),BCG,105.74
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/2012,Drop Out Rate (%),DPT3,97.23
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/2012,Drop Out Rate (%),Polio3,97.23
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/2012,Drop Out Rate (%),Measles,88.66
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/2012,Wastage Rate(%),TT1,35.44
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/2012,Wastage Rate(%),TT2,25.85
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/2012,Wastage Rate(%),TT2+,39.47
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/2012,Wastage Rate(%),BCG Vs Measles,16.15
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/2012,Wastage Rate(%),DPT1 Vs DPT3,-1.73
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/2012,Coverage (%),Polio1 Vs Polio3,-1.73
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/2012,Coverage (%),BCG,80.4
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/2012,Coverage (%),DPT,1.7
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/2012,Coverage (%),Polio3,12.34
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/2012,Coverage (%),Measles,66.84
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/2012,Coverage (%),TT,37.41
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/2012,Coverage (%),BCG,111.49
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/2012,Drop Out Rate (%),DPT3,109.47
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/2012,Drop Out Rate (%),Polio3,109.47
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/2012,Drop Out Rate (%),Measles,106.16
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/2012,Wastage Rate(%),TT1,35.29
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/2012,Wastage Rate(%),TT2,32.64
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/2012,Wastage Rate(%),TT2+,48.72
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/2012,Wastage Rate(%),BCG Vs Measles,4.78
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/2012,Wastage Rate(%),DPT1 Vs DPT3,1.22
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/2012,Coverage (%),Polio1 Vs Polio3,1.22
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/2012,Coverage (%),BCG,87.2
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/2012,Coverage (%),DPT,18.16
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/2012,Coverage (%),Polio3,32.06
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/2012,Coverage (%),Measles,76.12
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/2012,Coverage (%),TT,62.72
Dang,Rapti,Terai,Mid-Western,2068/69,2011/2012,Coverage (%),BCG,93.3
Dang,Rapti,Terai,Mid-Western,2068/69,2011/2012,Drop Out Rate (%),DPT3,92.04
Dang,Rapti,Terai,Mid-Western,2068/69,2011/2012,Drop Out Rate (%),Polio3,92.04
Dang,Rapti,Terai,Mid-Western,2068/69,2011/2012,Drop Out Rate (%),Measles,91.56
Dang,Rapti,Terai,Mid-Western,2068/69,2011/2012,Wastage Rate(%),JE,72.97
Dang,Rapti,Terai,Mid-Western,2068/69,2011/2012,Wastage Rate(%),TT1,13.6
Dang,Rapti,Terai,Mid-Western,2068/69,2011/2012,Wastage Rate(%),TT2,44.5
Dang,Rapti,Terai,Mid-Western,2068/69,2011/2012,Wastage Rate(%),TT2+,37.33
Dang,Rapti,Terai,Mid-Western,2068/69,2011/2012,Wastage Rate(%),BCG Vs Measles,1.86
Dang,Rapti,Terai,Mid-Western,2068/69,2011/2012,Coverage (%),DPT1 Vs DPT3,0.73
Dang,Rapti,Terai,Mid-Western,2068/69,2011/2012,Coverage (%),Polio1 Vs Polio3,0.73
Dang,Rapti,Terai,Mid-Western,2068/69,2011/2012,Coverage (%),BCG,67.45
Dang,Rapti,Terai,Mid-Western,2068/69,2011/2012,Coverage (%),DPT,1.58
Dang,Rapti,Terai,Mid-Western,2068/69,2011/2012,Coverage (%),Polio3,10
Dang,Rapti,Terai,Mid-Western,2068/69,2011/2012,Coverage (%),Measles,38.8
Dang,Rapti,Terai,Mid-Western,2068/69,2011/2012,Coverage (%),JE,20.05
Dang,Rapti,Terai,Mid-Western,2068/69,2011/2012,Drop Out Rate (%),TT,22.67
Dhading,Bagmati,Hill,Central,2068/69,2011/2012,Drop Out Rate (%),BCG,82.93
Dhading,Bagmati,Hill,Central,2068/69,2011/2012,Drop Out Rate (%),DPT3,83.04
Dhading,Bagmati,Hill,Central,2068/69,2011/2012,Wastage Rate(%),Polio3,83.04
Dhading,Bagmati,Hill,Central,2068/69,2011/2012,Wastage Rate(%),Measles,85.77
Dhading,Bagmati,Hill,Central,2068/69,2011/2012,Wastage Rate(%),JE,8.18
Dhading,Bagmati,Hill,Central,2068/69,2011/2012,Wastage Rate(%),TT1,14.83
Dhading,Bagmati,Hill,Central,2068/69,2011/2012,Wastage Rate(%),TT2,33.06
Dhading,Bagmati,Hill,Central,2068/69,2011/2012,Coverage (%),TT2+,36.7
Dhading,Bagmati,Hill,Central,2068/69,2011/2012,Coverage (%),BCG Vs Measles,-3.42
Dhading,Bagmati,Hill,Central,2068/69,2011/2012,Coverage (%),DPT1 Vs DPT3,0.82
Dhading,Bagmati,Hill,Central,2068/69,2011/2012,Coverage (%),Polio1 Vs Polio3,0.82
Dhading,Bagmati,Hill,Central,2068/69,2011/2012,Coverage (%),BCG,83.2
Dhading,Bagmati,Hill,Central,2068/69,2011/2012,Coverage (%),DPT,5.63
Dhading,Bagmati,Hill,Central,2068/69,2011/2012,Coverage (%),Polio3,17.29
Dhading,Bagmati,Hill,Central,2068/69,2011/2012,Drop Out Rate (%),Measles,66.14
Dhading,Bagmati,Hill,Central,2068/69,2011/2012,Drop Out Rate (%),JE,32.01
Dhading,Bagmati,Hill,Central,2068/69,2011/2012,Drop Out Rate (%),TT,37.27
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/2012,Wastage Rate(%),BCG,78.66
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/2012,Wastage Rate(%),DPT3,78.99
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/2012,Wastage Rate(%),Polio3,78.99
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/2012,Wastage Rate(%),Measles,77.33
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/2012,Wastage Rate(%),TT1,21.86
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/2012,Coverage (%),TT2,23.75
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/2012,Coverage (%),TT2+,44.95
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/2012,Coverage (%),BCG Vs Measles,1.69
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/2012,Coverage (%),DPT1 Vs DPT3,0.44
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/2012,Coverage (%),Polio1 Vs Polio3,-0.08
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/2012,Coverage (%),BCG,85.38
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/2012,Coverage (%),DPT,5.14
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/2012,Drop Out Rate (%),Polio3,27.15
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/2012,Drop Out Rate (%),Measles,73.42
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/2012,Drop Out Rate (%),TT,51.72
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/2012,Wastage Rate(%),BCG,108.84
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/2012,Wastage Rate(%),DPT3,94.27
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/2012,Wastage Rate(%),Polio3,94.27
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/2012,Wastage Rate(%),Measles,95.39
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/2012,Wastage Rate(%),TT1,77.8
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/2012,Coverage (%),TT2,52.72
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/2012,Coverage (%),TT2+,15.47
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/2012,Coverage (%),BCG Vs Measles,12.36
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/2012,Coverage (%),DPT1 Vs DPT3,15.89
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/2012,Coverage (%),Polio1 Vs Polio3,12.59
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/2012,Coverage (%),BCG,72.06
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/2012,Coverage (%),DPT,31.79
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/2012,Drop Out Rate (%),Polio3,34.03
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/2012,Drop Out Rate (%),Measles,70.82
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/2012,Drop Out Rate (%),TT,55.63
Doti,Seti,Hill,Far-Western,2068/69,2011/2012,Wastage Rate(%),BCG,107.82
Doti,Seti,Hill,Far-Western,2068/69,2011/2012,Wastage Rate(%),DPT3,103
Doti,Seti,Hill,Far-Western,2068/69,2011/2012,Wastage Rate(%),Polio3,102.49
Doti,Seti,Hill,Far-Western,2068/69,2011/2012,Wastage Rate(%),Measles,95.71
Doti,Seti,Hill,Far-Western,2068/69,2011/2012,Wastage Rate(%),TT1,36.05
Doti,Seti,Hill,Far-Western,2068/69,2011/2012,Coverage (%),TT2,29.21
Doti,Seti,Hill,Far-Western,2068/69,2011/2012,Coverage (%),TT2+,36.96
Doti,Seti,Hill,Far-Western,2068/69,2011/2012,Coverage (%),BCG Vs Measles,11.23
Doti,Seti,Hill,Far-Western,2068/69,2011/2012,Coverage (%),DPT1 Vs DPT3,4.3
Doti,Seti,Hill,Far-Western,2068/69,2011/2012,Coverage (%),Polio1 Vs Polio3,4.23
Doti,Seti,Hill,Far-Western,2068/69,2011/2012,Coverage (%),BCG,84.52
Doti,Seti,Hill,Far-Western,2068/69,2011/2012,Coverage (%),DPT,3.72
Doti,Seti,Hill,Far-Western,2068/69,2011/2012,Drop Out Rate (%),Polio3,23.88
Doti,Seti,Hill,Far-Western,2068/69,2011/2012,Drop Out Rate (%),Measles,72.19
Doti,Seti,Hill,Far-Western,2068/69,2011/2012,Drop Out Rate (%),TT,54.37
Gorkha,Gandaki,Hill,Western,2068/69,2011/2012,Wastage Rate(%),BCG,67.11
Gorkha,Gandaki,Hill,Western,2068/69,2011/2012,Wastage Rate(%),DPT3,71.58
Gorkha,Gandaki,Hill,Western,2068/69,2011/2012,Wastage Rate(%),Polio3,71.58
Gorkha,Gandaki,Hill,Western,2068/69,2011/2012,Wastage Rate(%),Measles,66.79
Gorkha,Gandaki,Hill,Western,2068/69,2011/2012,Wastage Rate(%),TT1,28.17
Gorkha,Gandaki,Hill,Western,2068/69,2011/2012,Coverage (%),TT2,33.03
Gorkha,Gandaki,Hill,Western,2068/69,2011/2012,Coverage (%),TT2+,16.2
Gorkha,Gandaki,Hill,Western,2068/69,2011/2012,Coverage (%),BCG Vs Measles,0.47
Gorkha,Gandaki,Hill,Western,2068/69,2011/2012,Coverage (%),DPT1 Vs DPT3,-0.93
Gorkha,Gandaki,Hill,Western,2068/69,2011/2012,Coverage (%),Polio1 Vs Polio3,-0.93
Gorkha,Gandaki,Hill,Western,2068/69,2011/2012,Coverage (%),BCG,88.89
Gorkha,Gandaki,Hill,Western,2068/69,2011/2012,Coverage (%),DPT,9.45
Gorkha,Gandaki,Hill,Western,2068/69,2011/2012,Drop Out Rate (%),Polio3,35.28
