Year BS,Year AD,District,zone,belt,region,Deficiencies,No of people,Zone,Belt,Region
2066/67,2009/10,Arghakhanchi,Lumbini,Hill,Western,Malnutrition,443,Lumbini,Hill,Western
2066/67,2009/10,Arghakhanchi,Lumbini,Hill,Western,Night blindness,16,Lumbini,Hill,Western
2066/67,2009/10,Arghakhanchi,Lumbini,Hill,Western,Obesity,13,Lumbini,Hill,Western
2066/67,2009/10,Arghakhanchi,Lumbini,Hill,Western,Polyneuritis,1059,Lumbini,Hill,Western
2067/68,2010/11,Arghakhanchi,Lumbini,Hill,Western,Anemia,912,Lumbini,Hill,Western
2067/68,2010/11,Arghakhanchi,Lumbini,Hill,Western,Avitaminoses and other nutrideficency,1563,Lumbini,Hill,Western
2067/68,2010/11,Arghakhanchi,Lumbini,Hill,Western,Dehydration,844,Lumbini,Hill,Western
2067/68,2010/11,Arghakhanchi,Lumbini,Hill,Western,Diabetic myelitis,149,Lumbini,Hill,Western
2067/68,2010/11,Arghakhanchi,Lumbini,Hill,Western,"Goiter,Cretinism",6,Lumbini,Hill,Western
2067/68,2010/11,Arghakhanchi,Lumbini,Hill,Western,Malnutrition,224,Lumbini,Hill,Western
2067/68,2010/11,Arghakhanchi,Lumbini,Hill,Western,Night blindness,43,Lumbini,Hill,Western
2067/68,2010/11,Arghakhanchi,Lumbini,Hill,Western,Obesity,26,Lumbini,Hill,Western
2067/68,2010/11,Arghakhanchi,Lumbini,Hill,Western,Polyneuritis,1090,Lumbini,Hill,Western
2068/69,2011/12,Arghakhanchi,Lumbini,Hill,Western,Anemia,797,Lumbini,Hill,Western
2068/69,2011/12,Arghakhanchi,Lumbini,Hill,Western,Avitaminoses and other nutrideficency,1162,Lumbini,Hill,Western
2068/69,2011/12,Arghakhanchi,Lumbini,Hill,Western,Dehydration,758,Lumbini,Hill,Western
2068/69,2011/12,Arghakhanchi,Lumbini,Hill,Western,Diabetic myelitis,217,Lumbini,Hill,Western
2068/69,2011/12,Arghakhanchi,Lumbini,Hill,Western,"Goiter,Cretinism",84,Lumbini,Hill,Western
2068/69,2011/12,Arghakhanchi,Lumbini,Hill,Western,Malnutrition,117,Lumbini,Hill,Western
2068/69,2011/12,Arghakhanchi,Lumbini,Hill,Western,Night blindness,166,Lumbini,Hill,Western
2068/69,2011/12,Arghakhanchi,Lumbini,Hill,Western,Obesity,14,Lumbini,Hill,Western
2068/69,2011/12,Arghakhanchi,Lumbini,Hill,Western,Polyneuritis,1178,Lumbini,Hill,Western
2069/70,2012/13,Arghakhanchi,Lumbini,Hill,Western,Anemia,482,Lumbini,Hill,Western
2069/70,2012/13,Arghakhanchi,Lumbini,Hill,Western,Avitaminoses and other nutrideficency,1405,Lumbini,Hill,Western
2069/70,2012/13,Arghakhanchi,Lumbini,Hill,Western,Dehydration,253,Lumbini,Hill,Western
2069/70,2012/13,Arghakhanchi,Lumbini,Hill,Western,Diabetic myelitis,130,Lumbini,Hill,Western
2069/70,2012/13,Arghakhanchi,Lumbini,Hill,Western,"Goiter,Cretinism",1,Lumbini,Hill,Western
2069/70,2012/13,Arghakhanchi,Lumbini,Hill,Western,Malnutrition,135,Lumbini,Hill,Western
2069/70,2012/13,Arghakhanchi,Lumbini,Hill,Western,Night blindness,12,Lumbini,Hill,Western
2069/70,2012/13,Arghakhanchi,Lumbini,Hill,Western,Obesity,9,Lumbini,Hill,Western
2069/70,2012/13,Arghakhanchi,Lumbini,Hill,Western,Polyneuritis,944,Lumbini,Hill,Western
2070/71,2013/14,Arghakhanchi,Lumbini,Hill,Western,Anemia,305,Lumbini,Hill,Western
2070/71,2013/14,Arghakhanchi,Lumbini,Hill,Western,Avitaminoses and other nutrideficency,676,Lumbini,Hill,Western
2070/71,2013/14,Arghakhanchi,Lumbini,Hill,Western,Dehydration,342,Lumbini,Hill,Western
2070/71,2013/14,Arghakhanchi,Lumbini,Hill,Western,Diabetic myelitis,18,Lumbini,Hill,Western
2070/71,2013/14,Arghakhanchi,Lumbini,Hill,Western,"Goiter,Cretinism",1,Lumbini,Hill,Western
2070/71,2013/14,Arghakhanchi,Lumbini,Hill,Western,Malnutrition,22,Lumbini,Hill,Western
2070/71,2013/14,Arghakhanchi,Lumbini,Hill,Western,Night blindness,4,Lumbini,Hill,Western
2070/71,2013/14,Arghakhanchi,Lumbini,Hill,Western,Obesity,0,Lumbini,Hill,Western
2070/71,2013/14,Arghakhanchi,Lumbini,Hill,Western,Polyneuritis,161,Lumbini,Hill,Western
2066/67,2009/10,Baglung,Dhawalagiri,Hill,Western,Anemia,966,Dhawalagiri,Hill,Western
2066/67,2009/10,Baglung,Dhawalagiri,Hill,Western,Avitaminoses and other nutrideficency,1367,Dhawalagiri,Hill,Western
2066/67,2009/10,Baglung,Dhawalagiri,Hill,Western,Dehydration,515,Dhawalagiri,Hill,Western
2066/67,2009/10,Baglung,Dhawalagiri,Hill,Western,Diabetic myelitis,212,Dhawalagiri,Hill,Western
2066/67,2009/10,Baglung,Dhawalagiri,Hill,Western,"Goiter,Cretinism",59,Dhawalagiri,Hill,Western
2066/67,2009/10,Baglung,Dhawalagiri,Hill,Western,Malnutrition,326,Dhawalagiri,Hill,Western
2066/67,2009/10,Baglung,Dhawalagiri,Hill,Western,Night blindness,223,Dhawalagiri,Hill,Western
2066/67,2009/10,Baglung,Dhawalagiri,Hill,Western,Obesity,141,Dhawalagiri,Hill,Western
2066/67,2009/10,Baglung,Dhawalagiri,Hill,Western,Polyneuritis,1097,Dhawalagiri,Hill,Western
2067/68,2010/11,Baglung,Dhawalagiri,Hill,Western,Anemia,1200,Dhawalagiri,Hill,Western
2067/68,2010/11,Baglung,Dhawalagiri,Hill,Western,Avitaminoses and other nutrideficency,1462,Dhawalagiri,Hill,Western
2067/68,2010/11,Baglung,Dhawalagiri,Hill,Western,Dehydration,690,Dhawalagiri,Hill,Western
2067/68,2010/11,Baglung,Dhawalagiri,Hill,Western,Diabetic myelitis,149,Dhawalagiri,Hill,Western
2067/68,2010/11,Baglung,Dhawalagiri,Hill,Western,"Goiter,Cretinism",26,Dhawalagiri,Hill,Western
2067/68,2010/11,Baglung,Dhawalagiri,Hill,Western,Malnutrition,247,Dhawalagiri,Hill,Western
2067/68,2010/11,Baglung,Dhawalagiri,Hill,Western,Night blindness,58,Dhawalagiri,Hill,Western
2067/68,2010/11,Baglung,Dhawalagiri,Hill,Western,Obesity,65,Dhawalagiri,Hill,Western
2067/68,2010/11,Baglung,Dhawalagiri,Hill,Western,Polyneuritis,1174,Dhawalagiri,Hill,Western
2068/69,2011/12,Baglung,Dhawalagiri,Hill,Western,Anemia,1386,Dhawalagiri,Hill,Western
2068/69,2011/12,Baglung,Dhawalagiri,Hill,Western,Avitaminoses and other nutrideficency,1668,Dhawalagiri,Hill,Western
2068/69,2011/12,Baglung,Dhawalagiri,Hill,Western,Dehydration,641,Dhawalagiri,Hill,Western
2068/69,2011/12,Baglung,Dhawalagiri,Hill,Western,Diabetic myelitis,246,Dhawalagiri,Hill,Western
2068/69,2011/12,Baglung,Dhawalagiri,Hill,Western,"Goiter,Cretinism",77,Dhawalagiri,Hill,Western
2068/69,2011/12,Baglung,Dhawalagiri,Hill,Western,Malnutrition,229,Dhawalagiri,Hill,Western
2068/69,2011/12,Baglung,Dhawalagiri,Hill,Western,Night blindness,128,Dhawalagiri,Hill,Western
2068/69,2011/12,Baglung,Dhawalagiri,Hill,Western,Obesity,90,Dhawalagiri,Hill,Western
2068/69,2011/12,Baglung,Dhawalagiri,Hill,Western,Polyneuritis,1502,Dhawalagiri,Hill,Western
2069/70,2012/13,Baglung,Dhawalagiri,Hill,Western,Anemia,928,Dhawalagiri,Hill,Western
2069/70,2012/13,Baglung,Dhawalagiri,Hill,Western,Avitaminoses and other nutrideficency,1530,Dhawalagiri,Hill,Western
2069/70,2012/13,Baglung,Dhawalagiri,Hill,Western,Dehydration,615,Dhawalagiri,Hill,Western
2069/70,2012/13,Baglung,Dhawalagiri,Hill,Western,Diabetic myelitis,115,Dhawalagiri,Hill,Western
2069/70,2012/13,Baglung,Dhawalagiri,Hill,Western,"Goiter,Cretinism",48,Dhawalagiri,Hill,Western
2069/70,2012/13,Baglung,Dhawalagiri,Hill,Western,Malnutrition,230,Dhawalagiri,Hill,Western
2069/70,2012/13,Baglung,Dhawalagiri,Hill,Western,Night blindness,194,Dhawalagiri,Hill,Western
2069/70,2012/13,Baglung,Dhawalagiri,Hill,Western,Obesity,78,Dhawalagiri,Hill,Western
2069/70,2012/13,Baglung,Dhawalagiri,Hill,Western,Polyneuritis,1519,Dhawalagiri,Hill,Western
2070/71,2013/14,Baglung,Dhawalagiri,Hill,Western,Anemia,589,Dhawalagiri,Hill,Western
2070/71,2013/14,Baglung,Dhawalagiri,Hill,Western,Avitaminoses and other nutrideficency,942,Dhawalagiri,Hill,Western
2070/71,2013/14,Baglung,Dhawalagiri,Hill,Western,Dehydration,277,Dhawalagiri,Hill,Western
2070/71,2013/14,Baglung,Dhawalagiri,Hill,Western,Diabetic myelitis,86,Dhawalagiri,Hill,Western
2070/71,2013/14,Baglung,Dhawalagiri,Hill,Western,"Goiter,Cretinism",23,Dhawalagiri,Hill,Western
2070/71,2013/14,Baglung,Dhawalagiri,Hill,Western,Malnutrition,133,Dhawalagiri,Hill,Western
2070/71,2013/14,Baglung,Dhawalagiri,Hill,Western,Night blindness,11,Dhawalagiri,Hill,Western
2070/71,2013/14,Baglung,Dhawalagiri,Hill,Western,Obesity,25,Dhawalagiri,Hill,Western
2070/71,2013/14,Baglung,Dhawalagiri,Hill,Western,Polyneuritis,368,Dhawalagiri,Hill,Western
2066/67,2009/10,Baitadi,Mahakali,Hill,Far-Western,Anemia,1467,Mahakali,Hill,Far-Western
2066/67,2009/10,Baitadi,Mahakali,Hill,Far-Western,Avitaminoses and other nutrideficency,682,Mahakali,Hill,Far-Western
2066/67,2009/10,Baitadi,Mahakali,Hill,Far-Western,Dehydration,1606,Mahakali,Hill,Far-Western
2066/67,2009/10,Baitadi,Mahakali,Hill,Far-Western,Diabetic myelitis,68,Mahakali,Hill,Far-Western
2066/67,2009/10,Baitadi,Mahakali,Hill,Far-Western,"Goiter,Cretinism",22,Mahakali,Hill,Far-Western
2066/67,2009/10,Baitadi,Mahakali,Hill,Far-Western,Malnutrition,359,Mahakali,Hill,Far-Western
2066/67,2009/10,Baitadi,Mahakali,Hill,Far-Western,Night blindness,250,Mahakali,Hill,Far-Western
2066/67,2009/10,Baitadi,Mahakali,Hill,Far-Western,Obesity,12,Mahakali,Hill,Far-Western
2066/67,2009/10,Baitadi,Mahakali,Hill,Far-Western,Polyneuritis,553,Mahakali,Hill,Far-Western
2067/68,2010/11,Baitadi,Mahakali,Hill,Far-Western,Anemia,1382,Mahakali,Hill,Far-Western
2067/68,2010/11,Baitadi,Mahakali,Hill,Far-Western,Avitaminoses and other nutrideficency,470,Mahakali,Hill,Far-Western
2067/68,2010/11,Baitadi,Mahakali,Hill,Far-Western,Dehydration,975,Mahakali,Hill,Far-Western
2067/68,2010/11,Baitadi,Mahakali,Hill,Far-Western,Diabetic myelitis,115,Mahakali,Hill,Far-Western
2067/68,2010/11,Baitadi,Mahakali,Hill,Far-Western,"Goiter,Cretinism",4,Mahakali,Hill,Far-Western
2067/68,2010/11,Baitadi,Mahakali,Hill,Far-Western,Malnutrition,205,Mahakali,Hill,Far-Western
2067/68,2010/11,Baitadi,Mahakali,Hill,Far-Western,Night blindness,192,Mahakali,Hill,Far-Western
2067/68,2010/11,Baitadi,Mahakali,Hill,Far-Western,Obesity,8,Mahakali,Hill,Far-Western
2067/68,2010/11,Baitadi,Mahakali,Hill,Far-Western,Polyneuritis,362,Mahakali,Hill,Far-Western
2068/69,2011/12,Baitadi,Mahakali,Hill,Far-Western,Anemia,1347,Mahakali,Hill,Far-Western
2068/69,2011/12,Baitadi,Mahakali,Hill,Far-Western,Avitaminoses and other nutrideficency,760,Mahakali,Hill,Far-Western
2068/69,2011/12,Baitadi,Mahakali,Hill,Far-Western,Dehydration,1288,Mahakali,Hill,Far-Western
2068/69,2011/12,Baitadi,Mahakali,Hill,Far-Western,Diabetic myelitis,96,Mahakali,Hill,Far-Western
2068/69,2011/12,Baitadi,Mahakali,Hill,Far-Western,"Goiter,Cretinism",85,Mahakali,Hill,Far-Western
2068/69,2011/12,Baitadi,Mahakali,Hill,Far-Western,Malnutrition,233,Mahakali,Hill,Far-Western
2068/69,2011/12,Baitadi,Mahakali,Hill,Far-Western,Night blindness,176,Mahakali,Hill,Far-Western
2068/69,2011/12,Baitadi,Mahakali,Hill,Far-Western,Obesity,39,Mahakali,Hill,Far-Western
2068/69,2011/12,Baitadi,Mahakali,Hill,Far-Western,Polyneuritis,523,Mahakali,Hill,Far-Western
2069/70,2012/13,Baitadi,Mahakali,Hill,Far-Western,Anemia,996,Mahakali,Hill,Far-Western
2069/70,2012/13,Baitadi,Mahakali,Hill,Far-Western,Avitaminoses and other nutrideficency,495,Mahakali,Hill,Far-Western
2069/70,2012/13,Baitadi,Mahakali,Hill,Far-Western,Dehydration,1108,Mahakali,Hill,Far-Western
2069/70,2012/13,Baitadi,Mahakali,Hill,Far-Western,Diabetic myelitis,27,Mahakali,Hill,Far-Western
2069/70,2012/13,Baitadi,Mahakali,Hill,Far-Western,"Goiter,Cretinism",38,Mahakali,Hill,Far-Western
2069/70,2012/13,Baitadi,Mahakali,Hill,Far-Western,Malnutrition,132,Mahakali,Hill,Far-Western
2069/70,2012/13,Baitadi,Mahakali,Hill,Far-Western,Night blindness,186,Mahakali,Hill,Far-Western
2069/70,2012/13,Baitadi,Mahakali,Hill,Far-Western,Obesity,19,Mahakali,Hill,Far-Western
2069/70,2012/13,Baitadi,Mahakali,Hill,Far-Western,Polyneuritis,419,Mahakali,Hill,Far-Western
2070/71,2013/14,Baitadi,Mahakali,Hill,Far-Western,Anemia,2139,Mahakali,Hill,Far-Western
2070/71,2013/14,Baitadi,Mahakali,Hill,Far-Western,Avitaminoses and other nutrideficency,1914,Mahakali,Hill,Far-Western
2070/71,2013/14,Baitadi,Mahakali,Hill,Far-Western,Dehydration,2597,Mahakali,Hill,Far-Western
2070/71,2013/14,Baitadi,Mahakali,Hill,Far-Western,Diabetic myelitis,1332,Mahakali,Hill,Far-Western
2070/71,2013/14,Baitadi,Mahakali,Hill,Far-Western,"Goiter,Cretinism",91,Mahakali,Hill,Far-Western
2070/71,2013/14,Baitadi,Mahakali,Hill,Far-Western,Malnutrition,481,Mahakali,Hill,Far-Western
2070/71,2013/14,Baitadi,Mahakali,Hill,Far-Western,Night blindness,251,Mahakali,Hill,Far-Western
2070/71,2013/14,Baitadi,Mahakali,Hill,Far-Western,Obesity,109,Mahakali,Hill,Far-Western
2070/71,2013/14,Baitadi,Mahakali,Hill,Far-Western,Polyneuritis,2156,Mahakali,Hill,Far-Western
2066/67,2009/10,Bajhang,Seti,Mountain,Far-Western,Anemia,711,Seti,Mountain,Far-Western
2066/67,2009/10,Bajhang,Seti,Mountain,Far-Western,Avitaminoses and other nutrideficency,493,Seti,Mountain,Far-Western
2066/67,2009/10,Bajhang,Seti,Mountain,Far-Western,Dehydration,1100,Seti,Mountain,Far-Western
2066/67,2009/10,Bajhang,Seti,Mountain,Far-Western,Diabetic myelitis,1,Seti,Mountain,Far-Western
2066/67,2009/10,Bajhang,Seti,Mountain,Far-Western,"Goiter,Cretinism",25,Seti,Mountain,Far-Western
2066/67,2009/10,Bajhang,Seti,Mountain,Far-Western,Malnutrition,489,Seti,Mountain,Far-Western
2066/67,2009/10,Bajhang,Seti,Mountain,Far-Western,Night blindness,337,Seti,Mountain,Far-Western
2066/67,2009/10,Bajhang,Seti,Mountain,Far-Western,Obesity,13,Seti,Mountain,Far-Western
2066/67,2009/10,Bajhang,Seti,Mountain,Far-Western,Polyneuritis,611,Seti,Mountain,Far-Western
2067/68,2010/11,Bajhang,Seti,Mountain,Far-Western,Anemia,618,Seti,Mountain,Far-Western
2067/68,2010/11,Bajhang,Seti,Mountain,Far-Western,Avitaminoses and other nutrideficency,541,Seti,Mountain,Far-Western
2067/68,2010/11,Bajhang,Seti,Mountain,Far-Western,Dehydration,1277,Seti,Mountain,Far-Western
2067/68,2010/11,Bajhang,Seti,Mountain,Far-Western,Diabetic myelitis,18,Seti,Mountain,Far-Western
2067/68,2010/11,Bajhang,Seti,Mountain,Far-Western,"Goiter,Cretinism",3,Seti,Mountain,Far-Western
2067/68,2010/11,Bajhang,Seti,Mountain,Far-Western,Malnutrition,297,Seti,Mountain,Far-Western
2067/68,2010/11,Bajhang,Seti,Mountain,Far-Western,Night blindness,188,Seti,Mountain,Far-Western
2067/68,2010/11,Bajhang,Seti,Mountain,Far-Western,Obesity,10,Seti,Mountain,Far-Western
2067/68,2010/11,Bajhang,Seti,Mountain,Far-Western,Polyneuritis,637,Seti,Mountain,Far-Western
2068/69,2011/12,Bajhang,Seti,Mountain,Far-Western,Anemia,619,Seti,Mountain,Far-Western
2068/69,2011/12,Bajhang,Seti,Mountain,Far-Western,Avitaminoses and other nutrideficency,507,Seti,Mountain,Far-Western
2068/69,2011/12,Bajhang,Seti,Mountain,Far-Western,Dehydration,1253,Seti,Mountain,Far-Western
2068/69,2011/12,Bajhang,Seti,Mountain,Far-Western,Diabetic myelitis,12,Seti,Mountain,Far-Western
2068/69,2011/12,Bajhang,Seti,Mountain,Far-Western,"Goiter,Cretinism",16,Seti,Mountain,Far-Western
2068/69,2011/12,Bajhang,Seti,Mountain,Far-Western,Malnutrition,326,Seti,Mountain,Far-Western
2068/69,2011/12,Bajhang,Seti,Mountain,Far-Western,Night blindness,262,Seti,Mountain,Far-Western
2068/69,2011/12,Bajhang,Seti,Mountain,Far-Western,Obesity,36,Seti,Mountain,Far-Western
2068/69,2011/12,Bajhang,Seti,Mountain,Far-Western,Polyneuritis,582,Seti,Mountain,Far-Western
2069/70,2012/13,Bajhang,Seti,Mountain,Far-Western,Anemia,545,Seti,Mountain,Far-Western
2069/70,2012/13,Bajhang,Seti,Mountain,Far-Western,Avitaminoses and other nutrideficency,434,Seti,Mountain,Far-Western
2069/70,2012/13,Bajhang,Seti,Mountain,Far-Western,Dehydration,1579,Seti,Mountain,Far-Western
2069/70,2012/13,Bajhang,Seti,Mountain,Far-Western,Diabetic myelitis,29,Seti,Mountain,Far-Western
2069/70,2012/13,Bajhang,Seti,Mountain,Far-Western,"Goiter,Cretinism",9,Seti,Mountain,Far-Western
2069/70,2012/13,Bajhang,Seti,Mountain,Far-Western,Malnutrition,367,Seti,Mountain,Far-Western
2069/70,2012/13,Bajhang,Seti,Mountain,Far-Western,Night blindness,168,Seti,Mountain,Far-Western
2069/70,2012/13,Bajhang,Seti,Mountain,Far-Western,Obesity,41,Seti,Mountain,Far-Western
2069/70,2012/13,Bajhang,Seti,Mountain,Far-Western,Polyneuritis,796,Seti,Mountain,Far-Western
2070/71,2013/14,Bajhang,Seti,Mountain,Far-Western,Anemia,3350,Seti,Mountain,Far-Western
2070/71,2013/14,Bajhang,Seti,Mountain,Far-Western,Avitaminoses and other nutrideficency,6339,Seti,Mountain,Far-Western
2070/71,2013/14,Bajhang,Seti,Mountain,Far-Western,Dehydration,2657,Seti,Mountain,Far-Western
2070/71,2013/14,Bajhang,Seti,Mountain,Far-Western,Diabetic myelitis,18031,Seti,Mountain,Far-Western
2070/71,2013/14,Bajhang,Seti,Mountain,Far-Western,"Goiter,Cretinism",270,Seti,Mountain,Far-Western
2070/71,2013/14,Bajhang,Seti,Mountain,Far-Western,Malnutrition,787,Seti,Mountain,Far-Western
2070/71,2013/14,Bajhang,Seti,Mountain,Far-Western,Night blindness,163,Seti,Mountain,Far-Western
2070/71,2013/14,Bajhang,Seti,Mountain,Far-Western,Obesity,144,Seti,Mountain,Far-Western
2070/71,2013/14,Bajhang,Seti,Mountain,Far-Western,Polyneuritis,1756,Seti,Mountain,Far-Western
2066/67,2009/10,Bajura,Seti,Mountain,Far-Western,Anemia,662,Seti,Mountain,Far-Western
2066/67,2009/10,Bajura,Seti,Mountain,Far-Western,Avitaminoses and other nutrideficency,1373,Seti,Mountain,Far-Western
2066/67,2009/10,Bajura,Seti,Mountain,Far-Western,Dehydration,1852,Seti,Mountain,Far-Western
2066/67,2009/10,Bajura,Seti,Mountain,Far-Western,Diabetic myelitis,2,Seti,Mountain,Far-Western
2066/67,2009/10,Bajura,Seti,Mountain,Far-Western,"Goiter,Cretinism",0,Seti,Mountain,Far-Western
2066/67,2009/10,Bajura,Seti,Mountain,Far-Western,Malnutrition,1096,Seti,Mountain,Far-Western
2066/67,2009/10,Bajura,Seti,Mountain,Far-Western,Night blindness,446,Seti,Mountain,Far-Western
2066/67,2009/10,Bajura,Seti,Mountain,Far-Western,Obesity,235,Seti,Mountain,Far-Western
2066/67,2009/10,Bajura,Seti,Mountain,Far-Western,Polyneuritis,535,Seti,Mountain,Far-Western
2067/68,2010/11,Bajura,Seti,Mountain,Far-Western,Anemia,655,Seti,Mountain,Far-Western
2067/68,2010/11,Bajura,Seti,Mountain,Far-Western,Avitaminoses and other nutrideficency,1108,Seti,Mountain,Far-Western
2067/68,2010/11,Bajura,Seti,Mountain,Far-Western,Dehydration,1419,Seti,Mountain,Far-Western
2067/68,2010/11,Bajura,Seti,Mountain,Far-Western,Diabetic myelitis,12,Seti,Mountain,Far-Western
2067/68,2010/11,Bajura,Seti,Mountain,Far-Western,"Goiter,Cretinism",27,Seti,Mountain,Far-Western
2067/68,2010/11,Bajura,Seti,Mountain,Far-Western,Malnutrition,487,Seti,Mountain,Far-Western
2067/68,2010/11,Bajura,Seti,Mountain,Far-Western,Night blindness,129,Seti,Mountain,Far-Western
2067/68,2010/11,Bajura,Seti,Mountain,Far-Western,Obesity,15,Seti,Mountain,Far-Western
2067/68,2010/11,Bajura,Seti,Mountain,Far-Western,Polyneuritis,402,Seti,Mountain,Far-Western
2068/69,2011/12,Bajura,Seti,Mountain,Far-Western,Anemia,747,Seti,Mountain,Far-Western
2068/69,2011/12,Bajura,Seti,Mountain,Far-Western,Avitaminoses and other nutrideficency,1132,Seti,Mountain,Far-Western
2068/69,2011/12,Bajura,Seti,Mountain,Far-Western,Dehydration,1139,Seti,Mountain,Far-Western
2068/69,2011/12,Bajura,Seti,Mountain,Far-Western,Diabetic myelitis,0,Seti,Mountain,Far-Western
