District,zone,belt,region,Year BS,Year AD,Clinical Malaria/Total Treatment,Age group,Gender,Number of people,Zone,Belt,Region
Panchthar,Mechi,Hill,Eastern,2067/68,2010/11,Total Treatment,5 Years & Above,Male,33,Mechi,Hill,Eastern
Ilam,Mechi,Hill,Eastern,2067/68,2010/11,Clinical Malaria,Under 5 Years,Female,10,Mechi,Hill,Eastern
Ilam,Mechi,Hill,Eastern,2067/68,2010/11,Clinical Malaria,5 Years & Above,Male,15,Mechi,Hill,Eastern
Ilam,Mechi,Hill,Eastern,2067/68,2010/11,Clinical Malaria,Under 5 Years,Female,148,Mechi,Hill,Eastern
Ilam,Mechi,Hill,Eastern,2067/68,2010/11,Clinical Malaria,5 Years & Above,Male,184,Mechi,Hill,Eastern
Ilam,Mechi,Hill,Eastern,2067/68,2010/11,Total Treatment,Under 5 Years,Female,10,Mechi,Hill,Eastern
Ilam,Mechi,Hill,Eastern,2067/68,2010/11,Total Treatment,5 Years & Above,Male,15,Mechi,Hill,Eastern
Ilam,Mechi,Hill,Eastern,2067/68,2010/11,Total Treatment,Under 5 Years,Female,148,Mechi,Hill,Eastern
Ilam,Mechi,Hill,Eastern,2067/68,2010/11,Total Treatment,5 Years & Above,Male,184,Mechi,Hill,Eastern
Jhapa,Mechi,Terai,Eastern,2067/68,2010/11,Clinical Malaria,Under 5 Years,Female,123,Mechi,Terai,Eastern
Jhapa,Mechi,Terai,Eastern,2067/68,2010/11,Clinical Malaria,5 Years & Above,Male,154,Mechi,Terai,Eastern
Jhapa,Mechi,Terai,Eastern,2067/68,2010/11,Clinical Malaria,Under 5 Years,Female,1484,Mechi,Terai,Eastern
Jhapa,Mechi,Terai,Eastern,2067/68,2010/11,Clinical Malaria,5 Years & Above,Male,2144,Mechi,Terai,Eastern
Jhapa,Mechi,Terai,Eastern,2067/68,2010/11,Total Treatment,Under 5 Years,Female,123,Mechi,Terai,Eastern
Jhapa,Mechi,Terai,Eastern,2067/68,2010/11,Total Treatment,5 Years & Above,Male,154,Mechi,Terai,Eastern
Jhapa,Mechi,Terai,Eastern,2067/68,2010/11,Total Treatment,Under 5 Years,Female,1484,Mechi,Terai,Eastern
Jhapa,Mechi,Terai,Eastern,2067/68,2010/11,Total Treatment,5 Years & Above,Male,2144,Mechi,Terai,Eastern
Morang,Kosi,Terai,Eastern,2067/68,2010/11,Clinical Malaria,Under 5 Years,Female,18,Kosi,Terai,Eastern
Morang,Kosi,Terai,Eastern,2067/68,2010/11,Clinical Malaria,5 Years & Above,Male,96,Kosi,Terai,Eastern
Morang,Kosi,Terai,Eastern,2067/68,2010/11,Clinical Malaria,Under 5 Years,Female,617,Kosi,Terai,Eastern
Morang,Kosi,Terai,Eastern,2067/68,2010/11,Clinical Malaria,5 Years & Above,Male,3905,Kosi,Terai,Eastern
Morang,Kosi,Terai,Eastern,2067/68,2010/11,Total Treatment,Under 5 Years,Female,18,Kosi,Terai,Eastern
Morang,Kosi,Terai,Eastern,2067/68,2010/11,Total Treatment,5 Years & Above,Male,96,Kosi,Terai,Eastern
Morang,Kosi,Terai,Eastern,2067/68,2010/11,Total Treatment,Under 5 Years,Female,617,Kosi,Terai,Eastern
Morang,Kosi,Terai,Eastern,2067/68,2010/11,Total Treatment,5 Years & Above,Male,3905,Kosi,Terai,Eastern
Sunsari,Kosi,Terai,Eastern,2067/68,2010/11,Clinical Malaria,Under 5 Years,Female,21,Kosi,Terai,Eastern
Sunsari,Kosi,Terai,Eastern,2067/68,2010/11,Clinical Malaria,5 Years & Above,Male,30,Kosi,Terai,Eastern
Sunsari,Kosi,Terai,Eastern,2067/68,2010/11,Clinical Malaria,Under 5 Years,Female,1033,Kosi,Terai,Eastern
Sunsari,Kosi,Terai,Eastern,2067/68,2010/11,Clinical Malaria,5 Years & Above,Male,1143,Kosi,Terai,Eastern
Sunsari,Kosi,Terai,Eastern,2067/68,2010/11,Total Treatment,Under 5 Years,Female,21,Kosi,Terai,Eastern
Sunsari,Kosi,Terai,Eastern,2067/68,2010/11,Total Treatment,5 Years & Above,Male,30,Kosi,Terai,Eastern
Sunsari,Kosi,Terai,Eastern,2067/68,2010/11,Total Treatment,Under 5 Years,Female,1033,Kosi,Terai,Eastern
Sunsari,Kosi,Terai,Eastern,2067/68,2010/11,Total Treatment,5 Years & Above,Male,1143,Kosi,Terai,Eastern
Dhankuta,Kosi,Hill,Eastern,2067/68,2010/11,Clinical Malaria,Under 5 Years,Female,15,Kosi,Hill,Eastern
Dhankuta,Kosi,Hill,Eastern,2067/68,2010/11,Clinical Malaria,5 Years & Above,Male,9,Kosi,Hill,Eastern
Dhankuta,Kosi,Hill,Eastern,2067/68,2010/11,Clinical Malaria,Under 5 Years,Female,69,Kosi,Hill,Eastern
Dhankuta,Kosi,Hill,Eastern,2067/68,2010/11,Clinical Malaria,5 Years & Above,Male,75,Kosi,Hill,Eastern
Dhankuta,Kosi,Hill,Eastern,2067/68,2010/11,Total Treatment,Under 5 Years,Female,15,Kosi,Hill,Eastern
Dhankuta,Kosi,Hill,Eastern,2067/68,2010/11,Total Treatment,5 Years & Above,Male,9,Kosi,Hill,Eastern
Dhankuta,Kosi,Hill,Eastern,2067/68,2010/11,Total Treatment,Under 5 Years,Female,69,Kosi,Hill,Eastern
Dhankuta,Kosi,Hill,Eastern,2067/68,2010/11,Total Treatment,5 Years & Above,Male,75,Kosi,Hill,Eastern
Terhathum,Kosi,Hill,Eastern,2067/68,2010/11,Clinical Malaria,Under 5 Years,Female,2,Kosi,Hill,Eastern
Terhathum,Kosi,Hill,Eastern,2067/68,2010/11,Clinical Malaria,5 Years & Above,Male,0,Kosi,Hill,Eastern
Terhathum,Kosi,Hill,Eastern,2067/68,2010/11,Clinical Malaria,Under 5 Years,Female,12,Kosi,Hill,Eastern
Terhathum,Kosi,Hill,Eastern,2067/68,2010/11,Clinical Malaria,5 Years & Above,Male,7,Kosi,Hill,Eastern
Terhathum,Kosi,Hill,Eastern,2067/68,2010/11,Total Treatment,Under 5 Years,Female,2,Kosi,Hill,Eastern
Terhathum,Kosi,Hill,Eastern,2067/68,2010/11,Total Treatment,5 Years & Above,Male,0,Kosi,Hill,Eastern
Terhathum,Kosi,Hill,Eastern,2067/68,2010/11,Total Treatment,Under 5 Years,Female,12,Kosi,Hill,Eastern
Terhathum,Kosi,Hill,Eastern,2067/68,2010/11,Total Treatment,5 Years & Above,Male,7,Kosi,Hill,Eastern
Sankhuwasabha,Kosi,Mountain,Eastern,2067/68,2010/11,Clinical Malaria,Under 5 Years,Female,0,Kosi,Mountain,Eastern
Sankhuwasabha,Kosi,Mountain,Eastern,2067/68,2010/11,Clinical Malaria,5 Years & Above,Male,0,Kosi,Mountain,Eastern
Sankhuwasabha,Kosi,Mountain,Eastern,2067/68,2010/11,Clinical Malaria,Under 5 Years,Female,0,Kosi,Mountain,Eastern
Sankhuwasabha,Kosi,Mountain,Eastern,2067/68,2010/11,Clinical Malaria,5 Years & Above,Male,0,Kosi,Mountain,Eastern
Sankhuwasabha,Kosi,Mountain,Eastern,2067/68,2010/11,Total Treatment,Under 5 Years,Female,0,Kosi,Mountain,Eastern
Sankhuwasabha,Kosi,Mountain,Eastern,2067/68,2010/11,Total Treatment,5 Years & Above,Male,0,Kosi,Mountain,Eastern
Sankhuwasabha,Kosi,Mountain,Eastern,2067/68,2010/11,Total Treatment,Under 5 Years,Female,0,Kosi,Mountain,Eastern
Sankhuwasabha,Kosi,Mountain,Eastern,2067/68,2010/11,Total Treatment,5 Years & Above,Male,0,Kosi,Mountain,Eastern
Bhojpur,Kosi,Hill,Eastern,2067/68,2010/11,Clinical Malaria,Under 5 Years,Female,20,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2067/68,2010/11,Clinical Malaria,5 Years & Above,Male,0,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2067/68,2010/11,Clinical Malaria,Under 5 Years,Female,21,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2067/68,2010/11,Clinical Malaria,5 Years & Above,Male,41,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2067/68,2010/11,Total Treatment,Under 5 Years,Female,20,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2067/68,2010/11,Total Treatment,5 Years & Above,Male,0,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2067/68,2010/11,Total Treatment,Under 5 Years,Female,21,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2067/68,2010/11,Total Treatment,5 Years & Above,Male,41,Kosi,Hill,Eastern
Solukhumbu,Sagarmatha,Mountain,Eastern,2067/68,2010/11,Clinical Malaria,Under 5 Years,Female,0,Sagarmatha,Mountain,Eastern
Solukhumbu,Sagarmatha,Mountain,Eastern,2067/68,2010/11,Clinical Malaria,5 Years & Above,Male,0,Sagarmatha,Mountain,Eastern
Solukhumbu,Sagarmatha,Mountain,Eastern,2067/68,2010/11,Clinical Malaria,Under 5 Years,Female,0,Sagarmatha,Mountain,Eastern
Solukhumbu,Sagarmatha,Mountain,Eastern,2067/68,2010/11,Clinical Malaria,5 Years & Above,Male,0,Sagarmatha,Mountain,Eastern
Solukhumbu,Sagarmatha,Mountain,Eastern,2067/68,2010/11,Total Treatment,Under 5 Years,Female,0,Sagarmatha,Mountain,Eastern
Solukhumbu,Sagarmatha,Mountain,Eastern,2067/68,2010/11,Total Treatment,5 Years & Above,Male,0,Sagarmatha,Mountain,Eastern
Solukhumbu,Sagarmatha,Mountain,Eastern,2067/68,2010/11,Total Treatment,Under 5 Years,Female,0,Sagarmatha,Mountain,Eastern
Solukhumbu,Sagarmatha,Mountain,Eastern,2067/68,2010/11,Total Treatment,5 Years & Above,Male,0,Sagarmatha,Mountain,Eastern
Okhaldhunga,Sagarmatha,Hill,Eastern,2067/68,2010/11,Clinical Malaria,Under 5 Years,Female,0,Sagarmatha,Hill,Eastern
Okhaldhunga,Sagarmatha,Hill,Eastern,2067/68,2010/11,Clinical Malaria,5 Years & Above,Male,0,Sagarmatha,Hill,Eastern
Okhaldhunga,Sagarmatha,Hill,Eastern,2067/68,2010/11,Clinical Malaria,Under 5 Years,Female,0,Sagarmatha,Hill,Eastern
Okhaldhunga,Sagarmatha,Hill,Eastern,2067/68,2010/11,Clinical Malaria,5 Years & Above,Male,2,Sagarmatha,Hill,Eastern
Okhaldhunga,Sagarmatha,Hill,Eastern,2067/68,2010/11,Total Treatment,Under 5 Years,Female,0,Sagarmatha,Hill,Eastern
Okhaldhunga,Sagarmatha,Hill,Eastern,2067/68,2010/11,Total Treatment,5 Years & Above,Male,0,Sagarmatha,Hill,Eastern
Okhaldhunga,Sagarmatha,Hill,Eastern,2067/68,2010/11,Total Treatment,Under 5 Years,Female,0,Sagarmatha,Hill,Eastern
Okhaldhunga,Sagarmatha,Hill,Eastern,2067/68,2010/11,Total Treatment,5 Years & Above,Male,2,Sagarmatha,Hill,Eastern
Khotang,Sagarmatha,Hill,Eastern,2067/68,2010/11,Clinical Malaria,Under 5 Years,Female,0,Sagarmatha,Hill,Eastern
Khotang,Sagarmatha,Hill,Eastern,2067/68,2010/11,Clinical Malaria,5 Years & Above,Male,0,Sagarmatha,Hill,Eastern
Khotang,Sagarmatha,Hill,Eastern,2067/68,2010/11,Clinical Malaria,Under 5 Years,Female,0,Sagarmatha,Hill,Eastern
Khotang,Sagarmatha,Hill,Eastern,2067/68,2010/11,Clinical Malaria,5 Years & Above,Male,0,Sagarmatha,Hill,Eastern
Khotang,Sagarmatha,Hill,Eastern,2067/68,2010/11,Total Treatment,Under 5 Years,Female,0,Sagarmatha,Hill,Eastern
Khotang,Sagarmatha,Hill,Eastern,2067/68,2010/11,Total Treatment,5 Years & Above,Male,0,Sagarmatha,Hill,Eastern
Khotang,Sagarmatha,Hill,Eastern,2067/68,2010/11,Total Treatment,Under 5 Years,Female,0,Sagarmatha,Hill,Eastern
Khotang,Sagarmatha,Hill,Eastern,2067/68,2010/11,Total Treatment,5 Years & Above,Male,0,Sagarmatha,Hill,Eastern
Udayapur,Sagarmatha,Hill,Eastern,2067/68,2010/11,Clinical Malaria,Under 5 Years,Female,2,Sagarmatha,Hill,Eastern
Udayapur,Sagarmatha,Hill,Eastern,2067/68,2010/11,Clinical Malaria,5 Years & Above,Male,3,Sagarmatha,Hill,Eastern
Udayapur,Sagarmatha,Hill,Eastern,2067/68,2010/11,Clinical Malaria,Under 5 Years,Female,75,Sagarmatha,Hill,Eastern
Udayapur,Sagarmatha,Hill,Eastern,2067/68,2010/11,Clinical Malaria,5 Years & Above,Male,121,Sagarmatha,Hill,Eastern
Udayapur,Sagarmatha,Hill,Eastern,2067/68,2010/11,Total Treatment,Under 5 Years,Female,2,Sagarmatha,Hill,Eastern
Udayapur,Sagarmatha,Hill,Eastern,2067/68,2010/11,Total Treatment,5 Years & Above,Male,3,Sagarmatha,Hill,Eastern
Udayapur,Sagarmatha,Hill,Eastern,2067/68,2010/11,Total Treatment,Under 5 Years,Female,75,Sagarmatha,Hill,Eastern
Udayapur,Sagarmatha,Hill,Eastern,2067/68,2010/11,Total Treatment,5 Years & Above,Male,121,Sagarmatha,Hill,Eastern
Saptari,Sagarmatha,Terai,Eastern,2067/68,2010/11,Clinical Malaria,Under 5 Years,Female,45,Sagarmatha,Terai,Eastern
Saptari,Sagarmatha,Terai,Eastern,2067/68,2010/11,Clinical Malaria,5 Years & Above,Male,42,Sagarmatha,Terai,Eastern
Saptari,Sagarmatha,Terai,Eastern,2067/68,2010/11,Clinical Malaria,Under 5 Years,Female,1183,Sagarmatha,Terai,Eastern
Saptari,Sagarmatha,Terai,Eastern,2067/68,2010/11,Clinical Malaria,5 Years & Above,Male,1054,Sagarmatha,Terai,Eastern
Saptari,Sagarmatha,Terai,Eastern,2067/68,2010/11,Total Treatment,Under 5 Years,Female,45,Sagarmatha,Terai,Eastern
Saptari,Sagarmatha,Terai,Eastern,2067/68,2010/11,Total Treatment,5 Years & Above,Male,42,Sagarmatha,Terai,Eastern
Saptari,Sagarmatha,Terai,Eastern,2067/68,2010/11,Total Treatment,Under 5 Years,Female,1183,Sagarmatha,Terai,Eastern
Saptari,Sagarmatha,Terai,Eastern,2067/68,2010/11,Total Treatment,5 Years & Above,Male,1054,Sagarmatha,Terai,Eastern
Siraha,Sagarmatha,Terai,Eastern,2067/68,2010/11,Clinical Malaria,Under 5 Years,Female,15,Sagarmatha,Terai,Eastern
Siraha,Sagarmatha,Terai,Eastern,2067/68,2010/11,Clinical Malaria,5 Years & Above,Male,10,Sagarmatha,Terai,Eastern
Siraha,Sagarmatha,Terai,Eastern,2067/68,2010/11,Clinical Malaria,Under 5 Years,Female,1516,Sagarmatha,Terai,Eastern
Siraha,Sagarmatha,Terai,Eastern,2067/68,2010/11,Clinical Malaria,5 Years & Above,Male,1598,Sagarmatha,Terai,Eastern
Siraha,Sagarmatha,Terai,Eastern,2067/68,2010/11,Total Treatment,Under 5 Years,Female,15,Sagarmatha,Terai,Eastern
Siraha,Sagarmatha,Terai,Eastern,2067/68,2010/11,Total Treatment,5 Years & Above,Male,10,Sagarmatha,Terai,Eastern
Siraha,Sagarmatha,Terai,Eastern,2067/68,2010/11,Total Treatment,Under 5 Years,Female,1516,Sagarmatha,Terai,Eastern
Siraha,Sagarmatha,Terai,Eastern,2067/68,2010/11,Total Treatment,5 Years & Above,Male,1598,Sagarmatha,Terai,Eastern
Dhanusa,Janakpur,Terai,Central,2067/68,2010/11,Clinical Malaria,Under 5 Years,Female,1290,Janakpur,Terai,Central
Dhanusa,Janakpur,Terai,Central,2067/68,2010/11,Clinical Malaria,5 Years & Above,Male,1311,Janakpur,Terai,Central
Dhanusa,Janakpur,Terai,Central,2067/68,2010/11,Clinical Malaria,Under 5 Years,Female,4591,Janakpur,Terai,Central
Dhanusa,Janakpur,Terai,Central,2067/68,2010/11,Clinical Malaria,5 Years & Above,Male,6257,Janakpur,Terai,Central
Dhanusa,Janakpur,Terai,Central,2067/68,2010/11,Total Treatment,Under 5 Years,Female,1290,Janakpur,Terai,Central
Dhanusa,Janakpur,Terai,Central,2067/68,2010/11,Total Treatment,5 Years & Above,Male,1311,Janakpur,Terai,Central
Dhanusa,Janakpur,Terai,Central,2067/68,2010/11,Total Treatment,Under 5 Years,Female,4591,Janakpur,Terai,Central
Dhanusa,Janakpur,Terai,Central,2067/68,2010/11,Total Treatment,5 Years & Above,Male,6257,Janakpur,Terai,Central
Mahottari,Janakpur,Terai,Central,2067/68,2010/11,Clinical Malaria,Under 5 Years,Female,551,Janakpur,Terai,Central
Mahottari,Janakpur,Terai,Central,2067/68,2010/11,Clinical Malaria,5 Years & Above,Male,54,Janakpur,Terai,Central
Mahottari,Janakpur,Terai,Central,2067/68,2010/11,Clinical Malaria,Under 5 Years,Female,1023,Janakpur,Terai,Central
Mahottari,Janakpur,Terai,Central,2067/68,2010/11,Clinical Malaria,5 Years & Above,Male,1517,Janakpur,Terai,Central
Mahottari,Janakpur,Terai,Central,2067/68,2010/11,Total Treatment,Under 5 Years,Female,551,Janakpur,Terai,Central
Mahottari,Janakpur,Terai,Central,2067/68,2010/11,Total Treatment,5 Years & Above,Male,54,Janakpur,Terai,Central
Mahottari,Janakpur,Terai,Central,2067/68,2010/11,Total Treatment,Under 5 Years,Female,1023,Janakpur,Terai,Central
Mahottari,Janakpur,Terai,Central,2067/68,2010/11,Total Treatment,5 Years & Above,Male,1517,Janakpur,Terai,Central
Sarlahi,Janakpur,Terai,Central,2067/68,2010/11,Clinical Malaria,Under 5 Years,Female,18,Janakpur,Terai,Central
Sarlahi,Janakpur,Terai,Central,2067/68,2010/11,Clinical Malaria,5 Years & Above,Male,28,Janakpur,Terai,Central
Sarlahi,Janakpur,Terai,Central,2067/68,2010/11,Clinical Malaria,Under 5 Years,Female,799,Janakpur,Terai,Central
Sarlahi,Janakpur,Terai,Central,2067/68,2010/11,Clinical Malaria,5 Years & Above,Male,1278,Janakpur,Terai,Central
Sarlahi,Janakpur,Terai,Central,2067/68,2010/11,Total Treatment,Under 5 Years,Female,18,Janakpur,Terai,Central
Sarlahi,Janakpur,Terai,Central,2067/68,2010/11,Total Treatment,5 Years & Above,Male,28,Janakpur,Terai,Central
Sarlahi,Janakpur,Terai,Central,2067/68,2010/11,Total Treatment,Under 5 Years,Female,799,Janakpur,Terai,Central
Sarlahi,Janakpur,Terai,Central,2067/68,2010/11,Total Treatment,5 Years & Above,Male,1278,Janakpur,Terai,Central
Sindhuli,Janakpur,Hill,Central,2067/68,2010/11,Clinical Malaria,Under 5 Years,Female,3,Janakpur,Hill,Central
Sindhuli,Janakpur,Hill,Central,2067/68,2010/11,Clinical Malaria,5 Years & Above,Male,3,Janakpur,Hill,Central
Sindhuli,Janakpur,Hill,Central,2067/68,2010/11,Clinical Malaria,Under 5 Years,Female,64,Janakpur,Hill,Central
Sindhuli,Janakpur,Hill,Central,2067/68,2010/11,Clinical Malaria,5 Years & Above,Male,65,Janakpur,Hill,Central
Sindhuli,Janakpur,Hill,Central,2067/68,2010/11,Total Treatment,Under 5 Years,Female,3,Janakpur,Hill,Central
Sindhuli,Janakpur,Hill,Central,2067/68,2010/11,Total Treatment,5 Years & Above,Male,3,Janakpur,Hill,Central
Sindhuli,Janakpur,Hill,Central,2067/68,2010/11,Total Treatment,Under 5 Years,Female,64,Janakpur,Hill,Central
Sindhuli,Janakpur,Hill,Central,2067/68,2010/11,Total Treatment,5 Years & Above,Male,65,Janakpur,Hill,Central
Ramechhap,Janakpur,Hill,Central,2067/68,2010/11,Clinical Malaria,Under 5 Years,Female,0,Janakpur,Hill,Central
Ramechhap,Janakpur,Hill,Central,2067/68,2010/11,Clinical Malaria,5 Years & Above,Male,1,Janakpur,Hill,Central
Ramechhap,Janakpur,Hill,Central,2067/68,2010/11,Clinical Malaria,Under 5 Years,Female,0,Janakpur,Hill,Central
Ramechhap,Janakpur,Hill,Central,2067/68,2010/11,Clinical Malaria,5 Years & Above,Male,0,Janakpur,Hill,Central
Ramechhap,Janakpur,Hill,Central,2067/68,2010/11,Total Treatment,Under 5 Years,Female,0,Janakpur,Hill,Central
Ramechhap,Janakpur,Hill,Central,2067/68,2010/11,Total Treatment,5 Years & Above,Male,1,Janakpur,Hill,Central
Ramechhap,Janakpur,Hill,Central,2067/68,2010/11,Total Treatment,Under 5 Years,Female,0,Janakpur,Hill,Central
Ramechhap,Janakpur,Hill,Central,2067/68,2010/11,Total Treatment,5 Years & Above,Male,0,Janakpur,Hill,Central
Dolakha,Janakpur,Mountain,Central,2067/68,2010/11,Clinical Malaria,Under 5 Years,Female,0,Janakpur,Mountain,Central
Dolakha,Janakpur,Mountain,Central,2067/68,2010/11,Clinical Malaria,5 Years & Above,Male,0,Janakpur,Mountain,Central
Dolakha,Janakpur,Mountain,Central,2067/68,2010/11,Clinical Malaria,Under 5 Years,Female,0,Janakpur,Mountain,Central
Dolakha,Janakpur,Mountain,Central,2067/68,2010/11,Clinical Malaria,5 Years & Above,Male,0,Janakpur,Mountain,Central
Dolakha,Janakpur,Mountain,Central,2067/68,2010/11,Total Treatment,Under 5 Years,Female,0,Janakpur,Mountain,Central
Dolakha,Janakpur,Mountain,Central,2067/68,2010/11,Total Treatment,5 Years & Above,Male,0,Janakpur,Mountain,Central
Dolakha,Janakpur,Mountain,Central,2067/68,2010/11,Total Treatment,Under 5 Years,Female,0,Janakpur,Mountain,Central
Dolakha,Janakpur,Mountain,Central,2067/68,2010/11,Total Treatment,5 Years & Above,Male,0,Janakpur,Mountain,Central
Sindhupalchok,Bagmati,Mountain,Central,2067/68,2010/11,Clinical Malaria,Under 5 Years,Female,1,Bagmati,Mountain,Central
Sindhupalchok,Bagmati,Mountain,Central,2067/68,2010/11,Clinical Malaria,5 Years & Above,Male,6,Bagmati,Mountain,Central
Sindhupalchok,Bagmati,Mountain,Central,2067/68,2010/11,Clinical Malaria,Under 5 Years,Female,68,Bagmati,Mountain,Central
Sindhupalchok,Bagmati,Mountain,Central,2067/68,2010/11,Clinical Malaria,5 Years & Above,Male,53,Bagmati,Mountain,Central
Sindhupalchok,Bagmati,Mountain,Central,2067/68,2010/11,Total Treatment,Under 5 Years,Female,1,Bagmati,Mountain,Central
Sindhupalchok,Bagmati,Mountain,Central,2067/68,2010/11,Total Treatment,5 Years & Above,Male,6,Bagmati,Mountain,Central
Sindhupalchok,Bagmati,Mountain,Central,2067/68,2010/11,Total Treatment,Under 5 Years,Female,68,Bagmati,Mountain,Central
Sindhupalchok,Bagmati,Mountain,Central,2067/68,2010/11,Total Treatment,5 Years & Above,Male,53,Bagmati,Mountain,Central
Kavre,Bagmati,Hill,Central,2067/68,2010/11,Clinical Malaria,Under 5 Years,Female,13,Bagmati,Hill,Central
Kavre,Bagmati,Hill,Central,2067/68,2010/11,Clinical Malaria,5 Years & Above,Male,14,Bagmati,Hill,Central
Kavre,Bagmati,Hill,Central,2067/68,2010/11,Clinical Malaria,Under 5 Years,Female,121,Bagmati,Hill,Central
Kavre,Bagmati,Hill,Central,2067/68,2010/11,Clinical Malaria,5 Years & Above,Male,122,Bagmati,Hill,Central
Kavre,Bagmati,Hill,Central,2067/68,2010/11,Total Treatment,Under 5 Years,Female,13,Bagmati,Hill,Central
Kavre,Bagmati,Hill,Central,2067/68,2010/11,Total Treatment,5 Years & Above,Male,14,Bagmati,Hill,Central
Kavre,Bagmati,Hill,Central,2067/68,2010/11,Total Treatment,Under 5 Years,Female,121,Bagmati,Hill,Central
Kavre,Bagmati,Hill,Central,2067/68,2010/11,Total Treatment,5 Years & Above,Male,122,Bagmati,Hill,Central
Lalitpur,Bagmati,Hill,Central,2067/68,2010/11,Clinical Malaria,Under 5 Years,Female,0,Bagmati,Hill,Central
Lalitpur,Bagmati,Hill,Central,2067/68,2010/11,Clinical Malaria,5 Years & Above,Male,0,Bagmati,Hill,Central
Lalitpur,Bagmati,Hill,Central,2067/68,2010/11,Clinical Malaria,Under 5 Years,Female,0,Bagmati,Hill,Central
Lalitpur,Bagmati,Hill,Central,2067/68,2010/11,Clinical Malaria,5 Years & Above,Male,0,Bagmati,Hill,Central
Lalitpur,Bagmati,Hill,Central,2067/68,2010/11,Total Treatment,Under 5 Years,Female,0,Bagmati,Hill,Central
Lalitpur,Bagmati,Hill,Central,2067/68,2010/11,Total Treatment,5 Years & Above,Male,0,Bagmati,Hill,Central
Lalitpur,Bagmati,Hill,Central,2067/68,2010/11,Total Treatment,Under 5 Years,Female,0,Bagmati,Hill,Central
Lalitpur,Bagmati,Hill,Central,2067/68,2010/11,Total Treatment,5 Years & Above,Male,0,Bagmati,Hill,Central
Bhaktapur,Bagmati,Hill,Central,2067/68,2010/11,Clinical Malaria,Under 5 Years,Female,0,Bagmati,Hill,Central
Bhaktapur,Bagmati,Hill,Central,2067/68,2010/11,Clinical Malaria,5 Years & Above,Male,0,Bagmati,Hill,Central
Bhaktapur,Bagmati,Hill,Central,2067/68,2010/11,Clinical Malaria,Under 5 Years,Female,0,Bagmati,Hill,Central
Bhaktapur,Bagmati,Hill,Central,2067/68,2010/11,Clinical Malaria,5 Years & Above,Male,0,Bagmati,Hill,Central
Bhaktapur,Bagmati,Hill,Central,2067/68,2010/11,Total Treatment,Under 5 Years,Female,0,Bagmati,Hill,Central
Bhaktapur,Bagmati,Hill,Central,2067/68,2010/11,Total Treatment,5 Years & Above,Male,0,Bagmati,Hill,Central
Bhaktapur,Bagmati,Hill,Central,2067/68,2010/11,Total Treatment,Under 5 Years,Female,0,Bagmati,Hill,Central
Bhaktapur,Bagmati,Hill,Central,2067/68,2010/11,Total Treatment,5 Years & Above,Male,0,Bagmati,Hill,Central
