District Name,Zone,Ecological Belt,Development Region,Year (B.S),Year (A.D),Indicator,Sub-Indicator,Sub-Indicator,Sub-Indicator,Sub-Indicator,Value
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Government ,Camp,Female,644
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Government ,Camp,Male,4
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Non-government,Institutions,Female,2085
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Non-government,Institutions,Male,277
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Non-government,Camp,Female,32
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Non-government,Camp,Male,0
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Total Strerilization,Camp,Male,3106
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,New Acceptors,Total All Methods,Total Strerilization,Camp,Male,20024
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Distribution,Condom ,Total Strerilization,Camp,Male,475996
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Distribution,Pills ,Total Strerilization,Camp,Male,76627
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Distribution,Depo ,Total Strerilization,Camp,Male,59635
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Distribution,IUD ,Total Strerilization,Camp,Male,795
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Distribution,Norplant,Total Strerilization,Camp,Male,889
Morang,Kosi,Terai,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Government ,Institutions,Female,110
Morang,Kosi,Terai,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Government ,Institutions,Male,0
Morang,Kosi,Terai,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Government ,Camp,Female,1026
Morang,Kosi,Terai,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Government ,Camp,Male,3
Morang,Kosi,Terai,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Non-government,Institutions,Female,1785
Morang,Kosi,Terai,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Non-government,Institutions,Male,165
Morang,Kosi,Terai,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Non-government,Camp,Female,0
Morang,Kosi,Terai,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Non-government,Camp,Male,0
Morang,Kosi,Terai,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Total Strerilization,Camp,Male,3089
Morang,Kosi,Terai,Eastern,2068/69,2011/12,New Acceptors,Total All Methods,Total Strerilization,Camp,Male,19329
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Distribution,Condom ,Total Strerilization,Camp,Male,630028
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Distribution,Pills ,Total Strerilization,Camp,Male,61338
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Distribution,Depo ,Total Strerilization,Camp,Male,48195
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Distribution,IUD ,Total Strerilization,Camp,Male,1599
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Distribution,Norplant,Total Strerilization,Camp,Male,713
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Government ,Institutions,Female,700
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Government ,Institutions,Male,2
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Government ,Camp,Female,0
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Government ,Camp,Male,0
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Non-government,Institutions,Female,272
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Non-government,Institutions,Male,53
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Non-government,Camp,Female,411
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Non-government,Camp,Male,3
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Total Strerilization,Camp,Male,1441
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,New Acceptors,Total All Methods,Total Strerilization,Camp,Male,12033
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Distribution,Condom ,Total Strerilization,Camp,Male,612962
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Distribution,Pills ,Total Strerilization,Camp,Male,68946
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Distribution,Depo ,Total Strerilization,Camp,Male,51167
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Distribution,IUD ,Total Strerilization,Camp,Male,365
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Distribution,Norplant,Total Strerilization,Camp,Male,417
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Government ,Institutions,Female,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Government ,Institutions,Male,6
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Government ,Camp,Female,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Government ,Camp,Male,11
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Non-government,Institutions,Female,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Non-government,Institutions,Male,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Non-government,Camp,Female,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Non-government,Camp,Male,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Total Strerilization,Camp,Male,17
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,New Acceptors,Total All Methods,Total Strerilization,Camp,Male,5839
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Distribution,Condom ,Total Strerilization,Camp,Male,206307
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Distribution,Pills ,Total Strerilization,Camp,Male,19272
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Distribution,Depo ,Total Strerilization,Camp,Male,16978
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Distribution,IUD ,Total Strerilization,Camp,Male,149
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Distribution,Norplant,Total Strerilization,Camp,Male,150
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Government ,Institutions,Female,0
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Government ,Institutions,Male,16
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Government ,Camp,Female,0
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Government ,Camp,Male,2
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Non-government,Institutions,Female,0
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Non-government,Institutions,Male,0
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Non-government,Camp,Female,0
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Non-government,Camp,Male,0
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Total Strerilization,Camp,Male,18
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,New Acceptors,Total All Methods,Total Strerilization,Camp,Male,2498
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Distribution,Condom ,Total Strerilization,Camp,Male,135526
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Distribution,Pills ,Total Strerilization,Camp,Male,7419
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Distribution,Depo ,Total Strerilization,Camp,Male,6696
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Distribution,IUD ,Total Strerilization,Camp,Male,79
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Distribution,Norplant,Total Strerilization,Camp,Male,209
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Government ,Institutions,Female,0
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Government ,Institutions,Male,41
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Government ,Camp,Female,0
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Government ,Camp,Male,0
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Non-government,Institutions,Female,0
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Non-government,Institutions,Male,0
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Non-government,Camp,Female,0
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Non-government,Camp,Male,0
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Total Strerilization,Camp,Male,41
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,New Acceptors,Total All Methods,Total Strerilization,Camp,Male,3874
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Distribution,Condom ,Total Strerilization,Camp,Male,136990
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Distribution,Pills ,Total Strerilization,Camp,Male,6139
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Distribution,Depo ,Total Strerilization,Camp,Male,9854
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Distribution,IUD ,Total Strerilization,Camp,Male,150
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Distribution,Norplant,Total Strerilization,Camp,Male,373
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Government ,Institutions,Female,0
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Government ,Institutions,Male,22
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Government ,Camp,Female,0
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Government ,Camp,Male,33
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Non-government,Institutions,Female,0
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Non-government,Institutions,Male,0
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Non-government,Camp,Female,0
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Non-government,Camp,Male,0
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Total Strerilization,Camp,Male,55
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,New Acceptors,Total All Methods,Total Strerilization,Camp,Male,3636
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Distribution,Condom ,Total Strerilization,Camp,Male,197468
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Distribution,Pills ,Total Strerilization,Camp,Male,15890
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Distribution,Depo ,Total Strerilization,Camp,Male,15752
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Distribution,IUD ,Total Strerilization,Camp,Male,124
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Distribution,Norplant,Total Strerilization,Camp,Male,234
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Government ,Institutions,Female,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Government ,Institutions,Male,5
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Government ,Camp,Female,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Government ,Camp,Male,15
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Non-government,Institutions,Female,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Non-government,Institutions,Male,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Non-government,Camp,Female,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Non-government,Camp,Male,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Total Strerilization,Camp,Male,20
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,New Acceptors,Total All Methods,Total Strerilization,Camp,Male,5176
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,Distribution,Condom ,Total Strerilization,Camp,Male,163800
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,Distribution,Pills ,Total Strerilization,Camp,Male,9752
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,Distribution,Depo ,Total Strerilization,Camp,Male,17875
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,Distribution,IUD ,Total Strerilization,Camp,Male,28
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,Distribution,Norplant,Total Strerilization,Camp,Male,277
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Government ,Institutions,Female,0
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Government ,Institutions,Male,18
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Government ,Camp,Female,0
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Government ,Camp,Male,66
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Non-government,Institutions,Female,16
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Non-government,Institutions,Male,25
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Non-government,Camp,Female,0
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Non-government,Camp,Male,8
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Total Strerilization,Camp,Male,133
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,New Acceptors,Total All Methods,Total Strerilization,Camp,Male,4164
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,Distribution,Condom ,Total Strerilization,Camp,Male,113567
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,Distribution,Pills ,Total Strerilization,Camp,Male,13698
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,Distribution,Depo ,Total Strerilization,Camp,Male,15005
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,Distribution,IUD ,Total Strerilization,Camp,Male,28
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,Distribution,Norplant,Total Strerilization,Camp,Male,382
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Government ,Institutions,Female,2
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Government ,Institutions,Male,22
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Government ,Camp,Female,2
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Government ,Camp,Male,87
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Non-government,Institutions,Female,0
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Non-government,Institutions,Male,0
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Non-government,Camp,Female,0
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Non-government,Camp,Male,0
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Total Strerilization,Camp,Male,113
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,New Acceptors,Total All Methods,Total Strerilization,Camp,Male,4600
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,Distribution,Condom ,Total Strerilization,Camp,Male,170127
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,Distribution,Pills ,Total Strerilization,Camp,Male,16801
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,Distribution,Depo ,Total Strerilization,Camp,Male,14226
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,Distribution,IUD ,Total Strerilization,Camp,Male,269
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,Distribution,Norplant,Total Strerilization,Camp,Male,157
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Government ,Institutions,Female,0
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Government ,Institutions,Male,1
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Government ,Camp,Female,137
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Government ,Camp,Male,101
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Non-government,Institutions,Female,7
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Non-government,Institutions,Male,7
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Non-government,Camp,Female,54
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Non-government,Camp,Male,1
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Total Strerilization,Camp,Male,308
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,New Acceptors,Total All Methods,Total Strerilization,Camp,Male,5775
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,Distribution,Condom ,Total Strerilization,Camp,Male,132415
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,Distribution,Pills ,Total Strerilization,Camp,Male,22882
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,Distribution,Depo ,Total Strerilization,Camp,Male,20138
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,Distribution,IUD ,Total Strerilization,Camp,Male,251
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,Distribution,Norplant,Total Strerilization,Camp,Male,95
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Government ,Institutions,Female,1425
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Government ,Institutions,Male,0
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Government ,Camp,Female,470
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Government ,Camp,Male,0
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Non-government,Institutions,Female,913
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Non-government,Institutions,Male,2
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Non-government,Camp,Female,0
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Non-government,Camp,Male,0
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Total Strerilization,Camp,Male,2810
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,New Acceptors,Total All Methods,Total Strerilization,Camp,Male,13546
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,Distribution,Condom ,Total Strerilization,Camp,Male,553428
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,Distribution,Pills ,Total Strerilization,Camp,Male,53963
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,Distribution,Depo ,Total Strerilization,Camp,Male,36410
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,Distribution,IUD ,Total Strerilization,Camp,Male,126
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,Distribution,Norplant,Total Strerilization,Camp,Male,43
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Government ,Institutions,Female,319
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Government ,Institutions,Male,5
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Government ,Camp,Female,857
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Government ,Camp,Male,0
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Non-government,Institutions,Female,1827
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Non-government,Institutions,Male,10
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Non-government,Camp,Female,10
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Non-government,Camp,Male,0
