District,Year,ENT related problems,Number of people
Gulmi,2066/67,Tonsilitis,7431
Gulmi,2066/67,Pharyngities/ Sore throat,3303
Gulmi,2066/67,Foreign body in respiratory tract,234
Kapilvastu,2066/67,Acute/ Chronic Suppurative Otitis Media (ASOM),8747
Kapilvastu,2066/67,Sinusitis,3713
Kapilvastu,2066/67,Tonsilitis,4603
Kapilvastu,2066/67,Pharyngities/ Sore throat,2788
Kapilvastu,2066/67,Foreign body in respiratory tract,500
Kaski,2066/67,Acute/ Chronic Suppurative Otitis Media (ASOM),8639
Kaski,2066/67,Sinusitis,8169
Kaski,2066/67,Tonsilitis,11501
Kaski,2066/67,Pharyngities/ Sore throat,7229
Kaski,2066/67,Foreign body in respiratory tract,1524
Lamjung,2066/67,Acute/ Chronic Suppurative Otitis Media (ASOM),3161
Lamjung,2066/67,Sinusitis,980
Lamjung,2066/67,Tonsilitis,3850
Lamjung,2066/67,Pharyngities/ Sore throat,1150
Lamjung,2066/67,Foreign body in respiratory tract,96
Manang,2066/67,Acute/ Chronic Suppurative Otitis Media (ASOM),206
Manang,2066/67,Sinusitis,189
Manang,2066/67,Tonsilitis,523
Manang,2066/67,Pharyngities/ Sore throat,96
Manang,2066/67,Foreign body in respiratory tract,0
Mustang,2066/67,Acute/ Chronic Suppurative Otitis Media (ASOM),509
Mustang,2066/67,Sinusitis,495
Mustang,2066/67,Tonsilitis,1334
Mustang,2066/67,Pharyngities/ Sore throat,487
Mustang,2066/67,Foreign body in respiratory tract,19
Myagdi,2066/67,Acute/ Chronic Suppurative Otitis Media (ASOM),3042
Myagdi,2066/67,Sinusitis,1933
Myagdi,2066/67,Tonsilitis,4129
Myagdi,2066/67,Pharyngities/ Sore throat,1791
Myagdi,2066/67,Foreign body in respiratory tract,107
Nawalparasi,2066/67,Acute/ Chronic Suppurative Otitis Media (ASOM),9492
Nawalparasi,2066/67,Sinusitis,3479
Nawalparasi,2066/67,Tonsilitis,4755
Nawalparasi,2066/67,Pharyngities/ Sore throat,1913
Nawalparasi,2066/67,Foreign body in respiratory tract,29
Palpa,2066/67,Acute/ Chronic Suppurative Otitis Media (ASOM),5134
Palpa,2066/67,Sinusitis,3469
Palpa,2066/67,Tonsilitis,5882
Palpa,2066/67,Pharyngities/ Sore throat,2805
Palpa,2066/67,Foreign body in respiratory tract,140
Parbat,2066/67,Acute/ Chronic Suppurative Otitis Media (ASOM),4349
Parbat,2066/67,Sinusitis,3489
Parbat,2066/67,Tonsilitis,6677
Parbat,2066/67,Pharyngities/ Sore throat,2692
Parbat,2066/67,Foreign body in respiratory tract,89
Rupandehi,2066/67,Acute/ Chronic Suppurative Otitis Media (ASOM),0
Rupandehi,2066/67,Sinusitis,0
Rupandehi,2066/67,Tonsilitis,0
Rupandehi,2066/67,Pharyngities/ Sore throat,0
Rupandehi,2066/67,Foreign body in respiratory tract,0
Syangja,2066/67,Acute/ Chronic Suppurative Otitis Media (ASOM),5631
Syangja,2066/67,Sinusitis,6685
Syangja,2066/67,Tonsilitis,9183
Syangja,2066/67,Pharyngities/ Sore throat,3706
Syangja,2066/67,Foreign body in respiratory tract,282
Tanahu,2066/67,Acute/ Chronic Suppurative Otitis Media (ASOM),4009
Tanahu,2066/67,Sinusitis,1742
Tanahu,2066/67,Tonsilitis,3474
Tanahu,2066/67,Pharyngities/ Sore throat,1444
Tanahu,2066/67,Foreign body in respiratory tract,177
Banke,2066/67,Acute/ Chronic Suppurative Otitis Media (ASOM),13139
Banke,2066/67,Sinusitis,603
Banke,2066/67,Tonsilitis,2355
Banke,2066/67,Pharyngities/ Sore throat,1098
Banke,2066/67,Foreign body in respiratory tract,61
Bardiya,2066/67,Acute/ Chronic Suppurative Otitis Media (ASOM),9449
Bardiya,2066/67,Sinusitis,2365
Bardiya,2066/67,Tonsilitis,5431
Bardiya,2066/67,Pharyngities/ Sore throat,3413
Bardiya,2066/67,Foreign body in respiratory tract,141
Dailekh,2066/67,Acute/ Chronic Suppurative Otitis Media (ASOM),5738
Dailekh,2066/67,Sinusitis,1049
Dailekh,2066/67,Tonsilitis,2987
Dailekh,2066/67,Pharyngities/ Sore throat,1477
Dailekh,2066/67,Foreign body in respiratory tract,70
Dang,2066/67,Acute/ Chronic Suppurative Otitis Media (ASOM),10554
Dang,2066/67,Sinusitis,3111
Dang,2066/67,Tonsilitis,4690
Dang,2066/67,Pharyngities/ Sore throat,2483
Dang,2066/67,Foreign body in respiratory tract,64
Dolpa,2066/67,Acute/ Chronic Suppurative Otitis Media (ASOM),369
Dolpa,2066/67,Sinusitis,308
Dolpa,2066/67,Tonsilitis,563
Dolpa,2066/67,Pharyngities/ Sore throat,436
Dolpa,2066/67,Foreign body in respiratory tract,25
Humla,2066/67,Acute/ Chronic Suppurative Otitis Media (ASOM),2227
Humla,2066/67,Sinusitis,1471
Humla,2066/67,Tonsilitis,1797
Humla,2066/67,Pharyngities/ Sore throat,1154
Humla,2066/67,Foreign body in respiratory tract,178
Jajarkot,2066/67,Acute/ Chronic Suppurative Otitis Media (ASOM),3227
Jajarkot,2066/67,Sinusitis,1176
Jajarkot,2066/67,Tonsilitis,1807
Jajarkot,2066/67,Pharyngities/ Sore throat,1130
Jajarkot,2066/67,Foreign body in respiratory tract,25
Jumla,2066/67,Acute/ Chronic Suppurative Otitis Media (ASOM),1784
Jumla,2066/67,Sinusitis,444
Jumla,2066/67,Tonsilitis,660
Jumla,2066/67,Pharyngities/ Sore throat,319
Jumla,2066/67,Foreign body in respiratory tract,20
Kalikot,2066/67,Acute/ Chronic Suppurative Otitis Media (ASOM),1328
Kalikot,2066/67,Sinusitis,615
Kalikot,2066/67,Tonsilitis,831
Kalikot,2066/67,Pharyngities/ Sore throat,517
Kalikot,2066/67,Foreign body in respiratory tract,400
Mugu,2066/67,Acute/ Chronic Suppurative Otitis Media (ASOM),759
Mugu,2066/67,Sinusitis,387
Mugu,2066/67,Tonsilitis,579
Mugu,2066/67,Pharyngities/ Sore throat,295
Mugu,2066/67,Foreign body in respiratory tract,28
Pyuthan,2066/67,Acute/ Chronic Suppurative Otitis Media (ASOM),5679
Pyuthan,2066/67,Sinusitis,2002
Pyuthan,2066/67,Tonsilitis,3323
Pyuthan,2066/67,Pharyngities/ Sore throat,2061
Pyuthan,2066/67,Foreign body in respiratory tract,73
Rolpa,2066/67,Acute/ Chronic Suppurative Otitis Media (ASOM),4688
Rolpa,2066/67,Sinusitis,998
Rolpa,2066/67,Tonsilitis,2253
Rolpa,2066/67,Pharyngities/ Sore throat,1556
Rolpa,2066/67,Foreign body in respiratory tract,88
Rukum,2066/67,Acute/ Chronic Suppurative Otitis Media (ASOM),5223
Rukum,2066/67,Sinusitis,1757
Rukum,2066/67,Tonsilitis,2765
Rukum,2066/67,Pharyngities/ Sore throat,1790
Rukum,2066/67,Foreign body in respiratory tract,155
Salyan,2066/67,Acute/ Chronic Suppurative Otitis Media (ASOM),6771
Salyan,2066/67,Sinusitis,1844
Salyan,2066/67,Tonsilitis,2408
Salyan,2066/67,Pharyngities/ Sore throat,2228
Salyan,2066/67,Foreign body in respiratory tract,62
Surkhet,2066/67,Acute/ Chronic Suppurative Otitis Media (ASOM),10206
Surkhet,2066/67,Sinusitis,2726
Surkhet,2066/67,Tonsilitis,4737
Surkhet,2066/67,Pharyngities/ Sore throat,2333
Surkhet,2066/67,Foreign body in respiratory tract,136
Achham,2066/67,Acute/ Chronic Suppurative Otitis Media (ASOM),5977
Achham,2066/67,Sinusitis,1151
Achham,2066/67,Tonsilitis,1927
Achham,2066/67,Pharyngities/ Sore throat,1888
Achham,2066/67,Foreign body in respiratory tract,258
Baitadi,2066/67,Acute/ Chronic Suppurative Otitis Media (ASOM),5633
Baitadi,2066/67,Sinusitis,979
Baitadi,2066/67,Tonsilitis,3006
Baitadi,2066/67,Pharyngities/ Sore throat,1534
Baitadi,2066/67,Foreign body in respiratory tract,225
Bajhang,2066/67,Acute/ Chronic Suppurative Otitis Media (ASOM),3434
Bajhang,2066/67,Sinusitis,699
Bajhang,2066/67,Tonsilitis,1103
Bajhang,2066/67,Pharyngities/ Sore throat,520
Bajhang,2066/67,Foreign body in respiratory tract,120
Bajura,2066/67,Acute/ Chronic Suppurative Otitis Media (ASOM),3539
Bajura,2066/67,Sinusitis,647
Bajura,2066/67,Tonsilitis,1244
Bajura,2066/67,Pharyngities/ Sore throat,768
Bajura,2066/67,Foreign body in respiratory tract,195
Dadeldhura,2066/67,Acute/ Chronic Suppurative Otitis Media (ASOM),4282
Dadeldhura,2066/67,Sinusitis,1165
Dadeldhura,2066/67,Tonsilitis,1565
Dadeldhura,2066/67,Pharyngities/ Sore throat,973
Dadeldhura,2066/67,Foreign body in respiratory tract,132
Darchula,2066/67,Acute/ Chronic Suppurative Otitis Media (ASOM),3216
Darchula,2066/67,Sinusitis,522
Darchula,2066/67,Tonsilitis,2178
Darchula,2066/67,Pharyngities/ Sore throat,1021
Darchula,2066/67,Foreign body in respiratory tract,54
Doti,2066/67,Acute/ Chronic Suppurative Otitis Media (ASOM),4453
Doti,2066/67,Sinusitis,467
Doti,2066/67,Tonsilitis,1132
Doti,2066/67,Pharyngities/ Sore throat,668
Doti,2066/67,Foreign body in respiratory tract,46
Kailali,2066/67,Acute/ Chronic Suppurative Otitis Media (ASOM),10344
Kailali,2066/67,Sinusitis,1159
Kailali,2066/67,Tonsilitis,3136
Kailali,2066/67,Pharyngities/ Sore throat,1791
Kailali,2066/67,Foreign body in respiratory tract,73
Kanchanpur,2066/67,Acute/ Chronic Suppurative Otitis Media (ASOM),5907
Kanchanpur,2066/67,Sinusitis,839
Kanchanpur,2066/67,Tonsilitis,2166
Kanchanpur,2066/67,Pharyngities/ Sore throat,1345
Kanchanpur,2066/67,Foreign body in respiratory tract,84
Taplejung,2067/68,Acute/ Chronic Suppurative Otitis Media (ASOM),2866
Taplejung,2067/68,Sinusitis,1195
Taplejung,2067/68,Tonsilitis,10016
Taplejung,2067/68,Pharyngities/ Sore throat,2839
Taplejung,2067/68,Foreign body in respiratory tract,116
Panchthar,2067/68,Acute/ Chronic Suppurative Otitis Media (ASOM),2356
Panchthar,2067/68,Sinusitis,1033
Panchthar,2067/68,Tonsilitis,9766
Panchthar,2067/68,Pharyngities/ Sore throat,2053
Panchthar,2067/68,Foreign body in respiratory tract,132
Ilam,2067/68,Acute/ Chronic Suppurative Otitis Media (ASOM),3415
Ilam,2067/68,Sinusitis,1306
Ilam,2067/68,Tonsilitis,9919
Ilam,2067/68,Pharyngities/ Sore throat,2867
Ilam,2067/68,Foreign body in respiratory tract,52
Jhapa,2067/68,Acute/ Chronic Suppurative Otitis Media (ASOM),10688
Jhapa,2067/68,Sinusitis,6301
Jhapa,2067/68,Tonsilitis,14141
Jhapa,2067/68,Pharyngities/ Sore throat,9906
Jhapa,2067/68,Foreign body in respiratory tract,78
Morang,2067/68,Acute/ Chronic Suppurative Otitis Media (ASOM),15325
Morang,2067/68,Sinusitis,5001
Morang,2067/68,Tonsilitis,11387
Morang,2067/68,Pharyngities/ Sore throat,6675
Morang,2067/68,Foreign body in respiratory tract,371
Sunsari,2067/68,Acute/ Chronic Suppurative Otitis Media (ASOM),17104
Sunsari,2067/68,Sinusitis,1775
Sunsari,2067/68,Tonsilitis,8198
Sunsari,2067/68,Pharyngities/ Sore throat,2756
Sunsari,2067/68,Foreign body in respiratory tract,23
Dhankuta,2067/68,Acute/ Chronic Suppurative Otitis Media (ASOM),2527
Dhankuta,2067/68,Sinusitis,812
Dhankuta,2067/68,Tonsilitis,11463
Dhankuta,2067/68,Pharyngities/ Sore throat,4044
Dhankuta,2067/68,Foreign body in respiratory tract,22
Teharthum,2067/68,Acute/ Chronic Suppurative Otitis Media (ASOM),2426
Teharthum,2067/68,Sinusitis,1078
Teharthum,2067/68,Tonsilitis,6804
Teharthum,2067/68,Pharyngities/ Sore throat,4005
Teharthum,2067/68,Foreign body in respiratory tract,21
Sankhuwasabha,2067/68,Acute/ Chronic Suppurative Otitis Media (ASOM),3271
Sankhuwasabha,2067/68,Sinusitis,1096
Sankhuwasabha,2067/68,Tonsilitis,6229
Sankhuwasabha,2067/68,Pharyngities/ Sore throat,2844
Sankhuwasabha,2067/68,Foreign body in respiratory tract,45
Bhojpur,2067/68,Acute/ Chronic Suppurative Otitis Media (ASOM),3873
Bhojpur,2067/68,Sinusitis,1099
Bhojpur,2067/68,Tonsilitis,14155
Bhojpur,2067/68,Pharyngities/ Sore throat,4920
Bhojpur,2067/68,Foreign body in respiratory tract,81
Solukhumbu,2067/68,Acute/ Chronic Suppurative Otitis Media (ASOM),2548
Solukhumbu,2067/68,Sinusitis,1421
Solukhumbu,2067/68,Tonsilitis,4982
Solukhumbu,2067/68,Pharyngities/ Sore throat,3037
Solukhumbu,2067/68,Foreign body in respiratory tract,106
Okhaldhunga,2067/68,Acute/ Chronic Suppurative Otitis Media (ASOM),3844
Okhaldhunga,2067/68,Sinusitis,1680
Okhaldhunga,2067/68,Tonsilitis,7768
Okhaldhunga,2067/68,Pharyngities/ Sore throat,4007
Okhaldhunga,2067/68,Foreign body in respiratory tract,178
Khotang,2067/68,Acute/ Chronic Suppurative Otitis Media (ASOM),3496
Khotang,2067/68,Sinusitis,1682
Khotang,2067/68,Tonsilitis,8472
Khotang,2067/68,Pharyngities/ Sore throat,3471
Khotang,2067/68,Foreign body in respiratory tract,341
Udaypur,2067/68,Acute/ Chronic Suppurative Otitis Media (ASOM),5980
Udaypur,2067/68,Sinusitis,1662
Udaypur,2067/68,Tonsilitis,5953
Udaypur,2067/68,Pharyngities/ Sore throat,4695
Udaypur,2067/68,Foreign body in respiratory tract,229
Saptari,2067/68,Acute/ Chronic Suppurative Otitis Media (ASOM),20501
Saptari,2067/68,Sinusitis,2413
Saptari,2067/68,Tonsilitis,4630
Saptari,2067/68,Pharyngities/ Sore throat,3210
Saptari,2067/68,Foreign body in respiratory tract,225
Siraha,2067/68,Acute/ Chronic Suppurative Otitis Media (ASOM),19013
Siraha,2067/68,Sinusitis,2925
Siraha,2067/68,Tonsilitis,5493
Siraha,2067/68,Pharyngities/ Sore throat,2717
Siraha,2067/68,Foreign body in respiratory tract,123
Dhanusha,2067/68,Acute/ Chronic Suppurative Otitis Media (ASOM),21232
Dhanusha,2067/68,Sinusitis,2766
Dhanusha,2067/68,Tonsilitis,5945
Dhanusha,2067/68,Pharyngities/ Sore throat,2225
Dhanusha,2067/68,Foreign body in respiratory tract,343
Mahottari,2067/68,Acute/ Chronic Suppurative Otitis Media (ASOM),12845
Mahottari,2067/68,Sinusitis,2434
Mahottari,2067/68,Tonsilitis,3824
Mahottari,2067/68,Pharyngities/ Sore throat,1618
Mahottari,2067/68,Foreign body in respiratory tract,141
Sarlahi,2067/68,Acute/ Chronic Suppurative Otitis Media (ASOM),13152
Sarlahi,2067/68,Sinusitis,3122
Sarlahi,2067/68,Tonsilitis,4833
Sarlahi,2067/68,Pharyngities/ Sore throat,2622
Sarlahi,2067/68,Foreign body in respiratory tract,304
Sindhuli,2067/68,Acute/ Chronic Suppurative Otitis Media (ASOM),2893
Sindhuli,2067/68,Sinusitis,1192
Sindhuli,2067/68,Tonsilitis,4252
Sindhuli,2067/68,Pharyngities/ Sore throat,1325
Sindhuli,2067/68,Foreign body in respiratory tract,67
Ramechhap,2067/68,Acute/ Chronic Suppurative Otitis Media (ASOM),3934
Ramechhap,2067/68,Sinusitis,1063
Ramechhap,2067/68,Tonsilitis,6441
Ramechhap,2067/68,Pharyngities/ Sore throat,2822
Ramechhap,2067/68,Foreign body in respiratory tract,111
Dolkha,2067/68,Acute/ Chronic Suppurative Otitis Media (ASOM),4016
Dolkha,2067/68,Sinusitis,1715
Dolkha,2067/68,Tonsilitis,4792
Dolkha,2067/68,Pharyngities/ Sore throat,3019
Dolkha,2067/68,Foreign body in respiratory tract,155
Sindhupalchowk,2067/68,Acute/ Chronic Suppurative Otitis Media (ASOM),4374
Sindhupalchowk,2067/68,Sinusitis,2888
Sindhupalchowk,2067/68,Tonsilitis,6833
Sindhupalchowk,2067/68,Pharyngities/ Sore throat,4376
Sindhupalchowk,2067/68,Foreign body in respiratory tract,143
Kavre,2067/68,Acute/ Chronic Suppurative Otitis Media (ASOM),7314
Kavre,2067/68,Sinusitis,2105
Kavre,2067/68,Tonsilitis,11197
Kavre,2067/68,Pharyngities/ Sore throat,3743
Kavre,2067/68,Foreign body in respiratory tract,64
Lalitpur,2067/68,Acute/ Chronic Suppurative Otitis Media (ASOM),0
Lalitpur,2067/68,Sinusitis,0
Lalitpur,2067/68,Tonsilitis,0
Lalitpur,2067/68,Pharyngities/ Sore throat,0
Lalitpur,2067/68,Foreign body in respiratory tract,0
Bhaktapur,2067/68,Acute/ Chronic Suppurative Otitis Media (ASOM),2498
Bhaktapur,2067/68,Sinusitis,1857
Bhaktapur,2067/68,Tonsilitis,4278
Bhaktapur,2067/68,Pharyngities/ Sore throat,2388
Bhaktapur,2067/68,Foreign body in respiratory tract,108
Kathmandu,2067/68,Acute/ Chronic Suppurative Otitis Media (ASOM),8370
Kathmandu,2067/68,Sinusitis,5705
Kathmandu,2067/68,Tonsilitis,14267
