Year,District,Type of disease,Number of patient
2011/012,Okhaldhunga,"Presumed non infectious
diarrhoea",7985
2011/012,Okhaldhunga,Cholera,0
2011/012,Okhaldhunga,Intestinal Worms,10939
2011/012,Okhaldhunga,"Jaundice and Infective
Hepatitis",93
2011/012,Khotang,Typhoid (Enteric Fever),3699
2011/012,Khotang,Acute gastro enteritis,7651
2011/012,Khotang,Ameobic Dysentry,8594
2011/012,Khotang,Baccilary Dysentry,5028
2011/012,Khotang,"Presumed non infectious
diarrhoea",3187
2011/012,Khotang,Cholera,0
2011/012,Khotang,Intestinal Worms,21198
2011/012,Khotang,"Jaundice and Infective
Hepatitis",534
2011/012,Udaypur,Typhoid (Enteric Fever),6280
2011/012,Udaypur,Acute gastro enteritis,4569
2011/012,Udaypur,Ameobic Dysentry,7637
2011/012,Udaypur,Baccilary Dysentry,3217
2011/012,Udaypur,"Presumed non infectious
diarrhoea",8535
2011/012,Udaypur,Cholera,0
2011/012,Udaypur,Intestinal Worms,14783
2011/012,Udaypur,"Jaundice and Infective
Hepatitis",417
2011/012,Saptari,Typhoid (Enteric Fever),7734
2011/012,Saptari,Acute gastro enteritis,13565
2011/012,Saptari,Ameobic Dysentry,18525
2011/012,Saptari,Baccilary Dysentry,6953
2011/012,Saptari,"Presumed non infectious
diarrhoea",33603
2011/012,Saptari,Cholera,0
2011/012,Saptari,Intestinal Worms,35726
2011/012,Saptari,"Jaundice and Infective
Hepatitis",367
2011/012,Siraha,Typhoid (Enteric Fever),14369
2011/012,Siraha,Acute gastro enteritis,8633
2011/012,Siraha,Ameobic Dysentry,13024
2011/012,Siraha,Baccilary Dysentry,10099
2011/012,Siraha,"Presumed non infectious
diarrhoea",20011
2011/012,Siraha,Cholera,35
2011/012,Siraha,Intestinal Worms,25259
2011/012,Siraha,"Jaundice and Infective
Hepatitis",485
2011/012,Dhanusha,Typhoid (Enteric Fever),19257
2011/012,Dhanusha,Acute gastro enteritis,7817
2011/012,Dhanusha,Ameobic Dysentry,16229
2011/012,Dhanusha,Baccilary Dysentry,7542
2011/012,Dhanusha,"Presumed non infectious
diarrhoea",22765
2011/012,Dhanusha,Cholera,28
2011/012,Dhanusha,Intestinal Worms,41443
2011/012,Dhanusha,"Jaundice and Infective
Hepatitis",693
2011/012,Mahottari,Typhoid (Enteric Fever),13792
2011/012,Mahottari,Acute gastro enteritis,7776
2011/012,Mahottari,Ameobic Dysentry,15202
2011/012,Mahottari,Baccilary Dysentry,7152
2011/012,Mahottari,"Presumed non infectious
diarrhoea",14873
2011/012,Mahottari,Cholera,0
2011/012,Mahottari,Intestinal Worms,31481
2011/012,Mahottari,"Jaundice and Infective
Hepatitis",622
2011/012,Sarlahi,Typhoid (Enteric Fever),17355
2011/012,Sarlahi,Acute gastro enteritis,13366
2011/012,Sarlahi,Ameobic Dysentry,28020
2011/012,Sarlahi,Baccilary Dysentry,10466
2011/012,Sarlahi,"Presumed non infectious
diarrhoea",20928
2011/012,Sarlahi,Cholera,0
2011/012,Sarlahi,Intestinal Worms,36744
2011/012,Sarlahi,"Jaundice and Infective
Hepatitis",1108
2011/012,Sindhuli,Typhoid (Enteric Fever),7900
2011/012,Sindhuli,Acute gastro enteritis,3179
2011/012,Sindhuli,Ameobic Dysentry,5111
2011/012,Sindhuli,Baccilary Dysentry,1943
2011/012,Sindhuli,"Presumed non infectious
diarrhoea",4344
2011/012,Sindhuli,Cholera,10
2011/012,Sindhuli,Intestinal Worms,7817
2011/012,Sindhuli,"Jaundice and Infective
Hepatitis",251
2011/012,Ramechhap,Typhoid (Enteric Fever),4372
2011/012,Ramechhap,Acute gastro enteritis,1942
2011/012,Ramechhap,Ameobic Dysentry,4010
2011/012,Ramechhap,Baccilary Dysentry,1856
2011/012,Ramechhap,"Presumed non infectious
diarrhoea",8141
2011/012,Ramechhap,Cholera,0
2011/012,Ramechhap,Intestinal Worms,5751
2011/012,Ramechhap,"Jaundice and Infective
Hepatitis",646
2011/012,Dolkha,Typhoid (Enteric Fever),3709
2011/012,Dolkha,Acute gastro enteritis,1587
2011/012,Dolkha,Ameobic Dysentry,4466
2011/012,Dolkha,Baccilary Dysentry,2151
2011/012,Dolkha,"Presumed non infectious
diarrhoea",9200
2011/012,Dolkha,Cholera,0
2011/012,Dolkha,Intestinal Worms,9075
2011/012,Dolkha,"Jaundice and Infective
Hepatitis",387
2011/012,Sindhupalchowk,Typhoid (Enteric Fever),7819
2011/012,Sindhupalchowk,Acute gastro enteritis,3466
2011/012,Sindhupalchowk,Ameobic Dysentry,7927
2011/012,Sindhupalchowk,Baccilary Dysentry,2915
2011/012,Sindhupalchowk,"Presumed non infectious
diarrhoea",9037
2011/012,Sindhupalchowk,Cholera,0
2011/012,Sindhupalchowk,Intestinal Worms,6857
2011/012,Sindhupalchowk,"Jaundice and Infective
Hepatitis",524
2011/012,Kavre,Typhoid (Enteric Fever),9872
2011/012,Kavre,Acute gastro enteritis,2615
2011/012,Kavre,Ameobic Dysentry,10074
2011/012,Kavre,Baccilary Dysentry,3267
2011/012,Kavre,"Presumed non infectious
diarrhoea",15034
2011/012,Kavre,Cholera,0
2011/012,Kavre,Intestinal Worms,5223
2011/012,Kavre,"Jaundice and Infective
Hepatitis",674
2011/012,Lalitpur,Typhoid (Enteric Fever),0
2011/012,Lalitpur,Acute gastro enteritis,0
2011/012,Lalitpur,Ameobic Dysentry,0
2011/012,Lalitpur,Baccilary Dysentry,0
2011/012,Lalitpur,"Presumed non infectious
diarrhoea",0
2011/012,Lalitpur,Cholera,0
2011/012,Lalitpur,Intestinal Worms,0
2011/012,Lalitpur,"Jaundice and Infective
Hepatitis",0
2011/012,Bhaktapur,Typhoid (Enteric Fever),2999
2011/012,Bhaktapur,Acute gastro enteritis,4119
2011/012,Bhaktapur,Ameobic Dysentry,3664
2011/012,Bhaktapur,Baccilary Dysentry,1046
2011/012,Bhaktapur,"Presumed non infectious
diarrhoea",3436
2011/012,Bhaktapur,Cholera,48
2011/012,Bhaktapur,Intestinal Worms,2476
2011/012,Bhaktapur,"Jaundice and Infective
Hepatitis",596
2011/012,Kathmandu,Typhoid (Enteric Fever),11572
2011/012,Kathmandu,Acute gastro enteritis,19159
2011/012,Kathmandu,Ameobic Dysentry,10878
2011/012,Kathmandu,Baccilary Dysentry,5226
2011/012,Kathmandu,"Presumed non infectious
diarrhoea",11910
2011/012,Kathmandu,Cholera,94
2011/012,Kathmandu,Intestinal Worms,10391
2011/012,Kathmandu,"Jaundice and Infective
Hepatitis",4006
2011/012,Nuwakot,Typhoid (Enteric Fever),5896
2011/012,Nuwakot,Acute gastro enteritis,3256
2011/012,Nuwakot,Ameobic Dysentry,4509
2011/012,Nuwakot,Baccilary Dysentry,1984
2011/012,Nuwakot,"Presumed non infectious
diarrhoea",5101
2011/012,Nuwakot,Cholera,86
2011/012,Nuwakot,Intestinal Worms,3802
2011/012,Nuwakot,"Jaundice and Infective
Hepatitis",425
2011/012,Rasuwa,Typhoid (Enteric Fever),1064
2011/012,Rasuwa,Acute gastro enteritis,940
2011/012,Rasuwa,Ameobic Dysentry,1375
2011/012,Rasuwa,Baccilary Dysentry,651
2011/012,Rasuwa,"Presumed non infectious
diarrhoea",1832
2011/012,Rasuwa,Cholera,0
2011/012,Rasuwa,Intestinal Worms,1734
2011/012,Rasuwa,"Jaundice and Infective
Hepatitis",216
2011/012,Dhading,Typhoid (Enteric Fever),12149
2011/012,Dhading,Acute gastro enteritis,3378
2011/012,Dhading,Ameobic Dysentry,10670
2011/012,Dhading,Baccilary Dysentry,4114
2011/012,Dhading,"Presumed non infectious
diarrhoea",12258
2011/012,Dhading,Cholera,14
2011/012,Dhading,Intestinal Worms,7515
2011/012,Dhading,"Jaundice and Infective
Hepatitis",996
2011/012,Makawanpur,Typhoid (Enteric Fever),3423
2011/012,Makawanpur,Acute gastro enteritis,2475
2011/012,Makawanpur,Ameobic Dysentry,4612
2011/012,Makawanpur,Baccilary Dysentry,2385
2011/012,Makawanpur,"Presumed non infectious
diarrhoea",12879
2011/012,Makawanpur,Cholera,0
2011/012,Makawanpur,Intestinal Worms,4858
2011/012,Makawanpur,"Jaundice and Infective
Hepatitis",364
2011/012,Rautahat,Typhoid (Enteric Fever),10533
2011/012,Rautahat,Acute gastro enteritis,6487
2011/012,Rautahat,Ameobic Dysentry,27276
2011/012,Rautahat,Baccilary Dysentry,8794
2011/012,Rautahat,"Presumed non infectious
diarrhoea",15865
2011/012,Rautahat,Cholera,0
2011/012,Rautahat,Intestinal Worms,25968
2011/012,Rautahat,"Jaundice and Infective
Hepatitis",357
2011/012,Bara,Typhoid (Enteric Fever),10080
2011/012,Bara,Acute gastro enteritis,7826
2011/012,Bara,Ameobic Dysentry,20657
2011/012,Bara,Baccilary Dysentry,7670
2011/012,Bara,"Presumed non infectious
diarrhoea",19981
2011/012,Bara,Cholera,151
2011/012,Bara,Intestinal Worms,25617
2011/012,Bara,"Jaundice and Infective
Hepatitis",834
2011/012,Parsa,Typhoid (Enteric Fever),0
2011/012,Parsa,Acute gastro enteritis,0
2011/012,Parsa,Ameobic Dysentry,0
2011/012,Parsa,Baccilary Dysentry,0
2011/012,Parsa,"Presumed non infectious
diarrhoea",0
2011/012,Parsa,Cholera,0
2011/012,Parsa,Intestinal Worms,0
2011/012,Parsa,"Jaundice and Infective
Hepatitis",0
2011/012,Chitwan,Typhoid (Enteric Fever),2360
2011/012,Chitwan,Acute gastro enteritis,4985
2011/012,Chitwan,Ameobic Dysentry,6594
2011/012,Chitwan,Baccilary Dysentry,1951
2011/012,Chitwan,"Presumed non infectious
diarrhoea",6028
2011/012,Chitwan,Cholera,0
2011/012,Chitwan,Intestinal Worms,10541
2011/012,Chitwan,"Jaundice and Infective
Hepatitis",711
2011/012,Gorkha,Typhoid (Enteric Fever),6693
2011/012,Gorkha,Acute gastro enteritis,5739
2011/012,Gorkha,Ameobic Dysentry,8341
2011/012,Gorkha,Baccilary Dysentry,2805
2011/012,Gorkha,"Presumed non infectious
diarrhoea",6647
2011/012,Gorkha,Cholera,0
2011/012,Gorkha,Intestinal Worms,8208
2011/012,Gorkha,"Jaundice and Infective
Hepatitis",807
2011/012,Lamjung,Typhoid (Enteric Fever),3158
2011/012,Lamjung,Acute gastro enteritis,1750
2011/012,Lamjung,Ameobic Dysentry,5017
2011/012,Lamjung,Baccilary Dysentry,1709
2011/012,Lamjung,"Presumed non infectious
diarrhoea",7024
2011/012,Lamjung,Cholera,26
2011/012,Lamjung,Intestinal Worms,5521
2011/012,Lamjung,"Jaundice and Infective
Hepatitis",374
2011/012,Tanahu,Typhoid (Enteric Fever),5655
2011/012,Tanahu,Acute gastro enteritis,1451
2011/012,Tanahu,Ameobic Dysentry,3949
2011/012,Tanahu,Baccilary Dysentry,1596
2011/012,Tanahu,"Presumed non infectious
diarrhoea",5510
2011/012,Tanahu,Cholera,0
2011/012,Tanahu,Intestinal Worms,6056
2011/012,Tanahu,"Jaundice and Infective
Hepatitis",498
2011/012,Syangja,Typhoid (Enteric Fever),11376
2011/012,Syangja,Acute gastro enteritis,3225
2011/012,Syangja,Ameobic Dysentry,6536
2011/012,Syangja,Baccilary Dysentry,2091
2011/012,Syangja,"Presumed non infectious
diarrhoea",3079
2011/012,Syangja,Cholera,5
2011/012,Syangja,Intestinal Worms,5738
2011/012,Syangja,"Jaundice and Infective
Hepatitis",771
2011/012,Kaski,Typhoid (Enteric Fever),10878
2011/012,Kaski,Acute gastro enteritis,8945
2011/012,Kaski,Ameobic Dysentry,7484
2011/012,Kaski,Baccilary Dysentry,2548
2011/012,Kaski,"Presumed non infectious
diarrhoea",8636
2011/012,Kaski,Cholera,46
2011/012,Kaski,Intestinal Worms,6676
2011/012,Kaski,"Jaundice and Infective
Hepatitis",2547
2011/012,Manang,Typhoid (Enteric Fever),119
2011/012,Manang,Acute gastro enteritis,329
2011/012,Manang,Ameobic Dysentry,527
2011/012,Manang,Baccilary Dysentry,102
2011/012,Manang,"Presumed non infectious
diarrhoea",236
2011/012,Manang,Cholera,0
2011/012,Manang,Intestinal Worms,572
2011/012,Manang,"Jaundice and Infective
Hepatitis",5
2011/012,Mustang,Typhoid (Enteric Fever),108
2011/012,Mustang,Acute gastro enteritis,696
2011/012,Mustang,Ameobic Dysentry,551
2011/012,Mustang,Baccilary Dysentry,240
2011/012,Mustang,"Presumed non infectious
diarrhoea",690
2011/012,Mustang,Cholera,0
2011/012,Mustang,Intestinal Worms,1023
2011/012,Mustang,"Jaundice and Infective
Hepatitis",13
2011/012,Myagdi,Typhoid (Enteric Fever),1850
2011/012,Myagdi,Acute gastro enteritis,1006
2011/012,Myagdi,Ameobic Dysentry,3078
2011/012,Myagdi,Baccilary Dysentry,1541
2011/012,Myagdi,"Presumed non infectious
diarrhoea",4591
2011/012,Myagdi,Cholera,0
2011/012,Myagdi,Intestinal Worms,4211
2011/012,Myagdi,"Jaundice and Infective
Hepatitis",241
2011/012,Parbat,Typhoid (Enteric Fever),5351
2011/012,Parbat,Acute gastro enteritis,1814
2011/012,Parbat,Ameobic Dysentry,4736
2011/012,Parbat,Baccilary Dysentry,1165
2011/012,Parbat,"Presumed non infectious
diarrhoea",3689
2011/012,Parbat,Cholera,0
2011/012,Parbat,Intestinal Worms,4506
2011/012,Parbat,"Jaundice and Infective
Hepatitis",342
2011/012,Baglung,Typhoid (Enteric Fever),12832
2011/012,Baglung,Acute gastro enteritis,3919
2011/012,Baglung,Ameobic Dysentry,7195
2011/012,Baglung,Baccilary Dysentry,3447
2011/012,Baglung,"Presumed non infectious
diarrhoea",6442
2011/012,Baglung,Cholera,0
2011/012,Baglung,Intestinal Worms,7829
2011/012,Baglung,"Jaundice and Infective
Hepatitis",1016
2011/012,Gulmi,Typhoid (Enteric Fever),8788
2011/012,Gulmi,Acute gastro enteritis,5360
2011/012,Gulmi,Ameobic Dysentry,10412
2011/012,Gulmi,Baccilary Dysentry,2953
2011/012,Gulmi,"Presumed non infectious
diarrhoea",5729
2011/012,Gulmi,Cholera,0
2011/012,Gulmi,Intestinal Worms,13699
2011/012,Gulmi,"Jaundice and Infective
Hepatitis",1422
2011/012,Palpa,Typhoid (Enteric Fever),10365
2011/012,Palpa,Acute gastro enteritis,2620
2011/012,Palpa,Ameobic Dysentry,8420
2011/012,Palpa,Baccilary Dysentry,2626
2011/012,Palpa,"Presumed non infectious
diarrhoea",9164
2011/012,Palpa,Cholera,30
2011/012,Palpa,Intestinal Worms,6629
2011/012,Palpa,"Jaundice and Infective
Hepatitis",481
2011/012,Nawalparasi,Typhoid (Enteric Fever),8295
2011/012,Nawalparasi,Acute gastro enteritis,7143
2011/012,Nawalparasi,Ameobic Dysentry,9338
2011/012,Nawalparasi,Baccilary Dysentry,4492
2011/012,Nawalparasi,"Presumed non infectious
diarrhoea",21543
2011/012,Nawalparasi,Cholera,3
2011/012,Nawalparasi,Intestinal Worms,12422
2011/012,Nawalparasi,"Jaundice and Infective
Hepatitis",723
2011/012,Rupandehi,Typhoid (Enteric Fever),0
2011/012,Rupandehi,Acute gastro enteritis,0
2011/012,Rupandehi,Ameobic Dysentry,0
2011/012,Rupandehi,Baccilary Dysentry,0
2011/012,Rupandehi,"Presumed non infectious
diarrhoea",0
2011/012,Rupandehi,Cholera,0
2011/012,Rupandehi,Intestinal Worms,0
2011/012,Rupandehi,"Jaundice and Infective
Hepatitis",0
2011/012,Kapilvastu,Typhoid (Enteric Fever),11877
2011/012,Kapilvastu,Acute gastro enteritis,12018
2011/012,Kapilvastu,Ameobic Dysentry,26416
2011/012,Kapilvastu,Baccilary Dysentry,13106
2011/012,Kapilvastu,"Presumed non infectious
diarrhoea",15338
2011/012,Kapilvastu,Cholera,95
2011/012,Kapilvastu,Intestinal Worms,17363
2011/012,Kapilvastu,"Jaundice and Infective
Hepatitis",568
2011/012,Arghakhanchi,Typhoid (Enteric Fever),5910
2011/012,Arghakhanchi,Acute gastro enteritis,2360
2011/012,Arghakhanchi,Ameobic Dysentry,6217
2011/012,Arghakhanchi,Baccilary Dysentry,3076
2011/012,Arghakhanchi,"Presumed non infectious
diarrhoea",7054
2011/012,Arghakhanchi,Cholera,97
2011/012,Arghakhanchi,Intestinal Worms,6573
2011/012,Arghakhanchi,"Jaundice and Infective
Hepatitis",602
2011/012,Pyuthan,Typhoid (Enteric Fever),8194
2011/012,Pyuthan,Acute gastro enteritis,2863
2011/012,Pyuthan,Ameobic Dysentry,7283
2011/012,Pyuthan,Baccilary Dysentry,2985
2011/012,Pyuthan,"Presumed non infectious
diarrhoea",12558
2011/012,Pyuthan,Cholera,0
2011/012,Pyuthan,Intestinal Worms,5037
2011/012,Pyuthan,"Jaundice and Infective
Hepatitis",835
2011/012,Rolpa,Typhoid (Enteric Fever),6620
2011/012,Rolpa,Acute gastro enteritis,3586
2011/012,Rolpa,Ameobic Dysentry,6299
2011/012,Rolpa,Baccilary Dysentry,2601
2011/012,Rolpa,"Presumed non infectious
diarrhoea",4426
2011/012,Rolpa,Cholera,0
2011/012,Rolpa,Intestinal Worms,4659
2011/012,Rolpa,"Jaundice and Infective
Hepatitis",284
2011/012,Rukum,Typhoid (Enteric Fever),8910
2011/012,Rukum,Acute gastro enteritis,4278
2011/012,Rukum,Ameobic Dysentry,7662
2011/012,Rukum,Baccilary Dysentry,4365
2011/012,Rukum,"Presumed non infectious
diarrhoea",8100
2011/012,Rukum,Cholera,0
2011/012,Rukum,Intestinal Worms,7035
2011/012,Rukum,"Jaundice and Infective
Hepatitis",352
2011/012,Salyan,Typhoid (Enteric Fever),9908
2011/012,Salyan,Acute gastro enteritis,4423
2011/012,Salyan,Ameobic Dysentry,11245
2011/012,Salyan,Baccilary Dysentry,5550
2011/012,Salyan,"Presumed non infectious
diarrhoea",6355
2011/012,Salyan,Cholera,0
2011/012,Salyan,Intestinal Worms,5925
2011/012,Salyan,"Jaundice and Infective
Hepatitis",514
2011/012,Dang,Typhoid (Enteric Fever),12806
2011/012,Dang,Acute gastro enteritis,6784
2011/012,Dang,Ameobic Dysentry,11411
2011/012,Dang,Baccilary Dysentry,4803
2011/012,Dang,"Presumed non infectious
diarrhoea",10313
2011/012,Dang,Cholera,0
2011/012,Dang,Intestinal Worms,11668
2011/012,Dang,"Jaundice and Infective
Hepatitis",1412
2011/012,Banke,Typhoid (Enteric Fever),8412
2011/012,Banke,Acute gastro enteritis,7111
2011/012,Banke,Ameobic Dysentry,15269
2011/012,Banke,Baccilary Dysentry,6294
2011/012,Banke,"Presumed non infectious
diarrhoea",13359
2011/012,Banke,Cholera,11
2011/012,Banke,Intestinal Worms,12323
2011/012,Banke,"Jaundice and Infective
Hepatitis",423
2011/012,Bardiya,Typhoid (Enteric Fever),12936
2011/012,Bardiya,Acute gastro enteritis,5360
2011/012,Bardiya,Ameobic Dysentry,14274
2011/012,Bardiya,Baccilary Dysentry,8487
2011/012,Bardiya,"Presumed non infectious
diarrhoea",12035
2011/012,Bardiya,Cholera,49
2011/012,Bardiya,Intestinal Worms,15659
2011/012,Bardiya,"Jaundice and Infective
Hepatitis",1108
2011/012,Surkhet,Typhoid (Enteric Fever),13868
2011/012,Surkhet,Acute gastro enteritis,9605
2011/012,Surkhet,Ameobic Dysentry,12084
2011/012,Surkhet,Baccilary Dysentry,5797
2011/012,Surkhet,"Presumed non infectious
diarrhoea",7937
2011/012,Surkhet,Cholera,0
2011/012,Surkhet,Intestinal Worms,14573
2011/012,Surkhet,"Jaundice and Infective
Hepatitis",567
2011/012,Dailekh,Typhoid (Enteric Fever),14426
2011/012,Dailekh,Acute gastro enteritis,3915
2011/012,Dailekh,Ameobic Dysentry,7496
2011/012,Dailekh,Baccilary Dysentry,5042
2011/012,Dailekh,"Presumed non infectious
diarrhoea",22080
2011/012,Dailekh,Cholera,0
2011/012,Dailekh,Intestinal Worms,9274
2011/012,Dailekh,"Jaundice and Infective
Hepatitis",248
2011/012,Jajarkot,Typhoid (Enteric Fever),4790
2011/012,Jajarkot,Acute gastro enteritis,4729
2011/012,Jajarkot,Ameobic Dysentry,6221
2011/012,Jajarkot,Baccilary Dysentry,3622
2011/012,Jajarkot,"Presumed non infectious
diarrhoea",5406
2011/012,Jajarkot,Cholera,0
2011/012,Jajarkot,Intestinal Worms,8437
2011/012,Jajarkot,"Jaundice and Infective
Hepatitis",183
2011/012,Dolpa,Typhoid (Enteric Fever),714
2011/012,Dolpa,Acute gastro enteritis,602
2011/012,Dolpa,Ameobic Dysentry,1619
2011/012,Dolpa,Baccilary Dysentry,790
2011/012,Dolpa,"Presumed non infectious
diarrhoea",881
2011/012,Dolpa,Cholera,0
2011/012,Dolpa,Intestinal Worms,3706
2011/012,Dolpa,"Jaundice and Infective
Hepatitis",119
2011/012,Jumla,Typhoid (Enteric Fever),936
2011/012,Jumla,Acute gastro enteritis,1677
2011/012,Jumla,Ameobic Dysentry,2744
2011/012,Jumla,Baccilary Dysentry,1571
2011/012,Jumla,"Presumed non infectious
diarrhoea",2888
2011/012,Jumla,Cholera,4
2011/012,Jumla,Intestinal Worms,7178
2011/012,Jumla,"Jaundice and Infective
Hepatitis",124
2011/012,Kalikot,Typhoid (Enteric Fever),1231
2011/012,Kalikot,Acute gastro enteritis,1525
2011/012,Kalikot,Ameobic Dysentry,4438
2011/012,Kalikot,Baccilary Dysentry,2331
2011/012,Kalikot,"Presumed non infectious
diarrhoea",2753
2011/012,Kalikot,Cholera,3
2011/012,Kalikot,Intestinal Worms,5945
2011/012,Kalikot,"Jaundice and Infective
Hepatitis",153
2011/012,Mugu,Typhoid (Enteric Fever),514
2011/012,Mugu,Acute gastro enteritis,891
2011/012,Mugu,Ameobic Dysentry,2640
2011/012,Mugu,Baccilary Dysentry,1454
2011/012,Mugu,"Presumed non infectious
diarrhoea",512
2011/012,Mugu,Cholera,0
2011/012,Mugu,Intestinal Worms,5068
2011/012,Mugu,"Jaundice and Infective
Hepatitis",75
2011/012,Humla,Typhoid (Enteric Fever),1396
2011/012,Humla,Acute gastro enteritis,1822
2011/012,Humla,Ameobic Dysentry,3727
2011/012,Humla,Baccilary Dysentry,3041
2011/012,Humla,"Presumed non infectious
diarrhoea",2074
2011/012,Humla,Cholera,48
2011/012,Humla,Intestinal Worms,6580
2011/012,Humla,"Jaundice and Infective
Hepatitis",169
2011/012,Bajura,Typhoid (Enteric Fever),4729
2011/012,Bajura,Acute gastro enteritis,2893
2011/012,Bajura,Ameobic Dysentry,7642
2011/012,Bajura,Baccilary Dysentry,4058
2011/012,Bajura,"Presumed non infectious
diarrhoea",6202
2011/012,Bajura,Cholera,0
2011/012,Bajura,Intestinal Worms,7466
2011/012,Bajura,"Jaundice and Infective
Hepatitis",215
2011/012,Bajhang,Typhoid (Enteric Fever),6792
2011/012,Bajhang,Acute gastro enteritis,1841
2011/012,Bajhang,Ameobic Dysentry,8003
2011/012,Bajhang,Baccilary Dysentry,3397
2011/012,Bajhang,"Presumed non infectious
diarrhoea",5836
