District,Year,Mental problem,Number of patients
Kathmandu,2066/67,Epilesy,228
Kavre,2066/67,Depression,94
Kavre,2066/67,Psychosis,48
Kavre,2066/67,Anxiety (Neurosis,102
Kavre,2066/67,Mental retardation,13
Kavre,2066/67,"Conversive disorder
(Hysteria)",13
Kavre,2066/67,Alcoholism,181
Kavre,2066/67,Epilesy,54
Lalitpur,2066/67,Depression,0
Lalitpur,2066/67,Psychosis,0
Lalitpur,2066/67,Anxiety (Neurosis,0
Lalitpur,2066/67,Mental retardation,0
Lalitpur,2066/67,"Conversive disorder
(Hysteria)",0
Lalitpur,2066/67,Alcoholism,0
Lalitpur,2066/67,Epilesy,0
Mahottari,2066/67,Depression,73
Mahottari,2066/67,Psychosis,18
Mahottari,2066/67,Anxiety (Neurosis,87
Mahottari,2066/67,Mental retardation,8
Mahottari,2066/67,"Conversive disorder
(Hysteria)",20
Mahottari,2066/67,Alcoholism,58
Mahottari,2066/67,Epilesy,4
Makawanpur,2066/67,Depression,191
Makawanpur,2066/67,Psychosis,233
Makawanpur,2066/67,Anxiety (Neurosis,208
Makawanpur,2066/67,Mental retardation,0
Makawanpur,2066/67,"Conversive disorder
(Hysteria)",5
Makawanpur,2066/67,Alcoholism,34
Makawanpur,2066/67,Epilesy,585
Nuwakot,2066/67,Depression,48
Nuwakot,2066/67,Psychosis,4
Nuwakot,2066/67,Anxiety (Neurosis,80
Nuwakot,2066/67,Mental retardation,4
Nuwakot,2066/67,"Conversive disorder
(Hysteria)",18
Nuwakot,2066/67,Alcoholism,40
Nuwakot,2066/67,Epilesy,6
Parsa,2066/67,Depression,0
Parsa,2066/67,Psychosis,0
Parsa,2066/67,Anxiety (Neurosis,0
Parsa,2066/67,Mental retardation,0
Parsa,2066/67,"Conversive disorder
(Hysteria)",0
Parsa,2066/67,Alcoholism,0
Parsa,2066/67,Epilesy,0
Ramechhap,2066/67,Depression,626
Ramechhap,2066/67,Psychosis,20
Ramechhap,2066/67,Anxiety (Neurosis,154
Ramechhap,2066/67,Mental retardation,10
Ramechhap,2066/67,"Conversive disorder
(Hysteria)",11
Ramechhap,2066/67,Alcoholism,29
Ramechhap,2066/67,Epilesy,34
Rasuwa,2066/67,Depression,6
Rasuwa,2066/67,Psychosis,2
Rasuwa,2066/67,Anxiety (Neurosis,15
Rasuwa,2066/67,Mental retardation,1
Rasuwa,2066/67,"Conversive disorder
(Hysteria)",1
Rasuwa,2066/67,Alcoholism,18
Rasuwa,2066/67,Epilesy,2
Rautahat,2066/67,Depression,111
Rautahat,2066/67,Psychosis,19
Rautahat,2066/67,Anxiety (Neurosis,40
Rautahat,2066/67,Mental retardation,16
Rautahat,2066/67,"Conversive disorder
(Hysteria)",11
Rautahat,2066/67,Alcoholism,30
Rautahat,2066/67,Epilesy,34
Sarlahi,2066/67,Depression,50
Sarlahi,2066/67,Psychosis,4
Sarlahi,2066/67,Anxiety (Neurosis,25
Sarlahi,2066/67,Mental retardation,20
Sarlahi,2066/67,"Conversive disorder
(Hysteria)",5
Sarlahi,2066/67,Alcoholism,29
Sarlahi,2066/67,Epilesy,53
Sindhuli,2066/67,Depression,80
Sindhuli,2066/67,Psychosis,12
Sindhuli,2066/67,Anxiety (Neurosis,82
Sindhuli,2066/67,Mental retardation,7
Sindhuli,2066/67,"Conversive disorder
(Hysteria)",13
Sindhuli,2066/67,Alcoholism,52
Sindhuli,2066/67,Epilesy,17
Sindhupalchowk,2066/67,Depression,61
Sindhupalchowk,2066/67,Psychosis,16
Sindhupalchowk,2066/67,Anxiety (Neurosis,164
Sindhupalchowk,2066/67,Mental retardation,9
Sindhupalchowk,2066/67,"Conversive disorder
(Hysteria)",22
Sindhupalchowk,2066/67,Alcoholism,65
Sindhupalchowk,2066/67,Epilesy,43
Arghakhanchi,2066/67,Depression,462
Arghakhanchi,2066/67,Psychosis,22
Arghakhanchi,2066/67,Anxiety (Neurosis,353
Arghakhanchi,2066/67,Mental retardation,25
Arghakhanchi,2066/67,"Conversive disorder
(Hysteria)",21
Arghakhanchi,2066/67,Alcoholism,19
Arghakhanchi,2066/67,Epilesy,16
Baglung,2066/67,Depression,177
Baglung,2066/67,Psychosis,107
Baglung,2066/67,Anxiety (Neurosis,857
Baglung,2066/67,Mental retardation,60
Baglung,2066/67,"Conversive disorder
(Hysteria)",36
Baglung,2066/67,Alcoholism,106
Baglung,2066/67,Epilesy,63
Gorkha,2066/67,Depression,2568
Gorkha,2066/67,Psychosis,8
Gorkha,2066/67,Anxiety (Neurosis,433
Gorkha,2066/67,Mental retardation,31
Gorkha,2066/67,"Conversive disorder
(Hysteria)",88
Gorkha,2066/67,Alcoholism,119
Gorkha,2066/67,Epilesy,371
Gulmi,2066/67,Depression,630
Gulmi,2066/67,Psychosis,134
Gulmi,2066/67,Anxiety (Neurosis,1102
Gulmi,2066/67,Mental retardation,39
Gulmi,2066/67,"Conversive disorder
(Hysteria)",62
Gulmi,2066/67,Alcoholism,92
Gulmi,2066/67,Epilesy,95
Kapilvastu,2066/67,Depression,327
Kapilvastu,2066/67,Psychosis,22
Kapilvastu,2066/67,Anxiety (Neurosis,231
Kapilvastu,2066/67,Mental retardation,31
Kapilvastu,2066/67,"Conversive disorder
(Hysteria)",38
Kapilvastu,2066/67,Alcoholism,21
Kapilvastu,2066/67,Epilesy,59
Kaski,2066/67,Depression,2056
Kaski,2066/67,Psychosis,3060
Kaski,2066/67,Anxiety (Neurosis,2991
Kaski,2066/67,Mental retardation,195
Kaski,2066/67,"Conversive disorder
(Hysteria)",594
Kaski,2066/67,Alcoholism,401
Kaski,2066/67,Epilesy,741
Lamjung,2066/67,Depression,316
Lamjung,2066/67,Psychosis,59
Lamjung,2066/67,Anxiety (Neurosis,310
Lamjung,2066/67,Mental retardation,0
Lamjung,2066/67,"Conversive disorder
(Hysteria)",17
Lamjung,2066/67,Alcoholism,216
Lamjung,2066/67,Epilesy,219
Manang,2066/67,Depression,4
Manang,2066/67,Psychosis,0
Manang,2066/67,Anxiety (Neurosis,0
Manang,2066/67,Mental retardation,0
Manang,2066/67,"Conversive disorder
(Hysteria)",6
Manang,2066/67,Alcoholism,1
Manang,2066/67,Epilesy,1
Mustang,2066/67,Depression,10
Mustang,2066/67,Psychosis,5
Mustang,2066/67,Anxiety (Neurosis,12
Mustang,2066/67,Mental retardation,0
Mustang,2066/67,"Conversive disorder
(Hysteria)",7
Mustang,2066/67,Alcoholism,4
Mustang,2066/67,Epilesy,4
Myagdi,2066/67,Depression,56
Myagdi,2066/67,Psychosis,4
Myagdi,2066/67,Anxiety (Neurosis,74
Myagdi,2066/67,Mental retardation,3
Myagdi,2066/67,"Conversive disorder
(Hysteria)",16
Myagdi,2066/67,Alcoholism,12
Myagdi,2066/67,Epilesy,3
Nawalparasi,2066/67,Depression,190
Nawalparasi,2066/67,Psychosis,10
Nawalparasi,2066/67,Anxiety (Neurosis,259
Nawalparasi,2066/67,Mental retardation,7
Nawalparasi,2066/67,"Conversive disorder
(Hysteria)",171
Nawalparasi,2066/67,Alcoholism,48
Nawalparasi,2066/67,Epilesy,48
Palpa,2066/67,Depression,1300
Palpa,2066/67,Psychosis,109
Palpa,2066/67,Anxiety (Neurosis,3747
Palpa,2066/67,Mental retardation,41
Palpa,2066/67,"Conversive disorder
(Hysteria)",44
Palpa,2066/67,Alcoholism,447
Palpa,2066/67,Epilesy,588
Parbat,2066/67,Depression,147
Parbat,2066/67,Psychosis,10
Parbat,2066/67,Anxiety (Neurosis,284
Parbat,2066/67,Mental retardation,27
Parbat,2066/67,"Conversive disorder
(Hysteria)",13
Parbat,2066/67,Alcoholism,5
Parbat,2066/67,Epilesy,17
Rupandehi,2066/67,Depression,0
Rupandehi,2066/67,Psychosis,0
Rupandehi,2066/67,Anxiety (Neurosis,0
Rupandehi,2066/67,Mental retardation,0
Rupandehi,2066/67,"Conversive disorder
(Hysteria)",0
Rupandehi,2066/67,Alcoholism,0
Rupandehi,2066/67,Epilesy,0
Syangja,2066/67,Depression,391
Syangja,2066/67,Psychosis,44
Syangja,2066/67,Anxiety (Neurosis,551
Syangja,2066/67,Mental retardation,13
Syangja,2066/67,"Conversive disorder
(Hysteria)",111
Syangja,2066/67,Alcoholism,88
Syangja,2066/67,Epilesy,58
Tanahu,2066/67,Depression,135
Tanahu,2066/67,Psychosis,44
Tanahu,2066/67,Anxiety (Neurosis,133
Tanahu,2066/67,Mental retardation,20
Tanahu,2066/67,"Conversive disorder
(Hysteria)",24
Tanahu,2066/67,Alcoholism,61
Tanahu,2066/67,Epilesy,41
Banke,2066/67,Depression,98
Banke,2066/67,Psychosis,7
Banke,2066/67,Anxiety (Neurosis,55
Banke,2066/67,Mental retardation,1
Banke,2066/67,"Conversive disorder
(Hysteria)",2
Banke,2066/67,Alcoholism,9
Banke,2066/67,Epilesy,1
Bardiya,2066/67,Depression,80
Bardiya,2066/67,Psychosis,3
Bardiya,2066/67,Anxiety (Neurosis,82
Bardiya,2066/67,Mental retardation,4
Bardiya,2066/67,"Conversive disorder
(Hysteria)",3
Bardiya,2066/67,Alcoholism,11
Bardiya,2066/67,Epilesy,146
Dailekh,2066/67,Depression,59
Dailekh,2066/67,Psychosis,2
Dailekh,2066/67,Anxiety (Neurosis,195
Dailekh,2066/67,Mental retardation,0
Dailekh,2066/67,"Conversive disorder
(Hysteria)",0
Dailekh,2066/67,Alcoholism,7
Dailekh,2066/67,Epilesy,24
Dang,2066/67,Depression,502
Dang,2066/67,Psychosis,26
Dang,2066/67,Anxiety (Neurosis,559
Dang,2066/67,Mental retardation,4
Dang,2066/67,"Conversive disorder
(Hysteria)",119
Dang,2066/67,Alcoholism,244
Dang,2066/67,Epilesy,141
Dolpa,2066/67,Depression,48
Dolpa,2066/67,Psychosis,1
Dolpa,2066/67,Anxiety (Neurosis,10
Dolpa,2066/67,Mental retardation,1
Dolpa,2066/67,"Conversive disorder
(Hysteria)",11
Dolpa,2066/67,Alcoholism,16
Dolpa,2066/67,Epilesy,7
Humla,2066/67,Depression,26
Humla,2066/67,Psychosis,63
Humla,2066/67,Anxiety (Neurosis,44
Humla,2066/67,Mental retardation,1
Humla,2066/67,"Conversive disorder
(Hysteria)",19
Humla,2066/67,Alcoholism,107
Humla,2066/67,Epilesy,43
Jajarkot,2066/67,Depression,40
Jajarkot,2066/67,Psychosis,19
Jajarkot,2066/67,Anxiety (Neurosis,242
Jajarkot,2066/67,Mental retardation,2
Jajarkot,2066/67,"Conversive disorder
(Hysteria)",13
Jajarkot,2066/67,Alcoholism,13
Jajarkot,2066/67,Epilesy,1
Jumla,2066/67,Depression,3
Jumla,2066/67,Psychosis,0
Jumla,2066/67,Anxiety (Neurosis,0
Jumla,2066/67,Mental retardation,1
Jumla,2066/67,"Conversive disorder
(Hysteria)",0
Jumla,2066/67,Alcoholism,6
Jumla,2066/67,Epilesy,1
Kalikot,2066/67,Depression,61
Kalikot,2066/67,Psychosis,17
Kalikot,2066/67,Anxiety (Neurosis,64
Kalikot,2066/67,Mental retardation,6
Kalikot,2066/67,"Conversive disorder
(Hysteria)",23
Kalikot,2066/67,Alcoholism,2
Kalikot,2066/67,Epilesy,5
Mugu,2066/67,Depression,31
Mugu,2066/67,Psychosis,0
Mugu,2066/67,Anxiety (Neurosis,24
Mugu,2066/67,Mental retardation,3
Mugu,2066/67,"Conversive disorder
(Hysteria)",2
Mugu,2066/67,Alcoholism,1
Mugu,2066/67,Epilesy,1
Pyuthan,2066/67,Depression,31
Pyuthan,2066/67,Psychosis,0
Pyuthan,2066/67,Anxiety (Neurosis,231
Pyuthan,2066/67,Mental retardation,0
Pyuthan,2066/67,"Conversive disorder
(Hysteria)",12
Pyuthan,2066/67,Alcoholism,44
Pyuthan,2066/67,Epilesy,106
Rolpa,2066/67,Depression,60
Rolpa,2066/67,Psychosis,11
Rolpa,2066/67,Anxiety (Neurosis,125
Rolpa,2066/67,Mental retardation,7
Rolpa,2066/67,"Conversive disorder
(Hysteria)",6
Rolpa,2066/67,Alcoholism,40
Rolpa,2066/67,Epilesy,9
Rukum,2066/67,Depression,142
Rukum,2066/67,Psychosis,48
Rukum,2066/67,Anxiety (Neurosis,508
Rukum,2066/67,Mental retardation,16
Rukum,2066/67,"Conversive disorder
(Hysteria)",53
Rukum,2066/67,Alcoholism,164
Rukum,2066/67,Epilesy,126
Salyan,2066/67,Depression,69
Salyan,2066/67,Psychosis,3
Salyan,2066/67,Anxiety (Neurosis,375
Salyan,2066/67,Mental retardation,4
Salyan,2066/67,"Conversive disorder
(Hysteria)",11
Salyan,2066/67,Alcoholism,23
Salyan,2066/67,Epilesy,11
Surkhet,2066/67,Depression,156
Surkhet,2066/67,Psychosis,39
Surkhet,2066/67,Anxiety (Neurosis,198
Surkhet,2066/67,Mental retardation,9
Surkhet,2066/67,"Conversive disorder
(Hysteria)",27
Surkhet,2066/67,Alcoholism,33
Surkhet,2066/67,Epilesy,110
Achham,2066/67,Depression,271
Achham,2066/67,Psychosis,47
Achham,2066/67,Anxiety (Neurosis,223
Achham,2066/67,Mental retardation,15
Achham,2066/67,"Conversive disorder
(Hysteria)",35
Achham,2066/67,Alcoholism,71
Achham,2066/67,Epilesy,67
Baitadi,2066/67,Depression,164
Baitadi,2066/67,Psychosis,1
Baitadi,2066/67,Anxiety (Neurosis,71
Baitadi,2066/67,Mental retardation,4
Baitadi,2066/67,"Conversive disorder
(Hysteria)",16
Baitadi,2066/67,Alcoholism,30
Baitadi,2066/67,Epilesy,6
Bajhang,2066/67,Depression,76
Bajhang,2066/67,Psychosis,9
Bajhang,2066/67,Anxiety (Neurosis,61
Bajhang,2066/67,Mental retardation,6
Bajhang,2066/67,"Conversive disorder
(Hysteria)",10
Bajhang,2066/67,Alcoholism,9
Bajhang,2066/67,Epilesy,16
Bajura,2066/67,Depression,13
Bajura,2066/67,Psychosis,0
Bajura,2066/67,Anxiety (Neurosis,22
Bajura,2066/67,Mental retardation,0
Bajura,2066/67,"Conversive disorder
(Hysteria)",0
Bajura,2066/67,Alcoholism,1
Bajura,2066/67,Epilesy,2
Dadeldhura,2066/67,Depression,123
Dadeldhura,2066/67,Psychosis,120
Dadeldhura,2066/67,Anxiety (Neurosis,515
Dadeldhura,2066/67,Mental retardation,31
Dadeldhura,2066/67,"Conversive disorder
(Hysteria)",79
Dadeldhura,2066/67,Alcoholism,28
Dadeldhura,2066/67,Epilesy,11
Darchula,2066/67,Depression,2
Darchula,2066/67,Psychosis,0
Darchula,2066/67,Anxiety (Neurosis,67
Darchula,2066/67,Mental retardation,0
Darchula,2066/67,"Conversive disorder
(Hysteria)",0
Darchula,2066/67,Alcoholism,6
Darchula,2066/67,Epilesy,0
Doti,2066/67,Depression,28
Doti,2066/67,Psychosis,5
Doti,2066/67,Anxiety (Neurosis,29
Doti,2066/67,Mental retardation,4
Doti,2066/67,"Conversive disorder
(Hysteria)",13
Doti,2066/67,Alcoholism,69
Doti,2066/67,Epilesy,265
Kailali,2066/67,Depression,312
Kailali,2066/67,Psychosis,51
Kailali,2066/67,Anxiety (Neurosis,235
Kailali,2066/67,Mental retardation,18
Kailali,2066/67,"Conversive disorder
(Hysteria)",113
Kailali,2066/67,Alcoholism,109
Kailali,2066/67,Epilesy,254
Kanchanpur,2066/67,Depression,35
Kanchanpur,2066/67,Psychosis,1
Kanchanpur,2066/67,Anxiety (Neurosis,35
Kanchanpur,2066/67,Mental retardation,3
Kanchanpur,2066/67,"Conversive disorder
(Hysteria)",40
Kanchanpur,2066/67,Alcoholism,13
Kanchanpur,2066/67,Epilesy,52
Taplejung,2067/68,Depression,28
Taplejung,2067/68,Psychosis,5
Taplejung,2067/68,Anxiety (Neurosis,221
Taplejung,2067/68,Mental retardation,4
Taplejung,2067/68,"Conversive disorder
(Hysteria)",120
Taplejung,2067/68,Alcoholism,104
Taplejung,2067/68,Epilesy,18
Panchthar,2067/68,Depression,42
Panchthar,2067/68,Psychosis,24
Panchthar,2067/68,Anxiety (Neurosis,15
Panchthar,2067/68,Mental retardation,4
Panchthar,2067/68,"Conversive disorder
(Hysteria)",10
Panchthar,2067/68,Alcoholism,7
Panchthar,2067/68,Epilesy,3
Ilam,2067/68,Depression,167
Ilam,2067/68,Psychosis,7
Ilam,2067/68,Anxiety (Neurosis,190
Ilam,2067/68,Mental retardation,2
Ilam,2067/68,"Conversive disorder
(Hysteria)",41
Ilam,2067/68,Alcoholism,57
Ilam,2067/68,Epilesy,16
Jhapa,2067/68,Depression,449
Jhapa,2067/68,Psychosis,23
Jhapa,2067/68,Anxiety (Neurosis,607
Jhapa,2067/68,Mental retardation,14
Jhapa,2067/68,"Conversive disorder
(Hysteria)",65
Jhapa,2067/68,Alcoholism,165
Jhapa,2067/68,Epilesy,21
Morang,2067/68,Depression,1720
Morang,2067/68,Psychosis,300
Morang,2067/68,Anxiety (Neurosis,1683
Morang,2067/68,Mental retardation,734
Morang,2067/68,"Conversive disorder
(Hysteria)",820
Morang,2067/68,Alcoholism,830
Morang,2067/68,Epilesy,855
Sunsari,2067/68,Depression,70
Sunsari,2067/68,Psychosis,3
Sunsari,2067/68,Anxiety (Neurosis,39
Sunsari,2067/68,Mental retardation,0
Sunsari,2067/68,"Conversive disorder
(Hysteria)",0
Sunsari,2067/68,Alcoholism,20
Sunsari,2067/68,Epilesy,10
Dhankuta,2067/68,Depression,25
Dhankuta,2067/68,Psychosis,0
Dhankuta,2067/68,Anxiety (Neurosis,21
Dhankuta,2067/68,Mental retardation,0
Dhankuta,2067/68,"Conversive disorder
(Hysteria)",1
Dhankuta,2067/68,Alcoholism,7
Dhankuta,2067/68,Epilesy,4
Teharthum,2067/68,Depression,17
Teharthum,2067/68,Psychosis,2
Teharthum,2067/68,Anxiety (Neurosis,126
Teharthum,2067/68,Mental retardation,1
Teharthum,2067/68,"Conversive disorder
(Hysteria)",0
Teharthum,2067/68,Alcoholism,59
Teharthum,2067/68,Epilesy,4
Sankhuwasabha,2067/68,Depression,82
Sankhuwasabha,2067/68,Psychosis,6
Sankhuwasabha,2067/68,Anxiety (Neurosis,80
Sankhuwasabha,2067/68,Mental retardation,12
Sankhuwasabha,2067/68,"Conversive disorder
(Hysteria)",23
Sankhuwasabha,2067/68,Alcoholism,23
Sankhuwasabha,2067/68,Epilesy,21
Bhojpur,2067/68,Depression,31
Bhojpur,2067/68,Psychosis,5
Bhojpur,2067/68,Anxiety (Neurosis,111
Bhojpur,2067/68,Mental retardation,3
Bhojpur,2067/68,"Conversive disorder
(Hysteria)",16
Bhojpur,2067/68,Alcoholism,30
Bhojpur,2067/68,Epilesy,101
Solukhumbu,2067/68,Depression,42
Solukhumbu,2067/68,Psychosis,17
Solukhumbu,2067/68,Anxiety (Neurosis,32
Solukhumbu,2067/68,Mental retardation,11
Solukhumbu,2067/68,"Conversive disorder
(Hysteria)",13
Solukhumbu,2067/68,Alcoholism,39
Solukhumbu,2067/68,Epilesy,370
Okhaldhunga,2067/68,Depression,1269
Okhaldhunga,2067/68,Psychosis,340
Okhaldhunga,2067/68,Anxiety (Neurosis,584
Okhaldhunga,2067/68,Mental retardation,3
Okhaldhunga,2067/68,"Conversive disorder
(Hysteria)",2
Okhaldhunga,2067/68,Alcoholism,63
Okhaldhunga,2067/68,Epilesy,388
Khotang,2067/68,Depression,122
Khotang,2067/68,Psychosis,14
Khotang,2067/68,Anxiety (Neurosis,179
Khotang,2067/68,Mental retardation,8
Khotang,2067/68,"Conversive disorder
(Hysteria)",20
Khotang,2067/68,Alcoholism,120
Khotang,2067/68,Epilesy,54
Udaypur,2067/68,Depression,118
Udaypur,2067/68,Psychosis,45
Udaypur,2067/68,Anxiety (Neurosis,115
Udaypur,2067/68,Mental retardation,42
Udaypur,2067/68,"Conversive disorder
(Hysteria)",33
Udaypur,2067/68,Alcoholism,68
Udaypur,2067/68,Epilesy,33
Saptari,2067/68,Depression,113
Saptari,2067/68,Psychosis,13
Saptari,2067/68,Anxiety (Neurosis,85
Saptari,2067/68,Mental retardation,14
Saptari,2067/68,"Conversive disorder
(Hysteria)",18
Saptari,2067/68,Alcoholism,11
Saptari,2067/68,Epilesy,2
Siraha,2067/68,Depression,152
Siraha,2067/68,Psychosis,52
Siraha,2067/68,Anxiety (Neurosis,76
Siraha,2067/68,Mental retardation,34
Siraha,2067/68,"Conversive disorder
(Hysteria)",19
Siraha,2067/68,Alcoholism,100
Siraha,2067/68,Epilesy,40
Dhanusha,2067/68,Depression,72
Dhanusha,2067/68,Psychosis,46
Dhanusha,2067/68,Anxiety (Neurosis,40
Dhanusha,2067/68,Mental retardation,13
Dhanusha,2067/68,"Conversive disorder
(Hysteria)",2
Dhanusha,2067/68,Alcoholism,18
Dhanusha,2067/68,Epilesy,0
Mahottari,2067/68,Depression,116
Mahottari,2067/68,Psychosis,17
Mahottari,2067/68,Anxiety (Neurosis,205
Mahottari,2067/68,Mental retardation,26
