District Name,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Indicator 1,Indicator 2,Indicator 3,Indicator 4,Value
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Affected,No of Village/Tole,,,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Native Cases,No of Patients,<5 Yrs,Female,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Native Cases,No of Patients,<5 Yrs,Male,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Native Cases,No of Patients,>=5 Yrs,Female,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Native Cases,No of Patients,>=5 Yrs,Male,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Native Cases,No of Patients,Total,,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Native Cases,Diagnosis Method,RK 39,,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Native Cases,Diagnosis Method,BM,,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Native Cases,Diagnosis Method,Sp,,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Native Cases,Diagnosis Method,Other,,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Native Cases,Diagnosis Method,Total,,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Native Cases,No of Patients Treated,SAG/ Miltefosine,,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Native Cases,No of Patients Treated,Fungizone,,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Native Cases,No of Patients Treated,Others,,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Native Cases,No of Patients Treated,Total,,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Native Cases,No of Deaths,Female,,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Native Cases,No of Deaths,Male,,0
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Affected,No of VDCs,,,10
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Affected,No of Village/Tole,,,10
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Native Cases,No of Patients,<5 Yrs,Female,2
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Native Cases,No of Patients,<5 Yrs,Male,0
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Native Cases,No of Patients,>=5 Yrs,Female,10
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Native Cases,No of Patients,>=5 Yrs,Male,7
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Native Cases,No of Patients,Total,,19
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Native Cases,Diagnosis Method,RK 39,,19
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Native Cases,Diagnosis Method,BM,,0
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Native Cases,Diagnosis Method,Sp,,0
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Native Cases,Diagnosis Method,Other,,0
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Native Cases,Diagnosis Method,Total,,19
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Native Cases,No of Patients Treated,SAG/ Miltefosine,,15
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Native Cases,No of Patients Treated,Fungizone,,4
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Native Cases,No of Patients Treated,Others,,0
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Native Cases,No of Patients Treated,Total,,19
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Native Cases,No of Deaths,Female,,0
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Native Cases,No of Deaths,Male,,1
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Affected,No of VDCs,,,1
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Affected,No of Village/Tole,,,1
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Native Cases,No of Patients,<5 Yrs,Female,0
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Native Cases,No of Patients,<5 Yrs,Male,0
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Native Cases,No of Patients,>=5 Yrs,Female,0
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Native Cases,No of Patients,>=5 Yrs,Male,1
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Native Cases,No of Patients,Total,,1
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Native Cases,Diagnosis Method,RK 39,,1
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Native Cases,Diagnosis Method,BM,,0
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Native Cases,Diagnosis Method,Sp,,0
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Native Cases,Diagnosis Method,Other,,0
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Native Cases,Diagnosis Method,Total,,1
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Native Cases,No of Patients Treated,SAG/ Miltefosine,,1
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Native Cases,No of Patients Treated,Fungizone,,0
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Native Cases,No of Patients Treated,Others,,0
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Native Cases,No of Patients Treated,Total,,1
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Native Cases,No of Deaths,Female,,0
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Native Cases,No of Deaths,Male,,0
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Affected,No of VDCs,,,13
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Affected,No of Village/Tole,,,13
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Native Cases,No of Patients,<5 Yrs,Female,1
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Native Cases,No of Patients,<5 Yrs,Male,0
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Native Cases,No of Patients,>=5 Yrs,Female,4
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Native Cases,No of Patients,>=5 Yrs,Male,11
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Native Cases,No of Patients,Total,,16
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Native Cases,Diagnosis Method,RK 39,,0
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Native Cases,Diagnosis Method,BM,,16
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Native Cases,Diagnosis Method,Sp,,0
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Native Cases,Diagnosis Method,Other,,0
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Native Cases,Diagnosis Method,Total,,16
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Native Cases,No of Patients Treated,SAG/ Miltefosine,,2
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Native Cases,No of Patients Treated,Fungizone,,14
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Native Cases,No of Patients Treated,Others,,0
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Native Cases,No of Patients Treated,Total,,16
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Native Cases,No of Deaths,Female,,0
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Native Cases,No of Deaths,Male,,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Affected,No of VDCs,,,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Affected,No of Village/Tole,,,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Native Cases,No of Patients,<5 Yrs,Female,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Native Cases,No of Patients,<5 Yrs,Male,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Native Cases,No of Patients,>=5 Yrs,Female,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Native Cases,No of Patients,>=5 Yrs,Male,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Native Cases,No of Patients,Total,,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Native Cases,Diagnosis Method,RK 39,,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Native Cases,Diagnosis Method,BM,,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Native Cases,Diagnosis Method,Sp,,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Native Cases,Diagnosis Method,Other,,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Native Cases,Diagnosis Method,Total,,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Native Cases,No of Patients Treated,SAG/ Miltefosine,,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Native Cases,No of Patients Treated,Fungizone,,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Native Cases,No of Patients Treated,Others,,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Native Cases,No of Patients Treated,Total,,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Native Cases,No of Deaths,Female,,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Native Cases,No of Deaths,Male,,0
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Affected,No of VDCs,,,0
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Affected,No of Village/Tole,,,0
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Native Cases,No of Patients,<5 Yrs,Female,0
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Native Cases,No of Patients,<5 Yrs,Male,0
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Native Cases,No of Patients,>=5 Yrs,Female,0
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Native Cases,No of Patients,>=5 Yrs,Male,0
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Native Cases,No of Patients,Total,,0
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Native Cases,Diagnosis Method,RK 39,,0
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Native Cases,Diagnosis Method,BM,,0
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Native Cases,Diagnosis Method,Sp,,0
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Native Cases,Diagnosis Method,Other,,0
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Native Cases,Diagnosis Method,Total,,0
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Native Cases,No of Patients Treated,SAG/ Miltefosine,,0
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Native Cases,No of Patients Treated,Fungizone,,0
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Native Cases,No of Patients Treated,Others,,0
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Native Cases,No of Patients Treated,Total,,0
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Native Cases,No of Deaths,Female,,0
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Native Cases,No of Deaths,Male,,0
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Affected,No of VDCs,,,0
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Affected,No of Village/Tole,,,0
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Native Cases,No of Patients,<5 Yrs,Female,0
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Native Cases,No of Patients,<5 Yrs,Male,0
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Native Cases,No of Patients,>=5 Yrs,Female,0
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Native Cases,No of Patients,>=5 Yrs,Male,0
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Native Cases,No of Patients,Total,,0
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Native Cases,Diagnosis Method,RK 39,,0
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Native Cases,Diagnosis Method,BM,,0
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Native Cases,Diagnosis Method,Sp,,0
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Native Cases,Diagnosis Method,Other,,0
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Native Cases,Diagnosis Method,Total,,0
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Native Cases,No of Patients Treated,SAG/ Miltefosine,,0
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Native Cases,No of Patients Treated,Fungizone,,0
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Native Cases,No of Patients Treated,Others,,0
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Native Cases,No of Patients Treated,Total,,0
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Native Cases,No of Deaths,Female,,0
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Native Cases,No of Deaths,Male,,0
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Affected,No of VDCs,,,0
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Affected,No of Village/Tole,,,0
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Native Cases,No of Patients,<5 Yrs,Female,0
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Native Cases,No of Patients,<5 Yrs,Male,0
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Native Cases,No of Patients,>=5 Yrs,Female,0
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Native Cases,No of Patients,>=5 Yrs,Male,0
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Native Cases,No of Patients,Total,,0
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Native Cases,Diagnosis Method,RK 39,,0
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Native Cases,Diagnosis Method,BM,,0
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Native Cases,Diagnosis Method,Sp,,0
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Native Cases,Diagnosis Method,Other,,0
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Native Cases,Diagnosis Method,Total,,0
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Native Cases,No of Patients Treated,SAG/ Miltefosine,,0
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Native Cases,No of Patients Treated,Fungizone,,0
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Native Cases,No of Patients Treated,Others,,0
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Native Cases,No of Patients Treated,Total,,0
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Native Cases,No of Deaths,Female,,0
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Native Cases,No of Deaths,Male,,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,Affected,No of VDCs,,,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,Affected,No of Village/Tole,,,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,Native Cases,No of Patients,<5 Yrs,Female,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,Native Cases,No of Patients,<5 Yrs,Male,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,Native Cases,No of Patients,>=5 Yrs,Female,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,Native Cases,No of Patients,>=5 Yrs,Male,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,Native Cases,No of Patients,Total,,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,Native Cases,Diagnosis Method,RK 39,,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,Native Cases,Diagnosis Method,BM,,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,Native Cases,Diagnosis Method,Sp,,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,Native Cases,Diagnosis Method,Other,,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,Native Cases,Diagnosis Method,Total,,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,Native Cases,No of Patients Treated,SAG/ Miltefosine,,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,Native Cases,No of Patients Treated,Fungizone,,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,Native Cases,No of Patients Treated,Others,,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,Native Cases,No of Patients Treated,Total,,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,Native Cases,No of Deaths,Female,,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,Native Cases,No of Deaths,Male,,0
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,Affected,No of VDCs,,,3
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,Affected,No of Village/Tole,,,5
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,Native Cases,No of Patients,<5 Yrs,Female,2
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,Native Cases,No of Patients,<5 Yrs,Male,1
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,Native Cases,No of Patients,>=5 Yrs,Female,1
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,Native Cases,No of Patients,>=5 Yrs,Male,5
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,Native Cases,No of Patients,Total,,9
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,Native Cases,Diagnosis Method,RK 39,,2
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,Native Cases,Diagnosis Method,BM,,0
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,Native Cases,Diagnosis Method,Sp,,0
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,Native Cases,Diagnosis Method,Other,,0
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,Native Cases,Diagnosis Method,Total,,2
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,Native Cases,No of Patients Treated,SAG/ Miltefosine,,4
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,Native Cases,No of Patients Treated,Fungizone,,0
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,Native Cases,No of Patients Treated,Others,,0
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,Native Cases,No of Patients Treated,Total,,4
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,Native Cases,No of Deaths,Female,,0
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,Native Cases,No of Deaths,Male,,0
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,Affected,No of VDCs,,,0
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,Affected,No of Village/Tole,,,0
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,Native Cases,No of Patients,<5 Yrs,Female,0
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,Native Cases,No of Patients,<5 Yrs,Male,0
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,Native Cases,No of Patients,>=5 Yrs,Female,0
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,Native Cases,No of Patients,>=5 Yrs,Male,0
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,Native Cases,No of Patients,Total,,0
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,Native Cases,Diagnosis Method,RK 39,,0
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,Native Cases,Diagnosis Method,BM,,0
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,Native Cases,Diagnosis Method,Sp,,0
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,Native Cases,Diagnosis Method,Other,,0
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,Native Cases,Diagnosis Method,Total,,0
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,Native Cases,No of Patients Treated,SAG/ Miltefosine,,0
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,Native Cases,No of Patients Treated,Fungizone,,0
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,Native Cases,No of Patients Treated,Others,,0
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,Native Cases,No of Patients Treated,Total,,0
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,Native Cases,No of Deaths,Female,,0
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,Native Cases,No of Deaths,Male,,0
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,Affected,No of VDCs,,,1
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,Affected,No of Village/Tole,,,1
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,Native Cases,No of Patients,<5 Yrs,Female,0
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,Native Cases,No of Patients,<5 Yrs,Male,0
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,Native Cases,No of Patients,>=5 Yrs,Female,0
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,Native Cases,No of Patients,>=5 Yrs,Male,1
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,Native Cases,No of Patients,Total,,1
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,Native Cases,Diagnosis Method,RK 39,,0
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,Native Cases,Diagnosis Method,BM,,0
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,Native Cases,Diagnosis Method,Sp,,0
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,Native Cases,Diagnosis Method,Other,,0
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,Native Cases,Diagnosis Method,Total,,0
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,Native Cases,No of Patients Treated,SAG/ Miltefosine,,1
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,Native Cases,No of Patients Treated,Fungizone,,0
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,Native Cases,No of Patients Treated,Others,,0
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,Native Cases,No of Patients Treated,Total,,1
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,Native Cases,No of Deaths,Female,,0
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,Native Cases,No of Deaths,Male,,0
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,Affected,No of VDCs,,,0
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,Affected,No of Village/Tole,,,0
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,Native Cases,No of Patients,<5 Yrs,Female,0
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,Native Cases,No of Patients,<5 Yrs,Male,0
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,Native Cases,No of Patients,>=5 Yrs,Female,0
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,Native Cases,No of Patients,>=5 Yrs,Male,0
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,Native Cases,No of Patients,Total,,0
