District Name,Zone,Ecological Belt,Development Region,Year (B.S),Year (A.D),Indicator,Sub-Indicator,Value
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,ARI Incidence  per 1000,,1429.56
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Incidence of Pneumonia (Mild and Severe) per 1000,,395.68
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Incidence of Severe Pneumonia per 1000,,3.8
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,% of Pneumonia (Mild and Severe) among new ARI cases,,27.68
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,% of Severe Pneumonia among new ARI cases,,0.27
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,% Treated with Antibiotic,,41.72
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,ARI Case Fatality,,0
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,% of ARI Cases at,HF,27.18
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,% of ARI Cases at,VHW/MCHW,12.42
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,% of ARI Cases at,FCHV,60.4
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,ARI Incidence  per 1000,,1261.31
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,Incidence of Pneumonia (Mild and Severe) per 1000,,518.44
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,Incidence of Severe Pneumonia per 1000,,3.82
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,% of Pneumonia (Mild and Severe) among new ARI cases,,41.1
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,% of Severe Pneumonia among new ARI cases,,0.3
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,% Treated with Antibiotic,,56.53
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,ARI Case Fatality,,0.04
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,% of ARI Cases at,HF,41.36
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,% of ARI Cases at,VHW/MCHW,15.83
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,% of ARI Cases at,FCHV,42.81
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,ARI Incidence  per 1000,,1479.24
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,Incidence of Pneumonia (Mild and Severe) per 1000,,567.46
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,Incidence of Severe Pneumonia per 1000,,6.05
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,% of Pneumonia (Mild and Severe) among new ARI cases,,38.36
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,% of Severe Pneumonia among new ARI cases,,0.41
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,% Treated with Antibiotic,,53.46
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,ARI Case Fatality,,0
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,% of ARI Cases at,HF,35.65
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,% of ARI Cases at,VHW/MCHW,13.88
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,% of ARI Cases at,FCHV,50.47
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,ARI Incidence  per 1000,,882.31
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,Incidence of Pneumonia (Mild and Severe) per 1000,,362.57
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,Incidence of Severe Pneumonia per 1000,,3.68
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,% of Pneumonia (Mild and Severe) among new ARI cases,,41.09
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,% of Severe Pneumonia among new ARI cases,,0.42
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,% Treated with Antibiotic,,63.12
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,ARI Case Fatality,,0.06
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,% of ARI Cases at,HF,36.22
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,% of ARI Cases at,VHW/MCHW,17.83
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,% of ARI Cases at,FCHV,45.95
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,ARI Incidence  per 1000,,686.23
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,Incidence of Pneumonia (Mild and Severe) per 1000,,223.11
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,Incidence of Severe Pneumonia per 1000,,4.28
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,% of Pneumonia (Mild and Severe) among new ARI cases,,32.51
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,% of Severe Pneumonia among new ARI cases,,0.62
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,% Treated with Antibiotic,,49.31
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,ARI Case Fatality,,0
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,% of ARI Cases at,HF,33.86
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,% of ARI Cases at,VHW/MCHW,12.99
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,% of ARI Cases at,FCHV,53.14
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,ARI Incidence  per 1000,,864.82
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,Incidence of Pneumonia (Mild and Severe) per 1000,,162.46
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,Incidence of Severe Pneumonia per 1000,,3.17
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,% of Pneumonia (Mild and Severe) among new ARI cases,,18.79
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,% of Severe Pneumonia among new ARI cases,,0.37
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,% Treated with Antibiotic,,36.51
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,ARI Case Fatality,,0
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,% of ARI Cases at,HF,24.91
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,% of ARI Cases at,VHW/MCHW,17.45
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,% of ARI Cases at,FCHV,57.64
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,ARI Incidence  per 1000,,975.59
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,Incidence of Pneumonia (Mild and Severe) per 1000,,240.84
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,Incidence of Severe Pneumonia per 1000,,3.18
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,% of Pneumonia (Mild and Severe) among new ARI cases,,24.69
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,% of Severe Pneumonia among new ARI cases,,0.33
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,% Treated with Antibiotic,,43.69
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,ARI Case Fatality,,0
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,% of ARI Cases at,HF,32.81
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,% of ARI Cases at,VHW/MCHW,14.14
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,% of ARI Cases at,FCHV,53.05
Dhanusha,Janakpur,Terai,Central,2068/69,2011/12,ARI Incidence  per 1000,,824.78
Dhanusha,Janakpur,Terai,Central,2068/69,2011/12,Incidence of Pneumonia (Mild and Severe) per 1000,,170.91
Dhanusha,Janakpur,Terai,Central,2068/69,2011/12,Incidence of Severe Pneumonia per 1000,,0.48
Dhanusha,Janakpur,Terai,Central,2068/69,2011/12,% of Pneumonia (Mild and Severe) among new ARI cases,,20.72
Dhanusha,Janakpur,Terai,Central,2068/69,2011/12,% of Severe Pneumonia among new ARI cases,,0.06
Dhanusha,Janakpur,Terai,Central,2068/69,2011/12,% Treated with Antibiotic,,33.63
Dhanusha,Janakpur,Terai,Central,2068/69,2011/12,ARI Case Fatality,,0
Dhanusha,Janakpur,Terai,Central,2068/69,2011/12,% of ARI Cases at,HF,26.06
Dhanusha,Janakpur,Terai,Central,2068/69,2011/12,% of ARI Cases at,VHW/MCHW,17.22
Dhanusha,Janakpur,Terai,Central,2068/69,2011/12,% of ARI Cases at,FCHV,56.73
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,ARI Incidence  per 1000,,716.4
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,Incidence of Pneumonia (Mild and Severe) per 1000,,148.5
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,Incidence of Severe Pneumonia per 1000,,0.7
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,% of Pneumonia (Mild and Severe) among new ARI cases,,20.73
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,% of Severe Pneumonia among new ARI cases,,0.1
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,% Treated with Antibiotic,,44.76
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,ARI Case Fatality,,0.04
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,% of ARI Cases at,HF,22.85
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,% of ARI Cases at,VHW/MCHW,20.23
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,% of ARI Cases at,FCHV,56.92
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,ARI Incidence  per 1000,,890.9
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,Incidence of Pneumonia (Mild and Severe) per 1000,,186.28
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,Incidence of Severe Pneumonia per 1000,,2.67
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,% of Pneumonia (Mild and Severe) among new ARI cases,,20.91
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,% of Severe Pneumonia among new ARI cases,,0.3
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,% Treated with Antibiotic,,30.27
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,ARI Case Fatality,,0
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,% of ARI Cases at,HF,20.92
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,% of ARI Cases at,VHW/MCHW,17.2
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,% of ARI Cases at,FCHV,61.88
Sindhuli,Janakpur,Hill,Central,2068/69,2011/12,ARI Incidence  per 1000,,844.89
Sindhuli,Janakpur,Hill,Central,2068/69,2011/12,Incidence of Pneumonia (Mild and Severe) per 1000,,257.48
Sindhuli,Janakpur,Hill,Central,2068/69,2011/12,Incidence of Severe Pneumonia per 1000,,2.92
Sindhuli,Janakpur,Hill,Central,2068/69,2011/12,% of Pneumonia (Mild and Severe) among new ARI cases,,30.47
Sindhuli,Janakpur,Hill,Central,2068/69,2011/12,% of Severe Pneumonia among new ARI cases,,0.35
Sindhuli,Janakpur,Hill,Central,2068/69,2011/12,% Treated with Antibiotic,,36.68
Sindhuli,Janakpur,Hill,Central,2068/69,2011/12,ARI Case Fatality,,0.02
Sindhuli,Janakpur,Hill,Central,2068/69,2011/12,% of ARI Cases at,HF,17.12
Sindhuli,Janakpur,Hill,Central,2068/69,2011/12,% of ARI Cases at,VHW/MCHW,15.2
Sindhuli,Janakpur,Hill,Central,2068/69,2011/12,% of ARI Cases at,FCHV,67.68
Ramechhap,Janakpur,Hill,Central,2068/69,2011/12,ARI Incidence  per 1000,,1048.81
Ramechhap,Janakpur,Hill,Central,2068/69,2011/12,Incidence of Pneumonia (Mild and Severe) per 1000,,284.86
Ramechhap,Janakpur,Hill,Central,2068/69,2011/12,Incidence of Severe Pneumonia per 1000,,2.17
Ramechhap,Janakpur,Hill,Central,2068/69,2011/12,% of Pneumonia (Mild and Severe) among new ARI cases,,27.16
Ramechhap,Janakpur,Hill,Central,2068/69,2011/12,% of Severe Pneumonia among new ARI cases,,0.21
Ramechhap,Janakpur,Hill,Central,2068/69,2011/12,% Treated with Antibiotic,,32.25
Ramechhap,Janakpur,Hill,Central,2068/69,2011/12,ARI Case Fatality,,0
Ramechhap,Janakpur,Hill,Central,2068/69,2011/12,% of ARI Cases at,HF,28.05
Ramechhap,Janakpur,Hill,Central,2068/69,2011/12,% of ARI Cases at,VHW/MCHW,10.15
Ramechhap,Janakpur,Hill,Central,2068/69,2011/12,% of ARI Cases at,FCHV,61.8
Dolkha,Janakpur,Mountain,Central,2068/69,2011/12,ARI Incidence  per 1000,,1007.61
Dolkha,Janakpur,Mountain,Central,2068/69,2011/12,Incidence of Pneumonia (Mild and Severe) per 1000,,335.05
Dolkha,Janakpur,Mountain,Central,2068/69,2011/12,Incidence of Severe Pneumonia per 1000,,1.7
Dolkha,Janakpur,Mountain,Central,2068/69,2011/12,% of Pneumonia (Mild and Severe) among new ARI cases,,33.25
Dolkha,Janakpur,Mountain,Central,2068/69,2011/12,% of Severe Pneumonia among new ARI cases,,0.17
Dolkha,Janakpur,Mountain,Central,2068/69,2011/12,% Treated with Antibiotic,,44.36
Dolkha,Janakpur,Mountain,Central,2068/69,2011/12,ARI Case Fatality,,0.06
Dolkha,Janakpur,Mountain,Central,2068/69,2011/12,% of ARI Cases at,HF,30.21
Dolkha,Janakpur,Mountain,Central,2068/69,2011/12,% of ARI Cases at,VHW/MCHW,15.47
Dolkha,Janakpur,Mountain,Central,2068/69,2011/12,% of ARI Cases at,FCHV,54.32
Sindhupalchowk,Bagmati,Mountain,Central,2068/69,2011/12,ARI Incidence  per 1000,,648.9
Sindhupalchowk,Bagmati,Mountain,Central,2068/69,2011/12,Incidence of Pneumonia (Mild and Severe) per 1000,,210.76
Sindhupalchowk,Bagmati,Mountain,Central,2068/69,2011/12,Incidence of Severe Pneumonia per 1000,,6.7
Sindhupalchowk,Bagmati,Mountain,Central,2068/69,2011/12,% of Pneumonia (Mild and Severe) among new ARI cases,,32.48
Sindhupalchowk,Bagmati,Mountain,Central,2068/69,2011/12,% of Severe Pneumonia among new ARI cases,,1.03
Sindhupalchowk,Bagmati,Mountain,Central,2068/69,2011/12,% Treated with Antibiotic,,47.72
Sindhupalchowk,Bagmati,Mountain,Central,2068/69,2011/12,ARI Case Fatality,,0.02
Sindhupalchowk,Bagmati,Mountain,Central,2068/69,2011/12,% of ARI Cases at,HF,38.49
Sindhupalchowk,Bagmati,Mountain,Central,2068/69,2011/12,% of ARI Cases at,VHW/MCHW,15.7
Sindhupalchowk,Bagmati,Mountain,Central,2068/69,2011/12,% of ARI Cases at,FCHV,45.81
Kavre,Bagmati,Hill,Central,2068/69,2011/12,ARI Incidence  per 1000,,839.34
Kavre,Bagmati,Hill,Central,2068/69,2011/12,Incidence of Pneumonia (Mild and Severe) per 1000,,202
Kavre,Bagmati,Hill,Central,2068/69,2011/12,Incidence of Severe Pneumonia per 1000,,1.61
Kavre,Bagmati,Hill,Central,2068/69,2011/12,% of Pneumonia (Mild and Severe) among new ARI cases,,24.07
Kavre,Bagmati,Hill,Central,2068/69,2011/12,% of Severe Pneumonia among new ARI cases,,0.19
Kavre,Bagmati,Hill,Central,2068/69,2011/12,% Treated with Antibiotic,,33.89
Kavre,Bagmati,Hill,Central,2068/69,2011/12,ARI Case Fatality,,0.01
Kavre,Bagmati,Hill,Central,2068/69,2011/12,% of ARI Cases at,HF,31.24
Kavre,Bagmati,Hill,Central,2068/69,2011/12,% of ARI Cases at,VHW/MCHW,12.98
Kavre,Bagmati,Hill,Central,2068/69,2011/12,% of ARI Cases at,FCHV,55.79
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,ARI Incidence  per 1000,,674.28
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Incidence of Pneumonia (Mild and Severe) per 1000,,188.96
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Incidence of Severe Pneumonia per 1000,,3.59
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,% of Pneumonia (Mild and Severe) among new ARI cases,,28.02
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,% of Severe Pneumonia among new ARI cases,,0.53
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,% Treated with Antibiotic,,47.4
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,ARI Case Fatality,,0
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,% of ARI Cases at,HF,51.63
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,% of ARI Cases at,VHW/MCHW,48.37
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,% of ARI Cases at,FCHV,0
Bhaktapur ,Bagmati,Hill,Central,2068/69,2011/12,ARI Incidence  per 1000,,509.87
Bhaktapur ,Bagmati,Hill,Central,2068/69,2011/12,Incidence of Pneumonia (Mild and Severe) per 1000,,102.91
Bhaktapur ,Bagmati,Hill,Central,2068/69,2011/12,Incidence of Severe Pneumonia per 1000,,0.39
Bhaktapur ,Bagmati,Hill,Central,2068/69,2011/12,% of Pneumonia (Mild and Severe) among new ARI cases,,20.18
Bhaktapur ,Bagmati,Hill,Central,2068/69,2011/12,% of Severe Pneumonia among new ARI cases,,0.08
Bhaktapur ,Bagmati,Hill,Central,2068/69,2011/12,% Treated with Antibiotic,,37.13
Bhaktapur ,Bagmati,Hill,Central,2068/69,2011/12,ARI Case Fatality,,0
Bhaktapur ,Bagmati,Hill,Central,2068/69,2011/12,% of ARI Cases at,HF,45.07
Bhaktapur ,Bagmati,Hill,Central,2068/69,2011/12,% of ARI Cases at,VHW/MCHW,14.45
Bhaktapur ,Bagmati,Hill,Central,2068/69,2011/12,% of ARI Cases at,FCHV,40.48
Kathmandu,Bagmati,Hill,Central,2068/69,2011/12,ARI Incidence  per 1000,,268.59
Kathmandu,Bagmati,Hill,Central,2068/69,2011/12,Incidence of Pneumonia (Mild and Severe) per 1000,,44.14
Kathmandu,Bagmati,Hill,Central,2068/69,2011/12,Incidence of Severe Pneumonia per 1000,,0.31
