District,zone,belt,region,Year BS,Year AD,Vaccines,No of children,Zone,Belt,Region
Arghakhanchi,Lumbini,Hill,Western,2066/67,2009/10,DPT-HepB 2,4423,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2066/67,2009/10,DPT-HepB 3,4625,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2066/67,2009/10,Japenese Encephalitis,0,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2066/67,2009/10,Measles 12-23,11,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2066/67,2009/10,Measles 9-11 months,4943,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2066/67,2009/10,Polio1,4504,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2066/67,2009/10,Polio2,4424,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2066/67,2009/10,Polio3,4449,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2066/67,2009/10,TT 1,630,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2066/67,2009/10,TT 2+,2823,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2066/67,2009/10,TT2,2946,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2067/68,2010/11,BCG2,4675,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2067/68,2010/11,DPT-HepB 1 2,4821,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2067/68,2010/11,DPT-HepB 2 2,4931,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2067/68,2010/11,DPT-HepB 3 2,5071,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2067/68,2010/11,Japenese Encephalitis 2,0,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2067/68,2010/11,Measles 12-23 2,23,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2067/68,2010/11,Measles 9-11 months 2,4661,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2067/68,2010/11,Polio12,4866,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2067/68,2010/11,Polio22,4838,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2067/68,2010/11,Polio32,5085,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2067/68,2010/11,TT 1 2,855,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2067/68,2010/11,TT 2+ 2,2290,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2067/68,2010/11,TT22,2358,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,BCG3,4649,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,DPT-HepB 1 3,4890,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,DPT-HepB 2 3,4601,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,DPT-HepB 3 3,4699,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Japenese Encephalitis 3,0,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Measles 12-23 3,18,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Measles 9-11 months 3,4616,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Polio13,4916,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Polio23,4620,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Polio33,4703,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,TT 1 3,1205,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,TT 2+ 3,2206,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,TT23,2269,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2069/70,2012/13,BCG4,4294,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2069/70,2012/13,DPT-Hep B1,4500,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2069/70,2012/13,DPT-Hep B2,4425,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2069/70,2012/13,DPT-Hep B3,4298,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2069/70,2012/13,"Japnese
Encephalitis",0,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2069/70,2012/13,"Measles 12-23
months",15,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2069/70,2012/13,"Measles 9-11
months",3940,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2069/70,2012/13,Polio 1,4487,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2069/70,2012/13,Polio 2,4396,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2069/70,2012/13,Polio 3,4274,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2069/70,2012/13,TT 1 4,1119,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2069/70,2012/13,TT 2,2558,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2069/70,2012/13,TT 2+ 4,1832,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2070/71,2013/14,BCG5,4258,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2070/71,2013/14,DPT-HepB 1 4,4376,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2070/71,2013/14,DPT-HepB 2 4,4262,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2070/71,2013/14,DPT-HepB 3 4,4400,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2070/71,2013/14,Polio14,4376,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2070/71,2013/14,Polio24,4262,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2070/71,2013/14,Polio34,4400,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2070/71,2013/14,Measles 9-11 months 4,4307,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2070/71,2013/14,Measles 12-23 4,25,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2070/71,2013/14,Japenese Encephalitis 4,0,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2070/71,2013/14,TT 1 5,2210,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2070/71,2013/14,TT24,1947,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2070/71,2013/14,TT 2+ 5,2413,Lumbini,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2066/67,2009/10,BCG,6532,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2066/67,2009/10,DPT-HepB 1,6204,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2066/67,2009/10,DPT-HepB 2,6003,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2066/67,2009/10,DPT-HepB 3,5716,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2066/67,2009/10,Japenese Encephalitis,0,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2066/67,2009/10,Measles 12-23,70,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2066/67,2009/10,Measles 9-11 months,6149,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2066/67,2009/10,Polio1,6331,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2066/67,2009/10,Polio2,6178,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2066/67,2009/10,Polio3,5888,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2066/67,2009/10,TT 1,3896,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2066/67,2009/10,TT 2+,854,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2066/67,2009/10,TT2,3611,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2067/68,2010/11,BCG2,6481,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2067/68,2010/11,DPT-HepB 1 2,6555,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2067/68,2010/11,DPT-HepB 2 2,6576,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2067/68,2010/11,DPT-HepB 3 2,6785,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2067/68,2010/11,Japenese Encephalitis 2,0,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2067/68,2010/11,Measles 12-23 2,14,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2067/68,2010/11,Measles 9-11 months 2,6163,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2067/68,2010/11,Polio12,6555,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2067/68,2010/11,Polio22,6576,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2067/68,2010/11,Polio32,6785,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2067/68,2010/11,TT 1 2,4126,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2067/68,2010/11,TT 2+ 2,701,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2067/68,2010/11,TT22,4034,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,BCG3,6612,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,DPT-HepB 1 3,6609,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,DPT-HepB 2 3,6371,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,DPT-HepB 3 3,6544,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Japenese Encephalitis 3,0,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Measles 12-23 3,0,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Measles 9-11 months 3,6342,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Polio13,6609,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Polio23,6371,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Polio33,6544,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,TT 1 3,3693,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,TT 2+ 3,1033,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,TT23,3956,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2069/70,2012/13,BCG4,5774,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2069/70,2012/13,DPT-Hep B1,5903,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2069/70,2012/13,DPT-Hep B2,5826,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2069/70,2012/13,DPT-Hep B3,5915,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2069/70,2012/13,"Japnese
Encephalitis",0,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2069/70,2012/13,"Measles 12-23
months",106,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2069/70,2012/13,"Measles 9-11
months",5740,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2069/70,2012/13,Polio 1,5903,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2069/70,2012/13,Polio 2,5826,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2069/70,2012/13,Polio 3,5915,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2069/70,2012/13,TT 1 4,3216,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2069/70,2012/13,TT 2,3587,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2069/70,2012/13,TT 2+ 4,1482,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2070/71,2013/14,BCG5,5559,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2070/71,2013/14,DPT-HepB 1 4,5523,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2070/71,2013/14,DPT-HepB 2 4,5575,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2070/71,2013/14,DPT-HepB 3 4,5660,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2070/71,2013/14,Polio14,5523,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2070/71,2013/14,Polio24,5575,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2070/71,2013/14,Polio34,5660,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2070/71,2013/14,Measles 9-11 months 4,5677,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2070/71,2013/14,Measles 12-23 4,66,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2070/71,2013/14,Japenese Encephalitis 4,0,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2070/71,2013/14,TT 1 5,2292,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2070/71,2013/14,TT24,2726,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2070/71,2013/14,TT 2+ 5,3657,Dhawalagiri,Hill,Western
Baitadi,Mahakali,Hill,Far-Western,2066/67,2009/10,BCG,6381,Mahakali,Hill,Far-Western
Baitadi,Mahakali,Hill,Far-Western,2066/67,2009/10,DPT-HepB 1,6080,Mahakali,Hill,Far-Western
Baitadi,Mahakali,Hill,Far-Western,2066/67,2009/10,DPT-HepB 2,5696,Mahakali,Hill,Far-Western
Baitadi,Mahakali,Hill,Far-Western,2066/67,2009/10,DPT-HepB 3,5709,Mahakali,Hill,Far-Western
Baitadi,Mahakali,Hill,Far-Western,2066/67,2009/10,Japenese Encephalitis,0,Mahakali,Hill,Far-Western
Baitadi,Mahakali,Hill,Far-Western,2066/67,2009/10,Measles 12-23,335,Mahakali,Hill,Far-Western
Baitadi,Mahakali,Hill,Far-Western,2066/67,2009/10,Measles 9-11 months,5786,Mahakali,Hill,Far-Western
Baitadi,Mahakali,Hill,Far-Western,2066/67,2009/10,Polio1,6056,Mahakali,Hill,Far-Western
Baitadi,Mahakali,Hill,Far-Western,2066/67,2009/10,Polio2,5637,Mahakali,Hill,Far-Western
Baitadi,Mahakali,Hill,Far-Western,2066/67,2009/10,Polio3,5694,Mahakali,Hill,Far-Western
Baitadi,Mahakali,Hill,Far-Western,2066/67,2009/10,TT 1,2155,Mahakali,Hill,Far-Western
Baitadi,Mahakali,Hill,Far-Western,2066/67,2009/10,TT 2+,3869,Mahakali,Hill,Far-Western
Baitadi,Mahakali,Hill,Far-Western,2066/67,2009/10,TT2,2039,Mahakali,Hill,Far-Western
Baitadi,Mahakali,Hill,Far-Western,2067/68,2010/11,BCG2,6184,Mahakali,Hill,Far-Western
Baitadi,Mahakali,Hill,Far-Western,2067/68,2010/11,DPT-HepB 1 2,6463,Mahakali,Hill,Far-Western
Baitadi,Mahakali,Hill,Far-Western,2067/68,2010/11,DPT-HepB 2 2,6769,Mahakali,Hill,Far-Western
Baitadi,Mahakali,Hill,Far-Western,2067/68,2010/11,DPT-HepB 3 2,6847,Mahakali,Hill,Far-Western
Baitadi,Mahakali,Hill,Far-Western,2067/68,2010/11,Japenese Encephalitis 2,0,Mahakali,Hill,Far-Western
Baitadi,Mahakali,Hill,Far-Western,2067/68,2010/11,Measles 12-23 2,234,Mahakali,Hill,Far-Western
Baitadi,Mahakali,Hill,Far-Western,2067/68,2010/11,Measles 9-11 months 2,5953,Mahakali,Hill,Far-Western
Baitadi,Mahakali,Hill,Far-Western,2067/68,2010/11,Polio12,6456,Mahakali,Hill,Far-Western
Baitadi,Mahakali,Hill,Far-Western,2067/68,2010/11,Polio22,6759,Mahakali,Hill,Far-Western
Baitadi,Mahakali,Hill,Far-Western,2067/68,2010/11,Polio32,6847,Mahakali,Hill,Far-Western
Baitadi,Mahakali,Hill,Far-Western,2067/68,2010/11,TT 1 2,2011,Mahakali,Hill,Far-Western
Baitadi,Mahakali,Hill,Far-Western,2067/68,2010/11,TT 2+ 2,3325,Mahakali,Hill,Far-Western
Baitadi,Mahakali,Hill,Far-Western,2067/68,2010/11,TT22,1862,Mahakali,Hill,Far-Western
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,BCG3,6452,Mahakali,Hill,Far-Western
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,DPT-HepB 1 3,6431,Mahakali,Hill,Far-Western
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,DPT-HepB 2 3,6413,Mahakali,Hill,Far-Western
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,DPT-HepB 3 3,6417,Mahakali,Hill,Far-Western
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Japenese Encephalitis 3,0,Mahakali,Hill,Far-Western
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Measles 12-23 3,396,Mahakali,Hill,Far-Western
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Measles 9-11 months 3,6033,Mahakali,Hill,Far-Western
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Polio13,6134,Mahakali,Hill,Far-Western
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Polio23,6342,Mahakali,Hill,Far-Western
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Polio33,6417,Mahakali,Hill,Far-Western
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,TT 1 3,1862,Mahakali,Hill,Far-Western
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,TT 2+ 3,3248,Mahakali,Hill,Far-Western
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,TT23,1752,Mahakali,Hill,Far-Western
Baitadi,Mahakali,Hill,Far-Western,2069/70,2012/13,BCG4,5940,Mahakali,Hill,Far-Western
Baitadi,Mahakali,Hill,Far-Western,2069/70,2012/13,DPT-Hep B1,5954,Mahakali,Hill,Far-Western
Baitadi,Mahakali,Hill,Far-Western,2069/70,2012/13,DPT-Hep B2,6056,Mahakali,Hill,Far-Western
Baitadi,Mahakali,Hill,Far-Western,2069/70,2012/13,DPT-Hep B3,5962,Mahakali,Hill,Far-Western
Baitadi,Mahakali,Hill,Far-Western,2069/70,2012/13,"Japnese
Encephalitis",0,Mahakali,Hill,Far-Western
Baitadi,Mahakali,Hill,Far-Western,2069/70,2012/13,"Measles 12-23
months",196,Mahakali,Hill,Far-Western
Baitadi,Mahakali,Hill,Far-Western,2069/70,2012/13,"Measles 9-11
months",6038,Mahakali,Hill,Far-Western
Baitadi,Mahakali,Hill,Far-Western,2069/70,2012/13,Polio 1,5965,Mahakali,Hill,Far-Western
Baitadi,Mahakali,Hill,Far-Western,2069/70,2012/13,Polio 2,6072,Mahakali,Hill,Far-Western
Baitadi,Mahakali,Hill,Far-Western,2069/70,2012/13,Polio 3,5973,Mahakali,Hill,Far-Western
Baitadi,Mahakali,Hill,Far-Western,2069/70,2012/13,TT 1 4,1633,Mahakali,Hill,Far-Western
Baitadi,Mahakali,Hill,Far-Western,2069/70,2012/13,TT 2,1920,Mahakali,Hill,Far-Western
