District Name,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Indicator 1,Sub-Indicator,Sub-Indicator,Value
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Depo,17.79
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,IUD,2.5
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Implant,1.72
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Total,34.11
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,CPR,Current Users as % of MWRA,Total,46.58
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,CYP,Condom,Total,2036.61
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,CYP,Pills,Total,4218.38
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,CYP,Depo,Total,10242.5
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,CYP,IUD,Total,3184
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,CYP,Norplant,Total,1165
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Condom,1.68
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Pills,2.54
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Depo,3.85
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,IUD,0.42
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Norplant,0.47
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Total,8.96
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Condom,1.68
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Pills,5.4
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Depo,10.18
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,IUD,2.39
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Implant,1.45
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Total,21.1
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,CPR,Current Users as % of MWRA,Total,53.98
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,CYP,Condom,Total,3173.31
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,CYP,Pills,Total,5894.38
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,CYP,Depo,Total,14908.75
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,CYP,IUD,Total,6360
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,CYP,Norplant,Total,4445
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Condom,1.91
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Pills,1.12
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Depo,3.22
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,IUD,0.82
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Norplant,0.32
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Total,7.4
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Condom,1.91
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Pills,3.56
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Depo,8.23
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,IUD,2.82
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Implant,1.97
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Total,18.49
Morang,Kosi,Terai,Eastern,2068/69,2011/12,CPR,Current Users as % of MWRA,Total,62.14
Morang,Kosi,Terai,Eastern,2068/69,2011/12,CYP,Condom,Total,4200.19
Morang,Kosi,Terai,Eastern,2068/69,2011/12,CYP,Pills,Total,4718.31
Morang,Kosi,Terai,Eastern,2068/69,2011/12,CYP,Depo,Total,12048.75
Morang,Kosi,Terai,Eastern,2068/69,2011/12,CYP,IUD,Total,12792
Morang,Kosi,Terai,Eastern,2068/69,2011/12,CYP,Norplant,Total,3565
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Condom,2.55
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Pills,0.78
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Depo,2.8
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,IUD,0.22
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Norplant,0.25
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Total,6.6
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Condom,2.55
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Pills,3.42
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Depo,7.97
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,IUD,1.12
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Implant,1.04
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Total,16.09
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,CPR,Current Users as % of MWRA,Total,43.1
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,CYP,Condom,Total,4086.41
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,CYP,Pills,Total,5303.54
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,CYP,Depo,Total,12791.75
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,CYP,IUD,Total,2920
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,CYP,Norplant,Total,2085
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Condom,3.34
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Pills,4.05
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Depo,6.12
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,IUD,0.29
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Norplant,0.36
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Total,14.16
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Condom,3.34
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Pills,7.37
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Depo,13.13
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,IUD,1.25
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Implant,2.33
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Total,27.42
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,CPR,Current Users as % of MWRA,Total,36.52
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,CYP,Condom,Total,1375.38
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,CYP,Pills,Total,1482.46
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,CYP,Depo,Total,4244.5
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,CYP,IUD,Total,1192
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,CYP,Norplant,Total,750
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Condom,3.33
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Pills,1.67
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Depo,3.84
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,IUD,0.08
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Norplant,0.23
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Total,9.14
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Condom,3.33
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Pills,2.32
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Depo,6.9
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,IUD,1.26
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Implant,1.64
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Total,15.44
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,CPR,Current Users as % of MWRA,Total,22.73
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,CYP,Condom,Total,903.51
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,CYP,Pills,Total,570.69
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,CYP,Depo,Total,1674
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,CYP,IUD,Total,632
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,CYP,Norplant,Total,1045
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Condom,2.42
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Pills,1.85
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Depo,4.88
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,IUD,0.39
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Norplant,0.63
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Total,10.17
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Condom,2.42
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Pills,1.77
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Depo,8.92
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,IUD,2.57
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Implant,3.1
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Total,18.78
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,CPR,Current Users as % of MWRA,Total,26.59
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,CYP,Condom,Total,913.27
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,CYP,Pills,Total,472.23
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,CYP,Depo,Total,2463.5
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,CYP,IUD,Total,1200
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,CYP,Norplant,Total,1865
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Condom,2.79
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Pills,1.17
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Depo,2.88
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,IUD,0.26
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Norplant,0.5
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Total,7.59
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Condom,2.79
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Pills,3.43
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Depo,9.39
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,IUD,1.5
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Implant,1.71
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Total,18.81
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,CPR,Current Users as % of MWRA,Total,24.93
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,CYP,Condom,Total,1316.45
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,CYP,Pills,Total,1222.31
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,CYP,Depo,Total,3938
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,CYP,IUD,Total,992
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,CYP,Norplant,Total,1170
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Condom,4.34
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Pills,4.69
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Depo,10.25
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,IUD,0.1
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Norplant,1.1
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Total,20.47
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Condom,4.34
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Pills,5.23
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Depo,20.61
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,IUD,0.38
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Implant,2.72
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Total,33.28
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,CPR,Current Users as % of MWRA,Total,37.44
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,CYP,Condom,Total,1092
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,CYP,Pills,Total,750.15
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,CYP,Depo,Total,4468.75
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,CYP,IUD,Total,224
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,CYP,Norplant,Total,1385
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Condom,2.1
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Pills,2.47
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Depo,5.93
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,IUD,0.08
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Norplant,0.61
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Total,11.19
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Condom,2.1
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Pills,3.84
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Depo,14.06
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,IUD,1.12
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Implant,2.99
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Total,24.11
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,CPR,Current Users as % of MWRA,Total,31.69
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,CYP,Condom,Total,757.11
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,CYP,Pills,Total,1053.69
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,CYP,Depo,Total,3751.25
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,CYP,IUD,Total,224
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,CYP,Norplant,Total,1910
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Condom,2.17
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Pills,2.13
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Depo,3.44
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,IUD,0.52
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Norplant,0.32
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Total,8.57
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Condom,2.17
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Pills,9.93
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Depo,22.14
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,IUD,0.84
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Implant,0.35
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Total,35.42
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,CPR,Current Users as % of MWRA,Total,40.85
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,CYP,Condom,Total,1134.18
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,CYP,Pills,Total,1292.38
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,CYP,Depo,Total,3556.5
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,CYP,IUD,Total,2152
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,CYP,Norplant,Total,785
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Condom,1.29
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Pills,1.84
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Depo,4.39
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,IUD,0.31
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Norplant,0.14
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Total,7.96
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Condom,1.29
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Pills,2.73
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Depo,8.26
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,IUD,0.41
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Implant,0.4
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Total,13.09
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,CPR,Current Users as % of MWRA,Total,25.68
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,CYP,Condom,Total,882.77
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,CYP,Pills,Total,1760.15
