District,Year,Nutritional deficines,Number of people
Siraha,2066/67,Diabetic mellitis,66
Siraha,2066/67,Obesity,95
Siraha,2066/67,Dehydration,5609
Siraha,2066/67,Night blindness,1610
Solukhumbu,2066/67,Malnutrition,271
Solukhumbu,2066/67,Avitaminoses and othernnutrideficency,574
Solukhumbu,2066/67,Polyneuritis,177
Solukhumbu,2066/67,Anaemia,717
Solukhumbu,2066/67,"Goitre,Cretinism",123
Solukhumbu,2066/67,Diabetic mellitis,107
Solukhumbu,2066/67,Obesity,181
Solukhumbu,2066/67,Dehydration,849
Solukhumbu,2066/67,Night blindness,172
Sunsari,2066/67,Malnutrition,1036
Sunsari,2066/67,Avitaminoses and othernnutrideficency,7722
Sunsari,2066/67,Polyneuritis,948
Sunsari,2066/67,Anaemia,3514
Sunsari,2066/67,"Goitre,Cretinism",3
Sunsari,2066/67,Diabetic mellitis,260
Sunsari,2066/67,Obesity,23
Sunsari,2066/67,Dehydration,3779
Sunsari,2066/67,Night blindness,265
Taplejung,2066/67,Malnutrition,194
Taplejung,2066/67,Avitaminoses and othernnutrideficency,998
Taplejung,2066/67,Polyneuritis,268
Taplejung,2066/67,Anaemia,677
Taplejung,2066/67,"Goitre,Cretinism",42
Taplejung,2066/67,Diabetic mellitis,194
Taplejung,2066/67,Obesity,73
Taplejung,2066/67,Dehydration,291
Taplejung,2066/67,Night blindness,34
Teharthum,2066/67,Malnutrition,97
Teharthum,2066/67,Avitaminoses and othernnutrideficency,483
Teharthum,2066/67,Polyneuritis,220
Teharthum,2066/67,Anaemia,528
Teharthum,2066/67,"Goitre,Cretinism",4
Teharthum,2066/67,Diabetic mellitis,127
Teharthum,2066/67,Obesity,1
Teharthum,2066/67,Dehydration,223
Teharthum,2066/67,Night blindness,38
Udaypur,2066/67,Malnutrition,177
Udaypur,2066/67,Avitaminoses and othernnutrideficency,1235
Udaypur,2066/67,Polyneuritis,578
Udaypur,2066/67,Anaemia,1160
Udaypur,2066/67,"Goitre,Cretinism",16
Udaypur,2066/67,Diabetic mellitis,587
Udaypur,2066/67,Obesity,12
Udaypur,2066/67,Dehydration,670
Udaypur,2066/67,Night blindness,42
Bara,2066/67,Malnutrition,1617
Bara,2066/67,Avitaminoses and othernnutrideficency,6314
Bara,2066/67,Polyneuritis,1801
Bara,2066/67,Anaemia,5274
Bara,2066/67,"Goitre,Cretinism",208
Bara,2066/67,Diabetic mellitis,123
Bara,2066/67,Obesity,21
Bara,2066/67,Dehydration,3047
Bara,2066/67,Night blindness,1533
Bhaktapur,2066/67,Malnutrition,98
Bhaktapur,2066/67,Avitaminoses and othernnutrideficency,1337
Bhaktapur,2066/67,Polyneuritis,125
Bhaktapur,2066/67,Anaemia,162
Bhaktapur,2066/67,"Goitre,Cretinism",18
Bhaktapur,2066/67,Diabetic mellitis,505
Bhaktapur,2066/67,Obesity,29
Bhaktapur,2066/67,Dehydration,267
Bhaktapur,2066/67,Night blindness,13
Chitwan,2066/67,Malnutrition,721
Chitwan,2066/67,Avitaminoses and othernnutrideficency,2273
Chitwan,2066/67,Polyneuritis,385
Chitwan,2066/67,Anaemia,2240
Chitwan,2066/67,"Goitre,Cretinism",26
Chitwan,2066/67,Diabetic mellitis,6550
Chitwan,2066/67,Obesity,10
Chitwan,2066/67,Dehydration,1006
Chitwan,2066/67,Night blindness,32
Dhading,2066/67,Malnutrition,464
Dhading,2066/67,Avitaminoses and othernnutrideficency,1387
Dhading,2066/67,Polyneuritis,819
Dhading,2066/67,Anaemia,2730
Dhading,2066/67,"Goitre,Cretinism",10
Dhading,2066/67,Diabetic mellitis,328
Dhading,2066/67,Obesity,19
Dhading,2066/67,Dehydration,1331
Dhading,2066/67,Night blindness,141
Dhanusha,2066/67,Malnutrition,1813
Dhanusha,2066/67,Avitaminoses and othernnutrideficency,9086
Dhanusha,2066/67,Polyneuritis,967
Dhanusha,2066/67,Anaemia,6077
Dhanusha,2066/67,"Goitre,Cretinism",99
Dhanusha,2066/67,Diabetic mellitis,97
Dhanusha,2066/67,Obesity,14
Dhanusha,2066/67,Dehydration,2470
Dhanusha,2066/67,Night blindness,1342
Dolkha,2066/67,Malnutrition,173
Dolkha,2066/67,Avitaminoses and othernnutrideficency,779
Dolkha,2066/67,Polyneuritis,274
Dolkha,2066/67,Anaemia,876
Dolkha,2066/67,"Goitre,Cretinism",46
Dolkha,2066/67,Diabetic mellitis,211
Dolkha,2066/67,Obesity,29
Dolkha,2066/67,Dehydration,695
Dolkha,2066/67,Night blindness,148
Kathmandu,2066/67,Malnutrition,659
Kathmandu,2066/67,Avitaminoses and othernnutrideficency,3918
Kathmandu,2066/67,Polyneuritis,421
Kathmandu,2066/67,Anaemia,2628
Kathmandu,2066/67,"Goitre,Cretinism",882
Kathmandu,2066/67,Diabetic mellitis,5626
Kathmandu,2066/67,Obesity,285
Kathmandu,2066/67,Dehydration,1831
Kathmandu,2066/67,Night blindness,171
Kavre,2066/67,Malnutrition,210
Kavre,2066/67,Avitaminoses and othernnutrideficency,2681
Kavre,2066/67,Polyneuritis,736
Kavre,2066/67,Anaemia,1978
Kavre,2066/67,"Goitre,Cretinism",10
Kavre,2066/67,Diabetic mellitis,579
Kavre,2066/67,Obesity,10
Kavre,2066/67,Dehydration,1335
Kavre,2066/67,Night blindness,44
Lalitpur,2066/67,Malnutrition,0
Lalitpur,2066/67,Avitaminoses and othernnutrideficency,0
Lalitpur,2066/67,Polyneuritis,0
Lalitpur,2066/67,Anaemia,0
Lalitpur,2066/67,"Goitre,Cretinism",0
Lalitpur,2066/67,Diabetic mellitis,0
Lalitpur,2066/67,Obesity,0
Lalitpur,2066/67,Dehydration,0
Lalitpur,2066/67,Night blindness,0
Mahottari,2066/67,Malnutrition,919
Mahottari,2066/67,Avitaminoses and othernnutrideficency,5116
Mahottari,2066/67,Polyneuritis,1215
Mahottari,2066/67,Anaemia,4912
Mahottari,2066/67,"Goitre,Cretinism",54
Mahottari,2066/67,Diabetic mellitis,82
Mahottari,2066/67,Obesity,72
Mahottari,2066/67,Dehydration,2926
Mahottari,2066/67,Night blindness,1718
Makawanpur,2066/67,Malnutrition,195
Makawanpur,2066/67,Avitaminoses and othernnutrideficency,1405
Makawanpur,2066/67,Polyneuritis,578
Makawanpur,2066/67,Anaemia,1187
Makawanpur,2066/67,"Goitre,Cretinism",13
Makawanpur,2066/67,Diabetic mellitis,110
Makawanpur,2066/67,Obesity,37
Makawanpur,2066/67,Dehydration,883
Makawanpur,2066/67,Night blindness,33
Nuwakot,2066/67,Malnutrition,155
Nuwakot,2066/67,Avitaminoses and othernnutrideficency,1172
Nuwakot,2066/67,Polyneuritis,345
Nuwakot,2066/67,Anaemia,639
Nuwakot,2066/67,"Goitre,Cretinism",35
Nuwakot,2066/67,Diabetic mellitis,56
Nuwakot,2066/67,Obesity,49
Nuwakot,2066/67,Dehydration,281
Nuwakot,2066/67,Night blindness,95
Parsa,2066/67,Malnutrition,0
Parsa,2066/67,Avitaminoses and othernnutrideficency,0
Parsa,2066/67,Polyneuritis,0
Parsa,2066/67,Anaemia,0
Parsa,2066/67,"Goitre,Cretinism",0
Parsa,2066/67,Diabetic mellitis,0
Parsa,2066/67,Obesity,0
Parsa,2066/67,Dehydration,0
Parsa,2066/67,Night blindness,0
Ramechhap,2066/67,Malnutrition,43
Ramechhap,2066/67,Avitaminoses and othernnutrideficency,930
Ramechhap,2066/67,Polyneuritis,451
Ramechhap,2066/67,Anaemia,302
Ramechhap,2066/67,"Goitre,Cretinism",9
Ramechhap,2066/67,Diabetic mellitis,79
Ramechhap,2066/67,Obesity,35
Ramechhap,2066/67,Dehydration,208
Ramechhap,2066/67,Night blindness,31
Rasuwa,2066/67,Malnutrition,23
Rasuwa,2066/67,Avitaminoses and othernnutrideficency,482
Rasuwa,2066/67,Polyneuritis,89
Rasuwa,2066/67,Anaemia,165
Rasuwa,2066/67,"Goitre,Cretinism",0
Rasuwa,2066/67,Diabetic mellitis,12
Rasuwa,2066/67,Obesity,2
Rasuwa,2066/67,Dehydration,115
Rasuwa,2066/67,Night blindness,7
Rautahat,2066/67,Malnutrition,1705
Rautahat,2066/67,Avitaminoses and othernnutrideficency,5643
Rautahat,2066/67,Polyneuritis,822
Rautahat,2066/67,Anaemia,7447
Rautahat,2066/67,"Goitre,Cretinism",222
Rautahat,2066/67,Diabetic mellitis,84
Rautahat,2066/67,Obesity,143
Rautahat,2066/67,Dehydration,3923
Rautahat,2066/67,Night blindness,2650
Sarlahi,2066/67,Malnutrition,2095
Sarlahi,2066/67,Avitaminoses and othernnutrideficency,8412
Sarlahi,2066/67,Polyneuritis,783
Sarlahi,2066/67,Anaemia,6387
Sarlahi,2066/67,"Goitre,Cretinism",15
Sarlahi,2066/67,Diabetic mellitis,88
Sarlahi,2066/67,Obesity,22
Sarlahi,2066/67,Dehydration,3778
Sarlahi,2066/67,Night blindness,2265
Sindhuli,2066/67,Malnutrition,510
Sindhuli,2066/67,Avitaminoses and othernnutrideficency,1015
Sindhuli,2066/67,Polyneuritis,237
Sindhuli,2066/67,Anaemia,1206
Sindhuli,2066/67,"Goitre,Cretinism",51
Sindhuli,2066/67,Diabetic mellitis,35
Sindhuli,2066/67,Obesity,38
Sindhuli,2066/67,Dehydration,1658
Sindhuli,2066/67,Night blindness,160
Sindhupalchowk,2066/67,Malnutrition,257
Sindhupalchowk,2066/67,Avitaminoses and othernnutrideficency,1029
Sindhupalchowk,2066/67,Polyneuritis,709
Sindhupalchowk,2066/67,Anaemia,1285
Sindhupalchowk,2066/67,"Goitre,Cretinism",24
Sindhupalchowk,2066/67,Diabetic mellitis,109
Sindhupalchowk,2066/67,Obesity,16
Sindhupalchowk,2066/67,Dehydration,715
Sindhupalchowk,2066/67,Night blindness,33
Arghakhanchi,2066/67,Malnutrition,443
Arghakhanchi,2066/67,Avitaminoses and othernnutrideficency,1465
Arghakhanchi,2066/67,Polyneuritis,1059
Arghakhanchi,2066/67,Anaemia,1297
Arghakhanchi,2066/67,"Goitre,Cretinism",7
Arghakhanchi,2066/67,Diabetic mellitis,52
Arghakhanchi,2066/67,Obesity,13
Arghakhanchi,2066/67,Dehydration,788
Arghakhanchi,2066/67,Night blindness,16
Baglung,2066/67,Malnutrition,326
Baglung,2066/67,Avitaminoses and othernnutrideficency,1367
Baglung,2066/67,Polyneuritis,1097
Baglung,2066/67,Anaemia,966
Baglung,2066/67,"Goitre,Cretinism",59
Baglung,2066/67,Diabetic mellitis,212
Baglung,2066/67,Obesity,141
Baglung,2066/67,Dehydration,515
Baglung,2066/67,Night blindness,223
Gorkha,2066/67,Malnutrition,237
Gorkha,2066/67,Avitaminoses and othernnutrideficency,1077
Gorkha,2066/67,Polyneuritis,1154
Gorkha,2066/67,Anaemia,1657
Gorkha,2066/67,"Goitre,Cretinism",47
Gorkha,2066/67,Diabetic mellitis,195
Gorkha,2066/67,Obesity,50
Gorkha,2066/67,Dehydration,729
Gorkha,2066/67,Night blindness,73
Gulmi,2066/67,Malnutrition,655
Gulmi,2066/67,Avitaminoses and othernnutrideficency,2373
Gulmi,2066/67,Polyneuritis,2673
Gulmi,2066/67,Anaemia,2564
Gulmi,2066/67,"Goitre,Cretinism",75
Gulmi,2066/67,Diabetic mellitis,397
Gulmi,2066/67,Obesity,44
Gulmi,2066/67,Dehydration,983
Gulmi,2066/67,Night blindness,113
Kapilvastu,2066/67,Malnutrition,3307
Kapilvastu,2066/67,Avitaminoses and othernnutrideficency,6171
Kapilvastu,2066/67,Polyneuritis,2290
Kapilvastu,2066/67,Anaemia,5262
Kapilvastu,2066/67,"Goitre,Cretinism",0
Kapilvastu,2066/67,Diabetic mellitis,141
Kapilvastu,2066/67,Obesity,177
Kapilvastu,2066/67,Dehydration,1392
Kapilvastu,2066/67,Night blindness,1346
Kaski,2066/67,Malnutrition,1401
Kaski,2066/67,Avitaminoses and othernnutrideficency,2742
Kaski,2066/67,Polyneuritis,297
Kaski,2066/67,Anaemia,874
Kaski,2066/67,"Goitre,Cretinism",283
Kaski,2066/67,Diabetic mellitis,4858
Kaski,2066/67,Obesity,69
Kaski,2066/67,Dehydration,69
Kaski,2066/67,Night blindness,10
Lamjung,2066/67,Malnutrition,275
Lamjung,2066/67,Avitaminoses and othernnutrideficency,1816
Lamjung,2066/67,Polyneuritis,574
Lamjung,2066/67,Anaemia,663
Lamjung,2066/67,"Goitre,Cretinism",2
Lamjung,2066/67,Diabetic mellitis,974
Lamjung,2066/67,Obesity,32
Lamjung,2066/67,Dehydration,407
Lamjung,2066/67,Night blindness,20
Manang,2066/67,Malnutrition,0
Manang,2066/67,Avitaminoses and othernnutrideficency,91
Manang,2066/67,Polyneuritis,0
Manang,2066/67,Anaemia,33
Manang,2066/67,"Goitre,Cretinism",0
Manang,2066/67,Diabetic mellitis,35
Manang,2066/67,Obesity,0
Manang,2066/67,Dehydration,28
Manang,2066/67,Night blindness,4
Mustang,2066/67,Malnutrition,27
Mustang,2066/67,Avitaminoses and othernnutrideficency,156
Mustang,2066/67,Polyneuritis,47
Mustang,2066/67,Anaemia,81
Mustang,2066/67,"Goitre,Cretinism",0
Mustang,2066/67,Diabetic mellitis,11
Mustang,2066/67,Obesity,1
Mustang,2066/67,Dehydration,663
Mustang,2066/67,Night blindness,3
Myagdi,2066/67,Malnutrition,237
Myagdi,2066/67,Avitaminoses and othernnutrideficency,897
Myagdi,2066/67,Polyneuritis,257
Myagdi,2066/67,Anaemia,317
Myagdi,2066/67,"Goitre,Cretinism",6
Myagdi,2066/67,Diabetic mellitis,78
Myagdi,2066/67,Obesity,4
Myagdi,2066/67,Dehydration,213
Myagdi,2066/67,Night blindness,7
Nawalparasi,2066/67,Malnutrition,637
Nawalparasi,2066/67,Avitaminoses and othernnutrideficency,5154
Nawalparasi,2066/67,Polyneuritis,993
Nawalparasi,2066/67,Anaemia,2613
Nawalparasi,2066/67,"Goitre,Cretinism",28
Nawalparasi,2066/67,Diabetic mellitis,492
Nawalparasi,2066/67,Obesity,131
Nawalparasi,2066/67,Dehydration,2617
Nawalparasi,2066/67,Night blindness,240
Palpa,2066/67,Malnutrition,403
Palpa,2066/67,Avitaminoses and othernnutrideficency,1977
Palpa,2066/67,Polyneuritis,645
Palpa,2066/67,Anaemia,1550
Palpa,2066/67,"Goitre,Cretinism",313
Palpa,2066/67,Diabetic mellitis,1979
Palpa,2066/67,Obesity,43
Palpa,2066/67,Dehydration,1694
Palpa,2066/67,Night blindness,81
Parbat,2066/67,Malnutrition,92
Parbat,2066/67,Avitaminoses and othernnutrideficency,1760
Parbat,2066/67,Polyneuritis,733
Parbat,2066/67,Anaemia,1123
Parbat,2066/67,"Goitre,Cretinism",16
Parbat,2066/67,Diabetic mellitis,43
Parbat,2066/67,Obesity,2
Parbat,2066/67,Dehydration,237
Parbat,2066/67,Night blindness,12
Rupandehi,2066/67,Malnutrition,0
Rupandehi,2066/67,Avitaminoses and othernnutrideficency,0
Rupandehi,2066/67,Polyneuritis,0
Rupandehi,2066/67,Anaemia,0
Rupandehi,2066/67,"Goitre,Cretinism",0
Rupandehi,2066/67,Diabetic mellitis,0
Rupandehi,2066/67,Obesity,0
Rupandehi,2066/67,Dehydration,0
Rupandehi,2066/67,Night blindness,0
Syangja,2066/67,Malnutrition,319
Syangja,2066/67,Avitaminoses and othernnutrideficency,3838
Syangja,2066/67,Polyneuritis,1154
Syangja,2066/67,Anaemia,1966
Syangja,2066/67,"Goitre,Cretinism",70
Syangja,2066/67,Diabetic mellitis,309
Syangja,2066/67,Obesity,89
Syangja,2066/67,Dehydration,503
Syangja,2066/67,Night blindness,176
Tanahu,2066/67,Malnutrition,159
Tanahu,2066/67,Avitaminoses and othernnutrideficency,811
Tanahu,2066/67,Polyneuritis,459
Tanahu,2066/67,Anaemia,744
Tanahu,2066/67,"Goitre,Cretinism",28
Tanahu,2066/67,Diabetic mellitis,553
Tanahu,2066/67,Obesity,150
Tanahu,2066/67,Dehydration,236
Tanahu,2066/67,Night blindness,111
Banke,2066/67,Malnutrition,504
Banke,2066/67,Avitaminoses and othernnutrideficency,4147
Banke,2066/67,Polyneuritis,1263
Banke,2066/67,Anaemia,3002
Banke,2066/67,"Goitre,Cretinism",13
Banke,2066/67,Diabetic mellitis,9
Banke,2066/67,Obesity,32
Banke,2066/67,Dehydration,1551
Banke,2066/67,Night blindness,1471
Bardiya,2066/67,Malnutrition,1793
Bardiya,2066/67,Avitaminoses and othernnutrideficency,4306
Bardiya,2066/67,Polyneuritis,3302
Bardiya,2066/67,Anaemia,2784
Bardiya,2066/67,"Goitre,Cretinism",54
Bardiya,2066/67,Diabetic mellitis,94
Bardiya,2066/67,Obesity,12
Bardiya,2066/67,Dehydration,1273
Bardiya,2066/67,Night blindness,308
Dailekh,2066/67,Malnutrition,336
Dailekh,2066/67,Avitaminoses and othernnutrideficency,1381
Dailekh,2066/67,Polyneuritis,826
Dailekh,2066/67,Anaemia,731
Dailekh,2066/67,"Goitre,Cretinism",4
Dailekh,2066/67,Diabetic mellitis,31
Dailekh,2066/67,Obesity,0
Dailekh,2066/67,Dehydration,3665
Dailekh,2066/67,Night blindness,165
Dang,2066/67,Malnutrition,1294
Dang,2066/67,Avitaminoses and othernnutrideficency,1587
Dang,2066/67,Polyneuritis,1306
Dang,2066/67,Anaemia,1650
Dang,2066/67,"Goitre,Cretinism",5
Dang,2066/67,Diabetic mellitis,615
Dang,2066/67,Obesity,85
Dang,2066/67,Dehydration,2140
Dang,2066/67,Night blindness,351
Dolpa,2066/67,Malnutrition,123
Dolpa,2066/67,Avitaminoses and othernnutrideficency,244
Dolpa,2066/67,Polyneuritis,53
Dolpa,2066/67,Anaemia,121
Dolpa,2066/67,"Goitre,Cretinism",0
Dolpa,2066/67,Diabetic mellitis,0
Dolpa,2066/67,Obesity,19
Dolpa,2066/67,Dehydration,206
Dolpa,2066/67,Night blindness,24
Humla,2066/67,Malnutrition,959
Humla,2066/67,Avitaminoses and othernnutrideficency,811
Humla,2066/67,Polyneuritis,334
Humla,2066/67,Anaemia,694
Humla,2066/67,"Goitre,Cretinism",16
Humla,2066/67,Diabetic mellitis,3
Humla,2066/67,Obesity,43
Humla,2066/67,Dehydration,2003
Humla,2066/67,Night blindness,222
Jajarkot,2066/67,Malnutrition,925
Jajarkot,2066/67,Avitaminoses and othernnutrideficency,1020
Jajarkot,2066/67,Polyneuritis,743
Jajarkot,2066/67,Anaemia,1030
Jajarkot,2066/67,"Goitre,Cretinism",48
Jajarkot,2066/67,Diabetic mellitis,0
Jajarkot,2066/67,Obesity,0
Jajarkot,2066/67,Dehydration,1594
Jajarkot,2066/67,Night blindness,322
Jumla,2066/67,Malnutrition,265
Jumla,2066/67,Avitaminoses and othernnutrideficency,344
Jumla,2066/67,Polyneuritis,106
Jumla,2066/67,Anaemia,150
Jumla,2066/67,"Goitre,Cretinism",23
Jumla,2066/67,Diabetic mellitis,12
Jumla,2066/67,Obesity,0
Jumla,2066/67,Dehydration,432
Jumla,2066/67,Night blindness,132
Kalikot,2066/67,Malnutrition,598
Kalikot,2066/67,Avitaminoses and othernnutrideficency,614
Kalikot,2066/67,Polyneuritis,439
Kalikot,2066/67,Anaemia,801
Kalikot,2066/67,"Goitre,Cretinism",128
Kalikot,2066/67,Diabetic mellitis,9
Kalikot,2066/67,Obesity,40
Kalikot,2066/67,Dehydration,1138
Kalikot,2066/67,Night blindness,290
Mugu,2066/67,Malnutrition,494
Mugu,2066/67,Avitaminoses and othernnutrideficency,385
Mugu,2066/67,Polyneuritis,190
Mugu,2066/67,Anaemia,401
Mugu,2066/67,"Goitre,Cretinism",0
Mugu,2066/67,Diabetic mellitis,0
Mugu,2066/67,Obesity,4
Mugu,2066/67,Dehydration,565
Mugu,2066/67,Night blindness,100
Pyuthan,2066/67,Malnutrition,276
Pyuthan,2066/67,Avitaminoses and othernnutrideficency,1119
Pyuthan,2066/67,Polyneuritis,671
Pyuthan,2066/67,Anaemia,1347
Pyuthan,2066/67,"Goitre,Cretinism",5
Pyuthan,2066/67,Diabetic mellitis,124
Pyuthan,2066/67,Obesity,2
Pyuthan,2066/67,Dehydration,725
Pyuthan,2066/67,Night blindness,24
Rolpa,2066/67,Malnutrition,340
Rolpa,2066/67,Avitaminoses and othernnutrideficency,845
Rolpa,2066/67,Polyneuritis,682
Rolpa,2066/67,Anaemia,1143
Rolpa,2066/67,"Goitre,Cretinism",9
Rolpa,2066/67,Diabetic mellitis,10
Rolpa,2066/67,Obesity,4
Rolpa,2066/67,Dehydration,1529
Rolpa,2066/67,Night blindness,83
Rukum,2066/67,Malnutrition,621
Rukum,2066/67,Avitaminoses and othernnutrideficency,1739
Rukum,2066/67,Polyneuritis,1625
Rukum,2066/67,Anaemia,1186
Rukum,2066/67,"Goitre,Cretinism",9
Rukum,2066/67,Diabetic mellitis,66
Rukum,2066/67,Obesity,55
Rukum,2066/67,Dehydration,2211
Rukum,2066/67,Night blindness,315
Salyan,2066/67,Malnutrition,312
Salyan,2066/67,Avitaminoses and othernnutrideficency,1598
Salyan,2066/67,Polyneuritis,1170
Salyan,2066/67,Anaemia,1242
Salyan,2066/67,"Goitre,Cretinism",6
Salyan,2066/67,Diabetic mellitis,81
Salyan,2066/67,Obesity,12
Salyan,2066/67,Dehydration,1636
Salyan,2066/67,Night blindness,163
Surkhet,2066/67,Malnutrition,519
Surkhet,2066/67,Avitaminoses and othernnutrideficency,3089
Surkhet,2066/67,Polyneuritis,3776
Surkhet,2066/67,Anaemia,1899
Surkhet,2066/67,"Goitre,Cretinism",602
Surkhet,2066/67,Diabetic mellitis,41
Surkhet,2066/67,Obesity,77
Surkhet,2066/67,Dehydration,5166
Surkhet,2066/67,Night blindness,155
Achham,2066/67,Malnutrition,1473
Achham,2066/67,Avitaminoses and othernnutrideficency,2198
Achham,2066/67,Polyneuritis,769
Achham,2066/67,Anaemia,2205
Achham,2066/67,"Goitre,Cretinism",50
Achham,2066/67,Diabetic mellitis,180
Achham,2066/67,Obesity,186
Achham,2066/67,Dehydration,3878
Achham,2066/67,Night blindness,376
Baitadi,2066/67,Malnutrition,359
Baitadi,2066/67,Avitaminoses and othernnutrideficency,682
Baitadi,2066/67,Polyneuritis,553
Baitadi,2066/67,Anaemia,1467
Baitadi,2066/67,"Goitre,Cretinism",22
Baitadi,2066/67,Diabetic mellitis,68
Baitadi,2066/67,Obesity,12
Baitadi,2066/67,Dehydration,1606
Baitadi,2066/67,Night blindness,250
Bajhang,2066/67,Malnutrition,489
Bajhang,2066/67,Avitaminoses and othernnutrideficency,493
Bajhang,2066/67,Polyneuritis,611
Bajhang,2066/67,Anaemia,711
Bajhang,2066/67,"Goitre,Cretinism",25
Bajhang,2066/67,Diabetic mellitis,1
Bajhang,2066/67,Obesity,13
Bajhang,2066/67,Dehydration,1100
Bajhang,2066/67,Night blindness,337
Bajura,2066/67,Malnutrition,1096
Bajura,2066/67,Avitaminoses and othernnutrideficency,1373
Bajura,2066/67,Polyneuritis,535
Bajura,2066/67,Anaemia,662
Bajura,2066/67,"Goitre,Cretinism",0
Bajura,2066/67,Diabetic mellitis,2
Bajura,2066/67,Obesity,235
Bajura,2066/67,Dehydration,1852
Bajura,2066/67,Night blindness,446
Dadeldhura,2066/67,Malnutrition,427
Dadeldhura,2066/67,Avitaminoses and othernnutrideficency,1322
Dadeldhura,2066/67,Polyneuritis,395
Dadeldhura,2066/67,Anaemia,1007
Dadeldhura,2066/67,"Goitre,Cretinism",46
Dadeldhura,2066/67,Diabetic mellitis,372
Dadeldhura,2066/67,Obesity,21
