District,Year,Vaccine,Dropout Rate
Sarlahi,2066/67,DPT1 Vs DPT-3,11.29
Sarlahi,2066/67,Polio1 Vs Polio-3,11.99
Sindhuli,2066/67,BCG Vs Measles,10.1
Sindhuli,2066/67,DPT1 Vs DPT-3,7.57
Sindhuli,2066/67,Polio1 Vs Polio-3,6.48
Sindhupalchowk,2066/67,BCG Vs Measles,-6.06
Sindhupalchowk,2066/67,DPT1 Vs DPT-3,1.89
Sindhupalchowk,2066/67,Polio1 Vs Polio-3,1.79
Arghakhanchi,2066/67,BCG Vs Measles,0.54
Arghakhanchi,2066/67,DPT1 Vs DPT-3,2.14
Arghakhanchi,2066/67,Polio1 Vs Polio-3,1.22
Baglung,2066/67,BCG Vs Measles,5.86
Baglung,2066/67,DPT1 Vs DPT-3,7.87
Baglung,2066/67,Polio1 Vs Polio-3,7
Gorkha,2066/67,BCG Vs Measles,7.64
Gorkha,2066/67,DPT1 Vs DPT-3,3.58
Gorkha,2066/67,Polio1 Vs Polio-3,2.88
Gulmi,2066/67,BCG Vs Measles,-2.87
Gulmi,2066/67,DPT1 Vs DPT-3,3.41
Gulmi,2066/67,Polio1 Vs Polio-3,2.14
Kapilvastu,2066/67,BCG Vs Measles,10.99
Kapilvastu,2066/67,DPT1 Vs DPT-3,6.72
Kapilvastu,2066/67,Polio1 Vs Polio-3,6.86
Kaski,2066/67,BCG Vs Measles,12.99
Kaski,2066/67,DPT1 Vs DPT-3,2.55
Kaski,2066/67,Polio1 Vs Polio-3,3.03
Lamjung,2066/67,BCG Vs Measles,3.72
Lamjung,2066/67,DPT1 Vs DPT-3,2.6
Lamjung,2066/67,Polio1 Vs Polio-3,3.63
Manang,2066/67,BCG Vs Measles,24.72
Manang,2066/67,DPT1 Vs DPT-3,26.74
Manang,2066/67,Polio1 Vs Polio-3,28.24
Mustang,2066/67,BCG Vs Measles,2.08
Mustang,2066/67,DPT1 Vs DPT-3,17.86
Mustang,2066/67,Polio1 Vs Polio-3,17.86
Myagdi,2066/67,BCG Vs Measles,10.68
Myagdi,2066/67,DPT1 Vs DPT-3,3.76
Myagdi,2066/67,Polio1 Vs Polio-3,1.94
Nawalparasi,2066/67,BCG Vs Measles,0.78
Nawalparasi,2066/67,DPT1 Vs DPT-3,2.82
Nawalparasi,2066/67,Polio1 Vs Polio-3,2.84
Palpa,2066/67,BCG Vs Measles,10.62
Palpa,2066/67,DPT1 Vs DPT-3,4.15
Palpa,2066/67,Polio1 Vs Polio-3,0.75
Parbat,2066/67,BCG Vs Measles,1.68
Parbat,2066/67,DPT1 Vs DPT-3,2.26
Parbat,2066/67,Polio1 Vs Polio-3,1.23
Rupandehi,2066/67,BCG Vs Measles,11.5
Rupandehi,2066/67,DPT1 Vs DPT-3,3.03
Rupandehi,2066/67,Polio1 Vs Polio-3,3.03
Syangja,2066/67,BCG Vs Measles,-0.27
Syangja,2066/67,DPT1 Vs DPT-3,4.12
Syangja,2066/67,Polio1 Vs Polio-3,3.64
Tanahu,2066/67,BCG Vs Measles,5.07
Tanahu,2066/67,DPT1 Vs DPT-3,7.06
Tanahu,2066/67,Polio1 Vs Polio-3,6.27
Banke,2066/67,BCG Vs Measles,21.16
Banke,2066/67,DPT1 Vs DPT-3,10.41
Banke,2066/67,Polio1 Vs Polio-3,9.04
Bardiya,2066/67,BCG Vs Measles,-2.45
Bardiya,2066/67,DPT1 Vs DPT-3,6.86
Bardiya,2066/67,Polio1 Vs Polio-3,5.57
Dailekh,2066/67,BCG Vs Measles,4.9
Dailekh,2066/67,DPT1 Vs DPT-3,7.65
Dailekh,2066/67,Polio1 Vs Polio-3,7.65
Dang,2066/67,BCG Vs Measles,2.17
Dang,2066/67,DPT1 Vs DPT-3,2.96
Dang,2066/67,Polio1 Vs Polio-3,3.68
Dolpa,2066/67,BCG Vs Measles,6.88
Dolpa,2066/67,DPT1 Vs DPT-3,19.01
Dolpa,2066/67,Polio1 Vs Polio-3,17.99
Humla,2066/67,BCG Vs Measles,7.86
Humla,2066/67,DPT1 Vs DPT-3,23.93
Humla,2066/67,Polio1 Vs Polio-3,25.7
Jajarkot,2066/67,BCG Vs Measles,-2.96
Jajarkot,2066/67,DPT1 Vs DPT-3,2.9
Jajarkot,2066/67,Polio1 Vs Polio-3,3.47
Jumla,2066/67,BCG Vs Measles,6.51
Jumla,2066/67,DPT1 Vs DPT-3,12.21
Jumla,2066/67,Polio1 Vs Polio-3,9.84
Kalikot,2066/67,BCG Vs Measles,14.05
Kalikot,2066/67,DPT1 Vs DPT-3,20.02
Kalikot,2066/67,Polio1 Vs Polio-3,11.77
Mugu,2066/67,BCG Vs Measles,25.5
Mugu,2066/67,DPT1 Vs DPT-3,35.99
Mugu,2066/67,Polio1 Vs Polio-3,54.58
Pyuthan,2066/67,BCG Vs Measles,3.34
Pyuthan,2066/67,DPT1 Vs DPT-3,5.35
Pyuthan,2066/67,Polio1 Vs Polio-3,3.5
Rolpa,2066/67,BCG Vs Measles,4.67
Rolpa,2066/67,DPT1 Vs DPT-3,9.13
Rolpa,2066/67,Polio1 Vs Polio-3,25.69
Rukum,2066/67,BCG Vs Measles,16.97
Rukum,2066/67,DPT1 Vs DPT-3,14.59
Rukum,2066/67,Polio1 Vs Polio-3,12.58
Salyan,2066/67,BCG Vs Measles,0.89
Salyan,2066/67,DPT1 Vs DPT-3,16.51
Salyan,2066/67,Polio1 Vs Polio-3,10.59
Surkhet,2066/67,BCG Vs Measles,7.16
Surkhet,2066/67,DPT1 Vs DPT-3,8.14
Surkhet,2066/67,Polio1 Vs Polio-3,7.34
Achham,2066/67,BCG Vs Measles,3.31
Achham,2066/67,DPT1 Vs DPT-3,-1.91
Achham,2066/67,Polio1 Vs Polio-3,-1.23
Baitadi,2066/67,BCG Vs Measles,9.32
Baitadi,2066/67,DPT1 Vs DPT-3,6.1
Baitadi,2066/67,Polio1 Vs Polio-3,5.98
Bajhang,2066/67,BCG Vs Measles,14.75
Bajhang,2066/67,DPT1 Vs DPT-3,18.01
Bajhang,2066/67,Polio1 Vs Polio-3,12.05
Bajura,2066/67,BCG Vs Measles,22.33
Bajura,2066/67,DPT1 Vs DPT-3,9.9
Bajura,2066/67,Polio1 Vs Polio-3,12.91
Dadeldhura,2066/67,BCG Vs Measles,15.49
Dadeldhura,2066/67,DPT1 Vs DPT-3,11.1
Dadeldhura,2066/67,Polio1 Vs Polio-3,11.53
Darchula,2066/67,BCG Vs Measles,-3.03
Darchula,2066/67,DPT1 Vs DPT-3,4.54
Darchula,2066/67,Polio1 Vs Polio-3,5.2
Doti,2066/67,BCG Vs Measles,10.93
Doti,2066/67,DPT1 Vs DPT-3,11.51
Doti,2066/67,Polio1 Vs Polio-3,10.17
Kailali,2066/67,BCG Vs Measles,4.15
Kailali,2066/67,DPT1 Vs DPT-3,7.83
Kailali,2066/67,Polio1 Vs Polio-3,7.44
Kanchanpur,2066/67,BCG Vs Measles,3.36
Kanchanpur,2066/67,DPT1 Vs DPT-3,6.33
Kanchanpur,2066/67,Polio1 Vs Polio-3,5.45
Taplejung,2067/68,BCG Vs Measles,2.96
Taplejung,2067/68,DPT1 Vs DPT-3,1.08
Taplejung,2067/68,Polio1 Vs Polio-3,1.01
Panchthar,2067/68,BCG Vs Measles,2.55
Panchthar,2067/68,DPT1 Vs DPT-3,-3.85
Panchthar,2067/68,Polio1 Vs Polio-3,-3.59
Ilam,2067/68,BCG Vs Measles,10.19
Ilam,2067/68,DPT1 Vs DPT-3,-3.7
Ilam,2067/68,Polio1 Vs Polio-3,-3.7
Jhapa,2067/68,BCG Vs Measles,-16.99
Jhapa,2067/68,DPT1 Vs DPT-3,2.54
Jhapa,2067/68,Polio1 Vs Polio-3,-0.01
Morang,2067/68,BCG Vs Measles,12.97
Morang,2067/68,DPT1 Vs DPT-3,-1.17
Morang,2067/68,Polio1 Vs Polio-3,-1.17
Sunsari,2067/68,BCG Vs Measles,12.94
Sunsari,2067/68,DPT1 Vs DPT-3,0.71
Sunsari,2067/68,Polio1 Vs Polio-3,0.71
Dhankuta,2067/68,BCG Vs Measles,8.79
Dhankuta,2067/68,DPT1 Vs DPT-3,-3.8
Dhankuta,2067/68,Polio1 Vs Polio-3,-3.49
Teharthum,2067/68,BCG Vs Measles,2.42
Teharthum,2067/68,DPT1 Vs DPT-3,-4.33
Teharthum,2067/68,Polio1 Vs Polio-3,-4.33
Sankhuwasabha,2067/68,BCG Vs Measles,3.65
Sankhuwasabha,2067/68,DPT1 Vs DPT-3,-3.58
Sankhuwasabha,2067/68,Polio1 Vs Polio-3,-3.58
Bhojpur,2067/68,BCG Vs Measles,1.2
Bhojpur,2067/68,DPT1 Vs DPT-3,-8.81
Bhojpur,2067/68,Polio1 Vs Polio-3,-8.56
Solukhumbu,2067/68,BCG Vs Measles,11.93
Solukhumbu,2067/68,DPT1 Vs DPT-3,3.27
Solukhumbu,2067/68,Polio1 Vs Polio-3,3.27
Okhaldhunga,2067/68,BCG Vs Measles,12.22
Okhaldhunga,2067/68,DPT1 Vs DPT-3,-12.17
Okhaldhunga,2067/68,Polio1 Vs Polio-3,-2.63
Khotang,2067/68,BCG Vs Measles,7.73
Khotang,2067/68,DPT1 Vs DPT-3,0.24
Khotang,2067/68,Polio1 Vs Polio-3,-0.5
Udaypur,2067/68,BCG Vs Measles,10.08
Udaypur,2067/68,DPT1 Vs DPT-3,2.94
Udaypur,2067/68,Polio1 Vs Polio-3,2.16
Saptari,2067/68,BCG Vs Measles,13.37
Saptari,2067/68,DPT1 Vs DPT-3,1.59
Saptari,2067/68,Polio1 Vs Polio-3,3.1
Siraha,2067/68,BCG Vs Measles,3.67
Siraha,2067/68,DPT1 Vs DPT-3,4.28
Siraha,2067/68,Polio1 Vs Polio-3,4.28
Dhanusha,2067/68,BCG Vs Measles,20.08
Dhanusha,2067/68,DPT1 Vs DPT-3,3.4
Dhanusha,2067/68,Polio1 Vs Polio-3,4.81
Mahottari,2067/68,BCG Vs Measles,8.49
Mahottari,2067/68,DPT1 Vs DPT-3,2.35
Mahottari,2067/68,Polio1 Vs Polio-3,1.6
Sarlahi,2067/68,BCG Vs Measles,9.01
Sarlahi,2067/68,DPT1 Vs DPT-3,8.41
Sarlahi,2067/68,Polio1 Vs Polio-3,66.87
Sindhuli,2067/68,BCG Vs Measles,12.27
Sindhuli,2067/68,DPT1 Vs DPT-3,-0.56
Sindhuli,2067/68,Polio1 Vs Polio-3,-0.87
Ramechhap,2067/68,BCG Vs Measles,-4.38
Ramechhap,2067/68,DPT1 Vs DPT-3,-10.7
Ramechhap,2067/68,Polio1 Vs Polio-3,-11.18
Dolkha,2067/68,BCG Vs Measles,-2.13
Dolkha,2067/68,DPT1 Vs DPT-3,-5.1
Dolkha,2067/68,Polio1 Vs Polio-3,-4.71
Sindhupalchowk,2067/68,BCG Vs Measles,-5.3
Sindhupalchowk,2067/68,DPT1 Vs DPT-3,-3.6
Sindhupalchowk,2067/68,Polio1 Vs Polio-3,-3.41
Kavre,2067/68,BCG Vs Measles,0.9
Kavre,2067/68,DPT1 Vs DPT-3,-5.83
Kavre,2067/68,Polio1 Vs Polio-3,-5.6
Lalitpur,2067/68,BCG Vs Measles,25.33
Lalitpur,2067/68,DPT1 Vs DPT-3,1.91
Lalitpur,2067/68,Polio1 Vs Polio-3,-3.95
Bhaktapur,2067/68,BCG Vs Measles,-37.92
Bhaktapur,2067/68,DPT1 Vs DPT-3,-8.74
Bhaktapur,2067/68,Polio1 Vs Polio-3,-8.96
Kathmandu,2067/68,BCG Vs Measles,29.72
Kathmandu,2067/68,DPT1 Vs DPT-3,-5.24
Kathmandu,2067/68,Polio1 Vs Polio-3,-6.47
Nuwakot,2067/68,BCG Vs Measles,0.78
Nuwakot,2067/68,DPT1 Vs DPT-3,0.08
Nuwakot,2067/68,Polio1 Vs Polio-3,0.08
Rasuwa,2067/68,BCG Vs Measles,1.83
Rasuwa,2067/68,DPT1 Vs DPT-3,-1.21
Rasuwa,2067/68,Polio1 Vs Polio-3,-1.21
Dhading,2067/68,BCG Vs Measles,2.25
Dhading,2067/68,DPT1 Vs DPT-3,-3.52
Dhading,2067/68,Polio1 Vs Polio-3,-4.3
Makawanpur,2067/68,BCG Vs Measles,9.59
Makawanpur,2067/68,DPT1 Vs DPT-3,-2.07
Makawanpur,2067/68,Polio1 Vs Polio-3,-2.09
Rautahat,2067/68,BCG Vs Measles,13.02
Rautahat,2067/68,DPT1 Vs DPT-3,1.01
Rautahat,2067/68,Polio1 Vs Polio-3,1.71
Bara,2067/68,BCG Vs Measles,7.02
Bara,2067/68,DPT1 Vs DPT-3,-1.32
Bara,2067/68,Polio1 Vs Polio-3,-1.27
Parsa,2067/68,BCG Vs Measles,13.4
Parsa,2067/68,DPT1 Vs DPT-3,76.45
Parsa,2067/68,Polio1 Vs Polio-3,66.7
Chitwan,2067/68,BCG Vs Measles,18.3
Chitwan,2067/68,DPT1 Vs DPT-3,-1.52
Chitwan,2067/68,Polio1 Vs Polio-3,8.96
Gorkha,2067/68,BCG Vs Measles,6.59
Gorkha,2067/68,DPT1 Vs DPT-3,-0.67
Gorkha,2067/68,Polio1 Vs Polio-3,-0.79
Lamjung,2067/68,BCG Vs Measles,-2.45
Lamjung,2067/68,DPT1 Vs DPT-3,-4
Lamjung,2067/68,Polio1 Vs Polio-3,-4
Tanahu,2067/68,BCG Vs Measles,3.36
Tanahu,2067/68,DPT1 Vs DPT-3,-2.31
Tanahu,2067/68,Polio1 Vs Polio-3,-2.29
Syangja,2067/68,BCG Vs Measles,-5.18
Syangja,2067/68,DPT1 Vs DPT-3,-2.3
Syangja,2067/68,Polio1 Vs Polio-3,-1.08
Kaski,2067/68,BCG Vs Measles,31.22
Kaski,2067/68,DPT1 Vs DPT-3,-6.39
Kaski,2067/68,Polio1 Vs Polio-3,-6.34
Manang,2067/68,BCG Vs Measles,-56.92
Manang,2067/68,DPT1 Vs DPT-3,-45.35
Manang,2067/68,Polio1 Vs Polio-3,-45.35
Mustang,2067/68,BCG Vs Measles,22.89
Mustang,2067/68,DPT1 Vs DPT-3,8.06
Mustang,2067/68,Polio1 Vs Polio-3,8.06
Myagdi,2067/68,BCG Vs Measles,-3.42
Myagdi,2067/68,DPT1 Vs DPT-3,-1.39
Myagdi,2067/68,Polio1 Vs Polio-3,-0.82
Parbat,2067/68,BCG Vs Measles,0.82
Parbat,2067/68,DPT1 Vs DPT-3,-8.25
Parbat,2067/68,Polio1 Vs Polio-3,-8.16
Baglung,2067/68,BCG Vs Measles,4.91
Baglung,2067/68,DPT1 Vs DPT-3,-3.51
Baglung,2067/68,Polio1 Vs Polio-3,-3.51
Gulmi,2067/68,BCG Vs Measles,2.48
Gulmi,2067/68,DPT1 Vs DPT-3,-5.81
Gulmi,2067/68,Polio1 Vs Polio-3,-5.77
Palpa,2067/68,BCG Vs Measles,16.65
Palpa,2067/68,DPT1 Vs DPT-3,-4.16
Palpa,2067/68,Polio1 Vs Polio-3,-4.16
Nawalparasi,2067/68,BCG Vs Measles,7.48
Nawalparasi,2067/68,DPT1 Vs DPT-3,-2.62
Nawalparasi,2067/68,Polio1 Vs Polio-3,-2.62
Rupandehi,2067/68,BCG Vs Measles,17.32
Rupandehi,2067/68,DPT1 Vs DPT-3,61.09
Rupandehi,2067/68,Polio1 Vs Polio-3,65.23
Kapilvastu,2067/68,BCG Vs Measles,11.56
Kapilvastu,2067/68,DPT1 Vs DPT-3,2.17
Kapilvastu,2067/68,Polio1 Vs Polio-3,2.43
Arghakhanchi,2067/68,BCG Vs Measles,0.3
Arghakhanchi,2067/68,DPT1 Vs DPT-3,-5.19
Arghakhanchi,2067/68,Polio1 Vs Polio-3,-4.5
Pyuthan,2067/68,BCG Vs Measles,3.17
Pyuthan,2067/68,DPT1 Vs DPT-3,0.09
Pyuthan,2067/68,Polio1 Vs Polio-3,0.03
Rolpa,2067/68,BCG Vs Measles,1.17
Rolpa,2067/68,DPT1 Vs DPT-3,-6.58
Rolpa,2067/68,Polio1 Vs Polio-3,-6.87
Rukum,2067/68,BCG Vs Measles,3.76
Rukum,2067/68,DPT1 Vs DPT-3,-3.65
Rukum,2067/68,Polio1 Vs Polio-3,-0.83
Salyan,2067/68,BCG Vs Measles,-2.32
Salyan,2067/68,DPT1 Vs DPT-3,-7.96
Salyan,2067/68,Polio1 Vs Polio-3,-8.01
Dang,2067/68,BCG Vs Measles,5.29
Dang,2067/68,DPT1 Vs DPT-3,2.36
Dang,2067/68,Polio1 Vs Polio-3,2.34
Banke,2067/68,BCG Vs Measles,26.05
Banke,2067/68,DPT1 Vs DPT-3,2.04
Banke,2067/68,Polio1 Vs Polio-3,1.99
Bardiya,2067/68,BCG Vs Measles,-0.92
Bardiya,2067/68,DPT1 Vs DPT-3,-7.79
Bardiya,2067/68,Polio1 Vs Polio-3,-6.74
Surkhet,2067/68,BCG Vs Measles,5.13
Surkhet,2067/68,DPT1 Vs DPT-3,-2.68
Surkhet,2067/68,Polio1 Vs Polio-3,-2.63
Dailekh,2067/68,BCG Vs Measles,5.53
Dailekh,2067/68,DPT1 Vs DPT-3,-7.11
Dailekh,2067/68,Polio1 Vs Polio-3,-7.11
Jajarkot,2067/68,BCG Vs Measles,5.35
Jajarkot,2067/68,DPT1 Vs DPT-3,-1.29
Jajarkot,2067/68,Polio1 Vs Polio-3,-1.11
Dolpa,2067/68,BCG Vs Measles,2.35
Dolpa,2067/68,DPT1 Vs DPT-3,5.16
Dolpa,2067/68,Polio1 Vs Polio-3,5.16
Jumla,2067/68,BCG Vs Measles,19.36
Jumla,2067/68,DPT1 Vs DPT-3,-0.47
Jumla,2067/68,Polio1 Vs Polio-3,2.1
Kalikot,2067/68,BCG Vs Measles,17.65
Kalikot,2067/68,DPT1 Vs DPT-3,4.17
Kalikot,2067/68,Polio1 Vs Polio-3,2.27
Mugu,2067/68,BCG Vs Measles,22.18
Mugu,2067/68,DPT1 Vs DPT-3,30.49
Mugu,2067/68,Polio1 Vs Polio-3,26.85
Humla,2067/68,BCG Vs Measles,6.06
Humla,2067/68,DPT1 Vs DPT-3,4.52
Humla,2067/68,Polio1 Vs Polio-3,4.52
Bajura,2067/68,BCG Vs Measles,4.93
Bajura,2067/68,DPT1 Vs DPT-3,-4.01
Bajura,2067/68,Polio1 Vs Polio-3,-3.94
Bajhang,2067/68,BCG Vs Measles,15.5
Bajhang,2067/68,DPT1 Vs DPT-3,-1.49
Bajhang,2067/68,Polio1 Vs Polio-3,-1.62
Achham,2067/68,BCG Vs Measles,5
Achham,2067/68,DPT1 Vs DPT-3,-0.13
Achham,2067/68,Polio1 Vs Polio-3,-0.11
Doti,2067/68,BCG Vs Measles,10.2
Doti,2067/68,DPT1 Vs DPT-3,-1.63
Doti,2067/68,Polio1 Vs Polio-3,-1.77
Kailali,2067/68,BCG Vs Measles,1.98
Kailali,2067/68,DPT1 Vs DPT-3,-6.85
Kailali,2067/68,Polio1 Vs Polio-3,-6.85
Kanchanpur,2067/68,BCG Vs Measles,5.9
Kanchanpur,2067/68,DPT1 Vs DPT-3,-6.8
Kanchanpur,2067/68,Polio1 Vs Polio-3,-6.98
Dadeldhura,2067/68,BCG Vs Measles,17.78
Dadeldhura,2067/68,DPT1 Vs DPT-3,1.7
Dadeldhura,2067/68,Polio1 Vs Polio-3,1.7
Baitadi,2067/68,BCG Vs Measles,3.74
Baitadi,2067/68,DPT1 Vs DPT-3,-5.94
Baitadi,2067/68,Polio1 Vs Polio-3,-6.06
Darchula,2067/68,BCG Vs Measles,4.93
Darchula,2067/68,DPT1 Vs DPT-3,-3.01
Darchula,2067/68,Polio1 Vs Polio-3,-3.81
Taplejung,2068/69,"BCG Vs
Measles",2.06
Taplejung,2068/69,"DPT1 Vs
DPT3",4.68
Taplejung,2068/69,"Polio1 Vs
Polio3",4.68
Panchthar,2068/69,"BCG Vs
Measles",3.42
Panchthar,2068/69,"DPT1 Vs
DPT3",0.68
Panchthar,2068/69,"Polio1 Vs
Polio3",0.76
Ilam,2068/69,"BCG Vs
Measles",8.34
Ilam,2068/69,"DPT1 Vs
DPT3",1.53
Ilam,2068/69,"Polio1 Vs
Polio3",1.53
Jhapa,2068/69,"BCG Vs
Measles",-10.89
Jhapa,2068/69,"DPT1 Vs
DPT3",2.5
Jhapa,2068/69,"Polio1 Vs
Polio3",2.52
Morang,2068/69,"BCG Vs
Measles",14.96
Morang,2068/69,"DPT1 Vs
DPT3",-1.09
Morang,2068/69,"Polio1 Vs
Polio3",-1.09
Sunsari,2068/69,"BCG Vs
Measles",12.36
Sunsari,2068/69,"DPT1 Vs
DPT3",2.92
Sunsari,2068/69,"Polio1 Vs
Polio3",2.92
Dhankuta,2068/69,"BCG Vs
Measles",1.69
Dhankuta,2068/69,"DPT1 Vs
DPT3",0.44
Dhankuta,2068/69,"Polio1 Vs
Polio3",-0.08
Teharthum,2068/69,"BCG Vs
Measles",1.35
Teharthum,2068/69,"DPT1 Vs
DPT3",0.32
Teharthum,2068/69,"Polio1 Vs
Polio3",0.36
Sankhuwasabha,2068/69,"BCG Vs
Measles",2.68
Sankhuwasabha,2068/69,"DPT1 Vs
DPT3",3.05
Sankhuwasabha,2068/69,"Polio1 Vs
Polio3",2.77
Bhojpur,2068/69,"BCG Vs
Measles",5.46
Bhojpur,2068/69,"DPT1 Vs
DPT3",0.33
Bhojpur,2068/69,"Polio1 Vs
Polio3",0.08
Solukhumbu,2068/69,"BCG Vs
Measles",1.7
Solukhumbu,2068/69,"DPT1 Vs
DPT3",0.34
Solukhumbu,2068/69,"Polio1 Vs
Polio3",-0.19
Okhaldhunga,2068/69,"BCG Vs
Measles",11.14
Okhaldhunga,2068/69,"DPT1 Vs
DPT3",3.78
Okhaldhunga,2068/69,"Polio1 Vs
Polio3",12.76
Khotang,2068/69,"BCG Vs
Measles",6.64
Khotang,2068/69,"DPT1 Vs
DPT3",5.23
Khotang,2068/69,"Polio1 Vs
Polio3",5.04
Udaypur,2068/69,"BCG Vs
Measles",9.75
Udaypur,2068/69,"DPT1 Vs
DPT3",3.5
Udaypur,2068/69,"Polio1 Vs
Polio3",3.5
Saptari,2068/69,"BCG Vs
Measles",11.26
Saptari,2068/69,"DPT1 Vs
DPT3",1.23
Saptari,2068/69,"Polio1 Vs
Polio3",1.3
Siraha,2068/69,"BCG Vs
Measles",8.84
Siraha,2068/69,"DPT1 Vs
DPT3",3.72
Siraha,2068/69,"Polio1 Vs
Polio3",3.72
