Year AD,Year BS,District,zone,belt,region,Type of disease,Number of patient,Zone,Belt,Region
2011/012,2068/69,Ilam,Mechi,Hill,Eastern,Acute gastro enteritis,1387,Mechi,Hill,Eastern
2011/012,2068/69,Ilam,Mechi,Hill,Eastern,Ameobic Dysentry,2272,Mechi,Hill,Eastern
2011/012,2068/69,Ilam,Mechi,Hill,Eastern,Baccilary Dysentry,644,Mechi,Hill,Eastern
2011/012,2068/69,Ilam,Mechi,Hill,Eastern,"Presumed non infectious
diarrhoea",3424,Mechi,Hill,Eastern
2011/012,2068/69,Ilam,Mechi,Hill,Eastern,Cholera,10,Mechi,Hill,Eastern
2011/012,2068/69,Ilam,Mechi,Hill,Eastern,Intestinal Worms,6762,Mechi,Hill,Eastern
2011/012,2068/69,Ilam,Mechi,Hill,Eastern,"Jaundice and Infective
Hepatitis",398,Mechi,Hill,Eastern
2011/012,2068/69,Jhapa,Mechi,Terai,Eastern,Typhoid (Enteric Fever),14678,Mechi,Terai,Eastern
2011/012,2068/69,Jhapa,Mechi,Terai,Eastern,Acute gastro enteritis,8287,Mechi,Terai,Eastern
2011/012,2068/69,Jhapa,Mechi,Terai,Eastern,Ameobic Dysentry,12458,Mechi,Terai,Eastern
2011/012,2068/69,Jhapa,Mechi,Terai,Eastern,Baccilary Dysentry,5932,Mechi,Terai,Eastern
2011/012,2068/69,Jhapa,Mechi,Terai,Eastern,"Presumed non infectious
diarrhoea",7293,Mechi,Terai,Eastern
2011/012,2068/69,Jhapa,Mechi,Terai,Eastern,Cholera,232,Mechi,Terai,Eastern
2011/012,2068/69,Jhapa,Mechi,Terai,Eastern,Intestinal Worms,24981,Mechi,Terai,Eastern
2011/012,2068/69,Jhapa,Mechi,Terai,Eastern,"Jaundice and Infective
Hepatitis",1978,Mechi,Terai,Eastern
2011/012,2068/69,Morang,Kosi,Terai,Eastern,Typhoid (Enteric Fever),13635,Kosi,Terai,Eastern
2011/012,2068/69,Morang,Kosi,Terai,Eastern,Acute gastro enteritis,10937,Kosi,Terai,Eastern
2011/012,2068/69,Morang,Kosi,Terai,Eastern,Ameobic Dysentry,11119,Kosi,Terai,Eastern
2011/012,2068/69,Morang,Kosi,Terai,Eastern,Baccilary Dysentry,6274,Kosi,Terai,Eastern
2011/012,2068/69,Morang,Kosi,Terai,Eastern,"Presumed non infectious
diarrhoea",13085,Kosi,Terai,Eastern
2011/012,2068/69,Morang,Kosi,Terai,Eastern,Cholera,2,Kosi,Terai,Eastern
2011/012,2068/69,Morang,Kosi,Terai,Eastern,Intestinal Worms,18227,Kosi,Terai,Eastern
2011/012,2068/69,Morang,Kosi,Terai,Eastern,"Jaundice and Infective
Hepatitis",1786,Kosi,Terai,Eastern
2011/012,2068/69,Sunsari,Kosi,Terai,Eastern,Typhoid (Enteric Fever),4492,Kosi,Terai,Eastern
2011/012,2068/69,Sunsari,Kosi,Terai,Eastern,Acute gastro enteritis,4172,Kosi,Terai,Eastern
2011/012,2068/69,Sunsari,Kosi,Terai,Eastern,Ameobic Dysentry,14914,Kosi,Terai,Eastern
2011/012,2068/69,Sunsari,Kosi,Terai,Eastern,Baccilary Dysentry,5455,Kosi,Terai,Eastern
2011/012,2068/69,Sunsari,Kosi,Terai,Eastern,"Presumed non infectious
diarrhoea",20654,Kosi,Terai,Eastern
2011/012,2068/69,Sunsari,Kosi,Terai,Eastern,Cholera,0,Kosi,Terai,Eastern
2011/012,2068/69,Sunsari,Kosi,Terai,Eastern,Intestinal Worms,28408,Kosi,Terai,Eastern
2011/012,2068/69,Sunsari,Kosi,Terai,Eastern,"Jaundice and Infective
Hepatitis",398,Kosi,Terai,Eastern
2011/012,2068/69,Dhankuta,Kosi,Hill,Eastern,Typhoid (Enteric Fever),2762,Kosi,Hill,Eastern
2011/012,2068/69,Dhankuta,Kosi,Hill,Eastern,Acute gastro enteritis,838,Kosi,Hill,Eastern
2011/012,2068/69,Dhankuta,Kosi,Hill,Eastern,Ameobic Dysentry,4251,Kosi,Hill,Eastern
2011/012,2068/69,Dhankuta,Kosi,Hill,Eastern,Baccilary Dysentry,736,Kosi,Hill,Eastern
2011/012,2068/69,Dhankuta,Kosi,Hill,Eastern,"Presumed non infectious
diarrhoea",4492,Kosi,Hill,Eastern
2011/012,2068/69,Dhankuta,Kosi,Hill,Eastern,Cholera,0,Kosi,Hill,Eastern
2011/012,2068/69,Dhankuta,Kosi,Hill,Eastern,Intestinal Worms,7348,Kosi,Hill,Eastern
2011/012,2068/69,Dhankuta,Kosi,Hill,Eastern,"Jaundice and Infective
Hepatitis",447,Kosi,Hill,Eastern
2011/012,2068/69,Terhathum,Kosi,Hill,Eastern,Typhoid (Enteric Fever),1819,Kosi,Hill,Eastern
2011/012,2068/69,Terhathum,Kosi,Hill,Eastern,Acute gastro enteritis,964,Kosi,Hill,Eastern
2011/012,2068/69,Terhathum,Kosi,Hill,Eastern,Ameobic Dysentry,2984,Kosi,Hill,Eastern
2011/012,2068/69,Terhathum,Kosi,Hill,Eastern,Baccilary Dysentry,1033,Kosi,Hill,Eastern
2011/012,2068/69,Terhathum,Kosi,Hill,Eastern,"Presumed non infectious
diarrhoea",2037,Kosi,Hill,Eastern
2011/012,2068/69,Terhathum,Kosi,Hill,Eastern,Cholera,2,Kosi,Hill,Eastern
2011/012,2068/69,Terhathum,Kosi,Hill,Eastern,Intestinal Worms,5742,Kosi,Hill,Eastern
2011/012,2068/69,Terhathum,Kosi,Hill,Eastern,"Jaundice and Infective
Hepatitis",355,Kosi,Hill,Eastern
2011/012,2068/69,Sankhuwasabha,Kosi,Mountain,Eastern,Typhoid (Enteric Fever),4742,Kosi,Mountain,Eastern
2011/012,2068/69,Sankhuwasabha,Kosi,Mountain,Eastern,Acute gastro enteritis,1556,Kosi,Mountain,Eastern
2011/012,2068/69,Sankhuwasabha,Kosi,Mountain,Eastern,Ameobic Dysentry,3028,Kosi,Mountain,Eastern
2011/012,2068/69,Sankhuwasabha,Kosi,Mountain,Eastern,Baccilary Dysentry,1064,Kosi,Mountain,Eastern
2011/012,2068/69,Sankhuwasabha,Kosi,Mountain,Eastern,"Presumed non infectious
diarrhoea",6360,Kosi,Mountain,Eastern
2011/012,2068/69,Sankhuwasabha,Kosi,Mountain,Eastern,Cholera,90,Kosi,Mountain,Eastern
2011/012,2068/69,Sankhuwasabha,Kosi,Mountain,Eastern,Intestinal Worms,9654,Kosi,Mountain,Eastern
2011/012,2068/69,Sankhuwasabha,Kosi,Mountain,Eastern,"Jaundice and Infective
Hepatitis",328,Kosi,Mountain,Eastern
2011/012,2068/69,Bhojpur,Kosi,Hill,Eastern,Typhoid (Enteric Fever),4898,Kosi,Hill,Eastern
2011/012,2068/69,Bhojpur,Kosi,Hill,Eastern,Acute gastro enteritis,2537,Kosi,Hill,Eastern
2011/012,2068/69,Bhojpur,Kosi,Hill,Eastern,Ameobic Dysentry,6129,Kosi,Hill,Eastern
2011/012,2068/69,Bhojpur,Kosi,Hill,Eastern,Baccilary Dysentry,2948,Kosi,Hill,Eastern
2011/012,2068/69,Bhojpur,Kosi,Hill,Eastern,"Presumed non infectious
diarrhoea",6545,Kosi,Hill,Eastern
2011/012,2068/69,Bhojpur,Kosi,Hill,Eastern,Cholera,0,Kosi,Hill,Eastern
2011/012,2068/69,Bhojpur,Kosi,Hill,Eastern,Intestinal Worms,8096,Kosi,Hill,Eastern
2011/012,2068/69,Bhojpur,Kosi,Hill,Eastern,"Jaundice and Infective
Hepatitis",538,Kosi,Hill,Eastern
2011/012,2068/69,Solukhumbu,Sagarmatha,Mountain,Eastern,Typhoid (Enteric Fever),1934,Sagarmatha,Mountain,Eastern
2011/012,2068/69,Solukhumbu,Sagarmatha,Mountain,Eastern,Acute gastro enteritis,3214,Sagarmatha,Mountain,Eastern
2011/012,2068/69,Solukhumbu,Sagarmatha,Mountain,Eastern,Ameobic Dysentry,3892,Sagarmatha,Mountain,Eastern
2011/012,2068/69,Solukhumbu,Sagarmatha,Mountain,Eastern,Baccilary Dysentry,2251,Sagarmatha,Mountain,Eastern
2011/012,2068/69,Solukhumbu,Sagarmatha,Mountain,Eastern,"Presumed non infectious
diarrhoea",3491,Sagarmatha,Mountain,Eastern
2011/012,2068/69,Solukhumbu,Sagarmatha,Mountain,Eastern,Cholera,0,Sagarmatha,Mountain,Eastern
2011/012,2068/69,Solukhumbu,Sagarmatha,Mountain,Eastern,Intestinal Worms,10162,Sagarmatha,Mountain,Eastern
2011/012,2068/69,Solukhumbu,Sagarmatha,Mountain,Eastern,"Jaundice and Infective
Hepatitis",345,Sagarmatha,Mountain,Eastern
2011/012,2068/69,Okhaldhunga,Sagarmatha,Hill,Eastern,Typhoid (Enteric Fever),4071,Sagarmatha,Hill,Eastern
2011/012,2068/69,Okhaldhunga,Sagarmatha,Hill,Eastern,Acute gastro enteritis,2589,Sagarmatha,Hill,Eastern
2011/012,2068/69,Okhaldhunga,Sagarmatha,Hill,Eastern,Ameobic Dysentry,4545,Sagarmatha,Hill,Eastern
2011/012,2068/69,Okhaldhunga,Sagarmatha,Hill,Eastern,Baccilary Dysentry,2200,Sagarmatha,Hill,Eastern
2011/012,2068/69,Okhaldhunga,Sagarmatha,Hill,Eastern,"Presumed non infectious
diarrhoea",7985,Sagarmatha,Hill,Eastern
2011/012,2068/69,Okhaldhunga,Sagarmatha,Hill,Eastern,Cholera,0,Sagarmatha,Hill,Eastern
2011/012,2068/69,Okhaldhunga,Sagarmatha,Hill,Eastern,Intestinal Worms,10939,Sagarmatha,Hill,Eastern
2011/012,2068/69,Okhaldhunga,Sagarmatha,Hill,Eastern,"Jaundice and Infective
Hepatitis",93,Sagarmatha,Hill,Eastern
2011/012,2068/69,Khotang,Sagarmatha,Hill,Eastern,Typhoid (Enteric Fever),3699,Sagarmatha,Hill,Eastern
2011/012,2068/69,Khotang,Sagarmatha,Hill,Eastern,Acute gastro enteritis,7651,Sagarmatha,Hill,Eastern
2011/012,2068/69,Khotang,Sagarmatha,Hill,Eastern,Ameobic Dysentry,8594,Sagarmatha,Hill,Eastern
2011/012,2068/69,Khotang,Sagarmatha,Hill,Eastern,Baccilary Dysentry,5028,Sagarmatha,Hill,Eastern
2011/012,2068/69,Khotang,Sagarmatha,Hill,Eastern,"Presumed non infectious
diarrhoea",3187,Sagarmatha,Hill,Eastern
2011/012,2068/69,Khotang,Sagarmatha,Hill,Eastern,Cholera,0,Sagarmatha,Hill,Eastern
2011/012,2068/69,Khotang,Sagarmatha,Hill,Eastern,Intestinal Worms,21198,Sagarmatha,Hill,Eastern
2011/012,2068/69,Khotang,Sagarmatha,Hill,Eastern,"Jaundice and Infective
Hepatitis",534,Sagarmatha,Hill,Eastern
2011/012,2068/69,Udayapur,Sagarmatha,Hill,Eastern,Typhoid (Enteric Fever),6280,Sagarmatha,Hill,Eastern
2011/012,2068/69,Udayapur,Sagarmatha,Hill,Eastern,Acute gastro enteritis,4569,Sagarmatha,Hill,Eastern
2011/012,2068/69,Udayapur,Sagarmatha,Hill,Eastern,Ameobic Dysentry,7637,Sagarmatha,Hill,Eastern
2011/012,2068/69,Udayapur,Sagarmatha,Hill,Eastern,Baccilary Dysentry,3217,Sagarmatha,Hill,Eastern
2011/012,2068/69,Udayapur,Sagarmatha,Hill,Eastern,"Presumed non infectious
diarrhoea",8535,Sagarmatha,Hill,Eastern
2011/012,2068/69,Udayapur,Sagarmatha,Hill,Eastern,Cholera,0,Sagarmatha,Hill,Eastern
2011/012,2068/69,Udayapur,Sagarmatha,Hill,Eastern,Intestinal Worms,14783,Sagarmatha,Hill,Eastern
2011/012,2068/69,Udayapur,Sagarmatha,Hill,Eastern,"Jaundice and Infective
Hepatitis",417,Sagarmatha,Hill,Eastern
2011/012,2068/69,Saptari,Sagarmatha,Terai,Eastern,Typhoid (Enteric Fever),7734,Sagarmatha,Terai,Eastern
2011/012,2068/69,Saptari,Sagarmatha,Terai,Eastern,Acute gastro enteritis,13565,Sagarmatha,Terai,Eastern
2011/012,2068/69,Saptari,Sagarmatha,Terai,Eastern,Ameobic Dysentry,18525,Sagarmatha,Terai,Eastern
2011/012,2068/69,Saptari,Sagarmatha,Terai,Eastern,Baccilary Dysentry,6953,Sagarmatha,Terai,Eastern
2011/012,2068/69,Saptari,Sagarmatha,Terai,Eastern,"Presumed non infectious
diarrhoea",33603,Sagarmatha,Terai,Eastern
2011/012,2068/69,Saptari,Sagarmatha,Terai,Eastern,Cholera,0,Sagarmatha,Terai,Eastern
2011/012,2068/69,Saptari,Sagarmatha,Terai,Eastern,Intestinal Worms,35726,Sagarmatha,Terai,Eastern
2011/012,2068/69,Saptari,Sagarmatha,Terai,Eastern,"Jaundice and Infective
Hepatitis",367,Sagarmatha,Terai,Eastern
2011/012,2068/69,Siraha,Sagarmatha,Terai,Eastern,Typhoid (Enteric Fever),14369,Sagarmatha,Terai,Eastern
2011/012,2068/69,Siraha,Sagarmatha,Terai,Eastern,Acute gastro enteritis,8633,Sagarmatha,Terai,Eastern
2011/012,2068/69,Siraha,Sagarmatha,Terai,Eastern,Ameobic Dysentry,13024,Sagarmatha,Terai,Eastern
2011/012,2068/69,Siraha,Sagarmatha,Terai,Eastern,Baccilary Dysentry,10099,Sagarmatha,Terai,Eastern
2011/012,2068/69,Siraha,Sagarmatha,Terai,Eastern,"Presumed non infectious
diarrhoea",20011,Sagarmatha,Terai,Eastern
2011/012,2068/69,Siraha,Sagarmatha,Terai,Eastern,Cholera,35,Sagarmatha,Terai,Eastern
2011/012,2068/69,Siraha,Sagarmatha,Terai,Eastern,Intestinal Worms,25259,Sagarmatha,Terai,Eastern
2011/012,2068/69,Siraha,Sagarmatha,Terai,Eastern,"Jaundice and Infective
Hepatitis",485,Sagarmatha,Terai,Eastern
2011/012,2068/69,Dhanusa,Janakpur,Terai,Central,Typhoid (Enteric Fever),19257,Janakpur,Terai,Central
2011/012,2068/69,Dhanusa,Janakpur,Terai,Central,Acute gastro enteritis,7817,Janakpur,Terai,Central
2011/012,2068/69,Dhanusa,Janakpur,Terai,Central,Ameobic Dysentry,16229,Janakpur,Terai,Central
2011/012,2068/69,Dhanusa,Janakpur,Terai,Central,Baccilary Dysentry,7542,Janakpur,Terai,Central
2011/012,2068/69,Dhanusa,Janakpur,Terai,Central,"Presumed non infectious
diarrhoea",22765,Janakpur,Terai,Central
2011/012,2068/69,Dhanusa,Janakpur,Terai,Central,Cholera,28,Janakpur,Terai,Central
2011/012,2068/69,Dhanusa,Janakpur,Terai,Central,Intestinal Worms,41443,Janakpur,Terai,Central
2011/012,2068/69,Dhanusa,Janakpur,Terai,Central,"Jaundice and Infective
Hepatitis",693,Janakpur,Terai,Central
2011/012,2068/69,Mahottari,Janakpur,Terai,Central,Typhoid (Enteric Fever),13792,Janakpur,Terai,Central
2011/012,2068/69,Mahottari,Janakpur,Terai,Central,Acute gastro enteritis,7776,Janakpur,Terai,Central
2011/012,2068/69,Mahottari,Janakpur,Terai,Central,Ameobic Dysentry,15202,Janakpur,Terai,Central
2011/012,2068/69,Mahottari,Janakpur,Terai,Central,Baccilary Dysentry,7152,Janakpur,Terai,Central
2011/012,2068/69,Mahottari,Janakpur,Terai,Central,"Presumed non infectious
diarrhoea",14873,Janakpur,Terai,Central
2011/012,2068/69,Mahottari,Janakpur,Terai,Central,Cholera,0,Janakpur,Terai,Central
2011/012,2068/69,Mahottari,Janakpur,Terai,Central,Intestinal Worms,31481,Janakpur,Terai,Central
2011/012,2068/69,Mahottari,Janakpur,Terai,Central,"Jaundice and Infective
Hepatitis",622,Janakpur,Terai,Central
2011/012,2068/69,Sarlahi,Janakpur,Terai,Central,Typhoid (Enteric Fever),17355,Janakpur,Terai,Central
2011/012,2068/69,Sarlahi,Janakpur,Terai,Central,Acute gastro enteritis,13366,Janakpur,Terai,Central
2011/012,2068/69,Sarlahi,Janakpur,Terai,Central,Ameobic Dysentry,28020,Janakpur,Terai,Central
2011/012,2068/69,Sarlahi,Janakpur,Terai,Central,Baccilary Dysentry,10466,Janakpur,Terai,Central
2011/012,2068/69,Sarlahi,Janakpur,Terai,Central,"Presumed non infectious
diarrhoea",20928,Janakpur,Terai,Central
2011/012,2068/69,Sarlahi,Janakpur,Terai,Central,Cholera,0,Janakpur,Terai,Central
2011/012,2068/69,Sarlahi,Janakpur,Terai,Central,Intestinal Worms,36744,Janakpur,Terai,Central
2011/012,2068/69,Sarlahi,Janakpur,Terai,Central,"Jaundice and Infective
Hepatitis",1108,Janakpur,Terai,Central
2011/012,2068/69,Sindhuli,Janakpur,Hill,Central,Typhoid (Enteric Fever),7900,Janakpur,Hill,Central
2011/012,2068/69,Sindhuli,Janakpur,Hill,Central,Acute gastro enteritis,3179,Janakpur,Hill,Central
2011/012,2068/69,Sindhuli,Janakpur,Hill,Central,Ameobic Dysentry,5111,Janakpur,Hill,Central
2011/012,2068/69,Sindhuli,Janakpur,Hill,Central,Baccilary Dysentry,1943,Janakpur,Hill,Central
2011/012,2068/69,Sindhuli,Janakpur,Hill,Central,"Presumed non infectious
diarrhoea",4344,Janakpur,Hill,Central
2011/012,2068/69,Sindhuli,Janakpur,Hill,Central,Cholera,10,Janakpur,Hill,Central
2011/012,2068/69,Sindhuli,Janakpur,Hill,Central,Intestinal Worms,7817,Janakpur,Hill,Central
2011/012,2068/69,Sindhuli,Janakpur,Hill,Central,"Jaundice and Infective
Hepatitis",251,Janakpur,Hill,Central
2011/012,2068/69,Ramechhap,Janakpur,Hill,Central,Typhoid (Enteric Fever),4372,Janakpur,Hill,Central
2011/012,2068/69,Ramechhap,Janakpur,Hill,Central,Acute gastro enteritis,1942,Janakpur,Hill,Central
2011/012,2068/69,Ramechhap,Janakpur,Hill,Central,Ameobic Dysentry,4010,Janakpur,Hill,Central
2011/012,2068/69,Ramechhap,Janakpur,Hill,Central,Baccilary Dysentry,1856,Janakpur,Hill,Central
2011/012,2068/69,Ramechhap,Janakpur,Hill,Central,"Presumed non infectious
diarrhoea",8141,Janakpur,Hill,Central
2011/012,2068/69,Ramechhap,Janakpur,Hill,Central,Cholera,0,Janakpur,Hill,Central
2011/012,2068/69,Ramechhap,Janakpur,Hill,Central,Intestinal Worms,5751,Janakpur,Hill,Central
2011/012,2068/69,Ramechhap,Janakpur,Hill,Central,"Jaundice and Infective
Hepatitis",646,Janakpur,Hill,Central
2011/012,2068/69,Dolakha,Janakpur,Mountain,Central,Typhoid (Enteric Fever),3709,Janakpur,Mountain,Central
2011/012,2068/69,Dolakha,Janakpur,Mountain,Central,Acute gastro enteritis,1587,Janakpur,Mountain,Central
2011/012,2068/69,Dolakha,Janakpur,Mountain,Central,Ameobic Dysentry,4466,Janakpur,Mountain,Central
2011/012,2068/69,Dolakha,Janakpur,Mountain,Central,Baccilary Dysentry,2151,Janakpur,Mountain,Central
2011/012,2068/69,Dolakha,Janakpur,Mountain,Central,"Presumed non infectious
diarrhoea",9200,Janakpur,Mountain,Central
2011/012,2068/69,Dolakha,Janakpur,Mountain,Central,Cholera,0,Janakpur,Mountain,Central
2011/012,2068/69,Dolakha,Janakpur,Mountain,Central,Intestinal Worms,9075,Janakpur,Mountain,Central
2011/012,2068/69,Dolakha,Janakpur,Mountain,Central,"Jaundice and Infective
Hepatitis",387,Janakpur,Mountain,Central
2011/012,2068/69,Sindhupalchok,Bagmati,Mountain,Central,Typhoid (Enteric Fever),7819,Bagmati,Mountain,Central
2011/012,2068/69,Sindhupalchok,Bagmati,Mountain,Central,Acute gastro enteritis,3466,Bagmati,Mountain,Central
2011/012,2068/69,Sindhupalchok,Bagmati,Mountain,Central,Ameobic Dysentry,7927,Bagmati,Mountain,Central
2011/012,2068/69,Sindhupalchok,Bagmati,Mountain,Central,Baccilary Dysentry,2915,Bagmati,Mountain,Central
2011/012,2068/69,Sindhupalchok,Bagmati,Mountain,Central,"Presumed non infectious
diarrhoea",9037,Bagmati,Mountain,Central
2011/012,2068/69,Sindhupalchok,Bagmati,Mountain,Central,Cholera,0,Bagmati,Mountain,Central
2011/012,2068/69,Sindhupalchok,Bagmati,Mountain,Central,Intestinal Worms,6857,Bagmati,Mountain,Central
2011/012,2068/69,Sindhupalchok,Bagmati,Mountain,Central,"Jaundice and Infective
Hepatitis",524,Bagmati,Mountain,Central
2011/012,2068/69,Kavre,Bagmati,Hill,Central,Typhoid (Enteric Fever),9872,Bagmati,Hill,Central
2011/012,2068/69,Kavre,Bagmati,Hill,Central,Acute gastro enteritis,2615,Bagmati,Hill,Central
2011/012,2068/69,Kavre,Bagmati,Hill,Central,Ameobic Dysentry,10074,Bagmati,Hill,Central
2011/012,2068/69,Kavre,Bagmati,Hill,Central,Baccilary Dysentry,3267,Bagmati,Hill,Central
2011/012,2068/69,Kavre,Bagmati,Hill,Central,"Presumed non infectious
diarrhoea",15034,Bagmati,Hill,Central
2011/012,2068/69,Kavre,Bagmati,Hill,Central,Cholera,0,Bagmati,Hill,Central
2011/012,2068/69,Kavre,Bagmati,Hill,Central,Intestinal Worms,5223,Bagmati,Hill,Central
2011/012,2068/69,Kavre,Bagmati,Hill,Central,"Jaundice and Infective
Hepatitis",674,Bagmati,Hill,Central
2011/012,2068/69,Lalitpur,Bagmati,Hill,Central,Typhoid (Enteric Fever),0,Bagmati,Hill,Central
2011/012,2068/69,Lalitpur,Bagmati,Hill,Central,Acute gastro enteritis,0,Bagmati,Hill,Central
2011/012,2068/69,Lalitpur,Bagmati,Hill,Central,Ameobic Dysentry,0,Bagmati,Hill,Central
2011/012,2068/69,Lalitpur,Bagmati,Hill,Central,Baccilary Dysentry,0,Bagmati,Hill,Central
2011/012,2068/69,Lalitpur,Bagmati,Hill,Central,"Presumed non infectious
diarrhoea",0,Bagmati,Hill,Central
2011/012,2068/69,Lalitpur,Bagmati,Hill,Central,Cholera,0,Bagmati,Hill,Central
2011/012,2068/69,Lalitpur,Bagmati,Hill,Central,Intestinal Worms,0,Bagmati,Hill,Central
2011/012,2068/69,Lalitpur,Bagmati,Hill,Central,"Jaundice and Infective
Hepatitis",0,Bagmati,Hill,Central
2011/012,2068/69,Bhaktapur,Bagmati,Hill,Central,Typhoid (Enteric Fever),2999,Bagmati,Hill,Central
2011/012,2068/69,Bhaktapur,Bagmati,Hill,Central,Acute gastro enteritis,4119,Bagmati,Hill,Central
2011/012,2068/69,Bhaktapur,Bagmati,Hill,Central,Ameobic Dysentry,3664,Bagmati,Hill,Central
2011/012,2068/69,Bhaktapur,Bagmati,Hill,Central,Baccilary Dysentry,1046,Bagmati,Hill,Central
2011/012,2068/69,Bhaktapur,Bagmati,Hill,Central,"Presumed non infectious
diarrhoea",3436,Bagmati,Hill,Central
2011/012,2068/69,Bhaktapur,Bagmati,Hill,Central,Cholera,48,Bagmati,Hill,Central
2011/012,2068/69,Bhaktapur,Bagmati,Hill,Central,Intestinal Worms,2476,Bagmati,Hill,Central
2011/012,2068/69,Bhaktapur,Bagmati,Hill,Central,"Jaundice and Infective
Hepatitis",596,Bagmati,Hill,Central
2011/012,2068/69,Kathmandu,Bagmati,Hill,Central,Typhoid (Enteric Fever),11572,Bagmati,Hill,Central
2011/012,2068/69,Kathmandu,Bagmati,Hill,Central,Acute gastro enteritis,19159,Bagmati,Hill,Central
2011/012,2068/69,Kathmandu,Bagmati,Hill,Central,Ameobic Dysentry,10878,Bagmati,Hill,Central
2011/012,2068/69,Kathmandu,Bagmati,Hill,Central,Baccilary Dysentry,5226,Bagmati,Hill,Central
2011/012,2068/69,Kathmandu,Bagmati,Hill,Central,"Presumed non infectious
diarrhoea",11910,Bagmati,Hill,Central
2011/012,2068/69,Kathmandu,Bagmati,Hill,Central,Cholera,94,Bagmati,Hill,Central
2011/012,2068/69,Kathmandu,Bagmati,Hill,Central,Intestinal Worms,10391,Bagmati,Hill,Central
2011/012,2068/69,Kathmandu,Bagmati,Hill,Central,"Jaundice and Infective
Hepatitis",4006,Bagmati,Hill,Central
2011/012,2068/69,Nuwakot,Bagmati,Hill,Central,Typhoid (Enteric Fever),5896,Bagmati,Hill,Central
2011/012,2068/69,Nuwakot,Bagmati,Hill,Central,Acute gastro enteritis,3256,Bagmati,Hill,Central
2011/012,2068/69,Nuwakot,Bagmati,Hill,Central,Ameobic Dysentry,4509,Bagmati,Hill,Central
2011/012,2068/69,Nuwakot,Bagmati,Hill,Central,Baccilary Dysentry,1984,Bagmati,Hill,Central
2011/012,2068/69,Nuwakot,Bagmati,Hill,Central,"Presumed non infectious
diarrhoea",5101,Bagmati,Hill,Central
2011/012,2068/69,Nuwakot,Bagmati,Hill,Central,Cholera,86,Bagmati,Hill,Central
2011/012,2068/69,Nuwakot,Bagmati,Hill,Central,Intestinal Worms,3802,Bagmati,Hill,Central
2011/012,2068/69,Nuwakot,Bagmati,Hill,Central,"Jaundice and Infective
Hepatitis",425,Bagmati,Hill,Central
2011/012,2068/69,Rasuwa,Bagmati,Mountain,Central,Typhoid (Enteric Fever),1064,Bagmati,Mountain,Central
2011/012,2068/69,Rasuwa,Bagmati,Mountain,Central,Acute gastro enteritis,940,Bagmati,Mountain,Central
2011/012,2068/69,Rasuwa,Bagmati,Mountain,Central,Ameobic Dysentry,1375,Bagmati,Mountain,Central
2011/012,2068/69,Rasuwa,Bagmati,Mountain,Central,Baccilary Dysentry,651,Bagmati,Mountain,Central
2011/012,2068/69,Rasuwa,Bagmati,Mountain,Central,"Presumed non infectious
diarrhoea",1832,Bagmati,Mountain,Central
2011/012,2068/69,Rasuwa,Bagmati,Mountain,Central,Cholera,0,Bagmati,Mountain,Central
2011/012,2068/69,Rasuwa,Bagmati,Mountain,Central,Intestinal Worms,1734,Bagmati,Mountain,Central
