District,zone,belt,region,Year BS,Year AD,Type of disease,Number of patients,Zone,Belt,Region
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Acute Encephalitis like syndrome (AES),0,Kosi,Terai,Eastern
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Filariasis,0,Kosi,Terai,Eastern
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Clinical Malaria,1801,Kosi,Terai,Eastern
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Malaria (PF),1,Kosi,Terai,Eastern
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Malaria,6,Kosi,Terai,Eastern
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Dengue Fever,0,Kosi,Terai,Eastern
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Kala-azar,0,Kosi,Terai,Eastern
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Acute Encephalitis like syndrome (AES),0,Kosi,Hill,Eastern
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Filariasis,2,Kosi,Hill,Eastern
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Clinical Malaria,69,Kosi,Hill,Eastern
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Malaria (PF),0,Kosi,Hill,Eastern
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Malaria,0,Kosi,Hill,Eastern
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Dengue Fever,0,Kosi,Hill,Eastern
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Kala-azar,0,Kosi,Hill,Eastern
Terhathum,Kosi,Hill,Eastern,2068/69,2011/12,Acute Encephalitis like syndrome (AES),3,Kosi,Hill,Eastern
Terhathum,Kosi,Hill,Eastern,2068/69,2011/12,Filariasis,1,Kosi,Hill,Eastern
Terhathum,Kosi,Hill,Eastern,2068/69,2011/12,Clinical Malaria,66,Kosi,Hill,Eastern
Terhathum,Kosi,Hill,Eastern,2068/69,2011/12,Malaria (PF),1,Kosi,Hill,Eastern
Terhathum,Kosi,Hill,Eastern,2068/69,2011/12,Malaria,7,Kosi,Hill,Eastern
Terhathum,Kosi,Hill,Eastern,2068/69,2011/12,Dengue Fever,0,Kosi,Hill,Eastern
Terhathum,Kosi,Hill,Eastern,2068/69,2011/12,Kala-azar,0,Kosi,Hill,Eastern
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Acute Encephalitis like syndrome (AES),10,Kosi,Mountain,Eastern
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Filariasis,4,Kosi,Mountain,Eastern
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Clinical Malaria,52,Kosi,Mountain,Eastern
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Malaria (PF),0,Kosi,Mountain,Eastern
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Malaria,0,Kosi,Mountain,Eastern
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Dengue Fever,0,Kosi,Mountain,Eastern
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Kala-azar,0,Kosi,Mountain,Eastern
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Acute Encephalitis like syndrome (AES),0,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Filariasis,0,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Clinical Malaria,148,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Malaria (PF),0,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Malaria,12,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Dengue Fever,0,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Kala-azar,0,Kosi,Hill,Eastern
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,Acute Encephalitis like syndrome (AES),0,Sagarmatha,Mountain,Eastern
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,Filariasis,0,Sagarmatha,Mountain,Eastern
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,Clinical Malaria,0,Sagarmatha,Mountain,Eastern
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,Malaria (PF),0,Sagarmatha,Mountain,Eastern
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,Malaria,0,Sagarmatha,Mountain,Eastern
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,Dengue Fever,0,Sagarmatha,Mountain,Eastern
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,Kala-azar,0,Sagarmatha,Mountain,Eastern
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,Acute Encephalitis like syndrome (AES),7,Sagarmatha,Hill,Eastern
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,Filariasis,31,Sagarmatha,Hill,Eastern
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,Clinical Malaria,12,Sagarmatha,Hill,Eastern
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,Malaria (PF),1,Sagarmatha,Hill,Eastern
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,Malaria,2,Sagarmatha,Hill,Eastern
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,Dengue Fever,0,Sagarmatha,Hill,Eastern
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,Kala-azar,3,Sagarmatha,Hill,Eastern
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,Acute Encephalitis like syndrome (AES),1,Sagarmatha,Hill,Eastern
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,Filariasis,4,Sagarmatha,Hill,Eastern
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,Clinical Malaria,41,Sagarmatha,Hill,Eastern
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,Malaria (PF),0,Sagarmatha,Hill,Eastern
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,Malaria,0,Sagarmatha,Hill,Eastern
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,Dengue Fever,0,Sagarmatha,Hill,Eastern
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,Kala-azar,29,Sagarmatha,Hill,Eastern
Udayapur,Sagarmatha,Hill,Eastern,2068/69,2011/12,Acute Encephalitis like syndrome (AES),32,Sagarmatha,Hill,Eastern
Udayapur,Sagarmatha,Hill,Eastern,2068/69,2011/12,Filariasis,35,Sagarmatha,Hill,Eastern
Udayapur,Sagarmatha,Hill,Eastern,2068/69,2011/12,Clinical Malaria,523,Sagarmatha,Hill,Eastern
Udayapur,Sagarmatha,Hill,Eastern,2068/69,2011/12,Malaria (PF),13,Sagarmatha,Hill,Eastern
Udayapur,Sagarmatha,Hill,Eastern,2068/69,2011/12,Malaria,42,Sagarmatha,Hill,Eastern
Udayapur,Sagarmatha,Hill,Eastern,2068/69,2011/12,Dengue Fever,0,Sagarmatha,Hill,Eastern
Udayapur,Sagarmatha,Hill,Eastern,2068/69,2011/12,Kala-azar,38,Sagarmatha,Hill,Eastern
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,Acute Encephalitis like syndrome (AES),0,Sagarmatha,Terai,Eastern
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,Filariasis,0,Sagarmatha,Terai,Eastern
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,Clinical Malaria,2026,Sagarmatha,Terai,Eastern
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,Malaria (PF),14,Sagarmatha,Terai,Eastern
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,Malaria,1,Sagarmatha,Terai,Eastern
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,Dengue Fever,0,Sagarmatha,Terai,Eastern
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,Kala-azar,0,Sagarmatha,Terai,Eastern
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,Acute Encephalitis like syndrome (AES),0,Sagarmatha,Terai,Eastern
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,Filariasis,10,Sagarmatha,Terai,Eastern
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,Clinical Malaria,2125,Sagarmatha,Terai,Eastern
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,Malaria (PF),7,Sagarmatha,Terai,Eastern
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,Malaria,114,Sagarmatha,Terai,Eastern
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,Dengue Fever,0,Sagarmatha,Terai,Eastern
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,Kala-azar,42,Sagarmatha,Terai,Eastern
Dhanusa,Janakpur,Terai,Central,2068/69,2011/12,Acute Encephalitis like syndrome (AES),0,Janakpur,Terai,Central
Dhanusa,Janakpur,Terai,Central,2068/69,2011/12,Filariasis,1,Janakpur,Terai,Central
Dhanusa,Janakpur,Terai,Central,2068/69,2011/12,Clinical Malaria,12863,Janakpur,Terai,Central
Dhanusa,Janakpur,Terai,Central,2068/69,2011/12,Malaria (PF),8,Janakpur,Terai,Central
Dhanusa,Janakpur,Terai,Central,2068/69,2011/12,Malaria,25,Janakpur,Terai,Central
Dhanusa,Janakpur,Terai,Central,2068/69,2011/12,Dengue Fever,0,Janakpur,Terai,Central
Dhanusa,Janakpur,Terai,Central,2068/69,2011/12,Kala-azar,5,Janakpur,Terai,Central
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,Acute Encephalitis like syndrome (AES),0,Janakpur,Terai,Central
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,Filariasis,44,Janakpur,Terai,Central
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,Clinical Malaria,5501,Janakpur,Terai,Central
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,Malaria (PF),2,Janakpur,Terai,Central
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,Malaria,10,Janakpur,Terai,Central
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,Dengue Fever,0,Janakpur,Terai,Central
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,Kala-azar,1,Janakpur,Terai,Central
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,Acute Encephalitis like syndrome (AES),0,Janakpur,Terai,Central
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,Filariasis,119,Janakpur,Terai,Central
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,Clinical Malaria,4048,Janakpur,Terai,Central
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,Malaria (PF),65,Janakpur,Terai,Central
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,Malaria,133,Janakpur,Terai,Central
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,Dengue Fever,6,Janakpur,Terai,Central
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,Kala-azar,381,Janakpur,Terai,Central
Sindhuli,Janakpur,Hill,Central,2068/69,2011/12,Acute Encephalitis like syndrome (AES),1,Janakpur,Hill,Central
Sindhuli,Janakpur,Hill,Central,2068/69,2011/12,Filariasis,6,Janakpur,Hill,Central
Sindhuli,Janakpur,Hill,Central,2068/69,2011/12,Clinical Malaria,969,Janakpur,Hill,Central
Sindhuli,Janakpur,Hill,Central,2068/69,2011/12,Malaria (PF),2,Janakpur,Hill,Central
Sindhuli,Janakpur,Hill,Central,2068/69,2011/12,Malaria,18,Janakpur,Hill,Central
Sindhuli,Janakpur,Hill,Central,2068/69,2011/12,Dengue Fever,0,Janakpur,Hill,Central
Sindhuli,Janakpur,Hill,Central,2068/69,2011/12,Kala-azar,0,Janakpur,Hill,Central
Ramechhap,Janakpur,Hill,Central,2068/69,2011/12,Acute Encephalitis like syndrome (AES),8,Janakpur,Hill,Central
Ramechhap,Janakpur,Hill,Central,2068/69,2011/12,Filariasis,3,Janakpur,Hill,Central
Ramechhap,Janakpur,Hill,Central,2068/69,2011/12,Clinical Malaria,10,Janakpur,Hill,Central
Ramechhap,Janakpur,Hill,Central,2068/69,2011/12,Malaria (PF),0,Janakpur,Hill,Central
Ramechhap,Janakpur,Hill,Central,2068/69,2011/12,Malaria,0,Janakpur,Hill,Central
Ramechhap,Janakpur,Hill,Central,2068/69,2011/12,Dengue Fever,0,Janakpur,Hill,Central
Ramechhap,Janakpur,Hill,Central,2068/69,2011/12,Kala-azar,0,Janakpur,Hill,Central
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,Acute Encephalitis like syndrome (AES),0,Janakpur,Mountain,Central
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,Filariasis,0,Janakpur,Mountain,Central
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,Clinical Malaria,1,Janakpur,Mountain,Central
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,Malaria (PF),2,Janakpur,Mountain,Central
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,Malaria,0,Janakpur,Mountain,Central
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,Dengue Fever,0,Janakpur,Mountain,Central
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,Kala-azar,0,Janakpur,Mountain,Central
Sindhupalchok,Bagmati,Mountain,Central,2068/69,2011/12,Acute Encephalitis like syndrome (AES),0,Bagmati,Mountain,Central
Sindhupalchok,Bagmati,Mountain,Central,2068/69,2011/12,Filariasis,0,Bagmati,Mountain,Central
Sindhupalchok,Bagmati,Mountain,Central,2068/69,2011/12,Clinical Malaria,122,Bagmati,Mountain,Central
Sindhupalchok,Bagmati,Mountain,Central,2068/69,2011/12,Malaria (PF),0,Bagmati,Mountain,Central
Sindhupalchok,Bagmati,Mountain,Central,2068/69,2011/12,Malaria,6,Bagmati,Mountain,Central
Sindhupalchok,Bagmati,Mountain,Central,2068/69,2011/12,Dengue Fever,0,Bagmati,Mountain,Central
Sindhupalchok,Bagmati,Mountain,Central,2068/69,2011/12,Kala-azar,0,Bagmati,Mountain,Central
Kavre,Bagmati,Hill,Central,2068/69,2011/12,Acute Encephalitis like syndrome (AES),0,Bagmati,Hill,Central
Kavre,Bagmati,Hill,Central,2068/69,2011/12,Filariasis,4,Bagmati,Hill,Central
Kavre,Bagmati,Hill,Central,2068/69,2011/12,Clinical Malaria,126,Bagmati,Hill,Central
Kavre,Bagmati,Hill,Central,2068/69,2011/12,Malaria (PF),0,Bagmati,Hill,Central
Kavre,Bagmati,Hill,Central,2068/69,2011/12,Malaria,4,Bagmati,Hill,Central
Kavre,Bagmati,Hill,Central,2068/69,2011/12,Dengue Fever,0,Bagmati,Hill,Central
Kavre,Bagmati,Hill,Central,2068/69,2011/12,Kala-azar,0,Bagmati,Hill,Central
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Acute Encephalitis like syndrome (AES),0,Bagmati,Hill,Central
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Filariasis,0,Bagmati,Hill,Central
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Clinical Malaria,0,Bagmati,Hill,Central
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Malaria (PF),0,Bagmati,Hill,Central
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Malaria,0,Bagmati,Hill,Central
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Dengue Fever,0,Bagmati,Hill,Central
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Kala-azar,0,Bagmati,Hill,Central
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Acute Encephalitis like syndrome (AES),62,Bagmati,Hill,Central
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Filariasis,11,Bagmati,Hill,Central
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Clinical Malaria,2,Bagmati,Hill,Central
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Malaria (PF),0,Bagmati,Hill,Central
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Malaria,9,Bagmati,Hill,Central
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Dengue Fever,0,Bagmati,Hill,Central
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Kala-azar,5,Bagmati,Hill,Central
Kathmandu,Bagmati,Hill,Central,2068/69,2011/12,Acute Encephalitis like syndrome (AES),20,Bagmati,Hill,Central
Kathmandu,Bagmati,Hill,Central,2068/69,2011/12,Filariasis,3,Bagmati,Hill,Central
Kathmandu,Bagmati,Hill,Central,2068/69,2011/12,Clinical Malaria,47,Bagmati,Hill,Central
Kathmandu,Bagmati,Hill,Central,2068/69,2011/12,Malaria (PF),22,Bagmati,Hill,Central
Kathmandu,Bagmati,Hill,Central,2068/69,2011/12,Malaria,32,Bagmati,Hill,Central
Kathmandu,Bagmati,Hill,Central,2068/69,2011/12,Dengue Fever,7,Bagmati,Hill,Central
Kathmandu,Bagmati,Hill,Central,2068/69,2011/12,Kala-azar,12,Bagmati,Hill,Central
Nuwakot,Bagmati,Hill,Central,2068/69,2011/12,Acute Encephalitis like syndrome (AES),1,Bagmati,Hill,Central
Nuwakot,Bagmati,Hill,Central,2068/69,2011/12,Filariasis,10,Bagmati,Hill,Central
Nuwakot,Bagmati,Hill,Central,2068/69,2011/12,Clinical Malaria,23,Bagmati,Hill,Central
Nuwakot,Bagmati,Hill,Central,2068/69,2011/12,Malaria (PF),1,Bagmati,Hill,Central
Nuwakot,Bagmati,Hill,Central,2068/69,2011/12,Malaria,11,Bagmati,Hill,Central
Nuwakot,Bagmati,Hill,Central,2068/69,2011/12,Dengue Fever,0,Bagmati,Hill,Central
Nuwakot,Bagmati,Hill,Central,2068/69,2011/12,Kala-azar,0,Bagmati,Hill,Central
Rasuwa,Bagmati,Mountain,Central,2068/69,2011/12,Acute Encephalitis like syndrome (AES),0,Bagmati,Mountain,Central
Rasuwa,Bagmati,Mountain,Central,2068/69,2011/12,Filariasis,0,Bagmati,Mountain,Central
Rasuwa,Bagmati,Mountain,Central,2068/69,2011/12,Clinical Malaria,0,Bagmati,Mountain,Central
Rasuwa,Bagmati,Mountain,Central,2068/69,2011/12,Malaria (PF),0,Bagmati,Mountain,Central
Rasuwa,Bagmati,Mountain,Central,2068/69,2011/12,Malaria,0,Bagmati,Mountain,Central
Rasuwa,Bagmati,Mountain,Central,2068/69,2011/12,Dengue Fever,0,Bagmati,Mountain,Central
Rasuwa,Bagmati,Mountain,Central,2068/69,2011/12,Kala-azar,0,Bagmati,Mountain,Central
Dhading,Bagmati,Hill,Central,2068/69,2011/12,Acute Encephalitis like syndrome (AES),0,Bagmati,Hill,Central
Dhading,Bagmati,Hill,Central,2068/69,2011/12,Filariasis,10,Bagmati,Hill,Central
Dhading,Bagmati,Hill,Central,2068/69,2011/12,Clinical Malaria,157,Bagmati,Hill,Central
Dhading,Bagmati,Hill,Central,2068/69,2011/12,Malaria (PF),0,Bagmati,Hill,Central
Dhading,Bagmati,Hill,Central,2068/69,2011/12,Malaria,0,Bagmati,Hill,Central
Dhading,Bagmati,Hill,Central,2068/69,2011/12,Dengue Fever,0,Bagmati,Hill,Central
Dhading,Bagmati,Hill,Central,2068/69,2011/12,Kala-azar,0,Bagmati,Hill,Central
Makwanpur,Narayani,Hill,Central,2068/69,2011/12,Acute Encephalitis like syndrome (AES),1,Narayani,Hill,Central
Makwanpur,Narayani,Hill,Central,2068/69,2011/12,Filariasis,8,Narayani,Hill,Central
Makwanpur,Narayani,Hill,Central,2068/69,2011/12,Clinical Malaria,566,Narayani,Hill,Central
Makwanpur,Narayani,Hill,Central,2068/69,2011/12,Malaria (PF),3,Narayani,Hill,Central
Makwanpur,Narayani,Hill,Central,2068/69,2011/12,Malaria,1,Narayani,Hill,Central
Makwanpur,Narayani,Hill,Central,2068/69,2011/12,Dengue Fever,0,Narayani,Hill,Central
Makwanpur,Narayani,Hill,Central,2068/69,2011/12,Kala-azar,1,Narayani,Hill,Central
Rautahat,Narayani,Terai,Central,2068/69,2011/12,Acute Encephalitis like syndrome (AES),15,Narayani,Terai,Central
Rautahat,Narayani,Terai,Central,2068/69,2011/12,Filariasis,34,Narayani,Terai,Central
Rautahat,Narayani,Terai,Central,2068/69,2011/12,Clinical Malaria,5288,Narayani,Terai,Central
Rautahat,Narayani,Terai,Central,2068/69,2011/12,Malaria (PF),4,Narayani,Terai,Central
Rautahat,Narayani,Terai,Central,2068/69,2011/12,Malaria,2,Narayani,Terai,Central
Rautahat,Narayani,Terai,Central,2068/69,2011/12,Dengue Fever,0,Narayani,Terai,Central
Rautahat,Narayani,Terai,Central,2068/69,2011/12,Kala-azar,28,Narayani,Terai,Central
Bara,Narayani,Terai,Central,2068/69,2011/12,Acute Encephalitis like syndrome (AES),3,Narayani,Terai,Central
Bara,Narayani,Terai,Central,2068/69,2011/12,Filariasis,47,Narayani,Terai,Central
Bara,Narayani,Terai,Central,2068/69,2011/12,Clinical Malaria,2332,Narayani,Terai,Central
Bara,Narayani,Terai,Central,2068/69,2011/12,Malaria (PF),3,Narayani,Terai,Central
Bara,Narayani,Terai,Central,2068/69,2011/12,Malaria,0,Narayani,Terai,Central
Bara,Narayani,Terai,Central,2068/69,2011/12,Dengue Fever,0,Narayani,Terai,Central
Bara,Narayani,Terai,Central,2068/69,2011/12,Kala-azar,2,Narayani,Terai,Central
Parsa,Narayani,Terai,Central,2068/69,2011/12,Acute Encephalitis like syndrome (AES),0,Narayani,Terai,Central
Parsa,Narayani,Terai,Central,2068/69,2011/12,Filariasis,0,Narayani,Terai,Central
Parsa,Narayani,Terai,Central,2068/69,2011/12,Clinical Malaria,0,Narayani,Terai,Central
Parsa,Narayani,Terai,Central,2068/69,2011/12,Malaria (PF),0,Narayani,Terai,Central
Parsa,Narayani,Terai,Central,2068/69,2011/12,Malaria,0,Narayani,Terai,Central
Parsa,Narayani,Terai,Central,2068/69,2011/12,Dengue Fever,0,Narayani,Terai,Central
Parsa,Narayani,Terai,Central,2068/69,2011/12,Kala-azar,0,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2068/69,2011/12,Acute Encephalitis like syndrome (AES),0,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2068/69,2011/12,Filariasis,0,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2068/69,2011/12,Clinical Malaria,353,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2068/69,2011/12,Malaria (PF),12,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2068/69,2011/12,Malaria,21,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2068/69,2011/12,Dengue Fever,0,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2068/69,2011/12,Kala-azar,0,Narayani,Terai,Central
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,Acute Encephalitis like syndrome (AES),0,Gandaki,Hill,Western
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,Filariasis,0,Gandaki,Hill,Western
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,Clinical Malaria,98,Gandaki,Hill,Western
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,Malaria (PF),0,Gandaki,Hill,Western
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,Malaria,7,Gandaki,Hill,Western
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,Dengue Fever,0,Gandaki,Hill,Western
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,Kala-azar,0,Gandaki,Hill,Western
