Year AD,Year BS,District,zone,belt,region,Communicable and infectious disease,Number of people,Zone,Belt,Region
2009/010,2066/67,Jhapa,Mechi,Terai,Eastern,ARI /Lower respiratory tract infection,21951,Mechi,Terai,Eastern
2009/010,2066/67,Jhapa,Mechi,Terai,Eastern,Upper respiratory Tract infection,33588,Mechi,Terai,Eastern
2009/010,2066/67,Jhapa,Mechi,Terai,Eastern,Pneumonia,14501,Mechi,Terai,Eastern
2009/010,2066/67,Jhapa,Mechi,Terai,Eastern,Server Pneumonia,1205,Mechi,Terai,Eastern
2009/010,2066/67,Jhapa,Mechi,Terai,Eastern,Bronchitis,7298,Mechi,Terai,Eastern
2009/010,2066/67,Jhapa,Mechi,Terai,Eastern,Asthma,5969,Mechi,Terai,Eastern
2009/010,2066/67,Jhapa,Mechi,Terai,Eastern,Urinary Tract infection,8600,Mechi,Terai,Eastern
2009/010,2066/67,Jhapa,Mechi,Terai,Eastern,Viral Influenza,9527,Mechi,Terai,Eastern
2009/010,2066/67,Jhapa,Mechi,Terai,Eastern,Reproductive Tract Infection male,393,Mechi,Terai,Eastern
2009/010,2066/67,Jhapa,Mechi,Terai,Eastern,Reproductive tract infection female,635,Mechi,Terai,Eastern
2009/010,2066/67,Khotang,Sagarmatha,Hill,Eastern,ARI /Lower respiratory tract infection,11472,Sagarmatha,Hill,Eastern
2009/010,2066/67,Khotang,Sagarmatha,Hill,Eastern,Upper respiratory Tract infection,9835,Sagarmatha,Hill,Eastern
2009/010,2066/67,Khotang,Sagarmatha,Hill,Eastern,Pneumonia,6826,Sagarmatha,Hill,Eastern
2009/010,2066/67,Khotang,Sagarmatha,Hill,Eastern,Server Pneumonia,471,Sagarmatha,Hill,Eastern
2009/010,2066/67,Khotang,Sagarmatha,Hill,Eastern,Bronchitis,2992,Sagarmatha,Hill,Eastern
2009/010,2066/67,Khotang,Sagarmatha,Hill,Eastern,Asthma,3508,Sagarmatha,Hill,Eastern
2009/010,2066/67,Khotang,Sagarmatha,Hill,Eastern,Urinary Tract infection,3100,Sagarmatha,Hill,Eastern
2009/010,2066/67,Khotang,Sagarmatha,Hill,Eastern,Viral Influenza,811,Sagarmatha,Hill,Eastern
2009/010,2066/67,Khotang,Sagarmatha,Hill,Eastern,Reproductive Tract Infection male,80,Sagarmatha,Hill,Eastern
2009/010,2066/67,Khotang,Sagarmatha,Hill,Eastern,Reproductive tract infection female,145,Sagarmatha,Hill,Eastern
2009/010,2066/67,Morang,Kosi,Terai,Eastern,ARI /Lower respiratory tract infection,29984,Kosi,Terai,Eastern
2009/010,2066/67,Morang,Kosi,Terai,Eastern,Upper respiratory Tract infection,26767,Kosi,Terai,Eastern
2009/010,2066/67,Morang,Kosi,Terai,Eastern,Pneumonia,12185,Kosi,Terai,Eastern
2009/010,2066/67,Morang,Kosi,Terai,Eastern,Server Pneumonia,645,Kosi,Terai,Eastern
2009/010,2066/67,Morang,Kosi,Terai,Eastern,Bronchitis,7842,Kosi,Terai,Eastern
2009/010,2066/67,Morang,Kosi,Terai,Eastern,Asthma,5541,Kosi,Terai,Eastern
2009/010,2066/67,Morang,Kosi,Terai,Eastern,Urinary Tract infection,11978,Kosi,Terai,Eastern
2009/010,2066/67,Morang,Kosi,Terai,Eastern,Viral Influenza,2867,Kosi,Terai,Eastern
2009/010,2066/67,Morang,Kosi,Terai,Eastern,Reproductive Tract Infection male,374,Kosi,Terai,Eastern
2009/010,2066/67,Morang,Kosi,Terai,Eastern,Reproductive tract infection female,488,Kosi,Terai,Eastern
2009/010,2066/67,Okhaldhunga,Sagarmatha,Hill,Eastern,ARI /Lower respiratory tract infection,16122,Sagarmatha,Hill,Eastern
2009/010,2066/67,Okhaldhunga,Sagarmatha,Hill,Eastern,Upper respiratory Tract infection,13082,Sagarmatha,Hill,Eastern
2009/010,2066/67,Okhaldhunga,Sagarmatha,Hill,Eastern,Pneumonia,6836,Sagarmatha,Hill,Eastern
2009/010,2066/67,Okhaldhunga,Sagarmatha,Hill,Eastern,Server Pneumonia,336,Sagarmatha,Hill,Eastern
2009/010,2066/67,Okhaldhunga,Sagarmatha,Hill,Eastern,Bronchitis,3441,Sagarmatha,Hill,Eastern
2009/010,2066/67,Okhaldhunga,Sagarmatha,Hill,Eastern,Asthma,4105,Sagarmatha,Hill,Eastern
2009/010,2066/67,Okhaldhunga,Sagarmatha,Hill,Eastern,Urinary Tract infection,3069,Sagarmatha,Hill,Eastern
2009/010,2066/67,Okhaldhunga,Sagarmatha,Hill,Eastern,Viral Influenza,1177,Sagarmatha,Hill,Eastern
2009/010,2066/67,Okhaldhunga,Sagarmatha,Hill,Eastern,Reproductive Tract Infection male,40,Sagarmatha,Hill,Eastern
2009/010,2066/67,Okhaldhunga,Sagarmatha,Hill,Eastern,Reproductive tract infection female,294,Sagarmatha,Hill,Eastern
2009/010,2066/67,Panchthar,Mechi,Hill,Eastern,ARI /Lower respiratory tract infection,8205,Mechi,Hill,Eastern
2009/010,2066/67,Panchthar,Mechi,Hill,Eastern,Upper respiratory Tract infection,6140,Mechi,Hill,Eastern
2009/010,2066/67,Panchthar,Mechi,Hill,Eastern,Pneumonia,5709,Mechi,Hill,Eastern
2009/010,2066/67,Panchthar,Mechi,Hill,Eastern,Server Pneumonia,341,Mechi,Hill,Eastern
2009/010,2066/67,Panchthar,Mechi,Hill,Eastern,Bronchitis,1490,Mechi,Hill,Eastern
2009/010,2066/67,Panchthar,Mechi,Hill,Eastern,Asthma,1604,Mechi,Hill,Eastern
2009/010,2066/67,Panchthar,Mechi,Hill,Eastern,Urinary Tract infection,1211,Mechi,Hill,Eastern
2009/010,2066/67,Panchthar,Mechi,Hill,Eastern,Viral Influenza,587,Mechi,Hill,Eastern
2009/010,2066/67,Panchthar,Mechi,Hill,Eastern,Reproductive Tract Infection male,26,Mechi,Hill,Eastern
2009/010,2066/67,Panchthar,Mechi,Hill,Eastern,Reproductive tract infection female,36,Mechi,Hill,Eastern
2009/010,2066/67,Sankhuwasabha,Kosi,Mountain,Eastern,ARI /Lower respiratory tract infection,10112,Kosi,Mountain,Eastern
2009/010,2066/67,Sankhuwasabha,Kosi,Mountain,Eastern,Upper respiratory Tract infection,7286,Kosi,Mountain,Eastern
2009/010,2066/67,Sankhuwasabha,Kosi,Mountain,Eastern,Pneumonia,5702,Kosi,Mountain,Eastern
2009/010,2066/67,Sankhuwasabha,Kosi,Mountain,Eastern,Server Pneumonia,141,Kosi,Mountain,Eastern
2009/010,2066/67,Sankhuwasabha,Kosi,Mountain,Eastern,Bronchitis,1087,Kosi,Mountain,Eastern
2009/010,2066/67,Sankhuwasabha,Kosi,Mountain,Eastern,Asthma,2110,Kosi,Mountain,Eastern
2009/010,2066/67,Sankhuwasabha,Kosi,Mountain,Eastern,Urinary Tract infection,2399,Kosi,Mountain,Eastern
2009/010,2066/67,Sankhuwasabha,Kosi,Mountain,Eastern,Viral Influenza,622,Kosi,Mountain,Eastern
2009/010,2066/67,Sankhuwasabha,Kosi,Mountain,Eastern,Reproductive Tract Infection male,104,Kosi,Mountain,Eastern
2009/010,2066/67,Sankhuwasabha,Kosi,Mountain,Eastern,Reproductive tract infection female,193,Kosi,Mountain,Eastern
2009/010,2066/67,Saptari,Sagarmatha,Terai,Eastern,ARI /Lower respiratory tract infection,35796,Sagarmatha,Terai,Eastern
2009/010,2066/67,Saptari,Sagarmatha,Terai,Eastern,Upper respiratory Tract infection,22835,Sagarmatha,Terai,Eastern
2009/010,2066/67,Saptari,Sagarmatha,Terai,Eastern,Pneumonia,12328,Sagarmatha,Terai,Eastern
2009/010,2066/67,Saptari,Sagarmatha,Terai,Eastern,Server Pneumonia,265,Sagarmatha,Terai,Eastern
2009/010,2066/67,Saptari,Sagarmatha,Terai,Eastern,Bronchitis,12298,Sagarmatha,Terai,Eastern
2009/010,2066/67,Saptari,Sagarmatha,Terai,Eastern,Asthma,9521,Sagarmatha,Terai,Eastern
2009/010,2066/67,Saptari,Sagarmatha,Terai,Eastern,Urinary Tract infection,6117,Sagarmatha,Terai,Eastern
2009/010,2066/67,Saptari,Sagarmatha,Terai,Eastern,Viral Influenza,6339,Sagarmatha,Terai,Eastern
2009/010,2066/67,Saptari,Sagarmatha,Terai,Eastern,Reproductive Tract Infection male,108,Sagarmatha,Terai,Eastern
2009/010,2066/67,Saptari,Sagarmatha,Terai,Eastern,Reproductive tract infection female,308,Sagarmatha,Terai,Eastern
2009/010,2066/67,Siraha,Sagarmatha,Terai,Eastern,ARI /Lower respiratory tract infection,30568,Sagarmatha,Terai,Eastern
2009/010,2066/67,Siraha,Sagarmatha,Terai,Eastern,Upper respiratory Tract infection,28282,Sagarmatha,Terai,Eastern
2009/010,2066/67,Siraha,Sagarmatha,Terai,Eastern,Pneumonia,14386,Sagarmatha,Terai,Eastern
2009/010,2066/67,Siraha,Sagarmatha,Terai,Eastern,Server Pneumonia,677,Sagarmatha,Terai,Eastern
2009/010,2066/67,Siraha,Sagarmatha,Terai,Eastern,Bronchitis,12588,Sagarmatha,Terai,Eastern
2009/010,2066/67,Siraha,Sagarmatha,Terai,Eastern,Asthma,8811,Sagarmatha,Terai,Eastern
2009/010,2066/67,Siraha,Sagarmatha,Terai,Eastern,Urinary Tract infection,6585,Sagarmatha,Terai,Eastern
2009/010,2066/67,Siraha,Sagarmatha,Terai,Eastern,Viral Influenza,3791,Sagarmatha,Terai,Eastern
2009/010,2066/67,Siraha,Sagarmatha,Terai,Eastern,Reproductive Tract Infection male,102,Sagarmatha,Terai,Eastern
2009/010,2066/67,Siraha,Sagarmatha,Terai,Eastern,Reproductive tract infection female,171,Sagarmatha,Terai,Eastern
2009/010,2066/67,Solukhumbu,Sagarmatha,Mountain,Eastern,ARI /Lower respiratory tract infection,7358,Sagarmatha,Mountain,Eastern
2009/010,2066/67,Solukhumbu,Sagarmatha,Mountain,Eastern,Upper respiratory Tract infection,8259,Sagarmatha,Mountain,Eastern
2009/010,2066/67,Solukhumbu,Sagarmatha,Mountain,Eastern,Pneumonia,2385,Sagarmatha,Mountain,Eastern
2009/010,2066/67,Solukhumbu,Sagarmatha,Mountain,Eastern,Server Pneumonia,180,Sagarmatha,Mountain,Eastern
2009/010,2066/67,Solukhumbu,Sagarmatha,Mountain,Eastern,Bronchitis,2499,Sagarmatha,Mountain,Eastern
2009/010,2066/67,Solukhumbu,Sagarmatha,Mountain,Eastern,Asthma,2382,Sagarmatha,Mountain,Eastern
2009/010,2066/67,Solukhumbu,Sagarmatha,Mountain,Eastern,Urinary Tract infection,2094,Sagarmatha,Mountain,Eastern
2009/010,2066/67,Solukhumbu,Sagarmatha,Mountain,Eastern,Viral Influenza,164,Sagarmatha,Mountain,Eastern
2009/010,2066/67,Solukhumbu,Sagarmatha,Mountain,Eastern,Reproductive Tract Infection male,98,Sagarmatha,Mountain,Eastern
2009/010,2066/67,Solukhumbu,Sagarmatha,Mountain,Eastern,Reproductive tract infection female,160,Sagarmatha,Mountain,Eastern
2009/010,2066/67,Sunsari,Kosi,Terai,Eastern,ARI /Lower respiratory tract infection,36345,Kosi,Terai,Eastern
2009/010,2066/67,Sunsari,Kosi,Terai,Eastern,Upper respiratory Tract infection,27927,Kosi,Terai,Eastern
2009/010,2066/67,Sunsari,Kosi,Terai,Eastern,Pneumonia,18023,Kosi,Terai,Eastern
2009/010,2066/67,Sunsari,Kosi,Terai,Eastern,Server Pneumonia,696,Kosi,Terai,Eastern
2009/010,2066/67,Sunsari,Kosi,Terai,Eastern,Bronchitis,4228,Kosi,Terai,Eastern
2009/010,2066/67,Sunsari,Kosi,Terai,Eastern,Asthma,5365,Kosi,Terai,Eastern
2009/010,2066/67,Sunsari,Kosi,Terai,Eastern,Urinary Tract infection,4056,Kosi,Terai,Eastern
2009/010,2066/67,Sunsari,Kosi,Terai,Eastern,Viral Influenza,2489,Kosi,Terai,Eastern
2009/010,2066/67,Sunsari,Kosi,Terai,Eastern,Reproductive Tract Infection male,99,Kosi,Terai,Eastern
2009/010,2066/67,Sunsari,Kosi,Terai,Eastern,Reproductive tract infection female,171,Kosi,Terai,Eastern
2009/010,2066/67,Taplejung,Mechi,Mountain,Eastern,ARI /Lower respiratory tract infection,8308,Mechi,Mountain,Eastern
2009/010,2066/67,Taplejung,Mechi,Mountain,Eastern,Upper respiratory Tract infection,7036,Mechi,Mountain,Eastern
2009/010,2066/67,Taplejung,Mechi,Mountain,Eastern,Pneumonia,4861,Mechi,Mountain,Eastern
2009/010,2066/67,Taplejung,Mechi,Mountain,Eastern,Server Pneumonia,357,Mechi,Mountain,Eastern
2009/010,2066/67,Taplejung,Mechi,Mountain,Eastern,Bronchitis,1601,Mechi,Mountain,Eastern
2009/010,2066/67,Taplejung,Mechi,Mountain,Eastern,Asthma,1943,Mechi,Mountain,Eastern
2009/010,2066/67,Taplejung,Mechi,Mountain,Eastern,Urinary Tract infection,2103,Mechi,Mountain,Eastern
2009/010,2066/67,Taplejung,Mechi,Mountain,Eastern,Viral Influenza,1287,Mechi,Mountain,Eastern
2009/010,2066/67,Taplejung,Mechi,Mountain,Eastern,Reproductive Tract Infection male,63,Mechi,Mountain,Eastern
2009/010,2066/67,Taplejung,Mechi,Mountain,Eastern,Reproductive tract infection female,94,Mechi,Mountain,Eastern
2009/010,2066/67,Terhathum,Kosi,Hill,Eastern,ARI /Lower respiratory tract infection,5014,Kosi,Hill,Eastern
2009/010,2066/67,Terhathum,Kosi,Hill,Eastern,Upper respiratory Tract infection,6492,Kosi,Hill,Eastern
2009/010,2066/67,Terhathum,Kosi,Hill,Eastern,Pneumonia,3836,Kosi,Hill,Eastern
2009/010,2066/67,Terhathum,Kosi,Hill,Eastern,Server Pneumonia,74,Kosi,Hill,Eastern
2009/010,2066/67,Terhathum,Kosi,Hill,Eastern,Bronchitis,1906,Kosi,Hill,Eastern
2009/010,2066/67,Terhathum,Kosi,Hill,Eastern,Asthma,1362,Kosi,Hill,Eastern
2009/010,2066/67,Terhathum,Kosi,Hill,Eastern,Urinary Tract infection,1326,Kosi,Hill,Eastern
2009/010,2066/67,Terhathum,Kosi,Hill,Eastern,Viral Influenza,870,Kosi,Hill,Eastern
2009/010,2066/67,Terhathum,Kosi,Hill,Eastern,Reproductive Tract Infection male,64,Kosi,Hill,Eastern
2009/010,2066/67,Terhathum,Kosi,Hill,Eastern,Reproductive tract infection female,80,Kosi,Hill,Eastern
2009/010,2066/67,Udayapur,Sagarmatha,Hill,Eastern,ARI /Lower respiratory tract infection,8077,Sagarmatha,Hill,Eastern
2009/010,2066/67,Udayapur,Sagarmatha,Hill,Eastern,Upper respiratory Tract infection,5944,Sagarmatha,Hill,Eastern
2009/010,2066/67,Udayapur,Sagarmatha,Hill,Eastern,Pneumonia,4104,Sagarmatha,Hill,Eastern
2009/010,2066/67,Udayapur,Sagarmatha,Hill,Eastern,Server Pneumonia,223,Sagarmatha,Hill,Eastern
2009/010,2066/67,Udayapur,Sagarmatha,Hill,Eastern,Bronchitis,3462,Sagarmatha,Hill,Eastern
2009/010,2066/67,Udayapur,Sagarmatha,Hill,Eastern,Asthma,2485,Sagarmatha,Hill,Eastern
2009/010,2066/67,Udayapur,Sagarmatha,Hill,Eastern,Urinary Tract infection,2603,Sagarmatha,Hill,Eastern
2009/010,2066/67,Udayapur,Sagarmatha,Hill,Eastern,Viral Influenza,1562,Sagarmatha,Hill,Eastern
2009/010,2066/67,Udayapur,Sagarmatha,Hill,Eastern,Reproductive Tract Infection male,167,Sagarmatha,Hill,Eastern
2009/010,2066/67,Udayapur,Sagarmatha,Hill,Eastern,Reproductive tract infection female,269,Sagarmatha,Hill,Eastern
2009/010,2066/67,Bara,Narayani,Terai,Central,ARI /Lower respiratory tract infection,17293,Narayani,Terai,Central
2009/010,2066/67,Bara,Narayani,Terai,Central,Upper respiratory Tract infection,14895,Narayani,Terai,Central
2009/010,2066/67,Bara,Narayani,Terai,Central,Pneumonia,7476,Narayani,Terai,Central
2009/010,2066/67,Bara,Narayani,Terai,Central,Server Pneumonia,597,Narayani,Terai,Central
2009/010,2066/67,Bara,Narayani,Terai,Central,Bronchitis,8218,Narayani,Terai,Central
2009/010,2066/67,Bara,Narayani,Terai,Central,Asthma,9115,Narayani,Terai,Central
2009/010,2066/67,Bara,Narayani,Terai,Central,Urinary Tract infection,4324,Narayani,Terai,Central
2009/010,2066/67,Bara,Narayani,Terai,Central,Viral Influenza,1284,Narayani,Terai,Central
2009/010,2066/67,Bara,Narayani,Terai,Central,Reproductive Tract Infection male,173,Narayani,Terai,Central
2009/010,2066/67,Bara,Narayani,Terai,Central,Reproductive tract infection female,502,Narayani,Terai,Central
2009/010,2066/67,Bhaktapur,Bagmati,Hill,Central,ARI /Lower respiratory tract infection,6730,Bagmati,Hill,Central
2009/010,2066/67,Bhaktapur,Bagmati,Hill,Central,Upper respiratory Tract infection,7861,Bagmati,Hill,Central
2009/010,2066/67,Bhaktapur,Bagmati,Hill,Central,Pneumonia,2787,Bagmati,Hill,Central
2009/010,2066/67,Bhaktapur,Bagmati,Hill,Central,Server Pneumonia,26,Bagmati,Hill,Central
2009/010,2066/67,Bhaktapur,Bagmati,Hill,Central,Bronchitis,1170,Bagmati,Hill,Central
2009/010,2066/67,Bhaktapur,Bagmati,Hill,Central,Asthma,2406,Bagmati,Hill,Central
2009/010,2066/67,Bhaktapur,Bagmati,Hill,Central,Urinary Tract infection,1493,Bagmati,Hill,Central
2009/010,2066/67,Bhaktapur,Bagmati,Hill,Central,Viral Influenza,1607,Bagmati,Hill,Central
2009/010,2066/67,Bhaktapur,Bagmati,Hill,Central,Reproductive Tract Infection male,47,Bagmati,Hill,Central
2009/010,2066/67,Bhaktapur,Bagmati,Hill,Central,Reproductive tract infection female,55,Bagmati,Hill,Central
2009/010,2066/67,Chitawan,Narayani,Terai,Central,ARI /Lower respiratory tract infection,13222,Narayani,Terai,Central
2009/010,2066/67,Chitawan,Narayani,Terai,Central,Upper respiratory Tract infection,12853,Narayani,Terai,Central
2009/010,2066/67,Chitawan,Narayani,Terai,Central,Pneumonia,7452,Narayani,Terai,Central
2009/010,2066/67,Chitawan,Narayani,Terai,Central,Server Pneumonia,225,Narayani,Terai,Central
2009/010,2066/67,Chitawan,Narayani,Terai,Central,Bronchitis,3514,Narayani,Terai,Central
2009/010,2066/67,Chitawan,Narayani,Terai,Central,Asthma,5214,Narayani,Terai,Central
2009/010,2066/67,Chitawan,Narayani,Terai,Central,Urinary Tract infection,4767,Narayani,Terai,Central
2009/010,2066/67,Chitawan,Narayani,Terai,Central,Viral Influenza,2487,Narayani,Terai,Central
2009/010,2066/67,Chitawan,Narayani,Terai,Central,Reproductive Tract Infection male,821,Narayani,Terai,Central
2009/010,2066/67,Chitawan,Narayani,Terai,Central,Reproductive tract infection female,1251,Narayani,Terai,Central
2009/010,2066/67,Dhading,Bagmati,Hill,Central,ARI /Lower respiratory tract infection,15449,Bagmati,Hill,Central
2009/010,2066/67,Dhading,Bagmati,Hill,Central,Upper respiratory Tract infection,11236,Bagmati,Hill,Central
2009/010,2066/67,Dhading,Bagmati,Hill,Central,Pneumonia,8163,Bagmati,Hill,Central
2009/010,2066/67,Dhading,Bagmati,Hill,Central,Server Pneumonia,480,Bagmati,Hill,Central
2009/010,2066/67,Dhading,Bagmati,Hill,Central,Bronchitis,4059,Bagmati,Hill,Central
2009/010,2066/67,Dhading,Bagmati,Hill,Central,Asthma,6057,Bagmati,Hill,Central
2009/010,2066/67,Dhading,Bagmati,Hill,Central,Urinary Tract infection,2853,Bagmati,Hill,Central
2009/010,2066/67,Dhading,Bagmati,Hill,Central,Viral Influenza,4603,Bagmati,Hill,Central
2009/010,2066/67,Dhading,Bagmati,Hill,Central,Reproductive Tract Infection male,130,Bagmati,Hill,Central
2009/010,2066/67,Dhading,Bagmati,Hill,Central,Reproductive tract infection female,358,Bagmati,Hill,Central
2009/010,2066/67,Dhanusa,Janakpur,Terai,Central,ARI /Lower respiratory tract infection,35310,Janakpur,Terai,Central
2009/010,2066/67,Dhanusa,Janakpur,Terai,Central,Upper respiratory Tract infection,24498,Janakpur,Terai,Central
2009/010,2066/67,Dhanusa,Janakpur,Terai,Central,Pneumonia,12300,Janakpur,Terai,Central
2009/010,2066/67,Dhanusa,Janakpur,Terai,Central,Server Pneumonia,456,Janakpur,Terai,Central
2009/010,2066/67,Dhanusa,Janakpur,Terai,Central,Bronchitis,11579,Janakpur,Terai,Central
2009/010,2066/67,Dhanusa,Janakpur,Terai,Central,Asthma,12362,Janakpur,Terai,Central
2009/010,2066/67,Dhanusa,Janakpur,Terai,Central,Urinary Tract infection,6623,Janakpur,Terai,Central
2009/010,2066/67,Dhanusa,Janakpur,Terai,Central,Viral Influenza,5131,Janakpur,Terai,Central
2009/010,2066/67,Dhanusa,Janakpur,Terai,Central,Reproductive Tract Infection male,190,Janakpur,Terai,Central
2009/010,2066/67,Dhanusa,Janakpur,Terai,Central,Reproductive tract infection female,373,Janakpur,Terai,Central
2009/010,2066/67,Dolakha,Janakpur,Mountain,Central,ARI /Lower respiratory tract infection,14019,Janakpur,Mountain,Central
2009/010,2066/67,Dolakha,Janakpur,Mountain,Central,Upper respiratory Tract infection,10892,Janakpur,Mountain,Central
2009/010,2066/67,Dolakha,Janakpur,Mountain,Central,Pneumonia,4040,Janakpur,Mountain,Central
2009/010,2066/67,Dolakha,Janakpur,Mountain,Central,Server Pneumonia,135,Janakpur,Mountain,Central
2009/010,2066/67,Dolakha,Janakpur,Mountain,Central,Bronchitis,2597,Janakpur,Mountain,Central
2009/010,2066/67,Dolakha,Janakpur,Mountain,Central,Asthma,3619,Janakpur,Mountain,Central
2009/010,2066/67,Dolakha,Janakpur,Mountain,Central,Urinary Tract infection,2917,Janakpur,Mountain,Central
2009/010,2066/67,Dolakha,Janakpur,Mountain,Central,Viral Influenza,1866,Janakpur,Mountain,Central
2009/010,2066/67,Dolakha,Janakpur,Mountain,Central,Reproductive Tract Infection male,57,Janakpur,Mountain,Central
2009/010,2066/67,Dolakha,Janakpur,Mountain,Central,Reproductive tract infection female,101,Janakpur,Mountain,Central
2009/010,2066/67,Kathmandu,Bagmati,Hill,Central,ARI /Lower respiratory tract infection,18188,Bagmati,Hill,Central
2009/010,2066/67,Kathmandu,Bagmati,Hill,Central,Upper respiratory Tract infection,17910,Bagmati,Hill,Central
2009/010,2066/67,Kathmandu,Bagmati,Hill,Central,Pneumonia,7305,Bagmati,Hill,Central
2009/010,2066/67,Kathmandu,Bagmati,Hill,Central,Server Pneumonia,265,Bagmati,Hill,Central
2009/010,2066/67,Kathmandu,Bagmati,Hill,Central,Bronchitis,4146,Bagmati,Hill,Central
2009/010,2066/67,Kathmandu,Bagmati,Hill,Central,Asthma,10210,Bagmati,Hill,Central
2009/010,2066/67,Kathmandu,Bagmati,Hill,Central,Urinary Tract infection,8883,Bagmati,Hill,Central
2009/010,2066/67,Kathmandu,Bagmati,Hill,Central,Viral Influenza,3687,Bagmati,Hill,Central
2009/010,2066/67,Kathmandu,Bagmati,Hill,Central,Reproductive Tract Infection male,419,Bagmati,Hill,Central
2009/010,2066/67,Kathmandu,Bagmati,Hill,Central,Reproductive tract infection female,880,Bagmati,Hill,Central
2009/010,2066/67,Kavre,Bagmati,Hill,Central,ARI /Lower respiratory tract infection,23570,Bagmati,Hill,Central
2009/010,2066/67,Kavre,Bagmati,Hill,Central,Upper respiratory Tract infection,21259,Bagmati,Hill,Central
2009/010,2066/67,Kavre,Bagmati,Hill,Central,Pneumonia,8351,Bagmati,Hill,Central
2009/010,2066/67,Kavre,Bagmati,Hill,Central,Server Pneumonia,180,Bagmati,Hill,Central
2009/010,2066/67,Kavre,Bagmati,Hill,Central,Bronchitis,5436,Bagmati,Hill,Central
2009/010,2066/67,Kavre,Bagmati,Hill,Central,Asthma,7846,Bagmati,Hill,Central
2009/010,2066/67,Kavre,Bagmati,Hill,Central,Urinary Tract infection,3751,Bagmati,Hill,Central
2009/010,2066/67,Kavre,Bagmati,Hill,Central,Viral Influenza,4733,Bagmati,Hill,Central
2009/010,2066/67,Kavre,Bagmati,Hill,Central,Reproductive Tract Infection male,57,Bagmati,Hill,Central
2009/010,2066/67,Kavre,Bagmati,Hill,Central,Reproductive tract infection female,163,Bagmati,Hill,Central
